ETB_FJU_COD;ETB_FJU_LBC;ETB_FJU_LIB;TEC_COL
5460;SARL;(AUTRE) SARL COOPERATIVE;0
5470;SARL;SOCIETE PARTICIPATION FINANCIERE PROFESSION LIBERALE SARL;0
5485;;SOCIETE D'EXERCICE LIBERAL A RESPONSABILITE LIMITEE;0
5498;EURL;SARL UNIPERSONNELLE;0
5499;SARL;(AUTRE) SOCIETE A RESPONSABILITE LIMITEE;0
5500;SA;SOCIETE ANONYME A CONSEIL D ADMINISTRATION;0
5505;SA;SA A PARTICIPATION OUVRIERE (A CONSEIL D'ADMINISTRATIO;0
5510;SA;SA NATIONALE A CONSEIL D'ADMINISTRATION;0
5515;SA;SA D'ECONOMIE MIXTE A CONSEIL D'ADMINISTRATION;0
5520;SA;SOCIETE D'INVESTISSEMENT CAPITAL VARIABLE A CONSEIL ADM;0
5522;SA;SA IMMOB POUR COMMERCE ET INDUSTRIE (SICOMI) A CONS ADMI;0
5525;SA;SA IMMOBILIERE D'INVESTISSEMENT (A CONSEIL D'ADMINISTRAT;0
5530;SA;SAFER EN SOCIETE ANONYME A CONSEIL D'ADMINISTRATION;0
5531;SA;SA MIXTE D'INTERET AGRICOLE A CONSEIL D'ADMINISTRATION;0
5532;SA;SA D'INTERET COLLECTIF (SICA) A CONSEIL ADMINISTRATION;0
5542;SA;SA D'ATTRIBUTION A CONSEIL D'ADMINISTRATION;0
5543;SA;SA COOPERATIVE DE CONSTRUCTION A CONSEIL D'ADMINISTRATIO;0
5546;SA;SA DE HLM A CONSEIL D'ADMINISTRATION;0
5547;SA;SA COOPERATIVE DE PRODUCTION DE HLM A CONSEIL ADMINIST.;0
5548;SA;SA DE CREDIT IMMOBILIER A CONSEIL D'ADMINISTRATION;0
5551;SA;SA COOPERATIVE DE CONSOMMATION A CONSEIL D'ADMINISTRATIO;0
5552;SA;SA COOPERATIVE DE COMMERCANTS-DETAILLANTS A CONSEIL ADM;0
5553;SA;SA COOPERATIVE ARTISANALE A CONSEIL D'ADMINISTRATION;0
5554;SA;SA COOPERATIVE D'INTERET MARITIME A CONSEIL D'ADMINISTRA;0
5555;SA;SA COOPERATIVE DE TRANSPORT A CONSEIL D'ADMINISTRATION;0
5558;SA;SA COOP OUVRIERE PRODUCTION A CONSEIL ADMINIST;0
5559;SA;SA UNION DE SOCIETES COOPERATIVES A CONSEIL D'ADMINIST.;0
5560;SA;AUTRE SA COOPERATIVE A CONSEIL D'ADMINISTRATION;0
5570;SA;SOCIETE PARTICIPATION FINANCIERE PROFESSION LIBERALE SA CA;0
5585;SA;SOCIETE D'EXERCICE LIBERAL A FORME ANONYME;0
5599;SA;AUTRE SA A CONSEIL D'ADMINISTRATION;0
5600;SA;SOCIETE ANONYME A DIRECTOIRE;0
5605;SAPO;SA A PARTICIPATION OUVRIERE A DIRECTOIRE;0
5610;SA;SA NATIONALE A DIRECTOIRE;0
5615;SA;SA D'ECONOMIE MIXTE A DIRECTOIRE;0
5620;SICA;SOCIETE INVESTISSEMENT A CAPITAL VARIABLE;0
5622;SA;SA IMMOBIL POUR LE COMMERCE ET L'INDUSTRIE A DIRECTOIRE;0
5625;SA;SOCIETE IMMOBILIERE INVESTISSEMENT ANONYME A DIRECTOIRE;0
5630;SA;SAFER ANONYME A DIRECTOIRE;0
5631;SA;SA MIXTE D'INTERET AGRICOLE A DIRECTOIRE;0
5632;SA;SA D'INTERET COLLECTIF AGRICOLE (SICA) A DIRECTOIRE;0
5642;SA;SA D'ATTRIBUTION A DIRECTOIRE;0
5643;SA;SA COOPERATIVE DE CONSTRUCTION A DIRECTOIRE;0
5646;SA;SA DE HLM A DIRECTOIRE;0
5647;SA;SA COOPERATIVE DE PRODUCTION DE HLM A DIRECTOIRE;0
5648;SA;SA DE CREDIT IMMOBILIER A DIRECTOIRE;0
5651;SA;SA COOPERATIVE DE CONSOMMATION A DIRECTOIRE;0
5652;SA;SA COOPERATIVE DE COMMERCANTS-DETAILLANTS A DIRECTOIRE;0
5653;SA;SA COOPERATIVE ARTISANALE A DIRECTOIRE;0
5654;SA;SA COOPERATIVE D'INTERET MARITIME A DIRECTOIRE;0
5655;SA;SA COOPERATIVE DE TRANSPORT A DIRECTOIRE;0
5658;SA;SA COOP OUVRIERE DE PRODUCT A DIRECTOIRE;0
5659;SA;SA UNION DE SOCIETES COOPERATIVES A DIRECTOIRE;0
5660;SA;AUTRE SA COOPERATIVE A DIRECTOIRE;0
5670;SA;SOCIETE PARTICIPATION FINANCIERE PROFESSION LIBERALE SA DIR;0
5685;;STE D EXERCICE LIBERAL A FORME ANONYME A DIRECTOIRE;0
5699;SA;AUTRE SA A DIRECTOIRE;0
5710;SAS;STE PAR ACTION SIMPLIFIEE;0
5720;SASU;SOCIETE PAR ACTIONS SIMPLIFIEES A ASSOCIE UNIQUE;0
5770;SAS;SOCIETE PARTICIPATION FINANCIERE PROFESSION LIBERALE SAS;0
5785;;SOCIETE D EXERCICE LIBERAL PAR ACTION SIMPLIFIEE;0
5800;;SOCIETE EUROPEENNNE;0
6100;;CAISSE D'EPARGNE ET DE PREVOYANCE;0
6200;GIE;GROUPEMENT D INTERET ECONOMIQUE;0
6210;;GROUPEMENT EUROPEEN D'INTERET ECONOMIQUE;0
6220;GIE;GROUPEMENT D'INTERET ECONOMIQUE;0
6300;;SOCIETE COOPERATIVE AGRICOLE;0
6316;;COOPERATIVE D'UTILISATION DE MATERIEL AGRICOLE EN COMMUN;0
6317;;SOCIETE COOPERATIVE AGRICOLE;0
6318;;UNION DE SOCIETES COOPERATIVES AGRICOLES;0
6400;;SOCIETE NON COMMERCIALE D ASSURANCE;0
6411;;SOCIETE D'ASSURANCE A FORME MUTUELLE;0
6500;SC;SOCIETE CIVILE;0
6511;;SOCIETE INTERPROFESSIONNELLE DE SOINS AMBULATOIRES;0
6521;SC;SOCIETE CIVILE DE PLACEMENT COLLECTIF IMMOBILIER;0
6532;SC;SOCIETE CIVILE D'INTERET COLLECTIF AGRICOLE (SICA);0
6533;SC;GROUPEMENT AGRICOLE D'EXPLOITATION EN COMMUN (GAEC);0
6534;SC;GROUPEMENT FONCIER AGRICOLE;0
6535;SC;GROUPEMENT AGRICOLE FONCIER;0
6536;SC;GROUPEMENT FORESTIER;0
6537;SC;GROUPEMENT PASTORAL;0
6538;GFR;GROUPEMENT FONCIER RURAL;0
6539;SC;SOCIETE CIVILE FONCIERE;0
6540;SCI;SOCIETE CIVILE IMMOBILIERE;0
6541;SCI;SOCIETE CIVILE IMMOBILIERE DE CONSTRUCTION-VENTE;0
6542;SC;SOCIETE CIVILE D'ATTRIBUTION;0
6543;SC;SOCIETE CIVILE COOPERATIVE DE CONSTRUCTION;0
6544;;SCI ACCESSION PROGRESSIVE A LA PROPRIETE;0
6551;;SOCIETE COOPERATIVE DE CONSOMMATION;0
6554;SC;SOCIETE CIVILE COOPERATIVE D'INTERET MARITIME;0
6558;SC;SOCIETE CIVILE COOPERATIVE ENTRE MEDECINS;0
6560;SC;AUTRE SOCIETE CIVILE COOPERATIVE;0
6561;SCP;SCP D'AVOCATS;0
6562;SCP;SCP D'AVOCATS AUX CONSEILS;0
6563;SCP;SCP D'AVOUES D'APPEL;0
6564;SCP;SCP D'HUISSIERS;0
6565;SCP;SCP DE NOTAIRES;0
6566;SCP;SCP DE COMMISSAIRES-PRISEURS;0
6567;SCP;SCP DE GREFFIERS DE TRIBUNAL DE COMMERCE;0
6568;SCP;SCP DE CONSEILLERS JURIDIQUES;0
6569;SCP;SCP DE COMMISSAIRES AUX COMPTES;0
6571;SCP;SCP DE MEDECINS;0
6572;SCP;SCP DE DENTISTES;0
6573;SCP;SCP D'INFIRMIERS;0
6574;SCP;SCP DE MASSEURS-KINESITHERAPEUTES;0
6575;SCP;SCP DE DIRECTEURS DE LABORATOIRE D'ANALYSE MEDICALE;0
6576;SCP;SCP DE VETERINAIRES;0
6577;SCP;SCP DE GEOMETRES EXPERTS;0
6578;SCP;SCP D'ARCHITECTES;0
6585;SCP;AUTRE SOCIETE CIVILE PROFESSIONNELLE;0
6588;;SOCIETE CIVILE LAITIERE;0
6589;SCM;SOCIETE CIVILE DE MOYENS;0
6595;;CAISSE LOCALE DE CREDIT MUTUEL;0
6596;;CAISSE DE CREDIT AGRICOLE MUTUEL;0
6597;SCEA;SOCIETE CIVILE EXPLOITATION AGRICOLE;0
6598;EARL;EXPLOITATION AGRICOLE A RESPONSABILITE LIMITEE;0
6599;SC;AUTRE SOCIETE CIVILE;0
6900;;AUTRE PERSONNE DE DROIT PRIVE INSCRITE AU RCS;0
6901;;AGENCE FRANCE PRESSE;0
7111;;AUTORITE CONSTITUTIONNELLE;0
7112;;AUTORITE  ADMINISTRATIVE INDEPENDANTE;0
7113;;MINISTERE;0
7120;;SERVICE CENTRAL D'UN MINISTERE;0
7150;;SERVICE DU MINISTERE DE LA DEFENSE;0
7160;;SERVICE EXTERIEUR A COMPETENCE NATIONAL D'UN MINISTERE;0
7171;;SERVICE EXTERIEUR DE L'ETAT A COMPETENCE INTER-REGIONALE;0
7172;;SERVICE EXTERIEUR DE L'ETAT A COMPETENCE INTER-DEPARTEM;0
7179;;AUTRE SERVICE EXTERIEUR DE L'ETAT A COMPETENCE TERRITOR;0
7190;;ECOLE NATIONALE NON DOTEE DE LA PERSONNALITE MORALE;0
7210;;COMMUNE ET COMMUNE NOUVELLE;0
7220;;DEPARTEMENT;0
7225;;COLLECTIVITE ET TERRITOIRE D'OUTRE-MER;0
7229;;AUTRE COLLECTIVITE TERRITORIALE;0
7230;;REGION;0
7300;;COMMUNAUTE D AGGLOMERATIONS;0
7312;;COMMUNE ASSOCIEE ET COMMUNE DELEGUEE;0
7313;;SECTION DE COMMUNE;0
7314;;ENSEMBLE URBAIN;0
7321;ASA;ASSOCIATION SYNDICALE AUTORISEE;0
7322;;ASSOCIATION FONCIERE URBAINE;0
7323;;ASSOCIATION FONCIERE DE REMEMBREMENT;0
7331;;ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT;0
7340;;POLE METROPOLITAIN;0
7341;;SECTEUR DE COMMUNE;0
7342;;DISTRICT URBAIN;0
7343;;COMMUNAUTE URBAINE;0
7344;;METROPOLE;0
7345;;SYNDICAT INTERCOMMUNAL A VOCATION MULTIPLE;0
7346;;COMMUNAUTE DE COMMUNES;0
7347;;COMMUNAUTE DE VILLES;0
7348;;COMMUNAUTE D AGGLOMERATION;0
7349;;AUTRE ETABL PUBLIC LOCAL DE COOPERATION NON SPECIALISE;0
7351;;INSTITUTION INTERDEPARTEMENTALE;0
7352;;INSTITUTION INTERREGIONNALE;0
7353;;SYNDICAT INTERCOMMUNAL A VOCATION UNIQUE;0
7354;;SYNDICAT MIXTE COMMUNAL;0
7355;;AUTRE SYNDICAT MIXTE;0
7356;;COM SYND POUR LA GESTION DES BIENS INDIVIS DES COMMUNES;0
7361;;CENTRE COMMUNAL D'ACTION SOCIAL;0
7362;;CAISSE DES ECOLES;0
7363;;CAISSE DE CREDIT MUNICIPAL;0
7364;;ETABLISSEMENT HOSPITALIER;0
7365;;SYNDICAT INTERHOSPITALIER;0
7366;;ETABLISSEMENT PUBLIC LOCAL SOCIAL ET MEDICO-SOCIAL;0
7371;;OFFICE PUBLIC DE HLM;0
7372;;SERVICE DEPARTEMENTAL D'INCENDIE;0
7373;;ETABLISSEMENT PUBLIC LOCAL CULTUREL;0
7378;;REGIE D'UNE COLLECTIVITE LOCALE A CARACTERE ADMINISTRATIF;0
7379;;AUTRE ETABLISSEMENT PUBLIC ADMINISTRATIF LOCAL;0
7381;;ORGANISME CONSULAIRE;0
7382;;ETS PUBLIC NATIONAL A FONCTION ADMINISTRATION CENTRALE;0
7383;;ETS PUBLIC NATIONAL CARACTERE SCIENTIF CULTUREL PROFES;0
7384;;AUTRE ETABLISSEMENT PUBLIC NATIONAL D'ENSEIGNEMENT;0
7385;;AUTRE ETS PUBLIC NATIONAL A COMPETENCE TERRITOR LIMITEE;0
7389;;ETABLISSEMENT PUBLIC NATIONAL A CARACTERE ADMINISTRATIF;0
7410;;GROUPEMENT D'INTERET PUBLIC;0
7430;;ETABLISSEMENT PUBLIC DES CULTES D'ALSACE LORRAINE;0
7450;;CERCLE OU FOYER DANS LES ARMEES;0
7470;;GROUPEMENT DE COOPERATIONS SANITAIRES A GESTION PUBLIQUE;0
7490;;AUTRE PERSONNE MORALE DE DROIT ADMINISTRATIF;0
7510;;SERVICE COLLECTIVITE LOCALE A COMPTABILITE DISTINCTE;0
7520;;REGIE COLLECTIVITE NON DOTEE DE PERSONNALITE MORALE;0
8100;;ORGANISME GERANT UN REGIME SOCIAL ADHESION OBLIGATOIRE;0
8110;;REGIME GENERAL DE LA SECURITE SOCIALE;0
8120;;REGIME SPECIAL DE SECURITE SOCIALE;0
8130;;INSTITUTION DE PREVOYANCE;0
8140;;MUTUALITE SOCIALE AGRICOLE;0
8150;;REGIME MALADIE DES NON SALARIES NON AGRICOLES;0
8160;;REGIME VIEILLESSE HORS REGIME GENERAL DE LA SEC SOCIALE;0
8170;;REGIME D'ASSURANCE CHOMAGE;0
8190;;AUTRE REGIME DE PREVOYANCE SOCIALE;0
8200;MUT;ORGANISME MUTUALISTE;0
8210;MUT;MUTUELLE;0
8250;;ASSURANCE MUTUELLE AGRICOLE;0
8290;;AUTRE ORGANISME MUTUALISTE;0
8300;;COMITE D ENTREPRISE;0
8310;;COMITE CENTRAL D'ENTREPRISE;0
8311;;COMITE D'ETABLISSEMENT;0
8400;;ORGANISME PROFESSIONNEL;0
8410;;SYNDICAT DE SALARIES;0
8420;;SYNDICAT PATRONAL;0
8450;;ORDRE PROFESSIONNEL OU ASSIMILE;0
8470;;CENTRE TECHN INDUST OU COMITE PROFES DU DEVELOPP ECONOM;0
8490;;AUTRE ORGANISME PROFESSIONNEL;0
8500;;ORGANISME DE RETRAITE A ADHESION NON OBLIGATOIRE;0
8510;;INSTITUTION DE PREVOYANCE;0
8520;;INSTITUTION DE RETRAITE SUPPLEMENTAIRE;0
9100;ASS;SYNDICAT DE PROPRIETAIRES;0
9110;SYND;SYNDICAT DE COPROPRIETE;0
9150;ASL;ASSOCIATION SYNDICALE LIBRE;0
9200;ASS;ASSOCIATION LOI 1901 ET ASSIMILES;0
9210;ASS;ASSOCIATION NON DECLAREE;0
9220;ASS;ASSOCIATION DECLAREE;0
9221;ASS;ASSOCIATION DECLAREE ENTREPRISE D INSERTION PAR L ECONOMIQUE;0
9222;;ASSOCIATIONS INTERMEDIAIRES;0
9223;;GROUPEMENT D EMPLOYEUR;0
9224;;ASSOC AVOCATS A RESP PROF  INDIVIDUELLE;0
9230;ASS;ASSOCIATION DECLAREE RECONNUE D'UTILITE PUBLIQUE;0
9240;;CONGREGATION;0
9260;ASS;ASSOCIATION DE DROIT LOCAL;0
9300;;FONDATION;0
9900;;AUTRE PERSONNE MORALE DE DROIT PRIVE;0
9970;;GROUPEMENT DE COOPERATION SANITAIRE A GESTION PRIVEE;0
IIII;;Valeur inconnue;1
XXXX;;Valeur sans objet;2
