GM9_GHM_COD;CMD_COD;GHM_LIB;TEC_COL
08C03V;8;***Interventions majeures sur les articulations et greffes de membres sans CMA;0
08C03W;8;***Interventions majeures sur les articulations et greffes de membres avec CMA;0
08C04Z;8;Interventions sur la hanche et le fémur, autres que les interventions majeures, âge inférieur à 18 ans;0
08C05V;8;Interventions sur la hanche et le fémur, autres que les interventions majeures, âge supérieur à 17 ans sans CMA;0
08C05W;8;Interventions sur la hanche et le fémur, autres que les interventions majeures, âge supérieur à 17 ans avec CMA;0
07C10V;7;Interventions sur le foie, le pancréas et les veines porte ou cave pour affections non malignes sans CMA;0
07C10W;7;Interventions sur le foie, le pancréas et les veines porte ou cave pour affections non malignes avec CMA;0
07C11V;7;Dérivations biliaires sans CMA;0
07C11W;7;Dérivations biliaires avec CMA;0
07C12V;7;Autres interventions sur les voies biliaires sauf cholécystectomies isolées sans CMA;0
07C12W;7;Autres interventions sur les voies biliaires sauf cholécystectomies isolées avec CMA;0
07M01S;7;Affections du système hépatobiliaire et du pancréas avec CMAS;0
07M02V;7;Affections des voies biliaires, âge inférieur à 70 ans sans CMA;0
07M02W;7;Affections des voies biliaires, âge supérieur à 69 ans et/ou CMA;0
05K06V;5;Endoprothèses vasculaires sans infarctus du myocarde sans CMA;0
05K06W;5;Endoprothèses vasculaires sans infarctus du myocarde avec CMA;0
05K07Z;5;Actes thérapeutiques par voie vasculaire sauf endoprothèses avec pathologie cardiovasculaire sévère en dehors de l'infarctus aigu du myocarde;0
05K08Z;5;Actes thérapeutiques par voie vasculaire sauf endoprothèses sans pathologie cardiovasculaire sévère;0
05K09Z;5;Actes diagnostiques par voie vasculaire avec pathologie cardiovasculaire sévère en dehors d'un infarctus aigu du myocarde;0
05K10Z;5;Actes diagnostiques par voie vasculaire sans pathologie cardiovasculaire sévère;0
05K11Z;5;Traitements des troubles du rythme par voie vasculaire;0
05M02E;5;Infarctus aigu du myocarde avec décès;0
05M03Z;5;Infarctus aigu du myocarde avec complications cardiovasculaires et sortie en vie de l'établissement;0
05M04V;5;Infarctus aigu du myocarde sans complication cardiovasculaire sans CMA;0
05M04W;5;Infarctus aigu du myocarde sans complication cardiovasculaire avec CMA;0
05M05V;5;Syncopes et lipothymies, âge inférieur à 70 ans sans CMA;0
24K30Z;24;Endoscopies urinaires thérapeutiques et anesthésie : séjours de moins de 2 jours;0
24K31Z;24;Endoscopies urinaires thérapeutiques sans anesthésie : séjours de moins de 2 jours;0
24K32Z;24;Endoscopies urinaires diagnostiques et anesthésie : séjours de moins de 2 jours;0
24K33Z;24;Endoscopies urinaires diagnostiques sans anesthésie : séjours de moins de 2 jours;0
24K34Z;24;Endoscopies oto-rhino-laryngologiques : séjours de moins de 2 jours;0
24K35Z;24;Endoscopies bronchiques : séjours de moins de 2 jours;0
24K36Z;24;Traitements des troubles du rythme par voie vasculaire : séjours de moins de 2 jours;0
24K37Z;24;Embolisations : séjours de moins de 2 jours;0
05C17W;5;Ligatures de veines et éveinages, âge supérieur à 69 ans et/ou CMA;0
05C18Z;5;Autres interventions sur le système circulatoire;0
05C19Z;5;Pose d'un défibrillateur cardiaque;0
05C20Z;5;Remplacement ou ablation chirurgicale d'électrodes ou repositionnement de boîtier de stimulation cardiaque permanente;0
18Z01S;18;Maladies infectieuses et parasitaires, avec CMAS, avec ou sans acte;0
19C02Z;19;Interventions chirurgicales avec un diagnostic principal de maladie mentale;0
05C08W;5;Autres interventions cardiothoraciques âge supérieur à 1 an, ou vasculaires quel que soit l'âge, sans circulation extracorporelle, avec CMA;0
05C09Z;5;Autres interventions cardiothoraciques, âge inférieur à 2 ans, sans circulation extracorporelle;0
05C10V;5;Chirurgie majeure de revascularisation sans CMA;0
24Z09E;24;Infarctus du myocarde avec décès : séjours de moins de 2 jours;0
24Z10E;24;Nouveau-nés décédés : séjours de moins de 2 jours;0
24Z11E;24;Autres décès : séjours de moins de 2 jours;0
24Z12Z;24;***Transferts de nouveau-nés vers un autre établissement : séjours de moins de 2 jours;0
24Z13Z;24;***Brûlures avec transfert vers un autre établissement : séjours de moins de 2 jours;0
24Z14Z;24;***Autres transferts : séjours de moins de 2 jours;0
24Z15Z;24;Interruption volontaire de grossesse : séjours de moins de 2 jours;0
24Z16Z;24;***Affections de la CMD 15 : séjours de moins de 2 jours;0
24Z17Z;24;Éthylisme aigu : séjours de moins de 2 jours;0
24Z18Z;24;Affections de la CMD 20 : séjours de moins de 2 jours;0
24Z19Z;24;Interventions à visée esthétique et de confort, séjours de moins de 2 jours;0
06M05V;6;Tumeurs malignes du tube digestif, âge inférieur à 70 ans sans CMA;0
06M05W;6;Tumeurs malignes du tube digestif, âge supérieur à 69 ans et/ou CMA;0
06M06V;6;Occlusions intestinales non dues à une hernie sans CMA;0
06M06W;6;Occlusions intestinales non dues à une hernie avec CMA;0
06M07V;6;Maladies inflammatoires de l'intestin sans CMA;0
06M07W;6;Maladies inflammatoires de l'intestin avec CMA;0
06M08Z;6;Autres affections digestives, âge inférieur à 18 ans;0
06M09V;6;Autres affections digestives, âge de 18 à 69 ans sans CMA;0
06M09W;6;Autres affections digestives, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
06M11V;6;Ulcères gastroduodénaux non compliqués, âge inférieur à 70 ans sans CMA;0
27C06Z;27;Transplantations rénales;0
27Z02Z;27;Allogreffes de cellules souches hématopoïétiques;0
27Z03Z;27;Autogreffes de cellules souches hématopoïétiques;0
28Z01Z;28;Entraînements à la dialyse péritonéale automatisée, en séances;0
28Z02Z;28;Entraînements à la dialyse péritonéale continue ambulatoire, en séances;0
28Z03Z;28;Entraînements à l'hémodialyse, en séances;0
28Z04Z;28;Hémodialyse, en séances;0
24K39Z;24;Actes diagnostiques par voie vasculaire de la CMD 05 : séjours de moins de 2 jours;0
24M01Z;24;Convulsions, épilepsies et céphalées : séjours de moins de 2 jours;0
24M02Z;24;Commotions cérébrales : séjours de moins de 2 jours;0
24M03Z;24;Affections de la CMD 01 : séjours de moins de 2 jours, sans acte opératoire de la CMD 01;0
24M04Z;24;Affections de la CMD 02 : séjours de moins de 2 jours, sans acte opératoire de la CMD 02;0
24M05Z;24;Otites moyennes et infections des voies aériennes supérieures : séjours de moins de 2 jours;0
24M06Z;24;Affections de la CMD 03 : séjours de moins de 2 jours, sans acte opératoire de la CMD 03;0
24M07Z;24;Bronchites et asthme : séjours de moins de 2 jours;0
24M08Z;24;Affections de la CMD 04 : séjours de moins de 2 jours, sans acte opératoire de la CMD 04;0
24K09Z;24;Affections de la CMD 09 : séjours de moins de 2 jours, sans acte opératoire de la CMD 09, avec anesthésie;0
24K10Z;24;Lithotritie extracorporelle de l'appareil urinaire : séjours de moins de 2 jours;0
24K11Z;24;Affections de la CMD 13 : séjours de moins de 2 jours, sans acte opératoire de la CMD 13, avec anesthésie;0
24K12Z;24;Affections de la CMD 17 : séjours de moins de 2 jours, sans acte opératoire, avec anesthésie;0
11M05W;11;***Insuffisance rénale, avec dialyse, âge supérieur à 69 ans et/ou CMA;0
11M06V;11;Insuffisance rénale, sans dialyse, âge inférieur à 70 ans sans CMA;0
11M06W;11;Insuffisance rénale, sans dialyse, âge supérieur à 69 ans et/ou CMA;0
11M07V;11;Tumeurs des reins et des voies urinaires sans CMA;0
11M07W;11;Tumeurs des reins et des voies urinaires avec CMA;0
11M08Z;11;Autres affections des reins et des voies urinaires, âge inférieur à 18 ans;0
11M09V;11;Autres affections des reins et des voies urinaires, âge supérieur à 17 ans sans CMA;0
11M09W;11;Autres affections des reins et des voies urinaires, âge supérieur à 17 ans avec CMA;0
11M10V;11;Rétrécissement urétral, âge inférieur à 70 ans sans CMA;0
11M10W;11;Rétrécissement urétral, âge supérieur à 69 ans et/ou CMA;0
11M11Z;11;Signes et symptômes concernant les reins et les voies urinaires, âge inférieur à 18 ans;0
11M12V;11;Signes et symptômes concernant les reins et les voies urinaires, âge de 18 à 69 ans sans CMA;0
24M35Z;24;Autres motifs de recours chez un patient diabétique : séjours de moins de 2 jours;0
08C06Z;8;Amputations pour affections de l'appareil musculosquelettique et du tissu conjonctif;0
08C07V;8;***Interventions sur le rachis sans CMA;0
05M09V;5;Insuffisances cardiaques et états de choc circulatoire sans CMA;0
03M09V;3;Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, âge supérieur à 17 ans sans CMA;0
03M09W;3;Autres diagnostics portant sur les oreilles, le nez, la gorge ou la bouche, âge supérieur à 17 ans avec CMA;0
03M10Z;3;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge inférieur à 18 ans;0
03M11V;3;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge de 18 à 69 ans sans CMA;0
24K13Z;24;***Motifs de recours de la CMD 23 : séjours de moins de 2 jours, sans acte opératoire, avec anesthésie;0
24K14Z;24;Autres séjours de moins de 2 jours sans acte opératoire, avec anesthésie;0
24K15Z;24;Affections de la CMD  03 : séjours de moins de 2 jours, sans acte opératoire de la CMD 03, avec anesthésie;0
24K16Z;24;Endoprothèses coronariennes et vasculaires périphériques : séjours de moins de 2 jours;0
24K17Z;24;Actes thérapeutiques par voie vasculaire sauf endoprothèses et embolisations : séjours de moins de 2 jours;0
24K18Z;24;Affections de la CMD  05 : séjours de moins de 2 jours, sans acte opératoire de la CMD 05, avec anesthésie;0
24K19Z;24;Affections de la CMD  06 : séjours de moins de 2 jours, sans acte opératoire de la CMD 06, avec anesthésie;0
24K20Z;24;Évacuation d'ascite : séjours de moins de 2 jours;0
24C39Z;24;Créations  et réfections des fistules artérioveineuses, séjours de moins de 2 jours;0
24C40Z;24;Interventions pour traumatismes de l'oeil, séjours de moins de 2 jours;0
24C41Z;24;Actes non mineurs de la CMD 02, séjours de moins de 2 jours;0
24C42Z;24;Actes non mineurs de la CMD 03 : séjours de moins de 2 jours;0
24C43Z;24;Pose d'un défibrillateur cardiaque : séjours de moins de 2 jours;0
24C44Z;24;Pose d'un stimulateur cardiaque permanent : séjours de moins de 2 jours;0
24C45Z;24;Hémorroïdectomies : séjours de moins de 2 jours;0
24C46Z;24;Actes non mineurs sur la main  : séjours de moins de 2 jours;0
24C47Z;24;Interventions sur le sein : séjours de moins de 2 jours;0
24C48Z;24;Interventions sur la peau et les tissus sous-cutanés : séjours de moins de 2 jours;0
24C49Z;24;Prélèvements d'ovocytes : séjours de moins de 2 jours;0
10M05W;10;Troubles métaboliques ou nutritionnels divers, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
24C35Z;24;Affections de la CMD 19 : séjours de moins de 2 jours, avec acte opératoire;0
24C36Z;24;***Affections de la CMD 21 : séjours de moins de 2 jours, avec acte opératoire de la CMD 21;0
24C37Z;24;Affections de la CMD 22 : séjours de moins de 2 jours, avec acte opératoire de la CMD 22;0
24C38Z;24;Motifs de recours de la CMD 23 : séjours de moins de 2 jours, avec acte opératoire;0
10M01S;10;Affections endocriniennes, métaboliques et nutritionnelles, avec CMAS;0
10M02V;10;Diabète, âge de 36 à 69 ans sans CMA;0
10M02W;10;Diabète, âge de 36 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
10M03Z;10;Diabète, âge inférieur à 36 ans;0
10M04V;10;Troubles métaboliques ou nutritionnels divers, âge inférieur à 18 ans sans CMA;0
10M04W;10;Troubles métaboliques ou nutritionnels divers, âge inférieur à 18 ans avec CMA;0
10M05V;10;Troubles métaboliques ou nutritionnels divers, âge de 18 à 69 ans sans CMA;0
13C07W;13;Interventions sur le système utéroannexiel pour des affections non malignes, autres que les interruptions tubaires, âge supérieur à 69 ans et/ou CMA;0
13C08V;13;Interventions sur la vulve, le vagin ou le col utérin, âge inférieur à 70 ans sans CMA;0
13C08W;13;Interventions sur la vulve, le vagin ou le col utérin, âge supérieur à 69 ans et/ou CMA;0
13C09Z;13;Laparoscopies ou coelioscopies diagnostiques;0
13C10Z;13;Ligatures tubaires par laparoscopie ou coelioscopie;0
13C11Z;13;Dilatations et curetages, conisations pour tumeurs malignes;0
13C12Z;13;Dilatations et curetages, conisations pour des affections non malignes;0
13C13Z;13;Autres interventions sur l'appareil génital féminin;0
11K02V;11;Insuffisance rénale, avec dialyse, âge inférieur à 70 ans sans CMA;0
09C10W;9;Autres interventions sur la peau, les tissus sous-cutanés ou les seins avec CMA;0
09M02Z;9;Traumatismes de la peau et des tissus sous-cutanés, âge inférieur à 18 ans;0
03C11Z;3;Amygdalectomies et/ou adénoïdectomies isolées, âge supérieur à 17 ans;0
03C12Z;3;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge inférieur à 18 ans;0
03C13Z;3;Interventions sur les amygdales et les végétations adénoïdes autres que les amygdalectomies et/ou les adénoïdectomies isolées, âge supérieur à 17 ans;0
03C14Z;3;Drains transtympaniques, âge inférieur à 18 ans;0
03C15Z;3;Drains transtympaniques, âge supérieur à 17 ans;0
03C16V;3;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, âge inférieur à 70 ans sans CMA;0
03C16W;3;Autres interventions chirurgicales portant sur les oreilles, le nez, la gorge ou le cou, âge supérieur à 69 ans et/ou CMA;0
03C17Z;3;Interventions sur la bouche;0
03C18Z;3;Pose d'implants cochléaires;0
03C19Z;3;Ostéotomies de la face;0
03C20Z;3;Interventions de reconstruction de l'oreille moyenne;0
03C21Z;3;Interventions pour oreilles décollées;0
01C01S;1;Interventions pour affections du système nerveux, sauf craniotomie, avec CMAS;0
01C02Z;1;***Craniotomies, âge inférieur à 18 ans;0
01C03V;1;Craniotomies pour traumatisme, âge supérieur à 17 ans sans CMA;0
24M17Z;24;Traumatismes de la peau et des tissus sous-cutanés : séjours de moins de 2 jours;0
24M18Z;24;Affections de la CMD 09 : séjours de moins de 2 jours, sans acte opératoire de la CMD 09;0
24M19Z;24;Affections de la CMD 10 : séjours de moins de 2 jours, sans acte opératoire de la CMD 10;0
24M20Z;24;Lithiases urinaires : séjours de moins de 2 jours;0
24M21Z;24;Affections de la CMD 11 : séjours de moins de 2 jours, sans acte opératoire de la CMD 11;0
24M22Z;24;Affections de la CMD 12 : séjours de moins de 2 jours, sans acte opératoire de la CMD 12;0
12M04V;12;Hypertrophie prostatique bénigne, âge inférieur à 70 ans sans CMA;0
12M04W;12;Hypertrophie prostatique bénigne, âge supérieur à 69 ans et/ou CMA;0
12M05Z;12;Autres affections de l'appareil génital masculin;0
08M15V;8;Tendinites, myosites et bursites, âge inférieur à 70 ans sans CMA;0
08M15W;8;Tendinites, myosites et bursites, âge supérieur à 69 ans et/ou CMA;0
08M16Z;8;Ostéomyélites;0
08M17Z;8;Arthrites septiques;0
08M18Z;8;Suites de traitement après une affection de l'appareil musculosquelettique ou du tissu conjonctif;0
08M19V;8;Autres pathologies de l'appareil musculosquelettique et du tissu conjonctif sans CMA;0
08M19W;8;Autres pathologies de l'appareil musculosquelettique et du tissu conjonctif avec CMA;0
13M04V;13;Autres affections de l'appareil génital féminin, âge inférieur à 70 ans sans CMA;0
13M04W;13;Autres affections de l'appareil génital féminin, âge supérieur à 69 ans et/ou CMA;0
06C13W;6;Libérations d'adhérences péritonéales, âge supérieur à 69 ans et/ou CMA;0
06C14V;6;Interventions sur le rectum et l'anus autres que les résections rectales sans CMA;0
06C14W;6;Interventions sur le rectum et l'anus autres que les résections rectales avec CMA;0
06C15V;6;Autres interventions sur le tube digestif sans CMA;0
06C15W;6;Autres interventions sur le tube digestif avec CMA;0
06C16V;6;Interventions sur l'oesophage, l'estomac et le duodénum pour tumeurs malignes, âge supérieur à 17 ans sans CMA;0
24C18Z;24;Affections de la CMD 08 : séjours de moins de 2 jours, avec autre acte opératoire de la CMD 08;0
24C19Z;24;***Affections de la CMD 09 : séjours de moins de 2 jours, avec acte opératoire de la CMD 09;0
11C08W;11;Autres interventions sur les reins et les voies urinaires avec CMA;0
09M09Z;9;Affections non malignes des seins;0
14Z03A;14;Affections de l'ante partum, avec ou sans intervention chirurgicale, sans complications;0
14Z03B;14;Affections de l'ante partum, avec ou sans intervention chirurgicale, avec complications;0
14Z04Z;14;Avortements sans aspiration, ni curetage, ni hystérotomie;0
14Z05Z;14;Grossesses ectopiques;0
14Z06Z;14;Menaces d'avortement;0
14Z07Z;14;Faux travail;0
15Z02Z;15;Autres problèmes postnéonatals précoces;0
15Z03Z;15;Transferts précoces de nouveau-nés vers un autre établissement;0
15Z04E;15;Nouveau-nés de 1500 g et plus, décédés;0
10C06W;10;***Interventions sur la thyroïde, âge supérieur à 69 ans et/ou CMA;0
10C07Z;10;Interventions sur le tractus thyréoglosse;0
10C08Z;10;Autres interventions pour troubles endocriniens, métaboliques ou nutritionnels;0
10C09Z;10;Gastroplasties pour obésité;0
10C10Z;10;Autres interventions pour obésité;0
10C11V;10;Interventions sur la thyroïde pour tumeurs malignes, âge inférieur à 70 ans sans CMA;0
10C11W;10;Interventions sur la thyroïde pour tumeurs malignes, âge supérieur à 69 ans et/ou CMA;0
10C12V;10;Interventions sur la thyroïde pour affections non malignes, âge inférieur à 70 ans sans CMA;0
10C12W;10;Interventions sur la thyroïde pour affections non malignes, âge supérieur à 69 ans et/ou CMA;0
24M36Z;24;Autres motifs de recours de la CMD 23 : séjours de moins de 2 jours, sans acte opératoire;0
24M37Z;24;Douleurs chroniques rebelles : séjours de moins de 2 jours;0
24M38Z;24;Affections des seins : séjours de moins de 2 jours;0
24M39Z;24;Surveillances de greffes de rein : séjours de moins de 2 jours;0
02M05Z;2;Autres affections oculaires, âge inférieur à 18 ans;0
02M06V;2;Autres affections oculaires, âge supérieur à 17 ans sans CMA;0
02M06W;2;Autres affections oculaires, âge supérieur à 17 ans avec CMA;0
03C02V;3;Interventions majeures sur la tête et le cou sans CMA;0
03C02W;3;Interventions majeures sur la tête et le cou avec CMA;0
03M11W;3;Affections de la bouche et des dents sans certaines extractions, réparations ou prothèses dentaires, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
04C01S;4;Interventions pour affections de l'appareil respiratoire, avec CMAS;0
04C02V;4;Interventions majeures sur le thorax sans CMA;0
04C02W;4;Interventions majeures sur le thorax avec CMA;0
15Z07A;15;Nouveau-nés de 1500 g à 1999 g, sans problème significatif;0
15Z07B;15;Nouveau-nés de 1500 g à 1999 g, avec autre problème significatif;0
15Z07C;15;Nouveau-nés de 1500 g à 1999 g, avec problème majeur ou sévère;0
15Z08A;15;Nouveau-nés de 1000 g à 1499 g, sortis en vie;0
15Z08E;15;Nouveau-nés de 1000 g à 1499 g, décédés;0
15Z09A;15;Nouveau-nés de moins de 1000 g, sortis en vie;0
15Z09E;15;Nouveau-nés de moins de 1000 g, décédés;0
16C01S;16;Interventions pour affections du sang et des organes hématopoïétiques, avec CMAS;0
16C02Z;16;Interventions sur la rate;0
16C03V;16;Autres interventions pour affections du sang et des organes hématopoïétiques sans CMA;0
16C03W;16;Autres interventions pour affections du sang et des organes hématopoïétiques avec CMA;0
19M07W;19;Troubles mentaux d'origine organique et retards mentaux, âge inférieur à 81 ans avec CMA;0
19M08Z;19;Maladies et troubles mentaux de l'enfance;0
19M09Z;19;Autres troubles mentaux;0
19M10Z;19;Névroses autres que les névroses dépressives;0
19M11V;19;Névroses dépressives, âge inférieur à 70 ans sans CMA;0
19M11W;19;Névroses dépressives, âge supérieur à 69 ans et/ou CMA;0
20Z02Z;20;Toxicomanies non éthyliques avec dépendance;0
20Z03Z;20;Abus de drogues non éthyliques sans dépendance;0
20Z04Z;20;Éthylisme avec dépendance;0
20Z05Z;20;Éthylisme aigu;0
20Z06V;20;Troubles mentaux organiques induits par l'alcool ou d'autres substances, âge inférieur à 70 ans sans CMA;0
10M06Z;10;Maladies métaboliques congénitales;0
10M07V;10;Autres troubles endocriniens, âge inférieur à 70 ans sans CMA;0
10M07W;10;Autres troubles endocriniens, âge supérieur à 69 ans et/ou CMA;0
11C01S;11;Interventions pour affections des reins et des voies urinaires, avec CMAS;0
15Z05A;15;Nouveau-nés de 2500 g et plus, sans problème significatif;0
15Z05B;15;Nouveau-nés de 2500 g et plus, avec autre problème significatif;0
15Z05C;15;Nouveau-nés de 2500 g et plus, avec problème sévère;0
15Z05D;15;Nouveau-nés de 2500 g et plus, avec problème majeur;0
15Z06A;15;Nouveau-nés de 2000 g à 2499 g, sans problème significatif;0
15Z06B;15;Nouveau-nés de 2000 g à 2499 g, avec autre problème significatif;0
15Z06C;15;Nouveau-nés de 2000 g à 2499 g, avec problème sévère;0
11C02V;11;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection tumorale, sans CMA;0
09M05V;9;Lésions, infections et inflammations de la peau et des tissus sous-cutanés, âge de 18 à 69 ans sans CMA;0
09M05W;9;Lésions, infections et inflammations de la peau et des tissus sous-cutanés, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
09M06Z;9;Ulcères cutanés;0
09M07V;9;Autres affections dermatologiques, âge inférieur à 70 ans sans CMA;0
09M07W;9;Autres affections dermatologiques, âge supérieur à 69 ans et/ou CMA;0
09M08V;9;Affections dermatologiques sévères, âge inférieur à 70 ans sans CMA;0
09M08W;9;Affections dermatologiques sévères, âge supérieur à 69 ans et/ou CMA;0
24K05Z;24;Polysomnographies et autres explorations de longue durée : séjours de moins de 2 jours;0
08M07W;8;Fractures, entorses, luxations et dislocations du bras, de la jambe à l'exception du pied, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
08M08Z;8;Entorses et luxations du bassin et de la hanche;0
08M09Z;8;Arthropathies non spécifiques;0
19M02V;19;Troubles aigus de l'adaptation et du fonctionnement psychosocial, âge inférieur à 70 ans sans CMA;0
19M02W;19;Troubles aigus de l'adaptation et du fonctionnement psychosocial, âge supérieur à 69 ans et/ou CMA;0
19M03Z;19;Troubles de la personnalité et du comportement avec réactions impulsives;0
19M04Z;19;Psychoses, âge supérieur à 80 ans;0
19M05Z;19;Psychoses, âge inférieur à 81 ans;0
19M06V;19;Troubles mentaux d'origine organique et retards mentaux, âge supérieur à 80 ans sans CMA;0
19M06W;19;Troubles mentaux d'origine organique et retards mentaux, âge supérieur à 80 ans avec CMA;0
19M07V;19;Troubles mentaux d'origine organique et retards mentaux, âge inférieur à 81 ans sans CMA;0
05C10W;5;Chirurgie majeure de revascularisation avec CMA;0
05C11V;5;Autres interventions de chirurgie vasculaire sans CMA;0
05C11W;5;Autres interventions de chirurgie vasculaire avec CMA;0
05C12V;5;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, sans CMA;0
05C12W;5;Amputations du membre inférieur, sauf des orteils, pour troubles circulatoires, avec CMA;0
05C13V;5;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils sans CMA;0
05C13W;5;Amputations pour troubles circulatoires portant sur le membre supérieur ou les orteils avec CMA;0
05C14Z;5;Pose d'un stimulateur cardiaque permanent avec insuffisance cardiaque;0
05C15Z;5;Pose d'un stimulateur cardiaque permanent sans insuffisance cardiaque;0
05C16Z;5;***Remplacement ou ablation chirurgicale d'électrodes ou de boîtier de stimulation cardiaque permanente;0
05C17V;5;Ligatures de veines et éveinages, âge inférieur à 70 ans sans CMA;0
24C10Z;24;Affections de la CMD 05 : séjours de moins de 2 jours, avec autre acte opératoire de la CMD 05;0
09M03V;9;Traumatismes de la peau et des tissus sous-cutanés, âge de 18 à 69 ans sans CMA;0
09M03W;9;Traumatismes de la peau et des tissus sous-cutanés, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
09M04Z;9;Lésions, infections et inflammations de la peau et des tissus sous-cutanés, âge inférieur à 18 ans;0
06C06V;6;***Interventions sur l'oesophage, l'estomac et le duodénum, âge supérieur à 17 ans sans CMA;0
06C06W;6;***Interventions sur l'oesophage, l'estomac et le duodénum, âge supérieur à 17 ans avec CMA;0
23M06Z;23;Autres facteurs influant sur l'état de santé;0
23Z02Z;23;Soins palliatifs, avec ou sans acte;0
23Z03Z;23;Interventions de confort;0
24C01Z;24;***Libérations du canal carpien : séjours de moins de 2 jours;0
24C02Z;24;Affections de la CMD 01 : séjours de moins de 2 jours, avec autre acte opératoire de la CMD 01;0
16M02W;16;Affections du système réticuloendothélial ou immunitaire avec CMA;0
16M03V;16;Troubles de la lignée érythrocytaire, âge inférieur à 18 ans sans CMA;0
16M03W;16;Troubles de la lignée érythrocytaire, âge inférieur à 18 ans avec CMA;0
16M04V;16;Troubles de la lignée érythrocytaire, âge de 18 à 69 ans sans CMA;0
16M04W;16;Troubles de la lignée érythrocytaire, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
16M05V;16;Troubles de la coagulation, âge inférieur à 70 ans sans CMA;0
16M05W;16;Troubles de la coagulation, âge supérieur à 69 ans et/ou CMA;0
17C01S;17;Interventions pour affections myéloprolifératives et tumeurs de siège imprécis ou diffus, avec CMAS;0
01M10V;1;Autres affections cérébrovasculaires sans CMA;0
01M10W;1;Autres affections cérébrovasculaires avec CMA;0
01M11V;1;Affections des nerfs crâniens et rachidiens, âge inférieur à 70 ans sans CMA;0
01M11W;1;Affections des nerfs crâniens et rachidiens, âge supérieur à 69 ans et/ou CMA;0
24C15Z;24;Résections osseuses localisées et ablations de matériel de fixation : séjours de moins de 2 jours;0
24C16Z;24;***Interventions sur la main  : séjours de moins de 2 jours;0
24C17Z;24;Arthroscopies : séjours de moins de 2 jours;0
04C03V;4;Autres interventions chirurgicales sur le système respiratoire sans CMA;0
04C03W;4;Autres interventions chirurgicales sur le système respiratoire avec CMA;0
04M02V;4;Bronchites et asthme, âge inférieur à 18 ans sans CMA;0
04M02W;4;Bronchites et asthme, âge inférieur à 18 ans avec CMA;0
04M03V;4;Bronchites et asthme, âge de 18 à 69 ans sans CMA;0
04M03W;4;Bronchites et asthme, âge de 18 à 69 ans avec CMA, ou âge supérieur à 69 ans;0
