SIN_MLP_TAB;SIN_MLP_BTR;SIN_SYN_LOP;SIN_SYN_PAT;SIN_MLP_LIB;TEC_COL
022;A;A;F028;Troubles psychiques aigus avec confusion mentale, délire onirique FIN CODE 20/06/2004;0
022;A;A;F06X;Troubles psychiques;0
022;A;A;G622;Polynévrite;0
022;A;A;H46X;Névrite optique;0
022;A;A;R11X;Syndrome aigu neuro-digestif;0
022;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
023;A;A;H55X;Nystagmus;0
024;A;A;A418;Septicémie;0
024;A;A;A419;Tableau pseudo-grippal FIN CODE 01/01/2000;0
024;A;A;A420;Tableau pseudo-typhoïdique FIN CODE 01/01/2000;0
024;A;A;D63X;Anémie, purpura, hémorragie, adénopathie;0
024;A;A;D642;Anémie, purpura, hémorragie, adénopathie FIN CODE 20/06/2004;0
024;A;A;G01X;Réaction neuro-méningée;0
024;A;A;G050;Méningo-encéphalite, myélite FIN CODE 20/06/2004;0
024;A;A;G05X;Méningo-encéphalite, myélite;0
024;A;A;G548;Névrite radiculaire;0
024;A;A;I398;Endocardite FIN CODE 20/06/2004;0
024;A;A;I39X;Endocardite;0
024;A;A;I80X;Phlébite;0
024;A;A;J208;Bronchite, pneumopathie subaiguë;0
024;A;A;J42X;Bronchite, pneumopathie chronique;0
024;A;A;J91X;Pleurésie;0
024;A;A;K716;Formes hépato-spléniques subaiguës FIN CODE 20/06/2004;0
024;A;A;K71X;Forme hépato-splénique subaiguë;0
024;A;A;K770;Hépatite;0
024;A;A;M01X;Arthrite;0
024;A;A;N160;Néphrite;0
024;A;A;N41X;Prostatite;0
024;A;A;N45X;Orchite. épididymite;0
024;A;A;N709;Salpingite;0
024;A;A;R21X;Manifestations cutanées d'allergie;0
024;A;A;R53X;Asthénie profonde;0
024;A;B;G01X;Réaction méningée, méningite, arachnoïdite FIN CODE 20/06/2004;0
024;A;B;M01X;Arthrite séreuse, arthrite suppurée, ostéo-arthrite, osteïte, spondylodiscite, sacrocoxite FIN CODE 20/06/2004;0
024;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
025;A;A;B441;Aspergillose intracavitaire;0
025;A;A;C34X;Cancer bronchopulmonaire;0
025;A;A;I500;Insuffisance ventriculaire droite;0
025;A;A;J628;Silicose;0
025;A;A;J62X;Silicose, pneumoconiose du houilleur, schistose, talcose, kaolinose, graphitose, autres pneumoconioses FIN CODE 20/06/2004;0
025;A;A;J65X;Tuberculose ou autre mycobactériose;0
025;A;A;J851;Surinfection broncho-pulmonaire;0
025;A;A;J93X;Pneumothorax spontané;0
025;A;A;J960;Insuffisance respiratoire aiguë nécessitant des soins intensifs en milieu spécialisé FIN CODE 20/06/2004;0
025;A;A;J984;Nécrose cavitaire aseptique;0
025;A;A;J991;MP Issue transcodage MEDICIS FIN CODE 20/06/2004;0
025;A;A;M051;Syndrome de Caplan-Collinet;0
025;A;A;M340;Sclérodermie systémique progressive;0
025;A;B;J620;Kaolinose et talcose;0
025;A;B;J633;Graphitose;0
025;A;B;M340;Sclérodermie systémique progressive FIN CODE 20/06/2004;0
025;A;C;B441;Aspergillose intracavitaire;0
025;A;C;I500;Insuffisance ventriculaire droite;0
025;A;C;J628;Pneumoconiose;0
025;A;C;J65X;Tuberculose ou autre mycobactériose;0
025;A;C;J841;Fibrose interstitielle diffuse non régressive d'apparence primitive FIN CODE 20/06/2004;0
025;A;C;J851;Surinfection broncho-pulmonaire;0
025;A;C;J93X;Pneumothorax spontané;0
025;A;C;J961;Insuffisance respiratoire chronique caractérisée et coeur pulmonaire chronique FIN CODE 20/06/2004;0
025;A;C;J984;Nécrose cavitaire aseptique;0
025;A;C;M051;Syndrome de Caplan-Collinet;0
025;A;D;I500;Insuffisance ventriculaire droite;0
025;A;D;J65X;Tuberculose ou autre myobactériose;0
025;A;D;J841;Fibrose interstitielle pulmonaire;0
025;A;D;J93X;Pneumothorax spontané;0
025;A;D;J961;Insuffisance respiratoire chronique;0
025;A;D;M051;Lésions pleuro-pneumoconiotiques à type rhumatoïde (syndrome de Caplan Collinet) FIN CODE 20/06/2004;0
025;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
025;B;A;M340;MP Issue transcodage MEDICIS FIN CODE 20/06/2004;0
026;A;A;F322;Dépression mélancolique FIN CODE 20/06/2004;0
026;A;A;F32X;Dépression mélancolique;0
026;A;A;F408;Anxiété pantophobique;0
026;A;A;G252;Tremblements intentionnels;0
026;A;A;G253;Myoclonies;0
026;A;A;G409;Crises épileptiques;0
026;A;A;H532;Diplopie;0
026;A;A;H538;Amblyopie;0
026;A;A;H540;Amaurose FIN CODE 20/06/2004;0
026;A;A;H54X;Amaurose;0
026;A;A;H82X;Vertiges et troubles labyrinthiques;0
026;A;A;H832;Vertiges et troubles labyrinthiques FIN CODE 20/06/2004;0
026;A;A;H932;Hyperacousie;0
026;A;A;R270;Ataxies FIN CODE 20/06/2004;0
026;A;A;R27X;Ataxie;0
026;A;A;R40X;Coma;0
026;A;A;R410;Accès confusionnels;0
026;A;A;R47X;Aphasie et dysarthrie;0
026;A;A;R568;Crises épileptiformes;0
026;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
027;A;A;H538;Amblyopie;0
027;A;A;H82X;Vertiges;0
027;A;A;H832;Vertiges FIN CODE 20/06/2004;0
027;A;A;R270;Ataxie FIN CODE 20/06/2004;0
027;A;A;R27X;Ataxie;0
027;A;A;R40X;Accident aigu;0
027;A;A;R413;Amnésie;0
027;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
028;A;A;D638;Anémie FIN CODE 20/06/2004;0
028;A;A;D63X;Anémie;0
029;A;A;H678;Otite moyenne FIN CODE 20/06/2004;0
029;A;A;H82X;Syndrome vertigineux;0
029;A;A;H832;Syndrome vertigineux FIN CODE 20/06/2004;0
029;A;A;H918;Hypoacousie;0
029;A;A;H919;Hypoacousie FIN CODE 20/06/2004;0
029;A;A;M903;Ostéonécrose;0
029;A;A;T700;Otite moyenne;0
029;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
030;A;A;0000;Non précisé;0
030;A;A;I500;Insuffisance ventriculaire droite;0
030;A;A;J61X;Asbestose;0
030;A;A;J960;Insuffisance respiratoire aiguë;0
030;A;B;0000;Non précisé;0
030;A;B;I318;Plaques péricardiques;0
030;A;B;J90X;Pleurésie exsudative FIN CODE 20/06/2004;0
030;A;B;J91X;Pleurésie exsudative;0
030;A;B;J920;Plaques pleurales FIN CODE 01/06/2015;0
030;A;B;J929;Epaississement de la plèvre viscérale FIN CODE 20/06/2004;0
030;A;B;J92X;Plaques pleurales;0
030;A;B;J948;Epaississement de la plèvre viscérale;0
030;A;C;C34X;Cancer broncho-pulmonaire;0
030;A;D;C450;Mésothéliome malin de la plèvre;0
030;A;D;C451;Mésothéliome malin du péritoine;0
030;A;D;C452;Mésothéliome malin du péricarde;0
030;A;E;C384;Autres tumeurs pleurales primitives;0
030;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
030;B;A;C34X;Cancer broncho-pulmonaire;0
031;A;A;L23X;Lésions eczématiformes;0
032;A;A;H10X;Conjonctivite;0
032;A;A;J680;Bronchopneumopathie aiguë;0
032;A;A;J681;Oedème aigu du poumon;0
032;A;A;J682;Manifestations irritatives des voies aériennes supérieures;0
032;A;A;L24X;Dermite;0
032;A;A;L25X;Dermites FIN CODE 20/06/2004;0
032;A;A;T30X;Brûlures chimiques;0
032;A;B;M851;Syndrome ostéo-ligamentaire;0
032;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
033;A;A;H10X;Conjonctivite;0
033;A;A;L24X;Dermite aiguë;0
033;A;B;J632;Fibrose pulmonaire diffuse;0
033;A;B;J680;Bronchopneumopathie aiguë ou subaiguë;0
033;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
034;A;A;R11X;Troubles digestifs;0
034;A;B;J683;Troubles respiratoires;0
034;A;C;R41X;Troubles nerveux;0
034;A;D;R53X;Troubles généraux et vasculaires;0
034;A;E;R79X;Syndrome biologique;0
034;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
036;A;A;0000;Non précisé;0
036;A;A;J969;Insuffisance respiratoire FIN CODE 20/06/2004;0
036;A;A;L23X;Lésions eczématiformes;0
036;A;A;L24X;Dermite irritative;0
036;A;A;L303;Papulo-pustules multiples;0
036;A;A;L988;Granulome cutané avec réaction gigantofolliculaire FIN CODE 20/06/2004;0
036;A;B;L988;Granulome cutané;0
036;A;C;J969;Insuffisance respiratoire;0
036;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
036;B;A;C44X;Epithélioma primitif de la peau;0
037;A;A;L23X;Dermites eczématiformes;0
037;B;A;J30X;Rhinite;0
037;B;A;J450;Asthme;0
037;B;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
037;T;A;C31X;Cancer de l'ethmoïde et des sinus de la face;0
037;T;A;C34X;Cancer bronchique;0
037;T;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
038;A;A;H102;Conjonctivite aiguë bilatérale;0
038;A;A;H10X;Conjonctivite aiguë FIN CODE 20/06/2004;0
038;A;A;L23X;Lésions eczématiformes;0
038;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
039;A;A;G212;Syndrome parkinsonien;0
040;A;A;A182;Tuberculose ganglionnaire à Mycobacterium bovis;0
040;A;A;A184;Tuberculose cutanée ou sous cutanée à Mycobacterium bovis;0
040;A;A;A188;Tuberculose à Mycobacterium bovis;0
040;A;A;M011;Ostéoarthrite tuberculeuse à Mycobacterium bovis;0
040;A;A;M680;Synovite tuberculeuse à Mycobacterium bovis;0
040;A;B;0000;Non précisé;0
040;A;B;A150;Tuberculose pulmonaire FIN CODE 01/01/2000;0
040;A;B;A152;Tuberculose pulmonaire;0
040;A;B;A156;Tuberculose pleurale;0
040;A;B;A157;Infection tuberculeuse latente;0
040;A;B;A188;Tuberculose extra-thoracique;0
040;A;B;A18X;Tuberculose extrathoracique FIN CODE 20/06/2004;0
040;A;C;A310;Pneumopathies chroniques à mycobactéries atypiques;0
040;A;D;A311;Infection cutanée ulcéreuse à mycobactérie atypique;0
040;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
041;A;A;J30X;Rhinite;0
041;A;A;J450;Asthme;0
041;A;A;L23X;Lésions eczématiformes;0
041;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
042;A;A;H833;Hypoacousie de perception;0
043;A;A;0000;Non précisé;0
043;A;A;J30X;Rhinite;0
043;A;A;J450;Asthme;0
043;A;A;L23X;Lésions eczématiformes;0
043;A;A;L24X;Ulcérations cutanées FIN CODE 20/06/2004;0
043;A;A;L984;Dermites irritatives;0
043;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
043;B;A;C11X;Carcinome du nasopharynx;0
044;A;A;J43X;Manifestation pathologique associée : emphysème;0
044;A;A;J634;Sidérose;0
044;A;B;I500;Complication cardiaque FIN CODE 24/03/2005;0
044;A;B;I50X;Complication cardiaque FIN CODE 20/06/2004;0
044;A;B;J43X;Manifestation pathologique associée : emphysème;0
044;B;A;C34X;Cancer broncho-pulmonaire;0
000;Y;Y;XXXX;Sans objet;2
001;A;A;D642;Anémie;0
001;A;A;G92X;Encéphalopathie aiguë FIN CODE 11/10/2008;0
001;A;A;R100;Syndrome douloureux abdominal FIN CODE 20/06/2004;0
001;A;A;R10X;Syndrome douloureux abdominal FIN CODE 11/10/2008;0
001;A;B;G122;Syndrome de sclérose latérale amyotrophique FIN CODE 11/10/2008;0
001;A;B;G138;Neuropathies périphériques et syndrome de sclérose latérale amyotrophique FIN CODE 20/06/2004;0
001;A;B;G622;Neuropathies périphériques FIN CODE 11/10/2008;0
001;A;B;N18X;Insuffisance rénale chronique FIN CODE 11/10/2008;0
001;A;B;R10X;Syndrome douloureux abdominal;0
001;A;B;R41X;Troubles neurologiques organiques FIN CODE 11/10/2008;0
001;A;C;N143;Néphropathie tubulaire proximale subaiguë;0
001;A;C;N144;Néphropathie glomérulaire et tubulo-interstitielle tardive;0
001;A;C;R79X;Syndrome biologique FIN CODE 11/10/2008;0
001;A;D;F069;Encéphalopathie chronique;0
001;A;D;G622;Neuropathie périphérique;0
001;A;D;G92X;Encéphalopathie aiguë;0
001;A;E;R79X;Syndrome biologique;0
001;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
002;A;A;G252;Tremblement intentionnel;0
002;A;A;G92X;Encéphalopathie aiguë;0
002;A;A;K12X;Stomatite;0
002;A;A;L23X;Lésions eczématiformes;0
002;A;A;N144;Néphrite azotémique FIN CODE 20/06/2004;0
002;A;A;N14X;Néphrite azotémique;0
002;A;A;R104;Coliques et diarrhées FIN CODE 20/06/2004;0
002;A;A;R10X;Coliques et diarrhées;0
002;A;A;R270;Ataxie cérébelleuse FIN CODE 20/06/2004;0
002;A;A;R27X;Ataxie cérébelleuse;0
002;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
003;A;A;G622;Névrite ou polynévrite;0
003;A;A;K716;Ictère par hépatite FIN CODE 20/06/2004;0
003;A;A;K71X;Ictère par hépatite;0
003;A;A;K767;Hépatonéphrite;0
003;A;A;L24X;Dermite chronique;0
003;A;A;L25X;Dermites FIN CODE 20/06/2004;0
003;A;A;R40X;Accident nerveux aigu;0
003;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
004;A;A;C910;Leucémie aiguë lymphoblastique;0
004;A;A;C920;Leucémie aiguë myéloblastique;0
004;A;A;C959;Leucémies FIN CODE 20/06/2004;0
004;A;A;C95X;Leucémies FIN CODE 16/01/2009;0
004;A;A;D467;Hypercytose d'origine myélodysplasique FIN CODE 20/06/2004;0
004;A;A;D46X;Syndrome myélodysplasique;0
004;A;A;D471;Syndrome myéloprolifératif;0
004;A;A;D612;Hypoplasie ou aplasie médullaire;0
004;A;A;D642;Anémie FIN CODE 16/01/2009;0
004;A;A;D695;Thrombopénie FIN CODE 16/01/2009;0
004;A;A;D70X;Leuconeutropénie FIN CODE 16/01/2009;0
004;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 20/06/2004;0
004;B;A;R11X;Troubles gastro-intestinaux;0
005;A;A;M838;Ostéomalacie FIN CODE 20/06/2004;0
005;A;A;M83X;Ostéomalacie;0
005;A;A;M878;Nécrose du maxillaire inférieur FIN CODE 20/06/2004;0
005;A;A;M87X;Nécrose du maxillaire inférieur;0
005;A;B;L24X;Dermite aiguë;0
005;A;C;L24X;Dermite  chronique;0
005;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
006;A;A;C34X;Cancer broncho-pulmonaire;0
006;A;A;C41X;Sarcome osseux;0
006;A;A;C959;Leucémies FIN CODE 20/06/2004;0
006;A;A;C95X;Leucémie;0
006;A;A;D642;Anémie;0
006;A;A;D695;Thrombopénie;0
006;A;A;D698;Syndrome hémorragique;0
006;A;A;D70X;Leucopénie;0
006;A;A;H010;Blépharite;0
006;A;A;H10X;Conjonctivite;0
006;A;A;H168;Kératite FIN CODE 20/06/2004;0
006;A;A;H16X;Kératite;0
006;A;A;H268;Cataracte;0
006;A;A;L580;Radiodermite aiguë;0
006;A;A;L581;Radiodermite chronique;0
006;A;A;M873;Radionécrose osseuse FIN CODE 20/06/2004;0
006;A;A;M87X;Radionécrose osseuse;0
006;A;B;D642;Anémie consécutive à une irradiation chronique FIN CODE 20/06/2004;0
006;A;B;D695;Thrombopénie consécutive à une irradiation chronique FIN CODE 20/06/2004;0
006;A;B;D698;Syndrome hémorragique consécutif à une irradiation chronique FIN CODE 20/06/2004;0
006;A;B;D70X;Leucopénie consécutive à une irradiation chronique FIN CODE 20/06/2004;0
006;A;B;L580;Radio-épithélite aiguë des muqueuses;0
006;A;B;L581;Radiolésions chroniques des muqueuses;0
006;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
007;A;A;A35X;Tétanos;0
008;A;A;0000;Non précisé;0
008;A;A;H010;Blépharite;0
008;A;A;H10X;Conjonctivite;0
008;A;A;L080;Pyodermite;0
008;A;A;L23X;Dermite eczématiforme;0
008;A;A;L24X;Ulcérations, dermite FIN CODE 20/06/2004;0
008;A;A;L984;Ulcérations;0
008;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
009;A;A;E801;Porphyrie cutanée tardive;0
009;A;A;E802;Porphyrie cutanée tardive FIN CODE 01/01/2000;0
009;A;A;L708;Acné FIN CODE 20/06/2004;0
009;A;A;L70X;Acné;0
009;A;A;R40X;Accident nerveux aigu;0
009;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
010;A;A;J340;Ulcérations nasales;0
010;A;A;J34X;Ulcérations nasales FIN CODE 20/06/2004;0
010;A;A;L23X;Lésions eczématiformes;0
010;A;A;L24X;Ulcérations FIN CODE 20/06/2004;0
010;A;A;L984;Ulcérations cutanées chroniques;0
010;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
010;B;A;J30X;Rhinite;0
010;B;A;J310;Rhinite FIN CODE 20/06/2004;0
010;B;A;J450;Asthme;0
010;B;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
010;T;A;C34X;Cancer broncho-pulmonaire;0
010;T;B;C300;Cancer des cavités nasales;0
010;T;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
011;A;A;K712;Ictère par hépatite FIN CODE 20/06/2004;0
011;A;A;K71X;Ictère par hépatite;0
011;A;A;K767;Hépatonéphrite;0
011;A;A;L24X;Dermite irritative;0
011;A;A;L25X;Dermites FIN CODE 20/06/2004;0
011;A;A;N144;Néphrite  FIN CODE 20/06/2004;0
011;A;A;N14X;Néphrite aiguë ou subaiguë;0
011;A;A;R40X;Accident nerveux aigu;0
011;A;Z;R69X;Association de plusieurs syndromes du tableau FIN CODE 01/06/2015;0
012;A;A;149X;Troubles cardiaques aigus à type d'hyperexcitabilité ventriculaire ou supraventriculaire FIN CODE 01/09/2009;0
012;A;A;G50X;Névrite trigéminale FIN CODE 30/09/2007;0
012;A;A;H46X;Névrite optique FIN CODE 30/09/2007;0
012;A;A;I49X;Troubles cardiaques aigus;0
012;A;A;R260;Syndrome ébrieux FIN CODE 20/06/2004;0
012;A;A;R40X;Syndrome narcotique FIN CODE 30/09/2007;0
012;A;A;R41X;Syndrome ébrieux FIN CODE 30/09/2007;0
012;A;B;G98X;Troubles neurologiques chroniques FIN CODE 20/06/2004;0
012;A;B;K71X;Hépatite aiguë cytolytique;0
057;A;D;0000;Non précisé;0
057;A;D;G573;Syndrome de compression du nerf sciatique poplité externe FIN CODE 08/08/2008;0
057;A;D;G57A;Syndrome de compression du nerf sciatique poplité externe droit FIN CODE 01/05/2018;0
057;A;D;G57B;Syndrome de compression du nerf sciatique poplité externe gauche FIN CODE 01/05/2018;0
057;A;D;G57C;Compression du nerf sciatique poplité externe droit au col du péroné objectivé par électromyogramme;0
057;A;D;G57D;Compression du nerf sciatique poplité externe gauche au col du péroné objectivé par électromyogramme;0
057;A;D;M705;Hygroma aigu du genou FIN CODE 08/08/2008;0
057;A;D;M708;Hygroma chronique du genou FIN CODE 08/08/2008;0
057;A;D;M70E;Hygroma aigu du genou droit;0
057;A;D;M70F;Hygroma aigu du genou gauche;0
057;A;D;M70G;Hygroma chronique du genou droit;0
057;A;D;M70H;Hygroma chronique du genou gauche;0
057;A;D;M765;Tendinite sous-quadricipitale ou rotulienne FIN CODE 08/08/2008;0
057;A;D;M768;Tendinite de la patte d'oie FIN CODE 08/08/2008;0
057;A;D;M76A;Tendinite sous-quadricipitale ou rotulienne droite FIN CODE 01/05/2018;0
057;A;D;M76B;Tendinite sous-quadricipitale ou rotulienne gauche FIN CODE 01/05/2018;0
057;A;D;M76C;Tendinite de la patte d'oie droite FIN CODE 01/05/2018;0
057;A;D;M76D;Tendinite de la patte d'oie gauche FIN CODE 01/05/2018;0
057;A;D;M76G;Genou droit : Tendinopathie sous-quadricipitale objectivée par échographie;0
057;A;D;M76H;Genou gauche : Tendinopathie sous-quadricipitale objectivée par échographie;0
