ATC4;Libellé ATC4
B05X;ADDITIFS POUR SOLUTIONS INTRAVENEUSES
B05XA;SOLUTIONS D'ELECTROLYTES 
B05XB;ACIDES AMINES 
B05XC;VITAMINES 
B05XX;AUTRES ADDITIFS POUR SOLUTIONS INTRAVEINEUSES 
B05ZA;CONCENTRES POUR HEMODIALYSE 
B05ZB;SOLUTIONS POUR HEMOFILTRATION 
B06AA;ENZYMES 
B06AB;AUTRES MEDICAMENTS DERIVES DE L'HEME 
C01AA;GLUCOSIDES DE LA DIGITALE 
C01AB;GLUCOSIDES DE LA SCILLE 
C01AC;GLUCOSIDES DU STROPHANTUS 
C01AX;AUTRES GLUCOSIDES CARDIOTONIQUES 
C01BA;ANTIARYTHMIQUES, CLASSE IA 
C01BB;ANTIARYTHMIQUES, CLASSE IB 
C01BC;ANTIARYTHMIQUES, CLASSE IC 
C01BD;ANTIARYTHMIQUES, CLASSE III 
C01BG;AUTRES ANTIARYTHMIQUES DE CLASSE I 
C01CA;ADRENERGIQUES ET DOPAMINERGIQUES 
C01CE;INHIBITEURS DE LA PHOSPHODIESTERASE 
C01CX;AUTRES STIMULANTS CARDIAQUES 
C01DA;DERIVES NITRES 
C01DB;VASODILATATEURS QUINOLINIQUES 
C01DX;AUTRES VASODILATATEURS EN CARDIOLOGIE 
C01EA;PROSTAGLANDINES 
C01EB;AUTRES MEDICAMENTS EN CARDIOLOGIE 
C01EX;AUTRES MEDICAMENTS EN ASSOCIATION EN CARDIOLOGIE 
C02AA;ALCALOIDES DU RAUWOLFIA 
C02AB;MEthyldopa 
C02AC;AGONISTES DES RECEPTEURS A L'IMIDAZOLINE 
C02BA;DERIVES DU SULFONIUM 
C02BB;AMINES SECONDAIRES ET TERTIAIRES 
C02BC;DERIVES D'AMMONIUMS BIQUATERNAIRES 
C02CA;ALPHA-BLOQUANTS 
C02CC;DERIVES DE LA GUANIDINE 
C02DA;DERIVES THIAZIDIQUES 
C02DB;DERIVES DE L'HYDRAZINOPHTALAZINE 
C02DC;DERIVES DE LA PYRIMIDINE 
C02DD;DERIVES DU NITROFERRICYANURE 
C02DG;DERIVES DE LA GUANIDINE 
C02KA;ALCALOIDES, CEUX DU RAUWOLFIA EXCLUS 
C02KB;INHIBITEURS DE LA TYROSINE HYDROXYLASE 
C02KC;INHIBITEURS DE LA MAO 
C02KD;ANTAGONISTES DE LA SEROTONINE 
C02KX;Autres antihypertenseurs 
C02LA;ALCALOIDES DU RAUWOLFIA ET DIURETIQUES EN ASSOCIATION 
C02LB;METHYLDOPA ET DIURETIQUES EN ASSOCIATION 
C02LC;AGONISTES DES RECEPTEURS A L'IMIDAZOLINE EN ASSOCIATION AVEC DES DIURETIQUES
C02LE;ALPHA-BLOQUANTS ET DIURETIQUES 
C02LF;DERIVES DE LA GUANIDINE ET DIURETIQUES 
C02LG;DERIVES DE L'HYDRAZINOPHTALAZINE ET DIURETIQUES 
C02LK;ALCALOIDES, CEUX DU RAUWOLFIA EXCLUS, EN ASSOCIATION AVEC DES DIURETIQUES
C02LL;INHIBITEURS DE LA MAO ET DIURETIQUES 
C02LN;ANTAGONISTES DE LA SEROTONINE ET DIURETIQUES 
C02LX;AUTRES ANTIHYPERTENSEURS ET DIURETIQUES 
C03AA;THIAZIDIQUES NON ASSOCIES 
C03AB;THIAZIDIQUES ET POTASSIUM EN ASSOCIATION 
C03AH;THIAZIDIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES ET/OU DES ANALGESIQUES
C03AX;THIAZIDIQUES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES 
C03BA;SULFAMIDES NON ASSOCIES 
C03BB;SULFAMIDES ET POTASSIUM EN ASSOCIATION 
C03BC;DIURETIQUES MERCURIELS 
C03BD;DERIVES XANTHIQUES 
C03BK;SULFAMIDES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES 
C03BX;"AUTRES DIURETIQUES ""LOW-CEILING"" "
C03CA;SULFAMIDES NON ASSOCIES 
C03CB;SULFAMIDES ET POTASSIUM EN ASSOCIATION 
C03CC;DERIVES DE L'ACIDE ARYLOXYACETIQUE 
C03CD;DERIVES DE LA PYRAZOLONE 
C03CX;AUTRES DIURETIQUES DE L'ANSE 
C03DA;ANTAGONISTES DE L'ALDOSTERONE 
C03DB;AUTRES DIURETIQUES EPARGNEURS POTASSIQUES 
C03EA;"DIURETIQUES ""LOW-CEILING"" ET EPARGNEURS POTASSIQUES "
C03EB;DIURETIQUES DE L'ANSE ET EPARGNEURS POTASSIQUES 
C03XA;ANTAGONISTES DE LA VASOPRESSINE
C04AA;DERIVES DU 2-AMINO-1-PHENYLETHANOL 
C04AB;DERIVES DE L'IMIDAZOLINE 
C04AC;ACIDE NICOTINIQUE ET DERIVES 
C04AD;DERIVES DE LA PURINE 
C04AE;ALCALOIDES DE L'ERGOT 
C04AF;ENZYMES 
C04AX;AUTRES VASODILATATEURS PERIPHERIQUES 
C05AA;CORTICOIDES 
C05AB;ANTIBIOTIQUES 
C05AD;ANESTHESIQUES LOCAUX 
C05AE;MYORELAXANTS 
C05AX;AUTRES MEDICAMENTS POUR LE TRAITEMENT DES HEMORROIDES ET DES FISSURES ANALES A USAGE TOPIQUE
C05BA;HEPARINES OU HEPARINOIDES A USAGE TOPIQUE 
C05BB;MEDICAMENTS SCLEROSANTS POUR INJECTION LOCALE 
C05BX;AUTRES MEDICAMENTS SCLEROSANTS 
C05CA;BIOFLAVONOIDES 
C05CX;AUTRES MEDICAMENTS AGISSANT SUR LES CAPILLAIRES 
C07AA;BETABLOQUANTS, NON SELECTIFS 
C07AB;BETABLOQUANTS, SELECTIFS 
C07AG;ALPHA ET BETA BLOQUANTS 
C07BA;BETABLOQUANTS NON SELECTIFS ET THIAZIDIQUES 
C07BB;BETABLOQUANTS SELECTIFS ET THIAZIDIQUES 
C07BG;ALPHA ET BETA BLOQUANTS ET THIAZIDIQUES 
C07CA;BETABLOQUANTS NON SELECTIFS ET AUTRES DIURETIQUES 
C07CB;BETABLOQUANTS SELECTIFS ET AUTRES DIURETIQUES 
C07CG;ALPHA ET BETA BLOQUANTS ET AUTRES DIURETIQUES 
C07DA;BETABLOQUANTS NON SELECTIFS, THIAZIDIQUES ET AUTRES DIURETIQUES 
C07DB;BETABLOQUANTS SELECTIFS, THIAZIDIQUES ET AUTRES DIURETIQUES 
C07EA;BETABLOQUANTS NON SELECTIFS ET VASODILATATEURS 
C07EB;BETABLOQUANTS SELECTIFS ET VASODILATATEURS 
C07FA;BETABLOQUANTS NON SELECTIFS ET AUTRES ANTI-HYPERTENSEURS 
C07FB;BETABLOQUANTS SELECTIFS ET AUTRES ANTIHYPERTENSEURS 
C08CA;DERIVES DE LA DIHYDROPYRIDINE 
C08CX;AUTRES INHIBITEURS CALCIQUES SELECTIFS A EFFETS VASCULAIRES 
C08DA;DERIVES DE LA PHENYLALKYLAMINE 
C08DB;DERIVES DE LA BENZOTHIAZEPINE 
C08EA;DERIVES DE LA PHENYLALKYLAMINE 
C08EX;AUTRES INHIBITEURS CALCIQUES NON SELECTIFS 
C08GA;INHIBITEUR CALCIQUE ET DIURETIQUE 
C09AA;INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) NON ASSOCIES 
C09BA;INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) ET DIURETIQUES 
C09BB;INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) ET INHIBITEURS CALCIQUES 
C09CA;ANTAGONISTES DE L'ANGIOTENSINE II NON ASSOCIES 
C09DA;ANTAGONISTES DE L'ANGIOTENSINE II ET DIURETIQUES 
C09DB;ANTAGONISTES DE L’ANGIOTENSINE II ET INHIBITEURS CALCIQUES 
C09XA;INHIBITEURS DE LA RENINE 
C10AA;INHIBITEURS DE L'HMG-COA REDUCTASE 
C10AB;FIBRATES 
C10AC;SEQUESTRANTS D'ACIDES BILIAIRES 
C10AD;ACIDE NICOTINIQUE ET DERIVES 
C10AX;AUTRES AGENTS MODIFIANT LES LIPIDES 
C10BA;INHIBITEURS DE L’HMG -COA REDUCTASE EN ASSOCIATION AVEC D’AUTRES AGENTS MODIFIANT LES LIPIDES
C10BX;INHIBITEURS DE L’HMG -COA REDUCTASE, AUTRES ASSOCIATIONS 
D01AA;ANTIBIOTIQUES 
D01AC;DERIVES IMIDAZOLES ET TRIAZOLES 
D01AE;AUTRES ANTIFONGIQUES A USAGE TOPIQUE 
D01BA;ANTIFONGIQUES A USAGE SYSTEMIQUE 
D02AA;MEDICAMENTS A BASE DE SILICONE 
D02AB;MEDICAMENTS A BASE DE ZINC 
D02AC;PARAFFINE ET PRODUITS GRAS 
D02AD;EMPLATRES LIQUIDES 
D02AE;MEDICAMENTS A BASE D'UREE 
D02AF;PREPARATIONS A BASE D'ACIDE SALICYLIQUE 
D02AX;AUTRES EMOLLIENTS ET PROTECTEURS 
D02BA;PROTECTEURS CONTRE LES RAYONNEMENTS UV A USAGE TOPIQUE 
D02BB;PROTECTEURS CONTRE LES RAYONNEMENTS UV A USAGE SYSTEMIQUE 
D03AA;PREPARATIONS A BASE D'HUILE DE FOIE DE MORUE 
D03AX;AUTRES CICATRISANTS 
D03BA;ENZYMES PROTEOLYTIQUES 
D04AA;ANTIHISTAMINIQUES A USAGE TOPIQUE 
D04AB;ANESTHESIQUES A USAGE TOPIQUE 
D04AX;AUTRES ANTIPRURIGINEUX 
D05AA;GOUDRONS 
D05AC;DERIVES ANTHRACENIQUES 
D05AD;PSORALENES A USAGE TOPIQUE 
D05AX;AUTRES MEDICAMENTS CONTRE LE PSORIASIS A USAGE TOPIQUE 
D05BA;PSORALENES A USAGE SYSTEMIQUE 
D05BB;RETINOIDES POUR LE TRAITEMENT DU PSORIASIS 
D05BX;AUTRES MEDICAMENTS CONTRE LE PSORIASIS A USAGE SYSTEMIQUE 
D06AA;TETRACYCLINE ET DERIVES 
D06AX;AUTRES ANTIBIOTIQUES A USAGE TOPIQUE 
D06BA;SULFAMIDES 
D06BB;ANTIVIRAUX 
D06BX;AUTRES CHIMIOTHERAPIES 
D07AA;CORTICOIDES D'ACTIVITE FAIBLE (GROUPE I) 
D07AB;CORTICOIDES D'ACTIVITE MODEREE (GROUPE II) 
D07AC;CORTICOIDES D'ACTIVITE FORTE (GROUPE III) 
D07AD;COSTICOSTEROIDES D'ACTIVITE TRES FORTE (GROUPE IV) 
D07BA;CORTICOIDES D'ACTIVITE FAIBLE ET ANTISEPTIQUES 
D07BB;CORTICOIDES D'ACTIVITE MODEREE ET ANTISEPTIQUES 
D07BC;CORTICOIDES D'ACTIVITE FORTE ET ANTISEPTIQUES 
D07BD;CORTICOIDES D'ACTIVITE TRES FORTE ET ANTISEPTIQUES 
D07CA;CORTICOIDES D'ACTIVITE FAIBLE ET ANTIBIOTIQUES 
D07CB;CORTICOIDES D'ACTIVITE MODEREE ET ANTIBIOTIQUES 
D07CC;CORTICOIDES D'ACTIVITE FORTE ET ANTIBIOTIQUES 
D07CD;CORTICOIDES D'ACTIVITE TRES FORTE ET ANTIBIOTIQUES 
D07XA;CORTICOIDES D'ACTIVITE FAIBLE, AUTRES ASSOCIATIONS 
D07XB;CORTICOIDES D'ACTIVITE MODEREE, AUTRES ASSOCIATIONS 
D07XC;CORTICOIDES D'ACTIVITE FORTE, AUTRES ASSOCIATIONS 
D07XD;CORTICOIDES D'ACTIVITE TRES FORTE, AUTRES ASSOCIATIONS 
D08AA;DERIVES DE L'ACRIDINE 
D08AB;MEDICAMENTS A BASE D'ALUMINIUM 
D08AC;BIGUANIDES ET AMIDINES 
D08AD;MEDICAMENTS A BASE D'ACIDE BORIQUE 
D08AE;PHENOL ET DERIVES 
D08AF;DERIVES DU NITROFURANE 
D08AG;DERIVES IODES 
D08AH;DERIVES DE LA QUINOLEINE 
D08AJ;AMMONIUMS QUATERNAIRES 
D08AK;DERIVES MERCURIELS 
D08AL;DERIVES ARGENTIQUES 
D08AX;AUTRES ANTISEPTIQUES ET DESINFECTANTS 
D09AA;PANSEMENTS AVEC ANTIINFECTIEUX 
D09AB;PANSEMENTS A BASE DE ZINC 
D09AX;PANSEMENTS A BASE DE PARAFFINE 
D10AA;CORTICOIDES, ASSOCIATIONS POUR LE TRAITEMENT DE L'ACNE 
D10AB;PREPARATIONS A BASE DE SOUFRE 
D10AD;RETINOIDES ANTIACNEIQUES A USAGE TOPIQUE 
D10AE;PEROXYDES 
D10AF;ANTIINFECTIEUX POUR LE TRAITEMENT DE L'ACNE 
D10AX;AUTRES PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE 
D10BA;RETINOIDES POUR LE TRAITEMENT DE L'ACNE 
D10BX;AUTRES PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE 
D11AA;ANTISUDORAUX 
D11AC;SHAMPOINGS MEDICAMENTEUX 
D11AE;ANDROGENES A USAGE TOPIQUE 
D11AF;VERRUCIDES ET CORICIDES 
D11AH;MEDICAMENTS UTILISES DANS LA DERMATITE, EXCLUS CORTICOSTEROIDES
D11AX;AUTRES MEDICAMENTS DERMATOLOGIQUES 
G01AA;ANTIBIOTIQUES 
G01AB;DERIVES ARSENICAUX 
G01AC;DERIVES DE LA QUINOLEINE 
G01AD;ACIDES ORGANIQUES 
G01AE;SULFAMIDES 
G01AF;DERIVES IMIDAZOLES 
G01AG;DERIVES TRIAZOLES 
G01AX;AUTRES ANTIINFECTIEUX ET ANTISEPTIQUES 
G01BA;ANTIBIOTIQUES ET CORTICOIDES 
G01BC;DERIVES DE LA QUINOLEINE ET CORTICOIDES 
G01BD;ANTISEPTIQUES ET CORTICOIDES 
G01BE;SULFAMIDES ET CORTICOIDES 
G01BF;DERIVES IMIDAZOLES ET CORTICOIDES 
G02AB;ALCALOIDES DE L'ERGOT 
G02AC;ALCALOIDES DE L'ERGOT ET OXYTOCINE ET DERIVES, EN ASSOCIATION 
G02AD;PROSTAGLANDINES 
G02AX;AUTRES OCYTOCIQUES 
G02BA;CONTRACEPTIFS INTRAUTERINS 
G02BB;CONTRACEPTIFS INTRAVAGINAUX 
G02CA;SYMPATHOMIMETIQUES, INHIBITEURS DU TRAVAIL 
G02CB;INHIBITEURS DE LA PROLACTINE 
G02CC;ANTIINFLAMMATOIRES A ADMINISTRATION VAGINALE 
G02CX;AUTRES MEDICAMENTS GYNECOLOGIQUES 
G03AA;PROGESTATIFS ET ESTROGENES EN ASSOCIATION FIXE 
G03AB;PROGESTATIFS ET ESTROGENES POUR ADMINISTRATION SEQUENTIELLE 
G03AC;PROGESTATIFS 
G03AD;CONTRACEPTION D'URGENCE
G03BA;DERIVES DU 3 OXOANDROSTENE 
G03BB;DERIVES DE LA 5 ANDROSTAN-3-ONE 
G03CA;ESTROGENES NATURELS ET HEMISYNTHETIQUES NON ASSOCIES 
G03CB;ESTROGENES SYNTHETIQUES NON ASSOCIES 
G03CC;ESTROGENES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES 
G03CX;AUTRES ESTROGENES 
G03DA;DERIVES PREGNENE 4 
G03DB;DERIVES PREGNADIENE 
G03DC;DERIVES ESTRENE 
G03EA;ANDROGENES ET ESTROGENES 
G03EB;ANDROGENE, PROGESTATIF ET ESTROGENE EN ASSOCIATION 
G03EK;ANDROGENES ET HORMONES SEXUELLES FEMELLES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES
G03FA;PROGESTATIFS ET ESTROGENES EN ASSOCIATION 
G03FB;PROGESTATIFS ET ESTROGENES POUR ADMINISTRATION SEQUENTIELLE 
G03GA;GONADOTROPHINES 
G03GB;STIMULANTS SYNTHETIQUES DE L'OVULATION 
G03HA;ANTIANDROGENES NON ASSOCIES 
G03HB;ANTIANDROGENES ET ESTROGENES 
G03XA;ANTIGONADOTROPHINES ET ANALOGUES 
G03XB;ANTIPROGESTATIFS 
G03XC;MODULATEURS SELECTIFS DES RECEPTEURS AUX ESTROGÈNES 
G04BA;ACIDIFIANTS 
G04BC;SOLUBILISANTS DES CALCULS URINAIRES 
G04BD;ANTISPASMODIQUES URINAIRES 
G04BE;MEDICAMENTS UTILISES DANS LES TROUBLES DE L'ERECTION 
G04BX;AUTRES MEDICAMENTS UROLOGIQUES 
G04CA;ALPHA-BLOQUANTS 
G04CB;INHIBITEURS DE L'ALPHA-5-TESTOSTERONE REDUCTASE 
G04CX;AUTRES MEDICAMENTS UTILISES DANS L'HYPERTROPHIE BENIGNE DE LA PROSTATE
H01AA;ACTH 
H01AB;THYROTROPHINE 
H01AC;SOMATROPINE ET AGONISTES DE LA SOMATROPINE 
H01AX;Autres hormones de l'ante hypophyse et analogues 
H01BA;VASOPRESSINE ET ANALOGUES 
H01BB;OXYTOCINE ET ANALOGUES 
H01CA;HORMONES ENTRAINANT LA LIBERATION DE GONADOTROPHINES 
H01CB;ANTIHORMONE DE CROISSANCE 
H01CC;HORMONES ENTRAINANT LA LIBERATION D'ANTAGONISTES DES GONADOTROPHINES
H02AA;MINERALOCORTICOIDES 
H02AB;GLUCOCORTICOIDES 
H02BX;CORTICOIDE A USAGE SYSTEMIQUE EN ASSOCIATION 
H02CA;INHIBITEURS DE CORTICOIDES 
H03AA;HORMONES THYROIDIENNES 
H03BA;THIOURACILES 
H03BB;DERIVES IMIDAZOLES SOUFRES 
H03BC;PERCHLORATES 
H03BX;AUTRES ANTITHYROIDIENS 
H03CA;MEDICAMENTS IODES 
H04AA;HORMONES GLYCOGENOLYTIQUES 
H05AA;HORMONES PARATHYROIDIENNES ET ANALOGUES 
H05BA;CALCITONINES 
H05BX;AUTRES AGENTS ANTIPARATHYROÏDIENS 
J01AA;TETRACYCLINES 
J01BA;PHENICOLES 
J01CA;PENICILLINES A LARGE SPECTRE 
J01CE;PENICILLINES SENSIBLES AUX BETALACTAMASES 
J01CF;PENICILLINES RESISTANTES AUX BETALACTAMASES 
J01CG;INHIBITEURS DE BETALACTAMASES 
J01CR;ASSOCIATIONS DE PENICILLINES, INHIBITEURS DE BETALACTAMASES INCLUS 
J01DB;CEPHALOSPORINES DE PREMIERE GENERATION 
J01DC;CEPHALOSPORINES DE DEUXIEME GENERATION 
J01DD;CEPHALOSPORINES DE TROISIEME GENERATION 
J01DE;CEPHALOSPORINES DE QUATRIEME GENERATION 
J01DF;MONOBACTAMS 
J01DH;CARBAPENEMS 
J01EA;TRIMETHOPRIME ET DERIVES 
J01EB;SULFAMIDES D'ACTION BREVE 
