CPT_COP_NUM;CPT_LFS_COD;CPT_COP_LIB;TEC_COL
6561211122;11A22;Prest. AT-MP  - Honoraires Médicaux-Spec. sal.;0
656121112;;Prest. AT-MP  - Honoraires Médicaux des spécialistes;0
6561211131;11A31;Prest. AT-MP  - Honoraires Médicaux des S.F. Liber;0
6561211132;11A32;Prest. AT-MP  - Honoraires Médicaux des S.F. sal;0
656121113;;Prest. AT-MP  - Honoraires Médicaux des sages-femmes;0
65612111411;11B11;Prest. AT-MP -Hono. Para. Infirmiers Lib.;0
65612111412;11B12;Prest. AT-MP -Hono. Para. Infirmiers Sal.;0
6561211141;;Prest. AT-MP -Hono. Para. Infirmiers;0
65611111763;11D11;Prest.Mal. -Astreintes en ville;0
65611111767;11D11;Prest.Mal. -Régulation;0
656111117;;Prest. Mal. - Honoraires Forfaits divers;0
656111118;11H11;Prest. Mal. - Autres professionnels de santé;0
65611111;;Prest. Mal. - Honoraires;0
6561111211;11J11;Prest. Mal. -Actes de labo. effectués par les laboratoires;0
6561111212;11J12;Prest. Mal. -Actes de labo. effectués par les pharmacies;0
6561111213;11J13;Prest. Mal. -Actes de labo. effectués par centres de santé;0
656111121;;Prest. Mal. -Actes de labo. - hors prélèvements;0
656111122;11J21;Prest. Mal. -Actes de labo. - prélèvements;0
656111123;11J31;Prest. Mal. - Actes des Directeurs de laboratoire;0
65611112;;Prest. Mal. - Biologie et prélèvements;0
65611113;11K11;Prest. Mal. - Médicaments;0
6561111411;11L11;Prest. Mal. - Produits humains - OQN Cliniques privées;0
6561111412;11L21;Prest. Mal. - Produits humains - Hors OQN;0
656111141;;Prest. Mal. - Produits humains;0
656111142;11M11;Prest. Mal. - Appareils et matériels de traitement;0
6561111432;11N11;Optique médicale - Hors OQN, hors ff CMU;0
6561111433;11N11;Optique médicale - Forfaits CMU;0
656111143;11N11;Prest. Mal. - Optique médicale;0
6561111441;11P11;Prest. Mal. -Orth & Proth externes - OQN Cliniques privées;0
6561111442;11P21;Prest. Mal. -Orth & Proth externes - Hors OQN;0
6561111443;;Prest. Mal. - Prothèses auditives - Forfait CMU;0
656111144;;Prest. Mal. -Orth & Proth externes;0
6561111451;11Q11;Prest. Mal. - Prothèses internes - OQN Cliniques privées;0
6561111452;11Q21;Prest. Mal. - Prothèses internes - Hors OQN;0
656111145;;Prest. Mal. - Prothèses internes;0
656111146;11R11;Prest. Mal. - Véhicules pour handicapés physiques;0
6561111471;11H11;Prest.Mal. -Autr.presc. - Forfaits TIPS CMU;0
6561111472;11H11;Prest.Mal. -Autr.presc. - CMUC Migrants;0
656111147;11H11;Prest. Mal. - Forfaits divers;0
656111148;11S11;Prest. Mal. - Autres frais;0
65611114;;Prest. Mal. - Autres prescriptions;0
656111151;11T11;Prest. Mal. - Transp.;0
656111152;11T11;Prest. Mal. - Transp.;0
656111153;11T11;Prest. Mal. - Transp.;0
656111158;11T11;Prest. Mal. - Transp.;0
65611115;11T11;Prest. Mal. - Transp.;0
656111161;11U11;Prest. Mal. - Cures thermales;0
656111162;;Prestations Contrôle Médical - ENIM;0
6561111681;11U21;Prest. Mal. - autres Prest.en nature - Frais d'expertise;0
6561111688;11U21;Prest. Mal. - autres Prest.en nature - Diverses autres PN;0
656111168;11U21;Prest. Mal. - autres Prest.en nature - Autres;0
65611116;;Prest. Mal. - Autres prestations en nature;0
475331615;;Prest. à recyc. Prestij Mut. Asso. Lyonnaise de Prévoy.;0
475331616;;Prest. à recyc. Prestij Mut. Municpx Ville de Marseille;0
475331617;;Prest. à recyc. Prestij Stés d'Etudiants Mutualistes;0
475331619;;Prest. à recyc. Prestij Mut. Nat. des Hospitaliers;0
475331622;;Prest. à recyc. Prestij Mut. de Fumel;0
475331629;;Prest. à recyc. Prestij 541ème Mutualiste (Lyon);0
475331634;;Prest. à recyc. Prestij Mut. du persl des Préfectures;0
475331637;;Prest. à recyc. Prestij Mut. de l'E.D.F.;0
475331638;;Prest. à recyc. Prestij Mut. de l'E.D.F.;0
475331639;;Prest. à recyc. Prestij Mut. de l'E.D.F.;0
475331640;;Prest. à recyc. Prestij Mut. de l'E.D.F.;0
475331641;;Prest. à recyc. Prestij Mut. de l'E.D.F.;0
475331645;;Prest. à recyc. Prestij Mut. de la C.G.E. (La Neptune);0
475331651;;Prest. à recyc. Prestij Mut. du persl Munic. et Hospitalier;0
475331652;;Prest. à recyc. Prestij Mut.COVIMUT-Poitiers Transp. Commun;0
475331654;;Prest. à recyc. Prestij Mut. Persl Munic. et Transp. Commun;0
475331656;;Prest. à recyc. Prestij Mut. Persl Munic. et collect. loc.;0
475331689;;Prest. à recyc. Prestij Mut. de l'Est - Sect. Strasbourg;0
475331;;Prestations à recycler - PRESTIJ Mut.;0
475332500;;Prest. à réimp Prestij Mut. Gale des Affaires Sociales;0
475332501;;Prest. à réimp Prestij M.G.E.N. - Sect. extra-métropole;0
475332503;;Prest. à réimp Prestij Mut. Gale de la Police - Sect. Paris;0
475332504;;Prest. à réimp Prestij Mut. Agents des Impôts;0
475332505;;Prest. à réimp Prestij Mut. autono Gale de l'Education;0
475332506;;Prest. à réimp Prestij M.G.E.N.;0
475332507;;Prest. à réimp Prestij Mut. du Minist. de l'Agriculture;0
475332508;;Prest. à réimp Prestij Mut. Gale de l'Equipmt et des Transp.;0
475332509;;Prest. à réimp Prestij Mut. du Minist. de l'Industrie;0
475332511;;Prest. à réimp Prestij Mut. du Trésor;0
475332512;;Prest. à réimp Prestij Mut. Gale des P.T.T.;0
475332513;;Prest. à réimp Prestij Mut. des Douanes;0
475332514;;Prest. à réimp Prestij Mut. des agents des C.A.N.S.S.M.;0
475332515;;Prest. à réimp Prestij Sté Mutualiste de l'I.N.S.E.E.;0
475332516;;Prest. à réimp Prestij Mut. de la Marine;0
475332518;;Prest. à réimp Prestij Mut. de la C.D.C.;0
475332519;;Prest. à réimp Prestij Mut. des Persls Civils de l'Aviation;0
475332520;;Prest. à réimp Prestij Union Stés Mutual Fonct. Rég. Paris.;0
475332523;;Prest. à réimp Prestij Mut. Centrale des Finances;0
475332526;;Prest. à réimp Prestij Mut. Minist. Anciens Combattants;0
475332527;;Prest. à réimp Prestij Mut. du Minist. de la Justice;0
475332529;;Prest. à réimp Prestij Mut. Familiale France et Outre-Mer;0
475332532;;Prest. à réimp Prestij Mut. Civile de la Guerre;0
475332533;;Prest. à réimp Prestij Mut. des Relations extérieures;0
475332536;;Prest. à réimp Prestij M.G.P. - Sect. Versailles;0
475332537;;Prest. à réimp Prestij Mut. Gale de la Police;0
475332555;;Prest. à réimp Prestij Sté Mutualiste Police Nat.;0
475332599;;Prest. à réimp Prestij Mutua. Fonction Publique;0
475332601;;Prest. à réimp Prestij M.N.E.F.;0
475332602;;Prest. à réimp Prestij Mut. Cpltaire Ville Paris,assist. Pub;0
475332603;;Prest. à réimp Prestij Mut. de l'E.D.F.;0
656111233;;Prest.Mal.  -Clin. priv. - Forfaits journaliers CMU/AME;0
656111234;12C31;Prest.Mal. - Rembrst IVG à l'acte -Clin. priv. - I.V.G.;0
656111235;12C41;Prest.Mal.  -Clin. priv. sous OQN - Urgence;0
6561112361;12C11;Prest.Mal.  - OQN PSY - frais de séjours;0
6561112316;12C11;Prest.Mal-Clin privées sous OQN (hors CI) - TAA;0
65611123171;;Prest.Mal.  - FAU;0
65611123172;;Prest.Mal.  - forfait annuel de prélévement d'organe CPO;0
65611123173;;Prest.Mal.  - forfait annuel de greffe;0
65611123174;;Prest.Mal.  - MIGAC;0
656111231;;Prest. Mal. -Clin. priv. sous OQN (hors conso. interméd.);0
6561212372;12C11;Prestations AT-MP - OQN SSR - médicaments;0
6561212373;12C11;Prestations AT-MP - OQN SSR - dispositifs médicaux;0
65612123;;Prest. AT-MP -Clin. priv.;0
65612124;12D11;Prest. AT-MP - Expérimentations;0
6561212;;Prest. AT-MP - Dépenses exécutées en établissement;0
656121;;Prestations d'incapacité temporaire;0
65612211;21B11;Prest. AT-MP - incap. perman. - Transferts en capital;0
65612212;21B11;Prest. AT-MP - incap. perman.;0
6561221;;Prest. AT-MP - incap. perman. - Indemnités en capital;0
656122211;21B11;Prest. AT-MP - incap. perman. - Rentes d'incapacité;0
656122212;21B11;Prest. AT-MP - incap. perman. -  Major. pour tierce personne;0
656122213;21B11;Prest. AT-MP - incap. perman. -  Major. cristalisée;0
65612221;;Prest. AT-MP - incap. perman. - Rentes - Droits propres;0
656122221;21B11;Prest. AT-MP - incap. perman. -  Rentes d'ayants-droit;0
656122222;21B11;Prest. AT-MP - incap. perman. -  Major. et bonifications;0
65612222;;Prest. AT-MP - incap. perman. -  Rentes - Droits dérivés;0
6561222;;Prest. AT-MP - incap. perman. -  Rentes;0
656122;;Prest. AT-MP - incap. perman.;0
656123;21C11;Prest. AT-MP - Autres Ch. techniques;0
65612;;Prest. AT-MP;0
6561121142;;Prest. Mat. -Hono. Para. Masseurs Kinésithérapeutes;0
65611211431;11B31;Prest. Mater. -Hono. Para. Orthophonistes Lib.;0
65611211432;11B32;Prest. Mater. -Hono. Para. Orthophonistes Sal.;0
6561121143;;Prest. Mater. -Hono. Para. Orthophonistes;0
65611211441;11B41;Prest. Mater. -Hono. Para. Orthoptistes Lib.;0
65611211442;11B42;Prest. Mater. -Hono. Para. Orthoptistes Sal.;0
6561121144;;Prest. Mater. -Hono. Para. Orthoptistes;0
6561121145;11B51;Prest. Mater. -Hono. Para. Pédicures;0
65611211461;11B61;Prest. Mat. -Hono. Para. Sages-Femmes Libérales;0
65611211462;11B62;Prest. Mat. -Hono. Para. Sages-Femmes Salariées;0
6561121146;;Prest. Mat. -Hono. Para. Sages-femmes;0
656112114;;Prest. Mat. -Hono. Para.;0
65611211511;11C11;Prest. Mater. - Honoraires des Dent. Omniprat. liber.;0
65611211512;11C12;Prest. Mater. - Honoraires des Dent. Omniprat. sal.;0
6561121151;;Prest. Mater. - Honoraires dentaires des omnipraticiens;0
65611211521;11C21;Prest. Mater. - Honoraires des Dent. Spec. liber.;0
65611211522;11C22;Prest. Mater. - Honoraires des Dent. Spec. sal.;0
6561121152;;Prest. Mater. - Honoraires dentaires des spécialistes;0
656112115;;Prest. Mater. - Honoraires dentaires;0
656112116;11D11;Prest. Mat. - Honoraires du secteur public;0
65611211721;;Prest. Mater. - Forfaits protheses dentaires CMU;0
65611211722;;Prest. Mater. - Forfaits orthodontie CMU;0
6561121172;;Prest. Mater. - Forfaits dentaires CMU;0
656112117;;Prest. Mater. - Honoraires Forfaits divers;0
656112118;11H11;Prest. Mater. - Autres professionnels de santé;0
65611211;;Prest. Mat. - Honoraires;0
6561121211;11J11;Prest. Mat. -Actes de labo. effectués par les laboratoires;0
6561121212;11J12;Prest. Mat. -Actes de labo. effectués par les pharmacies;0
6561121213;11J13;Prest. Mat. -Actes de labo. effectués par centres de santé;0
656112121;;Prest. Mat. -Actes de labo. hors prélèvements;0
656112122;11J21;Prest. Mat. -Actes de labo. - prélèvements;0
656112123;11J31;Prest. Mat. - Actes  des Directeurs de laboratoire;0
65611212;;Prest. Mat. - Biologie et prélèvements;0
65611213;11K11;Prest. Mater. - Médicaments;0
6561121411;11L11;Prest. Mat. - Produits humains - OQN Cliniques privées;0
6561121412;11L21;Prest. Mat. - Produits humains - Hors OQN;0
656112141;;Prest. Mat. - Produits humains;0
656112142;11M11;Prest. Mater. - Appareils et matériels de traitement;0
6561121432;11N11;Optique médicale - Hors OQN, hors ff CMU;0
6561121433;11N11;Optique médicale - Forfaits CMU;0
656112143;11N11;Prest. Mater. - Optique médicale;0
6561121441;11P11;Prest. Mater. -Orth & Proth externes - OQN Cliniques privées;0
6561121442;11P21;Prest. Mater. -Orth & Proth externes - Hors OQN;0
6561121443;;Prest. Mater. - Prothèses auditives - Forfait CMU;0
656112144;;Prest. Mater. -Orth & Proth externes;0
475333622;;Recyc. Ag. cpta. -  Mut. de Fumel;0
475333629;;Recyc. Ag. cpta. -  541ème Mutualiste (Lyon);0
475333634;;Recyc. Ag. cpta. -  Mut. du persl des Préfectures;0
475333637;;Recyc. Ag. cpta. -  Mut. de l'E.D.F.;0
475333638;;Recyc. Ag. cpta. -  Mut. de l'E.D.F.;0
475333639;;Recyc. Ag. cpta. -  Mut. de l'E.D.F.;0
475333640;;Recyc. Ag. cpta. -  Mut. de l'E.D.F.;0
475333641;;Recyc. Ag. cpta. -  Mut. de l'E.D.F.;0
475333645;;Recyc. Ag. cpta. -  Mut. de la C.G.E. (La Neptune);0
475333651;;Recyc. Ag. cpta. -  Mut. du persl Munic. et Hospitalier;0
475333652;;Recyc. Ag. cpta. -  Mut.COVIMUT-Poitiers (Transp. Commun);0
475333654;;Recyc. Ag. cpta. -  Mut. du persl Munic. et Transp. Commun;0
475333656;;Recyc. Ag. cpta. -  Mut. du persl Munic. et collectiv. loc.;0
475333689;;Recyc. Ag. cpta. -  Mut. de l'Est - Sect. Strasbourg;0
626231;;Frais de télétransmission -Méd.;0
626232;;Frais de teletransmission - Chirurgiens dentistes;0
6262331;;Frais de télétrans. - Infirmiers;0
6262332;;Frais de télétransmission - Masseurs kinésithérapeutes;0
6262333;;Frais de teletrans-orthoptistes;0
6262335;;Frais de télétransmission - Orthophonistes;0
626234;;Frais de télétrans. - Sages-Femmes;0
62623511;;Frais de télétransmission FSE - Pharmaciens;0
62623512;;Frais de télétransmission B2 dégradés - Pharmaciens;0
6262351;;Frais de télétransmission - Pharmaciens;0
6262352;;Frais de teletransmission - Laboratoires;0
6262355;;Frais de teletransmission - Centres de santé;0
626331;;Frais de télétransmission -Méd.;0
626332;;Frais de teletransmission - Chirurgiens dentistes;0
6263331;;Frais de télétrans. - Infirmiers;0
6263332;;Frais de télétransmission - Masseurs kinésithérapeutes;0
6263333;;Frais de teletrans-orthoptistes;0
6263335;;Frais de télétransmission - Orthophonistes;0
626334;;Frais de télétrans. - Sages-Femmes;0
62633511;;Frais de télétransmission FSE - Pharmaciens;0
62633512;;Frais de télétransmission B2 dégradés - Pharmaciens;0
6263351;;Frais de télétransmission - Pharmaciens;0
6263352;;Frais de teletransmission - Laboratoires;0
6263355;;Frais de teletransmission - Centres de santé;0
6264;;Frais de télémise à jour;0
62681;;Frais de télémise à jour;0
6561111111;11A11;Prest. Mal. - Honoraires Médicaux-Omniprat. liber.;0
6561111112;11A12;Prest. Mal. - Honoraires Médicaux-Omniprat. sal.;0
656111111;;Prest. Mal. - Honoraires Médicaux des omnipraticiens;0
6561111121;11A21;Prest. Mal. - Honoraires Médicaux -Spec. liber.;0
6561111122;11A22;Prest. Mal. - Honoraires Médicaux -Spec. sal.;0
656111112;;Prest. Mal. - Honoraires Médicaux des spécialistes;0
6561111131;11A31;Prest. Mal. - Honoraires Médicaux des S.F. liber.;0
6561111132;11A32;Prest. Mal. - Honoraires Médicaux des S.F. sal.;0
656111113;;Prest. Mal. - Honoraires Médicaux des sages-femmes;0
65611111411;11B11;Prest. Mal. -Hono. Para. Infirmiers Lib.;0
65611111412;11B12;Prest. Mal. -Hono. Para. Infirmiers Sal.;0
6561111141;;Prest. Mal. -Hono. Para. Infirmiers;0
65611111421;11B21;Prest. Mal. -Hono. Para. Masseurs Kinésithérapeutes Lib.;0
656111232;12C21;Prest.Mal.  -Clin. priv. Hors OQN;0
65611223163;12C11;Prest.Mat. -Clinique privée- Urgence - TAA;0
65611223164;12C11;Prest.Mat-Dialyse - TAA;0
65611223165;;Prest.Mat - prélèvements d'organes - TAA;0
65611223167;;Prest.Mat- médicaments facturés en sus - TAA;0
65611223168;;Prest.Mat - dispositifs médicaux facturés en sus - TAA;0
6561122316;12C11;Prest.Mat-Clin privées sous OQN (hors CI) - TAA;0
656112231;12C11;Prest. Mat. -Clin. priv. sous OQN (hors conso. interméd.);0
656112232;12C21;Prest. Mat. -Clin. priv. Hors OQN;0
656112233;;Prest. Mater.-forfaits journaliers CMU/AME;0
656112234;;Prest. Mater. - Rembrst IVG à l'acte -Clin. priv. - I.V.G.;0
45658113;;Créances PORT BORD - Syst. Cais. Pivots - Ets privés;0
456581221;;CCIP -Créan. caisse-piv Ets priv. - acptes;0
456581222;;CCIP -Créan. caisse-piv Ets priv. -prest. liq.;0
45658122;;CCIP -Créan. syst. caisse-piv/Ets priv.;0
45658123;;Créances CCIP - Syst. Cais. Pivots - Ets privés;0
456581321;;Assemblée Nat. -Créan. caisse-piv Ets priv. - acptes;0
456581322;;Assemblée Nat. -Créan. caisse-piv Ets priv. -prest. liq.;0
45658132;;Assemblée Nat. -Créan. syst. caisse-piv/Ets priv.;0
45658133;;Créances ASS.NAT - Syst. Cais. Pivots - Ets privés;0
456581421;;SENAT -Créan. caisse-piv Ets priv. - acptes;0
456581422;;SENAT -Créan. caisse-piv Ets priv. -prest. liq.;0
45658142;;Sénat -Créan. syst. caisse-piv/Ets priv.;0
45658143;;CréancesSENAT - Syst. Cais. Pivots - Ets privés;0
45731211;;AME -prest. IVG;0
45731218;;AME - Autres  Prestations;0
40957233;;acptes Ets priv. - Forfait annuel - Urgence;0
65612111421;11B21;Prest. AT-MP -Hono. Para. Masseurs Kinésithérapeutes Lib.;0
65612111422;11B22;Prest. AT-MP -Hono. Para. Masseurs Kinésithérapeutes Sal.;0
6561211142;;Prest. AT-MP -Hono. Para. Masseurs Kinésithérapeutes;0
65612111431;11B31;Prest. AT-MP -Hono. Para. Orthophonistes Lib.;0
65612111432;11B32;Prest. AT-MP -Hono. Para. Orthophonistes Sal.;0
6561211143;;Prest. AT-MP -Hono. Para. Orthophonistes;0
65612111441;11B41;Prest. AT-MP -Hono. Para. Orthoptistes Lib.;0
65612111442;11B42;Prest. AT-MP -Hono. Para. Orthoptistes Sal.;0
6561211144;;Prest. AT-MP -Hono. Para. Orthoptistes;0
6561211145;11B51;Prest. AT-MP -Hono. Para. Pédicures;0
65612111461;11B61;Prest. AT-MP -Hono. Para. Sages-Femmes Libérales;0
65612111462;11B62;Prest. AT-MP -Hono. Para. Sages-Femmes Salariées;0
6561211146;;Prest. AT-MP -Hono. Para. Sages-femmes;0
656121114;;Prest. AT-MP -Hono. Para.;0
65612111511;11C11;Prest. AT-MP - Honoraires des Dent. Omniprat. liber.;0
65612111512;11C12;Prest. AT-MP - Honoraires des Dent. Omniprat Sal.;0
6561211151;;Prest. AT-MP - Honoraires dentaires des omnipraticiens;0
65612111521;11C21;Prest. AT-MP - Honoraires des Dent. Spec. liber.;0
65612111522;11C22;Prest. AT-MP - Honoraires des Dent. Spec Sal.;0
6561211152;;Prest. AT-MP - Honoraires dentaires des spécialistes;0
656121115;;Prest. AT-MP - Honoraires dentaires;0
656121116;11D11;Prest. AT-MP - Honoraires du secteur public;0
65612111741;;Prestations AT/MP - Contrats de bonne pratique;0
65612111742;;Prestations AT/MP - Contrats de santé publique;0
65612111743;;Prestations AT/MP - Accords de bon usage des soins;0
65612111748;;Prestations AT/MP - Autres contrats;0
6561211174;;Prestations AT/MP - Contrats conventionnels;0
65612111761;11D11;Prest.AT-MP -Gardes en établissements;0
65612111762;11D11;Prest.AT-MP -Astreintes en établissements;0
65612111763;11D11;Prest.AT/MP -Astreintes en ville;0
65612111767;11D11;Prest.AT/MP -Régulation;0
65612111;;Prest. AT-MP  - Honoraires;0
6561211211;11J11;Prest. AT-MP -Actes de labo. effectués par les laboratoires;0
6561211212;11J12;Prest. AT-MP -Actes de labo. effectués par les pharmacies;0
6561211213;11J13;Prest. AT-MP -Actes de labo. effectués par centres de santé;0
656121121;;Prest. AT-MP -  Actes de laboratoire hors prélèvements;0
656121122;11J21;Prest. AT-MP -Actes de labo. - prélèvements;0
656121123;11J31;Prest. AT-MP - Actes des Directeurs de laboratoire;0
65612112;;Prest. AT-MP - Biologie et prélèvements;0
65612113;11K11;Prest. AT-MP - Médicaments;0
6561211411;11L11;Prest. AT-MP - Produits humains - OQN Cliniques privées;0
6561211412;11L21;Prest. AT-MP - Produits humains - Hors OQN;0
656121141;;Prest. AT-MP - Produits humains;0
656121142;11M11;Prest. AT-MP - Appareils et matériels de traitement;0
656121143;11N11;Prest. AT-MP - Optique médicale;0
6561211441;11P11;Prest. AT-MP -Orth & Proth externes - OQN Cliniques privées;0
6561211442;11P21;Prest. AT-MP -Orth & Proth externes - Hors OQN;0
656121144;;Prest. AT-MP -Orth & Proth externes;0
6561211451;11Q11;Prest. AT-MP - Prothèses internes - OQN Cliniques privées;0
6561111761;11D11;Prest.Mal. -Astreintes - omnipraticiens;0
6561111762;11D11;Prest.Mal. -Astreintes - spécialistes;0
65611117;11V11;Prest. Mal. -prest. en espèces;0
6561111;;Prest. Mal. exécutées en ville;0
6561112111;12A11;Prest. Mal. - Dotation globale - Ch. de l'ex.;0
6561112112;12A11;Prest. Mal. - Dotation globale - Ch. exercice précédent;0
65611121131;12A11;USLD - Dotation globale - Ch. de l'ex.;0
65611121132;12A11;USLD - Dotation globale - Ch. de l'ex. précédent;0
6561112113;;USLD - Dotation globale;0
65611121141;12B31;USLD - EHPAD - Ch. de l'ex.;0
65611121142;12B31;USLD - EHPAD - Ch. de l'ex. précédent;0
6561112114;;USLD - EHPAD;0
656111211;;Prest. Mal. - Dotation globale;0
656111212;12A21;Prest. Mal. - Autres frais d'hospit. Publique;0
656111213;12A31;Prest. Mal. - Honoraires du secteur public;0
656111214;;Prest. Mal. - Forfaits journaliers CMU / AME;0
656111215;12A41;Prest. Mal. - Rembrst IVG à l'acte - Ets publics - I.V.G.;0
65611121;;Prest. Mal. - Ets sanitaires;0
656111221;12B11;Prest. Mal. - Enfance inadaptée;0
656111222;12B21;Prest. Mal. - Adultes Handicapés;0
6561112231;12B31;Médicalisation - EHPA;0
6561112232;12B31;Médicalisation - EHPAD;0
656111223;;Prest. Mal. - Et. d'hébergement Pers. âgées (médicalisation);0
656111224;12B41;Prest. Mal. - Autres Prest.Pers. Âgées;0
656111225;12B51;Prest. Mal. - Services de soins infirmiers à dom.;0
656111226;12B61;Prest. Mal.-Centre d'act. méd-soc préco (enfants de - 6 ans);0
6561112271;12B81;Prest. Mal. - Centres de Cure Ambulatoire en Alcoologie;0
6561112272;12B81;Prest. Mal. -Svces d'éduc spé et soins à dom. ( 6 à 16 ans);0
656111227;;Prest. Mal. - Autres Ets médico-sociaux;0
