CAI_IDE;GRG_COD;CAI_COD;CEN_COD;CAI_LIB;CAI_TYP;TEC_COL
281;3;47;5100;U.T.I.M. (PROF. INDUST. COMM. ILE DE FRANCE);GESTIONNAIRE;0
282;3;50;1100;R.A.M (ILE DE FRANCE);GESTIONNAIRE;0
283;3;50;1300;R.A.M (PROF. ARTIS. ILE DE FRANCE);GESTIONNAIRE;0
284;3;50;2100;LA MUTUELLE BLEUE (PROF. ARTIS. ILE DE FRANCE);GESTIONNAIRE;0
285;3;50;3100;AVENIR SANTE MUTUELLE;GESTIONNAIRE;0
286;3;50;5200;U.T.I.M. (PROF. ARTIS. ILE DE FRANCE);GESTIONNAIRE;0
287;3;53;1100;R.A.M (DES PROFESSIONS LIBERALES);GESTIONNAIRE;0
288;3;53;1300;R.A.M (PROF. LIB. ILE DE FRANCE);GESTIONNAIRE;0
289;3;53;3200;PREVADIES-CAMPI PL PARIS;GESTIONNAIRE;0
290;94;351;599;MFP  RENNES;GESTIONNAIRE;0
291;94;361;599;MFP  CHATEAUROUX;GESTIONNAIRE;0
292;94;371;599;MFP  TOURS;GESTIONNAIRE;0
293;94;381;599;MFP  GRENOBLE;GESTIONNAIRE;0
294;94;382;599;MFP  VIENNE;GESTIONNAIRE;0
295;94;391;599;MFP  LONS LE SAUNIER;GESTIONNAIRE;0
296;94;401;599;MFP  MONT DE MARSAN;GESTIONNAIRE;0
297;94;411;599;MFP  BLOIS;GESTIONNAIRE;0
298;94;421;599;MFP  ROANNE;GESTIONNAIRE;0
299;94;422;599;MFP  ST ETIENNE;GESTIONNAIRE;0
300;94;431;599;MFP  LE PUY;GESTIONNAIRE;0
301;94;441;599;MFP  NANTES;GESTIONNAIRE;0
302;94;442;599;MFP  ST NAZAIRE;GESTIONNAIRE;0
303;94;451;599;MFP  ORLEANS;GESTIONNAIRE;0
304;94;461;599;MFP  CAHORS;GESTIONNAIRE;0
305;94;471;599;MFP  AGEN;GESTIONNAIRE;0
306;94;481;599;MFP  MENDE;GESTIONNAIRE;0
307;94;491;599;MFP  ANGERS;GESTIONNAIRE;0
308;94;492;599;MFP  CHOLET;GESTIONNAIRE;0
309;94;501;599;MFP  ST LO;GESTIONNAIRE;0
310;94;511;599;MFP  REIMS;GESTIONNAIRE;0
311;94;521;599;MFP  CHAUMONT;GESTIONNAIRE;0
312;94;531;599;MFP  LAVAL;GESTIONNAIRE;0
313;94;541;599;MFP  LONGWY;GESTIONNAIRE;0
314;94;542;599;MFP  NANCY;GESTIONNAIRE;0
315;94;551;599;MFP  BAR LE DUC;GESTIONNAIRE;0
316;94;561;599;MFP  VANNES;GESTIONNAIRE;0
317;94;571;599;MFP  METZ;GESTIONNAIRE;0
318;94;572;599;MFP  SARREGUEMINES;GESTIONNAIRE;0
319;94;573;599;MFP  THIONVILLE;GESTIONNAIRE;0
320;94;581;599;MFP  NEVERS;GESTIONNAIRE;0
321;94;591;599;MFP  ARMENTIERES;GESTIONNAIRE;0
322;94;592;599;MFP  CAMBRAI;GESTIONNAIRE;0
323;94;593;599;MFP  DOUAI;GESTIONNAIRE;0
324;94;594;599;MFP  DUNKERQUE;GESTIONNAIRE;0
325;94;595;599;MFP  LILLE;GESTIONNAIRE;0
326;94;596;599;MFP  MAUBEUGE;GESTIONNAIRE;0
327;94;597;599;MFP  ROUBAIX;GESTIONNAIRE;0
328;94;598;599;MFP  TOURCOING;GESTIONNAIRE;0
329;94;599;599;MFP  VALENCIENNES;GESTIONNAIRE;0
330;94;601;599;MFP  BEAUVAIS;GESTIONNAIRE;0
331;94;602;599;MFP  CREIL;GESTIONNAIRE;0
332;99;911;606;MNFCT;GESTIONNAIRE;0
333;99;911;617;SMEREP;GESTIONNAIRE;0
334;99;921;555;INTERIALE MUTUELLE PANTIN;GESTIONNAIRE;0
335;99;921;601;LMDE NANTERRE;GESTIONNAIRE;0
336;99;921;602;MCVPAP;GESTIONNAIRE;0
337;99;921;606;MNFCT;GESTIONNAIRE;0
338;99;921;617;SMEREP;GESTIONNAIRE;0
339;99;931;555;INTERIALE MUTUELLE PANTIN;GESTIONNAIRE;0
340;99;931;601;LMDE ST DENIS;GESTIONNAIRE;0
341;99;931;602;MCVPAP;GESTIONNAIRE;0
342;99;931;606;MNFCT;GESTIONNAIRE;0
343;99;931;617;SMEREP;GESTIONNAIRE;0
344;99;941;555;INTERIALE MUTUELLE PANTIN;GESTIONNAIRE;0
345;99;941;601;LMDE CRETEIL;GESTIONNAIRE;0
346;99;941;602;MCVPAP;GESTIONNAIRE;0
347;99;941;606;MNFCT;GESTIONNAIRE;0
348;99;941;617;SMEREP;GESTIONNAIRE;0
349;99;951;601;LMDE CERGY;GESTIONNAIRE;0
350;99;951;602;MCVPAP;GESTIONNAIRE;0
351;99;951;606;MNFCT;GESTIONNAIRE;0
352;99;951;617;SMEREP;GESTIONNAIRE;0
353;99;971;601;LMDE POINTE A PITRE;GESTIONNAIRE;0
354;99;972;601;LMDE FORT DE FRANCE;GESTIONNAIRE;0
355;99;971;617;SMERAG;GESTIONNAIRE;0
356;99;972;617;SMERAG;GESTIONNAIRE;0
357;99;973;609;M.N.T.  GUYANE;GESTIONNAIRE;0
358;99;973;617;SMERAG;GESTIONNAIRE;0
359;99;974;601;LMDE  SAINT DENIS DE LA REUNION;GESTIONNAIRE;0
360;99;191;617;VITTAVI BRIVE;GESTIONNAIRE;0
361;14;100;0;FONDS DE SECURITE SOCIALE DE L ASSEMBLEE NATIONALE;GESTIONNAIRE;0
362;99;271;617;SMENO EVREUX;GESTIONNAIRE;0
363;99;501;617;SMENO SAINT LO;GESTIONNAIRE;0
364;99;21;601;LMDE LAON;GESTIONNAIRE;0
365;3;54;1100;R.A.M (DES PROFESSIONS LIBERALES);GESTIONNAIRE;0
366;3;54;1300;R.A.M (PROF. LIB. DE PROVINCES);GESTIONNAIRE;0
367;3;54;6200;PREVADIES-CAMPI PL PROVINCES;GESTIONNAIRE;0
368;3;58;7800;R.A.M. DE GUADELOUPE (ANTILLES GUYANE);GESTIONNAIRE;0
369;3;58;8800;R.A.M. DE MARTINIQUE (ANTILLES GUYANE);GESTIONNAIRE;0
370;3;59;1100;R.A.M. (REUNION);GESTIONNAIRE;0
371;3;54;6400;MUT EST;GESTIONNAIRE;0
372;3;55;1100;R.A.M. (SECTION AUTONOME BATELLERIE);GESTIONNAIRE;0
373;3;55;1300;R.A.M (SECTION AUTONOME BATELLERIE);GESTIONNAIRE;0
374;3;57;1100;R.A.M. (CORSE);GESTIONNAIRE;0
375;3;58;6800;R.A.M DE GUYANE (ANTILLES GUYANE);GESTIONNAIRE;0
376;4;110;0;CAISSE DE PREVOYANCE;GESTIONNAIRE;0
377;4;120;0;CAISSE DES CADRES SUPERIEURS;GESTIONNAIRE;0
378;4;220;0;CAISSE MALADIE D ALSACE LORRAINE;GESTIONNAIRE;0
379;4;400;0;REGIME DES SUBSISTANTS;GESTIONNAIRE;0
380;5;51;0;CAISSE DE COORDINATION AUX ASSURANCES SOCIALES (CCAS);GESTIONNAIRE;0
381;7;225;0;REGIME MINIER DE SECURITE SOCIALE;GESTIONNAIRE;0
382;8;756;100;CNMSS/ASSURES MILITAIRES DE CARRIERE;GESTIONNAIRE;0
383;8;758;200;CNMSS/AGENTS CAISSE;GESTIONNAIRE;0
384;10;980;2101;CAISSE DE RET.ET PREV. CLERCS ET EMP. NOTAIRES;GESTIONNAIRE;0
385;12;100;0;REGIME SPECIAL DE LA CHAMBRE DE COMMERCE ET D INDUSTRIE DE PARIS;GESTIONNAIRE;0
386;15;751;0;SENAT;GESTIONNAIRE;0
389;91;21;506;MGEN AISNE;GESTIONNAIRE;0
390;91;31;506;MGEN ALLIER;GESTIONNAIRE;0
391;91;41;506;MGEN ALPES DE HAUTE PROVENCE;GESTIONNAIRE;0
392;91;51;506;MGEN HAUTES ALPES;GESTIONNAIRE;0
393;91;61;506;MGEN ALPES MARITIMES;GESTIONNAIRE;0
394;91;72;506;MGEN ARDECHE;GESTIONNAIRE;0
395;91;81;506;MGEN ARDENNES;GESTIONNAIRE;0
396;91;91;506;MGEN ARIEGE;GESTIONNAIRE;0
397;91;101;506;MGEN AUBE;GESTIONNAIRE;0
398;91;261;506;MGEN DROME;GESTIONNAIRE;0
399;91;271;506;MGEN EURE;GESTIONNAIRE;0
400;91;281;506;MGEN EURE ET LOIR;GESTIONNAIRE;0
401;91;291;506;MGEN FINISTERE;GESTIONNAIRE;0
402;91;301;506;MGEN GARD;GESTIONNAIRE;0
403;91;311;506;MGEN HAUTE GARONNE;GESTIONNAIRE;0
404;91;321;506;MGEN GERS;GESTIONNAIRE;0
