RET_COD;RET_LIB;TEC_COL
53;PROVENANCE ABSENTE;0
54;DESTINATION ABSENTE;0
55;NOMBRE DE DAS OU DE DAD ABSENT;0
56;NOMBRE DE DAS OU DE DAD NON NUMÉRIQUE;0
57;NOMBRE DE ZONES D'ACTES ABSENT;0
58;NOMBRE DE ZONES D'ACTES NON NUMÉRIQUE;0
59;FORMAT DE RUM INCONNU;0
61;NUMÉRO DE RSS NON NUMÉRIQUE;0
62;UNITÉ MÉDICALE NON RENSEIGNÉE;0
64;DATE SYSTÈME ANTÉRIEURE À LA DATE;0
65;DATE SYSTÈME ANTÉRIEURE À LA DATE DE SORTIE;0
66;NOMBRE DE SÉANCES : VALEUR INVRAISEMBLABLE;0
67;DIAGNOSTIC PRINCIPAL : N'A JAMAIS EXISTÉ DANS LA CIM;0
68;DIAGNOSTIC PRINCIPAL : N'EXISTE PLUS DANS LA CIM;0
70;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF : N'A JAMAIS EXISTÉ DANS LA CIM;0
71;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF: N'EXISTE PLUS DANS LA CIM;0
73;ACTE : N'A JAMAIS EXISTÉ DANS LE CDAM OU DANS LA CCAM;0
74;ACTE : N'EXISTE PLUS DANS LE CDAM OU DANS LA CCAM;0
76;NUMÉRO D'ENTITE JURIDIQUE NON NUMÉRIQUE;0
77;DATE D'ENTRÉE IMPROBABLE CAR TROP ANCIENNE;0
80;GROUPE MÉDICAL OBTENU PAR ÉVITEMENT DU GROUPE 901;0
81;CODE POSTAL NON NUMÉRIQUE;0
82;POIDS DE NAISSANCE NON NUMÉRIQUE;0
83;ZONE RÉSERVÉE NON VIDE;0
84;DIAGNOSTIC PRINCIPAL INVRAISEMBLABLE CAR RARE;0
85;DIAGNOSTIC PRINCIPAL INVRAISEMBLABLE EN RAISON DE L'ÂGE;0
86;DIAGNOSTIC PRINCIPAL INCOMPATIBLE AVEC LE SEXE INDIQUÉ;0
87;DIAGNOSTIC PRINCIPAL INCOMPATIBLE AVEC L'ÂGE INDIQUÉ;0
88;AUCUN DIAGNOSTIC N'EST VRAISEMBLABLE EN RAISON DU DÉCÈS;0
89;AUCUN DIAGNOSTIC N'EST COMPATIBLE AVEC LE;0
90;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF INVRAISEMBLABLE CAR RARE;0
91;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF INVRAISEMBLABLE EN RAISON DE L'ÂGE;0
92;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF INCOMPATIBLE AVEC LE SEXE INDIQUÉ;0
93;DIAGNOSTIC ASSOCIÉ SIGNIFICATIF INCOMPATIBLE AVEC L'ÂGE INDIQUÉ;0
94;DIAGNOSTIC RELIÉ : N'A JAMAIS EXISTÉ DANS LA CIM;0
95;DIAGNOSTIC RELIÉ : N'EXISTE PLUS DANS LA CIM;0
96;DIAGNOSTIC RELIÉ INVRAISEMBLABLE CAR RARE;0
97;DIAGNOSTIC RELIÉ INVRAISEMBLABLE EN RAISON DE L'ÂGE;0
98;DIAGNOSTIC RELIÉ INCOMPATIBLE AVEC LE SEXE INDIQUÉ;0
99;DIAGNOSTIC RELIÉ INCOMPATIBLE AVEC L'ÂGE INDIQUÉ;0
