PIE_PIE_TYP;PIE_PIE_LIB;TEC_COL
ENQ_EXT_MP_AUT;Enquête Externe M.P. (Autre Employeur);0
ENQ_LEG;Enquête Légale;0
ENQ_LEG_DCD;Enquête Légale Décès;0
EP;Entente préalable;0
EPIATI;Episode ATI;0
EPIDCD;Episode décès;0
EPINLL;Episode Nouvelle lésion;0
EPIRCH;Episode Rechute;0
EPISPC;Episode Soins Post-Consolidation;0
EVE;Evénement;0
EVTAPR;Evénement Appareillage;0
EVTARR;Evénement Arrêt de Travail;0
EVTCUR;Evénement Cure;0
EVTDIV;Evénement Divers;0
EVTEPR;Evénement Entente Préalable;0
EVTHOS;Evénement Hospitalisation;0
EVTITI;Evénement ITI;0
EVTPER;Evénement Période;0
EVTPERSOI;Evénement Période soin;0
EVTREE;Evénement Rééducation;0
EVTSOI;Evénement Soins;0
EVTSPC;Evénement Soins Post-Consolidation;0
EXA_COM;Examen compl. exigé par le tableau;0
EXP;Expertises;0
EXP_DCD;Expertise Décès;0
EXP_DMF;Expertise Décision Médicale Finale;0
EXP_EVTAPR;Expertise Appareillage;0
EXP_EVTARR;Expertise Arrêt de Travail;0
EXP_EVTCUR;Expertise Cure;0
EXP_EVTHOS;Expertise Hospitalisation;0
EXP_EVTITI;Expertise Indemnité Temporaire d'Inaptitude;0
EXP_EVTSOI;Expertise Soins;0
EXP_EVTSPC;Expertise Soins Post-Consolidation;0
EXP_MP;Expertise Maladie Professionnelle;0
EXP_NLL;Expertise Nouvelle Lésion;0
EXP_RCE;Expertise Imputabilité (RCE);0
EXP_RCH;Expertise Rechute;0
EXP_SPC;Expertise Soins Post-Consolidation;0
FORMU;Formulaires...;0
FRAUDE;Fraude;0
HOS;Hospitalisation;0
ITI;Indemnité temporaire d'inaptitude;0
MP;Maladie Professionnelle;0
MUT;Mutations ...;0
MUT_ACC_DOS_DEM;Mutation Accepter Dossier Demandé;0
MUT_ACC_DOS_TRS;Mutation Traiter Accepter Dossier Transmis;0
MUT_DEM_VIC_ENT;Mutation Entrée Demande Victime;0
MUT_DEM_VIC_SOR;Mutation Sortie Demande Victime;0
MUT_ENT;Mutation Entrée de Dossier;0
MUT_ENT_MAN;Mutation Entrée de Dossier (hors SAS);0
MUT_MODIF;Mutation Modification;0
MUT_REC_DEM_DOS;Mutation RecevoirDossier (Demander);0
MUT_REC_DOS_DEM;Mutation Recevoir Dossier Demandé;0
MUT_REC_TRS_DOS;Mutation Recevoir Dossier (Transmettre);0
MUT_REF_DEM_DOS;Mutation Refuser Demander Dossier;0
MUT_REF_DEM_DOS_RE;Mutation Refuser Demander Dossier  (Retour);0
MUT_REF_DOS_DEM;Mutation Refuser Dossier Demandé;0
MUT_REF_DOS_DEM_RE;Mutation Refuser Dossier Demandé (Retour);0
