SIN_CAU_AGT;SIN_CAU_LIB;TEC_COL
26210;ethers de l'ethyleneglycol;0
26211;ethyleneglycolmonomethylether ether monomethylique de l'ethy;0
26212;ethyleneglycolmonoethylether ether monoethylique de l'ethyle;0
26213;ethyleneglycolmonopropylether ether monopropylique de l'ethy;0
26214;ethyleneglycolmonoisopropylether ether monoisopropylique de;0
26215;ethyleneglycolmonobutylether ether monobutylique de l'ethyle;0
26216;ethyleneglycoldiethylether ether diethylique de l'ethylenegl;0
26217;ethyleneglycolmonophenylether ether monophenylique de l'ethy;0
26218;diethyleneglycolmonomethylether ether monomethylique du diet;0
26219;diethyleneglycolmonoethylether ether monoethylique du diethy;0
2622Z;autre ether du propyleneglycol;0
26220;ethers du propyleneglycol;0
26221;propyleneglycolmonomethylether ether monomethylique du propy;0
26222;propyleneglycolmonoethylether ether monoethylique du propyle;0
26223;propyleneglycolmonoisopropylether ether monoisopropylique du;0
26224;propyleneglycolmonobutylether ether monobutylique du propyle;0
26225;dipropyleneglycolmonomethylether ether monomethylique du dip;0
26226;dipropyleneglycolmonobutylether ether monobutylique du dipro;0
26227;tripropyleneglycolmonomethylether ether monomethylique du tr;0
26228;tripropyleneglycolmonoethylether ether monoethylique du trip;0
2623Z;autre ether du butyleneglycol;0
26230;ethers du butyleneglycol;0
26231;butyleneglycolmonomethylether ether monomethylique du butyle;0
26232;butyleneglycolmonoethylether ether monoethylique du butylene;0
26233;butyleneglycolmonobuthylether ether monobutylique du butylen;0
26300;ethers alicycliques;0
2640Z;autre ether aromatique;0
26400;ethers aromatiques;0
26401;benzylether;0
2650Z;autre ether heterocyclique;0
26500;ethers heterocycliques;0
26501;tetrahydrofurane thf;0
27000;anisols ethers de phenols et derives;0
2710A;diphenylether;0
2710B;bis(phenoxyphenyl)ether;0
2710Z;autre ether de phenols;0
27100;anisols ethers de phenols;0
27101;anisole methoxybenzene;0
27102;phenetol ethoxybenzene;0
27103;guaiacol methoxyphenol methylpyrocatechol;0
27104;veratrol dimethoxy1.2benzene;0
27105;eugenol;0
27106;isoeugenol;0
27107;anethol;0
27108;safrol;0
27109;ethers d'hydroquinone;0
2720Z;autre derive halogene des ethers de phenols;0
27200;derives halogenes des ethers de phenols;0
27201;chlorure de diphenylethers;0
28000;epoxydes;0
2810A;dioxyde de dipentene dioxyde de limonene;0
2810B;oxyde de alphapinene;0
2810C;dioxyde de dicyclopentadiene;0
2810D;oxyde de styrene;0
2810E;epichlorhydrine    T65;0
2810F;dioxyde de butadienne;0
2810Z;autre epoxyde d'olefines et de cycloalcenes;0
28100;epoxydes d'olefines et de cycloalcenes;0
28101;oxyde d'ethylene oxirane  T66A;0
28102;oxyde de propylene;0
28103;oxyde de butylene;0
28104;oxyde d'octylene;0
28105;oxyde de dodecene;0
28106;oxyde de cyclohexene;0
28107;monoxyde de vinylcyclohexene;0
28108;dioxyde de vinylcyclohexene;0
28109;monoxyde de dipentene monoxyde de limonene;0
2820Z;autre derive glycidique;0
28200;derives glycidiques;0
28201;glycidol;0
28202;diglycidylether;0
28203;isopropylglycidylether;0
28204;allylglycidylether;0
28205;phenylglycidylether;0
28206;diglycidylether du bisphenol a;0
28207;resorcinoldiglycidylether;0
28208;aldehyde glycidylique;0
29Z00;aldéhydes et acétals;0
29000;aldehydes;0
29100;aldehydes aliphatiques;0
2911A;octanal;0
2911B;glyoxal ethanedial;0
2911C;glutaraldehyde pentanedial   aldéhyde glutarique T65  T66A;0
2911Z;autre aldehyde aliphatique sature;0
29110;aldehydes aliphatiques satures;0
29111;formaldehyde methanal;0
29112;acetaldehyde ethanal;0
29113;propanal;0
29114;butanal;0
29115;2methylpropanal;0
29116;pentanal;0
29117;3methylbutanal;0
29118;hexanal;0
2311H;allylalcool 2propenol;0
2311J;glycerol;0
2311K;pentaerythritol;0
2311L;hexitol sorbitol mannitol;0
2311Z;autre alcool ou polyalcool aliphatique;0
23110;alcools;0
23111;methanol;0
23112;ethanol;0
23113;npropanol;0
23114;2propanol;0
23115;nbutanol;0
23116;2butanol secbutanol;0
23117;2methylpropanol isobutanol;0
23118;2methyl2propanol tertbutanol;0
23119;pentanol;0
2312Z;autre derive halogene des alcools aliphatiques;0
23120;derives halogenes des alcools aliphatiques;0
23121;2chloroethanol;0
23122;dicofol;0
23130;derives nitres des alcools aliphatiques;0
23131;nitroglycol nitroglycerine trinitroglycerol;0
2320Z;autre alcool ou polyalcool alicyclique;0
23200;alcools et polyalcools alicycliques;0
23201;cyclohexanol;0
23202;methylcyclohexanol;0
23203;inositol;0
2330Z;autre alcool ou polyalcool aromatique;0
23300;alcools et polyalcools aromatiques;0
23301;alcool benzylique;0
23302;alcool betaphenylethylique;0
2340Z;autre alcool ou polyalcool heterocyclique;0
23400;alcools et polyalcools heterocycliques;0
23401;alcool furfurylique;0
23402;alcool thiophenique;0
23403;alcool tetrahydrofurfurylique;0
24000;glycols;0
2410A;butyleneglycol;0
2410B;polybutyleneglycol;0
2410C;hexyleneglycol 2methyl2.4pentanediol;0
2410D;2ethyl1.3hexanediol;0
2410Z;autre glycol aliphatique;0
24100;glycols aliphatiques;0
24101;ethyleneglycol;0
24102;diethyleneglycol;0
24103;triethyleneglycol;0
24104;polyethyleneglycol;0
24105;propyleneglycol;0
24106;trimethyleneglycol;0
24107;dipropyleneglycol;0
24108;tripropyleneglycol;0
24109;polypropyleneglycol;0
2420Z;autre glycol alicyclique;0
24200;glycols alicycliques;0
24201;cyclohexanediol;0
2430Z;autre glycol aromatique;0
24300;glycols aromatiques;0
24301;styreneglycol 1phenyl1.2ethanediol;0
24400;glycols heterocycliques;0
25000;phenols et derives;0
2510A;thymol methylisopropylphenol;0
2510B;carvacrol methylisopropylphenol;0
2510C;1naphtol;0
2510D;2naphtol;0
2510E;hydroxypyridine;0
2510F;hydroxyquinoleine;0
2510Z;autre phenol;0
25100;phenols;0
25101;phenol hydroxybenzene;0
25102;pyrocatechol 1.2dihydroxybenzene;0
25103;resorcinol 1.3dihydroxybenzene;0
25104;hydroquinone 1.4dihydroxybenzene    T65;0
25105;pyrogallol 1.2.3trihydroxybenzene;0
25106;cresol;0
25107;xylenol;0
25108;ophenylphenol 2hydroxydiphenyle;0
25109;bisphenol a;0
2520Z;autre derive halogene des phenols;0
25200;derives halogenes des phenols;0
25201;2.4dichlorophenol 24d 2.4d;0
25202;2.4.5trichlorophenol 245t 2.4.5t;0
25203;4chlorocresol 4chloro2methylphenol;0
25204;pentachlorophenol et pentachlorophenates;0
25205;bromophenols;0
25206;iodophenols;0
26000;ethers thioethers;0
26100;ethers aliphatiques;0
2611A;methylcellulose;0
2611B;ethylcellulose;0
2611C;hydroxyethylcellulose;0
2611D;hydroxypropylmethylcellulose;0
2611Z;autre ether aliphatique;0
26110;ethers;0
26111;dimethylether;0
26112;methylethylether;0
26113;diethylether ether ethylique;0
26114;isopropylether;0
26115;dibutylether;0
26116;divinylether;0
26117;methylvinylether;0
26118;dioxane;0
26119;ether de glycerol;0
2612Z;autre derive halogene des ethers aliphatiques;0
26120;derives halogenes des ethers aliphatiques;0
2212Z;autre derive chlore des hydrocarbures aliphatiques satures;0
22120;derives chlores des hydrocarbures aliphatiques satures;0
22121;chloromethane chlorure de methyle;0
22122;dichloromethane chlorure de methylene;0
22123;trichloromethane chloroforme;0
22124;tetrachloromethane tetrachlorure de carbone;0
22125;chloroéthane;0
22126;1.2-dichloroéthane;0
22127;1.1.1trichloroéthane;0
22128;1.1.2trichloroéthane;0
22129;1.1.2.2tetrachloroethane tetrachloro1.1.2.2ethane;0
2213Z;autre derive brome des hydrocarbures aliphatiques satures;0
22130;derives bromes des hydrocarbures aliphatiques satures;0
22131;bromomethane bromure de methyle;0
22132;bromoethane;0
22133;1.1.2.2tétrabromoéthane;0
22134;tribromomethane bromoforme;0
22135;1.2-dibromoéthane;0
22136;1-Bromopropane;0
22137;2-Bromopropane;0
2214Z;autre derive iode des hydrocarbures aliphatiques satures;0
22140;derives iodes des hydrocarbures aliphatiques satures;0
22141;iodomethane;0
2215Z;autre derive halogene mixte des hydrocarbures aliphatiques s;0
22150;derives halogenes mixtes des hydrocarbures aliphatiques satu;0
22151;bromochloromethane;0
22152;chlorodifluoromethane;0
22153;dichlorodifluoromethane;0
22154;trichlorofluorométhane;0
22155;bromochlorodifluoromethane  r12b1;0
22156;bromotrifluoromethane;0
22157;dichlorotetrafluoroethane  r114;0
22158;dibromotetrafluoroethane  r114b2;0
22200;derives halogenes des hydrocarbures aliphatiques insatures;0
2221Z;autre derive fluore des hydrocarbures aliphatiques insatures;0
22210;derives fluores des hydrocarbures aliphatiques insatures;0
22211;fluoroethylene fluorure de vinyle;0
22212;1.1difluoroethylene fluorure de vinylidene;0
2222Z;autre derive chlore des hydrocarbures aliphatiques insatures;0
22220;derives chlores des hydrocarbures aliphatiques insatures;0
22221;chloroethylene chlorure de vinyle;0
22222;1.1dichloroethylene chlorure de vinylidene;0
22223;1.2dichloroethylene cis et trans;0
22224;trichloroethylene trichlorethylene;0
22225;tetrachloroethylene tetrachlorethylene perchlorethylene;0
22226;chlorure d'allyle chloropropylene;0
22227;chloroprene 2chloro1.3butadiene;0
22230;derives bromes des hydrocarbures aliphatiques insatures;0
22240;derives iodes des hydrocarbures aliphatiques insatures;0
22250;derives halogenes mixtes des hydrocarbures aliphatiques insa;0
22300;derives halogenes des hydrocarbures alicycliques;0
22310;derives fluores des hydrocarbures alicycliques;0
2232Z;autre derive chlore des hydrocarbures alicycliques;0
22320;derives chlores des hydrocarbures alicycliques;0
22321;hexachlorocyclohexane lindane hch;0
22322;heptachlor;0
22323;chlordane;0
22324;aldrine;0
22325;dieldrine;0
22326;toxafene camphechlore;0
22327;hexachlorocyclopentadiene;0
22330;derives bromes des hydrocarbures alicycliques;0
22340;derives iodes des hydrocarbures alicycliques;0
22350;derives halogenes mixtes des hydrocarbures alicycliques;0
22400;derives halogenes des hydrocarbures aromatiques;0
22410;derives fluores des hydrocarbures aromatiques;0
2242A;hexachlorobenzene;0
2242Z;autre derive chlore des hydrocarbures aromatiques;0
22420;derives chlores des hydrocarbures aromatiques;0
22421;chlorobenzene;0
22422;1.2dichlorobenzene;0
22423;1.4dichlorobenzene;0
22424;trichlorobenzene;0
22425;polychlorobiphenyles pcb polychlorophenyles;0
22426;chloronaphtalenes;0
22427;chlorure de benzyle;0
22428;ddt;0
22429;endosulfan;0
2243Z;autre derive brome des hydrocarbures aromatiques;0
22430;derives bromes des hydrocarbures aromatiques;0
22431;bromobenzene;0
22432;polybromobiphenyles pbb;0
22440;derives iodes des hydrocarbures aromatiques;0
22450;derives halogenes mixtes des hydrocarbures aromatiques;0
22500;derives halogenes des heterocycles;0
22510;derives fluores des heterocycles;0
2252Z;autre derive chlore des heterocycles;0
22520;derives chlores des heterocycles;0
22521;chloropyridines;0
22522;chloroquinoleines;0
22523;2.3.6.7tetrachlorodibenzodioxine tcdd;0
22530;derives bromes des heterocycles;0
22540;derives iodes des heterocycles;0
22550;derives halogenes mixtes des heterocycles;0
23000;alcools et polyalcools;0
23100;alcools et polyalcools aliphatiques et derives;0
2311A;hexanol;0
2311B;2octanol;0
2311C;2ethylhexanol;0
2311D;nonylalcool;0
2311E;decylalcool;0
2311F;laurylalcool;0
2311G;cetylalcool;0
21114;butane isobutane;0
21115;pentane isopentane;0
21116;hexanes a moins 5% nhexane;0
21117;nhexane;0
21118;heptane;0
21119;octane;0
2112Z;autre alcene;0
21120;hydrocarbures aliphatiques insatures alcenes;0
21121;ethylene ethene;0
21122;propylene propene;0
21123;butylene butene isobutene isobutylene;0
21124;pentene;0
21125;1.3butadiene;0
21126;isoprene 2methyl1.3butadiene;0
2113Z;autre alcyne;0
21130;hydrocarbures aliphatiques insatures alcynes;0
21131;acetylene;0
21200;hydrocarbures alicycliques;0
2121Z;autre cycloalcane;0
21210;hydrocarbures alicycliques satures cycloalcanes;0
21211;cyclopropane;0
21212;cyclohexane;0
21213;methylcyclohexane;0
21214;decaline decahydronaphtalene;0
2122Z;autre cycloalcene;0
21220;hydrocarbures alicycliques insatures cycloalcenes;0
21221;cyclopentadiene;0
21222;dicyclopentadiene;0
2123Z;autre terpene;0
21230;terpenes;0
21231;alphapinene betapinene;0
21300;hydrocarbures aromatiques;0
2131Z;autre hydrocarbure aromatique monocyclique;0
21310;hydrocarbures aromatiques monocycliques;0
21311;benzene;0
21312;toluene;0
21313;xylenes oxylene mxylene pxylene;0
21314;ethylbenzene;0
21315;isopropylbenzene cumene;0
21316;styrene;0
2132Z;autre hydrocarbure aromatique polycyclique;0
21320;hydrocarbures aromatiques polycycliques;0
21321;naphtalene;0
21322;tetraline tetrahydronaphtalene;0
21323;anthracene;0
21324;phenantrene;0
21325;pyrene;0
21326;benzopyrenes;0
21327;biphenyle;0
21328;terphenyle;0
214A0;oxazine et derives;0
214A1;morpholine tetrahydrooxazine;0
214B0;dioxine et derives;0
214B1;dibenzodioxine;0
214C0;pyridine et derives;0
214C1;vinylpyridine;0
214C2;piperidine;0
214C3;picoline methylpyridine;0
214C4;lutidine dimethylpyridine;0
214C5;collidine trimethylpyridine methylethylpyridine;0
214D0;pyridazine pyrimidine pyrazine et derives;0
214D1;piperazine    T65;0
214F0;benzofurane coumarone et derives;0
214G0;indole et derives;0
214H0;benzothiophene et derives;0
214J0;indazole benzimidazole et derives;0
214K0;benzoxazole et derives;0
214L0;benzothiazole et derives;0
214M0;quinoleine benzopyridine isoquinoleine et derives;0
214N0;carbazole et derives;0
214P0;xanthene et derives;0
214Q0;acridine et derives;0
214R0;phenazine et derives;0
214S0;phenothiazine et derives   T65;0
214T0;phenoxazine et derives;0
214U0;triazine et derives;0
214Z0;autre heterocycle;0
21400;heterocycles;0
21410;imines;0
21411;ethyleneimine aziridine;0
21412;propyleneimine;0
21419;autres imines;0
21420;furane et derives;0
21430;thiophene et derives;0
21440;pyrrole et derives;0
21441;pyrrolidine tetrahydropyrrole;0
21450;oxazole isoxazole et derives;0
21460;thiazole isothiazole et derives;0
21461;mercaptobenzothiazole   T65;0
21470;pyrazole imidazole et derives;0
21480;triazole et derives;0
21490;pyrane et derives;0
21491;dihydropyrane;0
22000;derives halogenes des hydrocarbures;0
22100;derives halogenes des hydrocarbures aliphatiques satures;0
2211Z;autre derive fluore des hydrocarbures aliphatiques satures;0
22110;derives fluores des hydrocarbures aliphatiques satures;0
22111;trifluoromethane;0
2212A;pentachloroethane pentachlorethane;0
2212B;hexachloroethane hexachlorethane;0
2212C;1chloropropane;0
2212D;2chloropropane;0
2212E;1.2dichloropropane;0
2Q50Z;autre imine;0
2Q500;imines (voir aussi heterocycles);0
2Q501;guanidine;0
2Q502;nmethyln'nitronnitrosoguanidine;0
2Q503;nethyln'nitronnitrosoguanidine;0
2Q504;bis(paradimethylaminophenyl)methylenimine auramine;0
2R000;derives nitres;0
2R10Z;autre derive nitre aliphatique;0
2R100;derives nitres aliphatiques;0
2R101;nitromethane;0
2R102;tetranitromethane;0
2R103;nitroethane;0
2R200;derives nitres alicycliques;0
2R300;derives nitres et chloronitres aromatiques;0
2R31A;nitrosobenzene;0
2R31B;pnitrosophenol;0
2R31C;4nitrobiphenyle 4nitrodiphenyle;0
2R31Z;autre derive nitre aromatique;0
2R310;derives nitres aromatiques;0
2R311;nitrobenzene;0
2R312;nitrotoluene;0
2R313;dinitrobenzenes;0
2R314;trinitrotoluene tnt;0
2R315;mononitrophenol;0
2R316;dinitrophenol dinosebe;0
2R317;trinitrophenol acide picrique;0
2R318;nitrocresols;0
2R319;dinitrocresol dinitroorthocresol dinoseb;0
2R32Z;autre derive chloronitre aromatique;0
2R320;derives chloronitres aromatiques;0
2R321;4chloro1.4dinitrobenzene;0
2R40Z;autre derive nitre heterocyclique;0
2R400;derives nitres heterocycliques;0
2R401;nitropyridine;0
2S000;derives hydrazo azoiques diazoiques azoxy;0
2S100;hydrazines et derives hydrazo;0
2S11Z;autre hydrazine;0
2S110;hydrazines;0
2S111;phenylhydrazine;0
2S112;2.4dinitrophenylhydrazine;0
2S12Z;autre derive hydrazo;0
2S120;derives hydrazo;0
2S121;hydrazobenzene;0
2S20Z;autre derive azo ou diazo;0
2S200;derives azoiques diazoiques;0
2S201;diazomethane;0
2S202;diazoacetate d'ethyle;0
2S203;sels de diazonium (dont chlorure de dimethylaminobenzenediaz;0
2S300;derives azoxy;0
2T000;peroxydes disulfures;0
2T10Z;autre peroxyde;0
2T100;peroxydes;0
2T101;hydroperoxyde de tertbutyle;0
2T102;peroxyde d'acetyle;0
2T103;peroxyde de benzoyle;0
2T20Z;autre disulfure;0
2T200;disulfures;0
2T201;disulfure de diallyle;0
2U000;sulfoxydes sulfones;0
2U10Z;autre sulfoxyde;0
2U100;sulfoxydes;0
2U101;dimethylsulfoxyde dmso;0
2U20Z;autre sulfone;0
2U200;sulfones;0
2U201;sulfolane;0
2VZ00;autres composes organiques des metaux;0
2V000;composes organiques des metaux;0
2V1Z0;autres derives organometalliques;0
2V100;derives organometalliques;0
2V110;derives organometalliques du magnesium;0
2V120;derives organometalliques de l'aluminium;0
2V130;derives organometalliques du zinc;0
2V140;derives organometalliques de l'etain;0
2V150;derives organometalliques du mercure;0
2V160;derives organometalliques du plomb;0
2V170;derives organometalliques de l'arsenic;0
2V180;derives organometalliques du bore;0
2V190;derives organometalliques du nickel;0
2V2Z0;autres composes organiques du silicium;0
2V200;composes organiques du silicium;0
2V210;silanes et siloxanes;0
2V30Z;autres composes organiques du mercure;0
2V300;composes organiques du mercure;0
2V301;fulminate de mercure;0
2W000;glucosides;0
2W100;aminoglucosides aminoglycosides;0
2X000;alcaloides;0
2X001;quinine  T66A;0
2Y000;derives soufres des hydrocarbures mercaptans;0
2Y001;methylmercaptan;0
2Y002;ethylmercaptan;0
2Z000;autre substance organique  non classee ailleurs;0
2Z100;composes organiques de l'azote non definis par ailleurs;0
2Z200;derives halogenes non definis par ailleurs;0
2Z300;COMPOSES HYDROCARBONES OXYGENES;0
20000;composes organiques;0
21000;hydrocarbures;0
21100;hydrocarbures aliphatiques;0
2111Z;autre alcane;0
21110;hydrocarbures aliphatiques satures alcanes;0
21111;methane;0
21112;ethane;0
21113;propane;0
2Q000;amines  et derives imines;0
2Q1Z0;autres derives d'amines aliphatiques;0
2Q100;amines aliphatiques et derives;0
2Q11A;hexylamine;0
2Q11B;heptylamine;0
2Q11C;allylamine;0
2Q11D;diallylamine;0
2Q11E;triallylamine;0
2Q11F;ethylenediamine;0
2Q11G;diethylenetriamine;0
2Q11H;triethylenetetramine;0
2Q11Z;autre amine aliphatique;0
2Q110;amines aliphatiques;0
2Q111;methylamine;0
2Q112;dimethylamine;0
2Q113;trimethylamine;0
2Q114;ethylamine;0
2Q115;diethylamine;0
2Q116;triethylamine;0
2Q117;propylamine;0
2Q118;butylamine;0
2Q119;amylamine;0
2Q12Z;autre sel d'amine aliphatique;0
2Q120;sels d'amines aliphatiques;0
2Q121;sels de tetramethylammonium;0
2Q122;bromure de tetrabutylammonium;0
2Q13Z;autre alcanolamine;0
2Q130;derives hydroxyles des amines aliphatiques alcanolamines;0
2Q131;ethanolamine;0
2Q132;diethanolamine;0
2Q133;triethanolamine;0
2Q140;derives nitres des amines aliphatiques;0
2Q15Z;autre nitrosamine aliphatique;0
2Q150;derives nitroses des amines aliphatiques nitrosamines alipha;0
2Q151;4nitrosodimethylamine;0
2Q160;derives halogenes des amines aliphatiques;0
2Q170;derives sulfones des  amines aliphatiques;0
2Q2Z0;autres derives d'amines alicycliques;0
2Q200;amines alicycliques et derives;0
2Q21Z;autre amine alicyclique;0
2Q210;amines alicycliques;0
2Q211;cyclohexylamine;0
2Q212;hexamethylenetetramine hmt;0
2Q220;sels d'amines alicycliques;0
2Q230;derives hydroxyles des amines alicycliques;0
2Q240;derives nitres des amines alicycliques;0
2Q250;derives nitroses des amines alicycliques nitrosamines alicyc;0
2Q260;derives halogenes des amines alicycliques;0
2Q270;derives sulfones des amines alicycliques;0
2Q3Z0;autres derives d'amines aromatiques;0
2Q300;amines aromatiques et derives;0
2Q31A;alphanaphtylamine 1naphtylamine;0
2Q31B;betanaphtylamine 2naphtylamine;0
2Q31C;4aminodiphenyl 4aminobiphenyl xenylamine;0
2Q31D;4dimethylaminoazobenzene;0
2Q31E;nisopropyln'phenylparaphenylenediamine    T65;0
2Q31F;4.4'methylenebis(2methylaniline) ditolylbase;0
2Q31Z;autre amine aromatique;0
2Q310;amines aromatiques;0
2Q311;aniline aminobenzene;0
2Q312;dimethylaniline;0
2Q313;diethylaniline;0
2Q314;otoluidine 2methylaniline;0
2Q315;xylidines;0
2Q316;diphenylamine;0
2Q317;benzidine 4.4'diaminobiphenyle 4.4'diaminodiphenyle;0
2Q318;otolidine 3.3'dimethylbenzidine;0
2Q319;phenylenediamine;0
2Q320;sels d'amines aromatiques;0
2Q330;derives hydroxyles des amines aromatiques;0
2Q331;aminophenols;0
2Q332;3.3'dimethoxybenzidine odianisidine;0
2Q34Z;autre derive nitre des amines aromatiques;0
2Q340;derives nitres des amines aromatiques;0
2Q341;nitroaniline;0
2Q342;tetryl nmethyln2.4.6tetranitroaniline;0
2Q35Z;autre nitrosamine aromatique;0
2Q350;derives nitroses des amines aromatiques nitrosamines aromati;0
2Q351;n.ndimethylpnitrosoaniline;0
2Q352;nmethylnnitrosourethane;0
2Q353;nmethynnitrosoptoluenesulfonamide;0
2Q354;nnitrosodibutylamine;0
2Q36Z;autre derive halogene des amines aromatiques;0
2Q360;derives halogenes des amines aromatiques;0
2Q361;chloraniline;0
2Q362;3.3'dichlorobenzidine;0
2Q363;4.4'methylenebisorthochloraniline moca mboca 4.4'methylenebi;0
2Q364;pchlorootoluidine parachloroorthotoluidine;0
2Q370;derives sulfones des amines aromatiques;0
2Q4Z0;autres derives d'amines heterocycliques;0
2Q400;amines heterocycliques et derives;0
2Q41Z;autre amine heterocyclique;0
2Q410;amines heterocycliques;0
2Q411;aminopyridine;0
2Q412;aminoquinoleine;0
2Q413;nicotine;0
2Q414;2aminothiazole;0
2Q420;sels d'amines heterocycliques;0
2Q430;derives hydroxyles des amines heterocycliques;0
2Q440;derives nitres des amines heterocycliques;0
2Q450;derives nitroses des amines heterocycliques nitrosamines het;0
2Q460;derives halogenes des amines heterocycliques;0
2Q470;derives sulfones des amines heterocycliques;0
2J400;sels d'acides carboxyliques heterocycliques;0
2K000;lactones lactames;0
2K10Z;autre lactone;0
2K100;lactones;0
2K101;betapropiolactone;0
2K102;gammabutyrolactone;0
2K103;gammacaprolactone;0
2K104;epsiloncaprolactone;0
2K20Z;autre lactame;0
2K200;lactames;0
2K201;gammabutyrolactame;0
2K202;omegavalerolactame;0
2K203;epsiloncaprolactame;0
2L000;amides sulfonamides phosphoramides imides;0
2L10A;azodicarbonamide azoformamide  T66A;0
2L10B;uree carbamide;0
2L10C;thiouree thiocarbamide   T65;0
2L10D;nmethylnnitrosouree;0
2L10E;nethylnnitrosouree;0
2L10Z;autre amide;0
2L100;amides;0
2L101;formamide;0
2L102;acetamide;0
2L103;n.ndimethylformamide dmf;0
2L104;dyméthylacétamide;0
2L105;acrylamide;0
2L106;methacrylamide;0
2L107;n.ndimethylacrylamide;0
2L108;benzamide;0
2L109;acetanilide;0
2L20Z;autre sulfonamide;0
2L200;sulfonamides;0
2L201;ptoluenesulfonamide;0
2L202;sel de sodium de la nchloroptoluenesulfonamide chloramine t;0
2L300;phosphoramides;0
2L400;imides;0
2L401;dicyclohexylcarbodiimide   T65;0
2L50Z;autre thiurame;0
2L500;thiurames;0
2L501;disulfure de tetramethylthiurame disulfure de bis(n.ndimethy;0
2M000;halogenures d'acyle;0
2M10Z;autre chlorure d'acyle;0
2M100;chlorure d'acyle;0
