PRS_RP1_COD;PRS_RP2_COD;PRS_RP1_LIB;PRS_NAT_TDM;PFS_SPE_POS;PFS_SPE_COD;PFS_ACT_NAT;DDP_GDE_COD;MFT_COD;ETE_STJ_COD;ETE_CAT_RG1;TEC_COL
3336;2140;CHIRURGIE DENTAIRE (SPECIALISTE O.D.F.);2;5;36;;;;;;0
3337;2140;ANATOMIE-CYTOLOGIE-PATHOLOGIQUE;2;2;37;;;;;;0
3338;2140;DIRECTEUR LABORATOIRE MEDECIN;2;2;38;;;;;;0
3341;2140;CHIRURGIE ORTHOPEDIQUE ET TRAUMATOLOGIE;2;2;41;;;;;;0
3342;2140;ENDOCRINOLOGIE ET METABOLISMES;2;2;42;;;;;;0
3343;2140;CHIRURGIE INFANTILE;2;2;43;;;;;;0
3344;2140;CHIRURGIE MAXILLO-FACIALE;2;2;44;;;;;;0
3345;2140;CHIRURGIE MAXILLO-FACIALE ET STOMATOLOGIE;2;2;45;;;;;;0
3346;2140;CHIRURGIE PLASTIQUE RECONSTRUCTRICE  ET ESTHETIQUE;2;2;46;;;;;;0
3347;2140;CHIRURGIE THORACIQUE ET CARDIO-VASCULAIRE;2;2;47;;;;;;0
3348;2140;CHIRURGIE VASCULAIRE;2;2;48;;;;;;0
3349;2140;CHIRURGIE VISCERALE ET DIGESTIVE;2;2;49;;;;;;0
3370;2140;GYNECOLOGIE MEDICALE;2;2;70;;;;;;0
3371;2140;HEMATOLOGIE;2;2;71;;;;;;0
3372;2140;MEDECINE NUCLEAIRE;2;2;72;;;;;;0
3373;2140;ONCOLOGIE MEDICALE;2;2;73;;;;;;0
3374;2140;ONCOLOGIE RADIOTHERAPIQUE;2;2;74;;;;;;0
3375;2140;PSYCHIATRIE DE L ENFANT ET DE L ADOLESCENT;2;2;75;;;;;;0
3376;2140;RADIOTHERAPIE;2;2;76;;;;;;0
3377;2140;OBSTETRIQUE;2;2;77;;;;;;0
3378;2140;GENETIQUE MEDICALE;2;2;78;;;;;;0
3399;2140;AUTRES;2;2;99;;;;;;0
3500;2150;AUTRES;2;;;;;;;;0
4019;2490;CHIRURGIE DENTAIRE (Auxiliaires Médicaux);3;;;19;;;;;0
4021;2490;SAGE-FEMME;3;;;21;;;;;0
4024;2490;INFIRMIER;3;;;24;;;;;0
4026;2490;MASSEUR - KINESITHERAPEUTE;3;;;26;;;;;0
4027;2490;PEDICURE;3;;;27;;;;;0
4028;2490;ORTHOPHONISTE;3;;;28;;;;;0
4029;2490;ORTHOPTISTE;3;;;29;;;;;0
4030;2490;LABORATOIRE;3;;;30;;;;;0
4039;2490;LABORATOIRE POLYVALENT;3;;;39;;;;;0
4040;2490;LABORATOIRE ANATOMO-PATHOLOGISTE;3;;;40;;;;;0
4050;2490;PHARMACIE D OFFICINE;3;;;50;;;;;0
4051;2490;PHARMACIE MUTUALISTE;3;;;51;;;;;0
4052;2490;PHARMACIE HOSPITALIERE;3;;;52;;;;;0
4055;2490;AMBULANCIER;3;;;55;;;;;0
4056;2490;AUTRE TRANSPORTEUR;3;;;56;;;;;0
4060;2490;FOURNISSEUR (SOCIETE);3;;;60;;;;;0
4061;2490;FOURNISSEUR (ARTISAN);3;;;61;;;;;0
4062;2490;FOURNISSEUR (ASSOCIATION);3;;;62;;;;;0
4063;2490;FOURNISSEUR (ORTHESES);3;;;63;;;;;0
4064;2490;FOURNISSEUR (OPTIQUE MEDICALE);3;;;64;;;;;0
4065;2490;FOURNISSEUR (AUDIOPROTHESES);3;;;65;;;;;0
4066;2490;FOURNISSEUR (PROTHESES OCULAIRES ET FACIALES);3;;;66;;;;;0
4067;2490;FOURNISSEUR (PODO-ORTHESES);3;;;67;;;;;0
4068;2490;FOURNISSEUR (ORTHO-PROTHESES);3;;;68;;;;;0
4099;2490;AUTRES;3;;;99;;;;;0
5000;2790;PHARMACIE;5;;;;;;;;0
5500;2800;BIOLOGIE;4;;;;;;;;0
6000;2810;LPP;6;;;;;;;;0
6100;2820;TRANSPORT;7;;;;;;;;0
6200;2830;AUTRES;7;;;;;;;;0
7000;2840;CLINIQUES;99;;;;;99;39;99;0
7100;2850;ETABLISSEMENTS MEDICAUX-SOCIAUX;99;;;;99;;;;0
7200;2860;AUTRES;99;;;;;;;;0
7500;2870;PRESTATIONS EN ESPECES;13;;;;;;;;0
7700;2890;CURES THERMALES;8;;;;;;;;0
7800;2900;PRESTATIONS NON INDIVIDUALISEES;11;;;;;;;;0
7900;2910;DECES;14;;;;;;;;0
8000;2920;INVALIDITE;15;;;;;;;;0
8100;2930;CHARGES TECHNIQUES;16;;;;;;;;0
8200;2940;RENTES;17;;;;;;;;0
8300;2950;IVG;18;;;;;;;;0
8400;2960;ACTION SANITAIRE ET SOCIALE;19;;;;;;;;0
8500;2970;PREVENTION;20;;;;;;;;0
8600;2980;BUDGET GLOBAL;21;;;;;;;;0
9990;2989;AUTRES;12;;;;;;;;0
9999;2990;SANS OBJET;22;;;;;;;;1
