"CAM_PRS_IDE_COD";"CAM_PRS_IDE_LIB";"CAM_PRS_RGT"
"AEQH001";"Myélographie dorsale et/ou lombale";"ADI"
"AFQH003";"Myélographie avec scanographie de la colonne vertébrale [Myéloscanner]";"ADI"
"AFQH002";"Saccoradiculographie";"ADI"
"AFQH001";"Saccoradiculographie avec scanographie de la colonne vertébrale";"ADI"
"ACQK001";"Scanographie du crâne et de son contenu, sans injection de produit de contraste";"ADI"
"ACQH003";"Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste";"ADI"
"ACQH001";"Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]";"ADI"
"ACQK003";"Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique";"ADI"
"ACQH002";"Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste";"ADI"
"ACQH004";"Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste";"ADI"
"ACQN001";"Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste";"ADI"
"ACQJ002";"Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste";"ADI"
"ACQN003";"Remnographie [IRM] du crâne et de son contenu pour procédure stéréotaxique";"ADI"
"ACQN002";"Remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique";"ADI"
"ACQN004";"Remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion";"ADI"
"ACQJ001";"Remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques";"ADI"
"AAQN004";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices";"ADI"
"AAQN900";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles";"ADI"
"AAQN901";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions phasiques";"ADI"
"AAQN902";"Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI]";"ADI"
"AAQN002";"Spectroscopie par résonance magnétique cérébrale protonique localisée";"ADI"
"AAQN903";"Spectroscopie par résonance magnétique cérébrale du phosphore";"ADI"
"ACQL007";"Tomoscintigraphie de perfusion cérébrale sans test d'activation";"ADI"
"ACQL005";"Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe";"ADI"
"ACQL008";"Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique";"ADI"
"ACQL004";"Tomoscintigraphie de perfusion cérébrale en période critique";"ADI"
"ACQL001";"Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme";"ADI"
"ACQL003";"Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale";"ADI"
"ACQL002";"Tomoscintigraphie cérébrale par émission de positons, avec tépographe [caméra TEP] dédié";"ADI"
"ABQL002";"Cisternographie radio-isotopique";"ADI"
"ABQL003";"Recherche radio-isotopique d'une brèche ostéoméningée";"ADI"
"ABML001";"Vérification radio-isotopique d'une dérivation du liquide cérébrospinal";"ADI"
"BLQP001";"Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux";"ATM"
"BLQP009";"Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste";"ATM"
"CDQP017";"Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes";"ATM"
"CDQP006";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale";"ATM"
"CDQP014";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sous anesthésie générale";"ATM"
"CDQP008";"Enregistrement des potentiels évoqués auditifs de moyennes et de longues latences avec mesure des amplitudes et latences des réponses";"ATM"
"CEQP008";"Enregistrement des potentiels évoqués vestibulaires d’origine sacculaire [potentiels évoqués otolithiques] [potentiels évoqués sacculocolliques] par électromyographie";"ATM"
"ANQP004";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale d'un ou de 2 nerfs des membres supérieurs ou inférieurs";"ATM"
"ANQP006";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale de 3 nerfs ou plus des membres supérieurs et inférieurs";"ATM"
"ANQP002";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation des nerfs pudendaux [nerfs honteux]";"ATM"
"AHQP004";"Enregistrement des potentiels moteurs par stimulation corticale et/ou spinale";"ATM"
"ALQP001";"Enregistrement des potentiels évoqués cognitifs événementiels";"ATM"
"ANQP005";"Enregistrement des potentiels évoqués nociceptifs avec mesure des amplitudes et des latences des réponses corticales, par stimulation au laser";"ATM"
"AZQP002";"Enregistrement de potentiels évoqués, au lit du malade";"ATM"
"ACQC001";"Exploration intracrânienne, par vidéochirurgie";"ADC"
"ABHB002";"Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire";"ATM"
"ABHB001";"Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne";"ATM"
"AFHB001";"Ponction de liquide cérébrospinal, par voie infraoccipitale ou latérocervicale transcutanée [Ponction sousoccipitale]";"ATM"
"AFHB002";"Ponction de liquide cérébrospinal, par voie lombale transcutanée [Ponction lombaire]";"ATM"
"ACHH001";"Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage scanographique";"ATM"
"ACHJ001";"Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage remnographique [IRM]";"ATM"
"ACHB001";"Biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique";"ATM"
"ACHA002";"Biopsie de lésion intracrânienne, par craniotomie";"ADC"
"ACHA003";"Biopsie de lésion de la base du crâne, par endoscopie buccale ou nasale";"ADC"
"ACHA001";"Biopsie de lésion de la base du crâne, par abord transoral ou nasosphénoïdal";"ADC"
"AHHB001";"Biopsie de nerf périphérique, par voie transcutanée";"ATM"
"AHHA001";"Biopsie de nerf périphérique, par abord direct";"ADC"
"AHHA002";"Biopsie neuromusculaire, par abord direct";"ADC"
"AGLB001";"Injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique";"ATM"
"ANLB004";"Injection intrathécale d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique";"ATM"
"ADLH001";"Infiltration anesthésique du ganglion trigéminal avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"ADLH002";"Infiltration anesthésique d'une branche de division du nerf trijumeau avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"ADLH003";"Infiltration anesthésique du nerf glossopharyngien avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AHLH001";"Infiltration anesthésique de nerf spinal à son émergence rachidienne avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AHLH011";"Infiltration anesthésique de branche dorsale de nerf spinal avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AHLH008";"Infiltration anesthésique unilatérale ou bilatérale du nerf grand occipital [d'Arnold] avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AHLB008";"Infiltration anesthésique du plexus brachial, avec évaluation diagnostique et pronostique";"ATM"
"AHLH016";"Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AHLH005";"Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage scanographique";"ATM"
"AHLB007";"Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, sans stimulodétection électrique";"ATM"
"AHLB017";"Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, avec stimulodétection électrique";"ATM"
"AHLB005";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, sans guidage";"ATM"
"AHLH009";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AHLH020";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage scanographique";"ATM"
"AJLH004";"Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AJLH012";"Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage scanographique";"ATM"
"AJLB002";"Infiltration anesthésique du ganglion cervicothoracique [stellaire], avec évaluation diagnostique et pronostique";"ATM"
"AJLH014";"Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AJLH018";"Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage scanographique";"ATM"
"AJLJ001";"Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage échographique";"ATM"
"AJLH006";"Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AJLJ003";"Infiltration anesthésique du plexus cœliaque avec évaluation diagnostique et pronostique, avec guidage échographique";"ATM"
"AJLH007";"Infiltration anesthésique du plexus cœliaque avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AJLH015";"Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AJLH001";"Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage scanographique";"ATM"
"AJLH002";"Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage radiologique";"ATM"
"AJLH010";"Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage scanographique";"ATM"
"ALQP006";"Test d'évaluation d'un déficit cognitif";"ATM"
"ALQP002";"Test d'évaluation de l'efficience intellectuelle de l'enfant";"ATM"
"ALQP005";"Test d'évaluation de l'efficience intellectuelle de l'adulte";"ATM"
"ALQP003";"Test d'évaluation d'une dépression";"ATM"
"ALQP004";"Test d'évaluation des aspects psychopathologiques de la personnalité";"ATM"
"ZFQP002";"Test d'évaluation et de catégorisation des déficiences, incapacités et désavantages sociaux";"ATM"
"ZFQP003";"Test d'évaluation de la qualité de vie";"ATM"
"AZQX005";"Examen anatomopathologique à visée carcinologique de pièce d'exérèse de tumeur de l'encéphale, de la moelle épinière, ou des méninges";"ATM"
"AZQP001";"Actimétrie de longue durée";"ATM"
"AANB001";"Destruction d'une cible intracérébrale à visée fonctionnelle, par voie stéréotaxique";"ADC"
"AAPA900";"Déconnexion d'une zone épileptogène, par craniotomie";"ADC"
"AAFA007";"Excision d'une zone épileptogène, par craniotomie";"ADC"
"AAFA004";"Hémisphérectomie fonctionnelle, par craniotomie";"ADC"
"AAFA005";"Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie";"ADC"
"AAFA002";"Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie";"ADC"
"AAFA006";"Résection de parenchyme cérébral pour infarctus expansif, par craniotomie";"ADC"
"AAJH003";"Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique";"ADC"
"AAJH001";"Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique";"ADC"
"AAJA001";"Évacuation de collection intracérébrale, par craniotomie";"ADC"
"AAJA005";"Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente";"ADC"
"AAJH004";"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique";"ADC"
"AAJH002";"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique";"ADC"
"AAJA004";"Évacuation d'hématome intracérébral non traumatique, par craniotomie";"ADC"
"AAJA002";"Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie";"ADC"
"AAFA001";"Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie";"ADC"
"AAFA008";"Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie";"ADC"
"AAFA003";"Exérèse de lésion du tronc cérébral, par craniotomie";"ADC"
"AAJA003";"Évacuation d'hématome intracérébelleux, par craniotomie";"ADC"
"AAJA006";"Parage de plaie craniocérébrale";"ADC"
"ABJB002";"Évacuation de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire";"ATM"
"ABJB001";"Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne";"ADC"
"ABLA001";"Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané";"ADC"
"ABGA003";"Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral";"ADC"
"ABLB006";"Séance d'administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique anticancéreux, par un dispositif implanté";"ATM"
"ABCB001";"Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne";"ADC"
"ABCA003";"Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct";"ADC"
"ABCA002";"Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct";"ADC"
"ABCA004";"Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct";"ADC"
"ABCC001";"Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne";"ADC"
"ABCA001";"Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie";"ADC"
"ABMA003";"Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie";"ADC"
"ABSA012";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie";"ADC"
"ABSA010";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord paralatéronasal";"ADC"
"ABSA011";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoïdal";"ADC"
"ABSA005";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord orbitaire";"ADC"
"ABSA007";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie";"ADC"
"ABSA003";"Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal";"ADC"
"ABSA001";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie";"ADC"
"ABSA002";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique";"ADC"
"ABSA006";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord suprapétreux";"ADC"
"ABSA004";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical";"ADC"
"ABSA008";"Fermeture d'une fistule postopératoire de liquide cérébrospinal de la base du crâne";"ADC"
"ABSA009";"Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie";"ADC"
"ABFA007";"Exérèse d'une fistule dermique avec prolongement intradural occipital";"ADC"
"ABFA003";"Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne";"ADC"
"ABFA001";"Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire";"ADC"
"ABFA004";"Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire";"ADC"
"ABJA005";"Évacuation d'un hématome extradural supratentoriel, par craniotomie";"ADC"
"ABJA004";"Évacuation d'un hématome extradural infratentoriel, par craniotomie";"ADC"
"ABJA007";"Évacuation d'un hématome extradural plurifocal supratentoriel et/ou infratentoriel, par craniotomie";"ADC"
"ABJA002";"Évacuation d'un hématome subdural aigu, par craniotomie";"ADC"
"ABJA003";"Évacuation d'un hématome subdural chronique unilatéral, par craniotomie";"ADC"
"ABJA006";"Évacuation d'un hématome subdural chronique bilatéral, par craniotomie";"ADC"
"ABJA008";"Évacuation d'un empyème intracrânien extracérébral, par craniotomie";"ADC"
"ABJC900";"Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie";"ADC"
"ABJA001";"Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie";"ADC"
"ACFA001";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale";"ADC"
"ACFA015";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale";"ADC"
"ACFA026";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale et abord ethmoïdal";"ADC"
"ACFA022";"Exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie";"ADC"
"ACFA011";"Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie";"ADC"
"ACFA013";"Exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie";"ADC"
"ACFA006";"Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux";"ADC"
"ACFA029";"Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial, par abord transpétreux";"ADC"
"ACFA003";"Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique";"ADC"
"ACFA009";"Exérèse de tumeur de la pointe du rocher, par abord suprapétreux";"ADC"
"ACFA016";"Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial, par abord transpétreux";"ADC"
"ACFA025";"Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial, par abord transpétreux";"ADC"
"ACFA004";"Exérèse de tumeur du clivus, par craniotomie";"ADC"
"ACFA020";"Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal";"ADC"
"ACFA012";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord suprapétreux";"ADC"
"ACFA007";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord translabyrinthique";"ADC"
"ACFA005";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord rétrolabyrinthique présigmoïdien";"ADC"
"ACFA010";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien";"ADC"
"ACFA027";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord transotique";"ADC"
"ACFA014";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par deux abords";"ADC"
"ACFA024";"Exérèse de tumeur du foramen magnum sans déroutement de l'artère vertébrale, par craniotomie";"ADC"
"ACFA019";"Exérèse de tumeur du foramen magnum avec déroutement de l'artère vertébrale, par craniotomie";"ADC"
"ACFA023";"Exérèse de tumeur du foramen jugulaire, par craniotomie";"ADC"
"ACFA002";"Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural, par craniotomie";"ADC"
"ACFA028";"Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural, par craniotomie";"ADC"
"ACFA008";"Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural, par craniotomie";"ADC"
"ACFA018";"Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural, par craniotomie";"ADC"
"ABFA010";"Exérèse de tumeur de la faux du cerveau, par craniotomie";"ADC"
"ABFA008";"Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle";"ADC"
"ABFA009";"Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle";"ADC"
"ABFC002";"Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne";"ADC"
"ABFA005";"Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie";"ADC"
"ABFC001";"Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne";"ADC"
"ABFA002";"Exérèse de lésion du troisième ventricule, par craniotomie";"ADC"
"ABFA006";"Exérèse de lésion du quatrième ventricule, par craniotomie";"ADC"
"AENA001";"Destruction sélective de la corne postérieure de la moelle épinière ou de la jonction radicellospinale, par abord postérieur";"ADC"
"AEPB001";"Cordotomie spinale, par voie transcutanée";"ATM"
"AEPA002";"Myélotomie, commissurotomie ou cordotomie spinale, par abord postérieur";"ADC"
"AHPA025";"Radicotomie spinale, par abord postérieur";"ADC"
"AEPA001";"Libération de moelle attachée, par abord postérieur";"ADC"
"AEFA001";"Exérèse de lésion de la moelle épinière sur un étage vertébral, par abord postérieur";"ADC"
"AEFA002";"Exérèse de lésion de la moelle épinière sur plusieurs étages vertébraux, par abord postérieur";"ADC"
"AEFA003";"Exérèse de lésion du cône médullaire, par abord postérieur";"ADC"
"AHFA007";"Exérèse de lésion de la queue de cheval sur un étage vertébral, par abord postérieur";"ADC"
"AHFA003";"Exérèse de lésion de la queue de cheval étendue sur plusieurs étages vertébraux [lésion géante de la queue de cheval], par abord postérieur";"ADC"
"AHFA012";"Exérèse de lipome de la queue de cheval avec fermeture de méningocèle ou de myéloméningocèle, par abord postérieur";"ADC"
"AEJA004";"Parage et fermeture de plaie pénétrante vertébrospinale, par abord postérieur";"ADC"
