SAF_GRG_COD;DCT_ENT_SUP;DCT_ENT_CB2;DCT_ENT_LIB;DCT_GRG_LIB;TEC_COL
1;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;39;;FSE SECURISEE SLM;SAISIE EXTERNE : SLM;0
1;3;;CURES THERMALES (SAISIE INTERNE);SAISIE INTERNE REGIME GENERAL;0
1;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;4;;RECYCLAGE IRIS;SAISIE INTERNE REGIME GENERAL;0
1;5;;SAISIE MANUELLE NORME D ECHANGE COMMUNE;SAISIE INTERNE REGIME GENERAL;0
1;6;;COMPTABILITE ANNEXE (IDENTIFICATION DES FLUX DE PAIEMENT D ACOMPTE ET DE DE SOLDE DANS LE CADRE D UNE CAISSE PIVOT;SAISIE INTERNE REGIME GENERAL;0
1;7;;REGUL - PN;SAISIE INTERNE REGIME GENERAL;0
1;84;;PROGRES PE FI;SAISIE INTERNE REGIME GENERAL;0
1;85;;PROGRES PE DSN;SAISIE INTERNE REGIME GENERAL;0
1;86;;PROGRES PE EDI posté;SAISIE INTERNE REGIME GENERAL;0
1;87;;PROGRES PE EDI Machine-Machine;SAISIE INTERNE REGIME GENERAL;0
1;8;;PE NON RECUPEREES (REFORME IJ/AS);SAISIE INTERNE REGIME GENERAL;0
1;96;;PARTICIPATION FORFAITAIRE;SAISIE INTERNE REGIME GENERAL;0
1;98;;MAJORATION DU TICKET MODERATEUR HORS PARCOURS DE SOINS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
1;9;;REGUL-PN DE MASSE;SAISIE INTERNE REGIME GENERAL;0
1;49;;PROGRES PE IJ MSA polyactivité;SAISIE INTERNE REGIME GENERAL;0
1;88;;ARPGM-ARPEGE  IJ Traitement Manuel;SAISIE INTERNE REGIME GENERAL;0
1;89;;ARMGA-ARPEGE IJ Traitement Automatique;SAISIE INTERNE REGIME GENERAL;0
2;10;;PAIEMENT MANUEL SPECIFIQUE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;1;;GAMEX;SAISIE INTERNE : GAMEX;0
2;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
2;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
2;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
2;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
2;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
2;27;;PRESTATIONS ESPECES;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;28;;RENTES AT;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;29;;INVALIDITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
2;50;;FEUILLE DE SOINS + PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;51;;AUXILIAIRES MEDICAUX;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;52;;LABORATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;53;;DENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;54;;TRANSPORTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;55;;APPAREILLAGE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;56;;COMPLEMENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;57;;REGULARISATIONS AUTRES QUE PAIEMENTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;58;;CLINIQUE PRIVEE SEJOURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;59;;VACCIN ANTI GRIPPE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;60;;SAISIE GROUPEE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;61;;CLINIQUE PRIVEE HONORAIRES;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;62;;PAIEMENTS MANUELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;63;;PAIEMENTS MANUELS CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;64;;PAIEMENTS MANUELS NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;65;;PAIEMENTS DE REGULARISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;66;;PAIEMENTS DE REGULARISATION CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;67;;PAIEMENTS DE REGULARISATION NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;68;;PAIEMENT DES FORFAITS MEDECIN REFERENT;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;69;;TARIFICATION A L'ACTIVITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;70;;SAISIE DES HONORAIRES HORS HOSPITALISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;71;;SAISIE DES FACTURES PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;72;;SAISIE DES FACTURES DE FOURNISSEURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;73;;RECYCLAGE DES FACTURES PO + CPL;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;74;;RECYCLAGE DES FACTURES CPL SEULE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;75;;PAIEMENT MANUEL DEROGATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;76;;PAIEMENT MANUEL DEROGATOIRE (SECRET MEDICAL);SAISIE INTERNE : MSA ET PARTENAIRES;0
2;77;;PAIEMENT MANUEL DEROGATOIRE (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
2;78;;PAIEMENT MANUEL PREVENTION;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;79;;PAIEMENT MANUEL PREVENTION (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
2;80;;RECOURS CONTRE TIERS;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;81;;LAD TRANSPORT;SAISIE INTERNE : MSA ET PARTENAIRES;0
2;82;;LAD CENTRES DE SOINS;SAISIE INTERNE : MSA ET PARTENAIRES;0
3;11;;DEPRESTA;SAISIE INTERNE AMPI;0
3;12;;IVG;SAISIE INTERNE AMPI;0
3;13;;SAISIE MANUELLE APPLICATION COMPTABLE;SAISIE INTERNE AMPI;0
3;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
3;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
3;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
3;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
3;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
3;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
3;65;;PAIEMENT DE REGULARISATION;SAISIE INTERNE : SECURITE SOCIALE - INDEPENDANTS;0
3;78;;PAIEMENT MANUEL PREVENTION;SAISIE INTERNE : SECURITE SOCIALE - INDEPENDANTS;0
4;58;;CLINIQUE PRIVEE SEJOURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;59;;VACCIN ANTI-GRIPPE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;60;;SAISIE GROUPEE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;61;;CLINIQUE PRIVEE HONORAIRES;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;62;;PAIEMENTS MANUELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;10;;SAISIE INTERNE SANS SPECIFICATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
4;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
4;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
4;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
4;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
4;27;;PRESTATIONS EXPECES;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;28;;RENTES AT;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;29;;INVALIDITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
4;50;;FEUILLE DE SOINS + PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;51;;AUXILIAIRES MEDICAUX;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;52;;LABORATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;53;;DENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;54;;TRANSPORTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;55;;APPAREILLAGE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;56;;COMPLEMENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;57;;REGULARISATIONS AUTRES QUE PAIEMENTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;63;;PAIEMENTS MANUELS CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;64;;PAIEMENTS MANUELS NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;65;;PAIEMENTS DE REGULARISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;66;;PAIEMENTS DE REGULARISATION CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;67;;PAIEMENTS DE REGULARISATION NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;68;;PAIEMENT DES FORFAITS MEDECIN REFERENT;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;69;;TARIFICATION A L'ACTIVITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;70;;SAISIE DES HONORAIRES HORS HOSPITALISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;71;;SAISIE DES FACTURES PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;72;;SAISIE DES FACTURES DE FOURNISSEURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;73;;RECYCLAGE DES FACTURES PO + CPL;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;74;;RECYCLAGE DES FACTURES CPL SEULE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;75;;PAIEMENT MANUEL DEROGATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;76;;PAIEMENT MANUEL DEROGATOIRE (SECRET MEDICAL);SAISIE INTERNE : MSA ET PARTENAIRES;0
4;77;;PAIEMENT MANUEL DEROGATOIRE (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
4;78;;PAIEMENT MANUEL PREVENTION;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;79;;PAIEMENT MANUEL PREVENTION (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
4;81;;LAD TRANSPORT;SAISIE INTERNE : MSA ET PARTENAIRES;0
4;83;;PRESTATIONS SPECIFIQUES D'ACCOMPAGNEMENT - CPR;SAISIE INTERNE CPRP SNCF;0
5;71;;SAISIE DES FACTURES PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;76;;PAIEMENT MANUEL DEROGATOIRE (SECRET MEDICAL);SAISIE INTERNE : MSA ET PARTENAIRES;0
5;82;;LAD CENTRES DE SOINS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;10;;PAIEMENT MANUEL SPECIFIQUE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;1;;RATP;SAISIE INTERNE : RATP;0
5;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
5;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
5;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
5;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
5;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
5;27;;PRESTATIONS ESPECES;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;28;;RENTES AT;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;29;;INVALIDITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
5;50;;FEUILLE DE SOINS + PHARMACIE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;51;;AUXILIAIRES MEDICAUX;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;52;;LABORATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;53;;DENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;54;;TRANSPORTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;55;;APPAREILLAGE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;56;;COMPLEMENTAIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;57;;REGULARISATIONS AUTRES QUE PAIEMENTS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;58;;CLINIQUE PRIVEE SEJOURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;59;;VACCIN ANTI GRIPPE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;5;;SAISIE INTERNE;SAISIE INTERNE : RATP;0
5;60;;SAISIE GROUPEE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;61;;CLINIQUE PRIVEE HONORAIRES;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;62;;PAIEMENTS MANUELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;63;;PAIEMENTS MANUELS CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;64;;PAIEMENTS MANUELS NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;65;;PAIEMENTS DE REGULARISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;66;;PAIEMENTS DE REGULARISATION CONFIDENTIELS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;67;;PAIEMENTS DE REGULARISATION NON INDIVIDUALISES;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;68;;PAIEMENT DES FORFAITS MEDECIN REFERENT;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;69;;TARIFICATION A L'ACTIVITE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;70;;SAISIE DES HONORAIRES HORS HOSPITALISATION;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;72;;SAISIE DES FACTURES DE FOURNISSEURS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;73;;RECYCLAGE DES FACTURES PO + CPL;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;74;;RECYCLAGE DES FACTURES CPL SEULE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;75;;PAIEMENT MANUEL DEROGATOIRE;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;77;;PAIEMENT MANUEL DEROGATOIRE (PRESTATION NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
5;78;;PAIEMENT MANUEL PREVENTION;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;79;;PAIEMENT MANUEL PREVENTION (PRESTATIONS NON INDIVIDUALISEES);SAISIE INTERNE : MSA ET PARTENAIRES;0
5;80;;RECOURS CONTRE TIERS;SAISIE INTERNE : MSA ET PARTENAIRES;0
5;81;;LAD TRANSPORT;SAISIE INTERNE : MSA ET PARTENAIRES;0
6;14;;FLUX DE SEJOUR (FLSJ);SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
6;10;;LAO;SAISIE INTERNE;0
6;12;;PROGRES PN;SAISIE INTERNE REGIME GENERAL;0
6;13;;Progrès PE PAPIER -hors réforme IJ/AS;SAISIE INTERNE;0
6;17;;SCANNER;SAISIE INTERNE;0
6;20;;SAISIE MANUELLE;SAISIE INTERNE;0
6;21;CP;CLINIQUES PRIVEES ET HOPITAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
6;22;CS;CENTRES DE SANTE;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
6;23;CT;ETABLISSEMENT THERMAUX;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
6;25;;ETABLISSEMENTS EN BUDGET GLOBAL;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
6;26;CP;FACTURATION DIRECTE ETABLISSEMENTS PUBLICS;SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
6;29;;AUTRES SAISIES INTERNES;SAISIES INTERNES;0
6;2;;RENTES AT;SAISIE INTERNE : ENIM;0
6;31;ER;PRECRIPTEURS: MEDECINS GENERALISTES, MEDECINS SPECIALISTES, CHIRURGIENS DENTISTES, SAGES-FEMMES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;32;IF;INFIRMIERS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;33;MK;MASSEURS-KINESITHERAPEUTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;34;OO;ORTHOPHONISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;35;OY;ORTHOPTISTES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;36;PE;PEDICURES-PODOLOGUES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;37;LB;LABORATOIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;3;;CURES THERMALES (SAISIE INTERNE);SAISIE INTERNE : ENIM;0
6;41;PH;PHARMACIENS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;42;TA;TRANSPORTS SANITAIRES;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;43;FR;FOURNISSEURS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;4;;RECYCLAGE IRIS;SAISIE INTERNE REGIME GENERAL;0
6;84;;PROGRES PE FI;SAISIE INTERNE REGIME GENERAL;0
6;85;;PROGRES PE DSN;SAISIE INTERNE REGIME GENERAL;0
6;86;;PROGRES PE EDI posté;SAISIE INTERNE REGIME GENERAL;0
6;87;;PROGRES PE EDI Machine-Machine;SAISIE INTERNE REGIME GENERAL;0
6;96;;PARTICIPATION FORFAITAIRE;SAISIE INTERNE;0
6;98;;MAJORATION DU TICKET MODERATEUR HORS PARCOURS DE SOINS;SAISIE EXTERNE : PROFESSIONNELS DE SANTE LIBERAUX;0
6;7;;REGUL - PN;SAISIE INTERNE REGIME GENERAL;0
7;14;;FLUX DE SEJOUR (FLSJ);SAISIE EXTERNE : ETABLISSEMENTS DE SOINS;0
7;10;;PEGASE ou SAISIE INTERNE SANS SPECIFICATION;SAISIE INTERNE;0
7;11;;PPNA1 OU MEDECINE FORFAITAIRE;SAISIE INTERNE;0
7;12;;PROGRES PN OU IVG;SAISIE INTERNE;0
7;13;;Progrès PE PAPIER -hors réforme IJ/AS;SAISIE INTERNE REGIME GENERAL;0
7;15;;WINB2;SAISIE INTERNE REGIME GENERAL;0
7;17;;SCANNER;SAISIE INTERNE REGIME GENERAL;0
