TRS_PRS_IDE;TRS_IDE_LIB;TEC_COL
57;MAJORATION POUR ABA-TRAJET>A 10KM et <OU=15KM PARCOURUS, MAJORE FERIE;0
58;MAJORATION POUR ABA-TRAJET>A 15KM et <OU=19KM PARCOURUS;0
59;MAJORATION POUR ABA-TRAJET>A 15KM et <OU=19KM PARCOURUS, MAJORE NUIT;0
60;MAJORATION POUR ABA-TRAJET>A 15KM et <OU=19KM PARCOURUS, MAJORE FERIE;0
61;ABATTEMENT POUR TRANSPORT DE 2 PERSONNES;0
62;ABATTEMENT POUR TRANSPORT DE 3 PERSONNES;0
63;MAJORATION POUR VSL-TRAJET < OU = A 7KM PARCOURUS;0
64;MAJORATION POUR VSL-TRAJET < OU = A 7KM PARCOURUS, MAJORE NUIT;0
65;MAJORATION POUR VSL-TRAJET < OU = A 7KM PARCOURUS, MAJORE FERIE;0
66;MAJORATION POUR VSL-TRAJET>A 7KM et <OU=8KM PARCOURUS;0
67;MAJORATION POUR VSL-TRAJET>A 7KM et <OU=8KM PARCOURUS, MAJORE NUIT;0
68;MAJORATION POUR VSL-TRAJET>A 7KM et <OU=8KM PARCOURUS, MAJORE FERIE;0
69;MAJORATION POUR VSL-TRAJET>A 8KM et <OU=9KM PARCOURUS;0
70;MAJORATION POUR VSL-TRAJET>A 8KM et <OU=9KM PARCOURUS, MAJORE NUIT;0
71;MAJORATION POUR VSL-TRAJET>A 8KM et <OU=9KM PARCOURUS, MAJORE FERIE;0
72;MAJORATION POUR VSL-TRAJET>A 9KM et <OU=10KM PARCOURUS;0
73;MAJORATION POUR VSL-TRAJET>A 9KM et <OU=10KM PARCOURUS, MAJORE NUIT;0
74;MAJORATION POUR VSL-TRAJET>A 9KM et <OU=10KM PARCOURUS, MAJORE FERIE;0
75;MAJORATION POUR VSL-TRAJET>A 10KM et <OU=11KM PARCOURUS;0
76;MAJORATION POUR VSL-TRAJET>A 10KM et <OU=11KM PARCOURUS, MAJORE NUIT;0
77;MAJORATION POUR VSL-TRAJET>A 10KM et <OU=11KM PARCOURUS, MAJORE FERIE;0
78;MAJORATION POUR VSL-TRAJET>A 11KM et <OU=12KM PARCOURUS;0
79;MAJORATION POUR VSL-TRAJET>A 11KM et <OU=12KM PARCOURUS, MAJORE NUIT;0
80;MAJORATION POUR VSL-TRAJET>A 11KM et <OU=12KM PARCOURUS, MAJORE FERIE;0
81;MAJORATION POUR VSL-TRAJET>A 12KM et <OU=13KM PARCOURUS;0
82;MAJORATION POUR VSL-TRAJET>A 12KM et <OU=13KM PARCOURUS, MAJORE NUIT;0
83;MAJORATION POUR VSL-TRAJET>A 12KM et <OU=13KM PARCOURUS, MAJORE FERIE;0
84;MAJORATION POUR VSL-TRAJET>A 13KM et <OU=14KM PARCOURUS;0
85;MAJORATION POUR VSL-TRAJET>A 13KM et <OU=14KM PARCOURUS, MAJORE NUIT;0
86;MAJORATION POUR VSL-TRAJET>A 13KM et <OU=14KM PARCOURUS, MAJORE FERIE;0
87;MAJORATION POUR VSL-TRAJET>A 14KM et <OU=15KM PARCOURUS;0
88;MAJORATION POUR VSL-TRAJET>A 14KM et <OU=15KM PARCOURUS, MAJORE NUIT;0
89;MAJORATION POUR VSL-TRAJET>A 14KM et <OU=15KM PARCOURUS, MAJORE FERIE;0
90;MAJORATION POUR VSL-TRAJET>A 15KM et <OU=16M PARCOURUS;0
91;MAJORATION POUR VSL-TRAJET>A 15KM et <OU=16KM PARCOURUS, MAJORE NUIT;0
92;MAJORATION POUR VSL-TRAJET>A 15KM et <OU=16KM PARCOURUS, MAJORE FERIE;0
93;MAJORATION POUR VSL-TRAJET>A 16KM et <OU=17KM PARCOURUS;0
94;MAJORATION POUR VSL-TRAJET>A 16KM et <OU=17KM PARCOURUS, MAJORE NUIT;0
95;MAJORATION POUR VSL-TRAJET>A 16KM et <OU=17KM PARCOURUS, MAJORE FERIE;0
96;MAJORATION POUR VSL-TRAJET>A 17KM et <OU=18KM PARCOURUS;0
97;MAJORATION POUR VSL-TRAJET>A 17KM et <OU=18KM PARCOURUS, MAJORE NUIT;0
98;MAJORATION POUR VSL-TRAJET>A 17KM et <OU=18KM PARCOURUS, MAJORE FERIE;0
99;VALEUR INCONNUE;1
46;VALEUR UTILISEE A TORT PAR LA MSA;0
