SIN_SYN_PAT;SYN_PAT_LIB;TEC_COL
Q934;Deletion du bras court du chromosome 5;0
Q935;Autres deletions partielles d'un chromosome;0
Q936;Deletion (des autosomes) vues seulement a la prometaphase;0
Q937;Deletions (des autosomes) avec autres rearrangements complex;0
Q938;Autres deletions des autosomes;0
Q939;Deletion des autosomes  sans precision;0
Q93X;Monosomies et deletions des autosomes  non classees ailleurs;0
Q950;Translocation ou insertion equilibree chez un sujet normal;0
L281;Prurigo nodulaire de Hyde;0
L282;Autres formes de prurigo;0
L28X;Lichen simplex chronique et prurigo;0
L290;Prurit anal;0
L291;Prurit scrotal;0
L292;Prurit vulvaire;0
L293;Prurit ano-genital  sans precision;0
L298;Autres prurits;0
L299;Prurit  sans precision;0
L29X;Prurit;0
L300;Dermite nummulaire;0
L301;Dyshidrose (pompholyx);0
L302;Autosensibilisation cutanee;0
L303;Dermite infectee;0
L304;Intertrigo erythemateux;0
L305;Pityriasis alba;0
L308;Autres dermites precisees;0
L309;Dermite  sans precision;0
L30X;Autres dermites;0
L400;Psoriasis vulgaris;0
L401;Psoriasis pustulaire generalise;0
L402;Acrodermatite continue de Hallopeau;0
L403;Pustulose palmaire et plantaire;0
L404;Psoriasis en goutte;0
L405;Psoriasis arthropathique (M07.0-M07.3*  M09.0*);0
L408;Autres psoriasis;0
L409;Psoriasis  sans precision;0
L40X;Psoriasis;0
L410;Pityriasis lichenoide et varioliforme aigu;0
L411;Pityriasis lichenoide chronique;0
L412;Papulose lymphomatoide;0
L413;Parapsoriasis a petites plaques;0
L414;Parapsoriasis a grandes plaques;0
L415;Parapsoriasis retiforme;0
L418;Autres parapsoriasis;0
L419;Parapsoriasis  sans precision;0
L41X;Parapsoriasis;0
L42X;Pityriasis rose de Gibert;0
L430;Lichen plan hypertrophique;0
L431;Lichen plan bulleux;0
L432;Reaction lichenoide medicamenteuse;0
L433;Lichen plan subaigu (actif);0
L438;Autres lichen plans;0
L439;Lichen plan  sans precision;0
L43X;Lichen plan;0
L440;Pityriasis rubra pilaire;0
L441;Lichen nitidus;0
L442;Lichen strie;0
L443;Lichen ruber moniliforme;0
L444;Acrodermatite erythematopapuleuse infantile (Giannoti-Crosti;0
L448;Autres lesions papulo-squameuses precisees;0
L449;Lesion papulo-squameuse  sans precision;0
L44X;Autres lesions papulo-squameuses;0
L45X;Lesions papulo-squameuses au cours de maladies classees aill;0
L500;Urticaire allergique;0
L501;Urticaire idiopathique;0
L502;Urticaire provoquee par le froid et la chaleur;0
L503;Dermographisme;0
L504;Urticaire provoquee par vibration;0
L505;Urticaire cholinergique;0
L506;Urticaire de contact;0
L508;Autres formes d'urticaire;0
L509;Urticaire  sans precision;0
L50X;Urticaire;0
N056;Syndrome nephritique sans precision  avec maladie a depot de;0
N057;Syndrome nephritique sans precision  avec glomerulonephrite;0
N058;Syndromes nephritiques sans precision  avec autres lesions m;0
N059;Syndrome nephritique  sans precision;0
N05X;Syndrome nephritique  sans precision;0
N060;Proteinurie isolee avec lesions morphologiques precisees  av;0
N061;Proteinurie isolee avec lesions morphologiques precisees  av;0
N062;Proteinurie isolee avec lesions morphologiques precisees  av;0
N063;Proteinurie isolee avec lesions morphologiques precisees  av;0
N064;Proteinurie isolee avec lesions morphologiques precisees  av;0
N065;Proteinurie isolee avec lesions morphologiques precisees  av;0
N066;Proteinurie isolee avec lesions morphologiques precisees ave;0
N067;Proteinurie isolee avec lesions morphologiques precisees  av;0
N068;Proteinuries isolees avec autres lesions morphologiques;0
N069;Proteinurie isolee avec lesions morphologiques precisees  sa;0
N06X;Proteinurie isolee avec lesions morphologiques precisees;0
N070;Nephropathie hereditaire avec anomalies glomerulaires mineur;0
N071;Nephropathie hereditaire avec lesions glomerulaires segmenta;0
N072;Nephropathie hereditaire avec glomerulonephrite membraneuse;0
N073;Nephropathie hereditaire avec glomerulonephrite proliferativ;0
N074;Nephropathie hereditaire avec glomerulonephrite proliferativ;0
N075;Nephropathie hereditaire avec glomerulonephrite mesangiocapi;0
N076;Nephropathie hereditaire non classee ailleurs avec maladie a;0
N077;Nephropathie hereditaire avec glomerulonephrite diffuse en c;0
N078;Nephropathies hereditaires non classees ailleurs  avec autre;0
N079;Nephropathie hereditaire non classee ailleurs  sans precisio;0
N07X;Nephropathie hereditaire  non classee ailleurs;0
N080;Glomerulopathie au cours de maladies infectieuses et parasit;0
N081;Glomerulopathie au cours de maladies tumorales;0
N082;Glomerulopathie au cours de maladies du sang et des anomalie;0
N083;Glomerulopathie au cours du diabete sucre (E10-E14 avec le q;0
N084;Glomerulopathie au cours de maladies endocriniennes  nutriti;0
N085;Glomerulopathie au cours d'affections disseminees du tissu c;0
N088;Glomerulopathie au cours d'autres maladies classees ailleurs;0
N08X;Glomerulopathies au cours de maladies classees ailleurs;0
N10X;Nephrite tubulo-interstitielle aigue;0
N110;Pyelonephrite (non obstructive chronique) associee a un refl;0
N111;Pyelonephrite obstructive (chronique);0
N118;Autres nephrites tubulo-interstitielles chroniques;0
N119;Nephrite tubulo-interstitielle chronique  sans precision;0
N11X;Nephrite tubulo-interstitielle chronique;0
N12X;Nephrite tubulo-interstitielle  (non precisee comme aigue ou;0
N130;Hydronephrose avec obstruction de la jonction pyelo-ureteral;0
N131;Hydronephrose avec retrecissement ureteral  non classee aill;0
N132;Hydronephrose avec obstruction calculeuse renale et ureteral;0
N133;Hydronephroses  autres et sans precision;0
N134;Hydro-uretere;0
N135;Coudure et retrecissement ureteral  sans hydronephrose;0
N136;Pyonephrose;0
N137;Uropathie associee a un reflux vesico-ureteral;0
N138;Autres uropathies obstructives et par reflux;0
N139;Uropathie obstructive (et par reflux)  sans precision;0
N13X;Uropathie obstructive et par reflux;0
N140;Nephropathie due a un analgesique;0
N141;Nephropathie due a d'autres medicaments et substances biolog;0
N142;Nephropathie due a un medicament ou une substance biologique;0
N143;Nephropathie due a des metaux lourds;0
N144;Nephropathie toxique  non classee ailleurs;0
N14X;Atteintes tubulo-interstitielles et tubulaires dues a des me;0
N150;Nephropathie des Balkans;0
N151;Abces renal et perirenal;0
N158;Autres maladies renales tubulo-interstitielles precisees;0
N159;Maladie renale tubulo-interstitielle  sans precision;0
N15X;Autres maladies renales tubulo-interstitielles;0
P02X;Foetus et nouveau-ne affectes par des complications concerna;0
P030;Foetus et nouveau-ne affectes par un accouchement et une ext;0
P031;Foetus et nouveau-ne affectes par d'autres presentations et;0
P032;Foetus et nouveau-ne affectes par un accouchement par forcep;0
P033;Foetus et nouveau-ne affectes par un accouchement par extrac;0
P034;Foetus et nouveau-ne affectes par un accouchement par cesari;0
P035;Foetus et nouveau-ne affectes par un accouchement precipite;0
P036;Foetus et nouveau-ne affectes par des contractions anormales;0
P038;Foetus et nouveau-ne affectes par d'autres complications pre;0
P039;Foetus et nouveau-ne affectes par une complication du travai;0
P03X;Foetus et nouveau-ne affectes par d'autres complications du;0
P040;Foetus et nouveau-ne affectes par une anesthesie et par une;0
P041;Foetus et nouveau-ne affectes par d'autres medicaments absor;0
P042;Foetus et nouveau-ne affectes par le tabagisme de la mere;0
P043;Foetus et nouveau-ne affectes par l'alcoolisme de la mere;0
P044;Foetus et nouveau-ne affectes par toxicomanie de la mere;0
P045;Foetus et nouveau-ne affectes par une utilisation par la mer;0
P046;Foetus et nouveau-ne affectes par l'exposition de la mere a;0
P048;Foetus et nouveau-ne affectes par d'autres effets nocifs mat;0
P049;Foetus et nouveau-ne affectes par un effet nocif maternel  s;0
P04X;Foetus et nouveau-ne affectes par des effets nocifs transmis;0
P050;Faible poids pour l'age gestationnel;0
P051;Petite taille pour l'age gestationnel;0
P052;Malnutrition du foetus  sans mention de leger ou petit pour;0
P059;Croissance lente du foetus  sans precision;0
P05X;Retard de croissance et malnutrition du foetus;0
P070;Poids extremement faible a la naissance;0
P071;Autres poids faibles a la naissance;0
P072;Immaturite extreme;0
P073;Autres enfants nes avant terme;0
P07X;Anomalies liees a une brievete de la gestation et un poids i;0
P080;Enfant exceptionnellement gros;0
P081;Autres enfants gros pour l'age gestationnel;0
P082;Enfant ne apres terme  qui n'est pas gros pour l'age gestati;0
P08X;Anomalies liees a une gestation prolongee et un poids eleve;0
P100;Hemorragie sous-durale due a un traumatisme obstetrical;0
P101;Hemorragie cerebrale due a un traumatisme obstetrical;0
P102;Hemorragie intraventriculaire due a un traumatisme obstetric;0
P103;Hemorragie sous-arachnoidienne due a un traumatisme obstetri;0
P104;Dechirure de la tente du cervelet due a un traumatisme obste;0
P108;Autres dechirures et hemorragies intracraniennes dues a un t;0
P109;Dechirure et hemorragie intracraniennes non precisees  dues;0
P10X;Dechirure et hemorragie intracraniennes dues a un traumatism;0
P110;Oedeme cerebral du a un traumatisme obstetrical;0
P111;Autres lesions cerebrales precisees  dues a un traumatisme o;0
P112;Lesion cerebrale non precisee  due a un traumatisme obstetri;0
P113;Lesion du nerf facial due a un traumatisme obstetrical;0
P114;Lesion des autres nerfs craniens due a un traumatisme obstet;0
P115;Lesion du rachis et de la moelle epiniere due a un traumatis;0
P119;Lesion du systeme nerveux central due a un traumatisme obste;0
P11X;Autres lesions du systeme nerveux central dues a un traumati;0
P120;Cephalhematome du a un traumatisme obstetrical;0
P121;Hematome en chignon du a un traumatisme obstetrical;0
P122;Hemorragie epicranienne sous-aponevrotique due a un traumati;0
P123;Meurtrissure du cuir chevelu due a un traumatisme obstetrica;0
P124;Lesion du cuir chevelu liee a une surveillance electronique;0
P128;Autres lesions du cuir chevelu dues a un traumatisme obstetr;0
P129;Lesion du cuir chevelu due a un traumatisme obstetrical  san;0
P12X;Lesion du cuir chevelu due a un traumatisme obstetrical;0
P130;Fracture du crane due a un traumatisme obstetrical;0
P131;Autres lesions du crane dues a un traumatisme obstetrical;0
P132;Lesion du femur due a un traumatisme obstetrical;0
P133;Lesion d'autres os longs due a un traumatisme obstetrical;0
P134;Fracture de la clavicule due a un traumatisme obstetrical;0
Q951;Inversion chromosomique chez un sujet normal;0
Q952;Rearrangement autosomique equilibre chez un sujet anormal;0
Q953;Rearrangement sexuel/autosomique equilibre chez un sujet ano;0
Q954;Sujet avec marqueur d'heterochromatine;0
Q955;Sujet avec site autosomique fragile;0
Q958;Autres rearrangements equilibres et marqueurs structurels;0
Q959;Rearrangement equilibre et marqueur structurel  sans precisi;0
Q95X;Rearrangements equilibres et marqueurs structuraux  non clas;0
Q960;Caryotype 45 X;0
Q961;Caryotype 46 X iso (Xq);0
Q962;Caryotype 46 X avec chromosome sexuel anormal  sauf iso (Xq);0
Q963;Mosaique chromosomique  45 X/46 XX ou XY;0
Q964;Mosaique chromosomique  45 X/autre(s) lignee(s) cellulaire(s;0
Q968;Autres formes du syndrome de Turner;0
Q969;Syndrome de Turner  sans precision;0
Q96X;Syndrome de Turner;0
Q970;Caryotype 47 XXX;0
Q971;Femme avec plus de trois chromosomes X;0
Q972;Mosaique chromosomique  lignees avec divers nombres de chrom;0
Q973;Femme avec un caryotype 46 XY;0
Q978;Autres anomalies precisees des chromosomes sexuels  phenotyp;0
Q979;Anomalie des chromosomes sexuels  phenotype feminin  sans pr;0
Q97X;Autres anomalies des chromosomes sexuels  phenotype feminin;0
Q980;Syndrome de Klinefelter  caryotype 47 XXY;0
Q981;Syndrome de Klinefelter  homme avec plus de deux chromosomes;0
Q982;Syndrome de Klinefelter  homme avec caryotype 46 XX;0
Q983;Autre phenotype masculin avec caryotype 46 XX;0
Q984;Syndrome de Klinefelter  sans precision;0
Q985;Caryotype 47 XYY;0
Q986;Homme avec chromosomes sexuels de structure anormale;0
Q987;Homme avec mosaique des chromosomes sexuels;0
Q988;Autres anomalies precisees des chromosomes sexuels  phenotyp;0
Q989;Anomalie des chromosomes sexuels  phenotype masculin  sans p;0
Q98X;Autres anomalies des chromosomes sexuels  phenotype masculin;0
Q990;Chimere 46 XX/46 XY;0
Q991;Hermaphrodite vrai 46 XX;0
Q992;Chromosome X fragile;0
Q998;Autres anomalies precisees des chromosomes;0
Q999;Anomalie chromosomique  sans precision;0
Q99X;Autres anomalies des chromosomes  non classees ailleurs;0
R000;Tachycardie  sans precision;0
R001;Bradycardie  sans precision;0
R002;Palpitations;0
R008;Anomalies du rythme cardiaque  autres et non precisees;0
R00X;Anomalies du rythme cardiaque;0
R010;Souffles cardiaques benins et anodins;0
R011;Souffle cardiaque  sans precision;0
R012;Autres bruits cardiaques;0
R01X;Souffles et autres bruits cardiaques;0
R02X;Gangrene  non classee ailleurs;0
R030;Constatation d'une elevation de la tension arterielle  sans;0
R031;Constatation d'une baisse non specifique de la tension arter;0
R03X;Constatation d'une anomalie de la tension arterielle  sans d;0
R040;Epistaxis;0
R041;Hemorragie de la gorge;0
R042;Hemoptysie;0
R048;Hemorragie d'autres parties des voies respiratoires;0
R049;Hemorragie des voies respiratoires  sans precision;0
R04X;Hemorragie des voies respiratoires;0
R05X;Toux;0
R060;Dyspnee;0
R061;Stridor;0
R062;Sifflement;0
R063;Respiration periodique;0
L510;Erytheme polymorphe non bulleux;0
L511;Erytheme polymorphe bulleux;0
L512;Epidermolyse necrosante suraigue (Lyell);0
L518;Autres formes d'erytheme polymorphe;0
L519;Erytheme polymorphe  sans precision;0
L51X;Erytheme polymorphe;0
L52X;Erytheme noueux;0
L530;Erytheme toxique;0
L531;Erytheme annulaire centrifuge;0
L532;Erytheme margine discoide de Besnier;0
L533;Autres formes d'erytheme figure chronique;0
L538;Autres formes precisees d'erytheme;0
L539;Erytheme  sans precision;0
L53X;Autres formes d'erytheme;0
L540;Erytheme margine discoide de Besnier au cours d'un rhumatism;0
L548;Erytheme au cours d'autres maladies classees ailleurs;0
L54X;Erythemes au cours de maladies classees ailleurs;0
L550;Coup de soleil du premier degre;0
L551;Coup de soleil du deuxieme degre;0
L552;Coup de soleil du troisieme degre;0
L558;Autres coups de soleil;0
L559;Coup de soleil  sans precision;0
L55X;Coup de soleil;0
L560;Reaction phototoxique a un medicament;0
L561;Reaction photoallergique a un medicament;0
L562;Dermite de photocontact (dermite de breloque);0
L563;Urticaire solaire;0
L564;Lucite polymorphe;0
L568;Autres modifications aigues precisees de la peau dues aux ra;0
L569;Modification aigue de la peau due aux rayons ultraviolets  s;0
L56X;Autres modifications aigues de la peau dues aux rayons ultra;0
L570;Keratose actinique;0
L571;Actinoreticulose;0
L572;Cutis rhomboidalis;0
L573;Poikilodermie de Civatte;0
L574;Cutis laxa senilis;0
L575;Granulome actinique;0
L578;Autres modifications de la peau dues a une exposition chroni;0
L579;Modification de la peau due a une exposition chronique aux r;0
L57X;Modifications de la peau dues a une exposition chronique aux;0
L580;Radiodermite aigue;0
L581;Radiodermite chronique;0
L589;Radiodermite  sans precision;0
L58X;Radiodermite;0
L590;Erytheme du au feu (dermite due au feu);0
L598;Autres affections precisees de la peau et du tissu cellulair;0
L599;Affection de la peau et du tissu cellulaire sous-cutane liee;0
L59X;Autres affections de la peau et du tissu cellulaire sous-cut;0
L600;Ongle incarne;0
L601;Onycholyse;0
L602;Onychogryphose;0
L603;Dystrophie des ongles;0
L604;Lignes de Beau;0
L605;Syndrome des ongles jaunes;0
L608;Autres maladies des ongles;0
L609;Maladie des ongles  sans precision;0
L60X;Maladies des ongles;0
L620;Pachydermoperiostose avec ongle hippocratique (M89.4);0
L628;Maladies des ongles au cours d'autres maladies classees aill;0
L62X;Maladies des ongles au cours de maladies classees ailleurs;0
L630;Alopecie totale;0
L631;Pelade diffuse;0
L632;Ophiase;0
L638;Autres formes de pelade;0
N160;Maladie renale tubulo-interstitielle au cours de maladies in;0
N161;Maladie renale tubulo-interstitielle au cours de maladies tu;0
N162;Maladie renale tubulo-interstitielle au cours de maladies du;0
N163;Maladie renale tubulo-interstitielle au cours de maladies me;0
