GEN_NUM;Libellé Numéro Groupe Générique
115;ISOSORBIDE DINITRATE 40MG CPR LP - LANGORAN
116;ISOSORBIDE DINITRATE 80MG CPR LP - LANGORAN
117;KETOPROFENE 50MG GELU
118;KETOPROFENE 100MG CPR PELLIC
119;KETOPROFENE 200MG CPR LP
120;KETOPROFENE 200MG GELU LP
122;KETOPROFENE 100MG LYOPH ET SOL PR US PAR IM
123;KETOPROFENE 2,5% GEL - PROFENID
124;LACTULOSE 66,5% SOL BUV FL
125;LACTULOSE 10G SOL BUV SACH
126;LOPERAMIDE 2MG GELU
127;MEBEVERINE 100MG CPR ENROB
128;MEBEVERINE 200MG GELU
129;METFORMINE 500MG CPR PELLIC
130;METFORMINE 850MG CPR PELLIC
133;METOPROLOL 100MG CP
134;MIANSERINE 10MG CPR PELLIC
135;MIANSERINE 30MG CPR PELLIC
136;MIANSERINE 60MG CPR PELLIC SECAB
137;MINOCYCLINE EQ 50MG GELU - MYNOCINE
138;MINOCYCLINE EQ 100MG GELU - MYNOCINE
139;MINOCYCLINE CHLORH EQ 100MG CPR PELL SEC-MESTACINE
140;NAFTIDROFURYL OXALATE ACIDE 100MG GELU
141;NAFTIDROFURYL OXALATE ACIDE 200MG CPR
142;NIFEDIPINE 10MG CAPS MOL
143;NIFEDIPINE 20MG CPR LP
144;NIFUROXAZIDE 4% SUSP BUV
146;NIFUROXAZIDE 200MG GELU
147;OXYBUTYNINE 5MG CPR SECAB
148;PENTOXIFYLLINE 400MG CPR ENROB LP
149;PHLOROGLUCINOL 80MG LYOPH ORAL
150;PIRACETAM 20G/100ML SOL BUV
151;PIROXICAM 10MG GELU
152;PIROXICAM 20MG GELU
153;PIROXICAM 20MG SUPPO
154;PIROXICAM 20MG SOL INJ IM
155;PROPRANOLOL 40MG CPR SECAB
156;PYRANTEL EMBONATE EQ 125MG CPR
157;PYRANTEL EMBONATE EQ 125MG/2,5ML SUSP BUV
158;SELEGILINE 5MG CPR SECAB
159;SPIRONOLACTONE 50MG CPR PELLIC SECAB
160;SPIRONOLACTONE 75MG CPR PELLIC SECAB
161;SPIRONOLACTONE 25MG + ALTIZIDE 15MG CPR PELLIC SEC
162;SUCRALFATE 1G SUSP BUV SACH
163;SUCRALFATE 1G CPR
165;SULFAMETHOXAZOLE 800MG +TRIMETHOPRIME 160MG CPR
166;SULPIRIDE 50MG GELU
167;SULPIRIDE 200MG CPR SECAB
168;SULPIRIDE 0,5MG/100ML SOL BUV
169;SULPIRIDE 100MG/2ML SOL INJ IM
170;TAMOXIFENE CITRATE EQ 10MG CPR PELLIC
171;TAMOXIFENE CITRATE EQ 20MG CPR ENROB
173;TETRAZEPAM 50MG CPR ENROB SECAB
174;THIOCOLCHICOSIDE 4MG CPR
175;THIOCOLCHICOSIDE 4MG/2ML SOL INJ IM
176;TIAPRIDE EQ 100MG CPR SECAB
177;TIMOLOL  EQ 0,25% COLLY
178;TIMOLOL  EQ 0,5% COLLY
179;TRAMADOL 50 MG GELU
180;TRIMEBUTINE  100MG CPR PELLIC
181;TRIMETAZIDINE 20MG/ML SOL BUV FL
182;VALPROATE DE SODIUM 200MG/ML SOL BUV
183;VALPROATE DE SODIUM 200MG CPR GASTRORES
184;VALPROATE DE SODIUM 500MG CPR GASTRORES
185;VERAPAMIL 120MG GELU
186;VERAPAMIL 240MG CPR PELLIC SECAB LP
187;ZOPICLONE 7,5MG CPR SECAB
188;ACICLOVIR 3% POM OPHT
189;BUFLOMEDIL 150MG CPR PELLIC
190;BUFLOMEDIL 300MG CPR PELLIC
191;CAPTOPRIL 25MG CPR SECAB
192;CAPTOPRIL 50MG CPR SECAB
193;CEFADROXIL 1G CPR DISP
194;FENOFIBRATE 67MG GELU - LIPANTHYL
195;FENOFIBRATE 200MG GELU - LIPANTHYL
196;GLICLAZIDE 80MG CPR SECAB
197;NICERGOLINE 5MG GELU
198;NICERGOLINE 10MG GELU
199;PIRACETAM 400MG GELU
200;PIRACETAM 800MG CPR PELLIC
201;PIROXICAM 20MG CP DISPERSIBLE SECAB
202;RANITIDINE EQ 150MG CP PELLIC
203;RANITIDINE EQ 300MG CP PELLIC
204;AMBROXOL 0,6% SOL BUV
205;CARBAMAZEPINE 200MG CPR PELLIC SECAB LP
206;CARBAMAZEPINE 400MG CPR PELLIC SECAB LP
209;CIMETIDINE 200MG/2ML SOL INJ IM IV
210;CLOMIPRAMINE 75MG CPR PELLIC SECAB
211;GLIPIZIDE 5MG CPR SECAB
212;KETOTIFENE FUMARATE EQ 1MG GELU
213;LORAZEPAM 1MG CPR SECAB
214;LORAZEPAM 2,5MG CPR SECAB
215;METOCLOPRAMIDE 10MG CPR SECAB
216;MOLSIDOMINE 2MG CPR SECAB
217;MOLSIDOMINE 4MG CPR
218;NITRENDIPINE 10MG CPR
219;NITRENDIPINE 20MG CPR
220;PROGESTERONE 100MG CAPS MOL ORALE, VAG
221;SPIRAMYCINE 3MUI CPR PELLIC
222;TRIMEBUTINE 0,7870G/100G GLE PR SUSP BUV FL
223;ACIDE TIAPROFENIQUE 200MG CPR SECAB
224;TRIMETAZIDINE 20MG CPR
225;AMILORIDE 5MG + HCTZ 50 MG CPR SEC
227;TROXERUTINE 3500MG PDR PR SOL BUV SACH
228;CARBOCISTEINE 2% S/SUCRE ENF NOUR SIR
229;CARBOCISTEINE 5% AD EXPECTORANT S/SUCRE SIR
230;CEFACLOR 125MG /5ML PDR PR SUSP BUV
231;CEFACLOR 250MG /5ML PDR PR SUSP BUV
232;DIPIVEFRINE 0,1G/100ML COLLY
233;SOTALOL 80MG CPR SECAB
234;SOTALOL 160MG CPR SECAB
235;TIMOLOL  EQ 0,10% COLLY
236;TROXERUTINE 3500MG/7ML SOL BUV AMP
237;CEFTRIAXONE SODIQUE EQ 500MG PDR+SOLV P SOL INJ IM
238;CEFTRIAXONE SODIQUE EQ 1G PDR+SOLV PR SOL INJ IM
239;CEFTRIAXONE SODIQUE EQ 500MG PDR+SOLV P SOL INJ IV
240;CEFTRIAXONE SODIQUE EQ 1G PDR+SOLV PR SOL INJ IV
241;ENALAPRIL 5MG CPR SECAB
242;ENALAPRIL 20MG CPR SECAB
243;AZATHIOPRINE 50MG CPR SECAB
245;FLUOXETINE EQ 20MG GELU
247;TERAZOSINE EQ 5MG CPR
248;PROGESTERONE 200MG CAPS MOL ORALE, VAG
249;AMOXICILLINE+CLAVULANATE K NOUR PDR BUV FL
250;AMOXICILLINE+CLAVULANATE K ENF PDR BUV FL
251;AMOXICILLINE+CLAVULANATE K EQ 500/62,5 AD CPR PELL
252;AMOXICILLINE+CLAVULANATE K EQ 1/125 AD PDR BUV SA
253;CEFATRIZINE PROPYLENEGLYCOL EQ 500MG GELU
254;CELIPROLOL 200MG CPR PELLIC
255;LEVONORGESTREL0,15+ETHINYLESTRADIOL 0,03 CPR ENROB
256;PREDNISOLONE METASULFOBENZO SODIQ EQ 20MG CPR EFFV
257;CLOZAPINE 25MG CPR SECAB
258;CLOZAPINE 100MG CPR SECAB
259;ISOTRETINOINE 5MG CAPS MOL
260;ISOTRETINOINE 10MG CAPS MOL
261;ISOTRETINOINE 20MG CAPS MOL
262;TICLOPIDINE 250MG CPR PELLIC
263;ACIDE FOLIQUE 5MG CPR
264;FLUOXETINE EQ 20MG/5ML SOL BUV FL
265;DIOSMINE 600MG PDR PR SUSP BUV SACH
266;LEVO 0,05 0,075 0,125+ETHIN 0,03 0,04 0,03 CPR ENR
267;ACICLOVIR 5% CREME
268;FLUVOXAMINE  50MG CPR PELLIC
269;FLUVOXAMINE  100MG CPR PELLIC
270;KETOPROFENE 2,5% GEL - KETUM
271;POVIDONE IODEE 10% SOL PR APPLIC LOC
272;RILMENIDINE DIHYDROGENOEQEQ 1MG CPR
273;ETIDRONATE DE SODIUM 200MG CPR
274;NORFLOXACINE 400MG CPR ENROB
275;BISOPROLOL 10MG CPR P.SEC - DETENSIEL
276;FLECAINIDE ACETATE 100MG CPR SECAB
277;ROXITHROMYCINE 150MG CPR PELLIC
278;DOMPERIDONE 10MG CPR PELLIC
279;OFLOXACINE 200MG CPR PELLIC SECAB
280;ROXITHROMYCINE 100MG CPR PELLIC
281;CIPROFIBRATE 100MG GELU
282;CARBAMAZEPINE 200MG CPR SECAB
283;NAPROXENE SODIQUE 275MG CPR PELLIC
284;NAPROXENE SODIQUE 550MG CPR PELLIC SECAB
285;NAPROXENE 250MG CPR
286;NAPROXENE 500MG CPR
293;RANITIDINE EQ 150MG CP EFFV
294;RANITIDINE EQ 300MG CP EFFV
295;ZOLPIDEM 10MG CPR PELLIC SECAB
296;IBUPROFENE 20MG/ML SUSP BUV - NUREFLEX
297;CYPROTERONE ACETATE 50MG CPR
298;CIMETIDINE 800MG CPR EFFV
299;AMISULPRIDE 200MG CPR
300;BUDESONIDE 0,50MG/2ML SUSP INHAL UNIDOS
301;BUDESONIDE 1MG/2ML SUSP INHAL UNIDOS
302;CAPTOPRIL 50MG + HCTZ 25MG CPR SECAB
303;CHLORMADINONE ACETATE 5MG CPR
304;CITALOPRAM EQ 20MG CPR PELLIC SECAB
305;ETIDRONATE DE SODIUM 400MG CPR
306;FAMOTIDINE 20MG CPR PELLIC
307;FAMOTIDINE 40MG CPR PELLIC
308;FLUOXETINE EQ 20MG CPR DISP SECAB
309;OMEPRAZOLE 20MG GELU GASTRO-RES
310;PAROXETINE EQ 20MG CPR PELLIC SECAB
311;CLODRONATE DE SODIUM 400MG GELU
312;AMISULPRIDE 100MG CPR SECAB
313;CEFACLOR 250MG GELU
314;CIPROFLOXACINE EQ 250MG CPR PELLIC
315;CIPROFLOXACINE EQ 500MG CPR PELLIC SECAB
316;DOMPERIDONE 1MG SUSP BUV
317;METFORMINE 1000MG CPR PELLIC
318;MOCLOBEMIDE 150MG CPR PELLIC SECAB
319;RANITIDINE EQ 75MG CP EFFV
320;SPIRAMYCINE 0,75MUI + METRONIDAZOLE 125MG CPR PELL
321;NOMEGESTROL ACETATE 5MG CPR SECAB
322;ALFUZOSINE 2,5MG CPR PELLIC
323;DESOGESTREL 150Y+ETHINYLESTRADIOL 30Y-VARNOLINE CP
324;DESOGESTREL 150Y+ETHINYLESTRADIOL 20Y-MERCILON CPR
325;LISINOPRIL EQ 5MG CPR SECAB
326;LISINOPRIL EQ 20MG CPR SECAB
327;QUINAPRIL EQ 20MG CPR ENROB
328;SALBUTAMOL EQ 2,5MG SOL INHAL UNIDOS
329;SALBUTAMOL EQ 5MG SOL INHAL UNIDOS
330;SIMVASTATINE 20MG CPR ENROB SECAB
331;SIMVASTATINE 40MG CPR PELLIC
332;CIPROFLOXACINE EQ 750MG CPR PELLIC
333;FOSFOMYCINE TROMETAMOL EQ 3G GLE PR SOL BUV SACH
334;LORATADINE 10MG CPR
335;ZOPICLONE 3,75MG CPR PELLIC
336;CETIRIZINE 10MG CPR PELLIC SECAB
337;CHLORMADINONE ACETATE 2MG CPR
338;CHLORMADINONE ACETATE 10MG CPR
340;FLUCONAZOLE 150MG GELU - BEAGYNE
341;FLUCONAZOLE 50MG GELU - TRIFLUCAN
342;FLUCONAZOLE 100MG GELU - TRIFLUCAN
343;FLUCONAZOLE 200MG GELU - TRIFLUCAN
344;IPRATROPIUM BROMURE 0,5MG/2ML SOL INHAL UNIDOS
345;PREDNISOLONE METASULFOBENZO SODIQ EQ 5MG CPR EFFV
346;PREDNISONE 5MG CPR
347;PREDNISONE 20MG CPR SECAB
348;CEFUROXIME AXETIL EQ 125MG CPR PELLIC
349;CEFUROXIME AXETIL EQ 250MG CPR PELLIC
350;CEFUROXIME AXETIL EQ 500MG CPR PELLIC
351;TERBUTALINE 5MG/2ML SOL INHAL NEB UNIDOS
352;CARVEDILOL 12,5MG CPR SECAB
353;RAMIPRIL 1,25MG GELU
354;RAMIPRIL 2,5MG GELU
355;RAMIPRIL 5MG GELU
356;CETIRIZINE 10MG/ML SOL BUV GTT
357;AMISULPRIDE 400MG CPR PELLIC SECAB
358;ENALAPRIL 20MG + HCTZ 12,5MG CPR SEC
359;AMOXICILLINE+CLAVULANATE K EQ 1/200 AD PDR INJ IV
361;CARVEDILOL 6,25MG CPR SECAB
362;CARVEDILOL 25MG CPR SECAB
363;OFLOXACINE 200MG CPR PELLIC - MONOFLOCET
364;LEVOCETIRIZINE 5MG CPR PELLIC
365;ALENDRONATE MONOSODIQUE EQ 10MG CPR
367;IBUPROFENE 400MG CPR ENROB - ADVIL
368;ECONAZOLE 150MG OV LIB PROL
369;CEFUROXIME AXETIL EQ 125MG GLE PR SUSP BUV SACH
370;CEFUROXIME AXETIL EQ 125MG GLE PR SUSP BUV FL
371;CEFUROXIME AXETIL EQ 250MG GLE PR SUSP BUV SACH
372;GABAPENTINE 400MG GELU
373;IPRATROPIUM BROMURE 0,25MG/1ML SOL INHAL UNIDOS
374;NALTREXONE 50MG CPR PELLIC SECAB
378;ITRACONAZOLE 100MG GELU
379;LORATADINE 1MG/ML SIR
381;CLARITHROMYCINE 250MG CPR PELLIC
382;PINAVERIUM BROMURE 50MG CPR PELLIC
383;PINAVERIUM BROMURE 100MG CPR PELLIC
384;OMEPRAZOLE 10MG GELU GASTRO-RES
385;PREDNISONE 1MG CPR
386;RISPERIDONE 1MG CPR PELLIC SECAB
387;RISPERIDONE 2MG CPR PELLIC SECAB
388;RISPERIDONE 4MG CPR PELLIC SECAB
389;SPIRAMYCINE 1,5MUI + METRONIDAZOLE 250MG CPR PELL
390;SUMATRIPTAN SUCCINATE EQ 50MG CPR PELLIC
391;SIMVASTATINE 10MG CPR ENROB
398;METOCLOPRAMIDE EQ 0,1% SOL BUV
399;DEXTROPROP.27MG+PARACETAMOL 400MG+CAFEINE 30MG CPR
400;GABAPENTINE 100MG GELU
401;GABAPENTINE 300MG GELU
402;GABAPENTINE 600MG CPR PELLIC
403;GABAPENTINE 800MG CPR PELLIC
404;LISINOPRIL EQ 20MG + HCTZ 12,5MG CPR SEC
408;RAMIPRIL 1,25MG CPR
409;RAMIPRIL 2,5MG CPR SECAB
410;RAMIPRIL 5MG CPR SECAB
411;SODIUM ALGIN.50MG/ML+SODIUM BICAR.26,7MG/ML BUV FL
412;AMISULPRIDE 50MG CPR
415;PRAVASTATINE SODIQUE 10MG CPR SECAB
416;PRAVASTATINE SODIQUE 20MG CPR SECAB
417;PRAVASTATINE SODIQUE 40MG CPR
418;RAMIPRIL 10MG CPR SECAB
419;XIPAMIDE 20MG CPR SECAB
420;AMOXICILLINE+CLAVULANATE K EQ 2/200 AD PDR INJ IV
423;CLARITHROMYCINE 500MG CPR PELLIC
424;DEFEROXAMINE 100MG/ML PDR+SOLV PR SOL INJ
425;FENOFIBRATE 160MG CPR PELLIC - LIPANTHYL
426;LAMOTRIGINE 25MG CPR
427;LAMOTRIGINE 2MG CPR DISP
428;LAMOTRIGINE 5MG CPR DISP CROQ
429;LAMOTRIGINE 25MG CPR DISP CROQ
430;LAMOTRIGINE 50MG CPR DISP CROQ
431;LAMOTRIGINE 100MG CPR DISP CROQ
432;LAMOTRIGINE 200MG CPR DISP CROQ
433;MITOXANTRONE 10MG/5ML SOL PERF
434;MITOXANTRONE 20MG/10ML SOL PERF
435;TERBINAFINE 250MG CPR SECAB
437;NIFEDIPINE 30MG CPR PELLIC LP
438;VALPROATE DE SODIUM 500MG CPR PELLIC SECAB LP
439;LAMOTRIGINE 50MG CPR
440;LIDOCAINE 2,5% + PRILOCAINE 2,5% CREME
441;AMOXICILLINE+CLAVULANATE K EQ 500/50 BB/ENF PDR IV
443;CYPROTERONE ACETATE 100MG CPR SECAB
444;SERTRALINE EQ 50MG GELU
445;FLUOROURACILE 250MG/5ML SOL INJ FL
446;MIRTAZAPINE 15MG CPR PELLIC
448;CEFTAZIDIME 500MG PDR PR SOL INJ (IM-IV)
449;CEFTAZIDIME 1G PDR PR SOL INJ (IM-IV)
450;CEFTAZIDIME 2G PDR PR SOL INJ (IV)
451;GLIBENCLAMIDE 2,5MG CPR SECAB
452;GLIBENCLAMIDE 5MG CPR SECAB
454;ALFUZOSINE 5MG CPR PELLIC LIB PROL
455;ALFUZOSINE 10MG CPR LIB PROL
456;MELOXICAM 7,5MG CPR
457;MELOXICAM 15MG CPR SECAB
461;ACICLOVIR 250MG PDR PR SOL INJ (IV)
462;ACICLOVIR 500MG PDR PR SOL INJ (IV)
463;CEFTAZIDIME 250MG PDR PR SOL INJ (IM-IV)
466;GLIMEPIRIDE 1MG CPR
467;GLIMEPIRIDE 2MG CPR
468;GLIMEPIRIDE 3MG CPR
469;GLIMEPIRIDE 4MG CPR
471;HYDROXYCARBAMIDE 500MG GELU
472;IOHEXOL EQ 350MG I/ML SOL INJ
473;METHOTREXATE 2,5MG/ML SOL INJ
476;TAMSULOSINE EQ 0,4MG GELU LP
477;BISOPROLOL 1,25MG CPR P.S.- CARDENSIEL
478;BISOPROLOL 2,5MG CPR P.SEC- CARDENSIEL
479;BISOPROLOL 3,75MG CPR P.S.- CARDENSIEL
480;BISOPROLOL 5MG CPR P.SEC - CARDENSIEL
481;BISOPROLOL 7,5MG CPR P.SEC- CARDENSIEL
482;BISOPROLOL 10MG CPR P.SEC - CARDENSIEL
483;EBASTINE 10MG
485;QUINAPRIL EQ 5MG CPR ENROB
486;QUINAPRIL EQ 10MG CPR ENROB
487;SERTRALINE EQ 25MG GELU
490;BUPRENORPHINE 0,4 MG CPR SUBLING.
491;BUPRENORPHINE 2 MG CPR SUBLING.
492;BUPRENORPHINE 8 MG CPR SUBLING.
493;FOSINOPRIL 20MG CPR
496;TRIMEBUTINE  200MG CPR PELLIC
498;AMLODIPINE BESILATE 5MG GELU
499;AMLODIPINE BESILATE 10MG GELU
500;ALENDRONATE MONOSODIQUE EQ 70MG CPR
501;ACECLOFENAC 100MG CPR PELLIC
502;AZATHIOPRINE 25MG CPR PELLIC
503;AZATHIOPRINE 50MG CPR PELLIC
504;CIPROFLOXACINE EQ 200MG SOL INJ PR PERF IV
505;CIPROFLOXACINE EQ 400MG SOL INJ PR PERF IV
506;CROMOGLICATE DE SODIUM 2G/100ML COLLY
508;FOSINOPRIL 10MG CPR SECAB
509;KETOPROFENE 100MG/2ML SOL INJ IM
510;MOXONIDINE 0,2MG CPR PELLIC
511;MOXONIDINE 0,4MG CPR PELLIC
512;NICORANDIL 10MG CPR SECAB
513;NICORANDIL 20MG CPR
514;PERGOLIDE MESILATE 0,05MG CPR SECAB
515;PERGOLIDE MESILATE 0,25MG CPR SECAB
516;SUMATRIPTAN SUCCINATE EQ 6MG/0,5ML SOL INJ SRG
519;GESTODENE 0,075MG+ETHINYLESTRADIOL0,03MG CPR ENROB
520;GESTODENE 0,075MG+ETHINYLESTRADIOL0,02MG CPR ENROB
522;ATENOLOL 50MG + NIFEDIPINE 20MG GELU
523;BICALUTAMIDE 50MG CPR ENROB
524;IBUPROFENE 200MG CPR ENROB - ADVIL
525;METHOTREXATE 2,5MG CPR
526;MIRTAZAPINE 15MG CPR ORODISP
530;ONDANSETRON EQ 4MG CPR PELL
531;ONDANSETRON EQ 8MG CPR PELL
532;PERINDOPRIL T-B.2MG EQ-PERINDOPRIL ARG.2,5MG EQ CP
533;PERINDOPRIL T-B.4MG EQ-PERINDOPRIL ARG.5MG EQ CPR
534;TOPIRAMATE 50MG CPR PELLIC
535;TOPIRAMATE 100MG CPR PELLIC
536;TOPIRAMATE 200MG CPR PELLIC
537;IBUPROFENE 5% GEL - ADVIL
538;LAMOTRIGINE 25MG CPR (PREMIER MOIS DE TRAITEMENT)
539;LAMOTRIGINE 50MG CPR (PREMIER MOIS DE TRAITEMENT)
540;ONDANSETRON CHLORHYD.DIHYD.EQ2MG/ML SOL INJ AMP IV
541;QUINAPRIL EQ20MG + HCTZ12,5MG CPR P.SEC
542;RISPERIDONE 0,5MG CPR ORODISP
543;RISPERIDONE 1MG CPR ORODISP
544;RISPERIDONE 2MG CPR ORODISP
547;PEROXYDE DE BENZOYLE HYDRATE 2,5% GEL APPLIC LOC
548;PEROXYDE DE BENZOYLE HYDRATE 5% GEL APPLIC LOC
549;PERINDOPRIL T-B.8MG EQ-PERINDOPRIL ARG.10MG EQ CPR
551;CROMOGLICATE DE SODIUM 2% COLLY UNIDOS
552;VINCRISTINE 1MG/ML SOL INJ
553;AZITHROMYCINE EQ 250MG CPR PELLIC
554;AZITHROMYCINE EQ MONODOSE 250MG CPR PELL
555;BENAZEPRIL 5MG CPR PELLIC SECAB
556;BENAZEPRIL 10MG CPR PELLIC SECAB
558;CARBIDOPA 25MG + LEVODOPA 100MG CPR LIB PROL
559;CARBIDOPA 50MG + LEVODOPA 200MG CPR LIB PROL
560;CEFPODOXIME PROXETIL 100MG CPR PELLIC
561;CEFPODOXIME PROXETIL 40MG/5ML GLE PR SUSP BUV
562;DILTIAZEM 90MG CPR ENROB LP-BITILDIEM
563;DILTIAZEM120MG CPR ENROB LP-BITILDIEM
568;FINASTERIDE 5MG CPR PELLIC
574;METHOTREXATE 50MG SOL INJ
577;FEXOFENADINE 120MG CPR PELLIC
578;FEXOFENADINE 180MG CPR PELLIC
579;FLUCONAZOLE 50MG/5ML PDR PR SUSP BUV - TRIFLUCAN
580;MODAFINIL 100MG CPR
583;CYTARABINE 20MG/ML SOL INJ FL2ML
585;FELODIPINE 5MG CPR ENROB LIB PROL
586;LOSARTAN 50MG CPR ENROB SECAB
587;LOSARTAN 100MG CPR PELLIC
589;OCTREOTIDE ACETATE EQ 50MCG/1ML SOL INJ
590;OCTREOTIDE ACETATE EQ 100MCG/1ML SOL INJ
591;OCTREOTIDE ACETATE EQ 500MCG/1ML SOL INJ AMP SC
592;ONDANSETRON 8MG LYOT ORAL
594;PAMIDRONATE DE SODIUM 15MG/5ML PDR+SOLV P/SOL PERF
597;CEFTAZIDIME 500MG PDR+SOLV PR SOL INJ (IM-IV)
598;CEFTAZIDIME 1G PDR+SOLV PR SOL INJ (IM,IV)
601;OXYTOCINE 5UI/1ML SOL INJ AMP
603;CEFIXIME 200MG CPR PELLIC
604;FOSINOPRIL 20MG + HCTZ 12,5MG CPR SEC
605;GRANISETRON EQ 2MG CPR PELLIC
606;GRANISETRON EQ 3MG/3ML SOL INJ IV
607;OXCARBAZEPINE 150MG CPR PELLIC
608;OXCARBAZEPINE 300MG CPR PELLIC
