ATC5;Libelle ATC5
A11CC01;ERGOCALCIFEROL
A11CC03;ALFACALCIDOL
A11CC04;CALCITRIOL
A11CC05;COLECALCIFEROL
A11CC06;CALCIFEDIOL
A11DA01;THIAMINE (VIT B1)
A11GA01;ASCORBIQUE ACIDE (VIT C)
A11HA01;NICOTINAMIDE
A11HA02;PYRIDOXINE (VIT B6)
A11HA03;TOCOPHEROL (VIT E)
A11HA04;RIBOFLAVINE (VIT B2)
A11HA05;BIOTINE
A11JB;VITAMINES AVEC MINERAUX
A12AA;CALCIUM PIDOLATE
A12AA01;CALCIUM PHOSPHATE
A12AA03;CALCIUM GLUCONATE
A12AA04;CALCIUM CARBONATE
A12AA12;CALCIUM ACETATE ANHYDRE
A12AA20;CALCIUM (DIFFERENTS SELS EN ASSOCIATION)
A12AX;CALCIUM EN ASSOCIATION AVEC VITAMINE D ET/OU AUTRES MEDICAMENTS
A12BA01;POTASSIUM CHLORURE
A12BA03;POTASSIUM BITARTRATE
A12BA05;POTASSIUM GLUCONATE
A12BA51;POTASSIUM CHLORURE EN ASSOCIATION
A12CC;MAGNESIUM
A12CC01;MAGNESIUM CHLORURE
A12CC02;MAGNESIUM SULFATE
A12CC03;MAGNESIUM GLUCONATE
A12CC05;MAGNESIUM ASPARTATE
A12CC08;MAGNESIUM PIDOLATE
A12CC30;MAGNESIUM (DIFFERENTS SELS EN ASSOCIATION)
A12CE02;SODIUM SELENITE
A12CX;AUTRES ELEMENTS MINERAUX
A13A;TONIQUES
A14AA09;NORETHANDROLONE
A14B;AUTRES ANABOLISANTS
A15;STIMULANTS DE L'APPETIT
A16A;ACIDES AMINES
A16AA01;LEVOCARNITINE
A16AA06;BETAINE
A16AX02;ANETHOLE TRITHIONE
A16AX08;TEDUGLUTIDE
B01AA;FLUINDIONE
B01AA03;WARFARINE
B01AA07;ACENOCOUMAROL
B01AB01;HEPARINE
B01AB04;DALTEPARINE
B01AB05;ENOXAPARINE
B01AB06;NADROPARINE
B01AB10;TINZAPARINE
B01AC04;CLOPIDOGREL
B01AC05;TICLOPIDINE
B01AC06;ACETYLSALICYLIQUE ACIDE
B01AC07;DIPYRIDAMOLE
B01AC22;PRASUGREL
B01AC24;TICAGRELOR
B01AC30;ASSOCIATIONS
B01AE07;DABIGATRAN
B01AF01;RIVAROXABAN
B01AF02;APIXABAN
B01AX05;FONDAPARINUX
B02AA02;TRANEXAMIQUE ACIDE
B02BA01;PHYTOMENADIONE
B02BC08;CALCIUM ALGINATE
B02BX01;ETAMSYLATE
B02BX04;ROMIPLOSTIME
B02BX05;ELTROMBOPAG
B03AA02;FUMARATE FERREUX
B03AA06;SUCCINATE FERREUX
B03AA07;SULFATE FERREUX
B03AA10;ASCORBATE FERREUX
B03AB03;EDETATE DE FER SODIQUE
B03AC01;CARBOXYMALTOSE FERRIQUE
B03AC02;OXYDE DE FER SUCRE
B03AD03;SULFATE FERREUX
B03BA01;CYANOCOBALAMINE
B03BA03;HYDROXOCOBALAMINE
B03BB01;FOLIQUE ACIDE
B03XA01;ERYTHROPOIETINE
B03XA02;DARBEPOETINE ALFA
B03XA03;METHOXY POLYETHYLENE GLYCOL-EPOETINE BETA
B05BA01;ACIDES AMINES
B05BA03;HYDRATES DE CARBONE
B05BA10;ASSOCIATIONS
B05BB01;ELECTROLYTES
B05BB02;ELECTROLYTES AVEC HYDRATES DE CARBONE
B05BC01;MANNITOL
B05X;ELECTROLYTES
B05XA01;POTASSIUM CHLORURE
B05XA03;SODIUM CHLORURE
B05XA31;ELECTROLYTES EN ASSOCIATION AVEC D'AUTRES SUBSTANCES
B05XC;VITAMINES
C01AA05;DIGOXINE
C01BA;HYDROQUINIDINE (CHLORHYDRATE)
C01BA03;DISOPYRAMIDE
C01BC03;PROPAFENONE
C01BC04;FLECAINIDE
C01BD01;AMIODARONE
C01BD07;DRONEDARONE
C01BG07;CIBENZOLINE
C01CA01;ETILEFRINE
C01CA17;MIDODRINE
C01CA24;EPINEPHRINE
C01CA30;ASSOCIATIONS (CARDIOLOGIE)
C01DA02;NITROGLYCERINE
C01DA08;ISOSORBIDE DINITRATE
C01DA14;ISOSORBIDE MONONITRATE
C01DX08;HEPTAMINOL
C01DX12;MOLSIDOMINE
C01DX16;NICORANDIL
C01EB10;ADENOSINE
C01EB15;TRIMETAZIDINE
C01EB17;IVABRADINE
C02AB02;METHYLDOPA (RACEMIQUE)
C02AC01;CLONIDINE
C02AC02;GUANFACINE
C02AC05;MOXONIDINE
C02AC06;RILMENIDINE
C02CA01;PRAZOSINE
C02CA02;INDORAMINE
C02CA06;URAPIDIL
C02DC01;MINOXIDIL
C02LA01;RESERPINE ET DIURETIQUES
C03AA03;HYDROCHLOROTHIAZIDE
C03BA11;INDAPAMIDE
C03BX03;CICLETANINE
C03CA01;FUROSEMIDE
C03CA02;BUMETANIDE
C03CA03;PIRETANIDE
C03DA01;SPIRONOLACTONE
C03DA04;EPLERENONE
C03DB01;AMILORIDE
C03EA;"DIURETIQUES ""LOW CEILING"" ET EPARGNEURS POTASSIQUES"
C03EA01;HYDROCHLOROTHIAZIDE ET EPARGNEURS POTASSIQUES
C03EA04;ALTIZIDE ET EPARGNEURS POTASSIQUES
C03EB01;FUROSEMIDE ET EPARGNEURS POTASSIQUES
C03XA01;TOLVAPTAN
C04AD03;PENTOXIFYLLINE
C04AE01;ERGOLOIDE MESYLATES
C04AE02;NICERGOLINE
C04AE51;ERGOLOIDE MESYLATES EN ASSOCIATION
C04AE54;DIHYDROERGOCRISTINE EN ASSOCIATION
C04AX10;MOXISYLYTE
C04AX17;VINBURNINE
C04AX20;BUFLOMEDIL
C04AX21;NAFTIDROFURYL
C04AX28;IFENPRODIL
C04AX57;VINCAMINE EN ASSOCIATION
C05AD01;LIDOCAINE
C05AX03;AUTRES PREPARATIONS EN ASSOCIATION
C05B;THERAPEUTIQUE ANTIVARIQUEUSE
C05BB;MEDICAMENTS SCLEROSANTS POUR INJECTION LOCALE
C05BB02;POLIDOCANOL
C05BB04;SODIUM TETRADECYL SULFATE
C05BX01;CALCIUM DOBESILATE
C05CA;BIOFLAVONOIDES
C05CA03;DIOSMINE
C05CA04;TROXERUTINE
C05CA51;RUTOSIDE EN ASSOCIATION
C05CA54;TROXERUTINE EN ASSOCIATION
C05CX;AUTRES MEDICAMENTS AGISSANT SUR LES CAPILLAIRES
C05CX02;NAFTAZONE
C07AA02;OXPRENOLOL
C07AA03;PINDOLOL
C07AA05;PROPRANOLOL
C07AA06;TIMOLOL
C07AA07;SOTALOL
C07AA12;NADOLOL
C07AA15;CARTEOLOL
C07AA16;TERTATOLOL
C07AB02;METOPROLOL
C07AB03;ATENOLOL
C07AB04;ACEBUTOLOL
C07AB05;BETAXOLOL
C07AB07;BISOPROLOL
C07AB08;CELIPROLOL
C07AB12;NEBIVOLOL
C07AG01;LABETALOL
C07AG02;CARVEDILOL
C07BB02;METOPROLOL ET THIAZIDIQUES
C07BB03;ATENOLOL ET THIAZIDIQUES
C07BB07;BISOPROLOL ET THIAZIDIQUES
C07BB12;NEBIVOLOL ET THIAZIDIQUES
C07CA03;PINDOLOL ET AUTRES DIURETIQUES
C07DA06;TIMOLOL, THIAZIDIQUES ET AUTRES DIURETIQUES
C07FB02;METOPROLOL ET AUTRES ANTIHYPERTENSEURS
C07FB03;ATENOLOL ET AUTRES ANTIHYPERTENSEURS
C08CA01;AMLODIPINE
C08CA02;FELODIPINE
C08CA03;ISRADIPINE
C08CA04;NICARDIPINE
C08CA05;NIFEDIPINE
C08CA06;NIMODIPINE
C08CA08;NITRENDIPINE
C08CA09;LACIDIPINE
C08CA11;MANIDIPINE
C08CA13;LERCANIDIPINE
C08DA01;VERAPAMIL
C08DB01;DILTIAZEM
C08GA02;AMLODIPINE ET DIURETIQUES
C09AA01;CAPTOPRIL
C09AA02;ENALAPRIL
C09AA03;LISINOPRIL
C09AA04;PERINDOPRIL
C09AA05;RAMIPRIL
C09AA06;QUINAPRIL
C09AA07;BENAZEPRIL
C09AA08;CILAZAPRIL
C09AA09;FOSINOPRIL
C09AA10;TRANDOLAPRIL
C09AA13;MOEXIPRIL
C09AA15;ZOFENOPRIL
C09AA16;IMIDAPRIL
C09BA01;CAPTOPRIL ET DIURETIQUES
C09BA02;ENALAPRIL ET DIURETIQUES
C09BA03;LISINOPRIL ET DIURETIQUES
C09BA04;PERINDOPRIL ET DIURETIQUES
C09BA05;RAMIPRIL ET DIURETIQUES
C09BA06;QUINAPRIL ET DIURETIQUES
C09BA07;BENAZEPRIL ET DIURETIQUES
C09BA09;FOSINOPRIL ET DIURETIQUES
C09BA15;ZOFENOPRIL ET DIURETIQUES
C09BB02;ENALAPRIL ET LERCANIDIPINE
C09BB04;PERINDOPRIL ET AMLODIPINE
C09BB10;TRANDOLAPRIL ET VERAPAMIL
C09CA01;LOSARTAN
C09CA02;EPROSARTAN
C09CA03;VALSARTAN
C09CA04;IRBESARTAN
C09CA06;CANDESARTAN
C09CA07;TELMISARTAN
C09CA08;OLMESARTAN MEDOXOMIL
C09DA01;LOSARTAN ET DIURETIQUES
C09DA03;VALSARTAN ET DIURETIQUES
C09DA04;IRBESARTAN ET DIURETIQUES
C09DA06;CANDESARTAN ET DIURETIQUES
C09DA07;TELMISARTAN ET DIURETIQUES
C09DA08;OLMESARTAN MEDOXOMIL ET DIURETIQUES
C09DB01;VALSARTAN ET AMLODIPINE
C09DB02;OLMESARTAN MEDOXOMIL ET AMLODIPINE
C09DB04;TELMISARTAN ET AMLODIPINE
C09XA02;ALISKIREN
C09XA52;ALISKIREN ET HYDROCHLOROTHIAZIDE
C10AA01;SIMVASTATINE
C10AA03;PRAVASTATINE
C10AA04;FLUVASTATINE
C10AA05;ATORVASTATINE
C10AA07;ROSUVASTATINE
C10AB01;CLOFIBRATE
C10AB02;BEZAFIBRATE
C10AB04;GEMFIBROZIL
C10AB05;FENOFIBRATE
C10AB08;CIPROFIBRATE
C10AC01;COLESTYRAMINE
C10AX03;TIADENOL
C10AX06;TRIGLYCERIDES OMEGA3 (AUTRES ESTERS ET ACIDES INCLUS)
C10AX09;EZETIMIBE
C10BA02;SIMVASTATINE ET EZETIMIBE
C10BA05;ATORVASTATINE ET EZETIMIBE
C10BX02;PRAVASTATINE ET ACIDE ACETYLSALICYLIQUE
C10BX03;ATORVASTATINE ET AMLODIPINE
D01AA;AMPHOTERICINE B
D01AC02;MICONAZOLE
D01AC03;ECONAZOLE
D01AC05;ISOCONAZOLE
D01AC07;TIOCONAZOLE
D01AC08;KETOCONAZOLE
D01AC09;SULCONAZOLE
D01AC10;BIFONAZOLE
D01AC11;OXICONAZOLE
D01AC12;FENTICONAZOLE
D01AC13;OMOCONAZOLE
D01AC14;SERTACONAZOLE
D01AC60;BIFONAZOLE EN ASSOCIATION
D01AE04;UNDECYCLENIQUE ACIDE
D01AE14;CICLOPIROX
D01AE15;TERBINAFINE
D01AE16;AMOROLFINE
D01AE18;TOLNAFTATE
D01BA01;GRISEOFULVINE
D01BA02;TERBINAFINE
D02AB;MEDICAMENTS A BASE D'OXYDE DE ZINC
D02AC;PARAFFINE ET PRODUITS GRAS
D02AX;AUTRES EMOLLIENTS ET PROTECTEURS
D03AX09;CRILANOMER
D03B;ENZYMES
D04AA10;PROMETHAZINE
D05AA;GOUDRON
D05AD02;METHOXSALENE
D05AX02;CALCIPOTRIOL
D05AX03;CALCITRIOL
D05AX04;TACALCITOL
D05AX05;TAZAROTENE
D05AX52;CALCIPOTRIOL EN ASSOCIATION
D05BA02;METHOXSALENE
D05BB02;ACITRETINE
D06AA02;CHLORTETRACYCLINE
D06AX01;FUSIDIQUE ACIDE
D06AX04;NEOMYCINE
D06AX09;MUPIROCINE
D06BA01;SULFADIAZINE ARGENTIQUE
D06BB03;ACICLOVIR
D06BB04;PODOPHYLLOTOXINE
D06BB08;IBACITABINE
D06BB10;IMIQUIMOD
D06BX01;METRONIDAZOLE
D06BX02;INGENOL MEBUTATE
D07AA02;HYDROCORTISONE
D07AB02;HYDROCORTISONE BUTYRATE
D07AB08;DESONIDE
D07AC01;BETAMETHASONE
D07AC04;FLUOCINOLONE ACETONIDE
D07AC05;FLUOCORTOLONE
D07AC06;DIFLUCORTOLONE
D07AC08;FLUOCINONIDE
D07AC11;AMCINONIDE
D07AC16;HYDROCORTISONE ACEPONATE
D07AC17;FLUTICASONE
D07AC19;DIFLUPREDNATE
D07AD01;CLOBETASOL
D07BC04;DIFLUCORTOLONE ET ANTISEPTIQUES
D07CA01;HYDROCORTISONE ET ANTIBIOTIQUES
D07CB01;TRIAMCINOLONE ET ANTIBIOTIQUES
D07CC01;BETAMETHASONE ET ANTIBIOTIQUES
D07XB01;FLUMETASONE
D07XC01;BETAMETHASONE
D08AC02;CHLORHEXIDINE
D08AC04;HEXAMIDINE
D08AC52;CHLORHEXIDINE EN ASSOCIATION
D08AG02;POVIDONE IODEE
D08AJ58;BENZETHONIUM CHLORURE EN ASSOCIATION
D08AX;AUTRES ANTISEPTIQUES ET DESINFECTANTS
D08AX07;SODIUM HYPOCHLORITE
D09AA11;BENZALKONIUM
D10AB;SOUFRE PRECIPITE + CUIVRE + ZINC
D10AD01;TRETINOINE
D10AD02;RETINOL (VIT A)
D10AD03;ADAPALENE
D10AE01;BENZOYLE PEROXYDE
D10AF02;ERYTHROMYCINE
D10AF52;ERYTHROMYCINE EN ASSOCIATION
D10AX;AUTRES PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE
D10BA01;ISOTRETINOINE
D10BX;AUTRES PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE
D11A;AUTRES PREPARATIONS DERMATOLOGIQUES
D11AC09;XENYSALATE
D11AF;VERRUCIDES ET CORICIDES
D11AH01;TACROLIMUS
D11AH04;ALITRETINOINE
D11AX09;OXACEPROL
G01AA;ANTIBIOTIQUES EN GYNECOLOGIE
G01AA01;NYSTATINE
G01AA51;NYSTATINE EN ASSOCIATION
G01AC03;CHLORQUINALDOL
G01AF;SERTACONAZOLE
G01AF01;METRONIDAZOLE
G01AF04;MICONAZOLE
G01AF05;ECONAZOLE
G01AF07;ISOCONAZOLE
G01AF08;TIOCONAZOLE
G01AF12;FENTICONAZOLE
G01AF15;BUTOCONAZOLE
G01AF16;OMOCONAZOLE
G01AX11;POVIDONE IODEE
G02AB01;METHYLERGOMETRINE
G02BA03;DIU EN PLASTIQUE AVEC DES PROGESTATIFS
G02CA;SALBUTAMOL
G02CB01;BROMOCRIPTINE
G02CB02;LISURIDE
G02CB03;CABERGOLINE
G02CB04;QUINAGOLIDE
G03;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE
G03AA05;NORETHISTERONE ET ESTROGENE
G03AA06;NORGESTREL ET ESTROGENE
G03AA07;LEVONORGESTREL ET ESTROGENE
G03AA09;DESOGESTREL ET ESTROGENE
G03AA10;GESTODENE ET ESTROGENE
G03AB03;LEVONORGESTREL ET ESTROGENE
G03AB04;NORETHISTERONE ET ESTROGENE
G03AC08;ETONOGESTREL
G03AC09;DESOGESTREL
G03AD01;LEVONORGESTREL
G03AD02;ULIPRISTAL
G03BA03;TESTOSTERONE
G03BB02;ANDROSTANOLONE
G03CA03;ESTRADIOL
G03CA04;ESTRIOL
G03CA09;PROMESTRIENE
G03DA02;MEDROXYPROGESTERONE
G03DA03;HYDROXYPROGESTERONE
G03DA04;PROGESTERONE
G03DB01;DYDROGESTERONE
G03DB03;MEDROGESTONE
G03DB04;NOMEGESTROL
G03DB06;CHLORMADINONE
G03DB07;PROMEGESTONE
G03DC02;NORETHISTERONE
G03DC03;LYNESTRENOL
G03FA01;NORETHISTERONE ET ESTROGENE
G03FA04;PROGESTERONE ET ESTROGENE
G03FA11;LEVONORGESTREL ET ESTROGENE
G03FA12;MEDROXYPROGESTERONE ET ESTROGENE
G03FA14;DYDROGESTERONE ET ESTROGENE
G03FA15;DIENOGEST ET ESTROGENE
G03FB;PROGESTATIF ET ESTROGENES POUR ADMINISTRATION SEQUENTIELLE
G03FB05;NORETHISTERONE ET ESTROGENE
G03FB06;MEDROXYPROGESTERONE ET ESTROGENE
G03FB08;DYDROGESTERONE ET ESTROGENE
G03FB09;LEVONORGESTREL ET ESTROGENE
G03GA01;GONADOTROPHINE CHORIONIQUE
G03GA02;GONADOTROPHINE MENOPAUSIQUE HUMAINE
G03GA04;UROFOLLITROPHINE
G03GA05;FOLLITROPINE ALFA
G03GA06;FOLLITROPINE BETA
G03GA07;LUTROPINE ALFA
G03GA08;CHORIOGONADOTROPINE ALFA
G03GA09;CORIFOLLITROPINE ALFA
G03GA30;ASSOCIATIONS
G03GB02;CLOMIFENE
G03HA01;CYPROTERONE
G03HB01;CYPROTERONE ET ESTROGENE
G03XA01;DANAZOL
G03XB02;ULIPRISTAL
G03XC01;RALOXIFENE
G04;MEDICAMENTS UROLOGIQUES
G04BD02;FLAVOXATE
G04BD04;OXYBUTYNINE
G04BD08;SOLIFENACINE
G04BD09;TROSPIUM
G04BD11;FESOTERODINE
G04BE01;ALPROSTADIL
G04BE04;YOHIMBINE
G04BX;AUTRES MEDICAMENTS UROLOGIQUES
G04BX10;SUCCINIMIDE
G04CA;DOXAZOSINE
G04CA01;ALFUZOSINE
G04CA02;TAMSULOSINE
G04CA03;TERAZOSINE
G04CA04;SILODOSINE
G04CA52;TAMSULOSINE ET DUTASTERIDE
G04CB01;FINASTERIDE
G04CB02;DUTASTERIDE
G04CX01;PYGEUM AFRICANUM
G04CX02;SERENOA REPENS
H01AA02;TETRACOSACTIDE
H01AC01;SOMATROPINE
H01AC03;MECASERMINE
H01AX01;PEGVISOMANT
H01BA02;DESMOPRESSINE
H01BB02;OXYTOCINE
H01CA01;GONADORELINE
H01CA02;NAFARELINE
H01CB02;OCTREOTIDE
H01CB03;LANREOTIDE
H01CB05;PASIREOTIDE
H01CC01;GANIRELIX
H01CC02;CETRORELIX
H02AA02;FLUDROCORTISONE
H02AA03;DESOXYCORTONE
H02AB01;BETAMETHASONE
H02AB02;DEXAMETHASONE
H02AB04;METHYLPREDNISOLONE
H02AB06;PREDNISOLONE
H02AB07;PREDNISONE
H02AB08;TRIAMCINOLONE
H02AB09;HYDROCORTISONE
H02AB17;CORTIVAZOL
H03AA01;LEVOTHYROXINE SODIQUE
H03AA02;LIOTHYRONINE SODIQUE
H03AA03;ASSOCIATIONS DE LEVOTHYROXINE ET LIOTHYRONINE
H03BA02;PROPYLTHIOURACILE
H03BA03;BENZYLTHIOURACILE
H03BB01;CARBIMAZOLE
H03BB02;THIAMAZOLE
H04AA01;GLUCAGON
H05AA02;TERIPARATIDE
H05BA01;CALCITONINE (SYNTHETIQUE DE SAUMON)
H05BX01;CINACALCET
J01AA01;DEMECLOCYCLINE
J01AA02;DOXYCYCLINE
J01AA04;LYMECYCLINE
J01AA05;METACYCLINE
J01AA06;OXYTETRACYCLINE
J01AA08;MINOCYCLINE
J01BA02;THIAMPHENICOL
J01CA01;AMPICILLINE
J01CA02;PIVAMPICILLINE
J01CA04;AMOXICILLINE
J01CA08;PIVMECILLINAM
J01CA13;TICARCILLINE
J01CE01;BENZYLPENICILLINE
J01CE02;PHENOXYMETHYLPENICILLINE
J01CE08;BENZATHINE BENZYLPENICILLINE
J01CF02;CLOXACILLINE
J01CF04;OXACILLINE
J01CR01;AMPICILLINE ET INHIBITEUR D'ENZYME
J01CR02;AMOXICILLINE ET INHIBITEUR D'ENZYME
J01CR03;TICARCILLINE ET INHIBITEUR D'ENZYME
J01CR05;PIPERACILLINE ET INHIBITEUR D'ENZYME
J01DB01;CEFALEXINE
J01DB05;CEFADROXIL
J01DB07;CEFATRIZINE
J01DB09;CEFRADINE
J01DC02;CEFUROXIME
J01DC04;CEFACLOR
J01DC07;CEFOTIAM
J01DD02;CEFTAZIDIME
J01DD04;CEFTRIAXONE
J01DD08;CEFIXIME
J01DD13;CEFPODOXIME
J01DE01;CEFEPIME
J01DF01;AZTREONAM
J01DH02;MEROPENEM
J01DH51;IMIPENEM ET INHIBITEUR ENZYME (CILASTATINE SODIQUE)
J01EC02;SULFADIAZINE
J01EE01;SULFAMETHOXAZOLE ET TRIMETHOPRIME
J01FA01;ERYTHROMYCINE
J01FA02;SPIRAMYCINE
J01FA03;MIDECAMYCINE
J01FA06;ROXITHROMYCINE
J01FA07;JOSAMYCINE
J01FA09;CLARITHROMYCINE
J01FA10;AZITHROMYCINE
J01FA15;TELITHROMYCINE
J01FF01;CLINDAMYCINE
J01FF02;LINCOMYCINE
J01FG01;PRISTINAMYCINE
J01GB01;TOBRAMYCINE
J01GB03;GENTAMICINE
J01GB06;AMIKACINE
J01GB07;NETILMICINE
J01MA01;OFLOXACINE
J01MA02;CIPROFLOXACINE
J01MA03;PEFLOXACINE
J01MA04;ENOXACINE
J01MA06;NORFLOXACINE
J01MA07;LOMEFLOXACINE
J01MA12;LEVOFLOXACINE
J01MA14;MOXIFLOXACINE
J01MB04;PIPEMIDIQUE ACIDE
J01MB07;FLUMEQUINE
J01RA02;SULFAMIDES EN ASS. AVEC AUTRES ANTIBACTERIENS (SAUF TRIMETHOPRIME)
J01RA04;SPIRAMYCINE EN ASSOCIATION AVEC AUTRES ANTIBACTERIENS
J01XB01;COLISTINE
J01XC01;FUSIDIQUE ACIDE
J01XE01;NITROFURANTOINE
J01XX01;FOSFOMYCINE
J01XX04;SPECTINOMYCINE
J02AA01;AMPHOTERICINE B
J02AB02;KETOCONAZOLE
J02AC01;FLUCONAZOLE
J02AC02;ITRACONAZOLE
J02AC03;VORICONAZOLE
J02AX01;FLUCYTOSINE
J04AB02;RIFAMPICINE
J04AB04;RIFABUTINE
J04AC01;ISONIAZIDE
J04AK01;PYRAZINAMIDE
J04AK02;ETHAMBUTOL
J04AM02;RIFAMPICINE ET ISONIAZIDE
J04AM05;RIFAMPICINE, PYRAZINAMIDE ET ISONIAZIDE
J04BA02;DAPSONE
J05AB01;ACICLOVIR
J05AB04;RIBAVIRINE
J05AB06;GANCICLOVIR
J05AB09;FAMCICLOVIR
