RBC_COD_ACT;RBC_LIB_ACT;TEC_COL
VRN;MAJORATION VISITE  REGULEE DE NUIT;0
VS  N;VISITE SPECIALISTE NUIT;0
VS  F;VISITE SPECIALISTE FERIE;0
VS;VISITE SPECIALISTE;0
VSL;VEHICULES SANITAIRES LEGERS;0
VU;VISITE D'URGENCE;0
Z;ACTES DE RADIOLOGIE;0
Z   F;ACTES DE RADIOLOGIE FERIE;0
Z   N;ACTES DE RADIOLOGIE NUIT;0
ZM;ACTE DE RADIOLOGIE MAMMOGRAPHIE;0
ZM  F;ACTE DE RADIOLOGIE MAMMOGRAPHIE;0
ZM  N;ACTE DE RADIOLOGIE MAMMOGRAPHIE;0
ZN;MEDECINE NUCLEAIRE;0
ZN  F;MEDECINE NUCLEAIRE FERIE;0
ZN  N;MEDECINE NUCLEAIRE NUIT;0
IIIII;valeur inconnue;1
XXXXX;sans objet;2
P13;PS13 COMP. MAL. .CHRO..M.A.D;0
PA;ORTHESES;0
PAC;PAIMENT D'ACOMPTE (spécif. laser77-appli.dettes central.);0
PAN;PANSEMENTS;0
PAR;PARODOTONLOGIE -CCAM-;0
PAU;PROTHESE AUDITIVE;0
PB  N;PRELEVEMENT SANG/DIREC.LABO.NON MED NUIT;0
PB  F;PRELEVEMENT SANG/DIREC.LABO.NON MED FERIE;0
HD4;SOINS PREVENTION DENTAIRE -M.S.A-;0
HDC;CONSULTATION PREVENTION DENTAIRE -M.S.A-;0
HLO;AIDE AU LOGEMENT;0
MK1;FORFAIT KINESI 18 SEANCES COLLECTIVES;0
MK2;FORFAIT KINESI 18 SEANCES INDIVIDUELLES;0
MK3;FORFAIT KINESI 9 SEANCES COLLECTIVES;0
MK4;FORFAIT KINESI 9 SEANCES INDIVIDUELLES;0
MLS;MUTUELLE  LONG SEJ OUR  (CAVIMAC);0
MM;MAJORATION DE MILIEU DE NUIT;0
MMD;MAJORATION POUR MAINTIEN A DOMICILE;0
MNO;MAJORATION NOURRISSON GENERALISTE;0
MNP;MAJORATION NOURRISSON PEDIATRE;0
MPC;MAJORATION PROVISOIRE CLINICIENS;0
MPI;MAJORATION PHARMACIE ILES;0
MPJ;MAJORATION PROVISOIRE CLINICIEN POUR LES MOINS DE 16 ANS;0
MRD;MEDECIN REFERENT DEBUT (1ere partie);0
MRF;MEDECIN REFERENT FIN (2ere partie);0
MTC;MAJORATION TRANSITOIRE CHIRURGIEN;0
MTP;MAJORATION TIERCE PERSONNE;0
MX1;HORMONES DE CROISSANCE (T 980001);0
MX4;MEDICAMENTS ANTIRETROVIRAUX (T 980001);0
MX7;MEDICAMENT D'EXCEPTION (65%);0
N01;FORFAIT CONSOMMABLE N°01;0
N02;FORFAIT CONSOMMABLE N°02;0
N03;FORFAIT CONSOMMABLE N°03;0
N04;FORFAIT CONSOMMABLE N°04;0
N05;FORFAIT CONSOMMABLE N°05;0
N06;FORFAIT CONSOMMABLE N°06;0
N07;FORFAIT CONSOMMABLE N°07;0
N08;FORFAIT CONSOMMABLE N°08;0
N09;FORFAIT CONSOMMABLE N°09;0
N10;FORFAIT CONSOMMABLE N°10;0
N11;FORFAIT CONSOMMABLE N°11;0
N12;FORFAIT CONSOMMABLE N°12;0
N13;FORFAIT CONSOMMABLE N°13;0
N14;FORFAIT CONSOMMABLE N°14;0
N15;FORFAIT CONSOMMABLE N°15;0
NA;NON ACTE;0
NAF;RETENUE POUR NON AFFRANCHISSIMENT;0
NEN;ALLOCATION NUIT MAJOREE ARRET + 6 MOIS ET 3 ENFANTS;0
NME;ALLOCATION NUIT MAJOREE  3 ENFANTS + ou - 3 MOIS;0
NMN;ALLOCATION NUIT MAJOREE ARRET + 6 MOIS;0
FF9;FORFAIT DE FORMATION -DEXTER-;0
FFM;FORFAIT FRAIS DE PETIT MATERIEL;0
FFN;AIDE A LA TRANSMISSION DES FLUX NON SECURISE;0
FF6;FORFAIT DE FORMATION -DEXTER-;0
FF7;FORFAIT DE FORMATION -DEXTER-;0
FF8;FORFAIT DE FORMATION -DEXTER-;0
MG;MAJORATION POUR GARDE;0
MGC;Forfait Mission d'intérêt Général d'aide à la Contractualisation;0
MHU;MEDICAMENT HOMEOPATHIQUE UNITAIRE A 35%;0
MIJ;I.J MINIMUM MAJOREE + 3 ou - MOIS;0
MIN;I.J MINIMUM NORMALE + 3 ou - MOIS;0
MIT;I.J MI-TEMPS + 3 ou - MOIS;0
PRO;PROTHESE PAR MEDECIN;0
PRT;PERMANENCE REMUNERATION  TOTALE  (12H);0
PSD;PERTE SALAIRE DIALYSE;0
PSM;PIED SUPPORT MATERIEL;0
PY0;FORFAIT PSYCHIATRIE -séance collective -1 intervenant -3 à 4 H;0
PY1;FORFAIT PSYCHIATRIE -séance individuelle-1 intervenant -3 à 4 H;0
PY2;FORFAIT PSYCHIATRIE -séance collective -2 intervenants -3 à 4 H;0
PY3;FORFAIT PSYCHIATRIE -séance individuelle-2intervenants -3 à 4 H;0
PY4;FORFAIT PSYCHIATRIE -séance collective -1 intervenant -6 à 8 H;0
PY5;FORFAIT PSYCHIATRIE -séance individuelle-1 intervenant -6 à 8 H;0
PY6;FORFAIT PSYCHIATRIE -séance collective -2 intervenants -6 à 8 H;0
PY7;FORFAIT PSYCHIATRIE -séance individuelle-2intervenants -6 à 8 H;0
PY8;FORFAIT PSYCHIATRIE de sécurité sans hébergement;0
PY9;FORFAIT PSYCHIATRIE d'accueil et de suivi de nuit;0
RAF;RAPPEL AFFRANCHISSEMENT;0
RAS;RENTE D'ASCENDANT;0
RCP;RESPONSABILITE CIVEILE PROFESSIONNELLE;0
RCS;RENTE DE CONJOINT SURVIVANT;0
REA;SUPPLEMENT REANIMATION;0
REG;REMUNERATION REGULATION;0
REN;INDEMNITE JOURNALIERE REDUITE RENTE + 3 ou - MOIS;0
RES;REmboursement de Soins (usage interne aux CPAM);0
REV;RENTE DE REVERSION;0
RF;READAPTATION FONCTIONNELLE;0
RFN;RAPPEL FNS;0
RFP;RACHAT FACULTATIF PARTIEL;0
RFT;RACHAT FACULTATIF TOTAL;0
RIN;BUCCO.DENT.CONSULTATION et RADIO en IMAG.NUM.;0
RMT;REMUNERATION DES MEDECINS TRAITANTS PAR PATIENT EN ALD;0
IK;INDEMNITES KILOMETRIQUES;0
IKM;IND.KILOM.MONTAGNE;0
IKP;IND.KILOM.PLAINE;0
IKS;IND.KILOM.SKI;0
IMD;FORFAIT INTERVENTION DUREE <OU= 12H;0
IMP;IMPLANTOLOGIE -CCAM-;0
ING;INDEMNITE DE GARDE AMBULANCIERE;0
IPA;INDEMNITE PATERNITE;0
IPC;INDEMNITE PATERNITE CONJOINT;0
IPD;FORFAIT INTERVENTION, 24H>DUREE>12H;0
IPI;INDEMNITE PATERNITE INFIRMIER;0
IPS;PERTE DE SALAIRE;0
IRA;INDEM.REMPL.MATER REDUITE(ADOPTION);0
IRC;INDEM. DE REMPL.CJTES.COLLABORATRICES;0
IRG;MAJOR.INDEM.REMPL.MATER(A.GEMELL.);0
IRM;INDEMN.REMPLACEMENT MATER NORMALE;0
IRP;MAJOR.INDEM.REMPL.MATER(ET PATHOL);0
IVB;VERIFICATION BIOLOGIQUE - IVG;0
IVE;VERIFICATION ECHOGRAPHIQUE - IVG;0
K;ACTES DE SPECIALITE;0
K   F;ACTES DE SPECIALITE FERIE;0
K   U;ACTES DE SPECIALITES EN URGENCE;0
K   N;ACTES DE SPECIALITE NUIT;0
KA  N;ACTES DE CHIRURGIE D'URGENCE;0
KA;ACTES DE CHIRURGIE D'URGENCE;0
KA  F;ACTES DE CHIRURGIE D'URGENCE;0
KA  U;ACTES DE CHIRURGIE D'URGENCE;0
KB  N;PRELEVEMENT / DIRECTEUR LABORATOIRE NUIT;0
KB  F;PRELEVEMENT / DIRECTEUR LABORATOIRE FERIE;0
KB;PRELEVEMENT / DIRECTEUR LABORATOIRE;0
KC  N;K CHIRURGICAL;0
D17;FORFAIT D' ENTRAINEMENT A L'HEMODIALYSE A DOMICILE ET A L'AUTODIALYSE;0
D18;FORFAIT D' ENTRAINEMENT A LA DIALYSE PERITONEALE AUTOMATISEE;0
D19;FORFAIT D' ENTRAINEMENT A LA DIALYSE PERITONEALE CONTINUE AMBULATOIRE;0
DC;ACTES CHIRURGIE DENTAIRE/DENTISTE;0
DC  F;ACTES CHIRURGIE DENTAIRE/DENTISTE FERIE;0
DC  N;ACTES CHIRURGIE DENTAIRE/DENTISTE NUIT;0
DCM;DEPLACEMENT COLLEGE 3 MEDECINS;0
DEL;DEPLACEMENT ENQUETE LEGALE (AT);0
DI;DEMARCHE DE SOINS INFIRMIERS;0
DI  F;DEMARCHE DE SOINS INFIRMIERS;0
DI  N;DEMARCHE DE SOINS INFIRMIERS;0
DIF;AIDE FINANCIERE INDIVIDUELLE DIFFICULTES FINANCIERES;0
DTP;DIALYSE TIERCE PERSONNE;0
EDS;BILAN DE SANTE -CNMSS-;0
FFS;AIDE A LA TRANSMISSION :FSE;0
FGA;FRAIS GESTION APPAREILLAGE;0
FHV;FORFAIT HONORAIRES DE VILLE;0
FJ;FORFAIT JOURNALIER (EDITION);0
LNE;LUNETTE POUR ENFANT < 18 ans CRPCEN (hors codage);0
LTD;LIGNE TELEPHONIQUE DEDIEE;0
LUN;MONTURE OPTIQUE;0
LYA;PRIME DE LAYETTE -CRPCEN-;0
LYB;PRIME DE LAYETTE -CRPCEN-;0
LYJ;PRIME DE LAYETTE (jumeaux) -CRPCEN-;0
LYT;PRIME DE LAYETTE (triplés) -CRPCEN-;0
MA;MAJORATION POUR ASTREINTE;0
MAC;MATERIELS & APPAREILS DE CONTENTION;0
MAD;MATERIELS & APPAREILS TRAITEMENT DIV;0
MAJ;INDEMNITE JOURNALIERE MAJOREE + ou - 3 MOIS;0
MCC;MAJORATION DE COORD.AFFECTEE A LA  CSC POUR LES CARDIOLOGUES;0
MCG;MAJORATION DE COORDINATION DES GENERALISTES;0
MCP;CHAMBRE PARTICULIERE MUTUELLE -CAVIMAC-;0
MCR;MAJORATIONS CRISTALLISEES;0
MCS;MAJORATION DE COORDINATION POUR SPECIALISTES;0
MD;MAJORATION DE DEPLACEMENT(CRITERES MEDICAUX);0
MDD;MD DE DIMANCHE OU JOUR FERIE;0
MDE;MAJORATION DE DEPLACEMENT (CRITERES ENVIRONNEMENTAUX);0
MDI;MD DE MILIEU DE NUIT (24h à 06h);0
MDN;MD DE NUIT (20h à 24 h et 06h à 08h );0
MED;MDE DE DIMANCHE OU JOUR FERIE;0
MEI;MDE DE MILIEU DE NUIT (24h à 06h);0
MEN;MDE DE NUIT (20h à 24 h et 06h à 08h );0
MFM;FORFAIT MEDICAUX MUTUELLE -CAVIMAC-;0
MFR;FORFAIT CONVALESCENCE MUTUELLE -CAVIMAC-;0
F09;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F10;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F11;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F12;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F13;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F14;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
S(x;PRESTATIONS SPECIFIQUES SNCF (x= 01 à 99);0
SAP;SUPPLEMENT ALIMENTATION PARENTERALE;0
SC;SOINS CONSERVATEURS/ DENTISTES;0
SC  F;SOINS CONSERVATEURS/ DENTISTES FERIE;0
SC  N;SOINS CONSERVATEURS/ DENTISTES NUIT;0
EEN;ALLOCATION EXPOSITION ARRET + 6 MOIS ET 3 ENFANTS;0
EME;ALLOCATION EXPOSITION MAJOREE 3 ENFANTS + ou - 3 MOIS;0
EMN;ALLOCATION EXPOSITION ARRET + 6 MOIS;0
ENO;ALLOCATION EXPOSITION NORMALE + ou - 3 MOIS;0
ENQ;HONORAIRES ENQUETE LEGALE (AT);0
ENT;FORFAIT D'ENTREE;0
EOS;EMPREINTES POUR TRAITEMENT ORTHO STO -CRPCEN-;0
ET1;SOINS ETRANGER A 70 %;0
ET2;SOINS ETRANGER A 75 %;0
ET3;SOINS ETRANGER A 80 %;0
ET4;SOINS ETRANGER A 60 %;0
ET5;SOINS ETRANGER A 65 %;0
ET6;SOINS ETRANGER A 35 %;0
ET7;SOINS A L'ETRANGER (CRPCEN);0
ETI;ECART TIPS INDEMNISABLE;0
ETO;EMPREINTES POUR TRAITEMENT ORTHO DENTISTES -CRPCEN-;0
ETR;SOINS A L'ETRANGER;0
EXH;FRAIS DE SEJOUR SUPPLEMENTAIRE AU GHS;0
EXP;FRAIS D EXPERTISE;0
EXS;EXAMEN SPECIAL;0
F01;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F02;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F03;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F04;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F05;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F06;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F07;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
F08;FORFAIT DE SOINS ET DE SUIVI  -DEXTER-;0
KC  U;K  CHIRURGICAL EN URGENCE;0
KC;K CHIRURGICAL;0
KC  F;K CHIRURGICAL;0
KCC;ACTE SPECIFIQUE DES CHIRURGIENS;0
KCC N;ACTE SPECIFIQUE DES CHIRURGIENS;0
KCC F;ACTE SPECIFIQUE DES CHIRURGIENS;0
KE;ECHO OU DOPPLER;0
KE  F;ECHO OU DOPPLER;0
KE  N;ECHO OU DOPPLER;0
KFA;FORFAIT CHIRURGIE;0
KFB;FORFAIT CHIRURGIE;0
KFC;MAJORATION DU FORFAIT D' ACCOUCHEMENT;0
KFD U;FORFAIT RADIOLOGIE ECHOGRAPHIE;0
KFD N;FORFAIT RADIOLOGIE ECHOGRAPHIE;0
KFD;FORFAIT RADIOLOGIE ECHOGRAPHIE;0
KFD F;FORFAIT RADIOLOGIE ECHOGRAPHIE;0
KMO;ACTE DE PHONIATRIE PAR MEDECIN;0
KTH;PRATIQUES MEDIC.COMPL.EN CURE THER;0
LAI;LAIT HUMAIN;0
ROB;RACHAT OBLIGATOIRE;0
ROM;Reparation des montures -CRPCEN-;0
ROR;RENTE D'ORPHELIN;0
ROV;REMPLACEMENT DES VERRES -CRPCEN-;0
RP;REEDUCATION PROFESSIONNELLE;0
RPA;REMUNERATION POUR ASTREINTE EN ETABLISSEMENT PRIVE;0
RPG;REMUNERATION POUR GARDE EN ETABLISSEMENT PRIVE;0
RPI;RAPPEL INVALIDITE;0
RPJ;RAPPEL PRIX DE JOURNEE;0
RTP;RAPPEL TIERCE PERSONNE;0
RVI;RENTE DE VICTIME;0
AMU;AIDE A L'ACQUISITION DE CONTRATS DE COUVERTURE COMPLEMENTAIRE;0
AMY F;ORTHOPTIE FERIE;0
AMY N;ORTHOPTIE NUIT;0
AMY;ORTHOPTIE;0
ANP;FORFAIT ACTIVITE NON PROGRAMMEE;0
APD;INTERVENTION+ANESTHESIE,24>DUREE>12;0
APH;AVANCE PHARMACEUTIQUE;0
APR;AVANCE SUR PRESTATIONS;0
APT;AIDE PORTABLE  A LA TELETRANSMISSION;0
ARA;ALLOC.MATER. REDUITE POUR ADOPTION;0
ARD;AIDE ADHESION RAPIDE AU DISPOSITIF;0
ARE F;FRAIS D'ANESTHESIE ET DE REANIMATION FERIE;0
ARE N;FRAIS D'ANESTHESIE ET DE REANIMATION NUIT;0
ARE;FRAIS D'ANESTHESIE ET DE REANIMATION;0
ARM;ALLOCATION FORFAITAIRE REPOS MATERNEL;0
ARO;APPAREIL D'AEROSOL THERAPIE;0
AS1;FORF HOSPIT.TEMPS PARTIEL GROUP 1.1;0
AS2;FORF HOSPIT.TEMPS PARTIEL GROUP 1.2;0
AS3;FORF HOSPIT.TEMPS PARTIEL GROUP 2.1;0
AS4;FORF HOSPIT.TEMPS PARTIEL GROUP 2.2;0
AS5;FORF HTP GROUP 2+FAS2;0
ASM;I.J MALADIE MAJOREE + 6 MOIS;0
ASN;I.J MALADIE NORMALE + 6 MOIS;0
ASP;SUPPLEMENT SUR PROTHESE DENTAIRE -CRPCEN-;0
ASR;FORFAIT D'ASTREINTE PROFESSIONNELS DE SANTE SUR LE RISQUE;0
AST;FORFAIT D'ASTREINTE PROFESSIONNELS DE SANTE;0
SCA;Réparations prothèses dentaire -CRPCEN-;0
SCH;SUPPLEMENT CHAMBRE CHAUDE;0
SCM F;SOINS CONSERVATEURS/MEDECIN FERIE;0
SCM N;SOINS CONSERVATEURS/MEDECIN NUIT;0
SCM;SOINS CONSERVATEURS/MEDECIN;0
SD;SEANCES DE DIAGNOSTIC;0
SDE;SOINS DENTAIRES -CCAM-;0
SDO;Complément traitement dentaire -CRPCEN-;0
SEC;AIDE FINANCIERE EXCEPTIONNELLE;0
