COU_COD;COU_LIB;TEC_COL
info_san_dat_tar_ctx;Info. CTX Sanction DAT Tardive;0
info_trs_dos_fith;Info. Fonds Indemnisation - Transm. Dossier VIH;0
info_trs_dos_mp_crrmp;Info VIC. Consult dossier MP avant CRRMP;0
info_trs_dos_mp_crrmp_ad;Info AD Consult dossier MP avant CRRMP;0
info_trs_dos_mp_crrmp_emp;Info Emp. Consult dossier MP avant CRRMP;0
info_trs_dos_mp_c3m;(*)Info. Vic. - Transm. Dossier Collège 3 Médecins;0
info_trs_dos_mp_ic;Info. Ingénieur Conseil - Transm.Dossier M.P.;0
info_trs_dos_mp_pneumo;(*)Info. Vic. - Transm. Dossier Med. Pneumo.;0
info_trs_vic;Info. Vic. Transfert Dossier;0
info_vic_chgt_mp;Info. Vic. - Chgt Num. MP + feuille ATMP;0
Info_vic_clot_dos;Info VIC Classement dossier accident;0
info_vic_clot_dos_mp;Info. VIC classement dossier MP;0
info_vic_clot_dos_sans_decl;Info. VIC classement du dossier (sans DAT/DMP);0
info_vic_cons_crrmp;Info VIC. Consult dossier MP pendant CRRMP;0
info_vic_dmp;Notifier Vic. Lancement investigations MP;0
info_vic_lct_inv;Info. VIC - Récept. DAT VIC  + Lancem. Investig.;0
info_vic_rchnll;Inf.VIC-Récept.Certif.RCH/NLL (initial définitif);0
info_vic_rchnll_a;Info.VIC Récept.Certif.RCH/NLL (initial attente);0
info_vih_vic;Info. Vic. - Procédure VIH;0
Inf_pec_apr_ref_emp_b;Notif. EMP  PEC après refus;0
Inf_pec_mor_emp;NotiF. EMPL  décision d'accord de PEC AT mortel;0
Inf_pec_mor_ref_emp;Notif. EMPL . PEC AT mortel  après refus;0
inf_pec_mp_crrmp_emp;Notif. EMPL. Pec d'une MP après CRRMP;0
Inf_pec_mp_2a_emp;Notif. Empl. PEC MP dans le cadre des tableaux;0
inf_pec_nll_emp;Notif. EMPL  PEC Totale NLL;0
inf_pec_nll_emp_par;Notif. EMPL PEC NLL partielle;0
Inf_pec_rec_emp_b;(*)Info .EMPL. accord de PEC d'une rechute;0
Inf_pec_rec_partielle;Notif. EMPL PEC Rechute Partielle;0
Inf_pec_rec_totale;Notif. EMPL PEC Rechute Totale;0
inf_rpec_mp_crrmp_emp;Notif. EMPL. nouvelle décision après avis CRRMP;0
inf_rpec_mp_crrmp_vic;Notif. VIC nouvelle décision après avis CRRMP;0
inf_rpec_mp_crrmp_vic_apd;(*)Notif. VIC nouvelle décision après avis CRRMP;0
inf_vic_pec_nll_tot;Notif.VIC PEC totale NLL;0
mut_acc_dem_dos_cpam;Acc. Demander Dossier Autre CPAM (13);0
mut_acc_dos_dem_cpam;Acc. Dossier Electronique Demandé;0
mut_acc_dos_dem_cpam_man;Acc. Dossier Electronique Demandé (hors SAS);0
mut_acc_dos_trs_cpam;Acc. Dossier Electronique Transmis;0
mut_ref_dem_dos_cpam;Refus Demander Dossier Autre CPAM (15);0
mut_ref_dos_dem_cpam;Refus Dossier Electronique Demandé;0
mut_ref_dos_trs_cpam;Refus Dossier Electronique Transmis;0
not_acc_app_vic;Notif. Vic. Accord Appareillage;0
not_acc_conso_cssi;Notif. Vic. Accord Conso. mais SSI;0
not_acc_cure_vic;Notif. Vic. Accord Cure;0
not_acc_ep;Notif. Vic. Accord E.P.;0
not_acc_ep_pro;Info. Prof. Santé - Accord E.P.;0
not_acc_hos;Notif. Vic. Accord Hospit.;0
not_acc_med_part_spc_vic;Notif. Vic. Accord SPC - Partiel Soins;0
not_acc_mit;Notif. Vic. Accord Mi-Temps;0
not_acc_part_ep;Notif. Vic. Accord Partiel E.P.;0
not_acc_ree_emp_vic;Notif. Vic. Accord Rééd.Employeur;0
not_acc_ree_vic;Notif. Vic. Accord Rééd. Etablissement;0
not_acc_ree_vic_not;Notice Pour Accord Rééducation;0
not_acc_spc_partiel_duree;Notif. VIC Accord SPC - Partiel Durée;0
not_acc_spc_vic;Notif. Vic. Accord SPC;0
not_ad_imp_crrmp;Notif AD PEC MP implicite (Délai CRRMP);0
not_ad_rej_abs_crrmp;Notif. AD Refus  MP absence avis CRRMP;0
not_apt_rep_vic;Notif. Vic. Reprise Travail;0
not_ave_dat_tar;Notif. Emp. Avertissement DAT Tardive;0
not_clo_delai_vih;Notif. Vic. - Cloture VIH Délai Dépassé;0
not_clo_vih;Notif. Vic. - Cloture Dossier VIH;0
not_clo_vih_abs_suivi;Notif. Vic. - Cloture VIH  Absence Suivi;0
not_clo_vih_abs_1t;Notif. Vic. - Cloture VIH - Absence 1er Test;0
Not_cons_dos_mp_emp;Info. EMP. Consultation dossier MP;0
Not_cons_dos_mp_emp_ls;Info. LS Emp. Consultation Dossier MP;0
Not_cons_dos_mp_emp_r;Info. Emp. Consultation Dossier MP;0
Not_cons_dos_mp_nll_emp;(*)Info. EMP consultation dossier NLL MP;0
Not_cons_dos_mp_nll_emp_ls;(*)Info. LS Emp. Consultation Dossier NLL MP;0
Not_cons_dos_mp_nll_emp_r;(*)Info. EMP consultation dossier NLL MP;0
not_cons_dos_mp_nll_vic;(*)Notif. Vic RPEC MP Suite CRRMP;0
not_cons_dos_mp_rch_vic;(*)Notif. Vic RPEC MP Suite CRRMP;0
Not_cons_dos_mp_rec_emp;(*)Info. EMP. Consultation dossier rechute MP;0
Not_cons_dos_mp_rec_emp_ls;(*)Info. LS Emp. Consultation Dossier Rechute MP;0
Not_cons_dos_mp_rec_emp_r;(*)Info. EMP. Consultation dossier rechute MP;0
not_cons_dos_mp_vic;(*)Notif. Vic RPEC MP Suite CRRMP;0
not_conso_mc;Notif. Vic. Conso. M. Conseil;0
not_conso_mc_ad;Notif. AD Conso. M. Conseil;0
not_conso_mexp;Notifier Vic. - Conso. Med. Expert;0
not_conso_mt;Notif. Vic. Conso. M. Traitant;0
not_conso_mt_ad;Notif. AD Conso. M. Traitant;0
not_cssi_mc;Notif. Vic. Conso. Séq. Non Ind. M.Conseil;0
not_cssi_mc_ad;Notif. AD Conso. Séq. Non Ind. M.Conseil;0
not_cssi_mt;(*)Notif. Vic. Conso. Seq. Non Ind. M.Traitant;0
not_cssi_mt_ad;Notif. AD Conso. Seq. Non Ind. M.Traitant;0
not_dec_ctx_san_emp;Notif. Emp. Décis. Suite Contest. Sanction;0
not_del_cdc_at_ad;Notif. AD Délai Comp. CM Décès AT;0
not_del_cdc_at_emp;Notif. Emp. Délai Comp. CM Décès AT;0
not_del_cdc_at_emp_ls;Notif. LS Emp. Délai Compl. CM Décès AT;0
not_del_cdc_at_emp_r;Notif. Emp. Délai Compl. CM Décès AT;0
not_del_cdc_mp_ad;Notif. AD Délai Comp. CM Décès MP;0
not_del_cdc_mp_emp;Notif. Emp. Délai Comp. CM Décès MP;0
not_del_cdc_mp_emp_ls;Notif. LS Emp. Délai Compl. CM Décès MP;0
not_del_cdc_mp_emp_r;Notif. Emp. Délai Compl. CM Décès MP;0
not_del_cm_at_ad;Notif. AD Délai Comp Certif. RCH/Nlle Lés;0
not_del_cm_at_emp;Notif. Emp. Délai Comp. Certif. RCH/Nlle Lés;0
not_del_cm_at_emp_ls;(*)Notif. LS Emp. Délai Compl. Certif. RCH/NLL;0
not_del_cm_at_emp_r;(*)Notif. Emp. Délai Comp. Certif. RCH/Nlle Lés;0
not_del_cm_at_vic;Notif. Vic. Délai Comp. Certif. RCH/Nlle Lés;0
not_del_cm_mp_ad;Notif. AD Délai Comp Certif. RCH/Nlle Lés MP;0
not_del_cm_mp_emp;Notif. Emp. Délai Comp. Certif. RCH/Nlle Lés MP;0
not_del_cm_mp_emp_ls;(*)Notif. LS Emp. Délai Compl. Certif. RCH/NLL MP;0
not_del_cm_mp_emp_r;(*)Notif. Emp. Délai Compl. Certif. RCH/NLL MP;0
not_del_cm_mp_vic;Notif. Vic. Délai Comp. Certif. RCH/Nlle Lés MP;0
not_del_dat_ad;Notif. AD Délai Compl. DAT;0
not_del_dat_dcd_emp;Notif. Emp Délai Compl. DAT;0
not_del_dat_dcd_emp_ls;Notif. LS Emp. Délai Compl. DAT;0
not_del_dat_dcd_emp_r;Notif. Emp. Délai Compl. DAT;0
not_del_dat_emp;Notif. Emp. Délai Compl. DAT;0
not_del_dat_emp_ls;Notif. LS Emp. Délai Compl. DAT;0
not_del_dat_emp_r;Notif. Emp. Délai Compl. DAT;0
not_del_dat_vic;Notif. Vic. Délai Compl. DAT;0
not_del_dcd_dmp_ad;Notif. AD Délai Compl. DMP;0
not_del_dcd_dmp_emp;Notif. Emp. Délai Compl. DMP;0
not_del_dmp_emp;Notif. Emp. Délai Compl. DMP;0
not_del_dmp_emp_ls;Notif. LS Emp. Délai Compl. DMP;0
not_del_dmp_emp_r;Notif. Emp. Délai Compl. DMP;0
not_del_dmp_vic;Notif. Vic. Délai Compl. DMP;0
not_emp_imp_mp_ls;Notif EMP PEC MP implicite (délai CRRMP) (LS);0
not_emp_imp_mp_rar;Notif EMP PEC MP implicite (délai CRRMP) (RAR);0
not_emp_lct_inv_a;Notif. Emp.- Lancement investigations RAR;0
not_emp_lct_inv_atm;Notif EMP - Investigations AT Mortel - RAR;0
not_emp_lct_inv2_b;Notif. Emp.- Lancement investigations LS;0
not_emp_nllrch_a;Notif. EMP Récept. NLL sur RCH-RAR (2019);0
not_emp_nllrch_b;Notif. EMP - Récept. NLL sur RCH-LS (2019);0
not_emp_nllrch_c;Notif. EMP - Récept.NLL sur RCH DIFFERE-RAR (2019);0
not_emp_nllrch_d;Notif. EMP - Récept.NLL sur RCH DIFFERE-LS (2019);0
not_emp_pecp_at_nontop;Notif. EMP PEC AT partielle (non topé);0
not_emp_pecp_at_top;Notif. EMP PEC AT partielle (topé);0
not_emp_rchnll_a;Notif. EMP - Récept. Certif. RCH/NLL RAR (D. 2019);0
not_emp_rchnll_b;Notif. EMP - Récept. Certif. RCH/NLL LS (D. 2019);0
not_emp_rchnll_c;Notif. EMP - Réc.Certif.RCH/NLL DIFFERE-RAR (2019);0
not_emp_rchnll_d;Notif. EMP - Réc.Certif. RCH/NLL DIFFERE-LS (2019);0
not_exp_def;Notif. Vic. Expertise Défavorable;0
not_exp_def_ad;Notif. AD Expertise Défavorable;0
not_exp_def_dmf;Notif. Vic. Expertise Défavorable DMF;0
not_exp_def_hdelai;Notifier expertise defavorable hors delai;0
not_exp_fav;Notif. Vic. Expertise Favorable;0
not_exp_fav_ad;Notif. AD Expertise Favorable;0
not_exp_fav_dmf;Notif. Vic. Expertise Favorable DMF;0
not_gue_mc;Notif. Vic. Guérison M. Conseil;0
not_gue_mc_ad;Notif. AD Guérison M. Conseil;0
not_gue_mt;Notif. Vic. Guérison M. Traitant;0
not_gue_mt_ad;Notif. AD Guérison M. Traitant;0
not_gue_vih;Notif. Vic. - Guérison VIH;0
not_gue_vih_abs_suivi;Notif. Vic. - Guérison VIH - Absence Suivi;0
not_gue_vih_abs_1t;Notif. Vic. - Guérison VIH - Absence 1er Test;0
Notice_info_conso;Notice info conso séquelle indemnisables;0
notif_emp_pec_mp_nontop;Notification EMPL.(non topé) PEC MP;0
notif_emp_pec_mp_top;Notification EMPL.(topé) PEC MP;0
not_lev_res_emp;Notif. Emp. - Levée Réserves;0
not_lev_res_nll;Notif. Vic. - Levée Réserves NLL;0
not_lev_res_vic;Notif. Vic. - Levée Réserves;0
not_main_dmf_mc;Notif. Vic. Maintien DMF M. Conseil;0
not_main_ref_adm;Notif. Vic. Maintien Refus Administratif;0
not_main_ref_adm_ad;Notif. AD Maintien Refus Adm.;0
not_main_ref_adm_app;Notif. Vic. Maintien Refus Adm. Appareillage;0
not_main_ref_adm_dcd;Notif. AD Maintien Refus Adm. Décès;0
not_main_ref_adm_ep;Notif. Vic. Maintien Refus Adm. E.P.;0
not_main_ref_adm_mp;Notif. Vic. Maintien Refus Adm. MP;0
not_main_ref_adm_mp_ad;Notif. AD Maintien refus Adm. MP;0
not_main_ref_adm_mp_dcd;Notif. AD Maintien Refus Adm. Décès MP;0
not_main_ref_adm_vih;Notif. Vic. - Maintien Refus Adm. Sero conversion;0
not_nga;Notifier Guérison Administrative;0
not_pec_ad;Notif. AD décision d'accord de PEC d'un AT mortel;0
not_pec_ad_apd;Notif. AD décision d'accord de PEC d'un AT mortel;0
not_pec_dcd;Not. AD d'une décision d'accord de PEC d'un décès;0
not_pec_dcd_apd;Notif. AD décision d'accord de PEC d'un décès;0
not_pec_dcd_aut;Notif. AD PEC Décès Suite Autopsie;0
not_pec_dcd_aut_apd;Notif. AD PEC Décès Suite Autopsie;0
not_pec_dcd_emp;(*)Notif. Emp. PEC Décès;0
not_pec_dc_emp_non_topé;Notif. EMPL . PEC DC ( employeur non topé);0
not_pec_dc_emp_topé;Notif. EMPL . PEC DC ( employeur topé);0
not_pec_emb_nontop;Notification PEC emp. réserv. non motiv. (pas topé;0
not_pec_emb_top;Notification PEC emp. réserv. non motiv. (topé);0
not_pec_emp;Notification PEC à l'employeur;0
Not_pec_mor_emp;Notif. EMP décision d'accord de PEC AT mortel;0
not_pec_mortel_ad;Notif. AD PEC Accident Mortel;0
not_pec_mortel_aut;Notif. AD PEC Mortel suite Autopsie;0
not_pec_mortel_aut_apd;Notif. AD PEC Mortel suite Autopsie;0
not_pec_mp_crrmp_ad;Notif. AD PEC d'une MP après CRRMP;0
not_pec_mp_crrmp_ad_apd;(*)Notif. AD PEC d'une MP après CRRMP;0
not_pec_mp_crrmp_emp;Notif.EMPL Pec d'une MP après CRRMP;0
not_pec_mp_crrmp_vic;Notif. VIC .Pec d'une MP après CRRMP;0
not_pec_mp_crrmp_vic_apd;Notif. VIC .Pec d'une MP après CRRMP;0
not_pec_mp_dcd;Notif. AD PEC Décès MP;0
not_pec_mp_2a_ad;(*)Notif. AD  PEC MP dans le cadre des tableaux;0
not_pec_mp_2a_ad_apd;Notif. AD  PEC MP dans le cadre des tableaux;0
not_pec_mp_2a_emp;Notif. EMPL PEC MP dans le cadre des tableaux;0
not_pec_mp_2a_vic;(*)Notif. VIC PEC MP dans le cadre des tableaux;0
not_pec_mp_2a_vic_apd;Notif. VIC PEC MP dans le cadre des tableaux;0
not_pec_nll;Notification d'accord d'une PEC NLL;0
Not_pec_nll_emp;(*)Notif. EMPL PEC totale  NLL;0
not_pec_nll_emp_par;Notification EMPL PEC partielle NLL;0
not_pec_rch_emp;(*)Notif. Emp. PEC Rechute;0
not_pec_rch_vic;Info.VIC accord de PEC d'une rechute;0
Not_pec_rec_emp_b;Notif.accord de PEC d'une rechute;0
not_pec_rec_par_ad;Notif. AD PEC Rechute Partiellement;0
not_pec_rec_partielle;Notif. EMP. PEC Rechute Partielle;0
not_pec_rec_par_vic;Notif. VIC PEC Rechute Partiellement;0
not_pec_rec_tot_ad;Notif. AD PEC rechute en totalité;0
not_pec_rec_totale;Notif. EMPL. PEC Rechute Totale;0
not_pec_rec_tot_vic;Notif.VIC PEC rechute en totalité;0
not_pec_rec_tot_vic_apd;Notif VIC PEC rechute en totalité;0
not_pec_vic;Notif. VIC décision de PEC;0
not_pec_vic_apd;Notif. VIC décision de PEC;0
not_pec_vih;Notif. Vic. PEC VIH;0
not_prop_gue_delai_vih;(*)Notif. Vic. - Prop. Guérison VIH Délai Dépassé;0
not_prop_gue_vih;(*)Notif. Vic. - Propos. Guérison VIH;0
not_rea_rch;(*)Notif. Vic. Retour Etat Antérieur;0
not_rec_res_emp;(*)Notif. Emp. Recept. Reserves;0
not_rec_res_emp_nm;(*)Notif Emp.Recept.Reserves non motivées;0
not_ref_abs_cm_hos;Notif. Vic Refus Absence Cert. Descrip. Hospit.;0
not_ref_adm_app;Notif. Vic. Refus Adm. Appareillage;0
not_ref_adm_at_ad;Notif. AD Refus Adm AT;0
not_ref_adm_at_emp;Notif. Emp. Refus Administratif;0
not_ref_adm_at_emp_apd;Notif . EMPL.Refus administratif AT (après décret);0
not_ref_adm_at_mortel_ad;Notif. AD Refus Adm. AT Mortel;0
not_ref_adm_attrmpdc_dcd_emp;Notif. EMPL. Refus administratif DC;0
not_ref_adm_attrmp_dcd_emp;Notif. EMPL. Refus administratif AT/TR/MP;0
not_ref_adm_at_vic;Notif. Vic. Refus AT;0
not_ref_adm_dcd;Notif. AD Refus Adm. Décès AT;0
not_ref_adm_dcd_aut;Notif. Refus Adm. Décès Renonc. Autopsie;0
not_ref_adm_dcd_emp;Notif . EMPL. Refus Administratif Décès;0
not_ref_adm_dcd_mp;Notif. AD Refus Adm Décès MP;0
not_ref_adm_ep_vic;Notif. Vic. - Refus EP;0
not_ref_adm_hep;(*)Notif. Vic. - Refus Adm. Hep - 1er Test Positif;0
not_ref_adm_hep_gue;Notif. Vic. - Refus Adm.Hep - G + 1er Test Positif;0
not_ref_adm_mortel_aut;Notif. AD Refus Adm. Sin. Mortel Renonc. Autopsie;0
not_ref_adm_mp_nins_emp;(*)Notif. Emp. - Refus M.P. Non Insc. Tab.;0
not_ref_adm_mp_nins_vic;(*)Notif. Vic. - Refus M.P. Non Insc. Tab;0
not_ref_adm_mp_2a_ad;Notif. AD Refus MP 2ème Alinéa;0
not_ref_adm_mp_2a_emp;Notif .EMPL refus administratif de PEC pour une MP;0
not_ref_adm_mp_2a_emp_apd;Notif .EMPL refus administratif de PEC pour une MP;0
not_ref_adm_mp_2a_vic;Notif. VIC  refus administratif de PEC pour une MP;0
not_ref_adm_nll;Notif. Vic. - Refus Med. NLL;0
not_ref_adm_rec_at_emp;Notif . EMPL. Refus Adm. Rech ou NLL AT;0
not_ref_adm_tr_ad;Notif. AD Refus Adm Trajet;0
not_ref_adm_tr_dcd;Notif. AD Refus Adm. Décès Trajet;0
not_ref_adm_tr_emp;Notif.Emp. -refus Trajet;0
Not_ref_adm_tr_emp_apd;Notif.Emp. -refus Trajet;0
not_ref_adm_tr_mortel_ad;Notif. AD  Refus Adm. Trajet Mortel;0
not_ref_adm_tr_vic;Notif. Vic. Refus Trajet;0
not_ref_adm_vih;Notif. Vic. - Refus Adm. VIH;0
not_ref_adm_vih_gue;(*)Notif. Vic. Refus VIH et Notif. Guérison;0
not_ref_car_app;Notif. Vic. - Refus Car. Convo. Appareillage;0
not_ref_car_arr;Notif. Vic. Refus ARR Car. Convocation;0
not_ref_car_cmf;Notif. Vic. - Refus Car. Convo. CMF;0
not_ref_car_cur;Notif. Vic. - Refus Car. Convo. Cure;0
not_ref_car_ep;Notif. Vic. - Refus Car. Convo. EP;0
not_ref_car_exp;Notif. Vic. - Refus Car. Convo. Med. Expert;0
not_ref_car_hos;Notif. Vic. - Refus Car. Convo. Hospitalisation;0
not_ref_carid_app;Notif Vic - Refus Car. Identité Appareillage;0
not_ref_carid_arr;Notif Vic - Refus Car. Identité Arrêt;0
not_ref_carid_cur;Notif Vic - Refus Car. Identité Cure;0
not_ref_carid_ep;Notif Vic - Refus Car. Identité EP;0
not_ref_carid_hos;Notif Vic - Refus Car. Identité Hospitalisation;0
not_ref_carid_mit;Notif Vic - Refus Car. Identité Mi-temps;0
not_ref_carid_nll;Notif Vic - Refus Car Identité NLL;0
not_ref_carid_rch;Notif Vic - Refus Car. Identité Rechute;0
not_ref_carid_ree;Notif Vic - Refus Car. Identité Rééducation;0
not_ref_carid_soi;Notif Vic - Refus Car. Identité Soins;0
not_ref_carid_spc;Notif Vic - Refus Car. Identité SPC;0
not_ref_car_imp;Notif. Vic. - Refus Car IMP Convo Serv Méd;0
not_ref_car_imp_emp;Notif. EMP. - Refus Car IMP Convo Serv Méd;0
not_ref_car_mit;Notif. Vic. - Refus Car. Convo. Mi-temps;0
not_ref_car_nll;Notif. Vic. - Refus Carence NLL;0
not_ref_car_rch;Notif. Vic. - Refus Car. Convo. Rechute;0
not_ref_car_rec;Notif. EMPL. Refus Car. Convo.NLL Rechute;0
not_ref_car_ree;Notif. Vic. - Refus Car. Convo. Rééducation;0
not_ref_car_soi;Notif. Vic. - Refus Car. Convo. Soins;0
not_ref_car_spc;Notif. Vic. - Refus Car. Convo. SPC;0
not_ref_conso_exp;Notif. Vic. - Refus Conso Convo Med. Expert;0
not_ref_crrmp_ip25_ad;Notifier AD Refus CRRMP IP<25;0
not_ref_crrmp_ip25_emp;Notifier Emp Refus CRRMP IP<25;0
not_ref_crrmp_ip25_vic;Notifier Vic Refus CRRMP IP<25;0
not_ref_dcd_abs_aut;(*)Notif. AD Refus PEC AT Renonc.Autopsie;0
not_ref_dcd_aut;(*)Notif. AD Refus PEC A.T. suite Autopsie;0
not_ref_docabs_arr_vic;Notif Vic Refus ARR Doc. Absents;0
not_ref_etr;(*)Notif. Vic. Refus A.T. Etranger;0
not_ref_imp_exp;Notif. Vic. - Refus Imp Convo Med. Expert;0
not_ref_iti_ati_vic;Notifier Vic. Refus ITI ATI;0
not_ref_iti_emp;Notifier Emp. Refus ITI ATI;0
not_ref_iti_rch_vic;Notifier VIC Refus ITI (RCH);0
not_ref_med;Notif. Vic. Refus Médical AT (ou RCH);0
not_ref_med_abs_les_vic;(*)Notif. Vic. Refus Méd. Absence CMI;0
not_ref_med_ad;Notif. AD Refus Médical;0
not_ref_med_agg;Notif. Vic. Refus Méd. Abs. Aggravation;0
not_ref_med_app_vic;(*)Notif. Vic. Refus Méd. App.;0
not_ref_med_arr;Notif. Vic. Refus Méd. Arrêt de Travail;0
not_ref_med_attr_dcd_emp;Notif. EMPL. Refus medical AT/TR;0
not_ref_med_cur_at_acc_as_vic;(*)Notif. Vic. Refus Méd. Cure AT Accord AS;0
not_ref_med_cur_at_as_vic;(*)Notif. Vic. Refus Méd. Cure AT et AS;0
not_ref_med_cur_vic;Notif. Vic. Refus Méd. Cure AT;0
not_ref_med_dcd;Notif. AD Refus Médical Décès;0
not_ref_med_dcd_aut;Notif. AD Refus Méd. Décès Suite Autopsie;0
not_ref_med_dcd_emp;Notif . EMPL. Refus Medical Décès;0
not_ref_med_emp;Notif. Emp. Refus Médical;0
not_ref_med_ep_vic;Notif. Vic. Refus Méd. EP;0
