BIO_PRS_IDE;BIO_INF_LIB;BIO_CRE_DAT;BIO_SUP_DAT;BIO_ARB_CHA;BIO_ARB_SC1;BIO_ARB_SC2;BIO_ARB_SC3;BIO_ARB_SC4;BIO_ARB_BAS;BIO_PHY_GRP;BIO_GRP_LIB;BIO_HIS_DTD;BIO_HIS_DTF;BIO_ENP_TOP;BIO_TUX_TOP;BIO_MAX_EXE;BIO_SPE_REG;BIO_MAX_REG;BIO_MED_REF;BIO_RES_TOP;BIO_BIO_INV;BIO_SNG_TOP;BIO_TAR_NAT;BIO_TAR_COF
62;PREPARATION DES SPERMATOZOIDES OBTENUS PAR PONCTION OU BIOPSIE EN VUE ICSI;25JAN2000:00:00:00;;3;1;0;0;0;4.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;28FEB2002:00:00:00;;;;1;;0;1;1;;;B;500.00
63;DECONGELATION D'EMBRYON (PAR CYCLE) + CATHETER;25JAN2000:00:00:00;19SEP2019:00:00:00;3;2;0;0;0;12.000000;90;AUTRES (tous les autres codes);28FEB2002:00:00:00;19SEP2019:00:00:00;;;1;;0;1;1;;;B;150.00
64;CRYOCONSERVATION D'EMBRYON(S) (PAR CYCLE ET PAR ANNEE);25JAN2000:00:00:00;;3;2;0;0;0;3.000000;90;AUTRES (tous les autres codes);19SEP2019:00:00:00;;;;1;;0;1;1;;;B;150.00
65;CONGELATION DE SPERME... (PAR EJACULAT);25JAN2000:00:00:00;;3;2;0;0;0;7.000000;90;AUTRES (tous les autres codes);28FEB2002:00:00:00;;;;1;;0;1;1;;;B;350.00
66;CRYOCONSERVATION DE SPERME (PAR PATIENT, PAR ANNEE);25JAN2000:00:00:00;;3;2;0;0;0;9.000000;90;AUTRES (tous les autres codes);28FEB2002:00:00:00;;;;1;;0;1;1;;;B;150.00
67;CONGELATION DE SPERMATOZOIDES PRELEVES CHIRURGICALEMENT EN VUE ICSI(PAR PATIENT);25JAN2000:00:00:00;;3;2;0;0;0;8.000000;90;AUTRES (tous les autres codes);28FEB2002:00:00:00;;;;1;;0;1;1;;;B;350.00
68;CRYOCONSERVATION DE SPERMATOZOIDES PRELEVES CHIR EN VUE ICSI(PAR PATIENT, ANNEE);25JAN2000:00:00:00;;3;2;0;0;0;10.000000;90;AUTRES (tous les autres codes);28FEB2002:00:00:00;;;;1;;0;1;1;;;B;150.00
70;SPERMOGRAMME ET SPERMOCYTOGRAMME;01JAN1996:00:00:00;;4;0;0;0;0;1.000000;90;AUTRES (tous les autres codes);26FEB2000:00:00:00;;;;1;;0;;;;;B;110.00
71;TEST POST-COITAL (TPC) OU TEST DE HUHNER;01JAN1996:00:00:00;;4;0;0;0;0;2.000000;90;AUTRES (tous les autres codes);30MAR1997:00:00:00;;;;1;;0;;;;;B;45.00
72;EXPLORATION BIOCHIMIQUE DE LA FONCTION PROSTATO-VESICULAIRE;01JAN1996:00:00:00;;4;0;0;0;0;3.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;;;B;175.00
73;EXPLORATION DE LA FONCTION EPIDIDYMAIRE;01JAN1996:00:00:00;;4;0;0;0;0;4.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;;;B;85.00
74;ETUDE DE L'EJACULAT FRACTIONNE;01JAN1996:00:00:00;;4;0;0;0;0;5.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;;;B;130.00
75;TEST DE MIGRATION-SURVIE DES SPERMATOZOIDES;01JAN1996:00:00:00;;4;0;0;0;0;6.000000;90;AUTRES (tous les autres codes);26FEB2000:00:00:00;;1;;1;;0;1;1;;;B;120.00
76;RECHERCHE AC FIXES SUR LES SPERMATOZOIDES (HOMME);01JAN1996:00:00:00;;4;0;0;0;0;7.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;;;B;50.00
77;RECHERCHES INDIRECTES D'AC ANTISPERMATOZOIDES (HOMME);01JAN1996:00:00:00;;4;0;0;0;0;8.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;1;1;B;280.00
78;PENETRATION DU MUCUS CERVICAL : TEST CROISE;01JAN1996:00:00:00;;4;0;0;0;0;9.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;;;B;120.00
79;RECHERCHE IMMUNISATION ANTISPERMATOZOIDES (FEMME);01JAN1996:00:00:00;;4;0;0;0;0;10.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;;1;B;280.00
80;ETUDE D'UNE EJACULATION RETROGRADE;01JAN1996:00:00:00;;4;0;0;0;0;11.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;;;B;110.00
81;COLORATION DES SPERMATOZOIDES AU BLEU D'ANILINE;01JAN1996:00:00:00;;4;0;0;0;0;12.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;1;;1;;0;1;;;;B;50.00
82;VITRIFICATION D'EMBRYON(S);30AUG2019:00:00:00;;3;2;0;0;0;1.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;19SEP2019:00:00:00;;;;1;;0;1;1;;;B;1150.00
83;RECHAUFFEMENT D'EMBRYON(S);30AUG2019:00:00:00;;3;2;0;0;0;2.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;19SEP2019:00:00:00;;;;1;;0;1;1;;;B;410.00
84;VITRIFICATION D'OVOCYTE(S);30AUG2019:00:00:00;;3;2;0;0;0;4.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;19SEP2019:00:00:00;;;;1;;0;1;1;;;B;1250.00
85;RECHAUFFEMENT D'OVOCYTE(S);30AUG2019:00:00:00;;3;2;0;0;0;5.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;20SEP2019:00:00:00;;;;1;;0;1;1;;;B;505.00
86;CRYOCONSERVATION DES OVOCYTE(S );30AUG2019:00:00:00;;3;2;0;0;0;6.000000;28;AMP BIOLOGIE INTERVENTIONNELLE;19SEP2019:00:00:00;;;;1;;0;1;1;;;B;150.00
121;TEMPS DE SAIGNEMENT (TS) : EPREUVE DE DUKE;01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;41.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;11JUL2013:00:00:00;;;1;;0;1;;;1;B;5.00
126;TEMPS DE QUICK (TQ,TP) EN L'ABSENCE DE TRAITEMENT PAR AVK;11JUN2003:00:00:00;;5;2;0;0;0;5.000000;2;COAGULATION COURANTE;01APR2019:00:00:00;;;;1;;0;1;;1;1;B;16.00
127;INR : TEMPS DE QUICK EN CAS DE TRAITEMENT PAR AVK;11JUN2003:00:00:00;;5;2;0;0;0;6.000000;2;COAGULATION COURANTE;11JUL2013:00:00:00;;;;1;;0;1;;;1;B;20.00
128;TEMPS DE THROMBINE (T.T.);01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;42.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;11JUL2013:00:00:00;;;1;;0;;;1;1;B;15.00
130;UN FACTEUR DU COMPLEXE PROTHROMBINIQUE (II, V, VII OU X) : DOSAGE;01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;43.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;11JUL2013:00:00:00;;;2;;0;;;;1;B;25.00
132;PLUS DE 2 FACT. DU COMPLEXE PROTHROMBINIQUE (II, V, VII, X) : DOSAGES;01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;44.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;11JUL2013:00:00:00;;;1;;0;;;;1;B;60.00
160;GROUPAGE PLAQUETTAIRE (PLA);01JAN1996:00:00:00;;5;3;0;0;0;14.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;1;;;1;B;200.00
161;GROUPAGE GRANULOCYTAIRE (NA, NB, NC, ND, NE);01JAN1996:00:00:00;;5;3;0;0;0;15.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;1;;;1;B;200.00
162;ANTICORPS ANTIPLAQUETTAIRES : DEPISTAGE;01JAN1996:00:00:00;;5;3;0;0;0;16.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;1;1;;1;B;100.00
163;ANTICORPS ANTIPLAQUETTAIRES : IDENTIFICATION;01JAN1996:00:00:00;;5;3;0;0;0;17.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;1;1;1;1;B;300.00
164;ANTICORPS ANTIGRANULOCYTAIRES : DEPISTAGE;01JAN1996:00:00:00;;5;3;0;0;0;18.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;1;1;;1;B;100.00
165;ANTICORPS ANTIGRANULOCYTAIRES : IDENTIFICATION;01JAN1996:00:00:00;;5;3;0;0;0;19.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;1;1;1;1;B;300.00
171;TEMPS DE SAIGNEMENT (TS) : TEST D'IVY (INCISION OU 3 POINTS);01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;39.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;11JUL2013:00:00:00;;;1;;0;1;;;1;B;20.00
173;FACTEUR XIII (FACTEUR DE STABILISATION DE LA FIBRINE): DOSAGE;01JAN1996:00:00:00;;5;2;0;0;0;18.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;;;;1;B;50.00
174;FIBRINOGENE (FACTEUR I) : DOSAGE FONCTIONNEL;01JAN1996:00:00:00;;5;2;0;0;0;8.000000;2;COAGULATION COURANTE;08APR2021:00:00:00;;;;1;;0;;;1;1;B;15.00
175;TEMPS LYSE EUGLOBULINES;01JAN1996:00:00:00;;5;2;0;0;0;25.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;;;;1;B;30.00
176;PDF : RECHERCHE;01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;45.000000;2;COAGULATION COURANTE;01JAN1996:00:00:00;11JUL2013:00:00:00;;;1;;0;;;;1;B;30.00
177;PDF : DOSAGE (D DIMERES  ...);01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;46.000000;2;COAGULATION COURANTE;01JAN1996:00:00:00;11JUL2013:00:00:00;;;1;;0;;;1;1;B;30.00
178;FACTEUR VIII (ANTIHEMOPHILIQUE A): DOSAGE ACTIVITE COAGULANTE;01JAN1996:00:00:00;;5;2;0;0;0;14.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;;;1;1;B;50.00
179;FACTEUR IX (ANTIHEMOPHILIQUE B) : DOSAGE ACTIVITE COAGULANTE;01JAN1996:00:00:00;;5;2;0;0;0;15.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;;;1;1;B;50.00
180;FACTEUR XI : DOSAGE ACTIVITE COAGULANTE;01JAN1996:00:00:00;;5;2;0;0;0;16.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;;;1;1;B;50.00
181;FACTEUR XII : DOSAGE ACTIVITE COAGULANTE;01JAN1996:00:00:00;;5;2;0;0;0;17.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;;;;1;B;40.00
182;ANTICOAGULANT CIRCULANT (DEPISTAGE) - CORRECTION TCA;01JAN1996:00:00:00;;5;2;0;0;0;21.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;;;1;1;B;20.00
183;CORRECTION DU TEMPS DE THROMBINE;01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;47.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;11JUL2013:00:00:00;;;1;;0;;;1;1;B;15.00
185;HEPARINEMIE PAR MESURE ACTIVITE ANTITHROMBINE (ANTI II ACTIVE);01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;48.000000;2;COAGULATION COURANTE;01JAN1996:00:00:00;11JUL2013:00:00:00;;;1;;0;;;;1;B;30.00
186;ACTIVITE ANTI-XA (DE L'HEPARINE OU D'UN DERIVE HEPARINIQUE);01JAN1996:00:00:00;;5;2;0;0;0;26.000000;2;COAGULATION COURANTE;11JUL2013:00:00:00;;;;1;;0;;;;1;B;30.00
187;UN FACTEUR DE COAGULATION PAR METH IMMUNO. (I, II, VII, X, WILL.);01JAN1996:00:00:00;11JUL2013:00:00:00;5;2;0;0;0;49.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;11JUL2013:00:00:00;;;0;;0;;;;1;B;40.00
188;ANTITHROMBINE (DOSAGE IMMUNOLOGIQUE);01JAN1996:00:00:00;;5;2;0;0;0;29.000000;90;AUTRES (tous les autres codes);14APR2018:00:00:00;;;;1;;0;1;;1;1;B;38.00
189;ANTITHROMBINE (DOSAGE FONCTIONNEL);01JAN1996:00:00:00;;5;2;0;0;0;28.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;1;;;1;B;40.00
190;PROTEINE S (DOSAGE FONCTIONNEL);01JAN1996:00:00:00;;5;2;0;0;0;30.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;1;;;1;B;50.00
191;PROTEINE C (DOSAGE FONCTIONNEL);01JAN1996:00:00:00;;5;2;0;0;0;33.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;1;;;1;B;50.00
192;FACTEUR WILLEBRAND (DOSAGE FONCTIONNEL);01JAN1996:00:00:00;;5;2;0;0;0;2.000000;90;AUTRES (tous les autres codes);11JUL2013:00:00:00;;;;1;;0;;;;1;B;50.00
214;BACTERIE AEROBIE OU MICROAEROPHILE NOMMEMENT DESIGNEE : RECH. ISOLEE;01JAN1996:00:00:00;;6;1;0;0;0;24.000000;17;MICROBIOLOGIE COURANTE;26FEB2000:00:00:00;;;;0;;0;;;1;;B;60.00
215;BACTERIE ANAEROBIE NOMMEMENT DESIGNEE : RECH. ISOLEE;01JAN1996:00:00:00;;6;1;0;0;0;25.000000;90;AUTRES (tous les autres codes);21SEP2019:00:00:00;;;;0;;0;;;;;B;80.00
218;POLYNUCLEAIRES EOSINOPHILES DANS UNE SECRETION : RECH ISOLEE;01JAN1996:00:00:00;;6;2;0;0;0;1.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;15.00
219;CULOT URINAIRE CYTOLOGIE URINES AVEC ETUDE DES CRISTAUX;01JAN1996:00:00:00;;6;2;0;0;0;2.000000;90;AUTRES (tous les autres codes);14APR2018:00:00:00;;;;1;;0;;;;;B;25.00
220;DEBIT URIN. HEMATIES ET LEUCOCYTES PAR MINUTE (ADDIS, H.L.M,CULOT URIN QUANT);01JAN1996:00:00:00;;6;2;0;0;0;3.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;1;;0;;;;;B;25.00
221;DEBIT URIN. HEMATIES ET LEUCOCYTES PAR MILLILITRE (CULOT URIN QUANT);01JAN1996:00:00:00;;6;2;0;0;0;4.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;1;;0;;;;;B;25.00
236;ISOL. ET/OU IDENTIF. D'UNE BACTERIE PAR POUVOIR PATHOGENE (ANIMAL);01JAN1996:00:00:00;;6;3;0;0;0;1.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;1;;B;50.00
237;IDENTIF. D'UNE TOXINE BACTERIENNE PAR TECHN. IMMUNOLOGIQUE;01JAN1996:00:00:00;;6;3;0;0;0;2.000000;90;AUTRES (tous les autres codes);21SEP2019:00:00:00;;;;0;;0;;;1;;B;50.00
238;IDENTIF. D'UNE TOXINE BACTERIENNE : PAR POUVOIR PATHOGENE (ANIMAL);01JAN1996:00:00:00;;6;3;0;0;0;3.000000;90;AUTRES (tous les autres codes);21SEP2019:00:00:00;;;;0;;0;;;1;;B;100.00
239;TOXINOTYPIE BOTULIQUE;01JAN1996:00:00:00;;6;3;0;0;0;4.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;0;;0;;1;1;;B;200.00
240;MYCOBACTERIES : EXAMEN MICROSCOPIQUE;01JAN1996:00:00:00;;6;3;0;0;0;9.000000;25;INFECTIONS A MYCOBACTERIES;29JUN2018:00:00:00;;;;0;;0;;;1;;B;30.00
241;MYCOBACTERIES : CULT. D'ISOL SUR MILIEU SOLIDE (SAUF A PARTIR PRODUIT SOLIDE);01JAN1996:00:00:00;;6;3;0;0;0;10.000000;25;INFECTIONS A MYCOBACTERIES;30JUL1997:00:00:00;;;;0;;0;;;1;;B;40.00
242;MYCOBACTERIES : CULT. D'ISOL SUR MILIEU SOLIDE A PARTIR D'UN PRODUIT SOLIDE;01JAN1996:00:00:00;;6;3;0;0;0;11.000000;25;INFECTIONS A MYCOBACTERIES;30JUL1997:00:00:00;;;;0;;0;;;1;;B;60.00
243;MYCOBACTERIES : IDENTIFICATION BIOCHIMIQUE DE MYCOBACTERIUM TUBERCULOSIS;01JAN1996:00:00:00;;6;3;0;0;0;14.000000;25;INFECTIONS A MYCOBACTERIES;11AUG1997:00:00:00;;;;0;;0;;;1;;B;40.00
244;MYCOBACTERIES : IDENTIF. BIOCH AUTRE QUE MYCOBACTERIUM TUBERCULOSIS;01JAN1996:00:00:00;;6;3;0;0;0;15.000000;25;INFECTIONS A MYCOBACTERIES;30JUL1997:00:00:00;;;;0;;0;;;1;;B;100.00
246;SPIROCHETES : RECH. PAR EX. DIRECT (COLOR. OU IF);01JAN1996:00:00:00;04SEP2014:00:00:00;6;3;0;0;0;17.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;04SEP2014:00:00:00;;;0;;0;;;;;B;40.00
247;SPIROCHETES : ISOLEMENT DES LEPTOSPIRES PAR CULTURE;01JAN1996:00:00:00;04SEP2014:00:00:00;6;3;0;0;0;18.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;04SEP2014:00:00:00;;;0;;0;;;;;B;80.00
248;SPIROCHETES : ISOLEMENT DES LEPTOSPIRES PAR INOCUL. A ANIMAL;01JAN1996:00:00:00;04SEP2014:00:00:00;6;3;0;0;0;19.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;04SEP2014:00:00:00;;;0;;0;;;;;B;150.00
249;SPIROCHETES : SEROTYPE D'UN LEPTOSPIRE ISOLE PAR CULTURE;01JAN1996:00:00:00;04SEP2014:00:00:00;6;3;0;0;0;20.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;04SEP2014:00:00:00;;;0;;0;;;;;B;200.00
250;RICKETTSIALES : EX. DIRECT ET ISOLEMENT;01JAN1996:00:00:00;;6;3;0;0;0;21.000000;90;AUTRES (tous les autres codes);01JAN1996:00:00:00;;;;1;;0;;1;;;B;100.00
252;EX. MICROBIO. : ISOL ET/OU IDENT LEVURE AUTRE QUE C ALBICANS OU ESPECE FILAM;01JAN1996:00:00:00;;6;4;0;0;0;1.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;1;;B;50.00
253;EX. MYCO ISOLE : IDENTIF DE GENRE LEVURES ET CHAMPIGNONS FILAMENTEUX;01JAN1996:00:00:00;;6;4;0;0;0;2.000000;17;MICROBIOLOGIE COURANTE;30JUL1997:00:00:00;;;;0;;0;;;;;B;70.00
254;MALASSEZIA FURFUR (PITYRIASIS VERSICOLOR);01JAN1996:00:00:00;;6;4;0;0;0;4.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;15.00
255;EX MYCO ISOLE CHAMPIGNON EXOTIQUE EX DIRECT ET CULTURE;01JAN1996:00:00:00;;6;4;0;0;0;5.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;100.00
256;EX MYCO ISOLE CHAMPIGNON EXOTIQUE SUR COUPE D'ORGANE;01JAN1996:00:00:00;;6;4;0;0;0;6.000000;90;AUTRES (tous les autres codes);30JUL1997:00:00:00;;;;0;;0;;;;;B;75.00
