CAT_CIM_COD;CAT_CIM_LIB;TEC_COL
V26;Motocycliste blessé dans une collision avec un autre véhicule sans moteur;0
V27;Motocycliste blessé dans une collision avec un objet fixe ou stationnaire;0
V28;Motocycliste blessé dans un accident de transport, sans collision;0
V99;Accident de transport, sans précision;0
V31;Occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un cycle;0
V34;Occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un véhicule lourd ou un autobus;0
Y96;Facteurs liés aux conditions de travail;0
W12;Chute sur ou d'un échafaudage;0
W13;Chute du haut d'un bâtiment ou d'un autre ouvrage;0
W15;Chute d'une falaise;0
W18;Autre chute de plain-pied;0
Y62;Asepsie insuffisante au cours d'actes médicaux et chirurgicaux;0
Y74;Appareillage hospitalier et d'usage personnel, associé à des accidents;0
V46;Occupant d'une automobile blessé dans une collision avec un autre véhicule sans moteur;0
V50;Occupant d'une camionnette blessé dans une collision avec un piéton ou un animal;0
V51;Occupant d'une camionnette blessé dans une collision avec un cycle;0
W31;Contact avec des appareils, autres et sans précision;0
X88;Agression par des gaz et émanations;0
Z24;Nécessité d'une vaccination contre certaines maladies virales uniques;0
Z26;Nécessité d'une vaccination contre d'autres maladies infectieuses uniques;0
Z32;Examen et test de grossesse;0
V56;Occupant d'une camionnette blessé dans une collision avec un autre véhicule sans moteur;0
W46;Contact avec aiguille à usage médical;0
X96;Agression par matériel explosif;0
Y07;Autres mauvais traitements;0
Y08;Agression par d'autres moyens précisés;0
Y89;Séquelles d'autres causes externes;0
W64;Exposition à des forces animées, autres et sans précision;0
W67;Noyade et submersion dans une piscine;0
Z41;Thérapie sans raison médicale;0
Z43;Surveillance de stomies;0
Z44;Mise en place et ajustement d'appareils de prothèse externe;0
Z46;Mise en place et ajustement d'autres appareils;0
Z50;Soins impliquant une rééducation;0
S90;Lésion traumatique superficielle de la cheville et du pied;0
S93;Luxation, entorse et foulure des articulations et des ligaments au niveau de la cheville et du pied;0
S97;Écrasement de la cheville et du pied;0
Y17;Intoxication par d'autres gaz et émanations et exposition à ces produits, intention non déterminée;0
W85;Exposition aux lignes électriques;0
W86;Exposition à d'autres formes précisées de courant électrique;0
X05;Exposition à l'inflammation ou la fonte de vêtements de nuit;0
X12;Contact avec d'autres liquides brûlants;0
T57;Effet toxique d'autres substances non organiques;0
T62;Effet toxique d'autres substances nocives absorbées par le biais d'aliments;0
T65;Effet toxique de substances autres et non précisées;0
T13;Autres lésions traumatiques du membre inférieur, niveau non précisé;0
T22;Brûlure et corrosion de l'épaule et du membre supérieur, sauf poignet et main;0
T24;Brûlure et corrosion de la hanche et du membre inférieur, sauf cheville et pied;0
T73;Effets d'autres privations;0
T74;Syndromes dus à de mauvais traitements;0
T75;Effets d'autres causes externes;0
T30;Brûlure et corrosion, partie du corps non précisée;0
A32;Listériose;0
A36;Diphtérie;0
A37;Coqueluche;0
A39;Infection à méningocoques;0
A40;Sepsis à streptocoques;0
A43;Nocardiose;0
A46;Érysipèle;0
A51;Syphilis précoce;0
A52;Syphilis tardive;0
A60;Infection ano-génitale par le virus de l'herpès [herpes simplex];0
A64;Maladie sexuellement transmise, sans précision;0
A65;Syphilis non vénérienne;0
A66;Pian;0
A88;Autres infections virales du système nerveux central, non classées ailleurs;0
B21;Immunodéficience humaine virale [VIH], à l'origine de tumeurs malignes;0
B24;Immunodéficience humaine virale [VIH], sans précision;0
B30;Conjonctivite virale;0
B33;Autres maladies à virus, non classées ailleurs;0
B37;Candidose;0
B41;Paracoccidioïdomycose;0
A06;Amibiase;0
A09;Autres gastroentérites et colites d'origine infectieuse et non précisée;0
A15;Tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique;0
A19;Tuberculose miliaire;0
C75;Tumeur maligne d'autres glandes endocrines et structures apparentées;0
C94;Autres leucémies à cellules précisées;0
D19;Tumeur bénigne du tissu mésothélial;0
D22;Nævus à mélanocytes;0
B50;Paludisme à Plasmodium falciparum;0
B51;Paludisme à Plasmodium vivax;0
B53;Autres paludismes confirmés par examen parasitologique;0
B68;Infection à Taenia [téniase];0
B71;Autres infections à cestodes;0
B88;Autres infestations;0
B94;Séquelles de maladies infectieuses et parasitaires, autres et non précisées;0
C51;Tumeur maligne de la vulve;0
C61;Tumeur maligne de la prostate;0
D83;Déficit immunitaire commun variable;0
E05;Thyréotoxicose [hyperthyroïdie];0
E20;Hypoparathyroïdie;0
E22;Hypersécrétion de l'hypophyse;0
E28;Dysfonction ovarienne;0
E35;Anomalies endocriniennes au cours de maladies classées ailleurs;0
E67;Autres excès d'apport;0
D23;Autres tumeurs bénignes de la peau;0
D30;Tumeur bénigne des organes urinaires;0
D36;Tumeur bénigne de sièges autres et non précisés;0
D39;Tumeur des organes génitaux de la femme à évolution imprévisible ou inconnue;0
D53;Autres anémies nutritionnelles;0
D67;Carence héréditaire en facteur IX;0
D69;Purpura et autres affections hémorragiques;0
F28;Autres troubles psychotiques non organiques;0
F33;Trouble dépressif récurrent;0
F38;Autres troubles de l'humeur [affectifs];0
F43;Réaction à un facteur de stress sévère, et troubles de l'adaptation;0
F61;Troubles mixtes de la personnalité et autres troubles de la personnalité;0
F63;Troubles des habitudes et des impulsions;0
F72;Retard mental grave;0
F73;Retard mental profond;0
F80;Troubles spécifiques du développement de la parole et du langage;0
F99;Trouble mental, sans autre indication;0
E78;Anomalies du métabolisme des lipoprotéines et autres lipidémies;0
E88;Autres anomalies métaboliques;0
E89;Anomalies endocriniennes et métaboliques après un acte à visée diagnostique et thérapeutique, non classées ailleurs;0
V84;Occupant d'un véhicule spécial utilisé essentiellement pour des travaux agricoles, blessé dans un accident de transport;0
X44;Intoxication accidentelle par des médicaments et substances biologiques et exposition à ces produits, autres et sans précision;0
Y30;Chute, saut ou précipitation dans le vide, intention non déterminée;0
V16;Cycliste blessé dans une collision avec un autre véhicule sans moteur;0
V18;Cycliste blessé dans un accident de transport, sans collision;0
V91;Accident de bateau provoquant d'autres lésions traumatiques;0
V29;Motocycliste blessé dans des accidents de transport, autres et sans précision;0
V93;Accident à bord d'un bateau, sans accident du bateau, ne causant ni noyade ni submersion;0
V95;Accident d'aéronef à moteur dans lequel un occupant est blessé;0
V98;Autres accidents de transport précisés;0
W01;Chute de plain-pied résultant de glissade, faux pas et trébuchement;0
X59;Exposition à des facteurs, sans précision;0
X63;Auto-intoxication par d'autres substances pharmacologiques agissant sur le système nerveux autonome et exposition à ces produits;0
R14;Flatulence et troubles apparentés;0
R23;Autres modifications de la peau;0
R27;Autres troubles de la coordination;0
R32;Incontinence urinaire, sans précision;0
R40;Somnolence, stupeur et coma;0
R47;Troubles du langage, non classés ailleurs;0
R48;Dyslexie et autres troubles de la fonction symbolique, non classés ailleurs;0
R50;Fièvre d'origine autre et inconnue;0
Q44;Malformations congénitales de la vésicule biliaire, des voies biliaires et du foie;0
Q50;Malformations congénitales des ovaires, des trompes de Fallope et des ligaments larges;0
Q64;Autres malformations congénitales de l'appareil urinaire;0
Q72;Raccourcissement (congénital) du membre inférieur;0
Q76;Malformations congénitales du rachis et du thorax osseux;0
Q77;Ostéochondrodysplasie avec anomalies de la croissance des os longs et du rachis;0
Q81;Épidermolyse bulleuse;0
Q83;Malformations congénitales du sein;0
Q92;Autres trisomies et trisomies partielles des autosomes, non classées ailleurs;0
S59;Lésions traumatiques de l'avant-bras, autres et sans précision;0
S71;Plaie ouverte de la hanche et de la cuisse;0
S73;Luxation, entorse et foulure de l'articulation et des ligaments de la hanche;0
S19;Lésions traumatiques du cou, autres et sans précision;0
S26;Lésion traumatique du coeur;0
S33;Luxation, entorse et foulure des articulations et des ligaments du rachis lombaire et du bassin;0
S48;Amputation traumatique de l'épaule et du bras;0
Z80;Antécédents familiaux de tumeur maligne;0
Z85;Antécédents personnels de tumeur maligne;0
Z87;Antécédents personnels d'autres maladies;0
Z55;Difficultés liées à l'éducation et l'alphabétisation;0
Z57;Difficultés liées à l'exposition professionnelle à des facteurs de risque;0
Z59;Difficultés liées au logement et aux conditions économiques;0
Z61;Difficultés liées à une enfance malheureuse;0
Z95;Présence d'implants et de greffes cardiaques et vasculaires;0
Z97;Présence d'autres appareils;0
Z63;Autres difficultés liées à l'entourage immédiat, y compris la situation familiale;0
Z74;Difficultés liées à une dépendance envers la personne qui donne les soins;0
X21;Contact avec des araignées venimeuses;0
T85;Complications d'autres prothèses, implants et greffes internes;0
Y19;Intoxication par des produits chimiques et substances nocives et exposition à ces produits, autres et sans précision, intention non déterminée;0
Y22;Décharge d'une arme de poing, intention non déterminée;0
Y23;Décharge de fusil, de carabine et d'arme de plus grande taille, intention non déterminée;0
T93;Séquelles de lésions traumatiques du membre inférieur;0
U83;Résistance aux autres antibiotiques;0
X41;Intoxication accidentelle par des anti-épileptiques, sédatifs, hypnotiques, antiparkinsoniens et psychotropes et exposition à ces produits, non classés ailleurs;0
X43;Intoxication accidentelle par d'autres substances pharmacologiques agissant sur le système nerveux autonome et exposition à ces substances;0
X46;Intoxication accidentelle par des solvants organiques et des hydrocarbures halogénés et leurs émanations et exposition à ces produits;0
V15;Cycliste blessé dans une collision avec un train ou un véhicule ferroviaire;0
V17;Cycliste blessé dans une collision avec un objet fixe ou stationnaire;0
V92;Noyade et submersion durant un transport par eau, sans accident de bateau;0
X52;Séjour prolongé en apesanteur;0
X53;Privation d'aliments;0
Y56;Effets indésirables des substances à usage topique agissant essentiellement sur la peau et les muqueuses, médicaments à usage ophtalmologique, oto-rhino-laryngologique et dentaire;0
W03;Autre chute de plain-pied due à une collision avec, ou une poussée par un tiers;0
Z00;Examen général et investigations de sujets ne se plaignant de rien ou pour lesquels aucun diagnostic n'est rapporté;0
W16;Plongée ou saut dans l'eau provoquant une lésion traumatique autre que noyade ou submersion;0
W17;Autre chute d'un niveau à un autre;0
X74;Lésion auto-infligée par décharge d'armes à feu, autres et sans précision;0
Y65;Autres accidents et complications au cours d'actes médicaux et chirurgicaux;0
Y69;Accident et complication au cours d'un acte médical et chirurgical, sans précision;0
Y70;Appareils d'anesthésiologie, associés à des accidents;0
Y71;Appareils cardio-vasculaires, associés à des accidents;0
V43;Occupant d'une automobile blessé dans une collision avec une automobile ou une camionnette;0
W27;Contact avec un outil à main non électrique;0
X79;Lésion auto-infligée par utilisation d'objet contondant;0
X85;Agression par médicaments et substances biologiques;0
Z25;Nécessité d'une vaccination contre d'autres maladies virales uniques;0
Z34;Surveillance d'une grossesse normale;0
W43;Exposition aux vibrations;0
X92;Agression par noyade et submersion;0
Y51;Effets indésirables des médicaments agissant essentiellement sur le système nerveux autonome;0
V59;Occupant d'une camionnette blessé dans des accidents de transport, autres et sans précision;0
V60;Occupant d'un véhicule lourd blessé dans une collision avec un piéton ou un animal;0
Y05;Agression sexuelle par la force physique;0
Y85;Séquelles d'un accident de transport;0
Y87;Séquelles d'une lésion auto-infligée, d'une agression ou d'un événement d'intention non déterminée;0
V64;Occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus;0
W60;Contact avec des épines de plantes et des feuilles acérées;0
Z47;Autres soins de contrôle orthopédiques;0
S91;Plaie ouverte de la cheville et du pied;0
S95;Lésion traumatique de vaisseaux sanguins au niveau de la cheville et du pied;0
T47;Intoxication par substances agissant essentiellement sur le tractus gastro-intestinal;0
T48;Intoxication par substances agissant essentiellement sur les muscles lisses et striés et l'appareil respiratoire;0
T02;Fractures de plusieurs parties du corps;0
T06;Autres lésions traumatiques de plusieurs parties du corps, non classées ailleurs;0
T09;Autres lésions traumatiques du rachis et du tronc, niveau non précisé;0
W80;Inhalation et ingestion d'autres objets provoquant une obstruction des voies respiratoires;0
X06;Exposition à l'inflammation ou la fonte d'autres vêtements et parures;0
X08;Exposition à d'autres fumées, feux et flammes précisés;0
X11;Contact avec de l'eau bouillante provenant d'un robinet;0
T55;Effet toxique de savons et détergents;0
G99;Autres affections du système nerveux au cours de maladies classées ailleurs;0
H04;Affections de l'appareil lacrymal;0
H31;Autres affections de la choroïde;0
H50;Autres strabismes;0
H55;Nystagmus et autres anomalies des mouvements oculaires;0
H57;Autres affections de l'oeil et de ses annexes;0
H69;Autres affections de la trompe d'Eustache;0
H70;Mastoïdite et affections apparentées;0
H81;Atteintes des fonctions vestibulaires;0
H83;Autres maladies de l'oreille interne;0
H92;Otalgie et écoulement par l'oreille;0
I00;Rhumatisme articulaire aigu, sans mention d'atteinte cardiaque;0
G10;Chorée de Huntington;0
G11;Ataxie héréditaire;0
G22;Syndrome parkinsonien au cours de maladies classées ailleurs;0
G24;Dystonie;0
G59;Mononévrite au cours de maladies classées ailleurs;0
G60;Neuropathie héréditaire et idiopathique;0
G71;Affections musculaires primitives;0
G72;Autres myopathies;0
G81;Hémiplégie;0
G95;Autres affections de la moelle épinière;0
J36;Angine phlegmoneuse;0
J39;Autres maladies des voies respiratoires supérieures;0
J81;Oedème pulmonaire;0
I35;Atteintes non rhumatismales de la valvule aortique;0
I69;Séquelles de maladies cérébrovasculaires;0
I81;Thrombose de la veine porte;0
I82;Autres embolies et thromboses veineuses;0
I89;Autres atteintes non infectieuses des vaisseaux et des ganglions lymphatiques;0
J01;Sinusite aiguë;0
J02;Pharyngite aiguë;0
J03;Amygdalite aiguë;0
J16;Pneumopathie due à d'autres micro-organismes infectieux, non classée ailleurs;0
L02;Abcès cutané, furoncle et anthrax;0
L08;Autres infections localisées de la peau et du tissu cellulaire sous-cutané;0
L10;Pemphigus;0
L41;Parapsoriasis;0
L66;Alopécie cicatricielle;0
L83;Acanthosis nigricans;0
L86;Kératodermie au cours de maladies classées ailleurs;0
L94;Autres affections localisées du tissu conjonctif;0
L95;Vascularite [angéite] limitée à la peau, non classée ailleurs;0
L97;Ulcère du membre inférieur, non classé ailleurs;0
K20;Oesophagite;0
K23;Atteintes de l'osoephage au cours de maladies classées ailleurs;0
K35;Appendicite aiguë;0
K40;Hernie inguinale;0
K42;Hernie ombilicale;0
K55;Troubles vasculaires de l'intestin;0
K57;Diverticulose de l'intestin;0
K76;Autres maladies du foie;0
M34;Sclérose systémique;0
M61;Calcification et ossification de muscles;0
M81;Ostéoporose sans fracture pathologique;0
M77;Autres enthésopathies;0
N03;Syndrome néphritique chronique;0
N89;Autres affections non inflammatoires du vagin;0
N96;Avortements à répétition;0
O01;Môle hydatiforme;0
O16;Hypertension de la mère, sans précision;0
O21;Vomissements incoercibles au cours de la grossesse;0
O31;Complications spécifiques à une grossesse multiple;0
O32;Soins maternels pour présentation anormale connue ou présumée du foetus;0
O47;Faux travail;0
O48;Grossesse prolongée;0
O63;Travail prolongé;0
O64;Dystocie due à une position et une présentation anormales du foetus;0
O65;Dystocie due à une anomalie pelvienne de la mère;0
O66;Autres dystocies;0
N06;Protéinurie isolée avec lésions morphologiques précisées;0
N22;Calcul des voies urinaires au cours de maladies classées ailleurs;0
N29;Autres affections du rein et de l'uretère au cours de maladies classées ailleurs;0
N35;Rétrécissement urétral;0
N39;Autres affections de l'appareil urinaire;0
N45;Orchite et épididymite;0
N49;Affections inflammatoires des organes génitaux de l'homme, non classées ailleurs;0
N87;Dysplasie du col de l'utérus;0
P96;Autres affections dont l'origine se situe dans la période périnatale;0
Q23;Malformations congénitales des valvules aortique et mitrale;0
Q26;Malformations congénitales des grandes veines;0
Q39;Malformations congénitales de l'oesophage;0
Q40;Autres malformations congénitales des voies digestives supérieures;0
O75;Autres complications du travail et de l'accouchement, non classées ailleurs;0
O83;Autres accouchements uniques avec assistance;0
O89;Complications de l'anesthésie au cours de la puerpéralité;0
O96;Mort d'origine obstétricale, survenant plus de 42 jours mais moins d'un an après l'accouchement;0
P08;Anomalies liées à une gestation prolongée et un poids élevé à la naissance;0
P12;Lésion du cuir chevelu due à un traumatisme obstétrical;0
P20;Hypoxie intra-utérine;0
P22;Détresse respiratoire du nouveau-né;0
P26;Hémorragie pulmonaire survenant pendant la période périnatale;0
P53;Maladie hémorragique du foetus et du nouveau-né;0
P70;Anomalies transitoires du métabolisme des glucides spécifiques du foetus et du nouveau-né;0
R01;Souffles et autres bruits cardiaques;0
R10;Douleur abdominale et pelvienne;0
R17;Ictère, sans précision;0
R34;Anurie et oligurie;0
R51;Céphalée;0
R53;Malaise et fatigue;0
R59;Adénopathies;0
R68;Autres symptômes et signes généraux;0
R70;Accélération de la vitesse de sédimentation et anomalies de la viscosité plasmatique;0
R78;Présence de drogues et d'autres substances non trouvées normalement dans le sang;0
R89;Résultats anormaux de prélèvements effectués sur d'autres organes, appareils et tissus;0
R93;Résultats anormaux d'imagerie diagnostique d'autres parties du corps;0
R99;Autres causes de mortalité mal définies et non précisées;0
Q54;Hypospadias;0
Q65;Anomalies morphologiques congénitales de la hanche;0
S64;Lésion traumatique de nerfs au niveau du poignet et de la main;0
S65;Lésion traumatique de vaisseaux sanguins au niveau du poignet et de la main;0
S66;Lésion traumatique de muscles et de tendons au niveau du poignet et de la main;0
S75;Lésion traumatique de vaisseaux sanguins au niveau de la hanche et de la cuisse;0
S78;Amputation traumatique de la hanche et de la cuisse;0
S83;Luxation, entorse et foulure des articulations et des ligaments du genou;0
S85;Lésion traumatique de vaisseaux sanguins au niveau de la jambe;0
S06;Lésion traumatique intracrânienne;0
S17;Écrasement du cou;0
S22;Fracture de côte(s), du sternum et du rachis dorsal;0
S30;Lésion traumatique superficielle de l'abdomen, des lombes et du bassin;0
S34;Lésion traumatique des nerfs et de la moelle épinière lombaire au niveau de l'abdomen, des lombes et du bassin;0
S42;Fracture de l'épaule et du bras;0
S51;Plaie ouverte de l'avant-bras;0
Z89;Absence acquise d'un membre;0
Z60;Difficultés liées à l'environnement social;0
Z62;Autres difficultés liées à l'éducation;0
Z72;Difficultés liées au mode de vie;0
T35;Gelure de parties multiples du corps et sans précision;0
X22;Contact avec des scorpions;0
X23;Contact avec des frelons, guêpes et abeilles;0
T86;Échec et rejet d'organes et de tissus greffés;0
T90;Séquelles de lésions traumatiques de la tête;0
V68;Occupant d'un véhicule lourd blessé dans un accident de transport, sans collision;0
T91;Séquelles de lésions traumatiques du cou et du tronc;0
T94;Séquelles de lésions traumatiques de parties du corps multiples et non précisées;0
U81;Agents résistant à la vancomycine et apparentés;0
X42;Intoxication accidentelle par des narcotiques et psychodysleptiques [hallucinogènes] et exposition à ces produits, non classés ailleurs;0
V13;Cycliste blessé dans une collision avec une automobile ou une camionnette;0
V80;Personne montant un animal ou occupant un véhicule à traction animale blessée dans un accident de transport;0
B05;Rougeole;0
B06;Rubéole;0
B18;Hépatite virale chronique;0
A00;Choléra;0
A03;Shigellose;0
C84;Lymphomes à cellules T/NK matures;0
C85;Lymphome non hodgkinien, de types autres et non précisés;0
C92;Leucémie myéloïde;0
C96;Tumeurs malignes des tissus lymphoïde, hématopoïétique et apparentés, autres et non précisées;0
D02;Carcinome in situ de l'oreille moyenne et de l'appareil respiratoire;0
D07;Carcinome in situ d'organes génitaux, autres et non précisés;0
D12;Tumeur bénigne du côlon, du rectum, de l'anus et du canal anal;0
D14;Tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire;0
D21;Autres tumeurs bénignes du tissu conjonctif et des autres tissus mous;0
B49;Mycose, sans précision;0
B58;Toxoplasmose;0
B64;Maladie due à des protozoaires, sans précision;0
B67;Échinococcose;0
B69;Cysticercose;0
B75;Trichinose;0
B82;Parasitose intestinale, sans précision;0
B87;Myiase;0
B92;Séquelles de lèpre;0
B96;Autres agents bactériens précisés, cause de maladies classées dans d'autres chapitres;0
C02;Tumeur maligne de la langue, parties autres et non précisées;0
C06;Tumeur maligne de la bouche, parties autres et non précisées;0
C08;Tumeur maligne des glandes salivaires principales, autres et non précisées;0
C16;Tumeur maligne de l'estomac;0
C21;Tumeur maligne de l'anus et du canal anal;0
C31;Tumeur maligne des sinus de la face;0
C41;Tumeur maligne des os et du cartilage articulaire, de sièges autres et non précisés;0
C49;Tumeur maligne du tissu conjonctif et des autres tissus mous;0
C52;Tumeur maligne du vagin;0
C60;Tumeur maligne de la verge;0
C68;Tumeur maligne des organes urinaires, autres et non précisés;0
E03;Autres hypothyroïdies;0
E10;Diabète sucré de type 1;0
