CAM_PRS_IDE_COD;CAM_PRS_IDE_LIB
AAQP002;Électroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG]
AAQP009;Électroencéphalographie avec quantification, sur 32 dérivations ou plus
AAQP900;Électroencéphalographie avec modélisation de sources, sur 32 dérivations ou plus
AALA002;Implantation d'électrode subdurale pour enregistrement électrocorticographique, par craniotomie
AALB002;Implantation d'électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique
AAQP013;Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures
AAQP003;Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures
AAQP012;Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures
AMQP009;Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives
AMQP010;Polysomnographie de 4 à 8 heures, sans enregistrement vidéo
AMQP011;Polysomnographie de 4 à 8 heures, avec enregistrement vidéo
AMQP012;Polysomnographie de 8 à 12 heures, sans enregistrement vidéo
AMQP013;Polysomnographie de 8 à 12 heures, avec enregistrement vidéo
AMQP014;Polysomnographie de 12 à 24 heures, sans enregistrement vidéo
AMQP015;Polysomnographie de 12 à 24 heures, avec enregistrement vidéo
AJQP001;Mesure des réponses cutanées sympathiques par électrode de surface
ABLB001;Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques
ABLB002;Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne
ABLB003;Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne
AFLB004;Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques
ABGA001;Ablation d'un capteur de pression intracrânienne
ABQP001;Surveillance continue de la pression intracrânienne, par 24 heures
AAQM002;Échographie transfontanellaire de l'encéphale
AEQM001;Échographie transcutanée de la moelle épinière
AEQH002;Myélographie cervicale
AEQH001;Myélographie dorsale et/ou lombale
AFQH003;Myélographie avec scanographie de la colonne vertébrale [Myéloscanner]
AFQH002;Saccoradiculographie
AFQH001;Saccoradiculographie avec scanographie de la colonne vertébrale
ACQK001;Scanographie du crâne et de son contenu, sans injection de produit de contraste
ACQH003;Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste
ACQH001;Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]
ACQK003;Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique
ACQH002;Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste
ACQH004;Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste
ACQN001;Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste
ACQJ002;Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste
ACQN003;Remnographie [IRM] du crâne et de son contenu pour procédure stéréotaxique
ACQN002;Remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique
ACQN004;Remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion
ACQJ001;Remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques
AAQN004;Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices
AAQN900;Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles
AAQN901;Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions phasiques
AAQN902;Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI]
AAQN002;Spectroscopie par résonance magnétique cérébrale protonique localisée
AAQN903;Spectroscopie par résonance magnétique cérébrale du phosphore
ACQL007;Tomoscintigraphie de perfusion cérébrale sans test d'activation
ACQL005;Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe
ACQL008;Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique
ACQL004;Tomoscintigraphie de perfusion cérébrale en période critique
ACQL001;Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme
ACQL003;Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale
ACQL002;Tomoscintigraphie cérébrale par émission de positons, avec tépographe [caméra TEP] dédié
ABQL002;Cisternographie radio-isotopique
ABQL003;Recherche radio-isotopique d'une brèche ostéoméningée
ABML001;Vérification radio-isotopique d'une dérivation du liquide cérébrospinal
BLQP001;Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux
BLQP009;Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste
CDQP017;Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes
CDQP006;Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale
CDQP014;Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sous anesthésie générale
CDQP008;Enregistrement des potentiels évoqués auditifs de moyennes et de longues latences avec mesure des amplitudes et latences des réponses
CEQP008;Enregistrement des potentiels évoqués vestibulaires d'origine sacculaire [potentiels évoqués otolithiques] [potentiels évoqués sacculocolliques] par électromyographie
ANQP004;Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale d'un ou de 2 nerfs des membres supérieurs ou inférieurs
ANQP006;Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale de 3 nerfs ou plus des membres supérieurs et inférieurs
ANQP002;Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation des nerfs pudendaux [nerfs honteux]
AHQP004;Enregistrement des potentiels moteurs par stimulation corticale et/ou spinale
ALQP001;Enregistrement des potentiels évoqués cognitifs événementiels
ANQP005;Enregistrement des potentiels évoqués nociceptifs avec mesure des amplitudes et des latences des réponses corticales, par stimulation au laser
AZQP002;Enregistrement de potentiels évoqués, au lit du malade
ACQC001;Exploration intracrânienne, par vidéochirurgie
ABHB002;Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire
ABHB001;Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne
AFHB001;Ponction de liquide cérébrospinal, par voie infraoccipitale ou latérocervicale transcutanée [Ponction sousoccipitale]
AFHB002;Ponction de liquide cérébrospinal, par voie lombale transcutanée [Ponction lombaire]
ACHH001;Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage scanographique
ACHJ001;Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage remnographique [IRM]
ACHB001;Biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique
ACHA002;Biopsie de lésion intracrânienne, par craniotomie
ACHA003;Biopsie de lésion de la base du crâne, par endoscopie buccale ou nasale
ACHA001;Biopsie de lésion de la base du crâne, par abord transoral ou nasosphénoïdal
AHHB001;Biopsie de nerf périphérique, par voie transcutanée
AHHA001;Biopsie de nerf périphérique, par abord direct
AHHA002;Biopsie neuromusculaire, par abord direct
AGLB001;Injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique
ANLB004;Injection intrathécale d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique
ADLH001;Infiltration anesthésique du ganglion trigéminal avec évaluation diagnostique et pronostique, avec guidage radiologique
ADLH002;Infiltration anesthésique d'une branche de division du nerf trijumeau avec évaluation diagnostique et pronostique, avec guidage radiologique
ADLH003;Infiltration anesthésique du nerf glossopharyngien avec évaluation diagnostique et pronostique, avec guidage radiologique
AHLH001;Infiltration anesthésique de nerf spinal à son émergence rachidienne avec évaluation diagnostique et pronostique, avec guidage radiologique
AHLH011;Infiltration anesthésique de branche dorsale de nerf spinal avec évaluation diagnostique et pronostique, avec guidage radiologique
AHLH008;Infiltration anesthésique unilatérale ou bilatérale du nerf grand occipital [d'Arnold] avec évaluation diagnostique et pronostique, avec guidage radiologique
AHLB008;Infiltration anesthésique du plexus brachial, avec évaluation diagnostique et pronostique
AHLH016;Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage radiologique
AHLH005;Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage scanographique
AHLB007;Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, sans stimulodétection électrique
AHLB017;Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, avec stimulodétection électrique
AHLB005;Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, sans guidage
AHLH009;Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage radiologique
AHLH020;Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage scanographique
AJLH004;Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage radiologique
AJLH012;Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage scanographique
AJLB002;Infiltration anesthésique du ganglion cervicothoracique [stellaire], avec évaluation diagnostique et pronostique
AJLH014;Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage radiologique
AJLH018;Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage scanographique
AJLJ001;Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage échographique
AJLH006;Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage radiologique
AJLJ003;Infiltration anesthésique du plexus coliaque avec évaluation diagnostique et pronostique, avec guidage échographique
AJLH007;Infiltration anesthésique du plexus coliaque avec évaluation diagnostique et pronostique, avec guidage radiologique
AJLH015;Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage radiologique
AJLH001;Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage scanographique
AJLH002;Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage radiologique
AJLH010;Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage scanographique
ALQP006;Test d'évaluation d'un déficit cognitif
ALQP002;Test d'évaluation de l'efficience intellectuelle de l'enfant
ALQP005;Test d'évaluation de l'efficience intellectuelle de l'adulte
ALQP003;Test d'évaluation d'une dépression
ALQP004;Test d'évaluation des aspects psychopathologiques de la personnalité
ZFQP002;Test d'évaluation et de catégorisation des déficiences, incapacités et désavantages sociaux
ZFQP003;Test d'évaluation de la qualité de vie
AZQX005;Examen anatomopathologique à visée carcinologique de pièce d'exérèse de tumeur de l'encéphale, de la moelle épinière, ou des méninges
AZQP001;Actimétrie de longue durée
AANB001;Destruction d'une cible intracérébrale à visée fonctionnelle, par voie stéréotaxique
AAPA900;Déconnexion d'une zone épileptogène, par craniotomie
AAFA007;Excision d'une zone épileptogène, par craniotomie
AAFA004;Hémisphérectomie fonctionnelle, par craniotomie
AAFA005;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie
AAFA002;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie
AAFA006;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie
AAJH003;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique
AAJH001;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique
AAJA001;Évacuation de collection intracérébrale, par craniotomie
AAJA005;Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente
AAJH004;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique
AAJH002;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique
AAJA004;Évacuation d'hématome intracérébral non traumatique, par craniotomie
AAJA002;Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie
AAFA001;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie
AAFA008;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie
AAFA003;Exérèse de lésion du tronc cérébral, par craniotomie
AAJA003;Évacuation d'hématome intracérébelleux, par craniotomie
AAJA006;Parage de plaie craniocérébrale
ABJB002;Évacuation de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire
ABJB001;Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne
ABLA001;Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané
ABGA003;Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral
ABLB006;Séance d'administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique anticancéreux, par un dispositif implanté
ABCB001;Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne
ABCA003;Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct
ABCA002;Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct
ABCA004;Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct
ABCC001;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne
ABCA001;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie
ABMA003;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie
ABSA012;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie
ABSA010;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord paralatéronasal
ABSA011;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoïdal
ABSA005;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord orbitaire
ABSA007;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie
ABSA003;Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal
ABSA001;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie
ABSA002;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique
ABSA006;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord suprapétreux
ABSA004;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical
ABSA008;Fermeture d'une fistule postopératoire de liquide cérébrospinal de la base du crâne
ABSA009;Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie
ABFA007;Exérèse d'une fistule dermique avec prolongement intradural occipital
ABFA003;Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne
ABFA001;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire
ABFA004;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire
ABJA005;Évacuation d'un hématome extradural supratentoriel, par craniotomie
ABJA004;Évacuation d'un hématome extradural infratentoriel, par craniotomie
ABJA007;Évacuation d'un hématome extradural plurifocal supratentoriel et/ou infratentoriel, par craniotomie
ABJA002;Évacuation d'un hématome subdural aigu, par craniotomie
ABJA003;Évacuation d'un hématome subdural chronique unilatéral, par craniotomie
ABJA006;Évacuation d'un hématome subdural chronique bilatéral, par craniotomie
ABJA008;Évacuation d'un empyème intracrânien extracérébral, par craniotomie
ABJC900;Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie
ABJA001;Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie
ACFA001;Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale
ACFA015;Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale
ACFA026;Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale et abord ethmoïdal
ACFA022;Exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie
ACFA011;Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie
ACFA013;Exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie
ACFA006;Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux
ACFA029;Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial, par abord transpétreux
ACFA003;Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique
ACFA009;Exérèse de tumeur de la pointe du rocher, par abord suprapétreux
ACFA016;Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial, par abord transpétreux
ACFA025;Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial, par abord transpétreux
ACFA004;Exérèse de tumeur du clivus, par craniotomie
ACFA020;Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal
ACFA012;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord suprapétreux
ACFA007;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord translabyrinthique
ACFA005;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord rétrolabyrinthique présigmoïdien
ACFA010;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien
ACFA027;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord transotique
ACFA014;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par deux abords
ACFA024;Exérèse de tumeur du foramen magnum sans déroutement de l'artère vertébrale, par craniotomie
ACFA019;Exérèse de tumeur du foramen magnum avec déroutement de l'artère vertébrale, par craniotomie
ACFA023;Exérèse de tumeur du foramen jugulaire, par craniotomie
ACFA002;Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural, par craniotomie
ACFA028;Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural, par craniotomie
ACFA008;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural, par craniotomie
ACFA018;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural, par craniotomie
ABFA010;Exérèse de tumeur de la faux du cerveau, par craniotomie
ABFA008;Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle
ABFA009;Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle
ABFC002;Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne
ABFA005;Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie
ABFC001;Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne
ABFA002;Exérèse de lésion du troisième ventricule, par craniotomie
ABFA006;Exérèse de lésion du quatrième ventricule, par craniotomie
AENA001;Destruction sélective de la corne postérieure de la moelle épinière ou de la jonction radicellospinale, par abord postérieur
AEPB001;Cordotomie spinale, par voie transcutanée
AEPA002;Myélotomie, commissurotomie ou cordotomie spinale, par abord postérieur
AHPA025;Radicotomie spinale, par abord postérieur
AEPA001;Libération de moelle attachée, par abord postérieur
AEFA001;Exérèse de lésion de la moelle épinière sur un étage vertébral, par abord postérieur
AEFA002;Exérèse de lésion de la moelle épinière sur plusieurs étages vertébraux, par abord postérieur
AEFA003;Exérèse de lésion du cône médullaire, par abord postérieur
AHFA007;Exérèse de lésion de la queue de cheval sur un étage vertébral, par abord postérieur
AHFA003;Exérèse de lésion de la queue de cheval étendue sur plusieurs étages vertébraux [lésion géante de la queue de cheval], par abord postérieur
AHFA012;Exérèse de lipome de la queue de cheval avec fermeture de méningocèle ou de myéloméningocèle, par abord postérieur
AEJA004;Parage et fermeture de plaie pénétrante vertébrospinale, par abord postérieur
AEJA001;Parage et fermeture de plaie pénétrante vertébrospinale, par abord antérieur ou antérolatéral
AEJA005;Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale, par abord postérieur
AEJA002;Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale, par abord antérieur ou antérolatéral
AFSA002;Fermeture d'un spina bifida avec méningocèle, par abord postérieur
AFSA001;Fermeture d'un spina bifida avec myéloméningocèle, par abord postérieur
AEPA004;Libération d'une diastématomyélie, par abord postérieur
AFFA006;Exérèse d'une fistule dermique avec prolongement intradural rachidien
AEJA003;Évacuation d'hématome intraspinal [hématomyélie]
AFLB008;Pose d'un cathéter péridural [épidural], avec pose d'un système diffuseur ou d'une pompe implantable souscutané
AFLA003;Pose d'un cathéter intrathécal ou intrakystique spinal, avec pose d'un système diffuseur ou d'une pompe implantable souscutané
AFGA001;Ablation d'un système diffuseur ou d'une pompe implanté souscutané et du cathéter péridural [épidural] ou intrathécal spinal
AFKB002;Changement d'un cathéter péridural [épidural] relié à un système diffuseur ou à une pompe implanté souscutané
AFKB001;Changement d'un cathéter intrathécal spinal relié à un système diffuseur ou une pompe implanté souscutané
QZKA001;Changement d'un système diffuseur ou d'une pompe implanté souscutané sans changement du cathéter péridural [épidural] ou intrathécal spinal
AFLB007;Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, sans guidage
AFLB001;Injection péridurale [épidurale] de sang autologue [Blood patch]
AFLH001;Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, par voie transcutanée avec guidage radiologique
AFLB006;Injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée sans guidage
AFLH002;Injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée avec guidage radiologique
AFLB003;Séance d'injection intrathécale d'agent pharmacologique anticancéreux, par voie transcutanée
AFLB013;Séance d'administration intrathécale d'agent pharmacologique anticancéreux, par un dispositif implanté
AFLB017;Administration péridurale [épidurale] d'agent pharmacologique au long cours
AFLB016;Administration intrathécale ou intrakystique spinale d'agent pharmacologique au long cours
QZMP004;Remplissage secondaire ou reprogrammation d'une pompe souscutanée à infusion continue du système nerveux central
AFJB002;Évacuation de liquide cérébrospinal, par voie transcutanée lombale
AFJA001;Évacuation d'hématome péridural [épidural] rachidien, par abord direct
AFJA004;Évacuation d'hématome péridural [épidural] rachidien postopératoire, par abord direct
AFJA003;Évacuation d'hématome intradural rachidien, par abord direct
AFPA001;Mise à plat de lésion infectieuse péridurale rachidienne et/ou paravertébrale postopératoire [sepsis], par abord direct
AFCA004;Dérivation externe du liquide cérébrospinal subarachnoïdien rachidien
AFCA002;Dérivation lombopéritonéale du liquide cérébrospinal subarachnoïdien rachidien, par abord direct
AFCA001;Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale dans l'espace subarachnoïdien rachidien, par abord direct
AFCA003;Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale en dehors de l'espace subarachnoïdien rachidien, par abord direct
AFGA002;Ablation d'une dérivation interne intraspinale du liquide cérébrospinal rachidien, par abord direct
AFJA002;Parage d'une épidurite et/ou d'une spondylodiscite sans reconstruction vertébrale, par abord direct
AFJA005;Parage d'une épidurite et/ou d'une spondylodiscite avec reconstruction vertébrale par greffe et/ou ostéosynthèse, par abord direct
AFFA004;Exérèse de kyste méningé intracanalaire vertébral, par abord postérieur
AFSA003;Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire spinale
AFFA007;Exérèse de tumeur intradurale extraspinale, par abord postérieur ou postérolatéral
AFFA001;Exérèse de tumeur intradurale extraspinale sans reconstruction vertébrale, par abord antérieur ou antérolatéral
AFFA009;Exérèse de tumeur intradurale extraspinale avec reconstruction vertébrale, par abord antérieur ou antérolatéral
AFFA010;Exérèse de tumeur épidurale rachidienne, par abord postérieur
AFFA005;Exérèse de tumeur épidurale rachidienne avec ostéosynthèse vertébrale, par abord postérieur
AFFA003;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord postérieur ou postérolatéral
AFFA008;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord antérieur ou antérolatéral
