UCD_UCD_COD;UCD_PCD_COD;UCD_SVT_COD;UCD_INS_TOP;UCD_LAB_NOM;UCD_DOC_DTE;UCD_DOC_LIB;UCD_DER_MAJ;UCD_DSN_LIB;UCD_CND_LIB;UCD_OBS_LIB
0000009238861;0;0;0;SHIRE FRANCE;26JUN2018:00:00:00;JO;28JUN2018:00:00:00;REPLAGAL 1 mg/ml;solution a diluer pour perfusion en flacon de 3,5 ml;
0000009239145;0;0;0;SANOFI AVENTIS FRANCE;28MAY2009:00:00:00;JO;30DEC2009:00:00:00;CARBOPLATINE WINTHROP 10 MG/ML;solution pour perfusion en flacon de 15 ml;
0000009239228;0;0;0;VIIV HEALTHCARE SAS;28DEC2017:00:00:00;JO;02JAN2018:00:00:00;EPIVIR  300 mg;comprime pellicule;
0000009239429;0;0;0;MERCK GENERIQUES;29APR2009:00:00:00;JO;30DEC2009:00:00:00;SALBUTAMOL MERCK 5 MG/5 ML;Solution pour perfusion;Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)
0000009239671;0;0;0;SANOFI AVENTIS FRANCE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATINE DAKOTA PHARM 1 mg/ml;solution injectable en flacon de 25 ml;
0000009240036;0;0;0;ACTELION PHARMACEUTICALS FRANC;31AUG2017:00:00:00;JO;04SEP2017:00:00:00;TRACLEER 62,5 mg;comprime pellicule;
0000009240740;0;0;0;MYLAN SAS;10NOV2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATINE MYLAN 1 MG/ML;solution a diluer pour perfusion en flacon de 100 ml;
0000009241082;0;0;0;BRISTOL MYERS SQUIBB;29JUN2016:00:00:00;JO;01JUL2016:00:00:00;SUSTIVA 30 mg/ml;solution buvable;
0000009241892;0;0;0;SCHERING-PLOUGH;29APR2009:00:00:00;JO;30DEC2009:00:00:00;VIRAFERONPEG 150 mcg;poudre et solvant pour solution injectable en stylo prerempli;
0000009242650;0;0;0;AVENTIS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CERUBIDINE 20 mg;poudre pour solution pour perfusion;
0000009242911;0;0;0;TEVA SANTE;16FEB2017:00:00:00;JO;22FEB2017:00:00:00;TRISENOX 1 mg/ml;En ampoule de 10ml, solution a diluer pour perfusion;
0000009246553;0;0;0;MEDAC SAS;16NOV2012:00:00:00;JO;16NOV2012:00:00:00;CARBOPLATINE ARROW 10 mg/ml;solution pour perfusion en flacon 60 ml;
0000009246725;0;0;0;ACTELION PHARMACEUTICALS FRANC;28NOV2018:00:00:00;JO;29NOV2018:00:00:00;ZAVESCA 100 mg;gelule;
0000009247222;0;0;0;ARROW GENERIQUES;29APR2009:00:00:00;JO;30DEC2009:00:00:00;FLUOROURACILE ARROW 50 mg/ml;solution pour perfusion en flacon de 20 ml;
0000009248144;0;0;0;OCTAPHARMA SAS;17MAR2017:00:00:00;JO;21MAR2017:00:00:00;OCTAFIX 100 UI/ml;poudre et solvant pour solution injectable en flacon de 10 ml;
0000009249089;0;0;0;MERCK SHARP & DOHME-CHIBRET;23MAY2017:00:00:00;JO;29MAY2017:00:00:00;CANCIDAS 50 mg;poudre pour solution a diluer pour perfusion;
0000009249103;0;0;0;MERCK SHARP & DOHME-CHIBRET;23MAY2017:00:00:00;JO;29MAY2017:00:00:00;CANCIDAS 70 mg;poudre pour solution a diluer pour perfusion;
0000009249907;0;0;0;SANOFI-AVENTIS FRANCE;01MAR2018:00:00:00;JO;05MAR2018:00:00:00;ALDURAZYME 100 U/ml;solution pour perfusion;
0000009250187;0;0;0;ROCHE;22NOV2012:00:00:00;JO;22NOV2012:00:00:00;COPEGUS 200 mg;comprime pellicule;
0000009250572;0;0;0;MERCK SHARP & DOHME-CHIBRET;29APR2009:00:00:00;JO;30DEC2009:00:00:00;INVANZ 1 g;poudre pour solution a diluer pour perfusion;
0000009250767;0;0;0;WYETH PHARMACEUTICALS FRANCE;31JUL2016:00:00:00;JO;01AUG2016:00:00:00;INDUCTOS 12 mg;Kit pour implant;
0000009250980;0;0;0;BAXTER SAS;12JUL2017:00:00:00;JO;13JUL2017:00:00:00;RECOMBINATE 1000 UI;poudre et solvant pour solution injectable;
0000009250997;0;0;0;BAXTER SAS;12JUL2017:00:00:00;JO;13JUL2017:00:00:00;RECOMBINATE 250 UI;poudre et solvant pour solution injectable;
0000009009994;0;0;0;PROSTRAKAN PHARMA;29APR2009:00:00:00;JO;30DEC2009:00:00:00;BELUSTINE 40 mg;gelule;
0000009010750;0;0;0;BRISTOL MYERS SQUIBB;24APR2015:00:00:00;JO;24APR2015:00:00:00;BICNU 100 mg;lyophilisat et solution pour preparation injectable IV;
0000009019840;0;0;0;AVENTIS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATYL 25 mg;poudre et solvant pour solution pour perfusion;
0000009024114;0;0;0;PFIZER;21FEB2019:00:00:00;JO;21FEB2019:00:00:00;DEBRIDAT 50 mg/5 ml;solution injectable en ampoule;
0000009043494;0;0;0;LABORATOIRES DELBERT;19DEC2017:00:00:00;JO;26DEC2017:00:00:00;HEXASTAT 100 mg;gelule;
0000009058685;0;0;0;ETABL.PHARMAC. DE L'APHP AGEPS;24MAY2011:00:00:00;JO;25MAY2011:00:00:00;MEXILETINE AP-HP 200 MG;Gelule;
0000009076080;0;0;0;SCHERING-PLOUGH;29APR2009:00:00:00;JO;30DEC2009:00:00:00;PROGLICEM 25 mg;gelule;
0000009088284;0;0;0;PANPHARMA;29APR2009:00:00:00;JO;30DEC2009:00:00:00;STREPTOMYCINE PANPHARMA 1 g;1 Boite de 1, poudre pour preparation injectable;
0000009093061;0;0;0;SERB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;TIBERAL 500 MG;Comprimes;Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)
0000009109000;0;0;0;GENZYME SAS;20MAY2005:00:00:00;JO;22MAY2008:00:00:00;THYMOGLOBULINE 5 mg/ml;poudre+solvant;
0000009109862;0;0;0;SANOFI PASTEUR MSD SNC;28AUG2017:00:00:00;CNAMTS;16APR2018:00:00:00;VACCIN TETANIQUE PASTEUR;SUSPENSION INJECTABLE EN SERINGUE PREREMPLIE (VACCIN TETANIQUE ABSORBE);Voir note d'information N DGS/PP2/DGOS/PF2/DSS/1C/2017/258 du 28/08/2017 relative a la vente au public et au detail, a titre derogatoire et transitoire, par les pharmacies a usage interieur autorisees, de la specialite pharmaceutique VACCIN TETANIQUE PASTEUR, suspension injectable en seringue preremplie vaccin tetanique absorbe (anatoxine tetanique) et a ses conditions de prise en charge par l'assurance maladie dans ce cadre.
0000009118996;0;0;0;SCHERING-PLOUGH;29APR2009:00:00:00;JO;30DEC2009:00:00:00;PROGLICEM 100 mg;gelule;
0000009123201;0;0;0;CENTRE SPECIALITES PHARMACEUTI;29APR2009:00:00:00;JO;30DEC2009:00:00:00;ZANOSAR;lyophilisat pour preparation injectable;
0000009125157;0;0;0;SANOFI AVENTIS FRANCE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;TARGOCID 100 mg;lyophilisat et solution pour usage parenteral IV-IM;
0000009130945;0;0;0;ROCHE;01FEB2018:00:00:00;JO;02FEB2018:00:00:00;CYMEVAN 500 mg;lyophilisat pour usage parenteral (perfusion);
0000009137189;0;0;0;PIERRE FABRE MEDICAMENT;19FEB2010:00:00:00;JO;19FEB2010:00:00:00;NAVELBINE 50 mg/5 ml;solution injectable en flacon;
0000009137580;0;0;0;LES LABORATOIRES SERVIER;24FEB2015:00:00:00;JO;26FEB2015:00:00:00;MUPHORAN;poudre et solution pour usage parenteral a diluer (perfusion);
0000009144321;0;0;0;PFIZER PFE FRANCE;13NOV2018:00:00:00;JO;21NOV2018:00:00:00;TRIFLUCAN 2 mg/ml;solution pour perfusion en flacon de 100 ml;
0000009145355;0;0;0;PFIZER;19FEB2010:00:00:00;JO;19FEB2010:00:00:00;FARMORUBICINE 20 mg/10 ml;solution injectable pour perfusion en flacon verre;
0000009145450;0;0;0;DAKOTA PHARM;11AUG2009:00:00:00;JO;30DEC2009:00:00:00;CHLORHYDRATE DE DOXORUBICINE DAKOTA PHARM 50 MG;lyophilisat pour usage parenteral en flacon;
0000009149100;0;0;0;SANOFI AVENTIS FRANCE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATINE DAKOTA PHARM 25 mg/50 ml;solution injectable pour perfusion en flacon;
0000009149821;0;0;0;LEO FRANCE SA;29APR2009:00:00:00;JO;30DEC2009:00:00:00;UN-ALFA 1 microgrammes/0,5 ml;solution injectable IV en ampoule;
0000009153716;0;0;0;BRISTOL MYERS SQUIBB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;VIDEX 150 mg;comprime a croquer ou dispersible;
0000009154182;0;0;0;GLAXOSMITHKLINE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;RETROVIR 100 mg/10 ml;solution buvable en flacon;
0000009157364;0;0;0;BRISTOL MYERS SQUIBB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;VIDEX 2 g;poudre pour solution buvable en flacon;
0000009160490;0;0;0;GE HEALTHCARE SA;24FEB2015:00:00:00;JO;26FEB2015:00:00:00;METASTRON;solution injectable radioactive IV de chlorure de Strontium (89 SR);
0000009162336;0;0;0;BOEHRINGER INGELHEIM FRANCE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;IMUKIN 100 mg/0,5 ml;solution injectable;
0000009163577;0;0;0;BRISTOL MYERS SQUIBB;22FEB2017:00:00:00;JO;28FEB2017:00:00:00;TAXOL 6 mg/ml;solution a diluer pour perfusion en flacon de 5 ml;
0000009166908;0;0;0;NOVARTIS PHARMA SAS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;LAMPRENE 50 mg;capsule molle;
0000009168014;0;0;0;JANSSEN-CILAG SA;29APR2009:00:00:00;JO;30DEC2009:00:00:00;LEUSTATINE 10 mg/10ml;solution injectable pour perfusion en flacon;
0000009170169;0;0;0;LFB-BIOMEDICAMENTS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;FACTEUR VII LFB 500 UI/20 ml;poudre et solvant pour solution injectable;
0000009170175;0;0;0;LFB-BIOMEDICAMENTS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;HEMOLEVEN 1000 UI/10 ml;poudre et solvant pour solution injectable;
0000009170442;0;0;0;LFB-BIOMEDICAMENTS;13JUN2017:00:00:00;JO;26JUN2017:00:00:00;KASKADIL;poudre et solvant pour solution injectable (10 ml);
0000009170459;0;0;0;LFB-BIOMEDICAMENTS;13JUN2017:00:00:00;JO;26JUN2017:00:00:00;KASKADIL;poudre et solvant pour solution injectable (20 ml);
0000009171341;0;0;0;GENZYME;19FEB2010:00:00:00;JO;19FEB2010:00:00:00;FLUDARA 50 mg;poudre pour solution injectable ou perfusion;
0000009172607;0;0;0;SCHERING-PLOUGH;24FEB2015:00:00:00;JO;26FEB2015:00:00:00;ETHYOL 50 mg/ml;poudre pour solution pour perfusion en flacon de 500 mg;
0000009173311;0;0;0;PFIZER;22FEB2011:00:00:00;JO;23FEB2011:00:00:00;CAMPTO 20 MG/ML;Solution a diluer pour perfusion en flacon verre de 5 ml;
0000009173475;0;0;0;ORPHAN EUROPE;18SEP2015:00:00:00;JO;21SEP2015:00:00:00;NORMOSANG 25 mg/ml;1 Ampoule de 10 ml, solution a diluer pour perfusion;
0000009175511;0;0;0;CSL BEHRING GMBH;06DEC2017:00:00:00;JO;12DEC2017:00:00:00;SANDOGLOBULINE 1 g;poudre pour solution pour perfusion;
0000009175801;0;0;0;SANOFI AVENTIS FRANCE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;ETOPOSIDE DAKOTA PHARM 100 mg/5 ml;solution injectable pour perfusion;
0000009177177;0;0;0;CIS BIO INTERNATIONAL;12JUL2017:00:00:00;JO;13JUL2017:00:00:00;LIPIOCIS;solution pour injection;
0000009177616;0;0;0;BRISTOL MYERS SQUIBB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;ZERIT 40 mg;gelule;
0000009178082;0;0;0;AVENTIS;28FEB2012:00:00:00;JO;28FEB2012:00:00:00;TAXOTERE 20 mg;solution a diluer et solvant pour perfusion;
0000009179029;0;0;0;MEDIPHA SANTE;12OCT2018:00:00:00;JO;15OCT2018:00:00:00;CARDIOXANE 500 mg;INJ FL;
0000009179236;0;0;0;AVENTIS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATYL 25 mg/25 ml;solution injectable pour perfusion (I.V.) en flacon;
0000009180073;0;0;0;SCHERING-PLOUGH;29APR2009:00:00:00;JO;30DEC2009:00:00:00;TALOXA 400 mg;comprime;
0000009180802;0;0;0;MERCK SHARP & DOHME-CHIBRET;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CRIXIVAN 200 mg;gelule;
0000009181664;0;0;0;ROCHE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;INVIRASE 200 mg;gelule;
0000009181782;0;0;0;NOVO NORDISK PHARMACEUTIQUE;29NOV2011:00:00:00;JO;02DEC2011:00:00:00;NOVOSEVEN 60 KUI;poudre et solvant pour solution injectable;
0000009182190;0;0;0;LILLY FRANCE SAS;21DEC2016:00:00:00;JO;27DEC2016:00:00:00;GEMZAR 1000 mg;lyophilisat pour usage parenteral (I.V.), en flacon de 50ml;
0000009182209;0;0;0;LILLY FRANCE SAS;21DEC2016:00:00:00;JO;27DEC2016:00:00:00;GEMZAR 200 mg;lyophilisat pour usage parenteral (IV), en flacon de 10ml;
0000009182480;0;0;0;PFIZER;19FEB2010:00:00:00;JO;19FEB2010:00:00:00;FARMORUBICINE 200 mg/ 100ml;solution injectable pour perfusion en flacon verre;
0000009182830;0;0;0;LFB-BIOMEDICAMENTS;20FEB2018:00:00:00;JO;23FEB2018:00:00:00;TEGELINE 50 MG/ML;poudre et solvant pour solution pour perfusion (200 ml);
0000009182853;0;0;0;LFB-BIOMEDICAMENTS;20FEB2018:00:00:00;JO;23FEB2018:00:00:00;TEGELINE 50 MG/ML;poudre et solvant pour solution pour perfusion (100 ml);
0000009183203;0;0;0;VIIV HEALTHCARE SAS;28DEC2017:00:00:00;JO;02JAN2018:00:00:00;EPIVIR 150 mg;comprime pellicule;
0000009183947;0;0;0;ASPEN FRANCE;06DEC2016:00:00:00;JO;12DEC2016:00:00:00;ORGARAN 750 UI;anti Xa/0,6 ml, solution injectable en ampoule;
0000009184438;0;0;0;BRISTOL MYERS SQUIBB;24APR2015:00:00:00;JO;24APR2015:00:00:00;ETOPOPHOS 100 mg;lyophilisat pour usage parenteral;
0000009184711;0;0;0;GENOPHARM;29APR2009:00:00:00;JO;30DEC2009:00:00:00;VEPESIDE 50 mg/2,5 ml;solution injectable pour perfusion;
0000009185923;0;0;0;BRISTOL MYERS SQUIBB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;VIDEX 4 g;poudre pour solution buvable en flacon;
0000009185946;0;0;0;BRISTOL MYERS SQUIBB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;ZERIT 200 mg;1 mg/ml poudre pour solution buvable;
0000009187939;0;0;0;ASPEN FRANCE;13NOV2018:00:00:00;JO;19NOV2018:00:00:00;NAROPEINE 2 MG/ML;SOLUTION INJECTABLE EN POCHE DE 100 ML;
0000009189944;0;0;0;BRISTOL MYERS SQUIBB;22FEB2017:00:00:00;JO;28FEB2017:00:00:00;TAXOL 6 mg/ml;solution a diluer pour perfusion en flacon de 16,7 ml;
0000009191556;0;0;0;L'ARGUENON INTERNATIONAL-SERB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;FLUOROURACILE SERB 500 mg/10 ml;solution injectable pour perfusion en flacon;
0000009192432;0;0;0;GLAXOSMITHKLINE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;RETROVIR 300 mg;comprime;
0000009194460;0;0;0;JANSSEN-CILAG;05DEC2018:00:00:00;JO;05DEC2018:00:00:00;CAELYX 2 mg/ml;Solution a diluer pour perfusion, flacon de 10 ml;Voir JO du 24/02/15 pour indications therapeutiques remboursables.
0000009194804;0;0;0;BAXTER SAS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;UROMITEXAN 600 mg;comprime;
0000009194856;0;0;0;AGUETTANT;29APR2009:00:00:00;JO;30DEC2009:00:00:00;AMIKACINE AGUETTANT 250 MG;Poudre pour solution injectable;Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)
0000009194862;0;0;0;AGUETTANT;29APR2009:00:00:00;JO;30DEC2009:00:00:00;AMIKACINE AGUETTANT 500 MG;Poudre pour solution injectable;Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)
0000009195726;0;0;0;MYLAN SAS;10NOV2009:00:00:00;JO;30DEC2009:00:00:00;ETOPOSIDE MYLAN 20 MG/ML;solution a diluer pour perfusion en flacon de 5 ml;
0000009195732;0;0;0;MYLAN SAS;10NOV2009:00:00:00;JO;30DEC2009:00:00:00;VANCOMYCINE MYLAN 1 G;poudre pour solution pour perfusion;
0000009195749;0;0;0;MYLAN SAS;10NOV2009:00:00:00;JO;30DEC2009:00:00:00;VANCOMYCINE MYLAN 500 MG;poudre pour solution pour perfusion (IV) en flacon;
0000009196163;0;0;0;TEVA PHARMA BV;29APR2009:00:00:00;JO;30DEC2009:00:00:00;FLUOROURACILE TEVA 50 mg/ml;solution pour perfusion en flacon de 20 ml;
0000009196186;0;0;0;TEVA CLASSICS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;FLUOROURACILE TEVA 50 mg/ ml;solution pour perfusion en flacon de 5 ml;
0000009196192;0;0;0;TEVA CLASSICS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;FLUOROURACILE TEVA 50 mg/ml;solution pour perfusion en flacon de 10 ml;
0000009196246;0;0;0;CEPHALON;29APR2009:00:00:00;JO;30DEC2009:00:00:00;ABELCET 5 mg/ml;suspension a diluer pour perfusion en flacon de 20 ml;
0000009196476;0;0;0;BOEHRINGER INGELHEIM FRANCE;21DEC2017:00:00:00;JO;26DEC2017:00:00:00;VIRAMUNE 200 mg;comprime;
0000009197518;0;0;0;SCHERING-PLOUGH;29APR2009:00:00:00;JO;30DEC2009:00:00:00;INTRONA 18 M UI/3 ml;solution injectable en flacon;
0000009200031;0;0;0;ORPHAN EUROPE SARL;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CYSTAGON 150 mg;gelule;
0000009200692;0;0;0;VIIV HEALTHCARE SAS;13NOV2018:00:00:00;JO;19NOV2018:00:00:00;COMBIVIR;comprime pellicule;
0000009200982;0;0;0;WYETH PHARMACEUTICALS FRANCE;04MAY2017:00:00:00;JO;09MAY2017:00:00:00;BENEFIX 1 000 UI;poudre et solvant pour solution injectable;
0000009201065;0;0;0;BRISTOL MYERS SQUIBB;29JUN2016:00:00:00;JO;01JUL2016:00:00:00;SUSTIVA 200 mg;gelule;
0000009202308;0;0;0;SANOFI AVENTIS FRANCE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATINE DAKOTA PHARM 1 mg/ml;solution injectable en flacon de 10 ml;
0000009202320;0;0;0;SANOFI AVENTIS FRANCE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATINE DAKOTA PHARM 1 mg/ml;solution injectable en flacon de 50 ml;
0000009202840;0;0;0;PFIZER;19FEB2010:00:00:00;JO;19FEB2010:00:00:00;FARMORUBICINE 20 mg/10 ml;solution injectable pour perfusion en flacon polypropylene;
0000009203058;0;0;0;MSD FRANCE;20DEC2018:00:00:00;JO;20DEC2018:00:00:00;TEMODAL 100 mg;gelule;
0000009203070;0;0;0;MSD FRANCE;20DEC2018:00:00:00;JO;20DEC2018:00:00:00;TEMODAL 250 mg;gelule;
0000009203087;0;0;0;MSD FRANCE;20DEC2018:00:00:00;JO;20DEC2018:00:00:00;TEMODAL 5 mg;gelule;
0000009203383;0;0;0;BOEHRINGER INGELHEIM FRANCE;07MAY2010:00:00:00;JO;07MAY2010:00:00:00;VIRAMUNE 50 mg/5 ml;suspension buvable;
0000009203408;0;0;0;GILEAD SCIENCES;12JAN2017:00:00:00;JO;16JAN2017:00:00:00;AMBISOME 50 mg;poudre pour suspension de liposomes pour perfusion en flacon de 30 ml;
0000009206453;0;0;0;AVENTIS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;REVASC 15 MG;Poudre et solvant pour solution injectable;Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)
0000009206714;0;0;0;SCHERING-PLOUGH;29APR2009:00:00:00;JO;30DEC2009:00:00:00;INTRONA 18 MUI/1,2 ml;solution injectable en stylo multidose + 12 sets d'injection;
0000009206921;0;0;0;SANOFI AVENTIS FRANCE;05JUN2018:00:00:00;JO;11JUN2018:00:00:00;THYROGEN 0,9 mg;INJ FL;
0000009208268;0;0;0;TEVA CLASSICS;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATINE TEVA 1 mg/1 ml;solution pour perfusion en flacon de 50 ml;
0000009208570;0;0;0;SCHERING-PLOUGH;10FEB2012:00:00:00;JO;10FEB2012:00:00:00;REBETOL 200 mg;gelules;
0000009210213;0;0;0;TEVA CLASSICS;19JUN2009:00:00:00;JO;30DEC2009:00:00:00;CARBOPLATINE TEVA 10 mg/ml;solution pour perfusion en flacon de 15 ml;
0000009211359;0;0;0;VIIV HEALTHCARE SAS;31JUL2018:00:00:00;JO;07SEP2018:00:00:00;ZIAGEN 300 mg;comprime pellicule;
0000009211371;0;0;0;LFB-BIOMEDICAMENTS;21DEC2018:00:00:00;JO;21DEC2018:00:00:00;ACLOTINE 100 UI/ml;10 ml poudre et solvant pour solution injectable;
0000009212011;0;0;0;BRISTOL MYERS SQUIBB;29JUN2016:00:00:00;JO;01JUL2016:00:00:00;SUSTIVA 100 mg;gelule;
0000009212436;0;0;0;PANPHARMA;12SEP2018:00:00:00;JO;18SEP2018:00:00:00;CEFOXITINE PANPHARMA 1 g;poudre pour solution injectable (IV);
0000009212488;0;0;0;OCTAPHARMA SAS;20FEB2018:00:00:00;JO;28FEB2018:00:00:00;OCTAGAM 5 G/100 ML;solution pour perfusion;Voir JO du 07/08/15 et du 02/10/15 pour indications therapeutiques remboursables: extensions d'indications
0000009212494;0;0;0;OCTAPHARMA SAS;20FEB2018:00:00:00;JO;28FEB2018:00:00:00;OCTAGAM 10 G/200 ML;solution pour perfusion;Voir JO du 07/08/15 et du 02/10/15 pour indications therapeutiques remboursables: extensions d'indications.
0000009212502;0;0;0;OCTAPHARMA FRANCE;20FEB2018:00:00:00;JO;01MAR2018:00:00:00;OCTAGAM 2,5 G/50 ML;solution pour perfusion;Voir JO du 07/08/15 et du 02/10/15, pour indications therapeutiques remboursables: extensions d'indications.
0000009212525;0;0;0;GLAXOSMITHKLINE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;ZEFFIX 100 mg;comprime pellicule;
0000009212531;0;0;0;GLAXOSMITHKLINE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;ZEFFIX 5 mg/ml;solution buvable en flacon de 240 ml;
0000009212548;0;0;0;GLAXOSMITHKLINE;12MAR2010:00:00:00;JO;19MAR2010:00:00:00;ZIAGEN 20 mg/ml;solution buvable;
0000009212956;0;0;0;CHIRON FRANCE;01JUL2011:00:00:00;CNAMTS;01JUL2011:00:00:00;MACROLIN 4,5 M UI;poudre pour solution injectable;
0000009213737;0;0;0;MSD FRANCE;20FEB2018:00:00:00;JO;27FEB2018:00:00:00;REMICADE 100 mg;poudre pour solution a diluer pour perfusion en flacon de 20 ml;
0000009213743;0;0;0;ABBVIE;19DEC2017:00:00:00;JO;27DEC2017:00:00:00;SYNAGIS 100 mg;poudre et solvant pour solution injectable;
0000009213766;0;0;0;ABBVIE;19DEC2017:00:00:00;JO;27DEC2017:00:00:00;SYNAGIS 50 mg;poudre et solvant pour solution injectable;
0000009216925;0;0;0;SANOFI AVENTIS FRANCE;29APR2009:00:00:00;JO;30DEC2009:00:00:00;FLUOROURACILE DAKOTA 50 mg/ml;solution a diluer pour perfusion en flacon de 100 ml;
0000009217362;0;0;0;BRISTOL MYERS SQUIBB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;VIDEX 125 mg;gelule gastro-resistante;
0000009217379;0;0;0;BRISTOL MYERS SQUIBB;29APR2009:00:00:00;JO;30DEC2009:00:00:00;VIDEX 200 mg;gelule gastro-resistante;
0000009217600;0;0;0;MYLAN SAS;10NOV2009:00:00:00;JO;30DEC2009:00:00:00;CISPLATINE MYLAN 25 MG/25 ML;solution a diluer pour perfusion en flacon de 25 ml;
0000009218226;0;0;0;MERCK GENERIQUES;29APR2009:00:00:00;JO;30DEC2009:00:00:00;CEFOTAXIME MERCK 2 G;Poudre pour solution injectable;Medicament retrocede pris en charge a titre derogatoire (JO du 28/07/04 - decision du 15/07/04)
0000009218261;0;0;0;GILEAD SCIENCES;12JAN2017:00:00:00;JO;16JAN2017:00:00:00;AMBISOME 50 mg;poudre pour suspension de liposomes pour perfusion en flacon de 15 ml;
0000009219390;0;0;0;SCHERING-PLOUGH;24FEB2015:00:00:00;JO;26FEB2015:00:00:00;ETHYOL 50 mg/ml;poudre pour solution pour perfusion en flacon de 375 mg;
0000009219740;0;0;0;SANOFI AVENTIS FRANCE;28NOV2018:00:00:00;JO;04DEC2018:00:00:00;CEREZYME 400 U;poudre pour solution a diluer pour perfusion;
