HOS_DMT_COD;HOS_DMT_LIB;TEC_COL
140;CHIRURGIE NOUVEAUX-N¿S ET NOURRISSONS;0
141;REANIMATION CHIRURGICALE INDIFFERENCIEE (Y COMPRIS SOINS INTENSIFS);0
142;SURVEILLANCE CONTINUE EN CHIRURGIE (NON COMPRIS SOINS INTENSIFS);0
143;SPECIALITES CHIRURGICALES INDIFFERENCIEES;0
144;CHIRURGIE CARCINOLOGIQUE;0
145;CHIRURGIE DES GRANDS BRULES;0
146;CHIRURGIE DIGESTIVE;0
147;CHIRURGIE THORACIQUE ET CARDIOVASCULAIRE INDIFFERENCIEES;0
148;CHIRURGIE THORACO-PULMONAIRE;0
149;CHIRURGIE VASCULAIRE;0
150;CHIRURGIE CARDIO-VASCULAIRE;0
151;NEURO-CHIRURGIE;0
152;ORTHOP. TRAUMATO. ET CHIRURGIE PLASTIQUE ET REP. INDIFFERENCIEES;0
153;ORTHOPEDIE - TRAUMATOLOGIE;0
154;CHIRURGIE PLASTIQUE ET REPARATRICE;0
155;O.R.L. ET OPHTALMOLOGIE INDIFFERENCIES;0
156;O.R.L.;0
157;OPHTALMOLOGIE;0
158;STOMATOLOGIE ET CHIRURGIE MAXILLO-FACIALE INDIFFERENCIEES;0
159;STOMATOLOGIE;0
160;CHIRURGIE MAXILLO-FACIALE;0
161;UROLOGIE;0
162;O.R.L., OPHTAMOLOGIE ET STOMATOLOGIE INDIFFERENCIES;0
163;GYNECOLOGIE, OBSTETRIQUE INDIFFERENCIEES;0
164;GYNECOLOGIE;0
165;OBSTETRIQUE;0
166;CHRONIQUES ET CONVALESCENTS INDIFFERENCIES;0
167;CHRONIQUES;0
168;REPOS - CONVALESCENCE - REGIME INDIFFERENCIES;0
169;REPOS;0
170;CONVALESCENCE;0
171;REGIME DIETETIQUE;0
172;REEDUCATION FONCTIONNELLE ET READAPTATION POLYVALENTE;0
173;MALADIE APPAREIL DIGESTIF - URINAIRE ET MALADIE METABOLIQUE;0
174;MEDECINE GENERALE ET SPECIALITES MEDICALES INDIFFERENCIEES;0
176;LONG SEJOUR POUR PERSONNES AYANT PERDU LEUR AUTONOMIE DE VIE;0
177;CURE MEDICALE EN ETABLISSEMENT D'HEBERGEMENT POUR PERSONNES AGEES;0
178;REEDUCATION FONCTIONNELLE ET READAPTATION MOTRICE;0
179;Rééducation fonctionnelle et réadaptation neurologique;0
180;REEDUCATION DES AFFECTIONS RESPIRATOIRES;0
181;CHIRURGIE GENERALE ET SPECIALITES CHIRURGICALES INDIFFERENCIEES;0
182;REEDUCATION DES MALADIES CARDIOVASCULAIRES;0
183;MATERNITE OBSTETRIQUE SANS POSSIBILITES CHIRURGICALES;0
184;REEDUCATION DES AFFECTIONS HEPATO-DIGESTIVES;0
185;REPOS CONVALESCENCE INDIFFERENCIES;0
187;REEDUCATION FONCTIONNELLE ET READAPTATION (AUTRE);0
189;CURE THERMALE DES VOIES RESPIRATOIRES;0
190;CURE THERMALE DE L'APPAREIL CARDIO-VASCULAIRE;0
191;CURE THERMALE DES AFFECTIONS HEPATO-DIGESTIVES;0
192;CURE THERMALE DE L'APPAREIL GENITO-URINAIRE;0
193;CURE THERMALE EN RHUMATOLOGIE ET SEQUELLES DE TRAUMAT. OSTEO-ARTICUL.;0
194;CURE THERMALE EN DERMATOLOGIE;0
195;LUTTE CONTRE LES TOXICOMANIES (AUTRES QUE L'ALCOOLISME);0
196;LUTTE CONTRE L'ALCOOLISME (Y COMPRIS ALCOOLOGIE);0
198;LUTTE CONTRE LE CANCER (C.R.L.C.);0
206;LUTTE ANTI-HANSENIENNE (LEPRE);0
214;POST-CURE POUR ALCOOLIQUES;0
217;LUTTE CONTRE TUBERCULOSE INDIFFERENCIEE;0
219;LUTTE CONTRE LA TUBERCULOSE PULMONAIRE (SANA.PULM., HOTEL DE CURE);0
220;LUTTE CONTRE LA TUBERCULOSE EXTRA-PULMONAIRE;0
221;CURE ET REPOS EN PREVENTORIUM;0
222;TRAITEMENT PR¿VENTIF DE LA TUBERCULOSE (AERIUM);0
223;MEDECINE GENERALE OU POLYVALENTE                (DEBUT:010793);0
224;OBSERVATION ET TRAITEMENT DES PNEUMOCONIOSES;0
225;MEDECINE INTERNE                                (DEBUT:010793);0
226;ACCUEIL ET ORIENT. DES MALADES ATTEINTS OU SUSPECT. DE TUBERC. PULM.;0
227;POST-CURE POUR TUBERCULEUX;0
230;PSYCHIATRIE GENERALE;0
236;PSYCHIATRIE INFANTO-JUVENILE;0
252;POUPONNIERE ... CARACTERE SANITAIRE (HEBERGEMENT ET SOINS EN...);0
263;PLACEMENT FAMILIALE SANITAIRE;0
278;AIDE PSYCHOLOGIQUE UNIVERSITAIRE;0
279;EDUCATION GENERALE ET SOINS POUR ARRIERES PROFONDS;0
280;EDUCATION GENERALE ET SOINS POUR ARRIERES PROFONDS ET DEBILES PROFONDS;0
281;EDUCATION GENERALE ET SOINS POUR DEBILES PROFONDS;0
282;EDUCATION GENERALE ET SOINS POUR DEBILES MOYENS;0
283;EDUCATION GENERALE ET SOINS POUR DEBILES LEGERS;0
284;EDUCATION GENERALE ET SOINS POUR DEBILES LEGERS ET MOYENS;0
285;EDUCATION GENERALE ET SOINS POUR DEBILES MOYENS ET PROFONDS;0
286;EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES PROFONDS;0
287;EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES MOYENS;0
288;EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES LEGERS;0
289;EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES LEGERS ET MOYENS;0
290;EDUCATION PROFESSIONNELLE ET SOINS POUR DEBILES MOYENS ET PROFONDS;0
291;EDUCATION GENERALE ET SOINS POUR ENFANTS CARACTERIELS;0
292;EDUCATION GENERALE ET SOINS POUR ENFANTS POLY-HANDICAPES;0
293;EDUCATION GENERALE ET SOINS POUR INFIRMES MOTEUR CEREBRAUX;0
294;EDUCATION GENERALE ET SOINS POUR INFIRMES MOTEUR;0
295;EDUCATION GENERALE ET SOINS POUR DEFICIENTS VISUELS;0
296;EDUCATION GENERALE ET SOINS POUR AVEUGLES;0
297;EDUCATION GENERALE ET SOINS POUR AMBLYOPES;0
298;EDUCATION GENERALE ET SOINS POUR DEFICIENTS AUDITIFS;0
299;EDUCATION GENERALE ET SOINS POUR SOURDS;0
300;EDUCATION GENERALE ET SOINS POUR MAL-ENTENDANTS;0
301;EDUCATION GENERALE ET SOINS POUR DEFICIENTS VISUELS ET AUDITIFS;0
302;CHIMIOTHERAPIE EN HEMATOLOGIE ET CANCEROLOGIE;0
303;URGENCE MEDICALE (SERVICE DE PORTE);0
304;TRANSPLANTATION DU FOIE;0
305;TRANSPLANTATIONS RENALES;0
306;TRANSPLANTATION CARDIAQUES;0
307;URGENCE CHIRURGICALE (SERVICE DE PORTE);0
308;URGENCE INDIFFERENCIEE (SERVICE DE PORTE);0
309;INTERRUPTION VOLONTAIRE DE GROSSESSE;0
310;EXAMENS DE SANTE ET BILANS;0
311;TRANSPLANTATION COEUR-POUMON;0
312;NEPHROLOGIE;0
313;PSYCHIATRIE (SORTIE D'ESSAI);0
314;ALLOGREFFE DE MOELLE OSSEUSE;0
316;AUTRES TRANSPLANTATIONS D'ORGANES;0
318;ACTION MEDICO-SOCIALE PRECOCE INDIFFERENCIEE;0
319;SOINS ET EDUCATION SPECIALISEE ... DOMICILE POUR ENFANTS HANDICAPES;0
320;ACTIVITE DES CMPP;0
321;ACTION MEDICO-SOCIALE PRECOCE POUR DEFICIENTS AUDITIFS;0
322;ACTION MEDICO-SOCIALE PRECOCE POUR DEFICIENTS VISUELS;0
323;ACTION MEDICO-SOCIALE PRECOCE POUR ENFANTS ATTEINTS DE TROUBLES MOTEURS;0
324;ACTION MEDICO-SOCIALE PRECOCE POUR ENFANTS ATTEINTS D'UN HANDICAP MENT.;0
325;PLACEMENT FAMILIAL SPECIALISE POUR ENFANTS HANDICAPES;0
333;HEBERGEMENT OUVERT POUR HANDICAPES PHYSIQUES;0
334;HEBERGEMENT OUVERT POUR HANDICAPES MENTAUX;0
338;REEDUCATION PROFESSIONNELLE POUR HANDICAPES PHYSIQUES;0
339;REEDUCATION PROFESSIONNELLE POUR HANDICAPES MENTAUX;0
340;HEBERGEMENT EN MAISON D'ACCUEIL SPECIALISEE HANDICAPES PHYSIQUES;0
341;HEBERGEMENT EN MAISON D'ACCUEIL SPECIALISEE HANDICAPES MENTAUX;0
342;HEBERGEMENT EN MAISON D'ACCUEIL SPECIALISEE HAND. PHYS. ET MENT.;0
343;HOSPICES INDIFFERENCIE;0
344;HOSPICES VALIDES;0
345;HOSPICES SEMI-VALIDES;0
346;HOSPICES INVALIDES;0
347;MAISON DE RETRAITE;0
348;MAISON DE RETRAITE VALIDES;0
349;MAISON DE RETRAITE INVALIDES;0
350;LOGEMENT FOYER POUR PERSONNES AGEES F1;0
351;LOGEMENT FOYER POUR PERSONNES AGEES F2;0
355;ACTIVITE DES CENTRES DE JOUR POUR PERSONNES AGEES;0
358;SOINS ... DOMICILE;0
389;LUTTE CONTRE LA STERELITE;0
397;MAISON D'ACCUEIL SPECIALISEE POUR SUR-HANDICAPES (HEBERGEMENT EN..);0
398;PLACEMENT FAMILIAL SPECIALISE POUR ADULTES HANDICAPES;0
399;PREORIENTATION POUR ADULTES HANDICAPES;0
401;UNITE DE PROXI.D ACCUEIL DE TRAIT.ET D ORIENT. URGENCES (UPATOU) POUR LES MCOO;0
457;CURE MEDICALE SPECIALISEE CONTRE LA TUBERCULOSE INDIFFERENCIEE;0
458;CURE MEDICALE SPECIALISEE CONTRE LA TUBERCULOSE PULMONAIRE;0
459;CURE MEDICALE SPECIALISEE CONTRE LA TUBERCULOSE EXTRA-PULMONAIRE;0
460;CURE MEDICALE SPECIALISEE CONTRE LA TUBERCULOSE (PREV.);0
462;AUTRE CURE MEDICALE SPECIALISEE POUR ENFANTS (AERIUM);0
463;AUTRE CURE MEDICALE SPECIALISEE POUR TOUS AGES;0
464;CURE MEDICALE SPECIALISEE EN PNEUMOLOGIE POUR ENFANTS;0
465;CURE MEDICALE SPECIALISEE EN PNEUMOLOGIE POUR TOUS AGES;0
466;CONVALESCENCE ET READAPTATION POUR PERSONNES AGEES;0
467;CURE MEDICALE SPECIALISEE EN CARDIOLOGIE POUR ENFANTS;0
468;CURE MEDICALE SPECIALISEE EN CARDIOLOGIE POUR TOUS AGES;0
552;ENTRAINEMENT ... L'HEMODIALYSE ... DOMICILE ET ... L'AUTODIALYSE;0
553;ENTRAINEMENT ... LA DIALYSE PERITONEALE ... DOMICILE;0
554;ENTRAINEMENT ... LA DIALYSE PERITONEALE CONTINUE;0
555;DIALYSE PERITONEALE;0
556;DIALYSE PERITONEALE CONTINUE;0
557;O.R.L. ET STOMATOLOGIE INDIFFERENCIES;0
558;LOGEMENT FOYER ET SECTION DE CURE MEDICALE INDIFFERENCIEES;0
559;EDUCATION GENERALE ET SOINS POUR I.M ET I.M.C.;0
560;MAISON DE RETRAITE ET SECTION DE CURE MEDICALE INDIFFERENCIEES;0
567;ACTION SOCIO-EDUCATIVE LIEE AU LOGEMENT;0
573;HEBERGEMENT OUVERT POUR HANDICAPES PHYSIQUES ET MENTAUX;0
575;REEDUCATION PROFESSIONNELLE POUR HANDICAPES PHYSIQUES ET MENTAUX;0
576;HEBERGEMENT EN FOYER DE VIE POUR HANDICAPES PHYSIQUES;0
577;HEBERGEMENT EN FOYER DE VIE POUR HANDICAPES MENTAUX;0
578;HEBERGEMENT EN FOYER DE VIE POUR HANDICAPES PHYSIQUES ET MENTAUX;0
586;HOSPICE ET SECTION DE CURE MEDICALE INDIFFERENCIES;0
587;MAISON DE RETRAITE SEMI-VALIDE;0
588;SOINS COURANTS EN ETABLISSEMENTS D'HEBERGEMENT POUR PERSONNES AGEES;0
590;EDUCATION GENERALE ET PROF. INDIFFER. ET SOINS POUR ARRIERES PROFONDS;0
591;EDUCATION GENERALE ET PROF. INDIFFER. ET SOINS ARRIERES ET DEB. PROF;0
592;EDUCATION GENERALE ET PROF. INDIFFER. ET SOINS DEBILES PROFONDS;0
593;ACCUEIL DE L'ENFANT ACCOMPAGNANT LA MERE CONVALESCENTE;0
594;REPOS PRENATAL;0
595;CONVALESCENCE POST-NATALE;0
604;CURE MEDICALE NON SPECIALISEE POUR ENFANTS (MECS OUVERTE EN PERMANENCE);0
605;CURE MEDICALE NON SPECIALISEE POUR ENFANTS (MECS OUVERTE TEMPORAIRE);0
606;CURE THERMALE POUR ENFANTS (MECS OUVERTE EN PERMANENCE);0
607;CURE THERMALE POUR ENFANTS (MECS OUVERTE DE FAÇON TEMPORAIRE);0
608;CURE THERM.ENFANTS AFF. CHRON. NON TUB. VOIES RESP.(MECS OUV. PERM.);0
609;CURE THERM.ENFANTS AFF. CHRON. NON TUB. VOIES RESP.(MECS OUV. TEMP.);0
610;CURE MEDICALE POUR ENFANTS CONV. RHUMAT. AIGUS (MECS OUV.PERM.);0
611;CURE MEDICALE POUR ENFANTS CONV. RHUMAT. AIGUS (MECS OUV.TEMP.);0
612;CURE MEDICALE POUR ENFANTS DIABETIQUES(MECS OUV.PERM.);0
613;CURE MEDICALE POUR ENFANTS DIABETIQUES(MECS OUV.TEMP.);0
614;CURE MEDICALE POUR ENFANTS EPILEPTIQUES (MECS OUV.PERM.);0
615;CURE MEDICALE POUR ENFANTS EPILEPTIQUES (MECS OUV.TEMP.);0
616;CURE MEDICALE POUR ENFANTS DEFICIENCE TEMP. SOMATO.PSYCHO.(MECS PERM.);0
617;CURE MEDICALE POUR ENFANTS DEFICIENCE TEMP. SOMATO.PSYCHO.(MECS TEMP.);0
618;CURE MEDICALE POUR ENFANTS HEMOPHILES (MECS PERM.);0
619;CURE MEDICALE POUR ENFANTS HEMOPHILES (MECS TEMP.);0
620;CURE MEDICALE POUR ENFANTS ATTEINTS D'INFIRM. ORTHOPED.(MECS PERM.);0
621;CURE MEDICALE POUR ENFANTS ATTEINTS D'INFIRM. ORTHOPED.(MECS TEMP.);0
622;CURE MEDICALE POUR ENFANTS ENURETIQUES (MECS PERM.);0
623;CURE MEDICALE POUR ENFANTS ENURETIQUES (MECS TEMP.);0
624;AUTRE CURE MEDICALE SPECIALISEE (MECS PERM.);0
625;AUTRE CURE MEDICALE SPECIALISEE (MECS TEMP.);0
627;MOYEN SEJOUR INDIFFERENCIE;0
628;ORTHOPEDIE;0
630;EDUCATION GENERALE ET PROFESS. INDIF. ET SOINS AUTRE CATEG.DE CLIENTELE;0
631;GYNECOLOGIE CHIRURGICALE;0
632;LOGEMENTS FOYER POUR PERSONNES AGEES F1 BIS;0
633;ACTIVITE DES ETAB. ET SERVICES EXPERIM. EN FAV.PERS. AGEES (ANIMATION..;0
635;REANIMATION NEONATALE;0
636;REANIMATION PEDIATRIE;0
637;SURVEILLANCE CONTINUE EN CARDIOLOGIE;0
638;SURVEILLANCE CONTINUE EN PEDIATRIE;0
639;SURVEILLANCE CONTINUE EN NEPHROLOGIE;0
640;SURVEILLANCE CONTINUE EN UROLOGIE;0
641;REANIMATION EN CARDIOLOGIE;0
644;NEUTRONTHERAPIE;0
645;OXYGENOTHERAPIE ISOLEE;0
646;ASSISTANCE VENTILATOIRE SANS TRACHEOTOMIE;0
647;ASSISTANCE VENTILATOIRE ENDO-TRACHEALE;0
648;TRACHEOTOMIE ISOLEE;0
649;CURE THERM. SYSTEME NERVEUX ET AFFECT.PSYCHOSOMATIQUES;0
650;CURE THERM. MALADIES ENDOCRIN. ET TROUBLES METABOLIQUES;0
651;CURE THERMALE DES AFFECTIONS DES MUQUEUSES BUCCO-LINGUALES;0
654;HEBERGEMENT SPECIALIS¿ ENFANTS ET ADOLESCENTS HANDICAPES;0
657;HEBERGEMENT TEMPORAIRE POUR PERSONNES AGEES;0
663;NUTRITION PARENTERALE POUR ENFANTS;0
664;NUTRITION PARENTERALE POUR ADULTES;0
666;EDUCATION GENERALE ET SOINS ENFANTS ATTEINTS TROUBLES GRAVES LANGAGE;0
667;EDUCATION GENERALE ET SOINS POUR MUETS NON SOURDS (APHASIQUES,DIAPHAS.);0
668;EDUCATION GENERALE ET SOINS POUR AUTRE CATEGORIE DE CLIENTELE;0
669;EDUCATION PROFESSIONNELLE ET SOINS POUR CARACTERIELS;0
670;EDUCATION PROFESSIONNELLE ET SOINS POUR INFIRMES MOTEUR;0
671;EDUCATION PROFESSIONNELLE ET SOINS POUR SOURDS;0
672;EDUCATION PROFESSIONNELLE ET SOINS POUR AUTRE CATEGORIE DE CLIENTELE;0
673;EDUCATION GENER. ET PROFES. INDIF. ET SOINS DEBILES MOYENS;0
674;EDUCATION GENER. ET PROFES. INDIF. ET SOINS DEBILES LEGERS;0
675;EDUCATION GENER. ET PROFES. INDIF. ET SOINS DEBILES LEG. ET MOY.;0
676;EDUCATION GENER. ET PROFES. INDIF. ET SOINS DEBILES MOY. ET PROF.;0
677;EDUCATION GENER. ET PROFES. INDIF. ET SOINS POUR CARACTERIELS;0
678;-ID- POUR ENFANTS MOTEUR CEREBRAUX;0
679;-ID- POUR INFIRMES MOTEUR CEREBRAUX;0
680;-ID- POUR INFIRMES MOTEUR;0
681;-ID- POUR DEFICIENTS VISUELS;0
682;-ID- POUR AVEUGLES;0
683;-ID- POUR AMBLYOPES;0
684;-ID- POUR DEFICIENTS AUDITIFS;0
685;-ID- POUR SOURDS;0
686;-ID- POUR MALENTENDANTS;0
687;-ID- POUR DEFICIENTS VISUELS ET AUDITIFS;0
688;ACCUEIL TEMPORAIRE EN MAISON D'ACCUEIL SPECIALISEE (M.A.S);0
689;ACCUEIL TEMPORAIRE EN FOYER HEBERGEMENT ADULTES HANDICAPES;0
690;ACTIVITE DES ETAB. ET SERVICES EXPER. EN FAVEUR DE L'ENFANCE HAND.;0
691;ACTIVITE DES ETAB. ET SERVICES EXPER. EN FAVEUR DES ADULTES HAND.;0
694;ACTIVITE ETAB/SERV. EXPERIM. ADULTES SAUF P.A./HANDIC.(INNOV.SOC.);0
698;ACCUEIL TEMPORAIRE EN FOYER DE VIE POUR ADULTES HANDICAPES;0
715;SURV. PAR MONITORAGE PREVENTION MORT SUBITE ET INEXPLIQUEE NOURRISSON;0
717;SOINS HAUTEMENT SPECIALISES EN MEDECINE;0
718;SOINS HAUTEMENT SPECIALISES EN CHIRURGIE;0
719;SOINS HAUTEMENT SPECIALISES EN GYNECOLOGIE, OBSTETRIQUE;0
720;REANIMATION NEONATALE ET PEDIATRIQUE;0
721;RADIOTHERAPIE METABOLIQUE (INGESTION DE SOURCE);0
722;MALADIES INFECTIEUSES TROPICALES ET EXOTIQUES INDIFFERENCIEES;0
723;AUTODIALYSE (UNIQUEMENT EN CATEGORIE 141 HEMODIALYSE A DOMICILE);0
728;CARDIOLOGIE INFANTILE;0
729;NEPHROLOGIE INFANTILE;0
730;CARCINOLOGIE INFANTILE;0
731;AUTRES SPECIALITES PEDIATRIQUES;0
732;HEPATOLOGIE;0
733;GASTROENTEROLOGIE;0
734;REANIMATION CHIRURGICALE INFANTILE;0
735;REANIMATION CHIRURGICALE ADULTE;0
736;TRAUMATOLOGIE;0
737;CONVALESCENCE ET READAPTATION;0
738;REEDUCATION FONCTIONNELLE ET READAPTATION MOTRICE ORIENTATION RHUMAT;0
739;REEDUCATION FONCTIONNELLE ET READAPTATION MOTRICE ORIENTATION TRAUMAT.;0
742;ACCUEIL ET TRAITEMENT DES URGENCES SPECIALISEES (Y COMP.URG.PSYCH.);0
743;IMMUNO-HEMATOLOGIE;0
744;IMMUNO-SEROLOGIE;0
753;IMAGERIE PAR RESONANCE MAGNETIQUE;0
797;HEMODIALYSE ET HEMOFILTRATION POUR CHRONIQUES ADULTES;0
798;HEMODIALYSE ET HEMOFILTRATION POUR CHRONIQUES ENFANTS;0
799;ASSISTANCE VENTILATOIRE AVEC PROTHESE EXTRA-THORACIQUE (INSUFF.RESPIR.);0
800;ASSIST. VENTIL. PRESSION POSITIVE CONTINUE/AUTRES TECH.PART. AGREES;0
801;INSULINOTHERAPIE;0
803;PSYCHIATRIE POUR ARRIERES PROFONDS;0
806;ATELIER THERAPEUTIQUE POUR ADULTES;0
807;ATELIER THERAPEUTIQUE POUR ADOLESCENTS;0
808;SECTORISATION PSYCHIATRIQUE EN MILIEU PENITENCIAIRE;0
809;HEMATOLOGIE PEDIATRIQUE;0
825;SOINS ET ACCOMPAGNEMENT DES MALADES EN PHASE TERMINALE (SOINS PALLIAT.);0
826;TRAITEMENTS SPECIALISES CONTRE LA DOULEUR;0
827;NUTRITION ENTERALE A DOMICILE;0
828;CURE THERMALE POUR MALADIES CARDIO-ARTERIELLES;0
829;CURE THERMALE EN NEUROLOGIE;0
830;CURE THERMALE POUR AFFECTIONS PSYCHOSOMATIQUES;0
831;CURE THERMALE EN PHLEBOLOGIE;0
832;CURE THERMALE POUR TROUBLES DU DEVELOPPEMENT CHEZ L'ENFANT;0
833;CURE THERMALE EN GYNECOLOGIE;0
834;CURE THERMALE POUR MALADIES DE L'APPAREIL DIGESTIF ET MAL.METABOLIQUES;0
835;CURE THERMALE POUR MALADIES DE L'APPAREIL URINAIRE ET MAL.METABOLIQUES;0
837;PREPARATION A LA VIE SOCIALE POUR ADOLESCENTS HANDICAPES MOTEURS GRAVE;0
838;EDUCATION PRECOCE POUR ENFANTS HANDICAPES;0
901;EDUCATION GENERALE ET SOINS SPECIALISES POUR ENFANTS HANDICAPES;0
902;EDUCATION PROFESSIONNELLE ET SOINS SPECIALISES POUR ENFANTS HANDICAPES;0
924;HEBERGEMENT EN MAISON DE RETRAITE;0
925;HEBERGEMENT EN LOGEMENT-FOYER POUR P.A SEULE F1;0
926;HEBERGEMENT EN LOGEMENT-FOYER POUR P.A COUPLE F2;0
927;HEBERGEMENT EN LOGEMENT-FOYER POUR P.A F1 BIS;0
938;HEBERGEMENT EN HOSPICE;0
402;Service d'Accueil et de traitement des Urgences;0
