PRS_ANO_COD;RAN_COD;PRS_ANO_LIB;TEC_COL
R0103;R;Categorie organismes complementaires C2S incorrecte;0
R0104;R;Type de procedure de paiement C2S incorrecte;0
R0105;R;Type acheminement des flux incorrect;0
R0106;R;Type version interface tiers incorrect;0
R0107;R;Type de controle incorrect;0
R0108;R;Indicateur de controle incorrect;0
R0109;R;Code libelle du controle incorrect;0
R0110;R;Top certification du lot incorrect;0
R0111;R;Nature  operation de liquidation incorrecte;0
R0112;R;Mode de reglement incorrect;0
R0114;R;Code Acoss incorrect;0
R0115;R;Decompte avec part mutuelle complementaire;0
R0116;R;Top Epas;0
R0151;R;Type de saisie incorrecte;0
R0152;R;Type de saisie affinee incorrecte;0
R0153;R;Code devise incorrect;0
R0201;R;Rang beneficiaire incorrect;0
R0202;R;Qualite de beneficiaire incorrecte;0
R0203;R;Sexe du beneficiaire incorrect;0
R0204;R;Departement de residence incorrect;0
R0205;R;Adherent a un contrat de referent incorrect;0
R0206;R;Beneficiaire de la C2S incorrect;0
R0207;R;Notion Patient heberge en EHPAD incorrecte;0
R0209;R;Categorie de beneficiaire de la rente AT incorrecte;0
R0210;R;Code postal beneficiaire incorrect;0
R0211;R;Commune de residence du beneficiaire (6);0
R0212;R;Numero assure anonymise;0
R0213;R;Numero de beneficiaire non renseigne;0
R0214;R;Code indicateur NIR erroné;0
R0215;R;Type de contrat complémentaire incorrect;0
R0216;R;Droits Spécifiques (ACS) incorrect;0
R0217;R;Indicateur de forçage Sesam Vital incorrect;0
R0218;R;Type de pension incorrect;0
R0251;R;Nature de prestation incorrecte;0
R0252;R;Complement actes incorrect;0
R0253;R;Type de prise en charge incorrecte;0
R0254;R;Prestation affinee prescrite ou motif du transport incorrect;0
R0255;R;Motif de substitution incorrect;0
R0256;R;Type de prestation fournie incorrecte;0
R0257;R;Motif du transport incorrect;0
R0258;R;Prestation executee dans le cadre d'un contrat de referent incorrecte;0
R0259;R;Prestation prescrite dans le cadre d'un contrat de referent incorrecte;0
R0260;R;Informations reseaux et filieres incorrectes;0
R0261;R;Prestation consecutive a un accident incorrecte;0
R0262;R;Identification nomenclature pathologie;0
R0263;R;Mode de traitement incorrect;0
R0264;R;Mode de fixation des tarifs incorrect;0
R0265;R;Discipline de prestation incorrecte;0
R0266;R;Type de remboursement incorrect;0
R0267;R;Code Forcage du taux de remboursement incorrect;0
R0268;R;Type enveloppe incorrect;0
R0269;R;Nature de prestation de reference incorrecte;0
R0270;R;Nature de la revalorisation incorrecte;0
R0271;R;Delai de carence;0
R0272;R;Code pathologie;0
R0273;R;Numero de dent;0
R0274;R;Top prestation forfaitaire incorrect;0
R0275;R;Mode de prescription incorrect;0
R0276;R;Top déconditionnement incorrect;0
R0277;R;Type de CIP délivré incorrect;0
R0280;R;Numéro de GHS incorrect;0
R0281;R;Nature de fin de séjour (transfert) incorrect;0
R0282;R;Code discipline mco incorrect;0
R0283;R;Indicateur TAA incorrect;0
R0284;R;Type de Minoration GHS incorrect;0
R0290;R;Prestation affinée CCAM incorrecte;0
R0291;R;Code activité incorrect;0
R0292;R;Phase de traitement incorrect;0
R0293;R;Code modificateur incorrect;0
R0294;R;Code association incorrect;0
R0295;R;Code remboursement exceptionnel incorrect;0
R0296;R;Indicateur de supplément de charge en cabinet incorrect;0
R0297;R;Numéro de dent incorrect;0
R0301;R;Numéro de médecin traitant incorrect;0
R0302;R;Qualificatif du parcours de soins Entrée incorrect;0
R0303;R;Qualificatif du parcours de soins Sortie incorrect;0
R0304;R;Qualificatif de la dépense transmis incorrect;0
R0305;R;Indicateur de tarif opposable incorrect;0
R0306;R;Option de coordination incorrecte;0
R0307;R;Indicateur Prescripteur Médecin Traitant incorrect;0
R0308;R;Indicateur Référentiel EP Kiné incorrect;0
R0309;R;Indicateur Top Entente Préalable Kiné incorrect;0
R0310;R;Type de prestation Kiné incorrect;0
R0311;R;Dispositif de prévention incorrect;0
R0312;R;Contexte PS incorrect;0
R0313;R;Contexte Bénéficiaire incorrect;0
R0314;R;Type de Majoration incorrect;0
R0401;R;Regime incorrect;0
R0402;R;Exoneration du ticket moderateur incorrecte;0
R0403;R;Modulation du ticket moderateur incorrecte;0
R0404;R;Categorie de pension invalidite incorrecte;0
R0405;R;Etat de la pension invalidite incorrect;0
R0407;R;Motif de suppression de la rente AT incorrect;0
R0501;R;Nature assurance incorrecte;0
R0502;R;Nature accident du travail incorrecte;0
R0503;R;Motif exoneration du ticket moderateur incorrect;0
R0505;R;Taux de prise en charge incorrect;0
R0506;R;Qualificatif de la depense incorrect;0
R0507;R;Destinataire du reglement incorrect;0
R0551;R;Numero de professionnel de sante executant;0
R0552;R;Numero de professionnel de sante prescripteur;0
R0553;R;Specialite medicale incorrecte;0
R0554;R;Nature activite pour les non medecins incorrecte;0
R0557;R;Informations reseaux et filieres incorrectes;0
R0558;R;Statut juridique ou mode  exercice incorrect;0
R0559;R;Secteur conventionnel incorrect;0
R0560;R;Zone tarif executant ou prescripteur incorrecte;0
R0561;R;Nature exercice incorrecte;0
ABS01;X;professionnel de sante absent du fichier praticien;0
I0101;I;habilitation envoi de messages;0
I0102;I;incomp. emetteur/part. sante;0
I0103;I;famille mutee ou epuree;0
I0104;I;Assuré non géré par la caisse;0
I0201;I;convention tp non disp dans bdo;0
I0202;I;option conv. hors tiers payant;0
I0203;I;bucco-dentaire hors tiers payant;0
I0204;I;incomp. asu-nat / sexe / age;0
I0205;I;r- hors archives hospicumu;0
I0206;I;r- hors archives paiement;0
I0207;I;r- nature drg diff. aux archives;0
I0208;I;non utilisation dernier matricule;0
I0209;I;maj progres-situation anterieure-;0
I0210;I;siecle de naissance genere;0
I0211;I;utilisation ancienne date naiss.;0
I0212;I;presence de jumeaux;0
I0301;I;date soins < date sinistres;0
I0302;I;date soins hors dates accords;0
I0303;I;statut at = rejete;0
I0304;I;en rechute statut at = rejete;0
I0305;I;soins apres rechute sans accord;0
I0306;I;soins hors dates accord soins;0
I0307;I;at existant mais code cram diff.;0
I0308;I;pas at connu en bdo a cette date;0
I0309;I;AT inconnu en BDO à cette date;0
I0310;I;AT approchant à N jours;0
I0311;I;AT approchant à date rechute;0
I0312;I;AT approchant à J/M/A;0
I0401;I;reponse favorable a l'ent. preal.;0
I0402;I;abs. demande ent. preal. dans bdo;0
I0403;I;pas de reponse a l'ent. preal.;0
I0404;I;absence ent. prealable / prest.;0
I0405;I;acte incompati. avec ep transmis;0
I0406;I;entente prealable possible;0
I0407;I;ald non trouv en bdo mais rgm exo;0
I0408;I;etm bdo non transmise /flux sesam;0
I0409;I;mtm bdo differente sur flux sesam;0
I0410;I;exoneration de type ps en bdo;0
I0411;I;exoneration type ps en bdo et tp;0
I0412;I;prescripteur etab. hors region;0
I0413;I;org. compl. inconnu dans la bdo;0
I0414;I;org. compl. absent  bdo assure;0
I0415;I;absence org.compl.bdo assure;0
I0416;I;absence contrat 89 et mut 9999997;0
I0417;I;incompatibilite regime / mutuelle;0
I0418;I;Situation d'exoneration inconnue pour le bénéficiaire;0
I0501;I;numero d'adherent inconnu bdo;0
I0502;I;contrat mutuelle incorrect;0
I0503;I;type de contrat absent de la bdo;0
I0504;I;incomp. nat. prest/agrement radio;0
I0505;I;incomp. nat. prest./systeme hono.;0
I0506;I;actes mult. au cours meme seance;0
I0507;I;majoration anesthesie a verifier;0
I0508;I;incomp.acte principal/anesthesie;0
I0509;I;incomp. forf.chirurgie/acte chir;0
I0510;I;absence acte associe;0
I0511;I;limitation du prix de l'acte mpi;0
I0512;I;cures proratisees;0
I0513;I;prestation absente liste cavimac;0
I0514;I;incomp. date prest. / nat. majo.;0
I0515;I;date prest. = samedi non ferie;0
I0516;S;Examen de prévention non transmis seul;0
I0601;I;date deb. prest. anter. a 2a + 3m;0
