CIM_COD;CIM_LIC;CIM_LIL;MVT_DTE;MVT_ORI;MVT_TYP;CIM_LIC_OLD;TEC_COL
G452;ACCID. ISCHEM. TRANSIT. DE TERRITOIRES ART. PRECEREB. MULT. ET BILAT.;Accident ischémique transitoire de territoires artériels précérébraux multiples et bilatéraux;;;;;0
G453;AMAUROSE FUGACE;Amaurose fugace;;;;;0
G454;AMNESIE GLOBALE TRANSIT.;Amnésie globale transitoire;;;;;0
G458;ACCID. ISCHEM. CEREB. TRANSIT. ET SYND. APPARENTES, NCA;Autres accidents ischémiques cérébraux transitoires et syndromes apparentés;;;;;0
G459;ACCID. ISCHEM. CEREB. TRANSIT., SAI;Accident ischémique cérébral transitoire, sans précision;;;;;0
G46;SYND. VASC. CEREB. AVEC MAL. CEREBROVASC.;Syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires (I60-I67);;;;;0
G460;SYND. DE L'ART. CEREB. MOY.;Syndrome de l'artère cérébrale moyenne (I66.0);;;;;0
G461;SYND. DE L'ART. CEREB. ANT.;Syndrome de l'artère cérébrale antérieure (I66.1);;;;;0
G462;SYND. DE L'ART. CEREB. POST.;Syndrome de l'artère cérébrale postérieure (I66.2);;;;;0
G463;SYND. VASC. DU TRONC CEREB.;Syndromes vasculaires du tronc cérébral (I60-I67);;;;;0
G464;SYND. CEREBELLEUX VASC.;Syndrome cérébelleux vasculaire (I60-I67);;;;;0
G465;SYND. LACUNAIRE MOTEUR PUR;Syndrome lacunaire moteur pur (I60-I67);;;;;0
G466;SYND. LACUNAIRE SENSITIF PUR;Syndrome lacunaire sensitif pur (I60-I67);;;;;0
G467;SYND. LACUNAIRES, NCA;Autres syndromes lacunaires (I60-I67);;;;;0
G468;SYND. VASC. CEREB. AVEC MAL. CEREBROVASC., NCA;Autres syndromes vasculaires cérébraux au cours de maladies cérébrovasculaires (I60-I67);;;;;0
G47;Tbl. DU SOMMEIL;Troubles du sommeil;;;;;0
G470;Tbl. DE L'ENDORMISSEMENT ET DU MAINTIEN DU SOMMEIL;Troubles de l'endormissement et du maintien du sommeil [insomnies];;;;;0
G471;Tbl. DU SOMMEIL PAR SOMNOLENCE EXCESSIVE;Troubles du sommeil par somnolence excessive [hypersomnies];;;;;0
G472;Tbl. DU CYCLE VEILLE-SOMMEIL;Troubles du cycle veille-sommeil;;;;;0
G473;APNEE DU SOMMEIL;Apnée du sommeil;;;;;0
G474;NARCOLEPSIE ET CATAPLEXIE;Narcolepsie et cataplexie;;;;;0
G478;Tbl. DU SOMMEIL, NCA;Autres troubles du sommeil;;;;;0
G479;Tbl. DU SOMMEIL, SAI;Trouble du sommeil, sans précision;;;;;0
G50;AFF. DU NERF TRIJUMEAU;Affections du nerf trijumeau;;;;;0
G500;NEVRALGIE DU TRIJUMEAU;Névralgie du trijumeau;;;;;0
G501;ALGIE FACIALE ATYPIQUE;Algie faciale atypique;;;;;0
G508;AFF. DU NERF TRIJUMEAU, NCA;Autres affections du nerf trijumeau;;;;;0
G509;AFF. DU NERF TRIJUMEAU, SAI;Affection du nerf trijumeau, sans précision;;;;;0
G51;AFF. DU NERF FACIAL;Affections du nerf facial;;;;;0
G510;PARALYSIE FACIALE A FRIGORE;Paralysie faciale a frigore;;;;;0
G511;ATTEINTE DU Ggl. GENICULE;Atteinte du ganglion géniculé;;;;;0
G512;SYND. DE MELKERSSON-ROSENTHAL;Syndrome de Melkersson-Rosenthal;;;;;0
G513;HEMISPASME FACIAL CLONIQUE;Hémispasme facial clonique;;;;;0
G514;MYOKYMIES FACIALES;Myokymies faciales;;;;;0
G518;AFF. DU NERF FACIAL, NCA;Autres affections du nerf facial;;;;;0
G519;AFF. DU NERF FACIAL, SAI;Affection du nerf facial, sans précision;;;;;0
G52;AFF. DES AUTRES NERFS CRANIENS;Affections des autres nerfs crâniens;;;;;0
G520;AFF. DU NERF OLFACTIF;Affections du nerf olfactif;;;;;0
G521;AFF. DU NERF GLOSSOPHARYNGIEN;Affections du nerf glossopharyngien;;;;;0
G522;AFF. DU NERF VAGAL;Affections du nerf vagal;;;;;0
G523;AFF. DU NERF Gd. HYPOGLOSSE;Affections du nerf grand hypoglosse;;;;;0
G527;AFF. DE PLUS. NERFS CRANIENS;Affections de plusieurs nerfs crâniens;;;;;0
G528;AFF. D'AUTRES NERFS CRANIENS PREC.;Affections d'autres nerfs crâniens précisés;;;;;0
G529;AFF. DES NERFS CRANIENS, SAI;Affection des nerfs crâniens, sans précision;;;;;0
G53;AFF. DES NERFS CRANIENS AVEC MAL. CL. AILL.;Affections des nerfs crâniens au cours de maladies classées ailleurs;;;;;0
G530;NEVRALGIE POST-ZOSTERIENNE;Névralgie post-zostérienne (B02.2);;;;;0
G531;PARALYSIE DE PLUS. NERFS CRAN. AVEC MAL. INFECT., PARASIT. CL. AILL.;Paralysie de plusieurs nerfs crâniens au cours de maladies infectieuses et parasitaires classées ailleurs (A00-B99);;;;;0
G532;PARALYSIE DE PLUS. NERFS CRANIENS AVEC SARCOIDOSE;Paralysie de plusieurs nerfs crâniens au cours de sarcoïdose (D86.8);;;;;0
G533;PARALYSIE DE PLUS. NERFS CRANIENS AVEC MAL. TUMORALES;Paralysie de plusieurs nerfs crâniens au cours de maladies tumorales (C00-D48);;;;;0
G538;AFF. DES NERFS CRANIENS AVEC AUTRES MAL. CL. AILL., NCA;Autres affections des nerfs crâniens au cours d'autres maladies classées ailleurs;;;;;0
G54;AFF. RACINES, PLEX. NERV.;Affections des racines et des plexus nerveux;;;;;0
G540;AFF. DU PLEXUS BRACHIAL;Affections du plexus brachial;;;;;0
G541;AFF. DU PLEXUS LOMBOSACRE;Affections du plexus lombosacré;;;;;0
G542;AFF. RADICULAIRES CERV., NCA;Affections radiculaires cervicales, non classées ailleurs;;;;;0
G543;AFF. RADICULAIRES THOR., NCA;Affections radiculaires thoraciques, non classées ailleurs;;;;;0
G544;AFF. RADICULAIRES LOMBOSACREES, NCA;Affections radiculaires lombosacrées, non classées ailleurs;;;;;0
G545;NEVRALGIE AMYOTROPHIQUE;Névralgie amyotrophique;;;;;0
G546;SYND. DOULOUREUX DU Mb. FANTOME;Syndrome douloureux du membre fantôme;;;;;0
G547;SYND. DU Mb. FANTOME;Syndrome du membre fantôme (sans élément douloureux);;;;;0
G548;AFF. RACINES, PLEX. NERV., NCA;Autres affections des racines et des plexus nerveux;;;;;0
G549;AFF. RACINES, PLEX. NERV., SAI;Affection des racines et des plexus nerveux, sans précision;;;;;0
G55;COMPRESSION RACINES, PLEX. NERV. AVEC MAL. CL. AILL.;Compression des racines et des plexus nerveux au cours de maladies classées ailleurs;;;;;0
G550;COMPRESSION RACINES, PLEX. NERV. AVEC MAL. TUMORALES;Compression des racines et des plexus nerveux au cours de maladies tumorales (C00-D48);;;;;0
G551;COMPRESSION RACINES, PLEX. NERV. AVEC ATTEINTES DISQUES INTERVERTEB.;Compression des racines et des plexus nerveux au cours d'atteintes des disques intervertébraux (M50-M51);;;;;0
G552;COMPRESSION RACINES, PLEX. NERV. AVEC SPONDYLARTHROSES;Compression des racines et des plexus nerveux au cours de spondylarthroses (M47.-);;;;;0
G553;COMPRESSION RACINES, PLEX. NERV. AVEC AUTRES DORSOPATHIES;Compression des racines et des plexus nerveux au cours d'autres dorsopathies (M45-M46, M48.-, M53-M54);;;;;0
G558;COMPRESSION RACINES, PLEX. NERV. AVEC AUTRES MAL. CL. AILL.;Compression des racines et des plexus nerveux au cours d'autres maladies classées ailleurs;;;;;0
G56;MONONEVRITE DU Mb. SUP.;Mononévrite du membre supérieur;;;;;0
G560;SYND. DU CANAL CARPIEN;Syndrome du canal carpien;;;;;0
G561;LES. DU NERF MEDIAN, NCA;Autres lésions du nerf médian;;;;;0
G562;LES. DU NERF CUBITAL;Lésion du nerf cubital;;;;;0
G563;LES. DU NERF RADIAL;Lésion du nerf radial;;;;;0
G564;CAUSALGIE;Causalgie;;;;;0
G568;MONONEVRITES DU Mb. SUP., NCA;Autres mononévrites du membre supérieur;;;;;0
G569;MONONEVRITE DU Mb. SUP., SAI;Mononévrite du membre supérieur, sans précision;;;;;0
G57;MONONEVRITE DU Mb. INF.;Mononévrite du membre inférieur;;;;;0
G570;LES. DU NERF SCIATIQUE;Lésion du nerf sciatique;;;;;0
G571;MERALGIE PARESTHESIQUE;Méralgie paresthésique;;;;;0
G572;LES. DU NERF FEMORAL;Lésion du nerf fémoral;;;;;0
G573;LES. DU NERF SCIATIQUE POPLITE EXT.;Lésion du nerf sciatique poplité externe;;;;;0
G574;LES. DU NERF SCIATIQUE POPLITE INT.;Lésion du nerf sciatique poplité interne;;;;;0
G575;SYND. DU CANAL TARSIEN;Syndrome du canal tarsien;;;;;0
G576;LES. DU NERF PLANTAIRE;Lésion du nerf plantaire;;;;;0
G578;MONONEVRITES DU Mb. INF., NCA;Autres mononévrites du membre inférieur;;;;;0
G579;MONONEVRITE DU Mb. INF., SAI;Mononévrite du membre inférieur, sans précision;;;;;0
G58;MONONEVRITES, NCA;Autres mononévrites;;;;;0
G580;NEVRITE INTERCOSTALE;Névrite intercostale;;;;;0
G587;MONONEVRITE DE SIEGES MULT.;Mononévrite de sièges multiples;;;;;0
G588;MONONEVRITES PREC., NCA;Autres mononévrites précisées;;;;;0
G589;MONONEVRITE, SAI;Mononévrite, sans précision;;;;;0
G59;MONONEVRITE AVEC MAL. CL. AILL.;Mononévrite au cours de maladies classées ailleurs;;;;;0
G590;MONONEVRITE DIABETIQUE;Mononévrite diabétique (E10-E14 avec le quatrième chiffre .4);;;;;0
G598;MONONEVRITES AVEC MAL. CL. AILL., NCA;Autres mononévrites au cours de maladies classées ailleurs;;;;;0
G60;NEUROPATHIE HERED. ET IDIOP.;Neuropathie héréditaire et idiopathique;;;;;0
G600;NEUROPATHIE HERED. MOTRICE ET SENSORIELLE;Neuropathie héréditaire motrice et sensorielle;;;;;0
G601;MAL. DE REFSUM;Maladie de Refsum;;;;;0
G602;NEUROPATHIE ASSOCIEE A UNE ATAXIE HERED.;Neuropathie associée à une ataxie héréditaire;;;;;0
G603;NEUROPATHIE PROGRESSIVE IDIOP.;Neuropathie progressive idiopathique;;;;;0
G608;NEUROPATHIES HERED. ET IDIOP., NCA;Autres neuropathies héréditaires et idiopathiques;;;;;0
G609;NEUROPATHIE HERED. ET IDIOP., SAI;Neuropathie héréditaire et idiopathique, sans précision;;;;;0
G61;POLYNEVRITES INFL.;Polynévrites inflammatoires;;;;;0
G610;SYND. DE GUILLAIN-BARRE;Syndrome de Guillain-Barré;;;;;0
G611;NEUROPATHIE SERIQUE;Neuropathie sérique;;;;;0
G618;POLYNEVRITES INFL., NCA;Autres polynévrites inflammatoires;;;;;0
G619;POLYNEVRITE INFL., SAI;Polynévrite inflammatoire, sans précision;;;;;0
G62;POLYNEVRITES, NCA;Autres polynévrites;;;;;0
G620;POLYNEVRITE MEDICAM.;Polynévrite médicamenteuse;;;;;0
G621;POLYNEVRITE ALCOOLIQUE;Polynévrite alcoolique;;;;;0
G622;POLYNEVRITE DUE A D'AUTRES AGENTS TOXIQUES;Polynévrite due à d'autres agents toxiques;;;;;0
G628;POLYNEVRITES PREC., NCA;Autres polynévrites précisées;;;;;0
G629;POLYNEVRITE, SAI;Polynévrite, sans précision;;;;;0
G63;POLYNEVRITE AVEC MAL. CL. AILL.;Polynévrite au cours de maladies classées ailleurs;;;;;0
G630;POLYNEVRITE AVEC MAL. INFECT. ET PARASIT. CL. AILL.;Polynévrite au cours de maladies infectieuses et parasitaires classées ailleurs;;;;;0
G631;POLYNEVRITE AVEC MAL. TUMORALES;Polynévrite au cours de maladies tumorales (C00-D48);;;;;0
G632;POLYNEVRITE DIABETIQUE;Polynévrite diabétique (E10-E14 avec le quatrième chiffre .4);;;;;0
G633;POLYNEVRITE AVEC AUTRES MAL. ENDOCRINIENNES ET METAB.;Polynévrite au cours d'autres maladies endocriniennes et métaboliques (E00-E07, E15-E16, E20-E34, E70-E89);;;;;0
G634;POLYNEVRITE PAR CARENCE NUTR.;Polynévrite par carence nutritionnelle (E40-E64);;;;;0
G635;POLYNEVRITE AVEC AFF. DISSEMINEES DU TISSU CONJ.;Polynévrite au cours d'affections disséminées du tissu conjonctif (M30-M35);;;;;0
G636;POLYNEVRITE AVEC AUTRES AFF. OSTEO-ARTIC. ET DES MUSCLES;Polynévrite au cours d'autres affections ostéo-articulaires et des muscles (M00-M25, M40-M96);;;;;0
G638;POLYNEVRITE AVEC AUTRES MAL. CL. AILL.;Polynévrite au cours d'autres maladies classées ailleurs;;;;;0
G64;AFF. DU SYST. NERV. PERIPH., NCA;Autres affections du système nerveux périphérique;;;;;0
G70;MYASTHENIE ET AUTRES AFF. NEURO-MUSC.;Myasthénie et autres affections neuro-musculaires;;;;;0
G700;MYASTHENIE;Myasthénie;;;;;0
G701;AFF. NEURO-MUSC. TOXIQUES;Affections neuro-musculaires toxiques;;;;;0
G702;MYASTHENIE CONG. AU COURS DU DEVELOP.;Myasthénie congénitale au cours du développement;;;;;0
G708;AFF. NEURO-MUSC. PREC., NCA;Autres affections neuro-musculaires précisées;;;;;0
G709;AFF. NEURO-MUSC., SAI;Affection neuro-musculaire, sans précision;;;;;0
G71;AFF. MUSC. PRIMITIVES;Affections musculaires primitives;;;;;0
G710;DYSTROPHIE MUSC.;Dystrophie musculaire;;;;;0
G711;AFF. MYOTONIQUES;Affections myotoniques;;;;;0
G712;MYOPATHIES CONG.;Myopathies congénitales;;;;;0
G713;MYOPATHIE MITOCHONDRIALE, NCA;Myopathie mitochondriale, non classée ailleurs;;;;;0
G718;AFF. MUSC. PRIMITIVES, NCA;Autres affections musculaires primitives;;;;;0
G719;AFF. MUSC. PRIMITIVE, SAI;Affection musculaire primitive, sans précision;;;;;0
G72;MYOPATHIES, NCA;Autres myopathies;;;;;0
G720;MYOPATHIE MEDICAM.;Myopathie médicamenteuse;;;;;0
G721;MYOPATHIE ALCOOLIQUE;Myopathie alcoolique;;;;;0
G722;MYOPATHIE DUE A D'AUTRES AGENTS TOXIQUES;Myopathie due à d'autres agents toxiques;;;;;0
G723;PARALYSIES PERIODIQUES;Paralysies périodiques;;;;;0
G724;MYOPATHIE INFL., NCA;Myopathie inflammatoire, non classée ailleurs;;;;;0
G728;MYOPATHIES PREC., NCA;Autres myopathies précisées;;;;;0
G729;MYOPATHIE, SAI;Myopathie, sans précision;;;;;0
G73;AFF. MUSC. ET NEURO-MUSC. AVEC MAL. CL. AILL.;Affections musculaires et neuro-musculaires au cours de maladies classées ailleurs;;;;;0
G730;SYND. MYASTHENIQUE AVEC MAL. ENDOCRINIENNES;Syndrome myasthénique au cours de maladies endocriniennes;;;;;0
G731;SYNDROME DE LAMBERT-EATON (C80);Syndrome de Lambert-Eaton (C80);01JAN2011:00:00:00;OMS;Modification libellé;SYND. DE LAMBERT-EATON;0
G732;SYND. MYASTHENIQUES AVEC MAL. TUMORALES, NCA;Autres syndromes myasthéniques au cours de maladies tumorales (C00-D48);;;;;0
G733;SYND. MYASTHENIQUE AVEC AUTRES MAL. CL. AILL.;Syndrome myasthénique au cours d'autres maladies classées ailleurs;;;;;0
G734;MYOPATHIE AVEC MAL. INFECT. ET PARASIT. CL. AILL.;Myopathie au cours de maladies infectieuses et parasitaires classées ailleurs;;;;;0
G735;MYOPATHIE AVEC MAL. ENDOCRINIENNES;Myopathie au cours de maladies endocriniennes;;;;;0
G736;MYOPATHIE AVEC MAL. METAB.;Myopathie au cours de maladies métaboliques;;;;;0
G737;MYOPATHIE AVEC AUTRES MAL. CL. AILL.;Myopathie au cours d'autres maladies classées ailleurs;;;;;0
G80;PARALYSIE CEREB.;Paralysie cérébrale;;;;;0
G800;PARALYSIE CEREB. SPASTIQUE QUADRIPLEGIQUE;Paralysie cérébrale spastique quadriplégique;;;;;0
G801;PARALYSIE CEREB. SPASTIQUE DIPLEGIQUE;Paralysie cérébrale spastique diplégique;;;;;0
G802;PARALYSIE CEREB. SPASTIQUE HEMIPLEGIQUE;Paralysie cérébrale spastique hémiplégique;;;;;0
G803;PARALYSIE CEREB. DYSKINETIQUE;Paralysie cérébrale dyskinétique;;;;;0
G804;PARALYSIE CEREB. ATAXIQUE;Paralysie cérébrale ataxique;;;;;0
G808;PARALYSIES CEREB., NCA;Autres paralysies cérébrales;;;;;0
G809;PARALYSIE CEREB., SAI;Paralysie cérébrale, sans précision;;;;;0
G81;HEMIPLEGIE;Hémiplégie;;;;;0
G810;HEMIPLEGIE FLASQUE;Hémiplégie flasque;;;;;0
G8100;HÉMIPLÉGIE FLASQUE RÉCENTE, PERSISTANT AU-DELÀ DE 24 HEURES;Hémiplégie flasque récente, persistant au-delà de 24 heures;;;;;0
G8101;HÉMIPLÉGIE FLASQUE RÉCENTE, RÉGRESSIVE DANS LES 24 HEURES;Hémiplégie flasque récente, régressive dans les 24 heures;;;;;0
G8108;HÉMIPLÉGIE FLASQUE, AUTRE ET SANS PRÉCISION;Hémiplégie flasque, autre et sans précision;;;;;0
G811;HEMIPLEGIE SPASTIQUE;Hémiplégie spastique;;;;;0
G819;HEMIPLEGIE, SAI;Hémiplégie, sans précision;;;;;0
G82;PARAPLEGIE ET TETRAPLEGIE;Paraplégie et tétraplégie;;;;;0
G820;PARAPLEGIE FLASQUE;Paraplégie flasque;;;;;0
G821;PARAPLEGIE SPASTIQUE;Paraplégie spastique;;;;;0
G822;PARAPLEGIE, SAI;Paraplégie, sans précision;;;;;0
G823;TETRAPLEGIE FLASQUE;Tétraplégie flasque;;;;;0
G824;TETRAPLEGIE SPASTIQUE;Tétraplégie spastique;;;;;0
G825;TETRAPLEGIE, SAI;Tétraplégie, sans précision;;;;;0
G83;SYND. PARALYTIQUES, NCA;Autres syndromes paralytiques;;;;;0
G830;DIPLEGIE DES Mb. SUP.;Diplégie des membres supérieurs;;;;;0
G831;MONOPLEGIE D'UN Mb. INF.;Monoplégie d'un membre inférieur;;;;;0
G832;MONOPLEGIE D'UN Mb. SUP.;Monoplégie d'un membre supérieur;;;;;0
G833;MONOPLEGIE, SAI;Monoplégie, sans précision;;;;;0
G834;SYND. DE LA QUEUE DE CHEVAL;Syndrome de la queue de cheval;;;;;0
G838;SYND. PARALYTIQUES PREC., NCA;Autres syndromes paralytiques précisés;;;;;0
G838+0;LOCKED-IN SYNDROME;Locked-in syndrome;;;;;0
G838+8;AUTRES SYNDROMES PARALYTIQUES PREC., NCA;Autres syndromes paralytiques précisés, non classés ailleurs;;;;;0
G839;SYND. PARALYTIQUE, SAI;Syndrome paralytique, sans précision;;;;;0
G90;AFF. DU SYST. NERV. AUTONOME;Affections du système nerveux autonome;;;;;0
G900;NEUROPATHIE AUTONOME PERIPH. IDIOP.;Neuropathie autonome périphérique idiopathique;;;;;0
G901;DYSAUTONOMIE FAM.;Dysautonomie familiale [Riley-Day];;;;;0
G902;SYND. DE CLAUDE BERNARD-HORNER;Syndrome de Claude Bernard-Horner;;;;;0
G903;DEGEN. DISSEMINEE;Dégénérescence disséminée (système nerveux autonome);;;;;0
G904;DYSREFLEXIE AUTONOME;Dysréflexie autonome;;;;;0
G908;AFF. DU SYST. NERV. AUTONOME, NCA;Autres affections du système nerveux autonome;;;;;0
G909;AFF. DU SYST. NERV. AUTONOME, SAI;Affection du système nerveux autonome, sans précision;;;;;0
G91;HYDROCEPHALIE;Hydrocéphalie;;;;;0
G910;HYDROCEPHALIE COMMUNICANTE;Hydrocéphalie communicante;;;;;0
G911;HYDROCEPHALIE OBSTRU.;Hydrocéphalie obstructive (non communicante);;;;;0
G912;HYDROCEPHALIE A PRESSION Nl.;Hydrocéphalie à pression normale;;;;;0
G913;HYDROCEPHALIE POST-TRAUMA., SAI;Hydrocéphalie post-traumatique, sans précision;;;;;0
G918;HYDROCEPHALIES, NCA;Autres hydrocéphalies;;;;;0
G919;HYDROCEPHALIE, SAI;Hydrocéphalie, sans précision;;;;;0
G92;ENCEPHALOPATHIE TOXIQUE;Encéphalopathie toxique;;;;;0
G93;AFF. DU CERVEAU, NCA;Autres affections du cerveau;;;;;0
G930;KYSTES CEREB.;Kystes cérébraux;;;;;0
G931;LES. CEREB. ANOXIQUE, NCA;Lésion cérébrale anoxique, non classée ailleurs;;;;;0
G932;HYPERTENSION INTRACRAN. BENIGNE;Hypertension intracrânienne bénigne;;;;;0
G933;SYND. DE FATIGUE POST-VIRALE;Syndrome de fatigue post-virale;;;;;0
G934;ENCEPHALOPATHIE, SAI;Encéphalopathie, sans précision;;;;;0
G935;COMPRESSION DU CERVEAU;Compression du cerveau;;;;;0
G936;OEDEME CEREB.;Oedème cérébral;;;;;0
G937;SYND. DE REYE;Syndrome de Reye;;;;;0
G938;AFF. PREC. DU CERVEAU, NCA;Autres affections précisées du cerveau;;;;;0
G939;AFF. DU CERVEAU, SAI;Affection du cerveau, sans précision;;;;;0
G94;AFF. DU CERVEAU AVEC MAL. CL. AILL., NCA;Autres affections du cerveau au cours de maladies classées ailleurs;;;;;0
G940;HYDROCEPHALIE AVEC MAL. INFECT. ET PARASIT. CL. AILL.;Hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs (A00-B99);;;;;0
G941;HYDROCEPHALIE AVEC MAL. TUMORALES;Hydrocéphalie au cours de maladies tumorales (C00-D48);;;;;0
G942;HYDROCEPHALIE AVEC AUTRES MAL. CL. AILL.;Hydrocéphalie au cours d'autres maladies classées ailleurs;;;;;0
G948;AFF. PREC. DU CERVEAU AVEC MAL. CL. AILL., NCA;Autres affections précisées du cerveau au cours de maladies classées ailleurs;;;;;0
G95;AFF. DE LA MOELLE EP., NCA;Autres affections de la moelle épinière;;;;;0
G950;SYRINGOMYELIE ET SYRINGOBULBIE;Syringomyélie et syringobulbie;;;;;0
G951;MYELOPATHIES VASC.;Myélopathies vasculaires;;;;;0
G952;COMPRESSION MEDULLAIRE, SAI;Compression médullaire, sans précision;;;;;0
G958;AFF. PREC. DE LA MOELLE EP., NCA;Autres affections précisées de la moelle épinière;;;;;0
G959;AFF. DE LA MOELLE EP., SAI;Affection de la moelle épinière, sans précision;;;;;0
G96;AFF. DU S.N.C., NCA;Autres affections du système nerveux central;;;;;0
G960;ECOULEMENT DU LIQUIDE CEPHALORACH.;Écoulement du liquide céphalorachidien;;;;;0
G961;AFF. DES MENINGES, NCA;Affection des méninges, non classée ailleurs;;;;;0
G968;AFF. PREC. DU S.N.C., NCA;Autres affections précisées du système nerveux central;;;;;0
G969;AFF. DU S.N.C., SAI;Affection du système nerveux central, sans précision;;;;;0
G97;AFF. DU SYST. NERV. NCA, APRES UN ACTE;Affections du système nerveux après un acte à visée diagnostique et thérapeutique, non classées ailleurs;;;;;0
G970;ECOULEMENT DU LIQUIDE CEPHALORACH. APRES RACHICENTESE;Écoulement du liquide céphalorachidien après rachicentèse;;;;;0
G971;REAC. IIre. A UNE RACHICENTESE, NCA;Autre réaction secondaire à une rachicentèse;;;;;0
G972;HYPOTENSION INTRACRAN. SUITE A UN PONTAGE VENTRICULAIRE;Hypotension intracrânienne suite à un pontage ventriculaire;;;;;0
G978;AFF. DU SYST. NERV. NCA, APRES UN ACTE;Autres affections du système nerveux après un acte à visée diagnostique et thérapeutique;;;;;0
F1951;TROUBLE PSYCHOTIQUE AVEC IDÉES DÉLIRANTES AU PREMIER PLAN, DÛ À DES DROGUES MULTIPLES ET À D'AUTRES;Trouble psychotique avec idées délirantes au premier plan, dû à des drogues multiples et à d'autres substances psychoactives;;;;;0
F1952;TROUBLE PSYCHOTIQUE AVEC HALLUCINATIONS AU PREMIER PLAN, DÛ À DES DROGUES MULTIPLES ET À D'AUTRES SU;Trouble psychotique avec hallucinations au premier plan, dû à des drogues multiples et à d'autres substances psychoactives;;;;;0
F1953;TROUBLE PSYCHOTIQUE AVEC SYMPTÔMES POLYMORPHES AU PREMIER PLAN, DÛ À DES DROGUES MULTIPLES ET À D'AU;Trouble psychotique avec symptômes polymorphes au premier plan, dû à des drogues multiples et à d'autres substances psychoactives;;;;;0
F1954;TROUBLE PSYCHOTIQUE AVEC SYMPTÔMES DÉPRESSIFS AU PREMIER PLAN, DÛ À DES DROGUES MULTIPLES ET À D'AUT;Trouble psychotique avec symptômes dépressifs au premier plan, dû à des drogues multiples et à d'autres substances psychoactives;;;;;0
