LPP_PRS_IDE;LPP_RED_LIB;LPP_VAL_DTF;LPP_MAX_AGE;LPP_PRS_TYP;LPP_MED_IND;LPP_ARB_CHA;LPP_ARB_SC1;LPP_ARB_SC2;LPP_ARB_SC3;LPP_ARB_SC4;LPP_ARB_SC5;LPP_ARB_SC6;LPP_ARB_SC7;LPP_ARB_SC8;LPP_ARB_SC9;LPP_ARB_BAS;LPP_PRO_COD;LPP_ANC_COD
7836813;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 DIVEL ITALIA;;0;A;O;2;2;5;2;1;2;0;0;0;0;776.000000;;
7836820;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 FONDA;;0;A;O;2;2;5;2;1;2;0;0;0;0;777.000000;;
7836836;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 GBO PRO;;0;A;O;2;2;5;2;1;2;0;0;0;0;778.000000;;
7836842;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 GLEASY GROUP;;0;A;O;2;2;5;2;1;2;0;0;0;0;779.000000;;
7836859;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 HEPHILENS;;0;A;O;2;2;5;2;1;2;0;0;0;0;780.000000;;
7836865;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 K OPTICAL;;0;A;O;2;2;5;2;1;2;0;0;0;0;781.000000;;
7836871;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 K OPTICAL KARA;;0;A;O;2;2;5;2;1;2;0;0;0;0;782.000000;;
7836888;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 LESA FRANCE;;0;A;O;2;2;5;2;1;2;0;0;0;0;783.000000;;
7836894;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 METAOPTICS;;0;A;O;2;2;5;2;1;2;0;0;0;0;784.000000;;
7836902;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 MULTILENS;;0;A;O;2;2;5;2;1;2;0;0;0;0;785.000000;;
7836919;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 OMEGA OPTIX;;0;A;O;2;2;5;2;1;2;0;0;0;0;786.000000;;
7836925;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 OPTIEYES FRANCE;;0;A;O;2;2;5;2;1;2;0;0;0;0;787.000000;;
7836931;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 TOKAI;;0;A;O;2;2;5;2;1;2;0;0;0;0;788.000000;;
7836948;OPTIQUE, VERRE UNIFOCAL CLASSE B, SPH POSITIVE ET S > +12,00 VECTEUR;;0;A;O;2;2;5;2;1;2;0;0;0;0;789.000000;;
7836954;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE [0 A -2,00] FONDA;;0;A;O;2;2;5;1;3;1;0;0;0;0;65.000000;;
7836960;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE [0 A -2,00] GBO PRO;;0;A;O;2;2;5;1;3;1;0;0;0;0;66.000000;;
7836977;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE [0 A -2,00] J & J DISTRIB;;0;A;O;2;2;5;1;3;1;0;0;0;0;67.000000;;
7836983;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE [0 A -2,00] LESA FRANCE;;0;A;O;2;2;5;1;3;1;0;0;0;0;68.000000;;
7836990;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE [0 A -2,00] METAOPTICS;;0;A;O;2;2;5;1;3;1;0;0;0;0;69.000000;;
7837008;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE [0 A -2,00] RUDY PROJECT;;0;A;O;2;2;5;1;3;1;0;0;0;0;70.000000;;
7837014;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE [0 A -2,00] TOKAI;;0;A;O;2;2;5;1;3;1;0;0;0;0;71.000000;;
7837020;OPTIQUE, VERRE PROGRESSIF CLASSE A, SPHERE [0 A -2,00] VECTEUR;;0;A;O;2;2;5;1;3;1;0;0;0;0;72.000000;;
7837037;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] DIVEL ITALIA;;0;A;O;2;2;5;2;2;1;0;0;0;0;486.000000;;
7837043;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] FONDA;;0;A;O;2;2;5;2;2;1;0;0;0;0;487.000000;;
7837050;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] GBO PRO;;0;A;O;2;2;5;2;2;1;0;0;0;0;488.000000;;
7837066;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] HEPHILENS;;0;A;O;2;2;5;2;2;1;0;0;0;0;489.000000;;
7837072;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] K OPTICAL;;0;A;O;2;2;5;2;2;1;0;0;0;0;490.000000;;
7837089;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] K OPTICAL KARA;;0;A;O;2;2;5;2;2;1;0;0;0;0;491.000000;;
7837095;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] LESA FRANCE;;0;A;O;2;2;5;2;2;1;0;0;0;0;492.000000;;
7837103;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] MULTILENS;;0;A;O;2;2;5;2;2;1;0;0;0;0;493.000000;;
7837110;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] OMEGA OPTIX;;0;A;O;2;2;5;2;2;1;0;0;0;0;494.000000;;
7837126;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] OPTIEYES FRANCE;;0;A;O;2;2;5;2;2;1;0;0;0;0;495.000000;;
7837132;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] TOKAI;;0;A;O;2;2;5;2;2;1;0;0;0;0;496.000000;;
7837149;OPTIQUE, VERRE MULTIFOCAL CLASSE B, SPHERE] +4,00 A +6,00] VECTEUR;;0;A;O;2;2;5;2;2;1;0;0;0;0;497.000000;;
7837155;OPTIQUE, VERRE PROG  A, SPH] -6 A -8] ET CYL (+) [0,25 A 4,00] FONDA;;0;A;O;2;2;5;1;3;2;0;0;0;0;223.000000;;
7837161;OPTIQUE, VERRE PROG  A, SPH] -6 A -8] ET CYL (+) [0,25 A 4,00] GBO PRO;;0;A;O;2;2;5;1;3;2;0;0;0;0;224.000000;;
7837178;OPTIQUE, VERRE PROG  A, SPH] -6 A -8] ET CYL (+) [0,25 A 4,00] J & J DISTRIB;;0;A;O;2;2;5;1;3;2;0;0;0;0;225.000000;;
7837184;OPTIQUE, VERRE PROG  A, SPH] -6 A -8] ET CYL (+) [0,25 A 4,00] LESA FRANCE;;0;A;O;2;2;5;1;3;2;0;0;0;0;226.000000;;
7837190;OPTIQUE, VERRE PROG  A, SPH] -6 A -8] ET CYL (+) [0,25 A 4,00] METAOPTICS;;0;A;O;2;2;5;1;3;2;0;0;0;0;227.000000;;
7837209;OPTIQUE, VERRE PROG  A, SPH] -6 A -8] ET CYL (+) [0,25 A 4,00] TOKAI;;0;A;O;2;2;5;1;3;2;0;0;0;0;228.000000;;
7837215;OPTIQUE, VERRE PROG  A, SPH] -6 A -8] ET CYL (+) [0,25 A 4,00] VECTEUR;;0;A;O;2;2;5;1;3;2;0;0;0;0;229.000000;;
7837221;OPTIQUE, VERRE MULTIFOCAL CLASSE A, SPHERE] +8,00 A +12,00] FONDA;;0;A;O;2;2;5;1;2;1;0;0;0;0;543.000000;;
7837238;OPTIQUE, VERRE MULTIFOCAL CLASSE A, SPHERE] +8,00 A +12,00] GBO PRO;;0;A;O;2;2;5;1;2;1;0;0;0;0;544.000000;;
7837244;OPTIQUE, VERRE MULTIFOCAL CLASSE A, SPHERE] +8,00 A +12,00] LESA FRANCE;;0;A;O;2;2;5;1;2;1;0;0;0;0;545.000000;;
7837250;OPTIQUE, VERRE MULTIFOCAL CLASSE A, SPHERE] +8,00 A +12,00] TOKAI;;0;A;O;2;2;5;1;2;1;0;0;0;0;546.000000;;
7837267;OPTIQUE, VERRE MULTIFOCAL CLASSE A, SPHERE] +8,00 A +12,00] VECTEUR;;0;A;O;2;2;5;1;2;1;0;0;0;0;547.000000;;
7837273;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 CONSCIOUS EYEW.;;0;A;O;2;2;5;2;2;3;2;0;0;0;939.000000;;
7837280;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 DIVEL ITALIA;;0;A;O;2;2;5;2;2;3;2;0;0;0;940.000000;;
7837296;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 FONDA;;0;A;O;2;2;5;2;2;3;2;0;0;0;941.000000;;
7837304;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 GBO PRO;;0;A;O;2;2;5;2;2;3;2;0;0;0;942.000000;;
7837310;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 GLEASY GROUP;;0;A;O;2;2;5;2;2;3;2;0;0;0;943.000000;;
7837327;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 HEPHILENS;;0;A;O;2;2;5;2;2;3;2;0;0;0;944.000000;;
7837333;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 K OPTICAL;;0;A;O;2;2;5;2;2;3;2;0;0;0;945.000000;;
7837340;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 K OPTICAL KARA;;0;A;O;2;2;5;2;2;3;2;0;0;0;946.000000;;
7837356;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 LESA FRANCE;;0;A;O;2;2;5;2;2;3;2;0;0;0;947.000000;;
7837362;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 METAOPTICS;;0;A;O;2;2;5;2;2;3;2;0;0;0;948.000000;;
7837379;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 MULTILENS;;0;A;O;2;2;5;2;2;3;2;0;0;0;949.000000;;
7837385;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 OMEGA OPTIX;;0;A;O;2;2;5;2;2;3;2;0;0;0;950.000000;;
7837391;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 OPTIEYES FRANCE;;0;A;O;2;2;5;2;2;3;2;0;0;0;951.000000;;
7837400;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 TOKAI;;0;A;O;2;2;5;2;2;3;2;0;0;0;952.000000;;
7837416;OPTIQUE, VERRE PROG  B, SPHERE] -4,00 A -6,00] ET CYL (+) >4 VECTEUR;;0;A;O;2;2;5;2;2;3;2;0;0;0;953.000000;;
7837422;OPTIQUE, VERRE UNIFOC. A, SPH (+) ET S ENTRE] +2,00 A +4,00] FONDA;;0;A;O;2;2;5;1;1;2;0;0;0;0;521.000000;;
7837439;OPTIQUE, VERRE UNIFOC. A, SPH (+) ET S ENTRE] +2,00 A +4,00] GBO PRO;;0;A;O;2;2;5;1;1;2;0;0;0;0;522.000000;;
7837445;OPTIQUE, VERRE UNIFOC. A, SPH (+) ET S ENTRE] +2,00 A +4,00] J & J DISTRIB;;0;A;O;2;2;5;1;1;2;0;0;0;0;523.000000;;
7837451;OPTIQUE, VERRE UNIFOC. A, SPH (+) ET S ENTRE] +2,00 A +4,00] LESA FRANCE;;0;A;O;2;2;5;1;1;2;0;0;0;0;524.000000;;
7837468;OPTIQUE, VERRE UNIFOC. A, SPH (+) ET S ENTRE] +2,00 A +4,00] METAOPTICS;;0;A;O;2;2;5;1;1;2;0;0;0;0;525.000000;;
7837474;OPTIQUE, VERRE UNIFOC. A, SPH (+) ET S ENTRE] +2,00 A +4,00] RUDY PROJECT;;0;A;O;2;2;5;1;1;2;0;0;0;0;526.000000;;
7837480;OPTIQUE, VERRE UNIFOC. A, SPH (+) ET S ENTRE] +2,00 A +4,00] TOKAI;;0;A;O;2;2;5;1;1;2;0;0;0;0;527.000000;;
7837497;OPTIQUE, VERRE UNIFOC. A, SPH (+) ET S ENTRE] +2,00 A +4,00] VECTEUR;;0;A;O;2;2;5;1;1;2;0;0;0;0;528.000000;;
7837505;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE < -12,00 FONDA;;0;A;O;2;2;5;1;1;1;0;0;0;0;366.000000;;
7837511;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE < -12,00 GBO PRO;;0;A;O;2;2;5;1;1;1;0;0;0;0;365.000000;;
7837528;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE < -12,00 J & J DISTRIB;;0;A;O;2;2;5;1;1;1;0;0;0;0;364.000000;;
7837534;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE < -12,00 LESA FRANCE;;0;A;O;2;2;5;1;1;1;0;0;0;0;363.000000;;
7837540;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE < -12,00 METAOPTICS;;0;A;O;2;2;5;1;1;1;0;0;0;0;362.000000;;
7837557;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE < -12,00 OMEGA OPTIX;;0;A;O;2;2;5;1;1;1;0;0;0;0;361.000000;;
7837563;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE < -12,00 SYM OPTIC;;0;A;O;2;2;5;1;1;1;0;0;0;0;360.000000;;
7837570;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE < -12,00 VECTEUR;;0;A;O;2;2;5;1;1;1;0;0;0;0;378.000000;;
7837586;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] ANTILLES OPTIC;;0;A;O;2;2;5;1;1;1;0;0;0;0;132.000000;;
7837592;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] FONDA;;0;A;O;2;2;5;1;1;1;0;0;0;0;133.000000;;
7837600;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] GBO PRO;;0;A;O;2;2;5;1;1;1;0;0;0;0;134.000000;;
7837617;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] J & J DISTRIB;;0;A;O;2;2;5;1;1;1;0;0;0;0;135.000000;;
7837623;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] LESA FRANCE;;0;A;O;2;2;5;1;1;1;0;0;0;0;136.000000;;
7837630;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] METAOPTICS;;0;A;O;2;2;5;1;1;1;0;0;0;0;137.000000;;
7837646;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] RUDY PROJECT;;0;A;O;2;2;5;1;1;1;0;0;0;0;138.000000;;
7837652;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] SYM OPTIC;;0;A;O;2;2;5;1;1;1;0;0;0;0;139.000000;;
7837669;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] TOKAI;;0;A;O;2;2;5;1;1;1;0;0;0;0;140.000000;;
7837675;OPTIQUE, VERRE UNIFOCAL CLASSE A, SPHERE] -2,00 A -4,00] VECTEUR;;0;A;O;2;2;5;1;1;1;0;0;0;0;141.000000;;
7837681;OPTIQUE, VERRE UNIFOC. A, SPH [0 A -2,00] ET CYLINDRE (+) >4 FONDA;;0;A;O;2;2;5;1;1;2;0;0;0;0;848.000000;;
7837698;OPTIQUE, VERRE UNIFOC. A, SPH [0 A -2,00] ET CYLINDRE (+) >4 GBO PRO;;0;A;O;2;2;5;1;1;2;0;0;0;0;849.000000;;
7837706;OPTIQUE, VERRE UNIFOC. A, SPH [0 A -2,00] ET CYLINDRE (+) >4 J & J DISTRIB;;0;A;O;2;2;5;1;1;2;0;0;0;0;850.000000;;
7837712;OPTIQUE, VERRE UNIFOC. A, SPH [0 A -2,00] ET CYLINDRE (+) >4 LESA FRANCE;;0;A;O;2;2;5;1;1;2;0;0;0;0;851.000000;;
7837729;OPTIQUE, VERRE UNIFOC. A, SPH [0 A -2,00] ET CYLINDRE (+) >4 METAOPTICS;;0;A;O;2;2;5;1;1;2;0;0;0;0;852.000000;;
7837735;OPTIQUE, VERRE UNIFOC. A, SPH [0 A -2,00] ET CYLINDRE (+) >4 OMEGA OPTIX;;0;A;O;2;2;5;1;1;2;0;0;0;0;853.000000;;
7837741;OPTIQUE, VERRE UNIFOC. A, SPH [0 A -2,00] ET CYLINDRE (+) >4 TOKAI;;0;A;O;2;2;5;1;1;2;0;0;0;0;854.000000;;
7837758;OPTIQUE, VERRE UNIFOC. A, SPH [0 A -2,00] ET CYLINDRE (+) >4 VECTEUR;;0;A;O;2;2;5;1;1;2;0;0;0;0;855.000000;;
7837764;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] CONSCIOUS EYEW.;;0;A;O;2;2;5;2;1;2;0;0;0;0;376.000000;;
7837770;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] DIVEL ITALIA;;0;A;O;2;2;5;2;1;2;0;0;0;0;377.000000;;
7837787;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] FONDA;;0;A;O;2;2;5;2;1;2;0;0;0;0;378.000000;;
7837793;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] GBO PRO;;0;A;O;2;2;5;2;1;2;0;0;0;0;379.000000;;
7837801;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] GLEASY GROUP;;0;A;O;2;2;5;2;1;2;0;0;0;0;380.000000;;
7837818;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] HEPHILENS;;0;A;O;2;2;5;2;1;2;0;0;0;0;381.000000;;
7837824;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] K OPTICAL;;0;A;O;2;2;5;2;1;2;0;0;0;0;382.000000;;
7837830;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] K OPTICAL KARA;;0;A;O;2;2;5;2;1;2;0;0;0;0;383.000000;;
7837847;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] LESA FRANCE;;0;A;O;2;2;5;2;1;2;0;0;0;0;384.000000;;
7837853;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] METAOPTICS;;0;A;O;2;2;5;2;1;2;0;0;0;0;385.000000;;
7837860;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] MULTILENS;;0;A;O;2;2;5;2;1;2;0;0;0;0;386.000000;;
7837876;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] OMEGA OPTIX;;0;A;O;2;2;5;2;1;2;0;0;0;0;387.000000;;
7837882;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] OPTIEYES FRANCE;;0;A;O;2;2;5;2;1;2;0;0;0;0;388.000000;;
7837899;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] TOKAI;;0;A;O;2;2;5;2;1;2;0;0;0;0;389.000000;;
7837907;OPTIQUE, VERRE UNIFOC. B, SPH < -12,00 ET CYL (+) [0,25 A 4,00] VECTEUR;;0;A;O;2;2;5;2;1;2;0;0;0;0;390.000000;;
8185890;HANCHE, INSERT EN CERAMIQUE, SIMPLE MOBILITE.,BJR INTERNATION;;0;A;N;3;1;2;1;4;4;0;0;0;0;11.000000;;
8185909;HANCHE, INSERT EN POLYETHYLENE MASSIF, SIMPLE MOBILITE.,NORTHOMED;;0;A;N;3;1;2;1;4;4;0;0;0;0;52.000000;;
8185915;HANCHE, TETE OU TETE A JUPE, CERAMIQUE,NORTHOMED;;0;A;N;3;1;2;1;4;2;0;0;0;0;53.000000;;
8185921;HANCHE, TETE OU TETE A JUPE, METALLIQUE,NORTHOMED;;0;A;N;3;1;2;1;4;2;0;0;0;0;4.000000;;
8185938;HANCHE, TIGE DE RECONSTRUCTION, COL INCLUS, DROITE, CIMENTEE,STRYKER;;0;A;N;3;1;2;1;4;12;0;0;0;0;2.000000;;
7710012;AI4Z001,OSSUR EUROPE;;0;A;N;2;7;2;1;3;6;2;0;0;0;4.000000;;
7710029;AI4Z003,OSSUR EUROPE;;0;A;N;2;7;2;1;3;6;2;0;0;0;8.000000;;
7710035;PIED RESTITUTION D ENERGIE, REMPLACEMENT REVETEMENT ESTHETIQUE,PROTEOR;;0;A;O;2;7;2;1;3;1;4;2;6;0;4.000000;;
7710041;AI7A01,GROUPE G2M;;0;A;N;2;7;2;2;4;1;1;0;0;0;2.000000;;
7710058;AT47Z08,ORTHOTECH;;0;A;N;2;7;3;1;5;1;0;0;0;0;15.000000;;
7710064;VI6X604,OSSUR EUROPE;;0;A;N;2;7;2;1;3;3;4;2;0;0;12.000000;;
7727745;CHEVILLE MULTIFLEXION,PROTEOR;;0;A;N;2;7;2;1;3;2;5;0;0;0;9.000000;;
7727780;VI4ZS25,PROTEOR;;0;A;N;2;7;2;1;3;1;2;1;0;0;37.000000;;
7727797;VI4ZR22,PROTEOR;;0;A;N;2;7;2;1;3;1;2;2;0;0;49.000000;;
7727805;VI4ZH20,PROTEOR;;0;A;N;2;7;2;1;3;1;2;1;0;0;6.000000;;
7727811;VI4ZG21,PROTEOR;;0;A;N;2;7;2;1;3;1;2;2;0;0;12.000000;;
7727828;TR27O12,PROTEOR;;0;A;N;2;7;3;1;1;8;0;0;0;0;3.000000;;
7727834;VI6X604,PROTEOR;;0;A;N;2;7;2;1;3;3;4;2;0;0;10.000000;;
7727840;VI3X603,PROTEOR;;0;A;N;2;7;2;1;3;3;1;2;0;0;8.000000;;
7727857;VI6X605,PROTEOR;;0;A;N;2;7;2;1;3;3;4;2;0;0;20.000000;;
7727863;VI4ZE25,PROTEOR;;0;A;N;2;7;2;1;3;1;2;2;0;0;3.000000;;
7727870;VI4ZE24,PROTEOR;;0;A;N;2;7;2;1;3;1;2;1;0;0;3.000000;;
