PFS_SPE_COD;PFS_SPE_STA;PFS_SPE_LIB;SPE_LIB_SNI;PFS_SPE_POS;SPE_POS_LIB;PFS_SPE_OMS;SPE_OMS_LIB;TEC_COL
75;1;PSYCHIATRIE DE L ENFANT ET DE L ADOLESCENT;PSYCHIATRIE ENFANT ADOLESC;3;PSYCHIATRES, NEUROPSYCHIATRES;2;MEDECINS SPECIALISTES;0
76;1;RADIOTHERAPIE;RADIOTHERAPIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
77;1;OBSTETRIQUE;OBSTETRIQUE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
78;1;GENETIQUE MEDICALE;GENETIQUE MEDICALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
79;1;GYNECOLOGIE OBSTETRIQUE ET GYNECOLOGIE MEDICALE;GYNEC.OBSTETRIQUE MEDICALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
80;1;SANTE PUBLIQUE ET MEDECINE SOCIALE;SANTE PUBLIQUE MED.SOCIALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
81;1;MEDECINE DES MALADIES INFECTIEUSES ET TROPICALES;MAL. INFECTIEUSE TROPICALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
82;1;MEDECINE LEGALE ET EXPERTISES MEDICALES;MED. LEGALE ET EXPERTISES;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
83;1;MEDECINE D'URGENCE;MEDECINE D'URGENCE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
84;1;MEDECINE VASCULAIRE;MEDECINE VASCULAIRE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
85;1;ALLERGOLOGIE;ALLERGOLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
99;9;NON RENSEIGNE;NON RENSEIGNE;0;NON RENSEIGNE;0;NON RENSEIGNE;1
0;9;NON RENSEIGNE;NON RENSEIGNE;0;NON RENSEIGNE;0;NON RENSEIGNE;2
1;1;MEDECINE GENERALE;MEDECINE GENERALE;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;0
2;1;ANESTHESIOLOGIE - REANIMATION CHIRURGICALE;ANESTHESIE REANIMAT. CHIR.;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
3;1;PATHOLOGIE CARDIO-VASCULAIRE;PATHOL. CARDIO-VASCULAIRE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
4;1;CHIRURGIE GENERALE;CHIRURGIE GENERALE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
5;1;DERMATOLOGIE ET VENEROLOGIE;DERMATOLOGIE VENEREOLOGIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
6;1;RADIODIAGNOSTIC ET IMAGERIE MEDICALE;RADIODIAGNOSTIC IMAGERIE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
7;1;GYNECOLOGIE OBSTETRIQUE;GYNECOLOGIE OBSTETRIQUE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
8;1;GASTRO-ENTEROLOGIE ET HEPATOLOGIE;GASTRO-ENTEROLOGIE HEPAT.;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
9;1;MEDECINE INTERNE;MEDECINE INTERNE;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;0
