ACTE;LIB_ACTE
62;PREPARATION DES SPERMATOZOIDES OBTENUS  PAR  PONCTION TESTICULAIRE OU EPIDIDYMAIRE OU  BIOPSIE TES
63;DECONGELATION D'EMBRYON(S) PAR CYCLE,  QUEL  QUE SOIT LE NOMBRE D'EMBRYONS. CET ACTE  COMPREND LA
64;CRYOCONSERVATION D'EMBRYON(S) PAR CYCLE  DE  CONGELATION, PAR ANNEE AU-DELA DE LA  PREMIERE ANNEE
65;CONGELATION DE SPERME AU COURS D'UNE AMP  OU  EN VUE D'UNE AUTOCONSERVATION ASSOCIEE A  UN  TRAIT
66;CRYOCONSERVATION DE SPERME ASSOCIEE A UN  TRAITEMENT STERILISANT A VISEE  THERAPEUTIQUE PAR PATIENT
67;CONGELATION, EN VUE D'UNE  AUTOCONSERVATION  POUR ICSI, DE SPERMATOZOIDES PRELEVES  CHIRURGICALEME
68;CRYOCONSERVATION DE SPERMATOZOIDES  PRELEVES  CHIRURGICALEMENT EN VUE D'UNE ICSI PAR  PATIENT, PAR
70;SPERMOGRAMME ET SPERMOCYTOGRAMME
71;TEST POST-COITAL (TPC) OU TEST DE HUHNER
72;EXPLORATION BIOCHIMIQUE DE LA FONCTION PROSTATO-VESICULAIRE
73;EXPLORATION DE LA FONCTION EPIDIDYMAIRE
75;TEST DE MIGRATION-SURVIE DES SPERMATOZOIDES
76;RECHERCHE AC FIXES SUR LES SPERMATOZOIDES (HOMME)
77;RECHERCHES INDIRECTES D'AC ANTISPERMATOZOIDES (HOMME)
78;PENETRATION DU MUCUS CERVICAL : TEST CROISE
79;RECHERCHE IMMUNISATION ANTISPERMATOZOIDES (FEMME)
80;ETUDE D'UNE EJACULATION RETROGRADE
126;TEMPS DE QUICK (OU TAUX DE PROTHROMBINE) EN L'ABSENCE DE TRAITEMENT PAR UN ANTIVITAMINE K RENDRE L
127;TEMPS DE QUICK EN CAS DE TRAITEMENT ANTIVITAMINE K (INR) RENDRE LE RESULTAT EN INR. LES COTATIONS
128;TEMPS DE THROMBINE (T.T.)
130;UN FACTEUR DU COMPLEXE PROTHROMBINIQUE (II, V, VII OU X) : DOSAGE
160;GROUPAGE PLAQUETTAIRE (PLA)
161;GROUPAGE GRANULOCYTAIRE (NA, NB, NC, ND, NE)
162;ANTICORPS ANTIPLAQUETTAIRES : DEPISTAGE
163;ANTICORPS ANTIPLAQUETTAIRES : IDENTIFICATION
164;ANTICORPS ANTIGRANULOCYTAIRES : DEPISTAGE
165;ANTICORPS ANTIGRANULOCYTAIRES : IDENTIFICATION
171;TEMPS DE SAIGNEMENT (TS) : TEST D'IVY (INCISION OU 3 POINTS)
173;DOSAGE DU FACTEUR XIII (FACTEUR DE STABILISATION DE LA FIBRINE)
174;DOSAGE FONCTIONNEL DU FIBRINOGENE (FACTEUR I)
175;TEMPS DE LYSE DES EUGLOBULINES
176;PDF : RECHERCHE
177;PDF : DOSAGE (D DIMERES  ...)
178;DOSAGE DE L'ACTIVITE COAGULANTE DU FACTEUR VIII (ANTIHEMOPHILIQUE A)
179;DOSAGE DE L'ACTIVITE COAGULANTE DU FACTEUR IX (ANTIHEMOPHILIQUE B)
180;DOSAGE DE L'ACTIVITE COAGULANTE DU FACTEUR XI
181;DOSAGE DE L'ACTIVITE COAGULANTE DU FACTEUR XII
182;DEPISTAGE D'UN ANTICOAGULANT CIRCULANT  PAR LE TEST DE CORRECTION DU TEMPS DE  CEPHALINE + ACTIVATE
185;HEPARINEMIE PAR MESURE ACTIVITE ANTITHROMBINE (ANTI II ACTIVE)
186;MESURE DE L'ACTIVITE ANTI-FACTEUR X  ACTIVE (ANTI-XA) DE L'HEPARINE OU D'UN  DERIVE HEPARINIQUE
188;DOSAGE IMMUNOLOGIQUE DE L'ANTITHROMBINE (INHIBITEUR PHYSIOLOGIQUE DE LA COAGULATION) EN VUE DU DIAG
189;DOSAGE FONCTIONNEL DE L'ANTITHROMBINE (INHIBITEUR PHYSIOLOGIQUE DE LA COAGULATION) EN VUE DU DIAGNO
190;DOSAGE FONCTIONNEL DE LA PROTEINE S EN VUE DU DIAGNOSTIC D'UN DEFICIT CE DOSAGE SERA EFFECTUE DE PR
191;DOSAGE FONCTIONNEL DE LA PROTEINE C EN VUE DU DIAGNOSTIC D'UN DEFICIT, LE DOSAGE SERA EFFECTUE DE P
192;DOSAGE FONCTIONNEL DU FACTEUR WILLEBRAND PAR MESURE DE L'ACTIVITE COFACTEUR DE LA RISTOCETINE (OU A
214;BACTERIE AEROBIE OU MICROAEROPHILE NOMMEMENT DESIGNEE : RECH. ISOLEE
215;BACTERIE ANAEROBIE NOMMEMENT DESIGNEE : RECH. ISOLEE
218;POLYNUCLEAIRES EOSINOPHILES DANS UNE SECRETION : RECH ISOLEE
219;CULOT URINAIRE CYTOLOGIE URINES AVEC ETUDE DES CRISTAUX
220;DEBIT URIN. HEMATIES ET LEUCOCYTES PAR MINUTE (ADDIS, H.L.M,CULOT URIN QUANT)
221;DEBIT URIN. HEMATIES ET LEUCOCYTES PAR MILLILITRE (CULOT URIN QUANT)
237;IDENTIF. D'UNE TOXINE BACTERIENNE PAR TECHN. IMMUNOLOGIQUE
238;IDENTIF. D'UNE TOXINE BACTERIENNE : PAR POUVOIR PATHOGENE (ANIMAL)
240;MYCOBACTERIES : EXAMEN MICROSCOPIQUE
241;MYCOBACTERIES : CULT. D'ISOL SUR MILIEU SOLIDE (SAUF A PARTIR PRODUIT SOLIDE)
242;MYCOBACTERIES : CULT. D'ISOL SUR MILIEU SOLIDE A PARTIR D'UN PRODUIT SOLIDE
243;MYCOBACTERIES : IDENTIFICATION BIOCHIMIQUE DE MYCOBACTERIUM TUBERCULOSIS
244;MYCOBACTERIES : IDENTIF. BIOCH AUTRE QUE MYCOBACTERIUM TUBERCULOSIS
252;EX. MICROBIO. : ISOL ET/OU IDENT LEVURE AUTRE QUE C ALBICANS OU ESPECE FILAM
253;EX. MYCO ISOLE : IDENTIF DE GENRE LEVURES ET CHAMPIGNONS FILAMENTEUX
254;MALASSEZIA FURFUR (PITYRIASIS VERSICOLOR)
255;EX MYCO ISOLE CHAMPIGNON EXOTIQUE EX DIRECT ET CULTURE
259;EX. PARASITO. SELLES EMISES AU LABO (PROTOZOAIRES)
263;OEUFS D'HELMINTHES  :MARGE DE  L'ANUS (SCOTCH TEST)
264;LARVES D'ANGUILLULES (BAERMANN) : RECHERCHE DANS SELLES
266;OEUFS DE BILHARZIES : RECHERCHE
267;PARASITES : RECH. ET/OU IDENTIF. PAR EX. MACRO. ET/OU MICRO.(DEMODEX)
268;PARASITES : EX. DIRECT ET/OU ENRICHISSEMENT SAUF DANS SANG ET SELLES
269;ANTIBIOGRAMME BACTERIE AEROBIE (SAUF MYCOPLASME) (ATB)
270;ANTIBIOGRAMME BACTERIE ANAEROBIE (SAUF MYCOPLASME) (ATB)
271;ANTIBIOGRAMME CHAMPIGNON (FONGIGRAMME) (ATB , FG)
274;MYCOBACTERIE : SENSIBILITE VIS A VIS D'UN ANTIBIO PAR ANTIBIO
280;EX. MYCO ISOLE : IDENTIF.D'ESPECE D'UN CHAMPIGNON AUTRE QUE C. ALBICANS
286;EX. PARASITO. DES SELLES AVEC 2 METHODES DE CONCENTRATION
287;EX. PARASITO. DES SELLES AVEC 1 METHODE   DE CONCENTRATION
288;EX. PARASITO. SELLES EMISES AU LABO (0259 + 0286)
289;AMIBES : CULTURE SUR SELLES EMISES AU LABORATOIRE
290;CRYPTOSPORIDIUM : RECH. SUR SELLES FRAICHEMENT EMISES
316;DOSAGE DU COMPLEMENT CH50 PAR REACTION D'HEMOLYSE
320;ALPHA-FOETOPROTEINE (AFP) : DOSAGE COTATION NON CUMULABLE AVEC CELLE DES ACTES 4004 ET 4005.
321;BETA 2 MICROGLOBULINE DANS UN AUTRE  MILIEU BIOLOGIQUE QUE LE SANG : DOSAGE
322;HEPATITE B (VHB) : SD : AG HBS PAR EIA
323;HEPATITE B (VHB) : SD : AC ANTIHBS (IGG OU IG TOTALES) PAR EIA
324;BETA 2 MICROGLOBULINE  DANS LE SANG :  DOSAGE
325;CARBAMAZEPINE (TEGRETOL)
327;DIGOXINE OU DIGITOXINE (DIGITALINE)
328;ETHOSUXIMIDE (ZARONTIN)
330;ESTRADIOL DANS LE SANG (CHEZ LA FEMME)
332;PHENITOINE (DIPHENYL-HYDANTOINE, DIHYDAN, ...)
333;PHENOBARBITAL (GARDENAL, ...)
334;PROGESTERONE
335;THEOPHYLLINE (SANG)
340;ACIDE VALPROIQUE.
343;PROLACTINE
350;HEPATITE A (VHA) : SD : IGM (INFECTION RECENTE) PAR EIA
351;HEPATITE B (VHB) : SD : AC ANTIHBC TOTAUX PAR EIA
352;HEPATITE B (VHB) : SD : AC ANTIHBC IGM PAR EIA
353;HEPATITE B (VHB) : SD : AG HBE PAR EIA
354;HEPATITE B (VHB) : SD : AC ANTIHBE PAR EIA
357;TESTOSTERONE (CHEZ L'HOMME)
358;PROTEINE DE TRANSPORT DES HORM. SEXUELLES (TEBG, SBG) (SANG)
364;SEROTONINE PAR CHROMATOGRAPHIE LIQUIDE  A HAUTE PERFORMANCE (CLHP)
388;INFECTION A VIH 1 ET 2 : 0388 SERODIAGNOSTIC DE  DEPISTAGE SELON LES DISPOSITIONS DE L'ARRETE DU 28
389;INFECTION A VIH 1 ET 2 :   ANALYSE DE CONFIRMATION DU  SERODIAGNOSTIC DE DEPISTAGE PAR  TECHNIQUE
390;INFECTION A VIH 1 ET 2 :   0390 DEUX REACTIONS OU PLUS (VIH 1, VIH  2)   LES COTATIONS 0389 ET 0
392;INFECTION A VIH 1 ET 2 : 0392 RECHERCHE ET TITRAGE DE L'ANTIGENE P24 DU VIH 1 LA COTATION DE L'ACT
407;CLAIRANCE (RENALE) DE LA CREATININE  AVEC DOSAGES SANGUIN ET URINAIRE DE LA  CREATININE
412;EPREUVE D'HYPERGLYCEMIE PROVOQUEE (AU MOINS QUATRE DOSAGES), Y COMPRIS RECHERCHES ET, EVENTUELLEMEN
121;TEMPS DE SAIGNEMENT (TS) : EPREUVE DE DUKE
236;ISOL. ET/OU IDENTIF. D'UNE BACTERIE PAR POUVOIR PATHOGENE (ANIMAL)
281;CMI CHAMPIGNON FILAMENTEUX DE POUSSE LENTE
413;EPREUVE SIMPLIFIEE D'HYPERGLYCEMIE
455;17-CETOSTEROIDES URINAIRES
461;17-HYDROXY-CORTICOSTEROIDES OU  TETRAHYDRO-11 DESOXYCORTISOL (T.H.S.)  URINAIRES
462;CORTISOL (SANG)
277;POUVOIR BACTERICIDE DES ANTIBIOTIQUES ET ASSOC PAR ANTIBIOTIQUE
26;DIAGNOSTIC CYTOPATHOLOGIQUE GYNECOLOGIQUE PROVENANT D'UN OU PLUSIEURS PRELEVEMENTS EFFECTUES A DES
27;DIAGNOSTIC CYTOPATHOLOGIQUE GYNECOLOGIQUE PROVENANT D'UN OU PLUSIEURS PRELEVEMENTS EFFECTUES A DES
28;DIAGNOSTIC CYTOPATHOLOGIQUE GYNECOLOGIQUE PROVENANT D'UN OU PLUSIEURS PRELEVEMENTS EFFECTUES A DES
30;DIAGNOSTIC CYTOPATHOLOGIQUE GYNECOLOGIQUE PROVENANT D'UN OU PLUSIEURS PRELEVEMENTS EFFECTUES A DES
81;COLORATION DES SPERMATOZOIDES AU BLEU D'ANILINE
82;VITRIFICATION D'EMBRYON(S) PAR CYCLE DE FIV OU D'ICSI QUELS QUE SOIENT LE NOMBRE D'EMBRYONS ET LE ST
83;RECHAUFFEMENT D'EMBRYON(S) PAR CYCLE, QUELS QUE SOIENT LE NOMBRE D'EMBRYON(S) ET LE STADE DE DEVELO
84;VITRIFICATION D'OVOCYTE(S) PAR PONCTION
85;RECHAUFFEMENT D'OVOCYTE(S) QUEL QUE SOIT LE NOMBRE D'OVOCYTES RECHAUFFES.
86;CRYOCONSERVATION DES OVOCYTE(S) PAR CYCLE DE VITRIFICATION, PAR ANNEE AU-DELA DE LA PREMIERE ANNEE
463;ALDOSTERONE OU TETRAHYDRO-ALDOSTERONE  URINAIRES
466;ACIDE HYDROXY-INDOLE-ACETIQUE  (METABOLITE DE LA SEROTONINE) URINAIRE
467;ACIDE VANILMANDELIQUE (METABOLITE DES  CATECHOLAMINES) URINAIRE
468;CATECHOLAMINES TOTALES (OU  METANEPHRINES OU ACIDE HOMOVANILIQUE)  URINAIRES
472;L.H. DANS LE SANG
473;F.S.H. DANS LE SANG
476;CORTISOL LIBRE URINAIRE
477;CATECHOLAMINES OU METANEPHRINES URINAIRES AVEC FRACTIONNEMENT (AU MOINS DEUX DOSAGES)
478;CATECHOLAMINES PLASMATIQUES PAR  CHROMATOGRAPHIE LIQUIDE HAUTE PRESSION.  AU MOINS DEUX DES TROIS D
132;PLUS DE 2 FACT. DU COMPLEXE PROTHROMBINIQUE (II, V, VII, X) : DOSAGES
183;CORRECTION DU TEMPS DE THROMBINE
187;UN FACTEUR DE COAGULATION PAR METH IMMUNO. (I, II, VII, X, WILL.)
246;SPIROCHETES : RECH. PAR EX. DIRECT (COLOR. OU IF)
247;SPIROCHETES : ISOLEMENT DES LEPTOSPIRES PAR CULTURE
514;PHOSPHATASES ALCALINES
516;ALANINE AMINOTRANSFERASE (ALAT,TGP) LA COTATION DE L'ACTE 0516      N'EST PAS CUMULABLE AVEC CELLE D
517;ASPARTATE AMINOTRANSFERASE (ASAT,TGO) LA COTATION DE L'ACTE    0517 N'EST PAS CUMULABLE AVEC CELLES
519;GAMMA GLUTAMYL TRANSFERASE (GAMMAT GT , GGT) (SANG)
521;LACTATE DESHYDROGENASE (LDH) DANS LE  SANG.  CET ACTE N'EST PAS INDIQUE DANS LA  MALADIE CORONARI
522;TRANSAMINASES (ALAT ET ASAT, TGP ET TGO) CET ACTE     N'EST PAS INDIQUE DANS LA MALADIE CORONARIENNE
523;ENZYME DE CONVERSION DE L'ANGIOTENSINE
524;LIPASEMIE. LES COTATIONS DES ACTES 1510 ET 0524 NE SONT PAS  CUMULABLES.
530;ACIDE LACTIQUE.
532;SANG : ACIDE URIQUE (URICEMIE)
534;ALCOOL (ETHYLIQUE OU METHYLIQUE)
536;SANG : AMMONIAQUE
537;BENZENE
547;SANG : CUIVRE (SERIQUE OU PLASMATIQUE)
548;SANG : FER SERIQUE (SIDEREMIE , FE)
552;GLUCOSE
557;LITHIUM (LI , LITHIEMIE , LI SERIQUE , LI ERYTHROCYTAIRE) (SANG)
559;SANG : METHEMOGLOBINE (METHB)
563;SANG : PHOSPHORE MINERAL (PHOSPHOREMIE , P)
565;PLOMB (PB , PLOMBEMIE) (SANG)
566;PLOMB (PB) DANS UN AUTRE LIQUIDE BIOLOGIQUE QUE LE SANG
570;PROTEINOGRAMME (ELECTROPHORESE) AVEC DETERMINATION DES POURCENTAGES, DOSAGE DES PROTEINES TOTALES,
571;BICARBONATES OU CO2 TOTAL.
578;CALCIUM.
580;SANG : CHOLESTEROL TOTAL (CHOL) LA COTATION DES ACTES 0580 ET 0590 NE SONT PAS CUMULABLES AVEC CELL
584;SANG : MAGNESIUM PLASMATIQUE OU GLOBULAIRE (MAGNESEMIE , MG)
590;SANG : TRIGLYCERIDES (TG) LA COTATION DES ACTES 0580 ET 0590  NE SONT PAS CUMULABLES AVEC CELLE DE L
591;SANG : UREE
592;CREATININE POUR LES ACTES 0592 ET 0593, IL EST  RECOMMANDE  POUR LE DOSAGE DE LA  CREATININE D'UTILI
593;UREE ET CREATININE POUR LES ACTES 0592 ET 0593, IL EST  RECOMMANDE POUR LE DOSAGE DE LA CREATININE D
603;LCR : GLUCOSE (GLUCORACHIE)
611;LCR : ELECTROPHORESE DES PROTEINES
614;LCR : DYSGLOBULINORACHIE : ELECTROPHORESE ET TYPAGE
620;UR. : ACETONE  (ACETONURIE)
622;UR. : ACIDE URIQUE  (URICURIE)
624;UR. : CALCIUM (CALCIURIE)
627;UR. : CREATININE (CREATININURIE)
629;UR. : PHOSPHORE MINERAL(PHOSPHATURIE)
630;UR. : PH : MESURE ELECTROMETRIQUE
631;UR. : PIGMENTS ET SELS BILIAIRES :  RECHERCHE
635;UR. : ELECTROPHORESE DES PROTEINES(PROTEINOGRAMME)
500;DEPISTAGE D'UN DEFICIT EN DIHYDROPYRIMIDINE DESHYDROGENASE (DPD) PAR MESURE DE L'URACILEMIE PAR CLH
638;UR. : PORPHYRINES : RECHERCHE, DOSAGE, IDENTIFICATION
640;UR. : RECHERCHE DE SANG (HEMATIES ET/OU HEMOGLOBINE)
647;UR. : UROBILINE : RECHERCHE
659;DOSAGE D'ANALGESIQUES OU DE STUPEFIANTS NON NOMMEMENT INSCRITS A LA NABM DANS UN LIQUIDE BIOLOGIQUE
662;PSYCHOTROPES NON INSCRITS A LA NABM DANS UN AUTRE LIQ BIO QUE SANG
663;ANTIDEPRESSEURS TRICYCLIQUES : RECH DANS UN AUTRE LIQ QUE SANG
664;ANTIDEPRESSEURS AUTRES QUE TRICYCLIQUES DANS UN AUTRE LIQ BIOL QUE LE SANG
666;DOSAGE DES LIPIDES TOTAUX. LE LABORATOIRE QUI EXECUTE L'ACTE DEVRA SYSTEMATIQUEMENT ASSOCIER A CET
667;BENZODIAZEPINES : RECHERCHE DANS UN AUTRE LIQUIDE BIOLOGIQUE QUE LE SANG
668;ANTIDEPRESSEURS : RECHERCHE ET DOSAGE DANS UN AUTRE LIQUIDE BIOLOGIQUE QUE LE SG
672;BARBITURIQUES : RECHERCHE DANS UN AUTRE LIQUIDE BIOLOGIQUE QUE LE SANG
673;BARBITURIQUES (SAUF PHENOBARBITAL) : DOSAGE DANS UN AUTRE LIQ BIOL QUE LE SANG
674;BARTURIQUES : RECHERCHE ET DOSAGE DANS UN AUTRE LIQUIDE BIOLOGIQUE QUE LE SANG
679;ALUMINIUM (AL) DANS UN AUTRE LIQUIDE BIOLOGIQUE QUE LE SANG
691;LIQUIDES DE SEROSITE : PROTEINES : DOSAGE
567;LITHIUM (LI) DANS UN AUTRE LIQUIDE BIOLOGIQUE QUE LE SANG
693;LIQUIDES DE SEROSITE :ELECTROPHORESE DES PROTEINES(PROTEINOGRAMME)
701;TESTOSTERONE LIBRE OU BIODISPONIBLE DANS LE SANG
703;INSULINE LIBRE
714;ALDOSTERONE PLASMATIQUE
727;ESTRADIOL DANS LE SANG (HOMME ET ENFANT)
745;HORMONE ANTIDIURETIQUE OU VASOPRESSINE (ADH)
756;C-PEPTIDE DANS LES URINES
763;ERYTHROPOIETINE
764;GASTRINE
774;PEPTIDE VASOACTIF INTESTINAL (VIP)
776;RENINE
777;INHIBINES. UNE SEULE COTATION PAR PATIENT.
779;TRANSFERRINE  DESIALYLEE OU DEGLYCOSYLEE OU TRANSFERRINE  CARBOXY DEFICIENTE (CDT). CET ACTE N'EST
780;SOMATOMEDINE (IGF1-SMC)
783;IGFBP 3
785;PARATHORMONE PTHRP : DOSAGE
805;VIRUS DE L'IMMUNODEFICIENCE HUMAINE (VIH) : TEST DE RESISTANCE GENOTYPIQUE AUX ANTIRETROVIRAUX PAR
806;VIRUS DE L'IMMUNODEFICIENCE HUMAINE (VIH): TEST DE RESISTANCE GENOTYPIQUE AUX ANTIRETROVIRAUX PAR S
812;ANTIGENE DU CARCINONE A CELLULES SQUAMEUSES (SCC)
813;ANTIGENE TISSULAIRE POLYPEPTIDIQUE (TPA) : DOSAGE
814;ENOLASE (NSE)
821;THYROGLOBULINE
822;CYFRA 21-1 : DOSAGE
823;ECP (EOSINO CATIONIQUE PROTEINE) EN ALLERGIE
884;SEPARATION CHROMATOGRAPHIQUE DES FORMES  MOLECULAIRES DE LA PROLACTINE (MONOMERE  + BIG-BIG)
901;CARYOTYPE CONSTITUTIONNEL POSTNATAL  SANGUIN
902;CARYOTYPE CONSTITUTIONNEL POSTNATAL SUR FIBROBLASTES
903;ACTES DE CYTOGENETIQUE MOLECULAIRE  CONSTITUTIONNELLE : HYBRIDATION SUR  CHROMOSOMES METAPHASIQUES
904;ACTES DE CYTOGENETIQUE MOLECULAIRE CONSTITUTIONNELLE : HYBRIDATION SUR CHROMOSOMES METAPHASIQUES (P
905;ACTES DE CYTOGENETIQUE MOLECULAIRE CONSTITUTIONNELLE : HYBRIDATION SUR NOYAUX INTERPHASIQUES QUEL Q
906;CARYOTYPE SUR SANG PERIPHERIQUE OU PRELEVEMENT DE MOELLE OSSEUSE OU TOUT TISSU PRESUME ENVAHI PAR D
907;CARYOTYPE SUR PRELEVEMENT DE TUMEUR SOLIDE
966;IGE SPECIFIQUES IMPLIQUANT DES  ALLERGENES AUTRES QUE   LES  PNEUMALLERGENES ET TROPHALLERGENES :  L
967;IGE SPECIFIQUES IMPLIQUANT DES ALLERGENES AUTRES QUE   LES PNEUMALLERGENES ET TROPHALLERGENES : VENI
968;IGE SPECIFIQUES IMPLIQUANT DES ALLERGENES AUTRES QUE   LES PNEUMALLERGENES ET TROPHALLERGENES - MEDI
969;TRYPTASE (DANS LES 24 HEURES SUIVANT UN CHOC ANAPHYLLACTIQUE)
983;PARATHORMONE (1-84 OU BIOACTIVE)
991;UR. : ACIDES AMINES TOTAUX CARACTERISATION PAR CHROMATOGRAPHIE
992;UR. : HYDROXYPROLINE TOTALE ET LIBRE(HYDROXYPROLINURIE)
996;EXPLORATION D'UNE ANOMALIE LIPIDIQUE (EAL). CET     EXAMEN  COMPREND L'ENSEMBLE INDISSOCIABLE DES
999;SANG : GAZ DU SANG
1000;COMBINAISON DE CINQ MARQUEURS SANGUINS : ALPHA2-MACROGLOBULINE, HAPTOGLOBINE, APOLIPOPROTEINE A1, B
1001;COMBINAISON DE NEUF MARQUEURS SANGUINS : ALPHA2-MACROGLOBULINE, ACIDE HYALURONIQUE, NUMERATION PLAQ
1002;COMBINAISON DE QUATRE MARQUEURS SANGUINS : ALPHA2-MACROGLOBULINE, ACIDE HYALURONIQUE, BILIRUBINE T
1008;CHARGE VIRALE DU VIRUS D'EPSTEIN BARR (CV EBV) DANS LE SANG LA PRISE EN CHARGE DE CET ACTE EST LIMIT
1009;SEROLOGIE SPECIFIQUE EBV EN CAS DE SUSPICION DE PRIMO-INFECTION A EBV RECHERCHE DES : - AC ANTI-VCA
1010;RECHERCHE DU STATUT IMMUNITAIRE EBV, DANS LES CONTEXTES SUIVANTS : - LA GREFFE (CHEZ LE DONNEUR ET
1011;ETUDE DES FONCTIONS PLAQUETTAIRES PAR METHODE D'AGREGATION (METHODE PHOTOMETRIQUE OU PAR IMPEDANCE
1013;DOSAGE IMMUNOLOGIQUE DU FACTEUR WILLEBRAND TECHNIQUE COMPLEMENTAIRE DU DOSAGE FONCTIONNEL, LE DOSA
1014;DOSAGE DE L'ACTIVITE COAGULANTE DU FACTEUR II (PROTHROMBINE)
1015;DOSAGE DE L'ACTIVITE COAGULANTE DU FACTEUR V (PROACCELERINE)
1016;DOSAGE DE L'ACTIVITE COAGULANTE DU FACTEUR VII    (PROCONVERTINE) LA  COTATION DE L'ACTE 1032 N'EST
1017;DOSAGE DE L'ACTIVITE COAGULANTE DU FACTEUR X (FACTEUR   STUART) LA  COTATION DE L'ACTE 1032 N'EST PA
1018;RECHERCHE D'UN INHIBITEUR ANTI-FACTEUR VIII OU ANTI-FACTEUR IX. IL EST RECOMMANDE D'EFFECTUER CETT
1019;TITRAGE D'UN INHIBITEUR ANTI-FACTEUR VIII OU ANTI-FACTEUR IX IL EST RECOMMANDE D'EFFECTUER LE TITR
1020;RECHERCHE ET IDENTIFICATION D'UN ANTICOAGULANT DE TYPE LUPIQUE (OU ANTIPHOSPHOLIPIDE PAR UNE TECHNI
1021;DETERMINATION SEMI-QUANTITATIVE DES D-DIMERES OU DES PDF (PRODUITS DE DEGRADATION DU FIBRINOGENE ET
1022;DOSAGE QUANTITATIF DES D-DIMERES LA PRESCRIPTION D'UN DOSAGE DE D-DIMERES EN VUE D'EXCLURE UN EPIS
1024;RECHERCHE D'ANTICORPS ANTI-FACTEUR 4 PLAQUETTAIRE (PF4) DANS LE CADRE D'UNE SUSPICION DE THROMBOPEN
1025;DOSAGE IMMUNOLOGIQUE DE LA PROTEINE S LIBRE ANTIGENE EN VUE DU DIAGNOSTIC D'UN DEFICIT CE DOSAGE
1026;DOSAGE IMMUNOLOGIQUE DE LA PROTEINE S TOTALE EN VUE DU DIAGNOSTIC D'UN DEFICIT CE DOSAGE SERA EFFEC
1027;DOSAGE IMMUNOLOGIQUE DE LA PROTEINE C, EN VUE DU DIAGNOSTIC D'UN DEFICIT. LE DOSAGE SERA EFFECTUE
1028;DOSAGE IMMUNOLOGIQUE D'UNE PROTEINE DE LA COAGULATION (FACTEUR I, FACTEUR II, FACTEUR V, FACTEUR VI
1029;RECHERCHE DE LA MUTATION G1691A DU GENE DU FACTEUR V (FACTEUR V LEIDEN) LES TESTS GENETIQUES (ACTES
1030;RECHERCHE DE LA MUTATION G20210A DU GENE DE LA PROTHROMBINE LES TESTS GENETIQUES (ACTES 1029, 1030
1031;RECHERCHE DE LA MUTATION G1691A DU GENE DU FACTEUR V (FACTEUR V LEIDEN) ET RECHERCHE DE LA MUTATI
1032;DOSAGE DE L'ACTIVITE COAGULANTE DES FACTEURS VII + X LA  COTATION DE L'ACTE 1032 N'EST PAS CUMULAB
