CODE_LPP;LIB_CODE_LPP
1124460;FRA-59, PPC, APNEE SOM, 9.4 + OXYG OLT 2.14 INVACARE XPO2
1125100;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, INOGEN ONE G2, OLT 2.16
1125790;FRA-52, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 2.13 INVACARE SOLO2
1126401;FRA-96, HYPERINSUFFLATIONS OU IN-EXSUFFLATIONS + OXYGENO OLT 2.16 INOGEN ONE G2
1126660;FRA-27, PPC, APNEE SOM, 9.4 + OXYGENO OCT 3.00 COURT TERME
1126708;FRA-114,VENTILATION ASSISTEE,<12 HEURES+OXYGENO OLT 2.17 DRIVE DEVILBISS H IFILL
1127607;FRA-104, VENTILATION ASSISTEE, > OU=12 HEURES + OLT 2.18 CAIRE, ECLIPSE 3
1128104;OXYGENOTHERAPIE A COURT TERME, OCT 3.00
1128423;CHAMBRE D'INHALATION, RESPIRATOIRE, POUR PATIENT AU-DELA DU 6EME ANNIVERSAIRE
1130176;FRA-124, HYPERINSUFFLATIONS OU IN-EXSUFFLATIONS + OLT 2.19 INOGEN ONE G3
1130220;OXYGENOTHERAPIE A LONG TERME, OXYGENE LIQUIDE, OLT 2.00
1130236;FRA-32,VENTILATION ASSISTEE,< 12 HEURES + OLT 2.11 INVACARE HOMEFILL II
1130897;FRA-25, PPC, APNEE SOM, 9.4 + OXYGENO OLT 1.00 POSTE FIXE
1132270;FRA-54, HYPERINSUFFLATIONS OU IN-EXSUFFLATIONS + OXYGENO OLT 2.13 INVACARE SOLO2
1132442;FRA-123, VENTILATION ASSISTEE, <12HEURES + OXYG OLT 2.19 INOGEN ONE G3
1133163;FRA-108, PPC, APNEE SOM, 9.4 + OXYG OLT 2.18 CAIRE, ECLIPSE 3
1133430;OXYGENOTHERAPIE LONGTERME,DEAMBULATION DRIVE DEVILBISS HEALTHCARE,IFILL,OLT 2.17
1133690;TRACHEOTOMIE SANS VENTILATION
1134783;CHAMBRE D'INHALATION, RESPIRATOIRE, POUR ENFANT AVANT LE 6EME ANNIVERSAIRE
1135392;OXYGENOTHERAPIE, AVF, FORFAIT HEBDOMADAIRE, OAVF 4.28.
1136581;OXYGENOTHERAPIE A LONG TERME EN POSTE FIXE, OLT 1.00
1138315;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, INOGEN, INOGEN ONE G3, OLT 2.19
1141197;FRA-117, PPC, APNEE SOM, 9.4 + OXYG OLT 2.17 DEVILBISS IFILL
1143470;FRA-23, TRACHEOTOMIE SANS VENTILATION + OXYGENO OLT 2.00 OXYGENE LIQUIDE
1143983;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, INVACARE, INVACARE XPO2, OLT 2.14
1145404;FRA-61, VENTILATION ASSISTEE, > OU = 12 HEURES + OXYG OLT 2.15 PHILIPS SIMPLYGO
1145723;FRA-20, HYPERINSUFFLA OU IN-EXSUFFLATIONS + OXYGENO OLT 2.00 OXYGENE LIQUIDE
1146444;FRA-11, VENTILATION ASSISTEE, TRACHEOTOMISES + OXYGENO OLT 2.00 OXYGENE LIQUIDE
1148064;FRA-135,PPC,APNEE SOM, 9.4 + OXYGENO ODYSP 3.30 DYSPNEE
1148130;OXYGENO A LONG TERME, CONCENTRATEUR, INVACARE, INVACARE PLATINUM 9, OLT 1.31
1149514;ASPIRATEUR TRACHEAL, LOCATION HEBDOMADAIRE < OU = 65 SEMAINES
1150635;FRA-30, VENTIL ASSISTEE, TRACHEOTOMISES + OXYG OLT 2.11 INVACARE HOMEFILL II
1151190;FRA-31, VENTIL ASSISTEE, > OU = 12 HEURES +OLT 2.11 INVACARE HOMEFILL II
1158329;FRA-18, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OCT 3.00 COURT TERME
1158737;OXYGENO, PEC DE LA DYSPNEE PATIENTS SOINS PALLIATIFS OU FIN DE VIE,ODYSP 3.30
1160958;FILTRE RESPIRATOIRE POUR LARYNGECTOMISES, LA PAIRE
1162093;FRA-35, PPC, APNEE SOM, 9.4 + OXYGE OLT 2.11 INVACARE HOMEFILL II
1162437;FRA-17, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 2.00 OXYGENE LIQUIDE
1163030;VENTILATION ASSISTEE, > OU = A 12 HEURES
1163951;FRA-21, HYPERINSUFFLATIONS OU IN-EXSUFFLATIONS + OXYGENO OCT 3.00 COURT TERME
1165938;FRA-24, TRACHEOTOMIE SANS VENTILATION + OXYGENO OCT 3.00 COURT TERME
1165967;OXYGENOTHERAPIE, AVF, FORFAIT DE LIVRAISON, OAVF 4.29.
1166688;FRA-41, PPC, APNEE SOM, 9.4 + OXYG OLT 1.31 INV PLATINUM 9
1166820;FRA-15, VENTILATION ASSISTEE, > OU = 12 HEURES + OXYGENO OCT 3.00 COURT TERME
1167890;FRA-95, VENTILATION ASSISTEE, < 12 HEURES + OXYG OLT 2.16 INOGEN ONE G2
1167937;FRA-22, TRACHEOTOMIE SANS VENTILATION + OXYGENO OLT 1.00 POSTE FIXE
1169304;FRA-53, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 2.14 INVACARE XPO2
1169586;PRESSION POSITIVE CONTINUE + SCALEO, INOGEN ONE G2.
1171726;SPIROMETRE ELECTRONIQUE PORTABLE, LOC. TRIMEST., LAMIRAU, SPIROTEL V2
1171790;FRA-132,VENTILATION ASSISTEE, < 12 HEURES + OXYGENO ODYSP 3.30 DYSPNEE
1172513;FRA-129, PPC, APNEE SOM, 9.4 + OXYG OLT 2.19 INOGEN, INOGEN ONE G3
1172772;DEBITMETRE DE POINTE QUELLE QUE SOIT LA CONFORMATION (ADULTE, ENFANT)
1172967;FRA-62, VENTILATION ASSISTEE, < 12 HEURES + OXYGENO OLT 2.15 PHILIPS SIMPLYGO
1175380;FRA-13, VENTILATION ASSISTEE, > OU = 12 HEURES + OXYGENO OLT 1.00 POSTE FIXE
1176480;FORFAIT D'HYPERINSUFFLATIONS OU D'IN-EXSUFFLATIONS
1178540;FRA-50, VENTILATION ASSISTEE, > OU = 12 HEURES + OXYGENO OLT 2.13 INVACARE SOLO2
1179308;CHAMBRE D'INHALATION, RESPIRATOIRE, VALVE DE RECHANGE
1179596;CHAMBRE D'INHALATION, RESPIRATOIRE, MASQUE AVEC OU SANS EMBOUT
1183267;PROTECTION TRACHEALE POUR LARYNGECTOMISES AVEC COL OFFICIER
1184315;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, PHILIPS, ULTRAFILL, OLT 2.12
1188767;FRA-58, PPC, APNEE SOM, 9.4 + OXYG OLT 2.13 INVACARE, SOLO2
1188885;FRA-19, HYPERINSUFFLATIONS OU IN-EXSUFFLATIONS + OXYGENO OLT 1.00 POSTE FIXE
1189991;FRA-26, PPC, APNEE SOM, 9.4 + OXYGENO OLT 2.00 OXY LIQUIDE
1190161;FRA-39, HYPERINSUFFLA OU IN-EXSUFFLATIONS + OXYGENO OLT 1.31 INVACARE PLATINUM 9
1191568;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, INVACARE, INVACARE SOLO2, OLT 2.13
1196270;VENTILATION ASSISTEE, <  A 12 HEURES
1199558;VENTILATION ASSISTEE POUR TRACHEOTOMISES
1101312;PERFUSION, PIED A SERUM, FORFAIT DE LIVRAISON A DOMICILE
1103392;PERFUSION A DOM, FORF D'ENTRET VOIE CENTRALE, PERFADOM21-ENTRETIEN-VC-SF-PICC
1104629;PERF A DOM, FORF HEBDO CONSOM-ACCESS, SA/DIFF, 1 PERF/J, PERFADOM13-C-SADIFF=1/J
1111782;PERFUSION, PIED A SERUM A ROULETTES A L' ACHAT
1114881;PERF A DOM, FORF HEBDO CONSOM-ACCESS, SA/DIFF,>3 PERF/J, PERFADOM16-C-SADIFF>3/J
1115047;PERFUSION, INSULINE, INSULET, OMNIPOD, FORFAIT JOURNALIER POD
1116584;PERFUSION, DIFFUSEUR, >OU= 6 H ET <72 H, SERINGUE 50ML
1116934;PERF A DOM, FORF HEBDO CONSOM-ACCESS, SA/DIFF, 1 PERF/S, PERFADOM10-C-SADIFF=1/S
1117201;PERFUSION, INSULINE, INSULET, OMNIPOD, MISE A DISPO DU PDM ET PRESTATION
1120663;PERFUSION, POMPE EXTERNE A INSULINE, CATHET ET CONSOM ASSOCIES, FORF JOURNALIER.
1121326;PERF A DOM, FORF HEBDO CONSOM-ACCESS, GRAVITE, 1 PERF/J, PERFADOM18-C-GRAV=1/J
1121332;PERFUSION, SYSTEME ACTIF AMBULATOIRE, LOCATION POMPE PROGRAMMABLE, INSULINE
1126128;PERFUSION, PIED/POTENCE A SERUM, LOCATION HEBDOMADAIRE, > 65 SEMAINES
1128328;PERFUSION, ACCESSOIRES POUR HEPARINER, CHAMBRE A CATHETER OU CATHETER CENTRAL
1128713;PERFUSION, AIGUILLE DE TYPE I POUR CHAMBRE A CATHETER IMPLANTABLE
1129434;PERFUSION, PANIER DE PERFUSION RIGIDE DE 500 CC
1130058;PERFUSION, POMPE EXTERNE A INSULINE, PRESTATION JOURNALIERE
1130420;PERFUSION, SYSTEME ACTIF, ACCESSOIRES A USAGE UNIQUE POUR POUSSE-SERINGUE
1131170;PERFUSION, POMPE EXTERNE A INSULINE, LOCATION ET PRESTATION, FORFAIT JOURNALIER.
1132560;PERFUSION, DIFFUSEUR, >OU= 72 H, SERINGUE 50 ML
1135305;PERFUSION, PERFUSEUR DE PRECISION VOLUMETRIQUE NON REUTILISABLE, ACHAT
1137095;PERFUSION A DOMICILE, FORFAIT TRANSFUSION, PERFADOM23-TRANSFUSION-DE-PSL-EN-EFS
1138309;PERFUSION,SYSTEME ACTIF EN POSTE FIXE,LOCATION DU POUSSE-SERINGUE A 1 VOIE
1140068;PERF A DOM, FORF HEB CONSOM-ACCESS,SA/DIFF, 2A3PERF/S, PERFADOM11-C-SADIFF=2A3/S
1140690;PERF A DOM, FORF HEBDO CONSOM-ACCESS, SA/DIFF, 2 PERF/J, PERFADOM14-C-SADIFF=2/J
1143279;PERF A DOM, FORF HEBDO CONSOM-ACCESS, GRAVITE, 2 PERF/J, PERFADOM19-C-GRAV=2/J
1144681;PERFUSION, SYSTEME ACTIF AMBULATOIRE, LOCATION DU POUSSE-SERINGUE
1145031;PERFUSION, AIGUILLE DE TYPE II POUR CHAMBRE A CATHETER IMPLANTABLE
1146183;PERFUSION, SYSTEME ACTIF AMBULATOIRE, FORFAIT DE FORMATION TECHNIQUE INITIALE
1146349;PERFUSION, PIED/POTENCE A SERUM, LOCATION HEBDOMADAIRE, < OU = 65 SEMAINES
1153616;PERF A DOM, FORF HEBDO CONSOM-ACCESS, GRAVITE, >2 PERF/J, PERFADOM20-C-GRAV>2/J
1154739;PERFUSION, SYSTEME ACTIF, ACCESSOIRES A USAGE UNIQUE POUR POMPES FIXES
1158476;PERFUSION, INSULINE, INSULET, OMNIPOD, FORFAIT FORMATION TECH INITIALE
1159062;PERFUSION A DOMICILE, FORF INSTAL2, SYSTEME ACTIF ELEC, PERFADOM2-I2-SA-ELEC
1161024;PERFUSION, DIFFUSEUR, FORFAIT DE MISE A DISPOSITION A DOMICILE POUR 4 SEMAINES
1164778;PERFUSION A DOMICILE, FORF INSTAL1, DIFFUSEUR, PERFADOM4-I1-DIFF
1166808;PERF A DOM, FORF HEB CONSOM-ACCESS, SA/DIFF,4A6PERF/S, PERFADOM12-C-SADIFF=4A6/S
1170419;PERFUSION A DOM, FORFAIT D'ENT VOIE CENTRALE, PERFADOM22-ENTRETIEN-VC-PICC-LINE
1171471;PERFUSION, SYSTEME ACTIF EN POSTE FIXE, LOCATION DE LA POMPE PROGRAMMABLE
1172619;PERFUSION A DOMICILE, FORFAIT INSTAL ET SUIVI, GRAVITE, PERFADOM6-IS-GRAV
1176882;PERFUSION A DOMICILE, FORF INSTAL1, SYST ACTIF ELECTRIQUE, PERFADOM1-I1-SA-ELEC
1177893;PERF A DOM, FORF HEBDO CONSOM-ACCESS, SA/DIFF, 3 PERF/J, PERFADOM15-C-SADIFF=3/J
1178556;PERFUSION A DOMICILE, FORFAIT HEBDO SUIVI, SYSTEME ACTIF, PERFADOM7E-S-SA-ELEC
1179165;PERFUSION A DOMICILE, FORFAIT HEBDO SUIVI, DIFFUSEUR, PERFADOM8-S-DIFF
1182078;PERFUSION, ACCESSOIRES A USAGE UNIQUE POUR POSE DE LA PERFUSION
1183333;PERFUSION, SYSTEME ACTIF AMBULATOIRE, LOCATION POMPE PROGRAMMABLE, HORS INSULINE
1183570;PERF A DOM, FORF INS REMPLI PAR ES,SYST ACTIF ELEC,PERFADOM3-I-REMPLI-ES-SA-ELEC
1185020;PERFUSION, SYSTEME ACTIF, FORFAIT DE MISE A DISPOSITION, HORS INSULINE
1185160;PERF A DOM, FORF/PERF CONSOM-ACCESS, GRAVITE, <15 PERF, PERFADOM17-C-GRAV<15/28J
1185668;PERFUSION, ACCESSOIRES POUR CHAMBRE A CATHETER IMPLANTABLE OU CATHETER CENTRAL
1186923;PERFUSION, APPAREIL STERILE NON REUTILISABLE
1187472;PERFUSION,SYSTEME ACTIF AMBULATOIRE,ACHAT DE LA POMPE PROGRAMMABLE HORS INSULINE
1188431;PERFUSION, DIFFUSEUR, <6 H, SERINGUE 50 ML
1191108;PERFUSION A DOMICILE, FORF INSTAL2, DIFFUSEUR, PERFADOM5-I2-DIFF
1196413;PERFUSION, ACCESSOIRES NON REUTILISABLES DE REMPLISSAGE
1199506;PERFUSION,SYSTEME ACTIF,ACCESSOIRES USAGE UNIQUE POMPE AMBULATOIRE,HORS INSULINE
1101720;AUTOCONTROLE, APPAREIL POUR LECTURE AUTOMATIQUE CHIFFREE DE LA GLYCEMIE
1101826;AUTOCONTROLE, 100 LANCETTES POUR AUTOPIQUEUR NON REUTILISABLES STERILES
1108350;AUTOCONTROLE SUCRE DANS LE SANG, KIT AUTOSURV GLYCEMIE, ROCHE, ACCU-CHEK-MOBILE
1110624;AUTOCONTROLE, APP. LECTURE AUTOM. GLYCEMIE/CETONEMIE, MENARINI, GLUCOFIX PREMIUM
1112391;AUTOTRAIT., AIGUILLE STERILE ET NON REUTILISABLE POUR STYLO INJECTEUR, B/200
1117129;AUTOMESURE DE L'INR, LECTEUR COAGUCHEK XS, ROCHE
1117454;AUTOCONTROLE, AUTOPIQUEUR
1122030;AUTOCONTROLE, APP. LECT. AUTOM. GLYCEMIE/CETONEMIE, ABBOTT, FREESTYLE OPTIUM NEO
1129210;AUTOTRAIT., SERINGUE STERILE NON REUTILISABLE DE 0,3 ML, 0,5 ML OU 1 ML, B/30
1132086;AUTOTRAIT., STYLO INJECTEUR AVEC AIGUILLE A CARTOUCHES PREREMPLIES
1136894;AUTOCONTROLE DU SUCRE DANS LE SANG, 50 BANDELETTES, CAPTEURS OU ELECTRODES
1138077;AUTOTRAIT., AIGUILLE STERILE NON REUTILISABLE POUR STYLO INJECTEUR, B/100
1141412;AUTOCONTROLE, 50 LANCETTES POUR AUTOPIQUEUR NON REUTILISABLES STERILES
1142883;AUTOCONTROLE, AUTOPIQUEURS A USAGE UNIQUE, STERILES, B/200
1152189;STYLO SANS AIGUILLE, ZOMAJET 10, FERRING SAS
1153059;AUTOTRAIT., SERINGUE STERILE NON REUTILISABLE DE 0,3 ML, 0,5 ML OU 1 ML, B/100
1160533;TETE D'INJECTION SANS AIGUILLE, ZOMAJET 2 VISION, FERRING SAS, BOITE DE 13 TETES
1162147;AUTOMESURE DE L'INR, BANDELETTE-TEST, COAGUCHEK XS, ROCHE, BOITE DE 24
1166100;AUTOCONTROLE, 200 LANCETTES POUR AUTOPIQUEUR NON REUTILISABLES STERILES
1172861;AUTOCONTROLE DU SUCRE DANS LE SANG, ROCHE, CASSETTE ACCU-CHEK MOBILE, 100
1173487;AUTOCONTROLE DU SUCRE DANS LE SANG, 10 BANDELETTES, CAPTEURS OU ELECTRODES
1177611;AUTOCONTROLE CETONEMIE, ABBOTT, FREESTYLE OPTIUM BETA CETONE
1179337;AUTOCONTROLE DE LA CETONEMIE, MENARINI, GLUCOFIX B-KETONE SENSOR B/2 ¿ 5
1180441;AUTOCONTROLE DU SUCRE DANS LE SANG, 150 BANDELETTES, CAPTEURS OU ELECTRODES
1180665;AUTOCONTROLE, 10 LANCETTES POUR AUTOPIQUEUR NON REUTILISABLES STERILES
1184309;AUTOCONTROLE,GLUCOSE/CORPS CETONIQUES,URINES,ASCENSIA KETODIASTIX FLAC 50 BANDEL
1186722;AUTOCONTROLE DU SUCRE DANS LE SANG, 100 BANDELETTES, CAPTEURS OU ELECTRODES
1186774;AUTOCONTROLE, AUTOPIQUEURS A USAGE UNIQUE, STERILES, B/100
1187408;AUTOCONTROLE DU SUCRE DANS LE SANG, 200 BANDELETTES, CAPTEURS OU ELECTRODES
1197602;TETE D'INJECTION SANS AIGUILLE A, B, C, ZOMAJET, FERRING SAS, BOITE DE 13 TETES
1198033;AUTOCONTROLE DU SUCRE DANS LE SANG, SET D'AUTOSURVEILLANCE DE LA GLYCEMIE
1199297;AUTOCONTROLE, SET DE PRELEVEMENT DE SANG CAPILLAIRE.
1101230;COLOSTOMIE, SYSTEME POUR IRRIGATION, 50 MANCHONS
1101565;COLOSTOMIE, MANCHON POUR IRRIGATION COLIQUE B/30
1103564;INCONTINENCE, STOMIE URINAIRE, 60 RACCORDS POUR POCHE D'UROSTOMIE
1105043;DIGESTIF, COLLECTEUR MATIERES FECALES, 50 POCHES + ANNEAU + FILTRE + CLAMP
1106539;DIGESTIF, COLLECTEUR MATIERES FECALES, 30 POCHES + JOINT, FILTRE, CLAMP,VIDABLES
1106700;UROSTOMIE, COLLECTEUR DES URINES, POCHE STERILE + ANNEAU
1107770;INCONTINENCE, STOMIE URINAIRE, 10 RACCORDS POUR POCHE D'UROSTOMIE
1108410;DIGESTIF,COLLECTEUR MATIERES FECALES,30 POCHES AVEC SUPPORT + FILTRE,NON VIDABLE
1108515;DIGESTIF, COLLECTEUR MATIERES FECALES, 50 POCHES + JOINT, FILTRE, NON VIDABLE
1110021;UROSTOMIE, COLLECTEUR DES URINES, 30 POCHES NON STERILES + ANNEAU + 30 RACCORDS
1111701;URO-GENITAL, ELECTROSTIMULATEUR NEUROMUSCULAIRE, LOCATION HEBDOMADAIRE <OU= 26 S
1111836;AUTO/HETEROSONDAGE, 30 SOND VESICAL STERIL, PVC OU PU OU POBE + POCH, >OU=700ML
1102470;PPC, APNEE SOMMEIL, PATIENT SANS RELEVE D'OBSERVANCE, FORF HEBD 9.SRO-A-ASSOCIER
1103297;OXYGENOTHERAPIE LONG TERME, DEAMBULATION, GCE, ZEN-O, OLT 2.23
1103446;PPC, APNEE SOMMEIL, PATIENT NON TELESUIVI (BONNE OBSERV.), FORFAIT HEBDO 9.NT1.
1105416;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, CAIRE, ECLIPSE 5, OLT 2.25
1105528;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, INOGEN, INOGEN ONE G4, OLT 2.26
1106663;PPC, APNEE SOMMEIL, PATIENT SANS RELEVE D'OBSERVANCE, FORFAIT HEBDO 9.SRO.
1107763;FRA-43, VENTILATION ASSISTEE, > OU = 12 HEURES + OXYG OLT 2.12 PHILIPS ULTRAFILL
1108739;PPC, APNEE SOMMEIL, PATIENT PEDIATRIQUE 6 A 16 ANS, FORFAIT HEBDO 9.PE2.
1109130;LOCATION HEBDOMADAIRE, GENERATEUR, COURTE DUREE, MICROLIFE, NEB 400
1115455;PPC, APNEE SOMMEIL, PATIENT TELESUIVI (56 H - 112 H), FORFAIT HEBDO 9.TL2.
1116911;PPC, APNEE SOMMEIL, PATIENT NON TELESUI (BONNE OBS), FORF HEBDO 9.NT1-A-ASSOCIER
1119045;PPC, APNEE SOMMEIL, PATIENT PEDIATRIQUE - 6 ANS, FORFAIT HEBDO 9.PE1.
1119789;OXYGENOTHERAPIE A LONG TERME, DEAMBULATION, GCE, ZEN-O LITE RS-00608-G, OLT 2.27
1119826;FRA-60, VENTILATION ASSISTEE, TRACHEOTOMISES + OXYGENO OLT 2.15 PHILIPS SIMPLYGO
1123510;FRA-144, VENTILATION ASSIST, <12HEURES + OLT 2.21 PHILIPS, SIMPLYGO MINI
1124112;PPC, APNEE SOMMEIL, PATIENT NON TELESUIVI (NON OBSERV.), FORFAIT HEBDO 9.NT3
1125287;FRA-37, VENTIL ASSISTEE > OU = 12 HEURES + OXYGENO OLT 1.31 INVACARE PLATINUM 9
1129635;FRA-358, VENTILATION ASSIST, <12HEURES + OLT 2.25 CAIRE, ECLIPSE 5
1129888;PPC, APNEE SOMMEIL, PATIENT TELESUIVI (- DE 56H), FORFAIT HEBDO 9.TL3-A-ASSOCIER
1132608;PPC, APNEE SOMMEIL, PHASE INITIALE, FORFAIT HEBDO 9.INI.
1133832;FRA-357, VENTILATION ASSIST, >OU= 12 HEURES + OLT 2.25 CAIRE, ECLIPSE 5
1139266;PPC, APNEE SOMMEIL, PATIENT PEDIATRIQUE, CAPNOGRAPHIE, FORFAIT 9.PCG.
1142417;PPC, APNEE SOMMEIL, PHASE INITIALE, FORFAIT HEBDO 9.INI-A-ASSOCIER
1144103;FRA-113, VENTILATION ASSISTEE, >OU= 12 HEURES + OLT 2.17 DRIVE DEVILBISS H IFILL
1147805;SOLUTION SALINE ISOTONIQUE STERILE, UNIDOSES 3ML, B/30, ZAMBON, TADIMDILUANT.
1148667;LOCATION HEBDOMADAIRE, GENERATEUR, COURTE DUREE, MICROLIFE, NEB 200
1149106;OXYGENOTHERAPIE LONG TERME, DEAMBULATION, INVACARE, PLATINUM MOBILE, OLT 2.24
1151250;PPC, APNEE SOMMEIL, PATIENT NON TELESUI (NON OBSERV), FORF HEBD 9.NT3-A-ASSOCIER
1152686;PPC, APNEE SOMMEIL, PATIENT TELESUIVI (+ DE 112 H), FORF HEBDO 9.TL1-A-ASSOCIER
1154886;PPC, APNEE SOMMEIL, PATIENT NON TELESUI (OBS INSUF), FORF HEBD 9.NT2-A-ASSOCIER
1158973;LOCATION HEBDOMADAIRE, GENERATEUR, AU-DELA DE LA 65EME SEMAINE PARI, VELOX
1162006;PPC, APNEE SOMMEIL, PATIENT NON TELESUIVI (OBSERV. INSUF.), FORFAIT HEBDO 9.NT2.
1162035;FRA-134,TRACHEOTOMIE SANS VENTILATION + OXYGENO ODYSP 3.30 DYSPNEE
1162590;LOCATION HEBDOMADAIRE, GENERATEUR, JUSQU'A 65E SEMAINE PARI, VELOX.
1163939;ACHAT SEMESTRIEL, NEBULISEUR, PARI, VELOX.
1167570;FRA-103, VENTILATION ASSISTEE, TRACHEOTOMISES + OLT 2.18 CAIRE, ECLIPSE 3
1171614;FRA-138,VENTILATION ASSIST, <12 HEURES + OXYG OLT 2.20 RESMED,LIFECHOICE ACTIVOX
1174133;OXYGENOTHERAPIE LONG TERME, DEAMBULATION, PHILIPS, SIMPLYGO MINI, OLT 2.21
1178869;ACHAT, NEBULISEUR ET MASQUE, MICROLIFE, NEB KIT.
1179248;PPC, APNEE SOMMEIL, PATIENT TELESUIVI (56H-112H), FORFAIT HEBDO 9.TL2-A-ASSOCIER
1180524;FRA-174, PPC APNEE SOMMEIL, 9.PE1 + OXYGENO OLT 1.00 POSTE FIXE
1186685;OXYGENOTHERAPIE LONG TERME, DEAMBULATION,RESMED,LIFECHOICE ACTIVOX 4L, OLT 2.22
1187880;PPC, APNEE SOMMEIL, PATIENT TELESUIVI (+ DE 112 H), FORFAIT HEBDO 9.TL1
1190623;FRA-373, VENTILATION ASSISTEE, <12HEURES + OXYG OLT 2.26 INOGEN ONE G4
1192987;PPC, APNEE SOMMEIL, PATIENT TELESUIVI (- DE 56 H), FORFAIT HEBDO 9.TL3.
1194710;FRA-156, VENTILATION ASSIST, < 12HEURES + OLT 2.23 GCE, ZEN-O
1196821;FRA-143, VENTILATION ASSIST, >OU= 12 HEURES + OLT 2.21 PHILIPS, SIMPLYGO MINI
1199742;FRA-175, PPC APNEE SOMMEIL, 9.PE2 + OXYGENO OLT 1.00 POSTE FIXE
1101648;PERF A DOM, FORF HEB CONSOM-ACCESS, DIFFUSEUR,2A3PERF/S, PERFADOM35-C-DIFF=2A3/S
1102270;PERF A DOM, FORF HEBDO CONSOM-ACCESS, DIFFUSEUR,3 PERF/J, PERFADOM39-C-DIFF=3/J
1103647;PERF A DOM, FORF HEB CONSOM-ACCESS, DIFFUSEUR,1PERF/S, PERFADOM43-C-DIFF IMMU-SC
1107250;PERF A DOM, FORF HEB CONSOM-ACCESS, DIFFUSEUR,4A6PERF/S, PERFADOM36-C-DIFF=4A6/S
1116420;PERF A DOM, FORF HEB CONSOM-ACCESS, SA/DIFF,1PERF/S, PERFADOM25-C-SADIFF IMMU-SC
1119370;PERF A DOM, FORF CONSOM-ACCESS, SA/DIFF,1PERF/J, PERFADOM26-C-SADIFF IMMU-IV
1120261;PERF A DOM, FORF CONSOM-ACCESS, DIFFUSEUR,1PERF/J, PERFADOM44-C-DIFF IMMU-IV
1122395;PERF A DOM, FORF HEBDO CONSOM-ACCESS, DIFFUSEUR, >3 PERF/J,PERFADOM40-C-DIFF>3/J
