EPH_COD;EPH_LIB
G04E9;AUTRES MEDICAMENTS CONTRE LES DYSFONCTIONNEMENTS ERECTILES
G04X;AUTRES MEDICAMENTS UROLOGIQUES
H;PREPARATIONS HORMONALES SYSTEMIQUES (HORMONES SEXUELLES EXCLUES)
H01;HORMONES HYPOPHYSAIRES ET HYPOTHALAMIQUES
H01A;ACTH
H01C;HORMONES HYPOTHALAMIQUES
H01C1;HORMONES ENTRAINANT LA LIBERATION DE GONADOTROPHINE
H01C2;ANTIHORMONES DE CROISSANCE
H01C3;HORMONES ENTRAINANT LA LIBERATION D'ANTI-GONADOTROPHINES
H02;CORTICOSTEROIDES A USAGE SYSTEMIQUE
H02A;CORTICOSTEROIDES A USAGE SYSTEMIQUE NON ASSOCIES
H02A1;CORTICOSTEROIDES INJECTABLES NON ASSOCIES
H02A2;CORTICOSTEROIDES ORAUX NON ASSOCIES
H02A3;AUTRES CORTICOSTEROIDES A USAGE SYSTEMIQUE NON ASSOCIES
H02B;CORTICOSTEROIDES A USAGE SYSTEMIQUE EN ASSOCIATION
H03;MEDICAMENTS DE LA THYROIDE
H03A;PREPARATIONS THYROIDIENNES
H03B;ANTITHYROIDIENS
H03C;THERAPEUTIQUE IODEE
H04;AUTRES HORMONES
H04A;CALCITONINES
H04B;GLUCAGON
H04C;HORMONES DE CROISSANCE
H04D;HORMONES ANTIDIURETIQUES
H04E;HORMONES PARATHYROIDES ET ANALOGUES
H04F;HORMONES ANTI-PARATHYROIDIENNES
H04X;AUTRES HORMONES ET PREPARATIONS AVEC ACTIONS SIMILAIRES
J;ANTIINFECTIEUX GENERAUX SYSTEMIQUES
J01;ANTIBACTERIENS SYSTEMIQUES
J01A;TETRACYCLINES ET ASSOCIATIONS
J01B;CHLORAMPHENICOL ET ASSOCIATIONS
J01C;PENICILLINES A LARGE SPECTRE
J01C1;PENICILLINES ORALES A LARGE SPECTRE
J01C2;PENICILLINES INJECTABLES A LARGE SPECTRE
J01D;CEPHALOSPORINES
J01D1;CEPHALOSPORINES ORALES
J01D2;CEPHALOSPORINES INJECTABLES
J01E;TRIMETHOPRIME ET FORMULATIONS SIMILAIRES
J01F;MACROLIDES ET APPARENTES
J01G;FLUOROQUINOLONES
J01G1;FLUOROQUINOLONES ORALES
J01G2;FLUOROQUINOLONES INJECTABLES
J01G9;AUTRES FLUOROQUINOLONES
J01H;PENICILLINES A SPECTRE MOYEN ET ETROIT
J01H1;PENICILLINES A SPECTRE MOYEN ET ETROIT SEULES
J01H2;ASSOCIATIONS PENICILLINE/STREPTOMYCINE
J01K;AMINOSIDES
J01L;CARBENICILLINE ET APPARENTES
J01M;RIFAMPICINE, RIFAMYCINE
J01P;AUTRES BETA-LACTAMINES, PENICILLINES ET CEPHALOSPORINES EXCLUES
J01P1;MONOBACTAMS
J01P2;PENEMS ET CARBAPENEMS
J01P3;CARBACEPHEMS
J01P9;AUTRES BETA-LACTAMINES
J01X;AUTRES ANTIBACTERIENS
J01X1;ANTIBACTERIENS GLYCOPEPTIDES
J01X2;POLYMYXINES
J01X9;TOUS AUTRES ANTIBACTERIENS
J02;AGENTS SYSTEMIQUES POUR INFECTIONS FONGIQUES
J02A;AGENT SYSTEMIQUE POUR INFECTIONS FONGIQUES
J03;SULFAMIDES SYSTEMIQUES
J03A;SULFAMIDE SYSTEMIQUE
J04;ANTIMYCOBACTERIENS
J04A;ANTITUBERCULEUX
J04A1;ANTITUBERCULEUX, UNE SEULE SUBSTANCE ACTIVE
J04A2;ANTITUBERCULEUX, KITS, 4 SUBSTANCES ACTIVES OU PLUS
J04A3;ANTITUBERCULEUX, KITS, 3 SUBSTANCES ACTIVES
J04A4;ANTITUBERCULEUX, KITS, 2 SUBSTANCES ACTIVES
J04A5;ANTITUBERCULEUX, DOSE FIXE, 4 SUBSTANCES ACTIVES OU PLUS
J04A6;ANTITUBERCULEUX, DOSE FIXE, 3 SUBSTANCES ACTIVES
J04A7;ANTITUBERCULEUX, DOSE FIXE, 2 SUBSTANCES ACTIVES
J04A9;ANTITUBERCULEUX, AUTRES
J04B;ANTILEPREUX
J05;ANTIVIRAUX A USAGE SYSTEMIQUE
J05B;AUTRES ANTIVIRAUX
J05B2;HORS D'USAGE
J05B3;ANTIVIRAUX CONTRE L'HERPES
J05B4;ANTIVIRAUX CONTRE LA GRIPPE
J05B5;ANTIVIRAUX RESPIRATOIRES, AUTRE
J05B6;ANTIVIRAUX CONTRE LE CORONAVIRUS
J05B9;AUTRES ANTIVIRAUX
J05C;MEDICAMENTS ANTIVIRAUX CONTRE LE VIH
J05C1;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES
J05C2;INHIBITEURS DE PROTEASE
J05C3;INHIBITEURS DE LA TRANSCRIPTASE REVERSE NON NUCLEOSIDIQUES
J05C4;MEDICAMENTS CONTRE LE VIH INHIBITEURS DE FUSION/D'ENTREE
J05C5;INHIBITEURS D'INTEGRASES ANTI VIH
J05C9;AUTRES ANTIVIRAUX VIH
J05D;ANTIVIRAUX CONTRE LES HEPATITES
J05D1;INTERFERON ET RIBAVIRINE ANTIVIRAUX CONTRE LES HEPATITES
J05D2;ANTIVIRAUX CONTRE LES HEPATITES B
J05D3;ANTIVIRAUX CONTRE LES HEPATITES C
J05D9;AUTRES ANTIVIRAUX CONTRE LES HEPATITES
J06;SERUMS ET GAMMAGLOBULINES
J06A;SERUMS ANTITOXINE
J06A1;SERUM ANTIVENIMEUX
J06A2;SERUM ANTIBOTULIQUE
J06A3;SERUM ANTIGANGRENEUX
J06A4;SERUM ANTITETANIQUE
J06A5;SERUM ANTIDIPHTERIQUE
J06A6;SERUM ANTIRABIQUE
J06A9;AUTRES SERUMS ANTITOXINE
J06C;IMMUNOGLOBULINES POLYVALENTES, INTRAVEINEUSES
J06D;GLOBULINES HOMOLOGUES IMMUNOLOGIQUEMENT ACTIVES, INTRAVEINEUSES
J06D1;GLOBULINES HUMORALES
J06D2;GLOBULINES CELLULAIRES
J06E;IMMUNOGLOBULINES POLYVALENTES, INTRAMUSCULAIRES
J06F;IMMUNOGLOBULINES POLYVALENTES, ASSOCIATION, INTRAMUSCULAIRES PRINCIPALEMENT
J06G;IMMUNOGLOBULINES SPECIFIQUES - ANTIBACTERIENNES
J06G1;IMMUNOGLOBULINES ANTITETANIQUES
J06G2;IMMUNOGLOBULINES ANTI BORTEDELLA PERTUSSIS
J06G9;AUTRES IMMUNOGLOBULINES ANTIBACTERIENNES
J06H;IMMUNOGLOBULINES SPECIFIQUES, ANTIVIRALES
J06H1;IMMUNOGLOBULINES ANTI OREILLONS
J06H2;IMMUNOGLOBULINES ANTI ROUGEOLE
J06H3;IMMUNOGLOBULINES ANTI RUBEOLE
J06H4;IMMUNOGLOBULINES ANTI HEPATITE
J06H5;IMMUNOGLOBULINES ANTIRABIQUES
J06H9;AUTRES IMMUNOGLOBULINES ANTIVIRALES
J06J;AUTRES IMMUNOGLOBULINES SPECIFIQUES
J07;VACCINS
J07B;ASSOCIATIONS DE VACCINS
J07B1;ASSOCIATIONS AVEC TETANOS
J07B2;ASSOCIATIONS AVEC ROUGEOLE ET/OU OREILLONS
J07B3;AUTRES ASSOCIATIONS
J07D;VACCINS ANTI BACTERIENS
J07D1;VACCIN ANTI PNEUMOCOQUE
J07D2;VACCINS ANTI MENINGOCOQUE
J07D3;VACCIN ANTI HAEMOPHILUS B
J07D4;VACCIN ANTI THYPHOIDE
J07D5;VACCIN ANTI TETANIQUE
J07D6;VACCIN ANTI TUBERCULOSE / TUBERCULINE
J07D7;VACCIN ANTI CHOLERIQUE
J07D9;AUTRES VACCINS BACTERIENS
J07E;VACCINS ANTI VIRAUX
J07E1;VACCIN ANTI GRIPPE / INFLUENZA
J07E2;VACCIN ANTI VARICELLE
J07E3;VACCIN ANTI PAPILLOMAVIRUS (HPV)
J07E4;VACCIN ANTI HEPATITE
J07E5;VACCIN ANTI ROTAVIRUS
J07E6;VACCINS CONTRE CORONAVIRUS
J07E9;AUTRES VACCINS ANTIVIRAUX
J07F;VACCINS CONTRE PROTOZOAIRES
J07F1;VACCIN ANTI PALUDIQUE
J07F9;AUTRES VACCINS CONTRE PROTOZOAIRES
J07X;AUTRES VACCINS
J08;AUTRES ANTIINFECTIEUX
J08B;ANAEROBICIDES
J08X;AUTRE ANTIINFECTIEUX
K;SOLUTIONS HOSPITALIERES
K01;SOLUTIONS INTRAVEINEUSES
K01A;SOLUTIONS D'ELECTROLYTES (> = 100ML)
K01A1;SOLUTIONS D'ELECTROLYTES NA > 120MMOL/L
K01A2;SOLUTIONS D'ELECTROLYTES NA = 90-120MMOL/L
K01A3;SOLUTIONS D'ELECTROLYTES NA = 61-90MMOL/L
K01A4;SOLUTIONS D'ELECTROLYTES NA <= 60MMOL/L
K01A5;SOLUTIONS D'ELECTROLYTES ADAPTEES (COMPRENANT DU SODIUM)
K01A6;SOLUTIONS D'ELECTROLYTES PEDIATRIQUES
K01A7;SOLUTIONS DE RINGER ET DE RINGER LACTATE
K01A9;AUTRES SOLUTIONS D'ELECTROLYTES
K01B;SOLUTIONS STANDARDS
K01B1;SOLUTIONS DE CHLORURE DE SODIUM
K01B2;SOLUTIONS DE CHLORURE DE SODIUM AVEC DES HYDRATES DE CARBONE
K01B3;SOLUTIONS D'HYDRATES DE CARBONE (< = 10%)
K01B4;EAU POUR PREPARATIONS INJECTABLES
K01C;SOLUTIONS CALORIQUES (>10%)
K01C1;SOLUTIONS AVEC UN HYDRATE DE CARBONE (>10%)
K01C2;SOLUTIONS DE PLUSIEURS HYDRATES DE CARBONE (>10%)
K01C3;SOLUTIONS D'ELECTROLYTES ET HYDRATES DE CARBONE (>10%) EN ASSOCIATION
K01D;EMULSIONS LIPIDIQUES, PRODUITS POUR NUTRITION PARENTERALE TOTALE INCLUS
K01D1;EMULSIONS LIPIDIQUES, NON ASSOCIEES
K01D2;EMULSIONS LIPIDIQUES EN ASSOCIATION
K01E;SOLUTIONS D'ACIDES AMINES
K01E1;SOLUTIONS STANDARD D'ACIDES AMINES
K01E2;SOLUTIONS MULTI LITRE
K01E3;SOLUTIONS UTILISEES EN NEPHROLOGIE
K01E4;SOLUTIONS UTILISEES EN HEPATOLOGIE
K01E5;SOLUTIONS D'ACIDES AMINES PEDIATRIQUES
K01E9;AUTRES SOLUTIONS D'ACIDES AMINES
K01F;SOLUTIONS POUR THERAPEUTIQUE OSMOTIQUE
K01F1;THERAPEUTIQUE OSMOTIQUE
K01F2;SOLUTIONS OSMOTIQUES UTILISEES EN ONCOLOGIE
K01G;SOLUTIONS INJECTABLES SPECIALES
K01G1;SOLUTION POUR THERAPEUTIQUE HEPATIQUE
K01G9;AUTRES SOLUTIONS INJECTABLES
K02;SUBSTITUTS VOLEMIQUES DU PLASMA
K02A;DEXTRANS
K02A1;DEXTRANS DE BAS POIDS MOLECULAIRE (<= 50000)
K02A2;DEXTRANS DE HAUT POIDS MOLECULAIRE (> 50000)
K02B;AMIDONS
K02C;GELATINES
K03;SANG TOTAL ET DERIVES DU PLASMA
K03A;SANG TOTAL ET FRACTIONS PLASMATIQUES
K03B;SOLUTIONS PROTEIQUES
K03B1;SOLUTIONS PROTEIQUES < 5%
K03B2;SOLUTIONS PROTEIQUES = 5%
K03B3;SOLUTIONS PROTEIQUES > 5%
K03C;SERUM HUMAIN CONGELE
K04;SOLUTIONS INJECTABLES < 100ML
K04A;SOLUTIONS D'ELECTROLYTES < 100ML
K04A1;SOLUTIONS D'ELECTROLYTES <= 20ML
K04A2;SOLUTIONS D'ELECTROLYTES > 20ML ET < 100ML
K04B;SOLUTIONS STANDARDS < 100ML
K04B1;SOLUTIONS STANDARDS < 20ML
K04B2;SOLUTIONS STANDARDS > 20ML ET < 100ML
K04C;SOLUTIONS CALORIQUES < 100ML
K04D;AUTRES SOLUTIONS INJECTABLES < 100ML
K05;SOLUTIONS D'IRRIGATION
K05A;SOLUTION D'IRRIGATION
K05A1;EAU
K05A2;SOLUTIONS SALINES
K05A3;CITRATES
K05A4;GLYCINE
K05A9;AUTRES SOLUTIONS D'IRRIGATION
K06;SOLUTIONS POUR DIALYSE
K06A;SOLUTIONS POUR HEMODIALYSE
K06B;SOLUTIONS POUR DIALYSE PERITONEALE
K06C;HEMOFILTRATION
K07;SOLUTIONS POUR PERFUSION
K07A;SOLUTION POUR PERFUSION
L;ANTINEOPLASIQUES ET IMMUNOMODULATEURS
L01;ANTINEOPLASIQUES
L01A;AGENTS ALKYLANTS
L01B;ANTIMETABOLITES
L01C;ANTINEOPLASIQUES D'ORIGINE VEGETALE
L01C1;ANTICANCEREUX ALACALOIDES DE VINCA
L01C2;ANTICANC�REUX TAXANES
L01C3;ANTICANCEREUX DERIVES DE LA CAMPTOTHECINE
L01C4;PODOPHYLLOTOXINE
L01C9;AUTRES ANTICANCEREUX DERIVES DE PLANTES
L01D;ANTIBIOTIQUES ANTINEOPLASIQUES
L01F;ANTICANCEREUX DERIVES DU PLATINE
L01G;ANTICORPS MONOCLONAUX ANTICANCEREUX
L01G1;ANTICANCEREUX ANTICORPS MONOCLONAL CONTRE LE CD20
L01G2;ANTICANCEREUX ANTICORPS MONOCLONAL CONTRE LE VEGF/VEGFR
L01G3;ANTICANCEREUX ANTICORPS MONOCLONAL CONTRE HER-2
L01G4;ANTICANCEREUX ANTICORPS MONOCLONAL DIRIGE CONTRE EGRF
L01G5;ANTICANCEREUX ANTICORPS MONOCLONAL DIRIGE CONTRE PD1 OU PDL1
L01G9;AUTRES ANTICANCEREUX ANTICORPS MONOCLONAUX
L01H;INHIBITEURS DE PROTEINE-KINASE ANTINEOPLASIQUES
A;VOIES DIGESTIVES ET METABOLISME
A01;PREPARATIONS STOMATOLOGIQUES, PREPARATIONS BUCCALES, DENTIFRICES ETC
A01A;PREPARATIONS STOMATOLOGIQUES
A01A1;DENTIFRICES
A01A2;ANTISEPTIQUES ET ANTIINFECTIEUX POUR TRAITEMENT BUCCAL
A01A3;ANTIINFLAMMATOIRES ET ANALGESIQUES POUR TRAITEMENT BUCCAL
A01A4;PREPARATIONS BUCCALES FLUOREES
A01A5;AUTRES PREPARATIONS STOMATOLOGIQUES
A01B;ANTIFONGIQUES BUCCAUX
A02;ANTIACIDES, ANTIFLATULENTS ET ANTI-ULCEREUX
A02A;ANTIACIDES, ANTIFLATULENTS, MEDICAMENTS CARMINATIFS
A02A1;ANTIACIDES NON ASSOCIES
A02A2;ANTIFLATULENTS ET MEDICAMENTS CARMINATIFS NON ASSOCIES
A02A3;ANTIACIDES AVEC ANTISPASMODIQUES
A02A4;ANTIACIDES AVEC ANTIFLATULENTS OU MEDICAMENTS CARMINATIFS
A02A5;ANTIACIDES AVEC ANTIFLATULENTS ET,OU MED. CARMINATIFS ET ANTISPASMODIQUES
A02A6;ANTIACIDES AVEC D'AUTRES SUBSTANCES
A02A7;ANTIFLATULENTS ET,OU MEDICAMENTS CARMINATIFS AVEC D'AUTRES SUBSTANCES
A02B;ANTIULCEREUX
A02B1;ANTIHISTAMINIQUES H2
A02B2;INHIBITEURS DE LA POMPE A PROTONS
A02B3;PROSTAGLANDINES ANTIULCEREUSES
A02B4;ANTIULCEREUX A BASE DE BISMUTH
A02B9;AUTRES ANTIULCEREUX
A02X;AUTRES MEDICAMENTS DES TROUBLES GASTRIQUES
A03;MEDICAMENTS POUR LES TROUBLES GASTRO-INTESTINAUX FONCTIONNELS
A03A;ANTISPASMODIQUES ET ANTICHOLINERGIQUES NON ASSOCIES
A03C;ASSOCIATIONS ANTISPASMODIQUE ET PSYCHOLEPTIQUE
A03D;ASSOCIATIONS ANTISPASMODIQUE ET ANALGESIQUE
A03E;ANTISPASMODIQUES EN ASSOCIATION AVEC D'AUTRES PRODUITS
A03F;MEDICAMENTS DE LA MOTRICITE DIGESTIVE
A03G;MODULATEURS SENSORIMOTEURS GASTRO-INTESTINAUX
A04;ANTIEMETIQUES ET ANTINAUSEEUX
A04A;ANTIEMETIQUE ET ANTINAUSEEUX
A04A1;ANTIEMETIQUES ET, OU ANTINAUSEEUX ANTAGONISTES DE LA SEROTONINE
A04A2;ANTIEMETIQUES, ANTINAUSEEUX ANTAGONISTES NK1
A04A9;AUTRES ANTIEMETIQUES ET ANTINAUSEEUX
A05;MEDICAMENTS CHOLAGOGUES ET HEPATOPROTECTEURS
A05A;THERAPEUTIQUE BILIAIRE ET MEDICAMENTS CHOLAGOGUES
A05A1;CHOLERETIQUES ET CHOLAGOGUES
A05A2;THERAPEUTIQUE DES CALCULS BILIAIRES
A05A9;AUTRES CHOLAGOGUES ET THERAPIES BILIAIRES
A05B;HEPATOPROTECTEURS, LIPOTROPIQUES
A05C;ASSOCIATIONS CHOLAGOGUE ET LIPOTROPIQUE
A06;MEDICAMENTS CONTRE LA CONSTIPATION ET NETTOYANTS INTESTINAUX
A06A;MEDICAMENTS CONTRE LA CONSTIPATION
A06A1;EMOLLIENTS INTESTINAUX
A06A2;LAXATIFS STIMULANTS
A06A3;LAXATIFS DE LEST
A06A4;LAVEMENTS
A06A6;LAXATIFS OSMOTIQUES
A06A7;LAXATIFS OSMOTIQUES AVEC ELECTROLYTES
A06A9;AUTRES MEDICAMENTS CONTRE LA CONSTIPATION
A06B;NETTOYANTS INTESTINAUX
A06B1;NETTOYANTS INTESTINAUX OSMOTIQUES
A06B2;NETTOYANTS INTESTINAUX OSMOTIQUES + ELECTROLYTES
A06B9;AUTRES NETTOYANTS INTESTINAUX
A07;PRODUITS CONTRE LES TROUBLES INTESTINAUX
A07A;ANTIINFECTIEUX INTESTINAUX
A07B;ANTIDIARRHEIQUES ADSORBANTS INTESTINAUX
A07E;ANTIINFLAMMATOIRES INTESTINAUX
A07E1;AMINOSALICYLES INTESTINAUX
A07E2;CORTICOIDES INTESTINAUX
A07E3;MODULATEURS INTESTINAUX D'ADHESION CELLULAIRE
A07E9;AUTRES ANTI-INFLAMMATOIRES INTESTINAUX
A07F;MICRO-ORGANISMES ANTIDIARRHEIQUES
A07G;SOLUTIONS ORALES D'ELECTROLYTES
A07H;IHNIBITEURS DU TRANSIT
A07X;AUTRES PRODUITS CONTRE LES TROUBLES INTESTINAUX
A08;PREPARATIONS CONTRE L'OBESITE, PRODUITS DIETETIQUES EXCLUS
A08A;PREPARATION CONTRE L'OBESITE, PRODUITS DIETETIQUES EXCLUS
A09;MEDICAMENTS DE LA DIGESTION, ENZYMES DIGESTIVES INCLUSES
A09A;MEDICAMENTS DE LA DIGESTION, ENZYMES INCLUSES
A10;MEDICAMENTS DU DIABETE
A10C;INSULINES HUMAINES ET ANALOGUES
A10C1;INSULINES HUMAINES ET ANALOGUES D'ACTION RAPIDE
A10C2;INSULINES HUMAINES ET ANALOGUES D'ACTION INTERMEDIAIRE
A10C3;INSULINES HUMAINES ET ANALOGUES D'ACTION INTERMEDIAIRE OU LONGUE + RAPIDE
A10C4;INSULINES HUMAINES ET ANALOGUES D'ACTION INTERMEDIAIRE + ACTION LENTE
A10C5;INSULINES HUMAINES ET ANALOGUES D'ACTION LENTE
A10C9;AUTRES INSULINES HUMAINES ET ANALOGUES
A10D;INSULINES ANIMALES
A10E;APPAREILS POUR INSULINE
A10H;ANTIDIABETIQUES SULFAMIDES
A10J;ANTIDIABETIQUES BIGUANIDES
A10J1;ANTIDIABETIQUES BIGUANIDES NON ASSOCIES
A10J2;ASSOCIATIONS D'ANTIDIABETIQUES SULFAMIDES ET BIGUANIDES
A10J9;ANTIDIABETIQUES BIGUANIDES ASSOCIES ET AUTRES ANTIDIABETIQUES
A10K;ANTIDIABETIQUES GLITAZONE
A10K1;ANTIDIABETIQUES GLITAZONE NON ASSOCIES
A10K2;ANTIDIABETIQUES GLITAZONE ET SULPHONYLUREA ASSOCIES
A10K3;ANTIDIABETIQUES GLITAZONE ET BIGUANIDE ASSOCIES
A10K9;ASSOCIATIONS D'ANTIDIABETIQUES GLITAZONE AVEC D'AUTRES ANTIDIABETIQUES ORAUX
A10L;ANTIDIABETIQUES INHIBITEURS DE L'ALPHA GLUCOSIDASE
A10M;GLINIDES ANTIDIABETIQUES
A10M1;GLINIDES ANTIDIABETIQUES NON ASSOCIES
A10M3;ANTIDIABETIQUES GLINIDES + BIGUANIDES ASSOCIES
A10M9;GLINIDES + AUTRES ANTIDIABETIQUES
A10N;ANTIDIABETIQUES INHIBITEURS DE LA DPP-IV
A10N1;ANTIDIABETIQUES INHIBITEURS DE LA DPP-IV NON ASSOCIES
A10N3;BIGUANIDES +ANTIDIABETIQUES INHIBITEURS DE LA DDP-IV ASSOCIES
A10N9;ANTIDIABETIQUES INHIBITEURS DE LA DPP-IV + AUTRES ANTIDIABETIQUES
A10P;ANTIDIABETIQUES INHIBITEURS DE SGLT2
A10P1;ANTIDIABETIQUES INHIBITEURS SGLT2
A10P3;ANTIDIABETIQUES ASSOCIATION BIGUIANIDE + INHIBITEUR SGLT2
A10P5;ASSOCIATION ANTIDIABETIQUES INHIBITEUR SGLT2 + INHIBITEUR DPP-IV
A10P9;ANTIDIABETIQUES INHIBITEURS DE SGLT2, AUTRES ASSOCIATIONS
A10S;ANTIDIABETIQUES AGONISTES GLP-1
A10X;AUTRES MEDICAMENTS DU DIABETE
A10X9;AUTRES MEDICAMENTS DU DIABETE
A11;VITAMINES
A11A;POLYVITAMINES AVEC ELEMENTS MINERAUX
A11A1;A USAGE PRENATAL
A11A2;A USAGE PEDIATRIQUE
A11A3;POLYVITAMINES A USAGE GERIATRIQUE
A11A4;AUTRES POLYVITAMINES AVEC ELEMENTS MINERAUX
A11B;POLYVITAMINES SANS ELEMENTS MINERAUX
A11B1;POUR LA PERIODE PRENATALE
A11B2;POLYVITAMINES A USAGE PEDIATRIQUE
A11B3;EN GERIATRIE
A11B4;AUTRES POLYVITAMINES SANS ELEMENTS MINERAUX
A11C;VITAMINES A ET D, ASSOCIATIONS DES DEUX INCLUSES
A11C1;VITAMINE A
A11C2;VITAMINE D
A11C3;ASSOCIATIONS DE VITAMINE A ET DE VITAMINE D
A11D;VITAMINE B1 ET ASSOCIATIONS DES VITAMINES B1, B6, B12
A11D3;VITAMINE B1, NON ASSOCIEE
A11D4;VITAMINE B1 EN ASSOCIATION AVEC VITAMINE B6 ET/OU VITAMINE B12
