ATC3;Libellé ATC3
C02B;ADRENOLYTIQUES GANGLIOPLEGIQUES 
C02C;ADRENOLYTIQUES À ACTION PERIPHERIQUE 
C02D;MEDICAMENTS AGISSANT SUR LE MUSCLE LISSE ARTERIOLAIRE 
C02K;AUTRES ANTIHYPERTENSEURS 
C02L;ANTIHYPERTENSEURS ET DIURETIQUES EN ASSOCIATION 
C02N;ASSOCIATIONS D'ANTIHYPERTENSEURS DU GROUPE C02 
C03A;"DIURETIQUES ""LOW-CEILING"", THIAZIDIQUES "
C03B;"DIURETIQUES ""LOW-CEILING"", THIAZIDIQUES EXCLUS "
C03C;DIURETIQUES DE L'ANSE 
C03D;DIURETIQUES EPARGNEURS POTASSIQUES 
C03E;DIURETIQUES ET EPARGNEURS POTASSIQUES EN ASSOCIATION 
C03X;AUTRES DIURETIQUES 
C04A;VASODILATATEURS PERIPHERIQUES 
C05A;MEDICAMENTS POUR LE TRAITEMENT DES HEMORROIDES ET DES FISSURES ANALES A USAGE TOPIQUE
C05B;THERAPEUTIQUE ANTIVARIQUEUSE 
C05C;MEDICAMENTS AGISSANT SUR LES CAPILLAIRES 
C07A;BETABLOQUANTS 
C07B;BETABLOQUANTS ET THIAZIDIQUES 
C07C;BETABLOQUANTS ET AUTRES DIURETIQUES 
C07D;BETABLOQUANTS, THIAZIDIQUES ET AUTRES DIURETIQUES 
C07E;BETABLOQUANTS ET VASODILATATEURS 
C07F;BETABLOQUANTS ET AUTRES ANTIHYPERTENSEURS 
C08C;INHIBITEURS CALCIQUES SELECTIFS A EFFETS VASCULAIRES 
C08D;INHIBITEURS CALCIQUES SELECTIFS A EFFETS CARDIAQUES DIRECTS 
C08E;INHIBITEURS CALCIQUES NON SELECTIFS 
C08G;INHIBITEURS CALCIQUES ET DIURETIQUES 
C09A;INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) NON ASSOCIES 
C09B;INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) EN ASSOCIATION 
C09C;ANTAGONISTES DE L'ANGIOTENSINE II, NON ASSOCIES 
C09D;ANTAGONISTES DE L'ANGIOTENSINE II EN ASSOCIATION 
C09X;AUTRES MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE 
C10A;AGENTS MODIFIANT LES LIPIDES NON ASSOCIES 
C10B;AGENTS MODIFIANT LES LIPIDES EN ASSOCIATION 
D01A;ANTIFONGIQUES A USAGE TOPIQUE 
D01B;ANTIFONGIQUES A USAGE SYSTEMIQUE 
D02A;EMOLLIENTS ET PROTECTEURS 
D02B;PROTECTEURS CONTRE LES RAYONNEMENTS UV 
D03A;CICATRISANTS 
D03B;ENZYMES 
D04A;ANTIPRURIGINEUX, INCLUANT ANTIHISTAMINIQUES, ANESTHESIQUES, ETC. 
D05A;MEDICAMENTS CONTRE LE PSORIASIS A USAGE TOPIQUE 
D05B;MEDICAMENTS CONTRE LE PSORIASIS A USAGE SYSTEMIQUE 
D06A;ANTIBIOTIQUES A USAGE TOPIQUE 
D06B;CHIMIOTHERAPIE A USAGE TOPIQUE 
D06C;ANTIBIOTIQUES ET CHIMIOTHERAPIE EN ASSOCIATION 
D07A;CORTICOIDES NON ASSOCIES 
D07B;CORTICOIDES, ASSOCIATIONS AVEC DES ANTISEPTIQUES 
D07C;CORTICOIDES, ASSOCIATIONS AVEC DES ANTIBIOTIQUES 
D07X;CORTICOIDES, AUTRES ASSOCIATIONS 
D08A;ANTISEPTIQUES ET DESINFECTANTS 
D09A;PANSEMENTS MEDICAMENTEUX 
D10A;PREPARATIONS ANTIACNEIQUES A USAGE TOPIQUE 
D10B;PREPARATIONS ANTIACNEIQUES A USAGE SYSTEMIQUE 
D11A;AUTRES PREPARATIONS DERMATOLOGIQUES 
G01A;ANTIINFECTIEUX ET ANTISEPTIQUES, ASSOCIATIONS AUX CORTICOIDES EXCLUES 
G01B;ANTIINFECTIEUX ET ANTISEPTIQUES EN ASSOCIATION AUX CORTICOIDES 
G02A;OCYTOCIQUES 
G02B;CONTRACEPTIFS A USAGE TOPIQUE 
G02C;AUTRES MEDICAMENTS GYNECOLOGIQUES 
G03A;CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE 
G03B;ANDROGENES 
G03C;ESTROGENES 
G03D;PROGESTATIFS 
G03E;ANDROGENES ET HORMONES SEXUELLES FEMELLES EN ASSOCIATION 
G03F;PROGESTATIFS ET ESTROGENES EN ASSOCIATION 
G03G;GONADOTROPHINES ET AUTRES STIMULANTS DE L'OVULATION 
G03H;ANTIANDROGENES 
G03X;AUTRES HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE 
G04B;AUTRES MEDICAMENTS UROLOGIQUES, ANTISPASMODIQUES INCLUS 
G04C;MEDICAMENTS UTILISES DANS L'HYPERTROPHIE BENIGNE DE LA PROSTATE 
H01A;HORMONES DE L'ANTE HYPOPHYSE ET ANALOGUES 
H01B;HORMONES DE LA POST HYPOPHYSE 
H01C;HORMONES HYPOTHALAMIQUES 
H02A;CORTICOIDES A USAGE SYSTEMIQUE NON ASSOCIES 
H02B;CORTICOIDES A USAGE SYSTEMIQUE EN ASSOCIATION 
H02C;ANTIHORMONES SURRENALIENNES 
H03A;PREPARATIONS THYROIDIENNES 
H03B;ANTITHYROIDIENS 
H03C;MEDICAMENTS IODES 
H04A;HORMONES GLYCOGENOLYTIQUES 
H05A;HORMONES PARATHYROIDIENNES ET ANALOGUES 
H05B;AGENTS ANTIPARATHYROÏDIENS 
J01A;TETRACYCLINES 
J01B;PHENICOLES 
J01C;BETALACTAMINES : PENICILLINES 
J01D;AUTRES BETALACTAMINES 
J01E;SULFAMIDES ET TRIMETHOPRIME 
J01F;MACROLIDES, LINCOSAMIDES ET STREPTOGRAMINES 
J01G;AMINOSIDES ANTIBACTERIENS 
J01M;QUINOLONES ANTIBACTERIENNES 
J01R;ASSOCIATIONS D'ANTIBACTERIENS 
J01X;AUTRES ANTIBACTERIENS 
J02A;ANTIMYCOSIQUES A USAGE SYSTEMIQUE 
J04A;ANTITUBERCULEUX 
J04B;ANTILEPREUX 
J05A;ANTIVIRAUX A ACTION DIRECTE 
J06A;IMMUNSERUMS 
J06B;IMMUNOGLOBULINES 
J07A;VACCINS BACTERIENS 
J07B;VACCINS VIRAUX 
J07C;VACCINS BACTERIENS ET VIRAUX ASSOCIES 
J07X;AUTRES VACCINS 
L01A;AGENTS ALKYLANTS 
L01B;ANTIMETABOLITES 
L01C;ALCALOIDES VEGETAUX ET AUTRES MEDICAMENTS D'ORIGINE NATURELLE 
L01D;ANTIBIOTIQUES CYTOTOXIQUES ET APPARENTES 
L01X;AUTRES ANTINEOPLASIQUES 
L02A;HORMONES ET APPARENTES 
L02B;ANTIHORMONES ET APPARENTES 
L03A;IMMUNOSTIMULANTS 
L04A;IMMUNOSUPPRESSEURS 
M01A;ANTIINFLAMMATOIRES, ANTIRHUMATISMAUX, NON STEROIDIENS 
M01B;ANTIINFLAMMATOIRES ANTIRHUMATISMAUX EN ASSOCIATION 
M01C;ANTIRHUMATISMAUX SPECIFIQUES 
M02A;TOPIQUES POUR DOULEURS ARTICULAIRE ET MUSCULAIRE 
M03A;MYORELAXANTS A ACTION PERIPHERIQUE 
M03B;MYORELAXANTS A ACTION CENTRALE 
M03C;MYORELAXANTS A ACTION DIRECTE 
M04A;ANTIGOUTTEUX 
M05B;MEDICAMENTS AGISSANT SUR LA STRUCTURE OSSEUSE ET LA MINERALISATION 
M09A;AUTRES MEDICAMENTS DES DESORDRES MUSCULO-SQUELETTIQUES 
N01A;ANESTHESIQUES GENERAUX 
N01B;ANESTHESIQUES LOCAUX 
N02A;OPIOIDES 
N02B;AUTRES ANALGESIQUES ET ANTIPYRETIQUES 
N02C;ANTIMIGRAINEUX 
N03A;ANTIEPILEPTIQUES 
N04A;ANTICHOLINERGIQUES 
N04B;DOPAMINERGIQUES 
N05A;ANTIPSYCHOTIQUES 
N05B;ANXIOLYTIQUES 
N05C;HYPNOTIQUES ET SEDATIFS 
N06A;ANTIDEPRESSEURS 
N06B;PSYCHOSTIMULANTS, AGENTS UTILISES DANS LE TDAH ET NOOTROPES 
N06C;PSYCHOLEPTIQUES ET PSYCHOANALEPTIQUES EN ASSOCIATION 
N06D;MEDICAMENTS DE LA DEMENCE 
N07A;PARASYMPATHOMIMETIQUES 
N07B;MEDICAMENTS UTILISES DANS LES PHENOMÈNES DE DEPENDANCE 
N07C;ANTIVERTIGINEUX 
N07X;AUTRES MEDICAMENTS DU SYSTEME NERVEUX 
P01A;MEDICAMENTS CONTRE L'AMIBIASE ET AUTRES PROTOZOOSES 
P01B;ANTIPALUDIQUES 
P01C;ANTILEISHMANIENS ET TRYPANOCIDES 
P02B;ANTITREMATODES 
P02C;ANTINEMATODES 
P02D;ANTICESTODES 
P03A;ANTIPARASITAIRES EXTERNES, SCABICIDES INCLUS
R01A;DECONGESTIONNANTS ET AUTRES PREPARATIONS A USAGE TOPIQUE 
R01B;DECONGESTIONNANTS A USAGE SYSTEMIQUE 
R02A;PREPARATIONS POUR LA GORGE 
R03A;ADRENERGIQUES POUR INHALATION 
R03B;AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES PAR INHALATION
R03C;ADRENERGIQUES A USAGE SYSTEMIQUE 
R03D;AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES À USAGE SYSTEMIQUE
R05C;EXPECTORANTS, SAUF ASSOCIATIONS AUX ANTITUSSIFS 
R05D;ANTITUSSIFS, SAUF ASSOCIATIONS AUX EXPECTORANTS 
R05F;ANTITUSSIFS ET EXPECTORANTS EN ASSOCIATION 
R05X;AUTRES MEDICAMENTS DU RHUME EN ASSOCIATION 
R06A;ANTIHISTAMINIQUES A USAGE SYSTEMIQUE 
R07A;AUTRES MEDICAMENTS DE L'APPAREIL RESPIRATOIRE 
S01A;ANTIINFECTIEUX 
S01B;ANTIINFLAMMATOIRES 
S01C;ANTIINFLAMMATOIRES ET ANTIINFECTIEUX EN ASSOCIATION 
S01E;ANTIGLAUCOMATEUX ET MYOTIQUES 
S01F;MYDRIATIQUES ET CYCLOPLEGIQUES 
S01G;DECONGESTIONNANTS ET ANTIALLERGIQUES 
S01H;ANESTHESIQUES LOCAUX 
S01J;MEDICAMENTS DE DIAGNOSTIC 
S01K;ADJUVANTS EN CHIRURGIE OPHTALMIQUE 
S01L;MEDICAMENTS CONTRE LES TROUBLES OCULOVASCULAIRES 
S01X;AUTRES MEDICAMENTS OPHTALMOLOGIQUES 
S02A;ANTIINFECTIEUX 
S02B;CORTICOIDES 
S02C;CORTICOIDES ET ANTIINFECTIEUX EN ASSOCIATION 
S02D;AUTRES MEDICAMENTS OTOLOGIQUES 
V01A;ALLERGENES 
V03A;TOUS AUTRES MEDICAMENTS 
V04B;TESTS URINAIRES 
V04C;AUTRES MEDICAMENTS POUR DIAGNOSTIC 
V06A;PREPARATIONS DIETETIQUES POUR LE TRAITEMENT DE L'OBESITE 
V06B;SUPPLEMENTS PROTEIQUES 
V06C;PREPARATIONS PEDIATRIQUES 
V06D;AUTRES NUTRIMENTS 
V07A;TOUS AUTRES PRODUITS NON THERAPEUTIQUES 
V08A;PRODUITS DE CONTRASTE IODES 
V08B;PRODUITS DE CONTRASTE NON IODES 
V08C;PRODUITS DE CONTRASTE POUR IMAGERIE PAR RESONANCE MAGNETIQUE 
V08D;PRODUITS POUR ECHOGRAPHIE 
W999;SPECIALITES HOMEOPATHIQUES
