CDM_COD;CDM_LIB;TEC_COL
A220;** S>85 ** ACTE SUPPRIME ** (RACHIS CERVICAL FP :T);0
A221;** S>85 ** ACTE SUPPRIME ** (RACHIS CERVICAL F OU P OU O :T);0
A207;** S>85 ** ACTE SUPPRIME ** (ROCHER : INCIDENCE DE HIRTZ T);0
A096;** SU95 ** ACTE SUPPRIME ** (CHOLANGIOGRAPHIE INTRA-VEINEUSE - TRACTUS DIGESTIF - RADIOGRAPHIES STANDARD);0
A097;CHOLANGIOGRAPHIE TRANSPARIETO-HEPATIQUE;0
A098;CHOLANGIOGRAPHIE PAR VOIE JUGULAIRE;0
A099;** S>85 ** ACTE SUPPRIME ** (CHOLANGIOGRAPHIE RETROGRADE);0
A100;** S>85 ** ACTE SUPPRIME ** (WIRSUNGOGRAPHIE);0
A101;CHOLANGIOGRAPHIE PEROPERATOIRE;0
A102;CHOLANGIOGRAPHIE PAR DRAIN DE KEHR;0
A103;CHOLANGIOGRAPHIE AVEC PRISE DE PRESSIONS;0
A104;** SU95 ** ACTE SUPPRIME ** (ABDOMEN (CLICHE COMPLEMENTAIRE) - TRACTUS DIGESTIF - RADIOGRAPHIES STANDARD);0
A105;TRANSIT OESO-GASTRO-DUODENAL;0
A106;UROGRAPHIE INTRAVEINEUSE;0
A107;** SU95 ** ACTE SUPPRIME ** (TOMOGRAPHIE OU ZONOGRAPHIE AU COURS D'UNE UROGRAPHIE INTRA-VEINEUSE TRACTUS GENITO-URINAIRE - RADIOGRAPHIES STANDARD);0
A108;** S>85 ** ACTE SUPPRIME ** (CYSTOGRAPHIE DESCENDANTE AU COURS D'UNE UROGRAPHIE INTRAVEINEUSE);0
A183;** SU95 ** ACTE SUPPRIME ** (CHARNIERE OCCIPITO-ATLOIDIENNE FACE ET PROFIL - RACHIS ET CONTENU - RADIOGRAPHIES STANDARD - RACHIS CERVICAL);0
A072;** SU95 ** ACTE SUPPRIME ** (LARYNX ET HYPOPHARYNX PROFIL - COEUR, COU ET CAGE THORACIQUE - RADIOGRAPHIES STANDARD);0
A073;MAMMOGRAPHIE BILATERALE;0
A074;MAMMOGRAPHIE UNILATERALE;0
A075;** SU95 ** ACTE SUPPRIME ** (MAMMOGRAPHIE + CLICHES APRES PONCTION ET INSUFFLATION DE KYSTES - COEUR, COU ET CAGE THORACIQUE - RADIOGRAPHIES STANDARD);0
A076;GALACTOGRAPHIE;0
A077;** S>85 ** ACTE SUPPRIME ** (FISTULOGRAPHIE MAMMAIRE);0
A078;** SU95 ** ACTE SUPPRIME ** (TELETHORAX FACE ET PROFIL - POUMON ET MEDIASTIN - RADIOGRAPHIES STANDARD);0
A079;** SU95 ** ACTE SUPPRIME ** (TELETHORAX FACE OU PROFIL - POUMON ET MEDIASTIN - RADIOGRAPHIES STANDARD);0
A080;** SU95 ** ACTE SUPPRIME ** (TELETHORAX OBLIQUE DROIT ET GAUCHE - POUMON ET MEDIASTIN - RADIOGRAPHIES STANDARD);0
A181;** SU95 ** ACTE SUPPRIME ** (AGE OSSEUX - MEMBRE SUPERIEUR - RADIOGRAPHIES STANDARD);0
A182;** SU95 ** ACTE SUPPRIME ** (CHARNIERE OCCIPITO-ATLOIDIENNE FACE ET PROFIL - CRANE, CONTENU ET MASSIF FACIAL - RADIOGRAPHIES STANDARD);0
A032;** SU95 ** ACTE SUPPRIME ** (TELE-RADIOGRAPHIE A 3 METRES (ORTHODONTIE) - CRANE, CONTENU ET MASSIF FACIAL - RADIOGRAPHIES STANDARD);0
A033;** S>85 ** ACTE SUPPRIME ** (INCIDENCES SPECIALES AUTRES (ORBITES, ZYGOMA, MULLER));0
A525;PONCTION DIRECTE ARTERIELLE : HUMERALE - MEMBRES SUPERIEURS;0
A526;PONCTION DIRECTE ARTERIELLE : AXILLAIRE - MEMBRES SUPERIEURS;0
A527;PONCTION DIRECTE ARTERIELLE : AORTE ABDOMINALE - RACHIS ET CONTENU;0
A528;PONCTION DIRECTE ARTERIELLE : AORTE ABDOMINALE - TRACTUS DIGESTIF;0
A529;PONCTION DIRECTE ARTERIELLE : AORTE ABDOMINALE - TRACTUS GENITO-URINAIRE;0
A530;PONCTION DIRECTE ARTERIELLE : AORTE ABDOMINALE - MEMBRES INFERIEURS;0
A531;EMBOLISATION DES MALFORMATIONS VASCULAIRES LENTES : CAPILLARO-VEINEUSES, LYMPHATIQUES, PAR PONCTION DIRECTE - CRANE, CONTENU ET MASSIF FACIAL;0
A532;EMBOLISATION DES ANEVRYSMES INTRACRANIENS;0
A533;ANGIOPLASTIE DU VASO-SPASME DES VAISSEAUX CEREBRAUX INTRACRANIENS;0
A534;ANGIOPLASTIE DES VAISSEAUX SUPRA-AORTIQUES - CRANE, CONTENU ET MASSIF FACIAL;0
A535;UN SEGMENT RACHIDIEN DORSAL OU LOMBO-SACRE : 2 INCIDENCES;0
A536;UN SEGMENT RACHIDIEN CERVICAL : 4 INCIDENCES;0
A537;UN SEGMENT RACHIDIEN LOMBO-SACRE : 4 INCIDENCES;0
A538;CHARNIERE ENTRE 2 SEGMENTS RACHIDIENS : 2 INCIDENCES;0
A539;RACHIS EN TOTALITE SUR CASSETTES 30X120 : 1 INCIDENCE;0
A540;RACHIS EN TOTALITE SUR CASSETTES 30X120 : 2 INCIDENCES;0
A541;RACHIS EN TOTALITE SUR CASSETTES 30X120 : 3 INCIDENCES ET PLUS;0
A542;EPREUVE DYNAMIQUE : 2 INCIDENCES - RACHIS ET CONTENU;0
A543;MYELOGRAPHIE OPAQUE DORSALE ET LOMBAIRE;0
A544;SACCORADICULOGRAPHIE OU PERIDUROGRAPHIE;0
A665;** SU95 ** ACTE SUPPRIME ** (TRONC COELIAQUE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - TRACTUS DIGESTIF - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A638;ANGIOGRAPHIE NUMERIQUE PAR VOIE VEINEUSE - MEMBRES SUPERIEURS;0
A639;LYMPHOGRAPHIE : EXAMEN COMPLET, TEMPS CANALICULAIRE ET GANGLIONNAIRE - MEMBRES SUPERIEURS;0
A640;LYMPHOGRAPHIE : CONTROLE APRES LE QUINZIEME JOUR - MEMBRES SUPERIEURS;0
A641;** SU95 ** ACTE SUPPRIME ** (CAVERNOGRAPHIE PAR PONCTION DIRECTE - TRACTUS GENITO-URINAIRE - RADIOLOGIE VASCULAIRE - PHLEBOGRAPHIE);0
A642;** SU95 ** ACTE SUPPRIME ** (AUTRES PHLEBOGRAPHIES PAR PONCTION DIRECTE - CRANE, CONTENU ET MASSIF FACIAL - RADIOLOGIE VASCULAIRE - PHLEBOGRAPHIE);0
A643;** SU95 ** ACTE SUPPRIME ** (AUTRES PHLEBOGRAPHIES PAR CATHETERISME - CRANE, CONTENU ET MASSIF FACIAL - RADIOLOGIE VASCULAIRE - PHLEBOGRAPHIE);0
A644;** SU95 ** ACTE SUPPRIME ** (ANGIOGRAPHIE NUMERIQUE PAR VOIE VEINEUSE CENTRALE - CRANE, CONTENU ET MASSIF FACIAL - RADIOLOGIE VASCULAIRE - PHLEBOGRAPHIE);0
A645;ANGIOGRAPHIE NUMERIQUE PAR VOIE VEINEUSE PERIPHERIQUE - CRANE, CONTENU ET MASSIF FACIAL;0
A646;TOMOGRAPHIES CLASSIQUES : 2 INCIDENCES ET PLUS DE 10 COUPES - RACHIS ET CONTENU;0
A647;BIOPSIE OSSEUSE PROFONDE DU RACHIS;0
A648;INFILTRATION RACHIDIENNE CERVICALE;0
A649;INFILTRATION RACHIDIENNE LOMBAIRE;0
A650;** SU95 ** ACTE SUPPRIME ** (VERTEBRALE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - CRANE, CONTENU ET MASSIF FACIAL - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A651;CONTROLE RADIOSCOPIQUE PEROPERATOIRE - RACHIS ET CONTENU;0
A512;** SU95 ** ACTE SUPPRIME ** (CAROTIDE PRIMITIVE (PONCTION DIRECTE ARTERIELLE) - CRANE, CONTENU ET MASSIF FACIAL - RADIOLOGIE VASCULAIRE - PONCTION DIRECTE ARTERIELLE);0
A430;** SU95 ** ACTE SUPPRIME ** (SELECTIVE LOMBAIRE (CATHETERISME ARTERIEL PAR SONDE GUIDEE) - RACHIS ET CONTENU - RADIOLOGIE VASCULAIRE - CATHETERISME ARTERIEL PAR SONDE GUIDEE);0
A317;** S>85 ** ACTE SUPPRIME ** (REDUCTION DE FRACTURE SOUS SCOPIE TELEVISEE);0
A318;** S>85 ** ACTE SUPPRIME ** (CONTROLE RADIOSCOPIQUE TELEVISE D'UN ACTE CHIRURGICAL OU ENDOSCOPIQUE FAIT EN SALLE DE RADIODIAGNOSTIC);0
A319;FISTULOGRAPHIE;0
A320;** S>85 ** ACTE SUPPRIME ** (STEREORADIOGRAPHIE);0
A321;** S>85 ** ACTE SUPPRIME ** (THERMOGRAPHIE);0
A322;OPACIFICATION D'UN DRAIN (MISE EN PLACE CHIRURGICALE);0
A323;** SU95 ** ACTE SUPPRIME ** (SCANOGRAPHIE X PEROPERATOIRE (CRANE, CONTENU ET MASSIF FACIAL));0
A324;ECHOGRAPHIE PEROPERATOIRE - CRANE, CONTENU ET MASSIF FACIAL;0
A325;** S>85 ** ACTE SUPPRIME ** (DILATATION ARTERIELLE : CC (EXCLUE TOUT AUTRE CODE));0
