csarr_code;libelle;gestes_complementaires;modulateurs
ZGQ+287;Évaluation structurée de la relation parent-enfant;;
ALT+145;"Séance individuelle d'entretien psychologique à visée de réadaptation cognitive

À l'exclusion de : 
•  séance individuelle d'entretien psychologique à visée de réadaptation cognitive avec mise en situation (ALT+236)
•  séance d'entretien psychologique à visée de réadaptation cognitive avec simulateur (ALT+097)
";;ZV
ALT+263;Séance collective d'entretien psychologique à visée de réadaptation cognitive;;
ALT+236;Séance individuelle d'entretien psychologique à visée de réadaptation cognitive avec mise en situation;;
ALT+151;Séance collective d'entretien psychologique à visée de réadaptation cognitive avec mise en situation;;
ALT+097;Séance d'entretien psychologique à visée de réadaptation cognitive avec simulateur;;
ALM+024;Séance de restauration, développement et compensation de fonction mnésique par réalisation d'1 tâche élémentaire;;"EZ;ZV"
ALM+139;Séance de restauration, développement et compensation de fonction mnésique par réalisation de plusieurs tâches élémentaires combinées et coordonnées;;"EZ;ZV"
ALM+050;Séance de restauration, développement et compensation de fonction mnésique par planification et réalisation de plusieurs tâches élémentaires combinées et coordonnées;;"EZ;HW"
ALM+172;Séance de restauration, développement et compensation de fonction exécutive par réalisation d'1 tâche élémentaire;;EZ
ALM+167;Séance de restauration, développement et compensation des fonctions exécutives par réalisation de plusieurs tâches élémentaires combinées et coordonnées;;EZ
ALM+126;"Séance de restauration, développement et compensation des fonctions cognitives globales et spécifiques
Séance de restauration et/ou développement des fonctions cognitives et exécutives en addictologie
";;"EZ;ZV"
ALR+298;Séance de stimulation cognitive, sensorielle, sensitive et motrice;;"EZ;ZV;QM;TF;LJ;RW;HW"
ANR+259;Séance de rééducation psychomotrice des troubles de latéralité;;"EZ;QM"
ALR+201;"Séance de rééducation et/ou compensation de la négligence spatiale unilatérale par exécution d'1 tâche élémentaire

Avec ou sans : aide au déplacement
";;EZ
ALR+073;"Séance de rééducation et/ou compensation de la négligence spatiale unilatérale par exécution de plusieurs tâches élémentaires combinées et coordonnées

Avec ou sans : aide au déplacement
";;EZ
ANR+237;Séance de rééducation psychomotrice des troubles temporospatiaux;;"EZ;QM"
ALR+004;Séance de rééducation de l'orientation temporospatiale et de l'apraxie constructive;;"EZ;QM"
ANR+089;Séance de rééducation psychomotrice des dyspraxies visuospatiale et visuomotrice;;EZ
ANR+219;"Séance de rééducation psychomotrice des dyspraxies gestuelles

À l'exclusion de : 
•  séance de restauration, développement et compensation des apraxies gestuelles par réalisation d'1 tâche élémentaire (ANM+048)
•  séance de restauration, développement et compensation des apraxies gestuelles par réalisation de plusieurs tâches élémentaires combinées et coordonnées (ANM+201)
•  séance de restauration, développement et compensation des apraxies gestuelles par planification et réalisation de plusieurs tâches élémentaires combinées et coordonnées (ANM+069)
";;EZ
ANM+048;Séance de restauration, développement et compensation des apraxies gestuelles par réalisation d'1 tâche élémentaire;;EZ
ANM+201;Séance de restauration, développement et compensation des apraxies gestuelles par réalisation de plusieurs tâches élémentaires combinées et coordonnées;;EZ
ANM+069;Séance de restauration, développement et compensation des apraxies gestuelles par planification et réalisation de plusieurs tâches élémentaires combinées et coordonnées;;EZ
ANR+128;Séance de rééducation des troubles de la graphomotricité;;EZ
ANR+032;Séance de rééducation psychomotrice des troubles de la coordination motrice;;"EZ;QM"
ANR+216;Séance de rééducation psychomotrice du schéma corporel;;"EZ;QM"
ANR+270;Séance individuelle de réadaptation et/ou conservation de la coordination par les activités physiques et/ou sportives;;"EZ;QM;TF;RW;HW;LJ"
ANR+094;Séance collective de réadaptation et/ou conservation de la coordination par les activités physiques et/ou sportives;;"QM;TF;RW;HW;LJ"
GKR+181;Séance individuelle de rééducation du langage oral;;EZ
GKR+213;Séance collective de rééducation du langage oral;;
GKR+091;Séance de rééducation du langage écrit;;EZ
AKR+229;Séance individuelle de rééducation des troubles du raisonnement logique et mathématique;;EZ
AKR+074;Séance collective de rééducation des troubles du raisonnement logique et mathématique;;
ALT+074;"Entretien psychologique individuel
Accompagnement de fin de vie

Accompagnement d'annonce de diagnostic ou de pronostic

Entretien d'orientation

Aide aux aidants de patient atteint d'affection chronique


À l'exclusion de : 
•  séance individuelle d'entretien psychologique à visée de réadaptation cognitive (ALT+145)
•  séance individuelle d'entretien psychologique à visée thérapeutique (ALT+220)
";;ZV
ALT+044;"Entretien psychologique collectif
Aide aux aidants de patient atteint d'affection chronique


À l'exclusion de : 
•  séance collective d'entretien psychologique à visée de réadaptation cognitive (ALT+263)
•  séance collective d'entretien psychologique à visée thérapeutique (ALT+085)
";;
ALT+220;Séance individuelle d'entretien psychologique à visée thérapeutique;;ZV
ALT+085;Séance collective d'entretien psychologique à visée thérapeutique;;
ZGT+251;"Entretien d'aide à la prise de conscience des limites des capacités liées au handicap

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;"XH;ZV"
ZGR+054;"Séance d'apprentissage des soins de développement de l'enfant de moins de 3 ans
Newborn Individual Development Care and Assessment Program [NIDCAP]
";;
ZGT+069;Accompagnement de la relation parent-enfant;;
ZGT+162;Accompagnement à la parentalité;;
ZGT+100;Accompagnement de la séparation parent-enfant;;
ZZR+145;"Séance individuelle de relaxation

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;QM
ZZR+028;"Séance collective de relaxation

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;"QM;TF;LJ"
BLQ+273;Évaluation initiale de la capacité visuelle, oculomotrice, sensorielle, sensitive et/ou motrice d'un patient déficient visuel;;
BLQ+037;Évaluation intermédiaire de la capacité visuelle, oculomotrice sensorielle, sensitive et/ou motrice d'un patient déficient visuel;;
BLQ+012;Évaluation finale de la capacité visuelle, oculomotrice sensorielle, sensitive et/ou motrice d'un patient déficient visuel;;
BLQ+155;Évaluation de la tolérance à la lumière;;
BLQ+028;Évaluation pour recherche de filtres protecteurs de la vision;;
BLQ+018;Évaluation initiale de la capacité de déplacement d'un patient déficient visuel;;
BLQ+137;Évaluation intermédiaire de la capacité de déplacement d'un patient déficient visuel;;
BLQ+272;Évaluation finale de la capacité de déplacement d'un patient déficient visuel;;
CDQ+147;"Évaluation initiale de l'audition

Avec ou sans : enregistrement du son et/ou de l'image
";;
CDQ+139;"Évaluation intermédiaire de l'audition

Avec ou sans : enregistrement du son et/ou de l'image
";;
CDQ+111;"Évaluation finale de l'audition

Avec ou sans : enregistrement du son et/ou de l'image
";;
CDQ+279;"Évaluation initiale des compétences en discrimination auditive

Avec ou sans : enregistrement du son et/ou de l'image
";;
CDQ+273;"Évaluation intermédiaire des compétences en discrimination auditive

Avec ou sans : enregistrement du son et/ou de l'image
";;
CDQ+136;"Évaluation finale des compétences en discrimination auditive

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+054;"Évaluation initiale des compétences en lecture labiale

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+177;"Évaluation intermédiaire des compétences en lecture labiale

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+186;"Évaluation finale des compétences en lecture labiale

Avec ou sans : enregistrement du son et/ou de l'image
";;
CEQ+009;Évaluation initiale pour rééducation des troubles vestibulaires;;
CEQ+219;Évaluation intermédiaire pour rééducation des troubles vestibulaires;;
CEQ+151;Évaluation finale pour rééducation des troubles vestibulaires;;
ANQ+179;Hétéro-évaluation de la douleur d'un patient sans communication verbale fiable [patient dyscommunicant];;ZV
ANQ+173;Évaluation de la sensibilité de la peau et des articulations d'un patient indolore;;
ANQ+126;Évaluation de la sensibilité de la peau et des articulations d'un patient douloureux;;ZV
BLR+131;Séance de rééducation des troubles de la reconnaissance des formes et du repérage d'objet dans l'espace, dans l'agnosie visuelle;;EZ
BLR+257;Séance de rééducation des troubles du déplacement, dans l'agnosie visuelle;;EZ
BLR+077;Séance de rééducation oculomotrice;;EZ
BLR+107;Séance d'apprentissage de l'autonomie de déplacement d'un patient déficient visuel;;"EZ;TF;RW;HW;LJ;XH"
BLR+152;"Séance d'apprentissage de la réalisation des activités de la vie quotidienne par un patient déficient visuel
Séance de rééducation du patient déficient visuel pour l'habillage
";;"EZ;TF;RW;HW;LJ;XH"
BLR+156;Séance de rééducation en basse vision;;EZ
CDR+018;Séance de rééducation des troubles de l'audition;;EZ
CDR+063;Séance de rééducation des compétences en discrimination auditive;;EZ
GKR+156;Séance d'apprentissage de la lecture labiale;;EZ
CER+030;Séance de rééducation des troubles vestibulaires;;EZ
ANR+265;Séance d'apprentissage de la gestion de la douleur;;"EZ;ZV;QM"
ANR+283;Séance de rééducation d'un trouble de la sensibilité superficielle et/ou profonde;;"EZ;QM"
ANR+200;Séance individuelle de réadaptation et/ou conservation de la proprioception par les activités physiques et/ou sportives;;"EZ;TF;RW;HW;LJ"
ANR+153;Séance collective de réadaptation et/ou conservation de la proprioception par les activités physiques et/ou sportives;;"EZ;TF;RW;HW;LJ"
GKQ+042;"Évaluation initiale des troubles de la voix

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+197;"Évaluation intermédiaire des troubles de la voix

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+274;"Évaluation finale des troubles de la voix

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+282;"Évaluation initiale des troubles de l'articulation des sons et/ou de la parole

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+207;"Évaluation intermédiaire des troubles de l'articulation des sons et/ou de la parole

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+248;"Évaluation finale des troubles de l'articulation des sons et/ou de la parole

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+136;"Évaluation initiale des troubles de la parole, du langage et de la communication

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+273;"Évaluation intermédiaire des troubles de la parole, du langage et de la communication

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKQ+262;"Évaluation finale des troubles de la parole, du langage et de la communication

Avec ou sans : enregistrement du son et/ou de l'image
";;
GKR+096;Séance de rééducation des troubles de la voix;;EZ
GKR+256;Séance de rééducation de l'articulation des sons et/ou de la parole;;EZ
GKR+255;Séance individuelle de rééducation des troubles de la parole, du langage et de la communication;;EZ
GKR+200;Séance collective de rééducation des troubles de la parole, du langage et de la communication;;
DKQ+008;Quantification des capacités fonctionnelles cardiovasculaires et/ou respiratoires pour la réalisation des gestes quotidiens;"GLQ+043;GLQ+175";
EQQ+206;Mesure transcutanée de la pression partielle en oxygène [TcPO2] au cours d'un exercice à puissance croissante;"GLQ+043;GLQ+175";
EQR+175;"Épreuve de marche en terrain plat en 6 minutes [Test de marche 6 minutes] ou réalisation d'un test navette

Avec ou sans : réalisation d'un parcours d'essai
";;TF
EQR+275;Épreuve de montée d'escalier [Test de montée d'escalier];;
FCJ+089;"Séance de drainage lymphatique par massage d'un membre

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;"ZV;ME"
FCJ+164;"Séance de drainage lymphatique par pressothérapie d'un membre

Avec ou sans : drainage lymphatique par massage


Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;ZV
GLR+226;Séance de ventilation dirigée abdominodiaphragmatique;"GLQ+043;GLQ+175;GLR+206";
GLR+074;Séance d'entrainement des muscles inspiratoires avec dispositif résistif ou relaxateur de pression;"GLQ+043;GLQ+175;GLR+206";EZ
GLR+167;Séance de ventilation dirigée abdominodiaphragmatique et d'entrainement des muscles inspiratoires avec dispositif résistif;"GLQ+043;GLQ+175;GLR+206";EZ
GLR+131;Séance individuelle d'entrainement des muscles expiratoires et/ou phonatoires;;QM
GLR+169;Séance collective d'entrainement des muscles expiratoires et/ou phonatoires;;QM
GLR+093;Séance de rééducation respiratoire préparatoire à un acte de chirurgie thoracique et/ou abdominale;"GLQ+043;GLQ+175;GLR+206";EZ
GLR+170;Séance de rééducation respiratoire après chirurgie thoracique et/ou abdominale;"GLQ+043;GLQ+175";EZ
ANR+036;Séance de rééducation à visée antalgique après thoracotomie par massage et/ou agents physiques;"GLQ+043;GLQ+175";"EZ;ZV"
GLR+224;"Séance de rééducation respiratoire pour épanchement pleural

À l'exclusion de : 
•  séance de rééducation respiratoire pour séquelle d'épanchement pleural (GLR+186)
";"GLQ+043;GLQ+175;GLR+206";"EZ;ZV"
GLR+186;Séance de rééducation respiratoire pour séquelle d'épanchement pleural;"GLQ+043;GLQ+175;GLR+206";EZ
GLJ+255;"Séance de désencombrement non instrumental des bronches d'un patient stable

Avec ou sans : 
•  aspiration trachéale
•  nébulisation
";;EZ
GLJ+199;"Séance de désencombrement non instrumental des bronches d'un patient avec exacerbation des symptômes

Avec ou sans : 
•  aspiration trachéale
•  nébulisation
";;EZ
GLJ+050;"Séance de désencombrement instrumental des bronches

Avec ou sans : 
•  aspiration trachéale
•  nébulisation
•  éducation du patient et de son entourage
";;EZ
GLR+285;Séance individuelle de réadaptation respiratoire par entrainement des membres supérieurs;"GLQ+043;GLQ+175;GLR+206";EZ
GLR+236;Séance collective de réadaptation respiratoire par entrainement des membres supérieurs;"GLQ+043;GLQ+175;GLR+206";EZ
GLR+077;Séance individuelle de gymnastique pour réadaptation respiratoire;"GLQ+043;GLQ+175";EZ
GLR+139;Séance collective de gymnastique pour réadaptation respiratoire;"GLQ+043;GLQ+175";
HQQ+136;"Évaluation initiale des troubles de la déglutition

Avec ou sans : enregistrement du son et/ou de l'image
";;
HQQ+106;"Évaluation intermédiaire des troubles de la déglutition

Avec ou sans : enregistrement du son et/ou de l'image
";;
HQQ+257;"Évaluation finale des troubles de la déglutition

Avec ou sans : enregistrement du son et/ou de l'image
";;
HSQ+208;Quantification d'un trouble des fonctions de la sphère buccale et péribuccale;;
HTQ+058;Évaluation initiale pour rééducation des fonctions périnéales;;
HTQ+046;Évaluation intermédiaire pour rééducation des fonctions périnéales;;
HTQ+151;Évaluation finale pour rééducation de fonctions périnéales;;
HSQ+289;"Évaluation diététique initiale qualitative sans élaboration de stratégie diététique

Avec ou sans : prescription de régime standard
";;ZV
HSQ+014;"Évaluation diététique initiale qualitative et quantitative sans élaboration de stratégie diététique

Avec ou sans : prescription de régime standard
";;ZV
HSQ+197;Évaluation diététique initiale avec prescription de régime adapté;;ZV
HSQ+043;Évaluation diététique initiale avec prescription diététique personnalisée;;ZV
HSQ+145;"Évaluation diététique initiale pour prescription diététique avec alimentation artificielle

Avec ou sans : mise en place d'alimentation orale
";;ZV
HSQ+107;Évaluation intermédiaire qualitative des objectifs nutritionnels;;
HSQ+237;Évaluation intermédiaire qualitative et quantitative des objectifs nutritionnels;;
HSQ+222;"Évaluation diététique finale avec conseils nutritionnels

Avec ou sans : fourniture de documents d'information nutritionnelle
";;
HSQ+158;Évaluation diététique finale avec prescription de régime standard;;
HSQ+010;Évaluation diététique finale avec prescription de régime adapté;;
HSQ+002;Évaluation diététique finale avec prescription diététique personnalisée;;
HQR+293;"Séance de rééducation des troubles la déglutition

À l'exclusion de : 
•  Séance de rééducation des troubles de la déglutition par rétrocontrôle [biofeedback] (HQR+062)
";;EZ
HQR+062;Séance de rééducation des troubles de la déglutition par rétrocontrôle [biofeedback];;EZ
HSR+155;"Séance individuelle de rééducation d'un trouble des fonctions de la sphère buccale et péribuccale

Avec ou sans : participation de l'entourage
";;EZ
HSR+122;"Séance collective de rééducation d'un trouble des fonctions de la sphère buccale et péribuccale

Avec ou sans : participation de l'entourage
";;EZ
HTR+233;"Séance de rééducation périnéale

À l'exclusion de : 
•  rééducation périnéale du besoin exonérateur (HTR+037)
";;EZ
HTR+037;Séance de rééducation périnéale du besoin exonérateur;;EZ
HSM+297;"Composition diététique de repas avec le patient et/ou l'entourage

Codage : 
•  cet acte ne peut être codé qu'une seule fois par jour de réalisation
•  cet acte ne peut pas être codé pour la validation du repas choisi par le patient dans le restaurant de l'établissement
";;
LBQ+211;"Évaluation initiale pour rééducation des fonctions des articulations temporomandibulaires [ATM]

Avec ou sans : évaluation des fonctions rachidienne cervicale, ventilatoire et/ou phonatoire
";;
LBQ+079;Évaluation intermédiaire pour rééducation des fonctions des articulations temporomandibulaires [ATM];;
LBQ+257;"Évaluation finale pour rééducation des fonctions des articulations temporomandibulaires [ATM]

Avec ou sans : évaluation des fonctions rachidienne cervicale, ventilatoire et/ou phonatoire
";;
LHQ+048;Évaluation initiale pour rééducation des fonctions ostéoarticulaires de la colonne vertébrale;;ZV
LHQ+063;Évaluation intermédiaire pour rééducation des fonctions ostéoarticulaires de la colonne vertébrale;;
LHQ+244;Évaluation finale pour rééducation des fonctions ostéoarticulaires de la colonne vertébrale;;
MKQ+001;Évaluation initiale pour rééducation des fonctions ostéoarticulaires du membre supérieur;;ZV
MKQ+152;Évaluation intermédiaire pour rééducation des fonctions ostéoarticulaires du membre supérieur;;
MKQ+272;Évaluation finale pour rééducation des fonctions ostéoarticulaires du membre supérieur;;
NKQ+284;Évaluation initiale pour rééducation des fonctions ostéoarticulaires du membre inférieur;;ZV
NKQ+295;Évaluation intermédiaire pour rééducation des fonctions ostéoarticulaires du membre inférieur;;
NKQ+222;Évaluation finale pour rééducation des fonctions ostéoarticulaires du membre inférieur;;
AZQ+131;"Évaluation initiale pour rééducation des fonctions neuromusculaires

Avec ou sans : utilisation du dossier relaté, observé, mesuré, planifié [ROMP] [subjective, objective, assessment, and plan] [SOAP note]
";;ZV
AZQ+144;Évaluation intermédiaire pour rééducation des fonctions neuromusculaires;;
AZQ+164;Évaluation finale pour rééducation des fonctions neuromusculaires;;
PEQ+266;"Mesure de l'aptitude physique anaérobie

Avec ou sans : ergomètre
";;
PCR+025;Épreuve d'endurance à l'effort sur ergomètre [Test d'effort sur ergomètre];;
PCQ+163;Quantification de la force musculaire périphérique sans appareil;;
PCQ+179;Quantification de la force et de l'endurance musculaire périphérique avec appareil;;
ANQ+183;Évaluation initiale des fonctions sensitives et/ou motrices de la tête et/ou du tronc;;
ANQ+217;Évaluation intermédiaire ou évaluation ciblée sur une fonction, des fonctions sensitives et/ou motrices de la tête et/ou du tronc;;
ANQ+282;Évaluation finale des fonctions sensitives et/ou motrices de la tête et/ou du tronc;;
ANQ+171;Évaluation initiale des fonctions sensitives et/ou motrices des membres supérieurs;;
ANQ+234;Évaluation intermédiaire ou évaluation ciblée sur une fonction, des fonctions sensitives et/ou motrices des membres supérieurs;;
ANQ+218;Évaluation finale des fonctions sensitives et/ou motrices des membres supérieurs;;
ANQ+111;Évaluation initiale des fonctions sensitives et/ou motrices des membres inférieurs;;
ANQ+134;Évaluation intermédiaire ou évaluation ciblée sur une fonction, des fonctions sensitives et/ou motrices des membres inférieurs;;
ANQ+012;Évaluation finale des fonctions sensitives et/ou motrices des membres inférieurs;;
NKQ+021;Évaluation de la marche en terrain plat;;
NKQ+069;Évaluation de la marche sur parcours aménagé avec obstacles;;
PEQ+185;"Quantification des activités physiques quotidiennes

Codage : cet acte ne peut être codé que s'il est réalisé isolément
";;
CEQ+275;Évaluation initiale pour rééducation des troubles de l'équilibre;;
CEQ+239;Évaluation intermédiaire pour rééducation des troubles de l'équilibre;;
CEQ+180;Évaluation finale pour rééducation des troubles de l'équilibre;;
PEQ+017;Évaluation initiale du risque de chute;;
PEQ+038;Évaluation intermédiaire du risque de chute;;
PEQ+238;Évaluation finale du risque de chute;;
LBR+138;Séance de rééducation des fonctions des articulations temporomandibulaires [ATM];;EZ
LHR+146;"Séance de rééducation des fonctions ostéoarticulaires de la colonne vertébrale

À l'exclusion de : 
•  séance de rééducation postopératoire des fonctions ostéoarticulaires de la colonne vertébrale après réparation de lésion traumatique ou correction de déformation (LHR+050)
•  séance de rééducation des fonctions ostéoarticulaires de la colonne vertébrale pour lésion dégénérative (LHR+113)
•  séance de rééducation postopératoire des fonctions ostéoarticulaires de la colonne vertébrale après correction de lésion dégénérative (LHR+189)
";;"EZ;QM;
ZV"
LHR+050;Séance de rééducation postopératoire des fonctions ostéoarticulaires de la colonne vertébrale après réparation de lésion traumatique ou correction de déformation;;"EZ;QM;
ZV"
LHR+113;"Séance de rééducation des fonctions ostéoarticulaires de la colonne vertébrale pour lésion dégénérative

À l'exclusion de : séance de rééducation postopératoire des fonctions ostéoarticulaires de la colonne vertébrale après correction de lésion dégénérative (LHR+189)


Avec ou sans : 
•  rééducation de la fonction ventilatoire
";;"EZ;QM;
ZV"
LHR+189;"Séance de rééducation postopératoire des fonctions ostéoarticulaires de la colonne vertébrale après correction de lésion dégénérative

Avec ou sans : 
•  rééducation de la fonction ventilatoire
";;"EZ;QM;
ZV"
MKR+126;"Séance de rééducation des fonctions ostéoarticulaires du membre supérieur

À l'exclusion de : 
•  séance de rééducation postopératoire des fonctions ostéoarticulaires du membre supérieur après réparation de lésion traumatique ou correction de vice architectural (MKR+248)
•  séance de rééducation des fonctions ostéoarticulaires du membre supérieur pour lésion ostéoarticulaire dégénérative (MKR+023)
•  séance de rééducation postopératoire des fonctions ostéoarticulaires du membre supérieur après correction de lésion ostéoarticulaire dégénérative (MKR+287)
";;"EZ;QM;
ZV"
MKR+248;Séance de rééducation postopératoire des fonctions ostéoarticulaires du membre supérieur après réparation de lésion traumatique ou correction de vice architectural;;"EZ;QM;
ZV"
MKR+023;"Séance de rééducation des fonctions ostéoarticulaires du membre supérieur pour lésion dégénérative

À l'exclusion de : séance de rééducation postopératoire des fonctions ostéoarticulaires du membre supérieur après correction de lésion dégénérative (MKR+287)
";;"EZ;QM;
ZV"
MKR+287;Séance de rééducation postopératoire des fonctions ostéoarticulaires du membre supérieur après correction de lésion dégénérative;;"EZ;QM;
ZV"
NKR+177;"Séance de rééducation des fonctions ostéoarticulaires du membre inférieur

À l'exclusion de : 
•  séance de rééducation postopératoire des fonctions ostéoarticulaires du membre inférieur après réparation de lésion traumatique ou correction de vice architectural (NKR+204)
•  séance de rééducation des fonctions ostéoarticulaires du membre inférieur pour lésion dégénérative (NKR+280)
•  séance de rééducation postopératoire des fonctions ostéoarticulaires du membre inférieur après correction de lésion dégénérative (NKR+130)
";;"EZ;QM;
ZV"
NKR+204;Séance de rééducation postopératoire des fonctions ostéoarticulaires du membre inférieur après réparation de lésion traumatique ou correction de vice architectural;;"EZ;QM;
ZV"
NKR+280;"Séance de rééducation des fonctions ostéoarticulaires du membre inférieur pour lésion dégénérative

À l'exclusion de : 
•  séance de rééducation postopératoire des fonctions ostéoarticulaires du membre inférieur après correction de lésion dégénérative (NKR+130)
";;"EZ;QM;
ZV"
NKR+130;Séance de rééducation postopératoire des fonctions ostéoarticulaires du membre inférieur après correction de lésion dégénérative;;"EZ;QM;
ZV"
AGR+298;"Séance de rééducation des fonctions neuromusculaires pour affection neurologique centrale, en phase précoce

À l'exclusion de : 
•  séance de rééducation des fonctions neuromusculaires pour affection neurologique centrale dégénérative (AGR+047)
";;"EZ;ZV;QM"
AGR+102;"Séance de rééducation des fonctions neuromusculaires pour affection neurologique centrale, en phase de récupération

À l'exclusion de : 
•  séance de rééducation des fonctions neuromusculaires pour affection neurologique centrale dégénérative (AGR+047)
";;"EZ;QM;ZV"
AGR+047;Séance de rééducation des fonctions neuromusculaires pour affection neurologique centrale dégénérative;;"EZ;ZV;QM"
APR+036;"Séance de rééducation des fonctions neuromusculaires pour affection neurologique périphérique, en phase précoce
Séance de rééducation des fonctions neuromusculaires pour paralysie faciale isolée, en phase précoce


À l'exclusion de : 
•  séance de rééducation des fonctions neuromusculaires pour affection neurologique périphérique dégénérative (APR+014)


Avec ou sans : électrostimulation, mise en place d'attelles de posture, mise en place de bandes compressives
";;"EZ;ZV;QM"
APR+187;"Séance de rééducation des fonctions neuromusculaires pour affection neurologique périphérique, en phase de récupération
Séance de rééducation des fonctions neuromusculaires pour paralysie faciale isolée, en phase de récupération


À l'exclusion de : 
•  séance de rééducation des fonctions neuromusculaires pour affection neurologique périphérique dégénérative (APR+014)


Avec ou sans : électrostimulation, apprentissage de la mise en place d'orthèses
";;"EZ;QM;ZV"
APR+014;"Séance de rééducation des fonctions neuromusculaires pour affection neurologique périphérique dégénérative

Avec ou sans : électrostimulation, apprentissage de la mise en place d'orthèses
";;"EZ;QM;ZV"
PCR+088;Séance de rééducation des fonctions musculaires pour affection musculaire dégénérative;;"EZ;ZV;QM"
AZR+199;Séance de rééducation des fonctions neuromusculaires pour mouvements anormaux;;"EZ;QM"
PEE+041;"Séance de verticalisation sans appareil dynamique

Avec ou sans : électrostimulation
";;ZV
PEE+175;"Séance de verticalisation avec appareil dynamique

Avec ou sans : électrostimulation
";;ZV
PER+223;Séance de rééducation des troubles de la posture axiale;;"EZ;QM"
CER+223;Séance de rééducation des fonctions de l'équilibre;;EZ
PER+250;Séance individuelle de prévention des chutes;;EZ
PER+154;Séance collective de prévention des chutes;;
ANM+093;Séance de restauration ou éducation analytique d'une fonction sensitive et/ou motrice du membre supérieur par réalisation d'1 tâche élémentaire;;EZ
ANM+009;Séance de développement d'une fonction sensitive et/ou motrice du membre supérieur par réalisation de plusieurs tâches élémentaires combinées et coordonnées;;EZ
