NAF_NAF_COD;NAF_COD_LIB;TEC_COL
4611Z;Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et demi-produits;0
4612A;Centrales d'achat de carburant;0
4612B;Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;0
4613Z;Intermédiaires du commerce en bois et matériaux de construction;0
4614Z;Intermédiaires du commerce en machines, équipements industriels, navires et avions;0
4615Z;Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;0
4616Z;Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir;0
4617A;Centrales d'achat alimentaires;0
4617B;Autres intermédiaires du commerce en denrées, boissons et tabac;0
4618Z;Autres intermédiaires spécialisés du commerce;0
4619A;Centrales d'achat non alimentaires;0
4619B;Autres intermédiaires du commerce en produits divers;0
4621Z;Commerce de gros (commerce interentreprises) de céréales, tabac non manufacturé et aliments pour le bétail;0
4622Z;Commerce de gros (commerce interentreprises) de fleurs et plantes;0
4623Z;Commerce de gros (commerce interentreprises) d'animaux vivants;0
4624Z;Commerce de gros (commerce interentreprises) de cuirs et peaux;0
4631Z;Commerce de gros (commerce interentreprises) de fruits et légumes;0
4632A;Commerce de gros (commerce interentreprises) de viandes de boucherie;0
4632B;Commerce de gros (commerce interentreprises) de produits à base de viande;0
4632C;Commerce de gros (commerce interentreprises) de volailles et gibier;0
4633Z;Commerce de gros (commerce interentreprises) de produits laitiers, ½ufs et huiles;0
4634Z;Commerce de gros (commerce interentreprises) de boissons;0
4635Z;Commerce de gros (commerce interentreprises) de tabac;0
4636Z;Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie;0
4637Z;Commerce de gros (commerce interentreprises) de café, thé, cacao et épices;0
4638A;Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques;0
4638B;Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;0
4639A;Commerce de gros (commerce interentreprises) de produits surgelés;0
4639B;Commerce de gros (commerce interentreprises) alimentaire non spécialisé;0
4641Z;Commerce de gros (commerce interentreprises) de textiles;0
4642Z;Commerce de gros (commerce interentreprises) d'habillement et de chaussures;0
4643Z;Commerce de gros (commerce interentreprises) d'appareils électroménagers et de radio/télévision;0
4644Z;Commerce de gros (commerce interentreprises) de céramique, verrerie et produits d'entretien;0
4645Z;Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté;0
4646Z;Commerce de gros (commerce interentreprises) de produits pharmaceutiques;0
4647Z;Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage;0
4648Z;Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie;0
4649Z;Commerce de gros (commerce interentreprises) de biens de consommation non alimentaires divers;0
4651Z;Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels;0
4652Z;Commerce de gros (commerce interentreprises) d'équipements et composants électroniques et de télécommunication;0
4661Z;Commerce de gros (commerce interentreprises) de matériel agricole;0
4662Z;Commerce de gros (commerce interentreprises) de machines-outils;0
4663Z;Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil;0
4664Z;Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement;0
4665Z;Commerce de gros (commerce interentreprises) de mobilier de bureau;0
4666Z;Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau;0
4669A;Commerce de gros (commerce interentreprises) de matériel électrique;0
4669B;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers;0
4669C;Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services;0
4671Z;Commerce de gros (commerce interentreprises) de combustibles;0
4672Z;Commerce de gros (commerce interentreprises) de minerais et métaux;0
4673A;Commerce de gros (commerce interentreprises) de bois et de matériaux de construction;0
4673B;Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration;0
4674A;Commerce de gros (commerce interentreprises) de quincaillerie;0
3812Z;Collecte des déchets dangereux;0
2370Z;Taille, façonnage et finissage de pierres;0
2391Z;Fabrication de produits abrasifs;0
2399Z;Fabrication de produits minéraux non métalliques n.c.a.;0
2410Z;Sidérurgie;0
2420Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;0
2431Z;Étirage à froid de barres;0
2432Z;Laminage à froid de feuillards;0
2433Z;Profilage à froid par formage ou pliage;0
2434Z;Tréfilage à froid;0
2441Z;Production de métaux précieux;0
2442Z;Métallurgie de l'aluminium;0
2443Z;Métallurgie du plomb, du zinc ou de l'étain;0
2444Z;Métallurgie du cuivre;0
2445Z;Métallurgie des autres métaux non ferreux;0
2446Z;Élaboration et transformation de matières nucléaires;0
2451Z;Fonderie de fonte;0
2452Z;Fonderie d'acier;0
2453Z;Fonderie de métaux légers;0
2454Z;Fonderie d'autres métaux non ferreux;0
2511Z;Fabrication de constructions métalliques;0
2512Z;Fabrication de menuiseries métalliques;0
2521Z;Fabrication de radiateurs et de chaudières pour le chauffage central;0
2529Z;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;0
2530Z;Chaudronnerie;0
2540Z;Fabrication d'armes et de munitions;0
2550A;Forge, estampage, matriçage,  métallurgie des poudres;0
2550B;Découpage, emboutissage;0
2561Z;Traitement et revêtement des métaux;0
2562A;Décolletage;0
2562B;Mécanique industrielle;0
2571Z;Fabrication de coutellerie;0
2572Z;Fabrication de serrures et de ferrures;0
2573A;Fabrication de moules et modèles;0
2573B;Fabrication d'autres outillages;0
2591Z;Fabrication de fûts et emballages métalliques similaires;0
2592Z;Fabrication d'emballages métalliques légers;0
2593Z;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;0
2594Z;Visserie et boulonnerie;0
2599A;Fabrication d'articles métalliques ménagers;0
2599B;Fabrication d'autre articles métalliques;0
2611Z;Fabrication de composants électroniques;0
2612Z;Fabrication de cartes électroniques assemblées;0
2620Z;Fabrication d'ordinateurs et d'équipements périphériques;0
2630Z;Fabrication d'équipements de communication;0
2640Z;Fabrication de produits électroniques grand public;0
2651A;Fabrication d'équipements d'aide à la navigation;0
2651B;Fabrication d'instrumentation scientifique et technique;0
2652Z;Horlogerie;0
2660Z;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;0
2670Z;Fabrication de matériels optique et photographique;0
2680Z;Fabrication de supports magnétiques et optiques;0
2711Z;Fabrication de moteurs, génératrices et transformateurs électriques;0
2712Z;Fabrication de matériel de distribution et de commande électrique;0
2720Z;Fabrication de piles et d'accumulateurs électriques;0
2731Z;Fabrication de câbles de fibres optiques;0
2732Z;Fabrication d'autres fils et câbles électroniques ou électriques;0
2733Z;Fabrication de matériel d'installation électrique;0
2740Z;Fabrication d'appareils d'éclairage électrique;0
2751Z;Fabrication d'appareils électroménagers;0
2752Z;Fabrication d'appareils ménagers non électriques;0
2790Z;Fabrication d'autres matériels électriques;0
2811Z;Fabrication de moteurs et turbines;0
2812Z;Fabrication d'équipements hydrauliques et pneumatiques;0
2813Z;Fabrication d'autres pompes et compresseurs;0
2814Z;Fabrication d'articles de robinetterie;0
2815Z;Fabrication d'engrenages et d'organes mécaniques de transmission;0
2821Z;Fabrication de fours et brûleurs;0
2822Z;Fabrication de matériel de levage et de manutention;0
2823Z;Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);0
2824Z;Fabrication d'outillage portatif à moteur incorporé;0
2825Z;Fabrication d'équipements aérauliques et frigorifiques industriels;0
2829A;Fabrication d'équipements d'emballage, de conditionnement et de pesage;0
2829B;Fabrication d'autres machines d'usage général;0
2830Z;Fabrication de machines agricoles et forestières;0
2841Z;Fabrication de machines-outils pour le travail des métaux;0
2849Z;Fabrication d'autres machines-outils n.c.a.;0
2891Z;Fabrication de machines pour la métallurgie;0
2892Z;Fabrication de machines pour l'extraction ou la construction;0
2893Z;Fabrication de machines pour l'industrie agro-alimentaire;0
2894Z;Fabrication de machines pour les industries textiles;0
2895Z;Fabrication de machines pour les industries du papier et du carton;0
2896Z;Fabrication de machines pour le travail du caoutchouc ou des plastiques;0
2899A;Fabrication de machines d'imprimerie;0
2899B;Fabrication d'autres machines spécialisées;0
2910Z;Construction de véhicules automobiles;0
2920Z;Fabrication de carrosseries et remorques;0
2931Z;Fabrication d'équipements électriques et électroniques automobiles;0
2932Z;Fabrication d'autres équipements automobiles;0
3011Z;Construction de navires et de structures flottantes;0
3012Z;Construction de bateaux de plaisance;0
3020Z;Construction de matériel ferroviaire roulant;0
3030Z;Construction aéronautique et spatiale;0
3040Z;Construction de véhicules militaires de combat;0
3091Z;Fabrication de motocycles;0
3092Z;Fabrication de bicyclettes et de véhicules pour invalides;0
3099Z;Fabrication de divers matériels de transport;0
3101Z;Fabrication de meubles de bureau et de magasin;0
3102Z;Fabrication de meubles de cuisine;0
3103Z;Fabrication de matelas;0
3109A;Fabrication de sièges d'ameublement d'intérieur;0
3109B;Fabrication d'autres meubles et industries connexes de l'ameublement;0
3211Z;Frappe de monnaie;0
3212Z;Bijouterie, joaillerie, orfèvrerie;0
3213Z;Bijouterie fantaisie;0
3220Z;Fabrication d'instruments de musique;0
3230Z;Fabrication d'articles de sport;0
3240Z;Fabrication de jeux et jouets;0
3250A;Fabrication de matériels médico-chirurgical et dentaire;0
3250B;Fabrication de lunettes;0
3291Z;Industrie de la brosserie;0
3299Z;Autres activités manufacturières n.c.a.;0
3311Z;Réparation d'ouvrages en métaux;0
3312Z;Réparation de machines;0
3313Z;Réparation d'équipements électroniques et optiques;0
3314Z;Réparation d'équipements électriques;0
3315Z;Réparation navale;0
3316Z;Réparation et entretien d'aéronefs et d'engins spatiaux;0
3317Z;Réparation et entretien d'autres matériels de transport;0
3319Z;Réparation d'autres équipements;0
3320A;Installation de structures métalliques, chaudronnées et de tuyauterie;0
3320B;Installation de machines et équipements mécaniques;0
3320C;Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels;0
3320D;Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;0
3511Z;Production d'électricité;0
3512Z;Transport d'électricité;0
3513Z;Distribution d'électricité;0
3514Z;Commerce d'électricité;0
3521Z;Production de combustibles gazeux;0
3522Z;Distribution de combustibles gazeux;0
3523Z;Commerce de combustibles gazeux;0
3530Z;Production et distribution de vapeur et d'air conditionné;0
3600Z;Captage, traitement et distribution d'eau;0
3700Z;Assainissement;0
3811Z;Collecte des déchets non dangereux;0
0729Z;Extraction d'autres minerais de métaux non ferreux;0
0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;0
0812Z;Extraction de sables, de granulats, d'argiles et de kaolin;0
0891Z;Extraction de minéraux pour l'industrie chimique et d'engrais naturels;0
0892Z;Extraction de la tourbe;0
0893Z;Production de sel;0
0899Z;Autres activités extractives n.c.a.;0
0910Z;Activités de soutien à l'extraction d'hydrocarbures;0
0990Z;Activités de soutien aux autres industries extractives;0
1011Z;Production de viandes de boucherie;0
1012Z;Production de viandes de volailles;0
1013A;Préparation industrielle de produits à base de viande;0
1013B;Charcuterie;0
1020Z;Industrie du poisson;0
1031Z;Transformation et conservation de pommes de terre;0
1032Z;Préparation de jus de fruits et légumes;0
1039A;Transformation et conservation de légumes n.c.a.;0
1039B;Transformation et conservation de fruits;0
1041A;Fabrication d'huiles et graisses brutes;0
1041B;Fabrication d'huiles et graisses raffinées;0
1042Z;Fabrication de margarine;0
1051A;Fabrication de lait liquide et de produits frais;0
1051B;Fabrication de beurre;0
1051C;Fabrication de fromage;0
1051D;Fabrication d'autres produits laitiers;0
1052Z;Fabrication de glaces et sorbets;0
1061A;Meunerie;0
1061B;Autres activités du travail des grains;0
1062Z;Fabrication de produits amylacés;0
1071A;Fabrication industrielle de pain et de pâtisserie fraîche;0
1071B;Cuisson de produits de boulangerie;0
1071C;Boulangerie et boulangerie-pâtisserie;0
1071D;Pâtisserie;0
1072Z;Biscotterie, biscuiterie, pâtisserie de conservation;0
1073Z;Fabrication de pâtes alimentaires;0
1081Z;Fabrication de sucre;0
1082Z;Chocolaterie, confiserie;0
1083Z;Transformation du thé et du café;0
1084Z;Fabrication de condiments et assaisonnements;0
1085Z;Fabrication de plats préparés;0
1086Z;Fabrication d'aliments pour enfants et diététiques;0
1089Z;Industries alimentaires n.c.a.;0
1091Z;Fabrication d'aliments pour animaux de ferme;0
1092Z;Fabrication d'aliments pour animaux de compagnie;0
1101Z;Distillation, rectification et mélange de spiritueux;0
1102A;Fabrication de vins effervescents;0
1102B;Vinification;0
1103Z;Cidrerie;0
1104Z;Production d'autres boissons fermentées;0
1105Z;Brasserie;0
1106Z;Malterie;0
1107A;Industrie des eaux de table;0
1107B;Production de boissons rafraîchissements;0
1200Z;Industrie du tabac;0
1310Z;Préparation de fibres textiles et filature;0
1320Z;Tissage;0
1330Z;Ennoblissement textile;0
1341Z;Fabrication d'étoffes à mailles;0
1342Z;Fabrication d'articles textiles;0
1343Z;Fabrication de tapis et moquettes;0
1344Z;Ficellerie, corderie, fabrication de filets;0
1345Z;Fabrication de non-tissés;0
1346Z;Fabrication d'autres textiles techniques et industriels;0
1349Z;Industries textiles n.c.a.;0
1411Z;Fabrication de vêtements en cuir;0
1412Z;Fabrication de vêtements de travail;0
1413Z;Fabrication de vêtements de dessus;0
1414Z;Fabrication de vêtements de dessous;0
1419Z;Fabrication d'autres vêtements et accessoires;0
1420Z;Fabrication d'articles en fourrure;0
1431Z;Fabrication d'articles chaussants à mailles;0
1439Z;Fabrication d'autres articles à mailles;0
1511Z;Apprêt et tannage des cuirs, préparation et teinture des fourrures;0
1512Z;Fabrication d'articles de voyage et de maroquinerie;0
1520Z;Fabrication de chaussures;0
1610A;Sciage, rabotage et imprégnation du bois;0
1610B;Imprégnation du bois;0
1621Z;Fabrication de panneaux de bois;0
1622Z;Fabrication de parquets assemblés;0
1623Z;Fabrication de charpentes et d'autres menuiseries;0
1624Z;Fabrication d'emballages en bois;0
1629Z;Fabrication d'objets divers en bois, fabrication d'objets en liège, vannerie et sparterie;0
1711Z;Fabrication de pâte à papier;0
1712Z;Fabrication de papier et de carton;0
1721A;Fabrication de carton ondulé;0
1721B;Fabrication de cartonnages;0
1721C;Fabrication d'emballages en papier;0
1722Z;Fabrication d'articles en papier à usage sanitaire ou domestique;0
1723Z;Fabrication d'articles de papeterie;0
1724Z;Fabrication de papiers peints;0
1729Z;Fabrication d'autres articles en papier ou en carton;0
1811Z;Imprimerie de journaux;0
1812Z;Autre imprimerie (labeur);0
1813Z;Activités de pré-presse;0
1814Z;Reliure et activités connexes;0
1820Z;Reproduction d'enregistrements;0
1910Z;Cokéfaction;0
1920Z;Raffinage du pétrole;0
2011Z;Fabrication de gaz industriels;0
2012Z;Fabrication de colorants et de pigments;0
2013A;Enrichissement et retraitement de matières nucléaires;0
2013B;Fabrication d'autres produits chimiques inorganiques de base;0
2014Z;Fabrication d'autres produits chimiques organiques de base;0
2015Z;Fabrication de produits azotés et d'engrais;0
2016Z;Fabrication de matières plastiques de base;0
2017Z;Fabrication de caoutchouc synthétique;0
2020Z;Fabrication de produits agrochimiques;0
2030Z;Fabrication de peintures et vernis;0
2041Z;Fabrication de savons, détergents et produits d'entretien;0
2042Z;Fabrication de parfums et de produits pour la toilette;0
2051Z;Fabrication de produits explosifs;0
2052Z;Fabrication de colles;0
2053Z;Fabrication d'huiles essentielles;0
2059Z;Fabrication d'autres produits chimiques n.c.a.;0
2060Z;Fabrication de fibres artificielles ou synthétiques;0
2110Z;Fabrication de produits pharmaceutiques de base;0
2120Z;Fabrication de spécialités pharmaceutiques;0
2211Z;Fabrication et rechapage de pneumatiques;0
2219Z;Fabrication d'autres articles en caoutchouc;0
2221Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;0
2222Z;Fabrication d'emballages en matières plastiques;0
2223Z;Fabrication d'éléments en matières plastiques pour la construction;0
2229A;Fabrication de pièces techniques à base de matières plastiques;0
2229B;Fabrication de produits de consommation courante en matières plastiques;0
2311Z;Fabrication de verre plat;0
2312Z;Façonnage et transformation du verre plat;0
2313Z;Fabrication de verre creux;0
2314Z;Fabrication de fibres de verre;0
2319Z;Fabrication et façonnage d'autres articles en verre;0
2320Z;Fabrication de produits réfractaires;0
2331Z;Fabrication de carreaux en céramique;0
2332Z;Fabrication de tuiles et briques en terre cuite;0
2341Z;Fabrication d'articles céramiques à usage domestique ou ornemental;0
2342Z;Fabrication d'appareils sanitaires en céramique;0
2343Z;Fabrication d'isolateurs et pièces isolantes en céramique;0
2344Z;Fabrication d'autres produits céramiques à usage technique;0
2349Z;Fabrication d'autres produits céramiques n.c.a.;0
2351Z;Fabrication de ciment;0
2352Z;Fabrication de chaux et plâtre;0
2361Z;Fabrication d'éléments en béton pour la construction;0
2362Z;Fabrication d'éléments en plâtre pour la construction;0
2363Z;Fabrication de béton prêt à l'emploi;0
2364Z;Fabrication de mortiers et bétons secs;0
2365Z;Fabrication d'ouvrages en fibre-ciment;0
2369Z;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;0
713G;Location de machines et équipements divers;0
714A;Location de linge;0
714B;Location d'autres biens personnels et domestiques;0
721Z;Conseil en systèmes informatiques;0
722A;Edition de logiciels (non personnalisés);0
722C;Autres activités de réalisation de logiciels;0
723Z;Traitement de données;0
724Z;Activités de banques de données;0
725Z;Entretien et réparation de machines de bureau et de matériel informatique;0
726Z;Autres activités rattachées à l'informatique;0
731Z;Recherche-développement en sciences physiques et naturelles;0
732Z;Recherche-développement en sciences humaines et sociales;0
741A;Activités juridiques;0
741C;Activités comptables;0
741E;Études de marché et sondages;0
741G;Conseils pour les affaires et la gestion;0
741J;Administration d'entreprises;0
742A;Activités d'architecture;0
742B;Métreurs, géomètres;0
742C;Ingénierie, études techniques;0
743A;Contrôle technique automobile;0
743B;Analyses, essais et inspections techniques;0
744A;Gestion de supports de publicité;0
744B;Agences, conseil en publicité;0
745A;Sélection et mise à disposition de personnel;0
745B;Travail temporaire;0
746Z;Enquêtes et sécurité;0
747Z;Activités de nettoyage;0
748A;Studios et autres activités photographiques;0
748B;Laboratoires techniques de développement et de tirage;0
748D;Conditionnement à façon;0
748F;Secrétariat et traduction;0
748G;Routage;0
748H;Centres d'appel;0
748J;Organisation de foires et salons;0
748K;Services annexes à la production;0
751A;Administration publique générale;0
751C;Tutelle des activités sociales;0
751E;Tutelle des activités économiques;0
751G;Activités de soutien aux administrations;0
752A;Affaires étrangères;0
752C;Défense;0
752E;Justice;0
752G;Police;0
752J;Protection civile;0
753A;Activités générales de sécurité sociale;0
753B;Gestion des retraites complémentaires;0
753C;Distribution sociale de revenus;0
801Z;Enseignement primaire;0
802A;Enseignement secondaire général;0
802C;Enseignement secondaire technique ou professionnel;0
803Z;Enseignement supérieur;0
804A;Ecoles de conduite;0
804C;Formation des adultes et formation continue;0
804D;Autres enseignements;0
851A;Activités hospitalières;0
851C;Pratique médicale;0
851E;Pratique dentaire;0
851G;Activités des auxiliaires médicaux;0
851H;Soins hors d'un cadre réglementé;0
851J;Ambulances;0
851K;Laboratoires d'analyses médicales;0
851L;Centres de collecte et banques d'organes;0
852Z;Activités vétérinaires;0
853A;Accueil des enfants handicapés;0
853B;Accueil des enfants en difficultés;0
853C;Accueil des adultes handicapés;0
853D;Accueil des personnes âgées;0
853E;Autres hébergements sociaux;0
853G;Crèches et garderies d'enfants;0
