ETA_URS_COD;ETA_URS_LIB;EDI_TOP_COD;URS_DSN_LIB;NOM_VOI_LIB;COD_POS_COD;NOM_VIL_LIB;CEN_RTI_NUM;CEN_RTI_LIB;CRA_COD_NUM;INS_DPT_CD1;INS_DPT_CD2;INS_DPT_CD3;INS_DPT_CD4;INS_DPT_CD5;INS_DPT_CD6;INS_DPT_CD7;INS_DPT_CD8;TEC_COL
230;GUERET;N;URSSAF DE LA CREUSE;RUE MARCEL BRUNET - B.P. 29;23011;GUERET CEDEX;31;CIRSO MIDI PYRENEES;5;023;000;000;000;000;000;000;000;0
237;ROUEN;N;URSSAF HAUTE NORMANDIE;61 RUE PIERRE RENAUDEL CS92035;76040;ROUEN CEDEX 1;14;UNICA CAEN;;027;076;;;;;;;0
240;PERIGUEUX;N;URSSAF DE LA DORDOGNE;50 RUE CLAUDE BERNARD;24022;PERIGUEUX CEDEX;31;CIRSO MIDI PYRENEES;1;024;000;000;000;000;000;000;000;0
247;ORLEANS;N;URSSAF CENTRE;PLACE DU GENERAL DE GAULLE;45955;ORLEANS CEDEX 9;14;UNICA CAEN;;018;028;036;037;041;045;;;0
251;BESANCON;N;URSSAF FRANCHE-COMTE;2 RUE DENIS PAPIN BP 1589;25010;BESANCON CEDEX;54;CERTI NANCY;;025;;;;;;;;0
257;CAEN;N;URSSAF DE BASSE NORMANDIE;22 RUE D ISIGNY;14045;CAEN CEDEX  9;14;UNICA CAEN;;014;050;061;;;;;;0
260;VALENCE;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTIL LYON;;026;;;;;;;;0
267;DIJON;N;URSSAF BOURGOGNE;8 BD GEORGES CLEMENCEAU;21037;DIJON CEDEX 9;54;CERTI NANCY;;021;058;071;089;;;;;0
270;EVREUX;N;URSSAF HAUTE NORMANDIE;61 RUE PIERRE RENAUDEL BP2035X;76040;ROUEN CEDEX;14;UNICA CAEN;;027;;;;;;;;0
280;CHARTRES;N;URSSAF CENTRE;PLACE DU GENERAL DE GAULLE;45955;ORLEANS CEDEX 9;14;UNICA CAEN;;028;;;;;;;;0
290;BREST;N;URSSAF DU FINISTERE;8 SQUARE MARC SANGNIER;29455;BREST CEDEX;44;CIRTI NANTES;13;029;000;000;000;000;000;000;000;0
291;BREST;N;URSSAF DU NORD FINISTERE;8 SQUARE MARC SANGNIER;29455;BREST CEDEX;44;CIRTI NANTES;13;029;000;000;000;000;000;000;000;0
292;QUIMPER;N;URSSAF DU SUD FINISTERE;"LE GUERLAC""H     BP 540";29108;QUIMPER CEDEX;44;CIRTI NANTES;13;029;000;000;000;000;000;000;000;0
300;NIMES;N;URSSAF du Gard;16 RUE DU CIRQUE ROMAIN;30923;NIMES CEDEX  9;34;SAP MONTPELLIER;8;030;000;000;000;000;000;000;000;0
310;TOULOUSE;N;URSSAF DE HAUTE GARONNE;LABEGE INNOPOLE RUE PIERRE  MARIE CURIE;31061;TOULOUSE CEDEX 9;31;CIRSO MIDI PYRENEES;16;031;000;000;000;000;000;000;000;0
311;TOULOUSE VLU;N;URSSAF MIDI PYRENEES;LABEGE 166 RUE PIERRE MARIE CURIE;31061;TOULOUSE CEDEX 9;31;CIRSO MIDI PYRENEES;;031;;;;;;;;0
317;LILLE;N;URSSAF DE NORD - PAS-DE-CALAIS;293 av du Président HOOVER BP20001;59032;LILLE CEDEX;59;LAMBERSART;;059;062;;;;;;;0
320;AUCH;N;URSSAF DU GERS;11 RUE DE CHATEAUDUN;32014;AUCH CEDEX;31;CIRSO MIDI PYRENEES;16;032;000;000;000;000;000;000;000;0
330;BORDEAUX;N;URSSAF DE LA GIRONDE;QUARTIER DU LAC;33084;BORDEAUX CEDEX;31;CIRSO MIDI PYRENEES;1;033;000;000;000;000;000;000;000;0
340;HERAULT;N;"URSSAF DE L""HERAULT";35 RUE DE LA HAYE;34937;MONTPELLIER CEDEX 9;31;CIRSO MIDI PYRENEES;8;034;000;000;000;000;000;000;000;0
350;RENNES;N;"URSSAF D""ILLE ET VILAINE";COURS DES ALLIES;35052;RENNES CEDEX;44;CIRTI NANTES;13;035;000;000;000;000;000;000;000;0
360;CHATEAUROUX;N;URSSAF CENTRE;PLACE DU GENERAL DE GAULLE;45955;ORLEANS CEDEX 9;14;UNICA CAEN;;036;;;;;;;;0
370;TOURS;N;URSSAF CENTRE;PLACE DU GENERAL DE GAULLE;45955;ORLEANS CEDEX 9;14;UNICA CAEN;;037;;;;;;;;0
380;GRENOBLE;N;URSSAF DE GRENOBLE;1 RUE DES ALLIES BP 277X;38046;GRENOBLE CEDEX;42;CERTIL LYON;6;038;000;000;000;000;000;000;000;0
381;VIENNE;N;URSSAF DE VIENNE;59 QUAI CLAUDE BERNARD BP 147;38209;VIENNE CEDEX;42;CERTIL LYON;6;038;000;000;000;000;000;000;000;0
388;GRENOBLE;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;42;CERTIL LYON;;038;;;;;;;;0
390;LONS LE SAUNIER;N;URSSAF FRANCHE-COMTE;2 RUE DENIS PAPIN BP 1589;25010;BESANCON CEDEX;54;CERTI NANCY;;039;;;;;;;;0
400;MONT DE MARSAN;N;URSSAF DES LANDES;6 ALLEES CLAUDE MORA;40015;MONT DE MARSAN CEDEX;31;CIRSO MIDI PYRENEES;1;040;000;000;000;000;000;000;000;0
410;BLOIS;N;URSSAF CENTRE;PLACE DU GENERAL DE GAULLE;45955;ORLEANS CEDEX 9;14;UNICA CAEN;;041;;;;;;;;0
417;METZ;N;URSSAF DE LORRAINE;6 RUE PASTEUR BP 80580;57032;METZ CEDEX 1;54;CERTI NANCY;;054;055;057;088;;;;;0
420;SAINT ETIENNE;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTIL LYON;;042;;;;;;;;0
421;ROANNE;N;URSSAF DE ROANNE;22,24 Rue de la Berge;42328;ROANNE CEDEX;69;CERTIL LYON;6;042;000;000;000;000;000;000;000;0
422;SAINT ETIENNE;N;URSSAF DE SAINT-ETIENNE;3 AVENUE DU PRESIDENT EMILE LOUBET;42027;SAINT ETIENNE CEDEX 1;69;CERTIL LYON;6;042;000;000;000;000;000;000;000;0
427;STRASBOURG;N;"URSSAF D""ALSACE";16 RUE CONTADES;67307;SCHILTIGHEIM CEDEX;67;STRASBOURG;;067;068;;;;;;;0
430;LE PUY;N;URSSAF DE LA HAUTE LOIRE;10 AVENUE ANDRE SOULLIER BP 323;43011;LE PUY CEDEX;69;CIRTI LYON;2;043;000;000;000;000;000;000;000;0
437;BESANCON;N;URSSAF FRANCHE-COMTE;2 RUE DENIS PAPIN BP 1589;25010;BESANCON CEDEX;54;CERTI NANCY;;025;039;070;090;;;;;0
440;NANTES;N;URSSAF DE LOIRE-ATLANTIQUE;3, RUE GAETAN RONDEAU;44933;NANTES CEDEX 9;44;CIRTI NANTES;10;044;000;000;000;000;000;000;000;0
450;ORLEANS;N;URSSAF CENTRE;PLACE DU GENERAL DE GAULLE;45955;ORLEANS CEDEX 9;14;UNICA CAEN;;045;;;;;;;;0
451;ORLEANS VLU;N;URSSAF CENTRE;PLACE DU GENERAL DE GAULLE;45955;ORLEANS CEDEX 9;14;UNICA CAEN;;045;;;;;;;;0
460;CAHORS;N;URSSAF DU LOT;230 RUE HAUTESSERRE;46009;CAHORS CEDEX;31;CIRSO MIDI PYRENEES;16;046;000;000;000;000;000;000;000;0
470;AGEN;N;URSSAF DU LOT ET GARONNE;16 RUE DES COLONELS LACUEE;47917;AGEN CEDEX 9;31;CIRSO MIDI PYRENEES;1;047;000;000;000;000;000;000;000;0
480;MENDE;N;URSSAF DE LA LOZERE;1 av du Père Coudrin BP104;48003;MENDE CEDEX;13;CIPAM MARSEILLE;;048;;;;;;;;0
490;MAINE ET LOIRE;N;URSSAF DE MAINE ET LOIRE;32 RUE LOUIS GAIN;49925;ANGERS CEDEX 1;44;CIRTI NANTES;10;049;000;000;000;000;000;000;000;0
500;SAINT LO;N;URSSAF DE LA MANCHE;1 RUE DE LA LAITIERE NORMANDE;50013;ST LO CEDEX;14;UNICA CAEN;14;050;000;000;000;000;000;000;000;0
510;REIMS;N;URSSAF DE REIMS;14 RUE DU RUISSELET;51089;REIMS CEDEX;54;CERTI NANCY;9;051;000;000;000;000;000;000;000;0
520;CHAUMONT;N;URSSAF DE CHAUMONT;4 PLACE ARISTIDE BRIAND BP 2063;52903;CHAUMONT CEDEX 9;54;CERTI NANCY;9;052;000;000;000;000;000;000;000;0
527;NANTES;N;URSSAF PAYS DE LOIRE;3, RUE GAETAN RONDEAU;44933;NANTES CEDEX 9;44;CIRTI NANTES;;044;049;053;072;085;;;;0
530;LAVAL;N;URSSAF DE MAYENNE;41, RUE DES FOSSES;53087;LAVAL CEDEX 9;44;CIRTI NANTES;10;053;000;000;000;000;000;000;000;0
537;RENNES;N;URSSAF DE BRETAGNE;6 RUE ROBERT D ABRISSEL;35052;RENNES CEDEX 9;44;CIRTI NANTES;;022;029;035;056;;;;;0
540;NANCY;N;URSSAF DE NANCY;230 AVENUE ANDRE MALRAUX;54604;VILLERS LES NANCY CEDEX;54;CERTI NANCY;9;054;000;000;000;000;000;000;000;0
547;POITIERS;N;URSSAF DE POITOU-CHARENTES;3 AV DE LA REVOLUTION;86046;POITIERS CEDEX 9;44;CIRTI NANTES;;016;017;079;086;;;;;0
550;BAR LE DUC;N;URSSAF DE BAR LE DUC;1 RUE DE POLVAL BP 503;55012;BAR LE DUC CEDEX;54;CERTI NANCY;9;055;000;000;000;000;000;000;000;0
560;VANNES;N;URSSAF DU MORBIHAN;37 BD DE LA PAIX   BP 323;56018;VANNES  CEDEX;44;CIRTI NANTES;13;056;000;000;000;000;000;000;000;0
570;METZ;N;URSSAF DE LA MOSELLE;6 RUE PASTEUR B.P. 585;57032;METZ CEDEX;54;CERTI NANCY;15;057;000;000;000;000;000;000;000;0
580;NEVERS;O;URSSAF BOURGOGNE;8 BD GEORGES CLEMENCEAU;21037;DIJON CEDEX 9;69;CIRTI LYON;;058;;;;;;;;0
592;TOURCOING;N;URSSAF DE TOURCOING;28 AVENUE DE LA MARNE BP 600;59208;TOURCOING CEDEX;59;LAMBERSART;4;059;000;000;000;000;000;000;000;0
593;VALENCIENNES;N;URSSAF DU HAINAUT;31 PLACE DE LA REPUBLIQUE BP 517;59321;VALENCIENNES CEDEX;59;LAMBERSART;4;059;000;000;000;000;000;000;000;0
594;LILLE;N;URSSAF DE LILLE;292 av du Président HOOVER BP20001;59032;LILLE CEDEX;59;LAMBERSART;4;059;000;000;000;000;000;000;000;0
595;LILLE TGE;N;URSSAF DE NORD - PAS-DE-CALAIS;293 av du Président HOOVER BP20001;59032;LILLE CEDEX;59;LAMBERSART;;059;;;;;;;;0
600;OISE;N;"URSSAF DE L""OISE";11 RUE AMBROISE PARE;60015;BEAUVAIS;59;LAMBERSART;4;060;000;000;000;000;000;000;000;0
610;ALENCON;N;"URSSAF DE L""ORNE";28 PLACE DU GENERAL BONET;61023;ALENCON CEDEX;14;UNICA CAEN;14;061;000;000;000;000;000;000;000;0
622;CALAIS;N;URSSAF DE CALAIS;95 RUE DE VIC;62907;CALAIS CEDEX;59;LAMBERSART;4;062;000;000;000;000;000;000;000;0
629;ARRAS;N;"URSSAF D""ARRAS-CALAIS-DOUAI";BOULEVARD ALLENDE;62017;ARRAS CEDEX 9;59;LAMBERSART;4;059;062;000;000;000;000;000;000;0
630;CLERMONT FERRAND;N;URSSAF DU PUY DE DOME;4 rue Patrick DEPAILLER   ZAC LA PARDIEU;63054;CLERMONT FERRAND CEDEX  9;69;CIRTI LYON;2;063;000;000;000;000;000;000;000;0
640;BAYONNE;N;URSSAF DES PYRENEES ATLANTIQUES;10 RUE ANTOINE DE BOURBON;64145;BILLERE CEDEX;31;CIRSO MIDI PYRENEES;1;064;040;000;000;000;000;000;000;0
641;BAYONNE;N;URSSAF DE BAYONNE;6 AV BELLE MARION;64113;BAYONNE CEDEX;31;CIRSO MIDI PYRENEES;1;064;040;000;000;000;000;000;000;0
642;BILLERE (PAU);N;URSSAF DE PAU;10 RUE ANTOINE DE BOURBON;64145;BILLERE CEDEX;31;CIRSO MIDI PYRENEES;1;064;040;000;000;000;000;000;000;0
650;TARBES;N;URSSAF DES HAUTES PYRENEES;15 RUE LATIL BP 1025;65010;TARBES CEDEX;31;CIRSO MIDI PYRENEES;16;065;000;000;000;000;000;000;000;0
660;PERPIGNAN;N;URSSAF DE PERPIGNAN;26 Rue Petite de la Monnaie BP 59926;66021;PERPIGNAN CEDEX 9;34;SAP MONTPELLIER;8;066;000;000;000;000;000;000;000;0
670;STRASBOURG;N;URSSAF DU BAS RHIN;16 RUE CONTADES;67307;SCHILTIGHEIM CEDEX;67;STRASBOURG;15;067;000;000;000;000;000;000;000;0
680;MULHOUSE;N;URSSAF DU HAUT RHIN;26 AVENUE ROBERT SCHUMANN;68082;MULHOUSE CEDEX;54;CERTI NANCY;15;068;000;000;000;000;000;000;000;0
690;LYON;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTIL LYON;;069;;;;;;;;0
691;LYON;N;URSSAF DE LYON;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTIL LYON;6;069;000;000;000;000;000;000;000;0
692;VILLEFRANCHE SAONE;N;URSSAF DE VILLEFRANCHE-SUR-SAONE;85 Rue Georges Meunier BP 476;69665;VILLEFRANCHE-SUR-SAONE CEDEX;69;CERTIL LYON;6;069;000;000;000;000;000;000;000;0
693;LYON TGE;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTI LYON;;069;;;;;;;;0
700;VESOUL;N;URSSAF FRANCHE-COMTE;2 RUE DENIS PAPIN BP 1589;25010;BESANCON CEDEX;54;CERTI NANCY;;070;;;;;;;;0
710;MACON;O;URSSAF BOURGOGNE;8 BD GEORGES CLEMENCEAU;21037;DIJON CEDEX 9;69;CERTI LYON;;071;;;;;;;;0
720;LE MANS;N;URSSAF DE LA SARTHE;178, AVENUE BOLLEE;72048;LE MANS CEDEX 9;44;CIRTI NANTES;10;072;000;000;000;000;000;000;000;0
727;BORDEAUX;N;"URSSAF D""AQUITAINE";3 RUE THEODORE BLANC QUARTIER DU LAC;33084;BORDEAUX CEDEX;31;CIRSO MIDI PYRENEES;;024;033;040;047;064;;;;0
730;CHAMBERY;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTIL LYON;;073;;;;;;;;0
737;TOULOUSE;N;URSSAF MIDI PYRENEES;LABEGE 166 RUE PIERRE MARIE CURIE;31061;TOULOUSE CEDEX 9;31;CIRSO MIDI PYRENEES;;031;065;012;081;046;082;032;009;0
740;ANNECY;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTIL LYON;;074;;;;;;;;0
747;LIMOGES;N;URSSAF DU LIMOUSIN;11 RUE CAMILLE PELLETAN;87047;LIMOGES CEDEX;31;CIRSO MIDI PYRENEES;;019;023;087;;;;;;0
750;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;075;078;091;092;093;094;095;;0
760;ROUEN;N;URSSAF HAUTE NORMANDIE;61 RUE PIERRE RENAUDEL BP2035X;76040;ROUEN CEDEX;14;UNICA CAEN;;076;;;;;;;;0
761;DIEPPE;N;URSSAF DE DIEPPE;BD GEORGES CLEMENCEAU BP 212;76687;DIEPPE CEDEX;14;UNICA CAEN;14;076;000;000;000;000;000;000;000;0
762;LE HAVRE;N;URSSAF DU HAVRE;222 BD DE STRASBOURG;76092;LE HAVRE CEDEX;14;UNICA CAEN;14;076;000;000;000;000;000;000;000;0
763;ROUEN;N;URSSAF DE ROUEN;61 RUE PIERRE RENAUDEL 2035X;76040;ROUEN CEDEX;14;UNICA CAEN;14;076;000;000;000;000;000;000;000;0
770;MELUN;N;"URSSAF D""ILE-DE-FRANCE";6 RUE RENE CASSIN;77023;MELUN CEDEX;77;MELUN;;077;;;;;;;;0
780;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;078;;;;;;;;0
790;NIORT;N;URSSAF DES DEUX-SEVRES;60 RUE DES PRES FAUCHER - B.P.555;79032;NIORT CEDEX;44;CIRTI NANTES;5;079;000;000;000;000;000;000;000;0
800;AMIENS;N;"URSSAF D""AMIENS";1 AVENUE DU DANEMARK;80029;AMIENS CEDEX 1;59;LAMBERSART;4;080;000;000;000;000;000;000;000;0
810;ALBI;N;URSSAF DU TARN;16 RUE CAMPMAS;81013;ALBI CEDEX;31;CIRSO MIDI PYRENEES;16;081;000;000;000;000;000;000;000;0
820;MONTAUBAN;N;URSSAF DU TARN ET GARONNE;37 AVENUE GAMBETTA BP 745;82067;MONTAUBAN;31;CIRSO MIDI PYRENEES;16;082;000;000;000;000;000;000;000;0
827;LYON;N;URSSAF RHONE-ALPES;6 RUE DU 19 MARS 1962;69691;VENISSIEUX CEDEX;69;CERTI LYON;;001;007;026;038;042;069;073;074;0
830;TOULON;N;"URSSAF PROVENCE-ALPES-COTES d""AZUR";20 AV VITON;13299;MARSEILLE CEDEX 20;13;CIPAM MARSEILLE;;083;;;;;;;;0
837;CLERMONT FERRAND;N;URSSAF D AUVERGNE;4 rue Patrick DEPAILLER   ZAC LA PARDIEU;63054;CLERMONT FERRAND CEDEX  9;69;CIRTI LYON;;063;003;015;043;;;;;0
840;AVIGNON;N;"URSSAF PROVENCE-ALPES-COTES d""AZUR";20 AV VITON;13299;MARSEILLE CEDEX 20;13;CIPAM MARSEILLE;;084;;;;;;;;0
850;LA ROCHE SUR YON;N;URSSAF DE VENDEE;46, RUE DE LA MARNE;85930;LA ROCHE-SUR-YON CEDEX 9;44;CIRTI NANTES;10;085;000;000;000;000;000;000;000;0
860;POITIERS;N;URSSAF DE LA VIENNE;41 RUE DU TOUFFENET;86046;POITIERS CEDEX;44;CIRTI NANTES;5;086;000;000;000;000;000;000;000;0
870;LIMOGES;N;URSSAF DE LA HAUTE-VIENNE;11 RUE CAMILLE PELLETAN;87047;LIMOGES CEDEX;31;CIRSO MIDI PYRENEES;5;087;000;000;000;000;000;000;000;0
880;EPINAL;N;"URSSAF D""EPINAL";LA CHENAIE - 6 AVENUE PIERRE BLANCK;88085;EPINAL CEDEX 9;54;CERTI NANCY;9;088;000;000;000;000;000;000;000;0
888;NonPrecisé;?;Non Précisé;Non Précisé;?????;Non Précisé;??;??;99;888;888;888;888;888;888;888;888;0
890;AUXERRE;O;URSSAF BOURGOGNE;8 BD GEORGES CLEMENCEAU;21037;DIJON CEDEX 9;54;CERTI NANCY;;089;;;;;;;;0
909;BELFORT;N;URSSAF FRANCHE COMTE;2 RUE DENIS PAPIN BP 1589;25010;BESANCON CEDEX;54;CERTI NANCY;;025;090;;;;;;;0
910;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;091;;;;;;;;0
917;MONTPELLIER;N;URSSAF DE LANGUEDOC-ROUSSILLON;35 RUE DE LA HAYE;34937;MONTPELLIER CEDEX;31;CIRSO MIDI PYRENEES;;011;030;034;066;;;;;0
920;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;092;;;;;;;;0
930;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;093;;;;;;;;0
937;MARSEILLE;N;"URSSAF PROVENCE-ALPES-COTES d""AZUR";20 AV VITON;13299;MARSEILLE CEDEX 20;13;CIPAM MARSEILLE;;004;005;006;013;083;084;;;0
940;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;094;;;;;;;;0
950;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;095;;;;;;;;0
965;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;075;;;;;;;;0
967;PARIS;N;"URSSAF D""ILE-DE-FRANCE";;93518;MONTREUIL CEDEX;75;PARIS;;075;;;;;;;;0
971;GUADELOUPE;N;URSSAF DE LA GUADELOUPE;"QUARTIER DE L""HOTEL DE VILLE";97159;POINTE A PITRE CEDEX;97;GUADELOUPE;;971;977;978;;;;;;0
972;MARTINIQUE;N;CENTRE DE RECOUVREMENT;PLACE D ARMES;97210;LE LAMENTIN CEDEX 2;97;MARTINIQUE;;972;;;;;;;;0
973;GUYANE;N;CGSS GUYANE DIRECTION RECOUVREMENT;ESPACE TURENNE RADAMONTHE RTE DE RABAN;97037;CAYENNE CEDEX;97;LA GUYANE;;973;;;;;;;;0
974;LA REUNION;N;C.G.S.S. DIRECTION DU RECOUVREMENT;4 BD DORET;97704;ST-DENIS MESSAG. CEDEX9;97;LA REUNION;;974;;;;;;;;0
999;VALEUR INCONNUE;?;VALEUR INCONNUE;VALEUR INCONNUE;?????;Inconnu;99;VALEUR INCONNUE;99;888;888;888;888;888;888;888;888;1
