CPT_MIR_NUM;CPT_COP_NUM;CPT_CMU_COD;CPT_MIR_LIB;TEC_COL
47513526;47513526;;Prest. à ventiler Prestij Mutuelle du Ministère des Anciens Combattants & des Victimes de Guerre;0
47513527;47513527;;Prest. à ventiler Prestij Mutuelle du Ministère de la Justice;0
47513529;47513529;;Prest. à ventiler Prestij Mutuelle Familiale France & Outre-Mer;0
47513532;47513532;;Prest. à ventiler Prestij Mutuelle Civile de la Guerre;0
47513533;47513533;;Prest. à ventiler Prestij Mutuelle des Relations extérieures;0
47513536;47513536;;Prest. à ventiler Prestij M.G.P. - Sect. Versailles;0
47513537;47513537;;Prest. à ventiler Prestij Mutuelle Générale de la Police;0
47513555;47513555;;Prest. à ventiler Prestij Sté Mutualiste Police Nationale;0
47513599;47513599;;Prest. à ventiler Prestij Mutualité Fonction Publique;0
47513601;47513601;;Prest. à ventiler Prestij M.N.E.F.;0
47513602;47513602;;Prest. à ventiler Prestij Mutuelle Complémentaire ville de Paris, assist. pub. adm. Annexes;0
47513603;47513603;;Prest. à ventiler Prestij Mutuelle de l'E.D.F.;0
47513604;47513604;;Prest. à ventiler Prestij Mutuelle de la Police Nationale;0
47513605;47513605;;Prest. à ventiler Prestij Mutuelle de l'E.D.F.;0
47513606;47513606;;Prest. à ventiler Prestij Mutuelle Nationale Fonct. Collect. Territoriales;0
47513607;47513607;;Prest. à ventiler Prestij Mutuelle Transports en commun de Lyon;0
47513609;47513609;;Prest. à ventiler Prestij M.G.P.C.L. (Collectivités locales);0
47513610;47513610;;Prest. à ventiler Prestij Mutuelle des Hospices Civils de Lyon;0
47513611;47513611;;Prest. à ventiler Prestij Mutuelle SOGIREL - Lyon;0
47513612;47513612;;Prest. à ventiler Prestij Mutuelle du Bâtiment & des Travaux Publics;0
47513613;47513613;;Prest. à ventiler Prestij Mutuelle des Personnels Municipaux - U.P.E.S.E.;0
47513614;47513614;;Prest. à ventiler Prestij Mutuelle M.I.C.I.L.S. - U.M.I.G.A.;0
47513615;47513615;;Prest. à ventiler Prestij Mutuelle Association Lyonnaise de Prévoyance;0
47513616;47513616;;Prest. à ventiler Prestij Mutuelle Municipaux Ville de Marseille;0
47513617;47513617;;Prest. à ventiler Prestij Stés d'Etudiants Mutualistes;0
47513619;47513619;;Prest. à ventiler Prestij Mutuelle Nationale des Hospitaliers;0
47513622;47513622;;Prest. à ventiler Prestij Mutuelle de Fumel;0
47513629;47513629;;Prest. à ventiler Prestij 541ème Mutualiste (Lyon);0
47513634;47513634;;Prest. à ventiler Prestij Mutuelle du Personnel des Préfectures;0
47513637;47513637;;Prest. à ventiler Prestij Mutuelle de l'E.D.F.;0
47513638;47513638;;Prest. à ventiler Prestij Mutuelle de l'E.D.F.;0
47513639;47513639;;Prest. à ventiler Prestij Mutuelle de l'E.D.F.;0
47513640;47513640;;Prest. à ventiler Prestij Mutuelle de l'E.D.F.;0
47513641;47513641;;Prest. à ventiler Prestij Mutuelle de l'E.D.F.;0
47513645;47513645;;Prest. à ventiler Prestij Mutuelle de la C.G.E. (La Neptune);0
47513651;47513651;;Prest. à ventiler Prestij Mutuelle du personnel Municipal & Hospitalier;0
47513652;47513652;;Prest. à ventiler Prestij Mutuelle COVIMUT - Poitiers (Transports en commun);0
47513654;47513654;;Prest. à ventiler Prestij Mutuelle du personnel Municipal & transports en commun;0
4573326;4573326;;OC - CMU - Procédure A - Paiements manuels Agence comptable - Autres mutuelles;0
4573327;4573327;;OC - CMU - Procédure A - Paiements manuels Agence comptable - Autres mutuelles;0
4573328;4573328;;OC - CMU - Procédure A - Paiements manuels Agence comptable - Autres mutuelles;0
457332;457332;;OC - CMU - Procédure A - Paiements manuels Agence Comptable;0
4573331;4573331;;OC - CMU - Procédure A - Constats d'indus - Mut. Code de la Mutualité;0
4573332;4573332;;OC - CMU - Procédure A - Constats d'indus - Sociétés d'Assurances;0
4573333;4573333;;OC - CMU - Procédure A - Constats d'indus - Institutions de Prévoyance;0
4573334;4573334;;OC - CMU - Procédure A - Constats d'indus - Mut. régime agricole;0
4573335;4573335;;OC - CMU - Procédure A - Constats d'indus - Autres mutuelles;0
4573336;4573336;;OC - CMU - Procédure A - Constats d'indus - Autres mutuelles;0
4573337;4573337;;OC - CMU - Procédure A - Constats d'indus - Autres mutuelles;0
4573338;4573338;;OC - CMU - Procédure A - Constats d'indus - Autres mutuelles;0
457333;457333;;OC - CMU - Procédure A - Constats d'indus;0
4573341;4573341;;OC - CMU - Procédure B - Gestion locale - Mut. Code de la Mutualité;0
4573342;4573342;;OC - CMU - Procédure B - Gestion locale - Sociétés d'Assurances;0
4573343;4573343;;OC - CMU - Procédure B - Gestion locale - Institutions de Prévoyance;0
4573344;4573344;;OC - CMU - Procédure B - Gestion locale - Mut. régime agricole;0
4573345;4573345;;OC - CMU - Procédure B - Gestion locale - Autres mutuelles;0
4573346;4573346;;OC - CMU - Procédure B - Gestion locale - Autres mutuelles;0
4573347;4573347;;OC - CMU - Procédure B - Gestion locale - Autres mutuelles;0
4573348;4573348;;OC - CMU - Procédure B - Gestion locale - Autres mutuelles;0
457334;457334;;OC - CMU - Procédure B - Gestion locale;0
4573351;4573351;;OC - CMU - Procédure B - Gestion nationale - Mut. Code de la Mutualité;0
4573352;4573352;;OC - CMU - Procédure B - Gestion nationale - Sociétés d'Assurances;0
4573353;4573353;;OC - CMU - Procédure B - Gestion nationale - Institutions de Prévoyance;0
4573354;4573354;;OC - CMU - Procédure B - Gestion nationale - Mut. régime agricole;0
4573355;4573355;;OC - CMU - Procédure B - Gestion nationale - Autres mutuelles;0
4573356;4573356;;OC - CMU - Procédure B - Gestion nationale - Autres mutuelles;0
4573357;4573357;;OC - CMU - Procédure B - Gestion nationale - Autres mutuelles;0
4573358;4573358;;OC - CMU - Procédure B - Gestion nationale - Autres mutuelles;0
457335;457335;;OC - CMU - Procédure B - Gestion nationale;0
457336;457336;;CMU complémentaire - IVG;0
45733;45733;;OC - CMU;0
45734111;45734111;;MGEN - créances caisses-pivots Ets privés - acomptes;0
45734112;45734112;;MGEN - créances caisses-pivots Ets privés - prestations liquidées;0
4573411;4573411;;MGEN - Créances système caisses-pivots/Etablissements privés;0
45734121;45734121;;MGPTT - créances caisses-pivots Ets privés - acomptes;0
45734122;45734122;;MGPTT - créances caisses-pivots Ets privés - prestations liquidées;0
4573412;4573412;;MGPTT - Créances système caisses-pivots/Etablissements privés;0
45734131;45734131;;MGP - créances caisses-pivots Ets privés - acomptes;0
45734132;45734132;;MGP - créances caisses-pivots Ets privés - prestations liquidées;0
4573413;4573413;;MGP - Créances système caisses-pivots/Etablissements privés;0
45734141;45734141;;MFP - créances caisses-pivots Ets privés - acomptes;0
45734142;45734142;;MFP - créances caisses-pivots Ets privés - prestations liquidées;0
4573414;4573414;;MFP - Créances système caisses-pivots/Etablissements privés;0
45734151;45734151;;MNH - créances caisses-pivots Ets privés - acomptes;0
45734152;45734152;;MNH - créances caisses-pivots Ets privés - prestations liquidées;0
4573415;4573415;;MNH - Créances système caisses-pivots/Etablissements privés;0
45734161;45734161;;MNAM - créances caisses-pivots Ets privés - acomptes;0
45734162;45734162;;MNAM - créances caisses-pivots Ets privés - prestations liquidées;0
4573416;4573416;;MNAM - Créances système caisses-pivots/Etablissements privés;0
45734191;45734191;;Autres mutuelles - créances caisses-pivots Ets privés - acomptes;0
45734192;45734192;;Autres mutuelles - créances caisses-pivots Ets privés - prestations liquidées;0
4573419;4573419;;Autres mutuelles - Créances système caisses-pivots/Etablissements privés;0
457341;457341;;Mutuelles - Créances système caisses-pivots/Etablissements privés;0
4573421;4573421;;Créances MGEN - Syst. Cais. Pivots - Ets privés;0
4573422;4573422;;Créances MGPTT - Syst. Cais. Pivots - Ets privés;0
4573423;4573423;;Créances MGP - Syst. Cais. Pivots - Ets privés;0
4573424;4573424;;Créances MFP - Syst. Cais. Pivots - Ets privés;0
4573425;4573425;;Créances MNH - Syst. Cais. Pivots - Ets privés;0
4573426;4573426;;Créances MNAM - Syst. Cais. Pivots - Ets privés;0
4573429;4573429;;Créances Aut.MUT - Syst. Cais. Pivots - Ets privés;0
457342;457342;;Créances mutuelles - Syst. Cais. Pivots - Ets privés;0
45734;45734;;Sections locales mutualistes du Régime Général;0
457351;457351;;OC - Part complémentaire Noémie 3 - Flux CCDP;0
457352;457352;;OC - Part complémentaire Noémie 3 - Autres;0
45735;45735;;OC divers;0
4573611;4573611;;Aide à la mutualisation - Mutuelles code de la Mutualité - A;0
4573612;4573612;;Aide à la mutualisation - Sociétés d'assurance - A;0
4573613;4573613;;Aide à la mutualisation - Institutions de prévoyance - A;0
4573614;4573614;;Aide à la mutualisation - Mutuelles du régime agricole  - A;0
4573615;4573615;;Aide à la mutualisation - Autres mutuelles - A;0
4573619;4573619;;Aide à la mutualisation - Prestations à recycler - A;0
457361;457361;;Organisemes Complémentaires- Aide à la mutualisation - Procédure A - Prélévement;0
4573621;4573621;;Aide à la mutualisation - Mutuelles code de la Mutualité - B;0
475332529;475332529;;Prest. à réimputer Prestij Mutuelle Familiale France & Outre-Mer;0
4573624;4573624;;Aide à la mutualisation - Mutuelles du régime agricole  - B;0
4573625;4573625;;Aide à la mutualisation - Autres mutuelles - B;0
4573629;4573629;;Aide à la mutualisation - Prestations à recycler - B;0
457362;457362;;Organismes Complémentaires- Aide à la mutualisation - Procédure B - Prélévement;0
4573631;4573631;;Sortants CMUC CPAM - Mutuelles code de la Mutualité - B;0
4573632;4573632;;Sortants CMUC CPAM -Sociétés d'assurance - B;0
4573633;4573633;;Sortants CMUC CPAM -Institutions de prévoyance - B;0
4573634;4573634;;Sortants CMUC CPAM -Mutuelles du régime agricole  - B;0
4573635;4573635;;Sortants CMUC CPAM -Autres mutuelles - B;0
4573639;4573639;;Sortants CMUC CPAM -Prestations à recycler - B;0
457363;457363;;Organismes Complémentaires - Sortants CMUC CPAM - Procédure B - Prélévement;0
4573641;4573641;;Sortants CMUC OC - Mutuelles code de la Mutualité - A;0
4573642;4573642;;Sortants CMUC OC -Sociétés d'assurance - A;0
4573643;4573643;;Sortants CMUC OC -Institutions de prévoyance - A;0
4573644;4573644;;Sortants CMUC OC -Mutuelles du régime agricole  - A;0
4573645;4573645;;Sortants CMUC OC -Autres mutuelles - A;0
4573649;4573649;;Sortants CMUC OC -Prestations à recycler - A;0
457364;457364;;Organismes Complémentaires - Sortants CMUC OC - Procédure A - Prélévement;0
4573651;4573651;;Sortants CMUC OC - Mutuelles code de la Mutualité - B;0
4573652;4573652;;Sortants CMUC OC -Sociétés d'assurance - B;0
4573653;4573653;;Sortants CMUC OC -Institutions de prévoyance - B;0
4573654;4573654;;Sortants CMUC OC -Mutuelles du régime agricole  - B;0
4573655;4573655;;Sortants CMUC OC -Autres mutuelles - B;0
45652222;45652222;;URSSM - créances caisses-pivots Ets privés - prestations liquidées;0
4565222;4565222;;URSSM - Créances système caisses-pivots/Etablissements privés;0
4565223;4565223;;Créances URSSM - Syst. Cais. Pivots - Ets privés;0
456581121;456581121;;Port autonome de Bordeaux - créances caisses-pivots Ets privés - acomptes;0
456581122;456581122;;Port autonome de Bordeaux - créances caisses-pivots Ets privés - prestations liquidées;0
45658112;45658112;;Port autonome de Bordeaux - Créances système caisses-pivots/Etablissements privés;0
45658113;45658113;;Créances PORT BORD - Syst. Cais. Pivots - Ets privés;0
456581221;456581221;;CCIP - créances caisses-pivots Ets privés - acomptes;0
456581222;456581222;;CCIP - créances caisses-pivots Ets privés - prestations liquidées;0
45658122;45658122;;CCIP - Créances système caisses-pivots/Etablissements privés;0
45658123;45658123;;Créances CCIP - Syst. Cais. Pivots - Ets privés;0
456581321;456581321;;Assemblée Nationale - créances caisses-pivots Ets privés - acomptes;0
456581322;456581322;;Assemblée Nationale - créances caisses-pivots Ets privés - prestations liquidées;0
45658132;45658132;;Assemblée Nationale - Créances système caisses-pivots/Etablissements privés;0
45658133;45658133;;Créances ASS.NAT - Syst. Cais. Pivots - Ets privés;0
456581421;456581421;;SENAT - créances caisses-pivots Ets privés - acomptes;0
456581422;456581422;;SENAT - créances caisses-pivots Ets privés - prestations liquidées;0
45658142;45658142;;Sénat - Créances système caisses-pivots/Etablissements privés;0
45658143;45658143;;CréancesSENAT - Syst. Cais. Pivots - Ets privés;0
45731211;45731211;;AME - Prestations IVG;0
45731218;45731218;;AME - Autres  Prestations;0
4573211;4573211;;OC - Médecins référents - Procédure A - Virements - Mut. Code de la Mutualité;0
4573212;4573212;;OC - Médecins référents - Procédure A - Virements - Sociétés d'Assurances;0
4573213;4573213;;OC - Médecins référents - Procédure A - Virements - Institutions de Prévoyance;0
4573214;4573214;;OC - Médecins référents - Procédure A - Virements - Mut. régime agricole  (code rural)-;0
4573215;4573215;;OC - Médecins référents - Procédure A - Virements - Autres mutuelles;0
4573216;4573216;;OC - Médecins référents - Procédure A - Virements - Autres mutuelles;0
4573217;4573217;;OC - Médecins référents - Procédure A - Virements - Autres mutuelles;0
4573218;4573218;;OC - Médecins référents - Procédure A - Virements - Autres mutuelles;0
4573219;4573219;;OC - Médecins référents - Procédure A - Prestations à recycler;0
457321;457321;;OC - Médecins référents - Procédure A - Virements;0
4573221;4573221;;OC - Médecins référents - Procédure A - Paiements manuels Agence comptable - Mut. Code de la Mutualité;0
4573222;4573222;;OC - Médecins référents - Procédure A - Paiements manuels Agence comptable - Sociétés d'Assurances;0
4573223;4573223;;OC - Médecins référents - Procédure A - Paiements manuels Agence comptable - Institutions de Prévoyance;0
4573224;4573224;;OC - Médecins référents - Procédure A - Paiements manuels Agence comptable - Mut. régime agricole;0
4573225;4573225;;OC - Médecins référents - Procédure A - Paiements manuels Agence comptable - Autres mutuelles;0
4573226;4573226;;OC - Médecins référents - Procédure A - Paiements manuels Agence comptable - Autres mutuelles;0
4573227;4573227;;OC - Médecins référents - Procédure A - Paiements manuels Agence comptable - Autres mutuelles;0
4573228;4573228;;OC - Médecins référents - Procédure A - Paiements manuels Agence comptable - Autres mutuelles;0
457322;457322;;OC - Médecins référents - Procédure A - Paiements manuels Agence Comptable;0
4573231;4573231;;OC - Médecins référents - Procédure A - Constats d'indus - Mut. Code de la Mutualité;0
4573232;4573232;;OC - Médecins référents - Procédure A - Constats d'indus - Sociétés d'Assurances;0
4573233;4573233;;OC - Médecins référents - Procédure A - Constats d'indus - Institutions de Prévoyance;0
4573234;4573234;;OC - Médecins référents - Procédure A - Constats d'indus - Mut. régime agricole;0
4573235;4573235;;OC - Médecins référents - Procédure A - Constats d'indus - Autres mutuelles;0
4573236;4573236;;OC - Médecins référents - Procédure A - Constats d'indus - Autres mutuelles;0
4573237;4573237;;OC - Médecins référents - Procédure A - Constats d'indus - Autres mutuelles;0
4573238;4573238;;OC - Médecins référents - Procédure A - Constats d'indus - Autres mutuelles;0
457323;457323;;OC - Médecins référents - Procédure A - Constats d'indus;0
4573241;4573241;;OC - Médecins référents - Procédure B - Gestion locale - Mut. Code de la Mutualité;0
4573242;4573242;;OC - Médecins référents - Procédure B - Gestion locale - Sociétés d'Assurances;0
4573243;4573243;;OC - Médecins référents - Procédure B - Gestion locale - Institutions de Prévoyance;0
4573244;4573244;;OC - Médecins référents - Procédure B - Gestion locale - Mut. régime agricole;0
4573245;4573245;;OC - Médecins référents - Procédure B - Gestion locale - Autres mutuelles;0
4573246;4573246;;OC - Médecins référents - Procédure B - Gestion locale - Autres mutuelles;0
4573247;4573247;;OC - Médecins référents - Procédure B - Gestion locale - Autres mutuelles;0
4573248;4573248;;OC - Médecins référents - Procédure B - Gestion locale - Autres mutuelles;0
457324;457324;;OC - Médecins référents - Procédure B - Gestion locale;0
4573251;4573251;;OC - Médecins référents - Procédure B - Gestion nationale - Mut. Code de la Mutualité;0
4573252;4573252;;OC - Médecins référents - Procédure B - Gestion nationale - Sociétés d'Assurances;0
4573253;4573253;;OC - Médecins référents - Procédure B - Gestion nationale - Institutions de Prévoyance;0
4573254;4573254;;OC - Médecins référents - Procédure B - Gestion nationale - Mut. régime agricole;0
4573255;4573255;;OC - Médecins référents - Procédure B - Gestion nationale - Autres mutuelles;0
4573256;4573256;;OC - Médecins référents - Procédure B - Gestion nationale - Autres mutuelles;0
4573257;4573257;;OC - Médecins référents - Procédure B - Gestion nationale - Autres mutuelles;0
4573258;4573258;;OC - Médecins référents - Procédure B - Gestion nationale - Autres mutuelles;0
47513656;47513656;;Prest. à ventiler Prestij Mutuelle du personnel Municipal & collectivités locales;0
4573311;4573311;;OC - CMU - Procédure A - Virements - Mut. Code de la Mutualité;0
4573312;4573312;;OC - CMU - Procédure A - Virements - Sociétés d'Assurances;0
4573313;4573313;;OC - CMU -Procédure A - Virements - Institutions de Prévoyance;0
4573314;4573314;;OC - CMU - Procédure A - Virements - Mut. régime agricole (code rural)-;0
4573315;4573315;;OC - CMU - Procédure A - Virements - Autres mutuelles;0
4573316;4573316;;OC - CMU - Procédure A - Virements - Autres mutuelles;0
4573317;4573317;;OC - CMU - Procédure A - Virements - Autres mutuelles;0
4573318;4573318;;OC - CMU - Procédure A - Virements - Autres mutuelles;0
4573319;4573319;;OC - CMU - Procédure A - Prestations à recycler;0
457331;457331;;OC - CMU - Procédure A - Virements;0
4573321;4573321;;OC - CMU - Procédure A - Paiements manuels Agence comptable - Mut. Code de la Mutualité;0
4573322;4573322;;OC - CMU - Procédure A - Paiements manuels Agence comptable - Sociétés d'Assurances;0
4573323;4573323;;OC - CMU - Procédure A - Paiements manuels Agence comptable - Institutions de Prévoyance;0
4573324;4573324;;OC - CMU - Procédure A - Paiements manuels Agence comptable - Mut. régime agricole;0
4573325;4573325;;OC - CMU - Procédure A - Paiements manuels Agence comptable - Autres mutuelles;0
65612111764;65612111764;;Prestations AT/MP -Gardes en ville;0
656121142217;656121142;;/  Prescrits des masseurs kinésithérapeutes;0
6561211422171;656121142;;Prest. AT-MP-Autr.presc. app.& mat trait H. OQN deliv. phie offic. presc. masseurs kiné. lib.;0
6561211422172;656121142;;Prest. AT-MP-Autr.presc. app.& mat trait H. OQN deliv. phie offic. presc. masseurs kiné. sal.;0
656121142227;656121142;;/  Prescrits des masseurs kinésithérapeutes;0
6561211422271;656121142;;Prest.AT-MP-Autr.presc.-App.& Mat.Trait. Hors OQN déliv. phie Mut. presc. masseurs kiné. lib.;0
6561211422272;656121142;;Prest.AT-MP-Autr.presc.-App.& Mat.Trait. Hors OQN déliv. phie Mut. presc. masseurs kiné. sal.;0
656121142237;656121142;;/  Prescrits des masseurs kinésithérapeutes;0
6561211422371;656121142;;Prest.AT-MP-Autr.presc.-App.& Mat.Trait. Hors OQN déliv. phie hosp. presc. masseurs kiné. lib.;0
6561211422372;656121142;;Prest.AT-MP-Autr.presc.-App.& Mat.Trait. Hors OQN déliv. phie hosp. presc. masseurs kiné. sal.;0
656121142247;656121142;;/  Prescrits des masseurs kinésithérapeutes;0
6561211422471;656121142;;Prest.AT-MP-Autr.presc.-App.& Mat.Trait. Hors OQN déliv. Aut.Fourn. presc. masseurs kiné. lib.;0
6561211422472;656121142;;Prest.AT-MP-Autr.presc.-App.& Mat.Trait. Hors OQN déliv. Aut.Fourn. presc. masseurs kiné. sal.;0
656121142257;656121142;;/  Prescrits des masseurs kinésithérapeutes;0
6561211422571;656121142;;Prest. AT-MP-Autr.presc. app.& mat trait H. OQN deliv. propharma. presc. masseurs kiné. lib.;0
6561211422572;656121142;;Prest. AT-MP-Autr.presc. app.& mat trait H. OQN deliv. propharma. presc. masseurs kiné. sal.;0
656121144217;6561211442;;/  Prescrits des masseurs kinésithérapeutes;0
6561211442171;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext.Hors OQN deliv.phie offic.  presc.masseurs kiné. lib.;0
6561211442172;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext.Hors OQN deliv.phie offic.  presc.masseurs kiné. sal.;0
656121144227;6561211442;;/  Prescrits des masseurs kinésithérapeutes;0
6561211442271;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext.Hors OQN deliv. phie Mut.  presc.masseurs kiné. lib.;0
6561211442272;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext.Hors OQN deliv. phie Mut.  presc.masseurs kiné. sal.;0
656121144237;6561211442;;/  Prescrits des masseurs kinésithérapeutes;0
6561211442371;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext.Hors OQN deliv. phie hosp.  presc.masseurs kiné. lib.;0
6561211442372;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext.Hors OQN deliv. phie hosp.  presc.masseurs kiné. sal.;0
656121144247;6561211442;;/  Prescrits des masseurs kinésithérapeutes;0
6561211442471;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext. Hors OQN déliv. Aut.Fourn. presc.masseurs kiné. lib.;0
6561211442472;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext. Hors OQN déliv. Aut.Fourn. presc.masseurs kiné. sal.;0
656121144257;6561211442;;/  Prescrits des masseurs kinésithérapeutes;0
6561211442571;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext.Hors OQN deliv. propharma.  presc.masseurs kiné. lib.;0
6561211442572;6561211442;;Prest.AT-MP-Autr.presc.-Orth. & Proth. ext.Hors OQN deliv. propharma.  presc.masseurs kiné. sal.;0
656211815;656211815;;Complément de prestations-Chikungunya;0
65631183;65631183;;Autres actes de prévention;0
65631188;65631188;;Autres actes de prévention-divers;0
656111135171;65611113;1E1;Prest.Mal. -Suppléments Médicaments déliv. phie d'offic. presc. Masseurs kiné. lib.;0
656111135172;65611113;1E1;Prest.Mal. -Suppléments Médicaments déliv. phie d'offic. presc. Masseurs kiné. sal.;0
656111135271;65611113;1E1;Prest.Mal. -Suppléments Médicaments - déliv. phie Mut. presc. Masseurs kiné. lib.;0
656111135272;65611113;1E1;Prest.Mal. -Suppléments Médicaments - déliv. phie Mut. presc. Masseurs kiné. sal.;0
656111135571;65611113;1E1;Prest.Mal. -Suppléments Médicaments - déliv. propharmaciens presc. Masseurs kiné. lib.;0
656111135572;65611113;1E1;Prest.Mal. -Suppléments Médicaments - déliv. propharmaciens presc. Masseurs kiné. sal.;0
656112135171;65611213;1E1;Prest. Mater. -Suppléments Médicaments déliv. phie d'offic. presc. Masseurs kiné. lib.;0
656112135172;65611213;1E1;Prest. Mater. -Suppléments Médicaments déliv. phie d'offic. presc. Masseurs kiné. sal.;0
656112135271;65611213;1E1;Prest. Mater. -Suppléments Médicaments - déliv. phie Mut. presc. Masseurs kiné. lib.;0
656112135272;65611213;1E1;Prest. Mater. -Suppléments Médicaments - déliv. phie Mut. presc. Masseurs kiné. sal.;0
656112135571;65611213;1E1;Prest. Mater. - Suppléments Médicaments - déliv. propharmaciens presc. Masseurs kiné. lib.;0
656112135572;65611213;1E1;Prest. Mater. - Suppléments Médicaments - déliv. propharmaciens presc. Masseurs kiné. sal.;0
656121135171;65612113;;Prest.AT-MP-Suppléments Médicaments déliv. phie d'offic. presc. Masseurs kiné. lib.;0
656121135172;65612113;;Prest.AT-MP-Suppléments Médicaments déliv. phie d'offic. presc. Masseurs kiné. sal.;0
656121135271;65612113;;Prest.AT-MP-Suppléments Médicaments - déliv. phie Mut. presc. Masseurs kiné. lib.;0
656121135272;65612113;;Prest.AT-MP-Suppléments Médicaments - déliv. phie Mut. presc. Masseurs kiné. sal.;0
656121135571;65612113;;Prest.AT-MP- Suppléments Médicaments - déliv. propharmaciens presc. Masseurs kiné. lib.;0
656121135572;65612113;;Prest.AT-MP- Suppléments Médicaments - déliv. propharmaciens presc. Masseurs kiné. sal.;0
451124727;451124727;;CNAMTS - Télétransmissions FSE - Assemblée Nationale;0
451124728;451124728;;CNAMTS - Télétransmissions FSE - Sénat;0
451124731;451124731;;CNAMTS - Télétransmissions FSE - MGEN;0
451124732;451124732;;CNAMTS -Télétransmissions FSE - MG;0
451124733;451124733;;CNAMTS - Télétransmissions FSE - MG Police;0
451124734;451124734;;CNAMTS - Télétransmissions FSE - MFP;0
451124735;451124735;;CNAMTS - Télétransmissions FSE - MN hospitalière;0
451124736;451124736;;CNAMTS - Télétransmissions FSE - Mutuelle de la Marine;0
451124737;451124737;;CNAMTS - Télétransmissions FSE - Autres Mutuelles;0
4511248111;4511248111;;CNAMTS - B2 pharmaciens - Salariés agricoles;0
4511248112;4511248112;;CNAMTS - B2 pharmaciens - Exploitants  agricoles;0
4511248113;4511248113;;CNAMTS - B2 pharmaciens - RATP;0
4511248114;4511248114;;CNAMTS - B2 pharmaciens - CNMSS;0
4511248115;4511248115;;CNAMTS - B2 pharmaciens - SNCF;0
65612111422442;65612111422;;Prest.AT-MP- Hon. paramédic. kiné sal. autres presc. S.F. sal.;0
4573622;4573622;;Aide à la mutualisation - Sociétés d'assurance - B;0
4573623;4573623;;Aide à la mutualisation - Institutions de prévoyance - B;0
4564322;4564322;;CFE - créances caisses-pivots Ets privés - prestations liquidées;0
456432;456432;;CFE - Créances système caisses-pivots/Etablissements privés;0
45644111;45644111;;Opérations Regime Local  ALMO - Forfaits Journaliers;0
45644118;45644118;;Opérations Regime Local  ALMO - Autres prestations;0
4564411;4564411;;Opérations du Régime Local Alsace-Moselle - Prestations;0
