ETB_CAT_COD;ETB_CAT_LIB;ETB_CAT_RG1;ETB_CR1_LIB;ETB_CAT_RG2;ETB_CR2_LIB;ETB_CAT_RG3;ETB_CR3_LIB
223;SERVICE DEPARTEMENTAL DE PROTECTION MALADIE INFANTILE;2202;ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
224;ETABLISSEMENT DE CONSULTATIONS PRE ET POST-NATALES;2202;ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
228;CENTRE DE PLANIFICATION OU D EDUCATION FAMILIALE;2202;ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
230;ETABLISSEMENT DE CONSULTATIONS DE PROTECTION INFANTILE;2202;ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
233;Lactarium;3402;CONSERVATION ET STOCKAGE D AUTRES PRODUITS HUMAINS;34;AUTRES ETABLISSEMENTS A CARACTERE SANITAIRE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
237;CENTRE DE PLACEMENT FAMILIAL POUR ADULTES HANDICAPES;4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
238;CENTRE D ACCUEIL FAMILIAL SPECIALISE;4105;ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
246;CENTRE D AIDE PAR LE TRAVAIL (CAT);4302;ETABLISSEMENTS ET SERVICES DE TRAVAIL PROTEGE POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
249;CENTRE DE REEDUCATION PROFESSIONNELLE;4303;ETABLISSEMENTS ET SERVICES DE REINSERTION PROFESSIONNELLE POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
252;FOYER D HEBERGEMENT POUR ADULTES HANDICAPES;4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
253;FOYER D'ACCUEIL POLYVALENT POUR ADULTES HANDICAPES;4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
255;MAISON D ACCUEIL SPECIALISEE (M.A.S.);4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
268;CENTRE MEDICO-SCOLAIRE;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
269;CENTRE DE MEDECINE UNIVERSITAIRE;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
289;CENTRE DE SOINS INFIRMIERS;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
292;CENTRE HOSPITALIER SPECIALISE EN PSYCHIATRIE;1103;CENTRES HOSPITALIERS SPECIALISES EN PSYCHIATRIE;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
296;CENTRE DE PLACEMENT FAMILIAL SANITAIRE POUR ENFANTS ET ADOLESCENTS;1205;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
297;DISPENSAIRE POLYVALENT;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
320;SERVICE D AIDE MEDICALE URGENTE (S.A.M.U) ET CENTRE 15;1204;URGENCE ET REANIMATION;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
321;SERVICE MOBILE D URGENCE (S.M.U.R.) ET UNITE MOBILE HOSPITALIERE (U.M.H.);1204;URGENCE ET REANIMATION;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
328;CENTRE DE CONSULTATION ET SOINS DENTAIRES (H. PUBLIC);2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
347;CENTRE D EXAMEN DE SANTE;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
354;SERVICE DE SOINS A DOMICILE;4402;SERVICES SANITAIRES DE MAINTIEN A DOMICILE;44;ETABLISSEMENT POUR PERSONNES AGEES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
355;CENTRE HOSPITALIER ( C.H.);1102;CENTRES HOSPITALIERS;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
360;CENTRE HOSPITALIER DE SECTEUR;1102;CENTRES HOSPITALIERS;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
361;CENTRE DE MOYEN SEJOUR DE CURE MEDICALE;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
362;ETABLISSEMENT DE SOINS DE LONGUE DUREE;1109;CENTRES DE LONG SEJOUR;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
363;CENTRE DE MOYEN ET LONG SEJOUR;1108;CENTRES DE MOYEN ET LONG SEJOUR;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
364;MAISON DE SANTE MEDICO-CHIRURGICALE;1110;AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE);11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
365;ETABLISSEMENT DE SOINS PLURIDISCIPLINAIRES;1110;AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE);11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
366;ATELIER THERAPEUTIQUE;1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
377;ETABLISSEMENT EXPERIMENTAL EN FAVEUR DE L ENFANCE HANDICAPEE;4107;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DE L ENFANCE HANDICAPEE;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
379;ETABLISSEMENT EXPERIMENTAL EN FAVEUR DES ADULTES HANDICAPES;4304;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
380;ETABLISSEMENT EXPERIMENTAL EN FAVEUR DES AUTRES ADULTES;4603;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES ADULTES;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
381;ETABLISSEMENT EXPERIMENTAL EN FAVEUR DES PERSONNES AGEES;4404;ETABLISSEMENTS EXPERIMENTAUX EN FAVEUR DES PERSONNES AGEES;44;ETABLISSEMENT POUR PERSONNES AGEES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
382;FOYER OCCUPATIONNEL POUR ADULTES HANDICAPES;4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
390;ETABLISSEMENT D'HEBERGEMENT TEMPORAIRE D'ENFANTS;4105;ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
395;ETABLISSEMENT D'ACCUEIL TEMPORAIRE ADULTES HANDICAPES;4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
396;FOYER D HEBERGEMENT POUR ENFANTS ET ADOLESCENTS HANDICAPES;4105;ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES;41;ETABLISSEMENTS ET SERVICES POUR L ENFANCE ET LA JEUNESSE HANDICAPEE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
412;APPARTEMENT THERAPEUTIQUE;1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
413;CENTRE D ETUDES ET DE CONSERVATION DU SPERME (C.E.C.O.S.);3402;CONSERVATION ET STOCKAGE D AUTRES PRODUITS HUMAINS;34;AUTRES ETABLISSEMENTS A CARACTERE SANITAIRE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
414;CENTRE ANTIPOISON;3402;CONSERVATION ET STOCKAGE D AUTRES PRODUITS HUMAINS;34;AUTRES ETABLISSEMENTS A CARACTERE SANITAIRE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
415;SERVICE MEDICO-PSYCHOLOGIQUE REGIONAL;1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
422;TRAITEMENTS SPECIALISES A DOMICILE;1201;TRAITEMENT ET SOINS A DOMICILE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
425;CENTRE D ACCUEIL THERAPEUTIQUE A TEMPS PARTIEL;1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
426;SYNDICAT INTER-HOSPITALIER;1205;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
430;CENTRE DE POST CURE POUR MALADES MENTAUX;1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
431;CENTRE DE POST CURE POUR ALCOOLIQUES;1113;ETABLISSEMENTS DE LUTTE CONTRE L ALCOOLISME ET LES TOXICOMANIES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
432;CENTRE DE POST CURE POUR TOXICOMANES;1113;ETABLISSEMENTS DE LUTTE CONTRE L ALCOOLISME ET LES TOXICOMANIES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
437;FOYER (A DOUBLE TARIFICATION) POUR ADULTES HANDICAPES LOURDS;4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
439;CENTRE DE SANTE POLYVALENT;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
444;CENTRE DE CRISE OU D ACCUEIL PERMANENT;1111;AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
446;SERVICE D ACCOMPAGNEMENT A LA VIE SOCIALE (SAVS);4301;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;43;ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
460;SERVICE PRESTATAIRE D'AIDE A DOMICILE;4605;ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
461;LIEUX DE VIE;4606;CENTRE DE RESSOURCES;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
462;LIEUX DE VIE;4605;ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
463;CENTRES LOCAUX INFORMATION COORDINATION PERSONNES AGEES;4606;CENTRE DE RESSOURCES;46;AUTRES ETABLISSEMENTS D ACCUEIL,  HEBERGEMENT ET DE READAPTATION SOCIALE;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
500;EHPAD convention tripartite;4401;ETABLISSEMENT D HEBERGEMENT;44;ETABLISSEMENT POUR PERSONNES AGEES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
501;EHPAD sans convention tripartite;4401;ETABLISSEMENT D HEBERGEMENT;44;ETABLISSEMENT POUR PERSONNES AGEES;2;ETABLISSEMENTS RELEVANT DE LA LOI SOCIALE
601;CABINET LIBERAL DU MEDECIN;2100;CABINETS LIBERAUX (SCANNER ET IRMN);21;CABINETS LIBERAUX (SCANNER ET IRMN);1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
602;CABINET DE GROUPE DE MEDECINS;2100;CABINETS LIBERAUX (SCANNER ET IRMN);21;CABINETS LIBERAUX (SCANNER ET IRMN);1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
603;MAISON DE SANTE;2103;AUTRES STRUCTURES D'EXERCICE LIBERAL;21;CABINETS LIBERAUX (SCANNER ET IRMN);1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
696;GCS DE MOYENS;2100;CABINETS LIBERAUX (SCANNER ET IRMN);21;CABINETS LIBERAUX (SCANNER ET IRMN);1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
697;GCS ETABLISSEMENTS DE SANTE;2100;CABINETS LIBERAUX (SCANNER ET IRMN);21;CABINETS LIBERAUX (SCANNER ET IRMN);1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
698;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;2100;CABINETS LIBERAUX (SCANNER ET IRMN);21;CABINETS LIBERAUX (SCANNER ET IRMN);1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
700;STRUCTURES ET FILIERES DE SOINS;3403;STRUCTURES ET FILIERES DE SOINS SOUBIE;34;AUTRES ETABLISSEMENTS A CARACTERE SANITAIRE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
710;STRUCTURES ET FILIERES DE SOINS HORS RESEAUX SOUBIE;3404;STRUCTURES ET FILIERES DE SOINS HORS SOUBIE;34;AUTRES ETABLISSEMENTS A CARACTERE SANITAIRE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
999;VALEUR INCONNUE;9999;VALEUR INCONNUE;99;VALEUR INCONNUE;9;INCONNU
0;SANS OBJET;9999;VALEUR INCONNUE;99;VALEUR INCONNUE;9;INCONNU
101;CENTRE HOSPITALIER REGIONAL (C.H.R.);1101;CENTRES HOSPITALIERS REGIONAUX;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
102;CENTRE HOSPITALIER GENERAL (C.H.G.);1102;CENTRES HOSPITALIERS;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
103;CENTRE HOSPITALIER SPECIALISE AUTRE;1104;AUTRES CENTRES HOSPITALIERS SPECIALISES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
104;HOPITAL;1102;CENTRES HOSPITALIERS;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
105;HOPITAL RURAL;1106;HOPITAUX LOCAUX;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
106;HOPITAL LOCAL;1106;HOPITAUX LOCAUX;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
108;ETABLISSEMENT DE CONVALESCENCE OU DE REPOS;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
109;ETABLISSEMENT DE SANTE PRIVE AUTORISE EN SSR;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
112;CENTRE DE CONVALESCENCE, CURE ET READAPTATION;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
114;HOPITAL MILITAIRE;1205;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
115;AUTRES STRUCTURES DE SOINS RELEVANT DE L AUTORITE TECHNIQUE DU SERVICE DE SANTE DES ARMEES;1102;CENTRES HOSPITALIERS;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
116;MAISON DE REPOS;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
117;MAISON DE CONVALESCENCE;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
118;MAISON DE REPOS ET DE CONVALESCENCE;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
119;MAISON DE REGIME;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
120;MAISON DE REPOS POUR MERES ET LEURS ENFANTS DE MOINS DE 18 MOIS;1107;CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
121;MAISON DE SANTE OBSTETRICO-CHIRURGICALE;1110;AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE);11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
122;ETABLISSEMENT DE SOINS OBSTETRIQUES ET CHIRURGICO-GYNECOLOGIQUES;1110;AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE);11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
124;CENTRE DE SANTE;2206;CENTRES DE SANTE;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
125;CENTRE DE SANTE DENTAIRE;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
126;ETABLISSEMENT THERMAL;1205;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
127;HOSPITALISATION A DOMICILE;1201;TRAITEMENT ET SOINS A DOMICILE;12;AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
128;ETABLISSEMENT DE SOINS CHIRURGICAUX;1110;AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE);11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
129;ETABLISSEMENT DE SOINS MEDICAUX;1110;AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE);11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
130;CENTRE DE SOINS MEDICAUX;2201;Dispensaires ou Centres de Soins;22;AUTRES ETABLISSEMENTS DE SOINS ET DE PREVENTION;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
131;CENTRE HOSPITALIER SPECIALISE DE LUTTE CONTRE LE CANCER;1104;AUTRES CENTRES HOSPITALIERS SPECIALISES;11;ETABLISSEMENTS HOSPITALIERS;1;ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE
