AGE_COD;AGE_LIB;TEC_COL
demander_avis_mp_trt;(*) Demander Avis M.P. Compl. Traitement;0
demander_avis_mtra;(*) Demander Avis Médecin du Travail;0
demander_avis_nll;Demander Avis NLL;0
demander_avis_rce;Demander Avis Imputabilité (RCE);0
demander_avis_rch;Demander Avis Rechute;0
demander_avis_ree;Demander Avis Rééducation;0
demander_avis_soi;Demander Avis Soins;0
demander_avis_spc;Demander Avis SPC;0
demander_cmd_ad;Demander AD C.M. Décès;0
demander_cmf;Demander C.M. Final;0
demander_cmi;Demander C.M. Initial;0
demander_cmi_ad;Demander AD C.M.Initial;0
demander_cmi_r441;Demander C M Initial (decret);0
demander_cmi_r441_mp;Demander C.M. Initial (MP);0
demander_cmnll;(*) Demander C.M. Nouvelle Lésion;0
demander_cmp;Demander C.M. Prolongation;0
demander_cmr;Demander C.M. Rechute;0
demander_cmspc;Demander C.M. Soins Post-Consolidation;0
demander_compl_dat;Demander Compl. DAT (retour employeur);0
demander_compl_dmp;Demander Info. Compl. DMP;0
demander_cpl_aut_ad;Demander AD Compl. Autorisation Autopsie;0
demander_dat;Demander Déclaration A.T.;0
demander_dat_emp;Demander Déclaration A.T. à l'Employeur;0
demander_dat_vic;Demander Déclaration A.T. à la Victime;0
demander_dmp;Demander Déclaration M.P.;0
demander_dmp_ad;Demander AD DMP;0
demander_doc_ad;Demander AD Doc. Médicaux;0
demander_doc_adm_ad;Demander AD Doc. Adm.;0
demander_doc_adm_vic;Demander Doc. Adm. Victime;0
demander_doc_vic;Demander Doc. Méd. Victime;0
demander_dossier;Demander Transfert Dossier;0
demander_dos_man;Demander Dossier Electronique (hors sas);0
demander_dos_pap;Demander Dossier Papier (Mutation);0
demander_dos_sas;Demander Dossier SAS (Mutation);0
demander_enq_adm;Demander Enquête Adm.;0
demander_enq_adm_mp;Demander Enquête Adm. M.P.;0
demander_enq_adm_mp_aut;Demander Enquête Adm. M.P. autre empl.;0
demander_enq_ext;Demander Enquête Extérieure;0
demander_enq_ext_mp;Demander Enquête Extérieure M.P.;0
demander_enq_ext_mp_aut;Demander Enquête Extérieure M.P. autre empl.;0
demander_enq_leg;(*) Demander Enquête Légale;0
demander_enq_leg_dcd;(*) Demander Enquête Légale Décès;0
demander_exh_aut_pf;(*) Demander Exhumation P.F. Pour  Autopsie;0
demander_exp_app;Demander Expertise Appareillage;0
demander_exp_arr;Demander Expertise Arrêt de Travail;0
demander_exp_cure;Demander Expertise Cure;0
demander_exp_dcd;Demander Expertise Décès;0
demander_exp_dmf;Demander Expertise Décision Médicale Finale;0
demander_exp_ep;Demander Expertise Entente Préalable;0
demander_exp_hos;Demander Expertise Hospitalisation;0
demander_exp_mp;Demander Expertise Maladie Prof.;0
demander_exp_nll;Demander Expertise Nouvelle Lésion;0
demander_exp_rce;Demander Expertise Imputabilité (RCE);0
demander_exp_rch;Demander Expertise Rechute;0
demander_exp_ree;Demander Expertise Rééducation;0
demander_exp_soi;Demander Expertise Soins;0
demander_exp_spc;Demander Expertise Soins Post Conso.;0
demander_exp_vih;Demander Expertise SéroConv.;0
demander_interv;(*) Demander Doc. Divers Intervenant;0
demander_int_dom_am;Demander Interv. Dom.  Agt Mandaté;0
demander_mot_dat_tar;Demander Motif DAT Tardive;0
demander_nouv_fix_rep_c3m;(*) Demander Exam. Nlle Fixation Répar. Coll. 3 M;0
demander_nouv_fix_rep_pneumo;(*) Demander Exam. Nlle Fixation Répar. Méd. Pn.;0
demander_pie_ree;(*) Demander Salaire Rééducation;0
demander_rapport_police;Demander Rapport  Police;0
demander_rec_mp_ic;Demander Reconn. M.P. Ingénieur Conseil;0
demander_rec_mp_it;Demander Reconn. M.P. Insp. Travail;0
demander_rens_ad;Demander AD Renseignements;0
demander_rens_dat_tar;Demander CPAM Suivi Emp. DAT Tardive;0
demander_rens_emp;Demander Rens. Employeur;0
demander_rens_inf_pre;(*) Demander Rens. Infirm. Pré-existantes;0
demander_rens_int;Demander Rens. Témoin;0
demander_rens_med;Demander Rens. Autre Médecin;0
demander_rens_mp_autre_emp;Demander Rens. M.P. Autres Emp.;0
demander_rens_mp_emp;Demander Rens. M.P. Employeur;0
demander_rens_mt;Demander Rens. Médecin Traitant;0
demander_rens_tar_cpam;Demander Rens. CPAM suivi empl. DAT tardive;0
demander_rens_tar_cram;Demander CRAM Suivi Emp. AT Bénins;0
demander_rens_tiers;Demander Rens. 1ère Pers. Avisée;0
demander_rens_vic;Demander Rens. Victime;0
demander_sal_ad;Demander AD Salaires;0
demander_sal_aut_emp;Demander Salaires Autre Employeur;0
demander_sal_emp;Demander Salaires Employeur;0
demander_sal_emp_aut;Demander Salaires Autres Employeurs;0
demander_sal_vic;Demander Salaires Victime;0
demander_spc_vic;(*) Demander Certificat SPC Victime;0
ecrire_lib_ad;Ecrire AD Courrier Libre;0
ecrire_lib_div;Ecrire Courrier Libre Divers Intervenants;0
ecrire_lib_emp;Ecrire Courrier Libre Employeur;0
ecrire_lib_vic;Ecrire Courrier Libre Victime;0
editer_rens_pos_tra;Editer Fiches Postes de Travail;0
enregistrer_adc;Enregistrer Acte de Décès;0
enregistrer_affil;Enregistrer Affiliation;0
enregistrer_app;Enregistrer Appareillage;0
enregistrer_arr_F;Enregistrer Arrêt de Travail Final;0
enregistrer_arr_I;Enregistrer Arrêt de Travail Initial;0
enregistrer_arr_NLL;Enregistrer Arrêt de Travail Nouvelles Lésions;0
enregistrer_arr_P;Enregistrer Arrêt de Travail Prolongation;0
enregistrer_arr_R;Enregistrer Arrêt de Travail Rechute;0
enregistrer_assuj;Enregistrer Assujettissemnent;0
enregistrer_avis;Enregistrer Avis;0
enregistrer_avismed_iti;Enregistrer Avis Médical ITI;0
enregistrer_avismed_iti_rch;Enregistrer Avis Médical ITI (RCH);0
enregistrer_avis_crrmp;Enregistrer Avis CRRMP;0
enregistrer_avis_dcd;Enregistrer Avis Décès;0
enregistrer_avis_dmf;Enregistrer Avis Décision Médicale Finale;0
enregistrer_avis_emp_aty;Enregistrer Avis Employeur Atypique;0
enregistrer_avis_evtapr;Enregistrer Avis Appareillage;0
enregistrer_avis_evtarr;Enregistrer Avis Arrêt de Travail;0
enregistrer_avis_evtarr_mit;Enregistrer Avis Mi-temps;0
enregistrer_avis_evtcur;Enregistrer Avis Cure;0
enregistrer_avis_evtepr;Enregistrer Avis Entente Préalable;0
enregistrer_avis_evthos;Enregistrer Avis Hospitalisation;0
enregistrer_avis_evtiti;Enregistrer Avis ITI;0
enregistrer_avis_evtree;Enregistrer Avis Rééducation;0
enregistrer_avis_evtree_cot;Enregistrer Avis COTOREP;0
enregistrer_avis_evtsoi;Enregistrer Avis Soins;0
enregistrer_avis_evtspc;Enregistrer Avis Soins Post-Consolidation;0
enregistrer_avis_ipp;Enregistrer Avis IPP;0
enregistrer_avis_libre;Enregistrer Avis Medical Colloque;0
enregistrer_avis_mp;Enregistrer Avis Maladie Professionnelle;0
enregistrer_avis_mp_2a;Enregistrer Avis M.P. tableau;0
enregistrer_avis_mp_3a;Enregistrer Avis M.P. 3ème Alinéa;0
enregistrer_avis_mp_4a;Enregistrer Avis M.P. 4ème Alinéa;0
enregistrer_avis_mp_crrmp;Enregistrer Avis M.P. CRRMP;0
enregistrer_avis_mp_nex;Enregistrer Avis M.P. Cond. Adm. Non Examinées;0
enregistrer_avis_mp_pneumo;Enregistrer Avis M.P. Médecin Pneumologue;0
enregistrer_avis_mp_trt;Enregistrer Avis M.P. Complément Traitement;0
enregistrer_avis_nll;Enregistrer Avis Nouvelle Lésion;0
enregistrer_avis_rce;Enregistrer Avis Imputabilité (RCE);0
enregistrer_avis_rch;Enregistrer Avis Rechute;0
enregistrer_avis_spc;Enregistrer Avis Soins Post-Consolidation;0
enregistrer_avis_vih_at;Enregistrer Avis VIH et AT;0
enregistrer_bloc_sui;Enregistrer Nouveau Bloc Suit;0
enregistrer_cmd;Enregistrer Certificat Médical de Décès;0
enregistrer_cmf;Enregistrer Certificat Final;0
enregistrer_cmi;Enregistrer Certificat Initial;0
enregistrer_cmnll;Enregistrer Certificat Nouvelle Lésion;0
enregistrer_cmp;Enregistrer Certificat Prolongation;0
enregistrer_cmr;Enregistrer Certificat Rechute;0
enregistrer_cmspc;Enregistrer Certificat Soins Post-Conso.;0
enregistrer_contest;Enregistrer Contestation;0
enregistrer_ctx;Enregistrer Retour Contentieux;0
enregistrer_cur;Enregistrer Cure;0
enregistrer_dat;Enregistrer Déclaration A.T.;0
enregistrer_dat_tar;Enregistrer Déclaration Tardive;0
enregistrer_dat_tar_con_emp;Enregistrer Contestation Employeur Sanction;0
enregistrer_dat_tar_cpam;Enregistrer Réponse CPAM DAT Tardive;0
enregistrer_dat_tar_cram;Enregistrer Réponse CRAM DAT Tardive;0
enregistrer_dat_tar_dec;Enregistrer Info. Décision DAT Tardive;0
enregistrer_dat_tar_dec_ctx;Enregistrer Info. Décision Contentieux DAT Tardive;0
enregistrer_dat_tar_dec_emp;Enregistrer Décision Contentieux EMP;0
enregistrer_dat_tar_emp;Enregistrer Réponse Employeur DAT Tardive;0
enregistrer_dcd;Enregistrer Pièce Décès;0
enregistrer_demande_iti;Enregistrer Demande ITI;0
enregistrer_demande_iti_rch;Enregistrer Demande ITI(RCH);0
enregistrer_div;Enregistrer Evénement Divers;0
enregistrer_dmp;Enregistrer Déclaration M.P.;0
enregistrer_dos_pap;Enregistrer Dossier Papier Reçu;0
enregistrer_enq;Enregistrer Enquête;0
enregistrer_enq_adm;Enregistrer Enquête Administrative;0
enregistrer_enq_adm_mp;Enregistrer Enquête Adm. Maladie Professionnelle;0
enregistrer_enq_adm_mp_aut;Enregistrer Enquête Adm. M.P. Autre Employeur;0
enregistrer_enq_ext;Enregistrer Enquête Externe;0
enregistrer_enq_ext_mp;Enregistrer Enquête Externe Mal. Professionnelle;0
enregistrer_enq_ext_mp_aut;Enregistrer Enquête Ext. M.P. Autre Employeur;0
enregistrer_enq_leg;Enregistrer Enquête Légale;0
enregistrer_enq_leg_dcd;Enregistrer Enq. Légale décès;0
enregistrer_ep;Enregistrer Entente Préalable;0
enregistrer_eve;Enregistrer Evénement;0
enregistrer_exa_com;Enregistrer examen compl. exigé par le tableau;0
enregistrer_exp;Enregistrer Expertise;0
enregistrer_exp_dcd;Enregistrer Expertise Décès;0
enregistrer_exp_dmf;Enregistrer Expertise Décision M. Finale;0
enregistrer_exp_evtapr;Enregistrer Expertise Appareillage;0
enregistrer_exp_evtarr;Enregistrer Expertise Arrêt de Travail;0
enregistrer_exp_evtcur;Enregistrer Expertise Cure;0
enregistrer_exp_evtepr;Enregistrer Expertise Entente Préalable;0
enregistrer_exp_evthos;Enregistrer Expertise Hospitalisation;0
enregistrer_exp_evtree;Enregistrer Expertise Rééducation;0
enregistrer_exp_evtsoi;Enregistrer Expertise Soins;0
enregistrer_exp_evtspc;Enregistrer Expertise Soins Post-Consolidation;0
enregistrer_exp_mp;Enregistrer Expertise Maladie Professionnelle;0
enregistrer_exp_nll;Enregistrer Expertise Nouvelle Lésion;0
enregistrer_exp_rce;Enregistrer Expertise Imputabilité (RCE);0
enregistrer_exp_rch;Enregistrer Expertise Rechute;0
enregistrer_exp_spc;Enregistrer Expertise Soins Post-Consolidation;0
enregistrer_exp_vih;Enregistrer Expertise Séroconversion;0
enregistrer_fraude;Enregistrer Fraude;0
enregistrer_hos;Enregistrer Hospitalisation;0
enregistrer_mut_acc_dos_dem;Enregistrer Mutation : Dossier Demandé Accepté;0
enregistrer_mut_acc_dos_trs;Enregistrer Mutation : Dossier Transmis Accepté;0
enregistrer_mut_dem_vic_ent;Enregistrer Demande Victime : Entrée de Dossier;0
enregistrer_mut_dem_vic_sor;Enregistrer Demande Victime : Sortie de Dossier;0
enregistrer_mut_ent;Enregistrer Mutation : Entrée de Dossier;0
enregistrer_mut_rec_dem_dos;Enregistrer Mutation : Dossier Envoyé;0
enregistrer_mut_rec_dos_dem;Enregistrer Mutation : Dossier Demandé Reçu;0
enregistrer_mut_rec_trs_dos;Enregistrer Mutation : Recevoir Dossier;0
enregistrer_mut_ref_dem_dos;Enregistrer Mutation : Demande Dossier Refusée;0
enregistrer_mut_ref_dem_dos_re;Enregistrer Mutation : Demande Dossier Refusée;0
enregistrer_mut_ref_dos_dem;Enregistrer Mutation : Dossier Demandé Refusé;0
enregistrer_mut_ref_dos_dem_re;Enregistrer Mutation : Dossier Demandé Refusé;0
enregistrer_mut_ref_dos_trs;Enregistrer Mutation : Dossier Transmis Refusé;0
enregistrer_mut_ref_trs_dos;Enregistrer Mutation : Refuser Dossier Transmis;0
enregistrer_mut_sor;Enregistrer Mutation : Sortie de Dossier;0
enregistrer_quest;Enregistrer Questionnaire;0
enregistrer_quest_ad;Enregistrer Questionnaire Ayant-droit;0
enregistrer_quest_div;Enregistrer Questionnaire divers;0
enregistrer_quest_emp;Enregistrer Questionnaire Employeur;0
enregistrer_quest_med;Enregistrer Questionnaire Autre Médecin;0
enregistrer_quest_mp_aut_emp;Enregistrer Questionnaire M.P. Autre Employeur;0
enregistrer_quest_mp_emp;Enregistrer Questionnaire M.P. Employeur;0
enregistrer_quest_mp_medtra;Enregistrer Questionnaire M.P. Méd. Trav.;0
enregistrer_quest_mp_vic;Enregistrer Questionnaire M.P. Victime;0
enregistrer_quest_mt;Enregistrer Questionnaire Médecin Traitant;0
enregistrer_quest_ppa;Enregistrer Questionnaire Première Personne Avisée;0
enregistrer_quest_tem;Enregistrer Questionnaire Témoin;0
enregistrer_quest_vic;Enregistrer Questionnaire Victime;0
enregistrer_rapport;Enregistrer Rapport Police ou Gendarmerie;0
enregistrer_ree;Enregistrer Rééducation;0
enregistrer_rens;Enregistrer Renseignement Divers;0
enregistrer_reserve;Enregistrer Réserves Employeur;0
enregistrer_resmot;Enregistrer Réserves motivées;0
enregistrer_resnmot;Enregistrer Réserves non motivées;0
enregistrer_salaire;Enregistrer Salaires;0
enregistrer_salaire_emp;Enregistrer Salaires (Employeur);0
enregistrer_salaire_emp_aut;Enregistrer Salaires (Autre employeur);0
enregistrer_salaire_vic;Enregistrer Salaires (Victime);0
enregistrer_vih;Enregistrer Pièce SéroConv.;0
enregistrer_volet_emp;Enregistrer Volet Employeur;0
enregistrer_volet_emp_rch;Enregistrer Volet Employeur (RCH);0
epurer_dossier;Epurer Dossier;0
etablir_fic_coll_mp;Etablir fiche colloque MP;0
IIIIIIIIIIIIIIIIIIIIIIIIIIIIII;Valeur inconnue;1
importer_dossier;Importer Dossier (reprise historique);0
import_suite_fus;Dossier importé suite fusion;0
infirmer_san_dat_tar;Infirmer Sanction DAT Tardive;0
informer_acc_ree;Informer Accord Rééducation;0
informer_acc_ree_ass;(*) Informer Sce Social - Acc. Rééducation;0
informer_alloc_amiante;Informer Vic. Alloc. Amiante (T.N° 30 et 30 bis);0
informer_ann_san_dat_tar_ctx;Informer CTX Annul. Sanction DAT Tardive;0
informer_arr_ass;Informer Sce. Social - Arrêt de Travail L.Durée;0
informer_aut_ad;(*) Informer A. D. Autopsie;0
informer_aut_pf;(*) Informer P. F.  Autopsie;0
informer_chg_vic_cram;Informer Chgt Ident Victime CRAM;0
informer_compl_at_cram;(*) Transmettre Compl. Info. A.T. CRAM;0
informer_cons_dcd_ad;Informer AD Consult. Dossier Décès;0
informer_cons_dcd_emp;Informer Emp. Consult. Dossier Décès;0
informer_cons_dos_ad;Informer AD Consult. Dossier;0
informer_cons_dos_emp;Informer Emp. Consult. Dossier AT;0
Informer_cons_dos_mp_nll_vic;(*) Transmettre Contest. M.P.;0
Informer_cons_dos_mp_rch_vic;(*) Informer Vic. Consult. Rechute MP;0
Informer_cons_dos_mp_vic;Informer Vic. Consult Dossier MP;0
informer_cons_dos_poss;Informer Consult. Dossier Possible;0
informer_cons_dos_vic;Informer Vic Consult. Dossier Possible;0
informer_cons_el;(*) Notifier Enq. Légale;0
informer_cons_nll_emp;(*) Informer Emp. Consult.Dos. NLL AT;0
informer_cons_nll_vic;(*) Informer Vic. Consult. Nouvelle Lésion possibl;0
informer_cons_rch_ad;(*) Informer AD Consult. Rechute Possible;0
informer_cons_rch_emp;(*) Informer Emp. Consult.Dos. Rechute AT;0
informer_cons_rch_vic;(*) Informer Vic. Consult. Rechute Possible;0
informer_cons_res_enq_leg;(*) Informer Consult. Résultat Enq. Légale;0
informer_convo_dcd_ad;Informer AD Convocation;0
informer_dat_tar_cpam;Informer CPAM Rens. DAT Tardive;0
informer_dat_tar_dos;(*)Informer CPAM Rens. DAT Tardives (Dossier);0
informer_dat_tar_emp;(*)Informer CPAM Rens. DAT Tardives (tous);0
informer_dcd_ass;Informer Service Social A.T. Mortel;0
informer_dcd_att_ad;Inf.AD Recept.Certif.DC AT MP (initial en attente);0
informer_dcd_def_ad;Inf.AD Recept.Certif.DC AT MP (initial définitif);0
informer_dcd_ren;Informer Serv. Rentes Décès;0
informer_dec_ctx_san_emp_cpam;Informer CPAM Déc. CTX Sanction Employeur;0
informer_dec_dat_tar_cpam;Informer CPAM Décision DAT Tardive;0
informer_dec_dcd_ren;Informer S. Rentes Décision Décès;0
informer_doc_ad_at;Transmettre AD Documents Souhaités AT;0
informer_doc_ad_mp;Transmettre AD Documents Souhaités MP;0
informer_doc_emp;Transmettre EMP Documents Souhaités;0
informer_doc_emp_at;Transmettre EMP Documents Souhaités AT;0
informer_doc_emp_mp;Transmettre EMP Documents Souhaités MP;0
informer_doc_vic;Transmettre VIC Documents Souhaités;0
informer_doc_vic_at;Transmettre VIC Documents Souhaités AT;0
informer_doc_vic_mp;Transmettre VIC Documents Souhaités MP;0
Informer_emp_clot_dos;Informer Employeur Classement Dossier;0
informer_emp_rec_dmp_avis;Notifier EMP Lancement investigations MP;0
informer_emp_reprise_dos;Informer Employeur Reprise Dossier;0
informer_lm2a_fraude;Informer LM2A suite fraude;0
informer_lm2a_gdr;Informer LM2A suite GDR;0
informer_maj_bdo_rtt;Informer Centre Ratt. - Modification victime;0
informer_maj_rgm_aff;Informer Régime Service Affiliation;0
informer_med_leg_aut_ad;(*) Informer Ayant-Droit  Autopsie Méd. Légiste;0
informer_modif_anc_cram;Informer Ancienne CRAM Suite Modification;0
informer_mut_vic;Informer Mutation Victime;0
informer_nouv_affil;Informer VIC Nouvelle Caisse Affiliation;0
informer_pec_emp;Informer Emp. Décision de PEC;0
informer_prestation_fraude;Informer service Prestation suite fraude;0
informer_prol_instr_vic_at;(*) Informer Vic. Prol. Instruction AT;0
informer_prol_instr_vic_mp;(*) Informer Vic. Prol. Instruction MP;0
informer_pv_enq_leg;(*) Informer Clôture Enq. Légale Sin. Non Mortel;0
informer_rct_mut_vic;Informer Sté Mut. Respons. Tiers;0
informer_recept_cmi;Informer Reception CMI;0
informer_rec_cdc_at;Informer Récept. Certif. Décès AT;0
informer_rec_cdc_mp;Informer Récept. Certif. Décès MP;0
informer_rec_cmd_emp_att;Informer EMP Récept. Certif. DC AT ou MP (ATI ATT);0
informer_rec_cmd_emp_def;Informer EMP Récept. Certif. DC AT ou MP (ATI DEF);0
informer_rec_cm_at;Informer Récept. RCH ou Nlle Lésion - AT;0
informer_rec_cm_mp;Informer Récept. RCH ou Nlle Lésion - MP;0
informer_rec_dat;Informer Récept. DAT;0
informer_rec_dat_dcd;Informer Récept. DAT Décès;0
informer_rec_dat_dcd_decret;Informer Récept. Pièces Décès (DAT & CM);0
informer_rec_dat_decret;Informer Recept. Pièces (DAT & CMI);0
informer_rec_dc_presum_at;Informer Récept. Certif. Décès Présum.AT (ATI ATT);0
informer_rec_dep_avis;(*) Informer Réc. DMP et Dem. Avis;0
informer_rec_dmp;Informer Vic. Récept. DMP;0
informer_rec_dmp_avis;Informer Emp. Récept. DMP Vic. + Avis Méd. Trav.;0
Informer_rec_dmp_avis_apdecret;Informer Emp . Récept. DMP Vic + Avis MED Trav. D;0
informer_rec_dmp_dcd;Informer Récept. DMP Décès;0
informer_rec_dmp_dcd_apdecret;Informer Récept. DMP Décès D;0
informer_rec_dmp_emp;Informer Emp. Récept. DMP Victime;0
informer_rec_dmp_emp_apdecret;Informer Emp. Récept. DMP Victime D;0
informer_ree_ass;Informer Serv. Social Rééducation;0
informer_ref_adm_eve_epi_dmf;(*) Informer Refus Adm. Evt (pb DMF Episode );0
informer_ref_adm_eve_epi_rej;Informer Refus Adm. Evt (Episode rejeté);0
informer_ref_med_mp_crrmp;Informer Refus M.P. Avis CRRMP (déjà refusé);0
informer_ref_med_mp_crrmp_ad;Informer AD Refus M.P. Avis CRRMP (déjà Refusé);0
informer_ref_sus_hos;Informer Etab. Refus Suspensif Hospit.;0
informer_rente_fraude;Informer service Rente suite fraude;0
informer_rpec_at_cram;Informer Reprise en Charge AT CRAM;0
informer_rpec_mp_cram;Informer Reprise en Charge M.P. CRAM;0
informer_san_dat_tar_ctx;Informer CTX Sanction DAT Tardive;0
informer_trs_dos_at;Informer Victime Trsft Dossier A.T.;0
informer_trs_dos_fith;Informer Transm. Dos. SéroConv. Fonds Indemn.;0
informer_trs_dos_mp_c3m;(*) Informer Transm. Dos.  M.P. Coll. 3 Méd.;0
informer_trs_dos_mp_crrmp;(*) Informer Transm.  Dos. M.P. au CRRMP;0
informer_vic_chgt_num_mp;Informer VIC Chgt Num.MP (DPCM);0
Informer_vic_clot_dos;Informer Victime Classement Dossier;0
informer_vic_clot_dos_mp;Informer Victime Classement Dossier MP;0
informer_vic_clot_dos_sans_dec;Informer Victime Classement Dossier sans décl.;0
informer_vic_clot_dos_ss_exam;Informer Victime Classement Dossier sans examen;0
informer_vic_rec_dmp;Notifier VIC Lancement investigations MP;0
informer_vih_vic;Informer Victime Procédure SéroConv.;0
instruire_dat_tar;Instruire DAT Tardive;0
instruire_dcd_at;Instruire Décès AT;0
instruire_dcd_mp;Instruire Décès MP;0
instruire_dossier_at;Instruire Dossier A.T.;0
instruire_dossier_mp;Instruire Dossier M.P.;0
instruire_nll_at;Instruire Nouvelle Lésion AT;0
instruire_nll_mp;Instruire Nouvelle Lésion MP;0
instruire_rch_at;Instruire Rechute AT;0
instruire_rch_mp;Instruire Rechute MP;0
lancer_inv_at;Lancer les investigations;0
lancer_inv_mp;Lancer les investigations;0
modifier_app;Modifier Appareillage;0
modifier_arr;Modifier Arrêt de Travail;0
modifier_avi;Modifier Avis;0
modifier_avi_dmf;Modifier Avis de la DMF;0
modifier_avi_epiati;Modifier Avis de l'Episode A.T. Initial;0
modifier_avi_epidcd;Modifier Avis de l'Episode Décès;0
modifier_avi_epinll;Modifier Avis de l'Episode Nouvelle Lésion;0
modifier_avi_epirch;Modifier Avis de l'Episode Rechute;0
modifier_avi_epispc;Modifier Avis de l'Episode Soins Post-Consolid.;0
modifier_avi_eveapr;Modifier Avis de l'Evènement Appareillage;0
modifier_avi_evearr;Modifier Avis de l'Evènement Arrêt de Travail;0
modifier_avi_evecur;Modifier Avis de l'Evènement Cure;0
modifier_avi_evediv;Modifier Avis de l'Evènement  Divers;0
modifier_avi_eveepr;Modifier Avis de l'Evènement Entente Préalable;0
modifier_avi_evehos;Modifier Avis de l'Evènement Hospitalisation;0
modifier_avi_eveper;Modifier Avis de l'Evènement Période;0
modifier_avi_everee;Modifier Avis de l'Evènement Rééducation;0
modifier_avi_evesoi;Modifier Avis de l'Evènement Soins;0
modifier_avi_evespc;Modifier Avis de l'Evènement SPC;0
modifier_bloc_note;Modifier Bloc Note;0
modifier_contest;Enregistrer Décision;0
modifier_contest2;Modifier Contestation;0
modifier_cur;Modifier Cure;0
modifier_dat;Modifier Détail Accident;0
modifier_date_episode;Modifier Date de l'épisode;0
modifier_date_sin;Modifier Date du Sinistre;0
modifier_dat_tar;Modifier DAT Tardive;0
modifier_dcd;Modifier Décès;0
modifier_det_etr;Modifier Détachement à l'Etranger;0
modifier_div;Modifier Evt Divers;0
modifier_dmf;Modifier Décision Médicale Finale;0
modifier_dos;Modifier Sinistre;0
modifier_employeur_cram;Modifier CRAM dans employeur;0
modifier_ep;Modifier Entente Préalable;0
modifier_hos;Modifier Hospitalisation;0
modifier_iti;Modifier Indemnité Temporaire d'Inaptitude;0
modifier_les;Modifier Lésions;0
modifier_mut;Modifier Mutation;0
modifier_rct;Modifier Recours contre Tiers;0
modifier_ree;Modifier Rééducation;0
modifier_sal;Modifier Salaires;0
modifier_san_dat_tar;Modifier Sanction DAT Tardive;0
modifier_sinistre_cram;Modifier CRAM dans sinistre;0
modifier_sinistre_date;Modifier date de sinistre dans sinistre;0
