PFS_SPE_COD;PFS_SPE_LIB;PFS_SPE_STA;SPE_STA_LIB;PFS_SPE_POS;SPE_POS_LIB;PFS_SPE_OMS;SPE_OMS_LIB;PFS_SPE_TDM;SPE_TDM_LIB;PFS_CAT_COD;PFS_CAT_LIB
72;MEDECINE NUCLEAIRE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
73;ONCOLOGIE MEDICALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
74;ONCOLOGIE RADIOTHERAPIQUE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
75;PSYCHIATRIE DE L ENFANT ET DE L ADOLESCENT;1;MEDECINS OMNIPRATICIENS;3;PSYCHIATRES, NEUROPSYCHIATRES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
76;RADIOTHERAPIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
77;OBSTETRIQUE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
78;GENETIQUE MEDICALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
79;GYNECOLOGIE OBSTETRIQUE ET GYNECOLOGIE MEDICALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
80;SANTE PUBLIQUE ET MEDECINE SOCIALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
81;MEDECINE DES MALADIES INFECTIEUSES ET TROPICALES;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
82;MEDECINE LEGALE ET EXPERTISES MEDICALES;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
83;MEDECINE D'URGENCE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
84;MEDECINE VASCULAIRE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
85;ALLERGOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
99;NON RENSEIGNE;9;VALEUR INCONNUE;0;NON RENSEIGNE;0;NON RENSEIGNE;99;VALEUR INCONNUE;9;ORTHOPTISTE - ORTHOPHONISTE
0;NON RENSEIGNE;9;VALEUR INCONNUE;0;NON RENSEIGNE;0;NON RENSEIGNE;99;VALEUR INCONNUE;9;ORTHOPTISTE - ORTHOPHONISTE
1;MEDECINE GENERALE;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;1;MEDECINS OMNIPRATICIENS;1;MEDECIN;1;MEDECIN
2;ANESTHESIOLOGIE - REANIMATION CHIRURGICALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
3;PATHOLOGIE CARDIO-VASCULAIRE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
4;CHIRURGIE GENERALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
5;DERMATOLOGIE ET VENEROLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
6;RADIODIAGNOSTIC ET IMAGERIE MEDICALE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
7;GYNECOLOGIE OBSTETRIQUE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
8;GASTRO-ENTEROLOGIE ET HEPATOLOGIE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
9;MEDECINE INTERNE;1;MEDECINS OMNIPRATICIENS;2;MEDECINS SPECIALISTES;2;MEDECINS SPECIALISTES;1;MEDECIN;1;MEDECIN
