PRS_NAT;PRS_NAT_STA;PRS_NAT_CB2;PRS_NAT_LIB;TDM_NAT_AFF;PRS_NAT_TDM;NAT_CPL_ACT;CCA_CPL_COD;PRN_AID_TOP;PRS_SPP_TOP;TOP_SNI;TYA_COD;CEL_TYP;TOP_PRS_SOI;PRS_NAT_RGT;TOP_TRF_OPP;PRS_NAT_OBS;TEC_COL
2371;99;G1;TARIF SOINS GIR 1 ET 2;9;99;0;;0;;0;Z;22;0;0;;;0
2372;99;G2;TARIF SOINS GIR 3 ET 4;9;99;0;;0;;0;Z;22;0;0;;;0
2373;99;G3;TARIF SOINS GIR 5 ET 6;9;99;0;;0;;0;Z;22;0;0;;;0
2380;99;PY0;FORFAIT PSYCHIATRIE SEANCE COLL, 1 INTERVENANT 3 à 4H;9;99;0;;0;;0;Z;22;0;0;;;0
2381;99;PY1;FORFAIT PSYCHIATRIE SEANCE IND, 1 INTERVENANT 3 à 4H;9;99;0;;0;;0;Z;22;0;0;;;0
2382;99;PY2;FORFAIT PSYCHIATRIE SEANCE COLL, 2 INTERVENANTS 3 à 4H;9;99;0;;0;;0;Z;22;0;0;;;0
2383;99;PY3;FORFAIT PSYCHIATRIE SEANCE IND. 2 INTERVENANTS 3 à 4H;9;99;0;;0;;0;Z;22;0;0;;;0
2384;99;PY4;FORFAIT PSYCHIATRIE SEANCE COLL, 1 INTERVENANT 6 à 8H;9;99;0;;0;;0;Z;22;0;0;;;0
2385;99;PY5;FORFAIT PSYCHIATRIE SEANCE IND. 1 INTERVENANT 6 à 8H;9;99;0;;0;;0;Z;22;0;0;;;0
2386;99;PY6;FORFAIT PSYCHIATRIE SEANCE COLL, 2 INTERVENANT 6 à 8H;9;99;0;;0;;0;Z;22;0;0;;;0
2387;99;PY7;FORFAIT PSYCHIATRIE SEANCE IND. 2 INTERVENANTS 6 à 8H;9;99;0;;0;;0;Z;22;0;0;;;0
2388;99;PY8;FORFAIT PSYCHIATRIE DE SECURITE HOSPITALISATION SANS HEBERGEMENT;9;99;0;;0;;0;Z;22;0;0;;;0
2389;99;PY9;PRISE EN CHARGE DE NUIT POUR UNE DUREE ENTRE 8 ET 12H;9;99;0;;0;;0;Z;22;0;0;;;0
2391;99;FR2;FORFAIT TECHNIQUE TARIF REDUIT N°2;9;99;0;;0;1;0;Z;;0;0;;;0
2392;99;FR3;FORFAIT TECHNIQUE TARIF REDUIT N°3;9;99;0;;0;1;0;Z;;0;0;;;0
2411;99;IG;INTERVENTION IVG;9;99;0;;0;;1;T;20;0;18;1;;0
2412;99;IGA;ANESTHESIE GENERALE;9;99;0;;0;;1;T;20;0;18;1;;0
2413;99;IGB;INVESTIGATIONS BIOLOGIQUES;9;99;0;;0;;1;Z;20;0;18;;;0
2414;99;IC;CONSULTATION IVG;9;99;0;;0;;1;C;20;0;18;1;;0
2415;99;IGM;MEDICAMENTS: MIFEYGINE;9;99;0;;0;;1;Z;21;0;5;;;0
2416;99;IGP;MEDICAMENTS: PROSTAGLANDINES;9;99;0;;0;;1;Z;21;0;5;;;0
2417;99;IVB;VERIFICATION BIOLOGIQUE;9;99;0;;0;;1;Z;20;0;18;;;0
2418;99;IVE;VERIFICATION ECHOGRAPHIQUE;9;99;0;;0;;1;Z;20;0;18;1;;0
2419;99;IMD;FORFAIT INTERVENTION AMBULATOIRE;9;99;0;;0;;0;Z;22;0;0;;;0
2420;99;IMI;FORFAIT INTERVENTION DUREE < OU = 12 H PRIVE MEDIC;9;99;0;;0;;1;Z;22;0;18;;;0
2421;99;AMD;INTERVENTION + ANESTHESIE AMBULATOIRE;9;99;0;;0;;0;Z;22;0;0;;;0
2422;99;AMF;FORFAIT POUR IVG MEDICAMENTEUSE;9;99;0;;0;;0;Z;22;0;0;;;0
2423;99;IPD;FORFAIT INTERVENTION AVEC NUITEE;9;99;0;;0;;0;Z;22;0;0;;;0
2424;99;APD;INTERVENTION + ANESTHESIE AVEC NUITEE;9;99;0;;0;;0;Z;22;0;0;;;0
2425;99;FJS;FORFAIT IVG POUR 24H SUPPLEMENTAIRES - SECTEUR PRIVE/SECTEUR PUBLIC;9;99;0;;0;;0;Z;22;0;0;;fermé le 30/03/2013;0
2426;99;ICS;CONSULTATION IVG SPECIALISTE;9;99;0;;0;;1;C;20;0;18;;;0
2428;99;IPE;ECHO PRE IVG;9;99;0;;0;;1;Z;20;0;18;;;0
9881;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9882;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9883;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9884;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9885;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9886;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9887;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9888;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9889;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9890;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9891;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9892;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9893;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9894;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9895;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9896;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9897;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9898;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9899;99;;CODES MIS A LA DISPOSITION DE LA SNCF;9;99;0;;0;;0;Z;;0;0;;Specifique NTEIR;0
9901;99;TRA;TRANSPORT POUR PERSONNE ACCOMPAGNANTE (MILITAIRES);9;99;0;;0;;0;Z;21;0;0;;;0
9902;99;AFA;AIDE SOCIALE (MILITAIRES);9;99;0;;0;;0;Z;21;0;0;;;0
9911;99;AIM;AIDE MENAGERE;9;99;0;;0;;0;Z;21;0;0;;;0
9912;99;AFM;AIDE MENAGERE FAMILIALE (MILITAIRES);9;99;0;;0;;0;Z;21;0;0;;;0
9999;99;;VALEUR INCONNUE;9;99;0;;0;;0;I;;0;0;;;1
2501;99;FI1;FORFAIT FIR PDSES PUBLIQUE;9;99;0;;0;;0;Z;22;0;0;;;0
2502;99;FI2;FORFAIT FIR CENTRE DEPISTAGE ANONYME ET GRATUIT;9;99;0;;0;;0;Z;22;0;0;;;0
2503;99;FI3;FORFAIT FIR CENTRE PERINATAUX DE PROXIMITE;9;99;0;;0;;0;Z;22;0;0;;;0
2504;99;FI4;FORFAIT FIR EDUCATION THERAPEUTIQUE;9;99;0;;0;;0;Z;22;0;0;;;0
3101;99;FSA;FORFAIT STRUCTURE PS AUXILIAIRES;9;99;0;;0;;1;Z;21;0;47;;;0
3102;99;FSC;CONTESTATION FORFAIT STRUCTURE PS AUXILIAIRES;9;99;0;;0;;1;Z;21;0;47;;;0
3103;99;TLS;TELECONSULTATION LORS D'UN SOIN;9;99;0;;0;1;1;Z;20;0;3;;;0
3104;99;TLL;TELECONSULTATION LIEU DEDIE;9;99;0;;1;1;1;Z;20;0;3;;;0
3105;99;TLD;TELECONSULTATION DOMICILE;9;99;0;;1;1;1;Z;20;0;3;;;0
3106;99;BSC;SOINS INFIRMIERS EXTERNALISES (PEC LOURDE);9;99;0;;1;1;1;Z;20;0;70;;;0
3107;99;BSB;SOINS INFIRMIERS EXTERNALISES (PEC INTERMEDIAIRE);9;99;0;;1;1;1;Z;20;0;70;;;0
3108;99;BSA;SOINS INFIRMIERS EXTERNALISES (PEC LEGERE);9;99;0;;1;1;1;Z;20;0;70;;;0
3109;99;MIE;Majoration Infirmier Enfant;9;99;1;32;0;1;1;Z;20;0;70;;;0
3110;99;CII;CONTRAT INCITATIF INFIRMIER;9;99;0;;0;;1;Z;20;0;47;;;0
3111;99;AMI;ACTES EN AMI;9;99;0;;1;1;1;Z;20;1;32;;;0
3112;99;AIS;ACTES INFIRMIERS DE SOINS;9;99;0;;1;1;1;Z;20;1;3;;;0
3113;99;SFI;ACTES INFIRMIERS DES SAGES-FEMMES (SFI);9;99;0;;1;1;1;Z;20;1;32;;;0
3115;99;DI;BILAN DE SOINS INFIRMIERS;9;99;0;;1;;1;Z;20;1;3;;;0
3116;99;MAU;MAJORATION POUR ACTE UNIQUE;9;99;1;32;0;1;1;Z;20;0;70;;;0
3117;99;MCI;MAJORATION DE COORDINATION ET D'ENVIRONNEMENT DE SOIN INFIRMIER;9;99;1;32;0;1;1;Z;20;0;70;;;0
3118;99;VGI;INDEMNISATION VACATION INFIRMIERS;9;99;0;;0;;1;Z;20;0;47;;;0
3119;99;VIR;REMUNERATION VACCINATION GRIPPE A PAR INFIRMIER RETRAITE OU SALARIE HORS OBLIGATIONS;9;99;0;;0;;0;Z;;0;0;;fermé au 03/01/2021;0
3120;99;AMX;SOINS INFIRMIERS EXTERNALISES;9;99;0;;1;1;1;Z;20;0;70;;;0
3121;99;AMC;ACTES AMC;9;99;0;;1;1;1;Z;20;1;3;;;0
3122;99;AMK;ACTES EN AMK;9;99;0;;1;1;1;Z;20;1;3;;;0
3123;99;TMK;TELESOINS MK;9;99;0;;1;;1;Z;20;0;3;;;0
3124;99;FTD;FORFAIT TROUBLES NEURO-DEVELOPPEMENT;9;99;0;;1;;1;Z;20;0;70;;;0
3125;99;AMS;ACTES DE KINESITHERAPIE OSTEO-ARTICULAIRE;9;99;0;;1;1;1;Z;20;1;3;;;0
3126;99;CIK;CONTRAT DEMOGRAPHIQUE KINE;9;99;0;;0;;1;Z;20;0;47;;;0
3127;99;FRD;FORFAIT PRISE EN CHARGE AVC;9;99;0;;1;;1;C;20;0;46;1;;0
3128;99;FAD;RETOUR A DOMICILE POST CHIRURGIE ORTHOPEDIQUE;9;99;0;;1;;1;C;20;0;46;1;;0
3129;99;MIP;PRATIQUE AVANCEE INFIRMIER MIP;9;99;1;32;0;1;1;Z;20;0;70;;;0
3130;99;PAI;PRATIQUE AVANCEE INFIRMIER PAI;9;99;0;;1;1;1;Z;20;1;32;;;0
3131;99;AMP;ACTES DES PEDICURES;9;99;0;;1;1;1;Z;20;1;3;;;0
3132;99;AMO;ACTES DES ORTHOPHONISTES;9;99;0;;1;;1;Z;20;1;3;;;0
3133;99;AMY;ACTES DES ORTHOPTISTES;9;99;0;;1;;1;Z;20;1;3;;;0
3134;99;POD;ACTE DE PEDICURE-PODOLOGUE (DIABETIQUE);9;99;0;;1;1;1;Z;20;0;3;;;0
3135;99;FOT;FORFAIT EVALUATION DOMICILE HANDICAP;9;99;1;32;0;;1;Z;20;0;70;;;0
3136;99;MEO;MAJORATION ENFANT - ORTHOPHONIE;9;99;1;32;0;;1;Z;20;0;70;;;0
3137;99;FPH;FORFAIT POST HOSPITALISATION - ORTHOPHONIE;9;99;0;;1;;1;Z;20;0;70;;;0
3138;99;FOH;FORFAIT EVALUATION DOMICILE HANDICAP - ORTHOPHONIE;9;99;0;;1;;1;Z;20;0;70;;;0
3139;99;CIO;CONTRAT INCITATIF ORTHOPHONISTE;9;99;0;;0;;1;Z;20;0;47;;;0
3140;99;TMI;TELESOINS INFIRMIERS;9;99;0;;1;;1;Z;20;0;32;;;0
3141;99;TMP;TELESOINS PODOLOGUES;9;99;0;;1;;1;Z;20;0;3;;;0
3142;99;TMO;TELESOINS ORTHOPHONISTES;9;99;0;;1;;1;Z;20;0;3;;;0
3143;99;TMY;TELESOINS ORTHOPTISTES;9;99;0;;1;;1;Z;20;0;3;;;0
3144;99;VIR;VACATION HORS MEDECINS VACCI COVID19;9;99;0;;0;;1;Z;20;0;47;;;0
3145;99;APM;AMPUTATIONS;9;99;0;;1;;1;Z;20;1;3;;;0
3146;99;ARL;AFF RESPIRATOIRES MAX FACIAL ET ORL;9;99;0;;1;;1;Z;20;1;3;;;0
3147;99;DRA;DEVIATION RACHIS;9;99;0;;1;;1;Z;20;1;3;;;0
3148;99;NMI;AFF NEURO MUSC OU RHUM INFLAM;9;99;0;;1;;1;Z;20;1;3;;;0
3149;99;PLL;SOINS PALLIATIFS;9;99;0;;1;;1;Z;20;1;3;;;0
3150;99;IIN;INDEMNITE INFLATION;9;99;0;;0;;0;Z;20;0;0;;;0
3151;99;RAB;REEDUC ABDO ET PERINEOSPHINCTERIENNE;9;99;0;;1;;1;Z;20;1;3;;;0
3152;99;RAM;RACHIS NON OPERE;9;99;0;;1;;1;Z;20;1;3;;;0
3153;99;RAO;RACHIS OPERE;9;99;0;;1;;1;Z;20;1;3;;;0
3154;99;RAV;REEDUC AFFECTIONS VASCULAIRES;9;99;0;;1;;1;Z;20;1;3;;;0
3155;99;RIC;MEMBRE INFERIEUR OPERE;9;99;0;;1;;1;Z;20;1;3;;;0
3156;99;RIM;MEMBRE INFERIEUR NON OPERE;9;99;0;;1;;1;Z;20;1;3;;;0
3157;99;RPE;REEDUC PERSONNE AGEE;9;99;0;;1;;1;Z;20;1;3;;;0
3158;99;RPB;REEDUC BRULURES;9;99;0;;1;;1;Z;20;0;3;;;0
3159;99;RSC;MBRE SUP OPERE;9;99;0;;1;;1;Z;20;0;3;;;0
3160;99;RSM;MBRE SUP NON OPERE;9;99;0;;1;;1;Z;20;0;3;;;0
3161;99;TER;AFFECTIONS SUR 2 TERRITOIRES;9;99;0;;1;;1;Z;20;0;3;;;0
3162;99;VIC;MBRE INF OPERE SS REF;9;99;0;;1;;1;Z;20;0;3;;;0
3163;99;VIM;MBRE INF NON OPERE SS REF;9;99;0;;1;;1;Z;20;0;3;;;0
3164;99;VSC;MBRE SUP OPERE SS REF;9;99;0;;1;;1;Z;20;0;3;;;0
3165;99;VSM;MBRE SUP NON OPERE SS REF;9;99;0;;1;;1;Z;20;0;3;;;0
3210;99;DMP;AIDE FINANCIERE A L'INTEROPERABILITE DMP;9;99;0;;0;;1;Z;20;0;47;;;0
3211;99;B;ACTES DE BIOLOGIE;9;99;0;;1;1;1;Z;20;0;29;;;0
3212;99;BP;ACTES D  ANATOMO-CYTO-PATHOLOGIE EN LABORATOIRE;9;99;0;;0;;1;Z;;0;29;;fermé le 31/12/2001;0
3213;99;FPB;FORFAIT PREALABLE BIOLOGIE IVG VILLE;9;99;0;;0;;1;Z;20;0;18;0;;0
3214;99;BR;ACTES EN BR;9;99;0;;0;;1;Z;;0;29;;fermé le 31/12/2001;0
3216;99;FUB;FORFAIT ULTERIEUR BIOLOGIE IVG VILLE;9;99;0;;0;;1;Z;20;0;18;0;;0
3221;99;KB;PRELEVEMENT;9;99;0;;1;;1;Z;20;0;4;;;0
3222;99;PB;PRELEVEMENT SANGUIN PAR UN DIRECTEUR DE LABORATOIRE;9;99;0;;1;1;1;Z;20;0;4;;;0
3223;99;TB;PRELEVEMENT;9;99;0;;1;1;1;Z;20;0;4;;;0
3225;99;KMB;PRELEVEMENT PAR PONCTION VEINEUSE DIRECTE POUR UN MEDECIN BIOLOGISTE;9;99;0;;1;1;1;T;20;0;4;;;0
3300;99;RRA;REMUNERATION ROSP AOD;9;99;0;;0;;0;Z;21;0;0;;;0
3301;99;CRA;CONTESTATION ROSP AOD;9;99;0;;0;;0;Z;21;0;0;;;0
3302;99;PGC;PAIEMENT GARANTIE CONVENTIONNELLE PHARMACIE;9;99;0;;0;;0;Z;21;0;0;;;0
3303;99;CGC;CONTESTATION GARANTIE CONVENTIONNELLE PHAMACIE;9;99;0;;0;;0;Z;21;0;0;;;0
3304;99;PQS;PAIEMENT QUALITE DE SERVICE PHARMACIE;9;99;0;;0;;0;Z;21;0;0;;;0
3305;99;CQS;CONTESTATION QUALITE DE SERVICE PHARMACIE;9;99;0;;0;;0;Z;21;0;0;;;0
3306;99;BMR;BILAN MEDICATION REMUNERATION PHARMACIE;9;99;0;;0;;0;Z;21;0;12;;;0
3307;99;BMC;BILAN MEDICATION CONTESTATION PHARMACIE;9;99;0;;0;;0;Z;21;0;12;;;0
3308;99;TLM;CODE TRACEUR TELECONSULTATION;9;99;0;;1;;1;Z;21;0;12;;;0
3309;99;TAC;CODE TRACEUR ACCOMPAGNEMENT;9;99;0;;0;;1;Z;21;0;12;;;0
3310;99;BMI;BILAN MEDICATION PARTAGE;9;99;0;;0;;0;Z;21;0;12;0;;0
3311;99;PH1;PHARMACIE 100%;9;99;0;;1;;1;Z;21;0;28;;;0
3312;99;PH4/PG4;PHARMACIE PH4;9;99;0;;1;;1;Z;;0;28;;;0
3313;99;PH7/PG7;PHARMACIE 65%;9;99;0;;1;;1;Z;;0;28;;PG7 : fermé le 01/10/2007;0
3314;99;MX1/PH1;HORMONE DE CROISSANCE;9;99;0;;1;;1;Z;;0;5;;MX1 : fermé le 31/03/2003;0
3315;99;MX4/PH7;MEDICAMENTS ANTIRETROVIRAUX;9;99;0;;1;;1;Z;;0;5;;MX4 : fermé le 31/03/2003;0
3316;99;MX7/PH7;MEDICAMENTS D  EXCEPTION;9;99;0;;1;;1;Z;;0;5;;MX7 : fermé le 31/03/2003;0
3317;99;PHH;PHARMACIE HOSPITALIERE A 100%;9;99;0;;0;;1;Z;21;0;5;;;0
3318;99;PHS;PHARMACIE HOSPITALIERE A 65%;9;99;0;;0;;1;Z;21;0;5;;;0
3319;99;PHQ;PHARMACIE HOSPITALIERE;9;99;0;;0;;1;Z;21;0;5;;;0
3320;99;PH8;PHARMACIE HOSPITALIERE EN SUS DU GHS;9;99;0;;0;;0;Z;22;0;0;;;0
3321;99;PHA;FORFAIT PHARMACEUTIQUE EN MATERNITE;9;99;1;21;0;;0;Z;21;0;0;;fermé le 01/01/2021;0
3322;99;UPH;MAJORATION POUR ACHAT HORS HEURES OUVRABLES;9;99;1;21;0;;1;Z;21;0;5;;;0
3323;99;CPH;COPIE D  ORDONNANCE;9;99;1;21;0;;1;Z;21;0;5;;fermé le 30/06/2015;0
3324;99;EMI;ECART MEDICAMENT INDEMNISABLE;9;99;1;21;0;;0;Z;22;0;0;;;0
3325;99;MPI;MAJORATION PHARMACIE DES ILES;9;99;1;21;0;;1;Z;21;0;12;;;0
3326;99;PMR;PREPARATION MAGISTRALE REMBOURSABLE;9;99;0;;1;;1;Z;21;0;5;;;0
3327;99;PMH;PREPARATION MAGISTRALE HOMEOPATHIQUE;9;99;0;;1;;1;Z;21;0;5;;fermé au 31/12/2020;0
3328;99;MHU;MEDICAMENTS  HOMEOPATHIQUES UNITAIRES;9;99;0;;1;;1;Z;21;0;5;;fermé au 31/12/2020;0
3329;99;FMV;FORFAIT MEDICAMENT IVG VILLE;9;99;0;;0;;1;Z;20;0;18;;;0
3330;99;ERI;ECART INDEMNISABLE RETROCESSION;9;99;0;;0;;0;Z;21;0;0;;;0
3331;99;PH7/ANTI GRIPPE;VACCIN ANTI-GRIPPE;9;99;0;;1;;1;Z;;0;5;;;0
3332;99;PH7/ROR;VACCIN ROR;9;99;0;;1;;1;Z;;0;5;;;0
3333;99;PH7/ANTI PALUDEEN;ANTI PALUDEEN;9;99;0;;1;;1;Z;;0;5;;;0
3334;99;GS1;Vaccin anti grippe Hémisphère Sud VAXIGRIP HS;9;99;0;;1;;1;Z;21;0;5;;;0
3335;99;GS2;Vaccin anti grippe Hémisphère Sud FLUARIX HS;9;99;0;;1;;1;Z;21;0;5;;;0
3336;99;PHX;PHARMACIE SOUS ATU SEJOUR;9;99;0;;0;;1;Z;22;0;5;;;0
3337;99;FFC;FORFAIT FAUSSE COUCHE VILLE;9;99;0;;1;;1;Z;20;0;46;;;0
3338;99;FFV;FORFAIT FAUSSE COUCHE VILLE SANS ÉCHOGRAPHIE;9;99;0;;1;;1;Z;20;0;46;;;0
3339;99;FEF;FORFAIT FAUSSE COUCHE ETABLISSEMENT AVEC ECHOGRAPHIE;9;99;0;;0;;1;Z;20;0;46;;;0
3340;99;FFE;FORFAIT FAUSSE COUCHE ETABLISSEMENT SANS ECHOGRAPHIE;9;99;0;;0;;1;Z;20;0;46;;;0
3341;99;PH2;PHARMACIE 15%;9;99;0;;1;;1;Z;21;0;28;;;0
3342;99;PM2;PREPARATION MAGISTRALE ALLOPATHIQUE 15 %;9;99;0;;1;;1;Z;21;0;5;;;0
3343;99;PM4;PREPARATION MAGISTRALE ALLOPATHIQUE;9;99;0;;1;;1;Z;21;0;5;;;0
3344;99;AKI;ACCOMPAGNEMENT ANTIVITAMINE K INITIAL;9;99;0;;0;;0;Z;21;0;12;;;0
3345;99;AKS;ACCOMPAGNEMENT ANTIVITAMINE SUIVANT;9;99;0;;0;;0;Z;21;0;12;;;0
3346;99;AOI;ACCOMPAGNEMENT ANTICOAGULANTS ORAUX INITIAL;9;99;0;;0;;0;Z;21;0;12;;;0
3347;99;AOS;ACCOMPAGNEMENT ANTICOAGULANTS ORAUX DIRECTS SUIVANT;9;99;0;;0;;0;Z;21;0;12;;;0
3348;99;ASI;ACCOMPAGNEMENT ASTHME INITIAL;9;99;0;;0;;0;Z;21;0;12;;;0
3349;99;ASS;ACCOMPAGNEMENT ASTHME SUIVANT;9;99;0;;0;;0;Z;21;0;12;;;0
3350;99;BMT;BILAN MEDICATION AVEC CHANGEMENT DE TRAITEMENT;9;99;0;;0;;0;Z;21;0;12;;;0
3351;99;PHU;MEDICAMENT AVEC UNE AUTORISATION TEMPORAIRE D'UTILISATION;9;99;0;;0;;1;Z;21;0;5;;;0
3352;99;PHM;PREPARATION MAGISTRALE HOSPITALIRE;9;99;0;;0;;1;Z;21;0;5;;;0
3353;99;PHP;PREPARATION HOSPITALIERE;9;99;0;;0;;1;Z;21;0;5;;;0
3354;99;PHI;MEDICAMENT AVEC AUTORISATION D'IMPORTATION;9;99;0;;0;;1;Z;21;0;5;;;0
3355;99;MAR;MARGE FORFAITAIRE (MEDICAMENTS HOSPITALIERS);9;99;0;;0;;1;Z;21;0;12;;;0
3356;99;PHD;PHARMACIE HOSPITALIERE DEROGATOIRE;9;99;0;;0;;1;Z;21;0;5;;;0
3357;99;PHT;PHARMACIE HOSPITALIERE MMH;9;99;0;;0;;1;Z;21;0;5;;;0
3358;99;AC1;ACCOMPAGNEMENT CHIMIOTHERAPIE PATIENTS SOUS TRAITEMENTS ANTICANCEREUX AU LONG COURS POUR L'ANNEE INITIALE;9;99;0;;0;;0;Z;21;0;12;;;0
3359;99;TRD;TROD ANGINE PHARMACIEN;9;99;0;;1;;1;Z;21;0;12;;;0
3360;99;VGP;VACCINATION GRIPPE PHARMACIEN;9;99;0;;1;;1;Z;21;0;12;;;0
3361;99;GPN;GARDE PHARMACIE NUIT;9;99;0;;0;;0;Z;21;0;0;;;0
3362;99;GPF;GARDE PHARMACIE FERIE;9;99;0;;0;;0;Z;21;0;0;;;0
3363;99;GPD;GARDE PHARMACIE DIMANCHE;9;99;0;;0;;0;Z;21;0;0;;;0
3364;99;HDR;HONORAIRE MEDICAMENT REMBOURSABLE;9;99;0;;0;;1;Z;21;0;12;;;0
3365;99;HDA;HONORAIRE DISPENSATION EN LIEN AVEC AGE;9;99;0;;0;;1;Z;21;0;12;;;0
3366;99;HDE;HONORAIRE DE DISPENSATION MEDICAMENTS SPECIFIQUES;9;99;0;;0;;1;Z;21;0;12;;;0
