MPP_COD_PRF;MPP_LIB_PRF;TEC_COL
7213;Tôliers-chaudronniers;0
7214;Charpentiers métalliers et monteurs de charpentes métalliques;0
7215;Gréeurs et épisseurs de câbles;0
7221;Forgerons, estampeurs et conducteurs de presses à forger;0
7222;Outilleurs et assimilés;0
7223;Régleurs et conducteurs de machines-outils;0
7224;Meuleurs, polisseurs et affûteurs;0
7231;Mécaniciens et réparateurs de véhicules à moteur;0
7232;Mécaniciens et réparateurs de moteurs d'avion;0
7233;Mécaniciens et réparateurs de machines agricoles et industrielles;0
7234;Réparateurs de bicyclettes et assimilés;0
7311;Mécaniciens-réparateurs d'instruments de précision;0
7312;Facteurs et accordeurs d'instruments de musique;0
7313;Joailliers et orfèvres;0
7314;Potiers et assimilés (produits céramiques et abrasifs);0
7315;Souffleurs, mouleurs, tailleurs, meuleurs et polisseurs de verre;0
7316;Peintres d'enseignes, peintres-décorateurs et graveurs;0
7317;Métiers de l'artisanat sur bois et sur des matériaux similaires;0
7318;Métiers de l'artisanat sur textile, sur cuir et sur des matériaux similaires;0
7319;Métiers de l'artisanat non classés ailleurs;0
7321;Compositeurs et préparateurs en forme imprimante et assimilés;0
7322;Imprimeurs;0
7323;Relieurs et assimiles;0
7411;Electriciens du bâtiment et assimilés;0
7412;Mécaniciens et ajusteurs d'appareils électriques;0
7413;Monteurs et réparateurs de lignes électriques;0
7421;Mécaniciens et réparateurs d'appareils électroniques;0
7422;Monteurs et réparateurs, technologies de l'information et des communications;0
7511;Bouchers, poissonniers et assimilés;0
7512;Boulangers, pâtissiers et confiseurs;0
7513;Fabricants des produits laitiers;0
7514;Conserveurs de fruits, de légumes et assimilés;0
7515;Dégustateurs et classeurs de denrées alimentaires et de boissons;0
7516;Métiers qualifiés de la préparation du tabac et de la fabrication des produits du tabac;0
7521;Métiers qualifiés du traitement du bois;0
7522;Ebénistes, menuisiers et assimilés;0
7523;Régleurs et conducteurs de machines à bois;0
7531;Tailleurs, couturiers, fourreurs, modistes et chapeliers;0
7532;Métiers qualifiés de la coupe de vêtements et assimilés;0
7533;Couseurs, brodeurs et assimilés;0
7534;Tapissiers et assimilés;0
7535;Tanneurs, peaussiers et mégissiers;0
7536;Cordonniers et assimilés;0
7541;Scaphandriers et plongeurs;0
7542;Boutefeux;0
7543;Classeurs et essayeurs de produits (à l'exception des aliments et des boissons);0
7544;Fumigateurs et préposés au contrôle de la vermine et des mauvaises herbes;0
7549;Métiers qualifiés de l'industrie et de l'artisanat non classés ailleurs;0
8111;Mineurs et conducteurs d'installations de mine;0
8112;Conducteurs d'installations de préparation des minerais et de la roche;0
8113;Foreurs, sondeurs de puits et assimilés;0
8114;Conducteurs de machines à fabriquer du ciment, de la pierre et d'autres produits minéraux;0
8121;Conducteurs d'installations de transformation et de traitement des métaux;0
8122;Conducteurs d'installations de traitement superficiel des métaux;0
8131;Conducteurs d'installations et de machines de traitement chimique;0
8132;Conducteurs de machines pour la fabrication des produits photographiques;0
8141;Conducteurs de machines pour la fabrication des produits en caoutchouc;0
8142;Conducteurs de machines pour la fabrication de produits en matières plastiques;0
8143;Conducteurs de machines de papeterie;0
8151;Conducteurs de machines à préparer les fibres, à filer et à bobiner;0
8152;Conducteurs de métiers mécaniques à tisser et à tricoter;0
8153;Conducteurs de machines à coudre;0
8154;Conducteurs de machines à blanchir, à teindre et à nettoyer les tissus;0
8155;Conducteurs de machines à préparer les fourrures et le cuir;0
8156;Conducteurs de machines pour la fabrication des chaussures et assimilés;0
8157;Conducteurs de machines de blanchisserie;0
8159;Conducteurs de machines pour la fabrication de produits textiles et d'articles en fourrure et en cuir, non classés ailleurs;0
8160;Conducteurs de machines pour la fabrication de denrées alimentaires et de produits connexes;0
8171;Conducteurs d'installations pour la fabrication du papier et de la pâte à papier;0
8172;Conducteurs d'installations pour le travail du bois;0
8181;Conducteurs d'installations de verrerie et de céramique;0
8182;Chauffeurs de machines à vapeur et de chaudières;0
8183;Conducteurs de machines d'emballage, d'embouteillage et d'étiquetage;0
8189;Conducteurs de machines et d'installations fixes non classés ailleurs;0
8211;Monteurs en construction mécanique;0
8212;Monteurs d'appareils électriques et électroniques;0
8219;Monteurs et assembleurs non classés ailleurs;0
8311;Conducteurs de locomotives;0
8312;Serre-freins, aiguilleurs et agents de man½uvre;0
8321;Conducteurs de motocycles;0
8322;Chauffeurs de taxi et conducteurs d'automobiles et de camionnettes;0
8331;Conducteurs d'autobus et de tramways;0
8332;Conducteurs de poids lourds et de camions;0
8341;Conducteurs d'engins mobiles agricoles et forestiers;0
8342;Conducteurs d'engins de terrassement et de matériels similaires;0
8343;Conducteurs de grues, d'engins de levage divers et de matériels similaires;0
8344;Conducteurs de chariots élévateurs;0
8350;Matelots de pont et assimilés;0
9111;Aides de ménage à domicile;0
9112;Agents d'entretien dans les bureaux, les hôtels et autres établissements;0
9121;Laveurs et repasseurs de linge à la main;0
9122;Laveurs de véhicules;0
9123;Laveurs de vitres;0
9129;Autres nettoyeurs;0
9211;Manoeuvres de l'agriculture;0
9212;Manoeuvres de l'élevage;0
9213;Manoeuvres de l'agriculture et de l'élevage;0
9214;Manoeuvres, cultures maraîchères et horticulture;0
9215;Manoeuvres forestiers;0
9216;Manoeuvres pêcheurs et aquaculteurs;0
9311;Manoeuvres des mines et des carrières;0
9312;Manoeuvres de chantier de travaux publics;0
9313;Manoeuvres du bâtiment;0
9321;Emballeurs à la main et autres manoeuvres des industries manufacturières;0
9329;Manoeuvres des industries manufacturières non classés ailleurs;0
9331;Conducteurs de véhicules à bras et à pédales;0
9332;Conducteurs de véhicules et de machines à traction animale;0
9333;Manutentionnaires;0
9334;Garnisseurs de rayons;0
9411;Cuisiniers, restauration rapide;0
9412;Aides de cuisine;0
9510;Travailleurs des petits métiers des rues et assimilés;0
9520;Vendeurs ambulants (à l'exception de l'alimentation);0
9611;Manoeuvres, enlèvement des ordures et matériel recyclable;0
9612;Trieurs de déchets;0
9613;Balayeurs et manoeuvres assimilés;0
9621;Messagers, porteurs de bagages et livreurs de colis;0
9622;Manoeuvres polyvalents;0
9623;Encaisseurs de distributeurs automatiques à prépaiement et releveurs de compteurs;0
9624;Porteurs d'eau et ramasseurs de bois de feu;0
9629;Professions élémentaires non classés ailleurs;0
IIII;Valeur inconnue;1
XXXX;Sans objet;2
