SLM_NUM;SLM_LIB;SLM_RGT;SLM_RGT2;TEC_COL
532;MUTUELLE CIVILE DE LA GUERRE Y COMPRIS MUTUELLE DU MINISTERE DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE (MCDEF);3;1;0
533;MUTUELLE DES RELATIONS EXTERIEURES (MAE);3;1;0
536;MUTUELLE GENERALE DE LA POLICE - SECTION VERSAILLES (M.G.P.);4;1;0
537;MUTUELLE GENERALE DE LA POLICE (M.G.P.);4;1;0
555;SOCIETE MUTUALISTE DU PERSONNEL DE LA POLICE NATIONALE (S.M.P.P.N.);4;1;0
599;MUTUELLE DE LA FONCTION PUBLIQUE,  Mutuelle Generale des Affaires Sociales ( MFP, S.L.I., M.G.A.S.);3;1;0
601;LA MUTUELLE DES ETUDIANTS ( LMDE);6;3;0
602;MUTUELLE COMPLEMENTAIRE DE LA VILLE DE PARIS, DE L ASSISTANCE PUBLIQUE ET DES ADMINISTRATIONS ANNEXES (MCVPAP);9;9;0
603;MUTUELLE DE L E.D.F.(CMCAS);5;2;0
604;MUTUELLE DU MINISTERE DE L INTERIEUR (MMI);4;1;0
605;MUTUELLE DE L E.D.F. .(CMCAS);5;2;0
606;MUTUELLE NATIONALE DES FONCTIONNAIRES DES COLLECTIVITES TERRITORIALES (MNFCT);9;9;0
607;TRANSPORTS EN COMMUN DE LYON (SLTC);9;9;0
608;TRANSPORTS EN COMMUN DE LA COMMUNAUTE URBAINE LILLE, ROUBAIX, TOURCOING (TTC TOURCOING);9;9;0
609;MUTUELLE NATIONALE TERRITORIALE (M.N.T., MUTUELLE DES COLLECTIVITES LOCALES DE BORDEAUX);7;1;0
610;HOSPICES CIVILS DE LYON (HCL);9;9;0
611;SOGIREL - LYON;9;9;0
612;BATIMENTS ET TRAVAUX PUBLICS DE LYON (UPBTP);9;9;0
613;MUTUELLE DES PERSONNELS MUNICIPAUX  (MGAT CHARTRES ET MUTAME NANTES);9;9;0
614;MUTUELLE INTERPROFESSIONNELLE DES CADRES, INGENIEURS DE LA REGION LYONNAISE ET STEPHANOISE (M.I.C I.L.S - U.M.I.G.A.SOGIREL, U.P.E.S.E.);9;9;0
615;MUTUELLE DE L ASSOCIATION LYONNAISE DE PREVOYANCE (MUTUALP);9;9;0
616;MUTUELLE DE MUNICIPAUX DE MARSEILLE;7;1;0
617;SOCIETES D ETUDIANTS  MUTUALISTES (S.M.E.B.A., S.M.E.R.R.A., S.M.E.S.O., S.M.E.N.O., M.E.P., M.G.E.L., S.M.E.R.E.B., S.M.E.C.O., S.M.E.R.E.P. SMERE);6;3;0
618;SOCIETES D ETUDIANTS  MUTUALISTES (S.M.E.B.A., S.M.E.R.R.A., S.M.E.S.O., S.M.E.N.O., M.E.P., M.G.E.L., S.M.E.R.E.B., S.M.E.C.O., S.M.E.R.E.P. SMERE);6;3;0
619;MUTUELLE NATIONALE DES HOSPITALIERS (M.N.H.) Y COMPRIS CERTAINES MUTUELLES DES PERSONNELS MUNICIPAUX;8;1;0
622;MUTUELLE DE FUMEL;9;9;0
623;MUTUELLE DES CADRES DE LILLE;9;9;0
629;541EME MUTUALISTE (LYON);9;9;0
634;MUTUELLE DU PERSONNEL DE LA PREFECTURE DE CRETEIL;4;1;0
637;MCAS TEME;5;2;0
638;CMCAS PARIS NORD;5;2;0
639;CMCAS PARIS EST;5;2;0
640;CMCAS PARIS CENTRE;5;2;0
641;CMCAS PARIS OUEST;5;2;0
645;MUTUELLE DE LA COMPAGNIE GENERALE DES EAUX (LA NEPTUNE);9;9;0
651;MUTUELLE DES PERSONNELS MUNICIPAUX ET HOSPITALIERS DE TOURS, MULHOUSE, POITIERS;8;1;0
652;COVIMUT - POITIERS (TRANSPORTS EN COMMUN);7;1;0
654;MUTUELLE DE LA MAIRIE DE TOULOUSE;9;9;0
656;MUTUELLE DU PERSONNEL MUNICIPAL DE NICE;7;1;0
689;MUTUELLE DE L EST - SECTION DE STRASBOURG;9;9;0
699;BANQUE DE FRANCE;3;1;0
999;INCONNU;9;9;1
