nomenclature,titre,variables_liees,nombre_lignes
AT_NOT_V,TOP notification,Aucune variable liée,4
AT_NOU_V,TOP codification (ancienne ou nouvelle),Aucune variable liée,3
AT_NRQ_V,Nature requérant,Aucune variable liée,4
AT_NSE_V,Nature du cotisant ( section ou autre ),Aucune variable liée,10
AT_NTU_V,code Nature de l accident,Aucune variable liée,9
AT_OCT_V,origine de la contestation,Aucune variable liée,11
AT_ODF_V,origine de la  décision médicale finale,Aucune variable liée,6
AT_OMS_V,code pathologie  ( pour MP OMS  ) codes CIM appli AT (limite à 10 600 lignes),Aucune variable liée,10606
AT_ORC_V,code Origine de Crédit,Aucune variable liée,17
AT_PAC_V,TOP personne accompagnante,Aucune variable liée,4
AT_PAI_V,groupe de Paiement rente AT (périodicité),Aucune variable liée,7
AT_PAT_V,code Profession de la victime en AT ou trajet  ( Version 1),Aucune variable liée,32
AT_PAY_V,Code Pays,Aucune variable liée,290
AT_PIE_V,"Type de pièce , nature des certificats médicaux",Aucune variable liée,161
AT_PMP_V,code Profession de la victime en MP   ( Version 1),Aucune variable liée,394
AT_PTR_V,Poste de travail,Aucune variable liée,6
AT_QUA_V,Qualification professionnelle,Aucune variable liée,9
AT_RCT_V,états du recours contre tiers,Aucune variable liée,5
AT_REC_V,TOP envoi courrier (Lettre simple ou RAR),Aucune variable liée,4
AT_REP_V,Suite repos AS,Aucune variable liée,4
AT_REQ_V,nature requérant,Aucune variable liée,6
AT_RNI_V,Rente Non Imputable,Aucune variable liée,3
AT_RSQ_V,numéro de Risque,Aucune variable liée,1861
AT_RTI_V,code Recours juridique ( Recours contre Tiers ) ( code numérique en CHAR),Aucune variable liée,5
AT_SAN_V,TOP Sanction (O/N),Aucune variable liée,4
AT_SDO_V,Statut du Dossier,Aucune variable liée,8
AT_SGE_V,Siège de la lésion (version 212 SGE) en CHAR(2),Aucune variable liée,37
AT_SIE_V,siège de la lésion  ( version 11 Orphée) en CHAR(10),Aucune variable liée,37
AT_SIR_V,top SIRET,Aucune variable liée,5
AT_SLP_V,Siège Principal des Lésions,Aucune variable liée,11
AT_SLS_V,Siège Secondaire des lésions,Aucune variable liée,43
AT_SPO_V,Statut professionnel,Aucune variable liée,8
AT_STA_V,Statut de l épisode,Aucune variable liée,8
AT_TAN_V,Type d'Anomalie / Signalement / Rejet ( en AT ),Aucune variable liée,4
AT_TAR_V,mode de tarification  ( version 11 Orphée),Aucune variable liée,5
AT_TAT_V,Tranche d Age,Aucune variable liée,11
AT_TDO_V,Qualité de bénéficiaire,Aucune variable liée,7
AT_TEF_V,Tranche d Effectif,Aucune variable liée,13
AT_TEV_V,"Type d  Evènement ( dont Motif de clôture de la rente du bénéficiaire (rachat, décès) )",Aucune variable liée,35
AT_THE_V,orientation thérapeutique accordée.,Aucune variable liée,15
AT_TLI_V,Type de lieu,Aucune variable liée,65
AT_TPR_V,Type de prestation,Aucune variable liée,5
AT_TRA_V,mode de transport,Aucune variable liée,9
AT_TRE_V,Type de Rente,Aucune variable liée,6
AT_TRI_V,Type de rattachement individu,Aucune variable liée,4
AT_TRQ_V,Type de risque,Aucune variable liée,4
AT_TYC_V,Type de Crédit,Aucune variable liée,10
AT_URG_V,Notion d'urgence,Aucune variable liée,4
AT_URS_V,code URSSAF,Aucune variable liée,146
AT_VIL_V,ville de la cure thermale.,Aucune variable liée,106
AT_VLI_V,Validité de la DAT,Aucune variable liée,13
AT_VSE_V,Validité de la Section,Aucune variable liée,8
BEN_CMU_TOP,Titre manquant,Aucune variable liée,3
BEN_RES_REG,Région de résidence du bénéficiaire (OPEN_DAMIR),Aucune variable liée,14
CSARR,Catalogue spécifique des actes de rééducation et réadaptaion (prise en charge SSR),Aucune variable liée,545
DDP_SPE_COD,Discipline de l'établissement exécutant (OPEN_DAMIR),Aucune variable liée,36
DS_ACC_V,Mode d'accouchement,Aucune variable liée,3
DS_ACP_V,Activité professionnelle (actif/inactif/retraité),Aucune variable liée,3
DS_ATT_V,Accident du travail (oui/non/sans précision),Aucune variable liée,3
DS_CAU_V,Recherche de la cause de décès,Aucune variable liée,5
DS_CER_V,Type de certificat de décès (adulte/néonatal),Aucune variable liée,2
DS_DEB_V,Type de début de travail d'accouchement,Aucune variable liée,3
DS_GRS_V,Contribution de la grossesse au décès (oui/non/nsp),Aucune variable liée,3
DS_LIA_V,Lieu d'accouchement,Aucune variable liée,3
DS_LIE_V,Lieu du décès,Aucune variable liée,8
DS_MAR_V,Etat matrimonial,Aucune variable liée,4
DS_NAI_V,Type de naissance,Aucune variable liée,5
DS_PC1_V,Catégorie socio-professionnelle,Aucune variable liée,8
DS_PC2_V,Titre manquant,Aucune variable liée,24
DS_PC3_V,Titre manquant,Aucune variable liée,42
DS_PFS_V,Activité professionnelle du parent,Aucune variable liée,5
DS_PST_V,Type de présentation de l'enfant lors de l'accouchement,Aucune variable liée,4
DS_SIT_V,Situation de la mère (en couple : oui/non),Aucune variable liée,2
DS_STA_V,Statut de traitement du certificat de décès (final/en cours),Aucune variable liée,2
DS_SUP_V,Type de support du certificat de décès (électronique/papier),Aucune variable liée,2
DS_TRF_V,Transfert ou hospitalisation particulière de l'enfant (oui/non),Aucune variable liée,2
DS_VER_V,Version du certicat de décès (1997/2017),Aucune variable liée,2
DS_VOL_V,Volet du certificat de décès (intial/complémentaire),Aucune variable liée,2
DW_DTC_V,Source de détection ( projet GRECOT ),Aucune variable liée,52
DW_PRO_V,Protocole            ( projet GRECOT ),Aucune variable liée,3
DW_RSQ_V,nature de risque     ( projet GRECOT ),Aucune variable liée,3
DW_STA_V,état de statut      ( projet GRECOT ),Aucune variable liée,65
ETE_CAT_SNDS,Catégorie de l'établissement exécutant (OPEN DAMIR),Aucune variable liée,46
ETE_REG_COD,Région d'implantation de l'établissement exécutant (OPEN DAMIR),Aucune variable liée,14
ETE_TYP_SNDS,Type d'établissement (OPEN DAMIR),Aucune variable liée,7
ETP_CAT_SNDS,Catégorie de l'établissement prescripteur (OPEN DAMIR),Aucune variable liée,46
ETP_REG_COD,Région d'implantation de l'établissement prescripteur (OPEN DAMIR),Aucune variable liée,14
EXC_FIN_MTF,Motif de fin d'exercice libéral,EXC_FIN_MTF,10
EXE_INS_REG,Region du professionnel de santé exécutant (OPEN DAMIR),Aucune variable liée,14
FC_BSE_V,FDC Table de conversion des organismes de base,Aucune variable liée,3118
FC_CAI_V,FDC Table de conversion des Caisses  ( table organisme ),Aucune variable liée,155
FC_ORG_V,FDC Table de conversion des organismes fins,Aucune variable liée,63206
FC_TCL_V,FDC Table des Méthodes de Traitement,Aucune variable liée,3
FC_VEX_V,FDC Table d'exclusion des Vues,Aucune variable liée,3741
GA_CEN_V,Centre de numérisation et de vidéocodage,Aucune variable liée,4
GA_EDI_V,Code origine édition,Aucune variable liée,3
GA_GBE_V,Genre du bénéficiaire,Aucune variable liée,10
GA_INJ_V,Numéro de coupon d'injection,Aucune variable liée,3
GA_TNI_V,Top NIR fictif,Aucune variable liée,3
GA_UVA_V,Code usine vaccin,Aucune variable liée,7
IR_ACC_V,Indication accident,Aucune variable liée,4
IR_ACH_V,Type d'acheminement des flux,Aucune variable liée,4
IR_ACO_V,Codes ACOSS,Aucune variable liée,138
IR_ACT_COD,Lettre clé du Code Ngap,Aucune variable liée,434
IR_ACT_V,Nature d'Activité (Non Médecins),"PSE_ACT_NAT, PSP_ACT_NAT",31
IR_AFT_V,Type d'Affinage pour Regroupements TANDEM,Aucune variable liée,4
IR_AGE_V,Age,AGE_BEN_COD,127
IR_ALD_V,Table des codes ALD030,IMB_ALD_NUM,34
IR_AMA_V,Tranche d'âge,BEN_AMA_COD,155
IR_ANC_V,Type de remboursement,CPL_ANO_COD,10
IR_ANN_V,Table des années,Aucune variable liée,155
IR_APS_V,Tranche d'Age PS5,Aucune variable liée,23
IR_ARC_V,Options Archivage,Aucune variable liée,3
IR_ASN_V,Tranche d'Age SNIREP,Aucune variable liée,15
IR_ASS_V,Table ASSONP,Aucune variable liée,6
IR_ASU_V,Nature d'Assurance,"ARO_ASU_NAT, ASU_NAT, RGO_ASU_NAT",12
IR_ATT_V,Nature d'Accident du Travail,ATT_NAT,5
IR_BAC_V,Top bénéficiaire ACS,DRT_ACS_TOP,3
IR_BCM_V,Top bénéficiaire CMU C,Aucune variable liée,4
IR_BEN_V,Contexte bénéficiaire,Aucune variable liée,6
IR_BEQ_V,Qualité de Bénéficiaire,BEN_QLT_COD,6
IR_BER_V,Rang Gémellaire Bénéficiaire,BEN_RNG_GEM,10
IR_BIO_R,Nomenclature des actes médicales de biologie,BIO_ACT_QSN,1125
IR_BRA_V,Branche Comptable,Aucune variable liée,3
IR_BRG_V,Libellés regroupés BEQ,Aucune variable liée,4
IR_BTF_R,Nomenclature des coefficients actes affinés en biologie,Aucune variable liée,2204
IR_BVR_R,Titre manquant,Aucune variable liée,38
IR_C2S_V,Type C2S,Aucune variable liée,4
IR_CAC_V,Catégorie d'Activité PS,Aucune variable liée,10
IR_CAE_DEP_C,Compatibilité Catégorie PS Exécutant / Qualificatif Dépense,Aucune variable liée,107
IR_CAI_V,Caisse - Organisme de base,"ORB_BSE_NUM, ORG_CAI_NUM, ORL_BSE_NUM",2756
IR_CAT_V,Catégorie Professionnel de Santé,"PSE_CAT_COD, PSP_CAT_COD",11
IR_CBI_V,Catégorie de Bénéficiaire (Invalidité et Rentes AT),BEN_IAT_CAT,45
IR_CCAM_V54,Classification commune des actes médicaux (ATIH),Aucune variable liée,8053
IR_CCAM_V63,Classification commune des actes médicaux (CNAM),Aucune variable liée,8161
IR_CCA_V,Codes compléments associés,CPL_AFF_COD,31
IR_CCI_V,Table des catégories de codes CIM,Aucune variable liée,2059
IR_CCP_R,Titre manquant,Aucune variable liée,2043
IR_CE1_V,Regroupement 1 des Catégories d'établissement,Aucune variable liée,48
IR_CE2_V,Regroupement 2 des Catégories d'établissement,Aucune variable liée,11
IR_CE3_V,Regroupement 3 des Catégories d'établissement,Aucune variable liée,3
IR_CEE_V,Table CTI ERSM ELSM,Aucune variable liée,135
IR_CER_V,niveau de certification,Aucune variable liée,7
IR_CET_D,Catégorie d'établissement (Dénormalisée),Aucune variable liée,142
IR_CET_V,Catégorie d'établissement,"ETE_CAT_COD, ETP_CAT_COD",142
IR_CIA_V,Catégorie Affinée de Pension d'Invalidité,Aucune variable liée,41
IR_CII_V,Centre de Traitement Informatique Informationnel (CTII),Aucune variable liée,13
IR_CIM_V,Tables de codes CIM10 ( MAJ à contrôler ),MED_MTF_COD,18334
IR_CIP_V,Table des classes thérapeutiques ATC par code CIP,Aucune variable liée,9635
IR_CIV_V,Catégorie de Pension d'Invalidité,INV_PEN_CAT,8
IR_CLC_V,Code Libellé de Contrôle,DCT_CTL_COD,58
IR_CMD_V,Regroupement GHS,Aucune variable liée,31
IR_CMF_V,Regroupement Postes Comptables CMU / Participation / Forfait,Aucune variable liée,5
IR_CMH_V,Regroupement de Postes Comptables CMU / Hono / Optiq / Soin / Frais,Aucune variable liée,16
IR_CMU_V,Postes Comptables CMU,Aucune variable liée,19
IR_CNV_V,Conventions Médicales,"CNV_CNV_COD, PSE_CNV_COD, PSP_CNV_COD",6
IR_COC_V,Catégorie d'Organisme Complémentaire,BEN_CMU_CAT,10
IR_COP_V,Comptes COPERNIC,Aucune variable liée,1685
IR_CPA_V,Complément d'Acte,"ARO_CPL_COD, CPL_COD",5
IR_CPM_V,Regroupement complément d'acte/majorations,Aucune variable liée,4
IR_CRA_V,Caisse Régionale Assurance Maladie (CRAM) ( table organisme ),Aucune variable liée,22
IR_CSS_V,Code C2S,Aucune variable liée,3
IR_CTA_V,type de contrat complémentaire,Aucune variable liée,100
IR_CTI_V,Centre de Traitement Informatique de Production (CTI),Aucune variable liée,25
IR_CTL_V,Type de contrôle,DCT_CTL_TYP,6
IR_DCT_V,Décès / Transfert,Aucune variable liée,3
IR_DDP_MDT_C,Compatibilité DDP / MDT,Aucune variable liée,1575
IR_DDP_V,Discipline de prestation établissement,DDP_COD,454
IR_DEM_V,Options Démographie,Aucune variable liée,3
IR_DEP_V,Qualificatif Dépense de Prestation,"DPN_QLF, PRS_DPN_QLP",20
IR_DEV_V,Devise,Aucune variable liée,3
IR_DIP_V,Dispositif de Prévention,Aucune variable liée,4
IR_DIS_V,utilisation du distancier,Aucune variable liée,4
IR_DPT_DGP_V,"Département (2 caractères), Région, nouveau département",Aucune variable liée,182
IR_DPT_V,Département ( avec code région ),"BEN_RES_DPT, ETE_DPT_COD, ETP_DPT_COD, EXE_INS_DPT, PRE_INS_DPT",117
IR_DRA_V,Nature de destinataire du règlement affiné,Aucune variable liée,26
IR_DRG_V,Nature de destinataire du règlement,DRG_NAT,11
IR_DSP_V,Droits Spécifiques,BEN_DRT_SPF,4
IR_DTE_V,Période civile journalière,"BEN_DCD_DTD, BEN_DCD_DTE, DCT_ARC_DTE, DCT_ARR_DTE, DCT_MAN_DTD, DCT_REM_DTD, EXE_SOI_AMD, EXE_SOI_AMF, EXE_SOI_DTD, EXE_SOI_DTF, FLX_DIS_DTD, FLX_TRT_DTD, IMB_ALD_DTD, IMB_ALD_DTF, INV_ATR_DTD, MAJ_SYS_DTE, ORG_AFF_DTF, PRE_PRE_AMD, PRE_PRE_DTD, PRS_GRS_DTD, PRS_HOS_AMD, PRS_HOS_DTD, RAT_IPP_DTE, TIP_ACL_DTF, TIP_ACT_PRU",55883
IR_DTR_V,Codes Détail Transport,TRS_PRS_IDE,71
IR_EIN_V,Etat de pension d'invalidité,INV_PEN_ETA,23
IR_EMF_V,Nomenclature des émetteurs fins,Aucune variable liée,147
IR_ENT_V,Mode d'entrée,Aucune variable liée,10
IR_ENV_V,Type d'enveloppe,"ARO_ENV_TYP, CPT_ENV_TYP, RGO_ENV_TYP",11
IR_EPH_R,Titre manquant,Aucune variable liée,939
IR_EPS_V,Code nature d'exercice du PS,EXC_EXC_NAT,14
IR_ERG_V,Libellés regroupés EXO,Aucune variable liée,9
IR_ETM_V,Nature d'exonération du Ticket Modérateur,IMB_ETM_NAT,19
IR_EXO_V,Motif d'exonération du Ticket Modérateur,EXO_MTF,24
IR_EXR_V,"Exercice de Rattachement ( MAJ annuelle à contrôler , à faire dans l'année )",Aucune variable liée,103
IR_FIR_D,Identification des prestations relevant du FIR,Aucune variable liée,43
IR_FJH_V,Type de Prise en Charge Forfait Journalier,"ARO_FJH_TYP, BSE_FJH_TYP, CPL_FJH_TYP, PRS_FJH_TYP",6
IR_FLP_R,Titre manquant,Aucune variable liée,7359
IR_FOR_V,Forçage du taux,"ARO_FTA_COD, CAM_RED_MNT, RGO_FTA_COD",8
IR_GDE_V,Grande Discipline de Prestation,Aucune variable liée,13
IR_GEO_V,Géographie Administrative et Sanitaire,BEN_RES_COM,40589
IR_GES_V,Gestion Comptable,"GES_CPT_COD, GES_GRG_COD",477
IR_GET_V,Médicament générique,Aucune variable liée,7
IR_GHS_SU0_V,Suppléments GHS 2010,Aucune variable liée,2
IR_GHS_SU1_V,Suppléments GHS 2011,Aucune variable liée,2
IR_GHS_SU2_V,Suppléments GHS 2012,Aucune variable liée,2
IR_GHS_SU3_V,Suppléments GHS 2013,Aucune variable liée,2
IR_GHS_SU8_V,Suppléments GHS 2008,Aucune variable liée,2
IR_GHS_SU9_V,Suppléments GHS 2009,Aucune variable liée,2
IR_GHS_TA0_V,Tarifs GHS 2010,Aucune variable liée,2420
IR_GHS_TA1_V,Tarifs GHS 2011,Aucune variable liée,2433
IR_GHS_TA2_V,Tarifs GHS 2012,Aucune variable liée,2542
IR_GHS_TA3_V,Tarifs GHS 2013,Aucune variable liée,2649
IR_GHS_TA8_V,Tarifs GHS 2008,Aucune variable liée,804
IR_GHS_TA9_V,Tarifs GHS 2009,Aucune variable liée,2346
IR_GHS_V,Groupe homogène de séjour  GHS   code GHS_GRP_TYP = S  ( MAJ annuelle ),ETE_GHS_NUM,9607
IR_GHT_V,Groupe homogène de séjour  GHS   code GHS_GRP_TYP = T ( table générée depuis la table IR_GHS_V ),Aucune variable liée,64
IR_GLF_V,Grands Postes LFSS,Aucune variable liée,29
IR_GRG_V,Grand Régime,Aucune variable liée,23
IR_GRP_V,Membre d'un groupe ou d'une association,Aucune variable liée,9
IR_HAD_PEC_PAL,"Motif de prise en charge principal, HAD",Aucune variable liée,27
IR_HAD_V,HAD en médico-social,BEN_EHP_TOP,4
IR_HIS_R,Titre manquant,Aucune variable liée,2175
IR_ICL_V,Indicateur de Contrôle,Aucune variable liée,8
IR_INT_V,Type de version interface tiers,DCT_INT_VER,5
IR_JDC_V,Justification des droits AMC,Aucune variable liée,13
IR_JDO_V,Justification des droits AMO,Aucune variable liée,9
IR_LFS_V,Postes LFSS,Aucune variable liée,67
IR_LHS_V,Loi Hospitalière/Sociale,Aucune variable liée,4
IR_LIE_V,lieu d'exécution ( de l'acte médical ),EXE_LIE_COD,5
IR_LLD_V,Regroupement LFSS / Labo / Dentistes / Med / Para,Aucune variable liée,55
IR_LOH_V,Regroupement de Postes LFSS / ONDAM / Hors ONDAM,Aucune variable liée,3
IR_LPP_V,Liste des Produits et des Prestations,Aucune variable liée,4923
IR_LSM_V,Table des codes ELSM,Aucune variable liée,135
IR_LVE_V,Regroupement LFSS / Soins Ville / Etab / Autre,Aucune variable liée,4
IR_MAJ_V,Type de Majoration,PRS_TYP_MAJ,3
IR_MCN_V,Vraisemblance des Coefficients / Montants / Dénombrements,Aucune variable liée,0
IR_MCO_V,Table MCO médecine/chirurgie/obstétrique,ETE_MCO_DDP,9
IR_MDP_V,Mode de prescription,PHA_MOD_PRN,7
IR_MDT_V,Mode de Traitement,MDT_COD,25
IR_MED_V,Informations Médicales,Aucune variable liée,2109
IR_MEP_V,Mode d'exercice Particulier (Omnipraticiens),PRA_MEP_COD,66
IR_MFT_V,Mode de Fixation de Tarif,MFT_COD,37
IR_MIN_V,type de minoration,Aucune variable liée,6
IR_MIR_D,Table des Comptes Comptables MIRCOSS (Dénormalisée),Aucune variable liée,29507
IR_MIR_V,Comptes Comptables MIRCOSS,Aucune variable liée,29507
IR_MOD_V,Mode de Règlement,DRG_MOD,11
IR_MOI_V,Période Civile Mensuelle,Aucune variable liée,1838
IR_MP2_V,Table des modificateurs parcours de soins sur 2 caractères,Aucune variable liée,37
IR_MPA_V,Participation de l'assuré HPDS,Aucune variable liée,3
IR_MPS_V,Table des modificateurs (parcours de soin),Aucune variable liée,33
IR_MSB_V,Motif de substitution du médicament,Aucune variable liée,6
IR_MTF_V,motif de fin de contrat avec le médecin traitant,Aucune variable liée,3
IR_MTM_V,Modulation du Ticket Modérateur,MTM_NAT,7
IR_MTO_V,indicateur tarification METEORe dans le cadre du projet Météor,Aucune variable liée,3
IR_MTR_V,Motif du Transport,TRS_TRS_MTF,36
IR_NAL_V,Nombre d'ALD dont les patients sont victimes,Aucune variable liée,5
IR_NAT_ACE_C,Compatibilite Nature de Prestation /  Nature d'Activite Executant,Aucune variable liée,2249
IR_NAT_ACP_C,Compatibilite Nature de Prestation _  Nature d'Activite Prescripteur,Aucune variable liée,920
IR_NAT_ASU_C,Compatibilite Nature de Prestation _ Nature d'Assurance,Aucune variable liée,3613
IR_NAT_BEQ_C,Compatibilite Nature de Prestation _ Qualite de Beneficiaire,Aucune variable liée,4950
IR_NAT_CAE_C,Compatibilite Nature de Prestation _ Categorie PS Executant,Aucune variable liée,2199
IR_NAT_CAP_C,Compatibilite Nature de Prestation _ Categorie PS Prescripteur,Aucune variable liée,1125
IR_NAT_COE_C,Compatibilite Nature de Prestation _ Coefficient Maxi,Aucune variable liée,602
IR_NAT_CPA_C,Compatibilite Nature de Prestation _ Complement d'Acte,Aucune variable liée,1661
IR_NAT_DDP_C,Compatibilité Nature de Prestation _ DDP,Aucune variable liée,980
IR_NAT_DEP_C,Compatibilite Nature de Prestation _ Qualificatif Depense,Aucune variable liée,3587
IR_NAT_DTR_C,Compatibilité Nature de Prestation _ Code Affiné Transport,Aucune variable liée,215
IR_NAT_FRF_C,Compatibilité Nature de Prestation _ Forfait transport _ Forfait Kilométrique,Aucune variable liée,162
IR_NAT_MDT_C,Compatibilité Nature de Prestation _ Mode de Traitement,Aucune variable liée,379
IR_NAT_PPU_C,Compatibilite Nature de Prestation _ Code Prive Public,Aucune variable liée,2630
IR_NAT_QTE_C,Compatibilite Nature de Prestation _ Quantite Maxi,Aucune variable liée,915
IR_NAT_SAN_C,Compatibilité Nature de Prestation _ Centre de Santé,Aucune variable liée,945
IR_NAT_SPE_C,Compatibilite Nature de Prestation _ Specialite PS Executant,Aucune variable liée,15351
IR_NAT_SPP_C,Compatibilite Nature de Prestation _ Specialite PS Prescripteur,Aucune variable liée,16917
IR_NAT_TAU_C,Compatibilite Nature de Prestation _ Taux de Prise en charge,Aucune variable liée,730
IR_NAT_TYF_C,Compatibilité Nature de Prestation _ Type de forfait,Aucune variable liée,48
IR_NAT_V,Nature Prestation,"ARO_PRS_NAT, BSE_PRS_NAT, CPL_PRS_NAT, PRS_NAT, PRS_NAT_REF",1509
IR_NAT_W,Table de travail / NE PAS MODIFIER,Aucune variable liée,0
IR_NDT_V,Nature de la dette,Aucune variable liée,134
IR_NEM_T,Numéros d'émetteurs restitution,FLX_EMT_NUM,36
IR_NEM_V,Numéros d'émetteurs,FLX_EMT_NUM,150
IR_NEX_V,Nature d'Exercice d'un PS,Aucune variable liée,4
IR_NFS_V,Nature fin de séjour,ETE_NAT_FSJ,10
IR_NGC_V,Numéro de gestion Comptable,Aucune variable liée,513
IR_NIR_V,Codes indicateurs NIR,BEN_CDI_NIR,57
IR_NMD_V,Nomenclature Médicale,MED_NCL_IDT,4
IR_NPS_V,Notion de parcours de soin,Aucune variable liée,4
IR_OBS_V,Code Observation,Aucune variable liée,7
