table,var,format,description,nomenclature,creation,suppression,dates_manquantes
BE_IDE_R,IDE_GES_DTE,date (10),Date d'effet du rattachement,-,,,
BE_IDE_R,IDE_SRT_NUM,string (14),Numéro SIRET,-,,,
BE_IDE_R,IDE_ETA_DTE,date (10),Date d'effet du Code Activité de l'Etablissement,-,,,
BE_IDE_R,IDE_ATI_COD,string (1),Code Activité de l'Etablissement,-,,,
BE_IDE_R,IDE_PSP_NAT,string (1),Code PSPH de l'Etablissement,-,,,
BE_IDE_R,IDE_PSP_DTE,date (10),Date d'effet du PSPH de l'Etablissement,-,,,
BE_IDE_R,IDE_BGL_PEX,string (4),Premier exercice de fonctionnement Bugdet Global de l'Etablissement,-,,,
BE_IDE_R,IDE_ETA_TYP,string (1),Code type de l'Etablissement,-,,,
BE_IDE_R,IDE_COD_A24,string (3),Code annexe 24 principal,-,,,
BE_IDE_R,IDE_SAN_PUB,string (1),Code structure secteur sanitaire public,-,,,
BE_IDE_R,IDE_IDE_EAM,integer (10),Code AM de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_DAM,date (10),Date de Début de l'AM de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_FAM,date (10),Date de Fin de l'AM de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_EAS,integer (10),Code AS de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_DAS,date (10),Date de Début de l'AS de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_FAS,date (10),Date de Fin de l'AS de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_CON,integer (10),Code contrat de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_DON,date (10),Date de Début du contrat de l'Etablissement,-,,,
BE_IDE_R,IDE_IDE_FON,date (10),Date de Fin du contrat de l'Etablissement,-,,,
BE_IDE_R,IDE_NUM_ANC,string (9),No Finess ancien,-,,,
BE_IDE_R,IDE_ANC_DTE,date (10),Date Finess ancien,-,,,
BE_IDE_R,IDE_IDE_CTR,number (1),Code convention tripartite,-,,,
BE_IDE_R,IDE_IDE_DTR,date (10),Date début convention tripartite,-,,,
BE_IDE_R,IDE_IDE_FTR,date (10),Date fin convention tripartite,-,,,
BE_IDE_R,IDE_A24_24,string (3),Code annexe 24,-,,,
BE_IDE_R,IDE_A24_24B,string (3),Code annexe 24B,-,,,
BE_IDE_R,IDE_A24_24C,string (3),Code annexe 24C,-,,,
BE_IDE_R,IDE_A24_24Q,string (3),Code annexe 24Q,-,,,
BE_IDE_R,IDE_A24_24S,string (3),Sans annexe 24,-,,,
BE_IDE_R,IDE_A24_24T,string (3),Code annexe 24T,-,,,
BE_IDE_R,IDE_NUM_PCP,string (9),Code établissement principal,-,,,
BE_IDE_R,IDE_CBU_CTR,number (1),Code contrat médicaments,-,,,
BE_IDE_R,IDE_CBU_EFF,date (10),Date effet contrat médicaments,-,,,
BE_IDE_R,IDE_CBU_TAU,string (3),Taux contrat médicaments,-,,,
BE_IDE_R,IDE_CBU_DTF,date (10),Date fin contrat médicaments,-,,,
BE_IDE_R,IDE_FIN_IND,string (1),Indice Financement,-,,,
BE_IDE_R,IDE_CAI_PIV,string (5),Caisse Pivot,-,,,
BE_IDE_R,IDE_NAT_ORI,string (4),Code Nature de l'Origine de l'Etablissement (CPAM ou CRAM),-,,,
BE_IDE_R,IDE_MCO_COE,number (5),Coefficient MCO,-,,,
BE_IDE_R,IDE_COE_HAD,number (5),Coefficient HAD,-,,,
BE_IDE_R,IDE_MCO_DTE,date (10),Date D'effet du Coefficient MCO,-,,,
BE_IDE_R,IDE_HAD_DTE,date (10),Date D'effet du Coefficient HAD,-,,,
BE_IDE_R,IDE_IMP_DPT,string (3),Département Implantation de l'Etablissement,-,,,
CT_DEP_AAAA_GN,AGE,number (8),Age du bénéficiaire,-,2012,,
CT_DEP_AAAA_GN,ASS_AAH_TOP,number (3),Bénéficiaire de l'allocation adulte handicapé,-,2012,,
CT_DEP_AAAA_GN,BEN_ACS_TOP,number (3),Bénéficiaire de l'aide à la complémentaire santé,-,2012,,
CT_DEP_AAAA_GN,BEN_ALD_TOP,number (3),Bénéficiaire d'une exonération du ticket modérateur au titre d'une affection de longue durée,-,2012,,
CT_DEP_AAAA_GN,BEN_DCD_AME,string (6),Année et mois de décès du bénéficiaire,-,2012,2015,
CT_DEP_AAAA_GN,BEN_DCD_DTE,number (8),Date de décès du bénéficiaire,-,2012,,
CT_DEP_AAAA_GN,BEN_NAI_ANN,string (4),Année de naissance du bénéficiaire,-,2012,,
CT_DEP_AAAA_GN,BEN_SEX_COD,number (3),Sexe du bénéficiaire,-,2012,,
CT_DEP_AAAA_GN,C2S,number (3),Bénéficiaire de la complémentaire santé solidaire,-,2019,,
CT_DEP_AAAA_GN,CLA_AGE_5,string (5),Classes d'âge du bénéficiaire (quinquennales),-,2012,,
CT_DEP_AAAA_GN,CLA_AGE_CT,string (5),Classes d'âge du bénéficiaire (cartographie),-,2012,,
CT_DEP_AAAA_GN,CMU,number (3),Bénéficiaire de la Couverture Maladie Universelle complémentaire,-,2012,,
CT_DEP_AAAA_GN,DCD_3112,number (8),Bénéficiaire décédé au 31 décembre de l'année N,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_ACE_BSE,number (8),Actes et consultations externes MCO secteur public remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_ACE_MNT,number (8),Actes et consultations externes MCO secteur public remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_HAD_BSE,number (8),Hospitalisations en HAD secteur public remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_HAD_MNT,number (8),Hospitalisations en HAD secteur public remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_MCOSEJOUR_BSE,number (8),Hospitalisations séjour MCO secteur public remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_MCOSEJOUR_MNT,number (8),Hospitalisations séjour MCO secteur public remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_MCOSUS_BSE,number (8),Hospitalisations liste en sus MCO secteur public remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_MCOSUS_MNT,number (8),Hospitalisations liste en sus MCO secteur public remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_PSY_BSE,number (8),Hospitalisations en psychiatrie secteur public remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_PSY_MNT,number (8),Hospitalisations en psychiatrie secteur public remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_SSR_BSE,number (8),Hospitalisations en SSR secteur public remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_DGF_SSR_MNT,number (8),Hospitalisations en SSR secteur public remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_IJMALATMP_BSE,number (8),Indemnités journalières maladie et AT/MP remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_IJMALATMP_MNT,number (8),Indemnités journalières maladie et AT/MP remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_IJMATER_BSE,number (8),Indemnités journalières maternité et autres prestations remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_IJMATER_MNT,number (8),Indemnités journalières maternité et autres prestations remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_INVALID_BSE,number (8),Prestations d'invalidité remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_INVALID_MNT,number (8),Prestations d'invalidité remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_HAD_BSE,number (8),Hospitalisations en HAD secteur privé remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_HAD_MNT,number (8),Hospitalisations en HAD secteur privé remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_MCOSEJOUR_BSE,number (8),Hospitalisations séjour MCO secteur privé remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_MCOSEJOUR_MNT,number (8),Hospitalisations séjour MCO secteur privé remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_MCOSUS_BSE,number (8),Hospitalisations liste en sus MCO secteur privé remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_MCOSUS_MNT,number (8),Hospitalisations liste en sus MCO secteur privé remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_PSY_BSE,number (8),Hospitalisations en psychiatrie secteur privé remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_PSY_MNT,number (8),Hospitalisations en psychiatrie secteur privé remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_SSR_BSE,number (8),Hospitalisations en SSR secteur privé remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_OQN_SSR_MNT,number (8),Hospitalisations en SSR secteur privé remboursées,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_AUTRES_BSE,number (8),Autres dépenses de soins de ville remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_AUTRES_MNT,number (8),Autres dépenses de soins de ville remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_AUTRESAUXIL_BSE,number (8),Soins d'autres paramédicaux remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_AUTRESAUXIL_MNT,number (8),Soins d'autres paramédicaux remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_BIO_BSE,number (8),Biologie remboursable,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_BIO_MNT,number (8),Biologie remboursée,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_HONODENT_BSE,number (8),Soins dentaires remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_HONODENT_MNT,number (8),Soins dentaires remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_HONOGEN_BSE,number (8),Soins de généralistes remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_HONOGEN_MNT,number (8),Soins de généralistes remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_HONOSPE_BSE,number (8),Soins autres spécialistes remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_HONOSPE_MNT,number (8),Soins autres spécialistes remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_INFIRMIER_BSE,number (8),Soins infirmiers remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_INFIRMIER_MNT,number (8),Soins infirmiers remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_KINE_BSE,number (8),Soins de kinésithérapie remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_KINE_MNT,number (8),Soins de kinésithérapie remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_LPP_BSE,number (8),Autres produits de santé remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_LPP_MNT,number (8),Autres produits de santé remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_PHARMACIE_BSE,number (8),Médicaments remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_PHARMACIE_MNT,number (8),Médicaments remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_SAGEFEMME_BSE,number (8),Soins de sages-femmes remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_SAGEFEMME_MNT,number (8),Soins de sages-femmes remboursés,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_TRANSPORT_BSE,number (8),Transports remboursables,-,2012,,
CT_DEP_AAAA_GN,DEP_SDV_TRANSPORT_MNT,number (8),Transports remboursés,-,2012,,
CT_DEP_AAAA_GN,DPT,string (3),Département de résidence du bénéficiaire,-,2012,,
CT_DEP_AAAA_GN,ID_CARTO,string (18),Identifiant bénéficiaire cartographie,-,2012,,
CT_DEP_AAAA_GN,NEW_COD_REG,string (2),Région de résidence du bénéficiaire (nouveau codage),-,2012,,
CT_DEP_AAAA_GN,OLD_COD_REG,string (2),Région de résidence du bénéficiaire (ancien codage),-,2012,,
CT_DEP_AAAA_GN,PETIT_REGIME,string (6),Petit régime MSA au 31 décembre de l'année N,-,2015,,
CT_DEP_AAAA_GN,PETIT_RGM_AUT_RGM,number (3),Au moins une consommation au titre dans un autre petit régime (MSA) dans l'année,-,2015,,
CT_DEP_AAAA_GN,PETIT_RGM_EXP_AGR,number (3),Au moins une consommation en tant qu'exploitant agricole (MSA) dans l'année,-,2015,,
CT_DEP_AAAA_GN,PETIT_RGM_SAL_AGR,number (3),Au moins une consommation en tant que salarié agricole (MSA) dans l'année,-,2015,,
CT_DEP_AAAA_GN,QUINT_DEFA,number (3),Quintile de défavorisation de 2015,-,2012,,
CT_DEP_AAAA_GN,REGIME,string (6),Régime du bénéficiaire au 31 décembre de l'année N,-,2012,,
CT_DEP_AAAA_GN,RGM_BDF,number (3),Au moins une consommation au régime de la Banque de France dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_BORDEAUX,number (3),Au moins une consommation au régime du Port autonome de Bordeaux dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_CCI,number (3),Au moins une consommation au régime des Chambres de commerce et d'industrie dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_CULTES,number (3),Au moins une consommation au régime des cultes dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_INCONNU,number (3),Au moins une consommation dans un régime inconnu dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_MARINS,number (3),Au moins une consommation au régime des marins dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_MILITAIRES,number (3),Au moins une consommation au régime des militaires dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_MINES,number (3),Au moins une consommation au régime des mines dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_MSA,number (3),Au moins une consommation à la MSA dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_NOTAIRES,number (3),Au moins une consommation au régime des notaires dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_RATP,number (3),Au moins une consommation au régime de la RATP dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_RG,number (3),Au moins une consommation au RG dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_RG_SLM,number (3),Au moins une consommation PMSI RG ou SLM (indéterminé) dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_RG_SLM_2,number (3),Au moins une consommation RG ou SLM dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_RSA,number (3),Au moins une consommation au RSI dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_SLM,number (3),Au moins une consommation dans une SLM dans l'année,-,2015,,
CT_DEP_AAAA_GN,RGM_SNCF,number (3),Au moins une consommation au régime de la SNCF dans l'année,-,2015,,
CT_DEP_AAAA_GN,SOURCE,string (3),Source de provenance du bénéficiaire,-,2012,2015,
CT_DEP_AAAA_GN,TOP_IND,number (3),Travailleur indépendant,-,2019,,
CT_DEP_AAAA_GN,TOP_MT,number (3),Médecin traitant au 31 décembre de l'année N,-,2015,,
CT_DEP_AAAA_GN,TOT_DEP_BSE,number (8),Total des dépenses remboursables,-,2012,,
CT_DEP_AAAA_GN,TOT_DEP_HOP_BSE,number (8),Total hospitalisations (tous secteurs) remboursables,-,2012,,
CT_DEP_AAAA_GN,TOT_DEP_HOP_MNT,number (8),Total hospitalisations (tous secteurs) remboursées,-,2012,,
CT_DEP_AAAA_GN,TOT_DEP_MNT,number (8),Total des dépenses remboursées,-,2012,,
CT_DEP_AAAA_GN,TOT_DEP_PRESESPECE_BSE,number (8),Total prestations en espèces remboursables,-,2012,,
CT_DEP_AAAA_GN,TOT_DEP_PRESESPECE_MNT,number (8),Total prestations en espèces remboursées,-,2012,,
CT_DEP_AAAA_GN,TOT_DEP_SDV_BSE,number (8),Total soins de ville remboursables,-,2012,,
CT_DEP_AAAA_GN,TOT_DEP_SDV_MNT,number (8),Total soins de ville remboursés,-,2012,,
CT_DEP_AAAA_GN,VERSION,string (2),Version,-,2015,,
CT_IDE_AAAA_GN,BEN_NIR_PSA,string (17),Identifiant anonyme du patient dans le SNIIRAM,-,2012,,
CT_IDE_AAAA_GN,BEN_RNG_GEM,number (8),rang de naissance du bénéficiaire,-,2012,,
CT_IDE_AAAA_GN,ID_CARTO,string (18),Identifiant bénéficiaire cartographie,-,2012,,
CT_IDE_AAAA_GN,VERSION,string (2),Version,-,2015,,
CT_IND_AAAA_GN,AGE,number (8),Age du bénéficiaire,-,2012,,
CT_IND_AAAA_GN,ASS_AAH_TOP,number (3),Bénéficiaire de l'allocation adulte handicapé,-,2012,,
CT_IND_AAAA_GN,BEN_ACS_TOP,number (3),Bénéficiaire de l'aide à la complémentaire santé,-,2012,,
CT_IND_AAAA_GN,BEN_ALD_TOP,number (3),Bénéficiaire d'une exonération du ticket modérateur au titre d'une affection de longue durée,-,2012,,
CT_IND_AAAA_GN,BEN_DCD_AME,string (6),Année et mois de décès du bénéficiaire,-,2012,2015,
CT_IND_AAAA_GN,BEN_DCD_DTE,number (8),Date de décès du bénéficiaire,-,2012,,
CT_IND_AAAA_GN,BEN_NAI_ANN,string (4),Année de naissance du bénéficiaire,-,2012,,
CT_IND_AAAA_GN,BEN_SEX_COD,number (3),Sexe du bénéficiaire,-,2012,,
CT_IND_AAAA_GN,C2S,number (3),Bénéficiaire de la complémentaire santé solidaire,-,2015,,
CT_IND_AAAA_GN,CLA_AGE_5,string (5),Classes d'âge du bénéficiaire (quinquennales),-,2012,,
CT_IND_AAAA_GN,CLA_AGE_CT,string (5),Classes d'âge du bénéficiaire (cartographie),-,2012,,
CT_IND_AAAA_GN,CMU,number (3),Bénéficiaire de la Couverture Maladie Universelle complémentaire,-,2012,,
CT_IND_AAAA_GN,DCD_3112,number (8),Bénéficiaire décédé au 31 décembre de l'année N,-,2012,,
CT_IND_AAAA_GN,DPT,string (3),Département de résidence du bénéficiaire,-,2012,,
CT_IND_AAAA_GN,ID_CARTO,string (18),Identifiant bénéficiaire cartographie,-,2012,,
CT_IND_AAAA_GN,NEW_COD_REG,string (2),Région de résidence du bénéficiaire (nouveau codage),-,2012,,
CT_IND_AAAA_GN,OLD_COD_REG,string (2),Région de résidence du bénéficiaire (ancien codage),-,2012,,
CT_IND_AAAA_GN,PETIT_REGIME,string (6),Petit régime MSA au 31 décembre de l'année N,-,2015,,
CT_IND_AAAA_GN,PETIT_RGM_AUT_AGR,number (3),Au moins une consommation au titre dans un autre petit régime (MSA) dans l'année,-,2015,,
CT_IND_AAAA_GN,PETIT_RGM_EXP_AGR,number (3),Au moins une consommation en tant qu'exploitant agricole (MSA) dans l'année,-,2015,,
CT_IND_AAAA_GN,PETIT_RGM_SAL_AGR,number (3),Au moins une consommation en tant que salarié agricole (MSA) dans l'année,-,2015,,
CT_IND_AAAA_GN,QUINT_DEFA,number (3),Quintile de défavorisation de 2015,-,2012,,
CT_IND_AAAA_GN,REGIME,string (6),Régime du bénéficiaire au 31 décembre de l'année N,-,2012,,
CT_IND_AAAA_GN,RGM_BDF,number (3),Au moins une consommation au régime de la Banque de France dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_BORDEAUX,number (3),Au moins une consommation au régime du Port autonome de Bordeaux dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_CCI,number (3),Au moins une consommation au régime des Chambres de commerce et d'industrie dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_CULTES,number (3),Au moins une consommation au régime des cultes dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_INCONNU,number (3),Au moins une consommation dans un régime inconnu dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_MARINS,number (3),Au moins une consommation au régime des marins dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_MILITAIRES,number (3),Au moins une consommation au régime des militaires dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_MINES,number (3),Au moins une consommation au régime des mines dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_MSA,number (3),Au moins une consommation à la MSA dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_NOTAIRES,number (3),Au moins une consommation au régime des notaires dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_RATP,number (3),Au moins une consommation au régime de la RATP dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_RG,number (3),Au moins une consommation au RG dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_RG_SLM,number (3),Au moins une consommation PMSI RG ou SLM (indéterminé) dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_RG_SLM_2,number (3),Au moins une consommation RG ou SLM dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_RSI,number (3),Au moins une consommation au RSI dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_SLM,number (3),Au moins une consommation dans une SLM dans l'année,-,2015,,
CT_IND_AAAA_GN,RGM_SNCF,number (3),Au moins une consommation au régime de la SNCF dans l'année,-,2015,,
CT_IND_AAAA_GN,SOURCE,string (3),Source de provenance du bénéficiaire,-,2012,2015,
CT_IND_AAAA_GN,SUP_ABPCOIR_IND_NNEXCLU,number (3),Maladies respiratoires chroniques (avec ou sans mucoviscidose),-,2012,,
CT_IND_AAAA_GN,SUP_ACORTI_MED,number (3),"Traitement corticoide (hors pathologies, traitements, maternité ou hospitalisations)",-,2012,,
CT_IND_AAAA_GN,SUP_ACORTI_MED_NNEXCLU,number (3),"Traitement corticoide (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-,2012,,
CT_IND_AAAA_GN,SUP_AINS_MED,number (3),"Traitement AINS (hors pathologies, traitements, maternité ou hospitalisations)",-,2012,,
CT_IND_AAAA_GN,SUP_AINS_MED_NNEXCLU,number (3),"Traitement AINS (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_0_IND,number (3),Autres affections de longue durée non retrouvées ou non ventilées,-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_10_IND,number (3),"Autres affections de longue durée pour hémoglobinopathies, hémolyses chroniques constitutionnelles et acquises sévères",-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_19_IND,number (3),Autres affections de longue durée pour néphropathie chronique grave et syndrome néphrotique primitif (hors IRCT),-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_2_IND,number (3),Autres affections de longue durée pour insuffisances médullaires et autres cytopénies chroniques,-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_23_IND,number (3),Autres affections de longue durée pour affections psychiatriques (anomalies chromosomiques),-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_26_IND,number (3),Autres affections de longue durée pour scoliose structurale évolutive,-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_29_IND,number (3),"Autres affections de longue durée pour tuberculose active, lèpre",-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_30_IND,number (3),Autres affections de longue durée pour tumeurs à évolution imprévisible ou inconnue,-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_31_IND,number (3),Autres affections de longue durée hors liste (31),-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_32_IND,number (3),Autres affections de longue durée pour polypathologie (32),-,2012,,
CT_IND_AAAA_GN,SUP_ALDAUTR_4_IND,number (3),Autres affections de longue durée pour bilharziose compliquée,-,2012,,
CT_IND_AAAA_GN,SUP_ANTALG_MED,number (3),"Traitement antalgique (hors pathologies, traitements, maternité ou hospitalisations)",-,2012,,
CT_IND_AAAA_GN,SUP_ANTALG_MED_NNEXCLU,number (3),"Traitement antalgique (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-,2012,,
CT_IND_AAAA_GN,SUP_ARTHROS_MED,number (3),"Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)",-,2012,,
CT_IND_AAAA_GN,SUP_ARTHROS_MED_NNEXCLU,number (3),"Traitement antalgique ou anti-inflammatoire (avec ou sans pathologies, traitements, maternité ou hospitalisations)",-,2012,,
CT_IND_AAAA_GN,SUP_CAN_CAT,number (3),Cancers,-,2012,,
CT_IND_AAAA_GN,SUP_CANACT_CAT,number (3),Cancers actifs,-,2012,,
CT_IND_AAAA_GN,SUP_CANAUTR_CAT,number (3),Autres cancers,-,2012,,
CT_IND_AAAA_GN,SUP_CANCOLO_CAT,number (3),Cancer colorectal,-,2012,,
CT_IND_AAAA_GN,SUP_CANPOUM_CAT,number (3),Cancer du poumon,-,2012,,
CT_IND_AAAA_GN,SUP_CANPROS_CAT,number (3),Cancer de la prostate,-,2012,,
CT_IND_AAAA_GN,SUP_CANSEIF_CAT,number (3),Cancer du sein de la femme,-,2012,,
CT_IND_AAAA_GN,SUP_CANSUR_CAT,number (3),Cancers sous surveillance,-,2012,,
CT_IND_AAAA_GN,SUP_CV_CAT,number (3),Maladies cardioneurovasculaires,-,2012,,
CT_IND_AAAA_GN,SUP_CVAIG_CAT,number (3),Maladies cardioneurovasculaires aigues,-,2012,,
CT_IND_AAAA_GN,SUP_CVAVC_CAT,number (3),Accident vasculaire cérébral,-,2012,,
CT_IND_AAAA_GN,SUP_CVCHR_CAT,number (3),Maladies cardioneurovasculaires chroniques,-,2012,,
