Produit,Table,Libelle,creation,suppression,dates_manquantes
DCIRS,NS_TRS_F,Table simplifiée des données détaillées de transport,2016,,
DCIRS,NS_UCD_F,Table simplifiée des données de codage des Unités Communes de Dispensation,2016,,
EGB,EB_ARO_F,Table des données de remboursements complémentaires,,2022,
EGB,EB_BIO_F,Table des données de codage de biologie,,2022,
EGB,EB_CAM_F,Table des données de codage de la Classification Commune des Actes Médicaux,,2022,
EGB,EB_DCT_F,Table des données de décompte,,2022,
EGB,EB_ETE_F,Table des données des établissements,,2022,
EGB,EB_HMV_F,table des mouvements des bénéficiaires de l'EGB,,2022,
EGB,EB_IMB_R,Table des données médicalisées des bénéficiaires de l'EGB,,2022,
EGB,EB_INB_F,référentiel des bénéficiaires de l'EGB,,2022,
EGB,EB_INV_F,Table des données de codage des invalidités,,2022,
EGB,EB_PHA_F,Table des données de codage de pharmacie,,2022,
EGB,EB_PRS_F,Table des prestations,,2022,
EGB,EB_RAT_F,Table des données des rentes d'accident du travail,,2022,
EGB,EB_TIP_F,Table des données de codage de la Liste des Produits et Prestations,,2022,
EGB,EB_TRS_F,Table des données détaillées de transport,,2022,
EGB,EB_UCD_F,Table des données de codage des Unités Communes de Dispensation,,2022,
OPEN_DATA,MA_REM_FT,,,,2022
OPEN_DATA,OPEN_BIO,OPEN BIO (base complète sur les dépenses de biologie médicale interrégimes),2014,,
OPEN_DATA,OPEN_DAMIR,OPEN DAMIR (base complète sur les dépenses d'assurance maladie Inter-Régimes),2009,,
OPEN_DATA,OPEN_LPP,OPEN LPP (base complète sur les dépenses de dispositifs médicaux inscrits à la liste des produits et prestations (LPP)),2014,,
OPEN_DATA,OPEN_MEDIC,OPEN MEDIC (base complète sur les dépenses de médicaments),2014,,
PMSI HAD,T_HADaaA,Table des actes,2010,,
PMSI HAD,T_HADaaB,Table des Résumés Anonyme Par Sous-Séquence (RAPSS),2005,,
PMSI HAD,T_HADaaC,Table des NIR foinisé deux fois et date entrèe/sortie complètes,2007,,
PMSI HAD,T_HADaaD,Table des diagnostics associés,2010,,
PMSI HAD,T_HADaaDMPA,Table des diagnostics liés au MPA (mode de prise en charge associé),2012,,
PMSI HAD,T_HADaaDMPP,Table des diagnostics liés au MPP (mode de prise en charge principal),2012,,
PMSI HAD,T_HADaaE,Table des Etablissements,2005,,
PMSI HAD,T_HADaaEHPA,Table des conventions HAD-EHPA,2010,,
PMSI HAD,T_HADaaFA,TableFA : Table des RSFA début de facture des établissements ex-OQN,2014,,
PMSI HAD,T_HADaaFB,Table FB : Table des RSFA facture des établissements ex-OQN,2010,,
PMSI HAD,T_HADaaFC,Table FC : Table des RSFA des honoraires des établissements ex-OQN,2010,,
PMSI HAD,T_HADaaFH,Table FH : Table des RSFA des Médicaments en sus des établissements ex-OQN,2010,,
PMSI HAD,T_HADaaFI,Table FI : Table des RSFA interruption de séjour des établissements ex-OQN,2014,,
PMSI HAD,T_HADaaFL,Table FL : Table des actes de biologie (issus de la NABM) des établissements ex-OQN,2012,,
PMSI HAD,T_HADaaFM,Table FM : Table des RSFA des actes CCAM des établissements ex-OQN,2010,,
PMSI HAD,T_HADaaFP,Table FP : Table des RSFA des LPP/DMI en sus des établissements ex-OQN,2014,,
PMSI HAD,T_HADaaGJ,Table de passage de Finess,2006,,
PMSI HAD,T_HADaaGRE,Table des GHT (groupage établissement),2007,,
PMSI HAD,T_HADaaGRP,Table des GHT et des GHPC (groupage paprica),2007,,
PMSI HAD,T_HADaaLEG,Fichier donnant toutes les erreurs détectées par la fonction groupage (LEG),2014,,
PMSI HAD,T_HADaaMED,Table Molécules onéreuses (fichier COMP),2009,,
PMSI HAD,T_HADaaMEDATU,Fich comp médicament soumis à autorisation temporaire d'utilisation,2012,,
PMSI HAD,T_HADaaMEDCHL,Fich comp Médicament coûteux hors liste en sus et hors ATU,2016,,
PMSI HAD,T_HADaaMON,Fichier de déclaration agrégée d'activité (FICHSUP) sur les Molécules onéreuses,2008,,
PMSI HAD,T_HADaaS,Synthèses des Résumés Anonyme Par Sous-Séquence,2015,,
PMSI HAD,T_HADaaSTC,"Prise en charge par l'AM de chaque séjour, pour les établissements valorisés STC ",2007,,
PMSI HAD,T_HADaaSUP_DSC,,2021,,
PMSI MCO,T_MCOaaA,Acte CCAM,2005,,
PMSI MCO,T_MCOaaB,Description du Séjour,2005,,
PMSI MCO,T_MCOaaBPHN,B et P hors nomenclature (extension de fichier .bphn),2010,,
PMSI MCO,T_MCOaaC,NIR patient et Dates de soin,2013,,
PMSI MCO,T_MCOaaCSTC,ACE NIR/date,2009,,
PMSI MCO,T_MCOaaD,Diagnostic associé,2005,,
PMSI MCO,T_MCOaaDIALP,Fich comp dialyse péritonéale en sus,2009,,
PMSI MCO,T_MCOaaDMIP,Fich comp dmi en sus,2008,,
PMSI MCO,T_MCOaaE,Etablissement,2005,,
PMSI MCO,T_MCOaaFA,OQN Entete facture,2014,,
PMSI MCO,T_MCOaaFASTC,ACE Entete facture,2014,,
PMSI MCO,T_MCOaaFB,OQN Prestation,2005,,
PMSI MCO,T_MCOaaFBSTC,ACE Prestation,2008,,
PMSI MCO,T_MCOaaFC,OQN Honoraire,2005,,
PMSI MCO,T_MCOaaFCSTC,ACE Honoraire,2007,,
PMSI MCO,T_MCOaaFH,OQN medicament en sus,2005,,
PMSI MCO,T_MCOaaFHSTC,ACE medicament en sus,2009,,
PMSI MCO,T_MCOaaFI,OQN Interruption séjour,2013,,
PMSI MCO,T_MCOaaFL,OQN biologie NABM,2012,,
PMSI MCO,T_MCOaaFLSTC,ACE biologie NABM,2012,,
PMSI MCO,T_MCOaaFM,OQN actes CCAM,2005,,
PMSI MCO,T_MCOaaFMSTC,ACE actes CCAM,2007,,
PMSI MCO,T_MCOaaFP,OQN DMI en sus,2013,,
PMSI MCO,T_MCOaaFPSTC,ACE DMI en sus,2013,,
PMSI MCO,T_MCOaaGVxx,Table de passage en version de GHM,2005,2017,
PMSI MCO,T_MCOaaGVxxxx,Table de passage en version de GHM à partir de mars de l'année,2015,,2019
PMSI MCO,T_MCOaaIVG,Fich comp IVG,2017,,
PMSI MCO,T_MCOaaLEG,Fichier donnant toutes les erreurs détectées par la fonction groupage,2014,,
PMSI MCO,T_MCOaaMED,Fich comp medicament en sus,2008,,
PMSI MCO,T_MCOaaMEDATU,Fich comp médicament soumis à autorisation temporaire d'utilisation,2012,,
PMSI MCO,T_MCOaaMEDTHROMBO,Fich comp Méd. thrombolytiques pour le traitement des AVC ischémiques,2012,,
PMSI MCO,T_MCOaaORP,Fich comp maladie orpheline,2013,,
PMSI MCO,T_MCOaaPIE,Fich comp prestation inter établissement,2008,,
PMSI MCO,T_MCOaaPIP,Fich comp prothèse PIP,2012,,
PMSI MCO,T_MCOaaPORG,Fich comp prélévement d'organe,2008,,
PMSI MCO,T_MCOaaSTC,Prise en charge,2011,,
PMSI MCO,T_MCOaaSUP_BPHNA,Fich sup BP HN nb,2010,,
PMSI MCO,T_MCOaaSUP_BPHNC,Fich sup BP HN etb demandeur,2010,,
PMSI MCO,T_MCOaaSUP_BPHNP,Fich sup BP HN etb producteur,2010,,
PMSI MCO,T_MCOaaSUP_CES,Fich sup ACE Consultations externes Spécifiques,2014,,
PMSI MCO,T_MCOaaSUP_DSC,Tests diagnostiques Covid,2021,,
PMSI MCO,T_MCOaaSUP_FFM,Fich sup ACE Consultations externes Spécifiques,2015,,
PMSI MCO,T_MCOaaSUP_IUM,Fichier d’information des UM,2018,,
PMSI MCO,T_MCOaaSUP_LACT,Fich sup lactarium,2010,,
PMSI MCO,T_MCOaaSUP_PCR,Tests PCR,2020,,
PMSI MCO,T_MCOaaSUP_PPCO,Fich sup Primo prescription de chimiothérapie orale,2016,,
PMSI MCO,T_MCOaaSUP_RIHND,Recueil du RIHN/LC : établissement demandeur (payeur),2018,,
PMSI MCO,T_MCOaaSUP_RIHNP,Fichier d’information des UM,2018,,
PMSI MCO,T_MCOaaSUP_SMUR,Fich sup SMUR,2016,,
PMSI MCO,T_MCOaaSUP_TIE,Fichier d’information Transports inter-établissements,2018,,
PMSI MCO,T_MCOaaSUP_USMP,Fich sup Médicaments dispensés en USMP (Unité Sanitaire en Milieu Pénitentiaire),2016,,
PMSI MCO,T_MCOaaSUP_VAC,Table Vaccins,2021,,
PMSI MCO,T_MCOaaTRPT,Fich comp Transports intra et inter établissements,2020,,
PMSI MCO,T_MCOaaUM,Unité médicale,2010,,
PMSI MCO,T_MCOaaUPGV,Types d'autorisations d'unités médicales à portée globale valides,2012,,
PMSI MCO,T_MCOaaVALO,Valorisation des séjours,2011,,
PMSI MCO,T_MCOaaVALOACE,Valorisation des actes et consultations externes,2013,,
PMSI MCO,T_MCOaaZ,Fich comp radiothérapie,2011,,
PMSI MCO,T_SUPaaALD,Alternatives à la dialyse (extension de fichier .ald),2007,,
PMSI MCO,T_SUPaaATU,Passage aux urgences (extension de fichier .atu),2007,,
PMSI MCO,T_SUPaaBPHN,B et P hors nomenclature (extension de fichier .bphn),2009,,
PMSI MCO,T_SUPaaDMI,Dispositifs médicaux implantables (extension de fichier .dmi),2007,,
PMSI MCO,T_SUPaaFFM,Forfait petit matériel (extension de fichier .ffm),2007,,
PMSI MCO,T_SUPaaIVG,IVG (extension de fichier .ivg),2007,,
PMSI MCO,T_SUPaaMON,Molécules onéreuses (extension de fichier .mon),2007,,
PMSI RIP,T_RIPaaC,chainage,2007,,
PMSI RIP,T_RIPaaCCAM,Actes CCAM,2017,,
PMSI RIP,T_RIPaaCSTC,ACE NIR/date,2020,,
PMSI RIP,T_RIPaaE,etablissement,2007,,
PMSI RIP,T_RIPaaFA,debut facture,2010,,
PMSI RIP,T_RIPaaFB,prestation hospitalière,2010,,
PMSI RIP,T_RIPaaFC,honoraire,2010,,
PMSI RIP,T_RIPaaFH,medicament,2010,,
PMSI RIP,T_RIPaaFI,interruption de sejour,2010,,
PMSI RIP,T_RIPaaFL,actes de Biologie,2012,,
PMSI RIP,T_RIPaaFM,ccam,2010,,
PMSI RIP,T_RIPaaFP,prothese,2010,,
PMSI RIP,T_RIPaaISOCONT,Fich Comp : Isolement et contention,,,2022
PMSI RIP,T_RIPaaR3A,Résumé par acte ambulatoire anonymisé,2007,,
PMSI RIP,T_RIPaaR3AD,Diagnostic associé à l'acte,2007,,
PMSI RIP,T_RIPaaRSA,Résumé par séquence,2007,,
PMSI RIP,T_RIPaaRSAD,Diagnostic associé à la séquence,2007,,
PMSI RIP,T_RIPaaS,Synthèse du Séjour de Résumé par séquence anonymisé,2015,,
PMSI RIP,T_RIPaaSTC,Prise en charge patient pour etb DG,2011,,
PMSI RIP,T_RIPaaSUP_DSC,Table  Tests diagnostiques Covid,2022,,
PMSI RIP,T_RIPaaSUP_TIE,Fichier d’information Transports inter-établissements,2019,,
PMSI RIP,T_RIPaaSUP_VAC, Table Vaccins,2021,,
PMSI RIP,T_RIPaaTP,Fich comp Séjours à Temps Partiel,2020,,
PMSI RIP,T_RIPaaTP_CTL,Fich de contrôle - Transport,2020,,
PMSI RIP,T_RIPaaTRPT,Fich comp Transports,2020,,
PMSI RIP,T_RIPaaTRPT_CTL,Fich de contrôle - Transport,2020,,
PMSI SSR,T_SSRaaA,Acte CCAM,2005,,
PMSI SSR,T_SSRaaB,Description du Séjour,2005,,
PMSI SSR,T_SSRaaC,NIR patient et Dates de soin,2005,,
PMSI SSR,T_SSRaaCCAM,Acte CCAM,2009,,
PMSI SSR,T_SSRaaCCAR,classification acte de réadaptation,2012,,
PMSI SSR,T_SSRaaCMC,Catégories Majeures de diagnostics,2005,,
PMSI SSR,T_SSRaaCSARR,actes du Catalogue spécifique des actes de rééducation et réadaptation,2020,,
PMSI SSR,T_SSRaaCSTC,ACE NIR/date,2013,,
PMSI SSR,T_SSRaaD,diagnostic associé,2009,,
PMSI SSR,T_SSRaaDIALP,Fich comp dialyse péritonéale en sus,2019,,
PMSI SSR,T_SSRaaE,Etablissement,2005,,
PMSI SSR,T_SSRaaFA,OQN Entete facture,2007,,
PMSI SSR,T_SSRaaFASTC,ACE Entete facture,2012,,
PMSI SSR,T_SSRaaFB,OQN Prestation,2007,,
PMSI SSR,T_SSRaaFBSTC,ACE Prestation,2012,,
PMSI SSR,T_SSRaaFC,OQN Honoraire,2007,,
PMSI SSR,T_SSRaaFCSTC,ACE Honoraire,2012,,
PMSI SSR,T_SSRaaFH,OQN med en sus,2007,,
PMSI SSR,T_SSRaaFHSTC,ACE medicament en sus,2020,,
PMSI SSR,T_SSRaaFI,OQN Interruption séjour,2007,,
PMSI SSR,T_SSRaaFL,OQN actes de biologie (issus de la NABM),2012,,
PMSI SSR,T_SSRaaFLSTC,ACE actes de biologie (issus de la NABM),2012,,
PMSI SSR,T_SSRaaFM,OQN actes CCAM,2007,,
PMSI SSR,T_SSRaaFMSTC,ACE actes CCAM,2012,,
PMSI SSR,T_SSRaaFP,OQN DMI en sus,2007,,
PMSI SSR,T_SSRaaFPSTC,ACE DMI en sus,2020,,
PMSI SSR,T_SSRaaGHJ,table des Groupes de Morbidité Dominante,2005,,
PMSI SSR,T_SSRaaGME,GME,2012,,
PMSI SSR,T_SSRaaLEG,Erreurs détectées par la fonction groupage,2014,,
PMSI SSR,T_SSRaaMED,Med en sus,2010,,
PMSI SSR,T_SSRaaMEDATU,Med à autorisation temporaire d'utilisation,2012,,
PMSI SSR,T_SSRaaS,synthese,2005,,
PMSI SSR,T_SSRaaSTC,facturation patient DGF,2011,,
PMSI SSR,T_SSRaaSUP_DSC,Tests diagnostiques Covid,2021,,
PMSI SSR,T_SSRaaSUP_IUM,Fichier d’information des UM,2020,,
PMSI SSR,T_SSRaaSUP_TIE,Fichier d’information Transports inter-établissements,2019,,
PMSI SSR,T_SSRaaSUP_VAC,Table Vaccins,2021,,
PMSI SSR,T_SSRaaTRPT,Fich comp Transports intra et inter établissements,2020,,
PMSI SSR,T_SSRaaVALO,Valorisation des séjours,2018,,
REFERENTIELS,BE_IDE_R,Référentiel CNAMTS des établissements,,,
REFERENTIELS,DA_PRA_R,Référentiel des professionnels de santé,,,
REFERENTIELS,IR_ACS_R,Table historique des affiliations à l'aide à la complémentaire santé,,,
REFERENTIELS,IR_BEN_R,Table du Référentiel des bénéficiaires,,,
REFERENTIELS,IR_ESM_R,Table des bénéficiaires en Etablissements Médico-Sociaux,,,
REFERENTIELS,IR_ETM_R,Table historique des exonérations du ticket modérateur liées à la personne,,,
REFERENTIELS,IR_IBA_R,Table du Référentiel des bénéficiaires du DCIRS,,,
REFERENTIELS,IR_IMB_R,Table du Référentiel médicalisé,,,
REFERENTIELS,IR_MAT_R,Table historique de la maternité,,,
REFERENTIELS,IR_MTT_R,Table historique des médecins traitants,,,
REFERENTIELS,IR_ORC_R,Table historique des affiliations à un organisme complémentaire,,,
REFERENTIELS,IR_VAC_F,Table des patients vaccinés contre le COVID-19,,,
