,table,var,description,var_type,var_size,nomenclature,creation,suppression,dates_manquantes
75,CT_DEP_AAAA_GN,BEN_ACS_TOP,Bénéficiaire de l'aide à la complémentaire santé,number,3,-,2012,,
76,CT_DEP_AAAA_GN,BEN_ALD_TOP,Bénéficiaire d'une exonération du ticket modérateur au titre d'une affection de longue durée,number,3,-,2012,,
77,CT_DEP_AAAA_GN,BEN_DCD_AME,Année et mois de décès du bénéficiaire,string,6,-,2012,2015,
78,CT_DEP_AAAA_GN,BEN_DCD_DTE,Date de décès du bénéficiaire,number,8,-,2012,,
79,CT_DEP_AAAA_GN,BEN_NAI_ANN,Année de naissance du bénéficiaire,string,4,-,2012,,
80,CT_DEP_AAAA_GN,BEN_SEX_COD,Sexe du bénéficiaire,number,3,-,2012,,
81,CT_DEP_AAAA_GN,C2S,Bénéficiaire de la complémentaire santé solidaire,number,3,-,2019,,
82,CT_DEP_AAAA_GN,CLA_AGE_5,Classes d'âge du bénéficiaire (quinquennales),string,5,-,2012,,
83,CT_DEP_AAAA_GN,CLA_AGE_CT,Classes d'âge du bénéficiaire (cartographie),string,5,-,2012,,
84,CT_DEP_AAAA_GN,CMU,Bénéficiaire de la Couverture Maladie Universelle complémentaire,number,3,-,2012,,
85,CT_DEP_AAAA_GN,DCD_3112,Bénéficiaire décédé au 31 décembre de l'année N,number,8,-,2012,,
86,CT_DEP_AAAA_GN,DEP_DGF_ACE_BSE,Actes et consultations externes MCO secteur public remboursables,number,8,-,2012,,
87,CT_DEP_AAAA_GN,DEP_DGF_ACE_MNT,Actes et consultations externes MCO secteur public remboursés,number,8,-,2012,,
88,CT_DEP_AAAA_GN,DEP_DGF_HAD_BSE,Hospitalisations en HAD secteur public remboursables,number,8,-,2012,,
89,CT_DEP_AAAA_GN,DEP_DGF_HAD_MNT,Hospitalisations en HAD secteur public remboursées,number,8,-,2012,,
90,CT_DEP_AAAA_GN,DEP_DGF_MCOSEJOUR_BSE,Hospitalisations séjour MCO secteur public remboursables,number,8,-,2012,,
91,CT_DEP_AAAA_GN,DEP_DGF_MCOSEJOUR_MNT,Hospitalisations séjour MCO secteur public remboursées,number,8,-,2012,,
92,CT_DEP_AAAA_GN,DEP_DGF_MCOSUS_BSE,Hospitalisations liste en sus MCO secteur public remboursables,number,8,-,2012,,
93,CT_DEP_AAAA_GN,DEP_DGF_MCOSUS_MNT,Hospitalisations liste en sus MCO secteur public remboursées,number,8,-,2012,,
94,CT_DEP_AAAA_GN,DEP_DGF_PSY_BSE,Hospitalisations en psychiatrie secteur public remboursables,number,8,-,2012,,
95,CT_DEP_AAAA_GN,DEP_DGF_PSY_MNT,Hospitalisations en psychiatrie secteur public remboursées,number,8,-,2012,,
96,CT_DEP_AAAA_GN,DEP_DGF_SSR_BSE,Hospitalisations en SSR secteur public remboursables,number,8,-,2012,,
97,CT_DEP_AAAA_GN,DEP_DGF_SSR_MNT,Hospitalisations en SSR secteur public remboursées,number,8,-,2012,,
98,CT_DEP_AAAA_GN,DEP_IJMALATMP_BSE,Indemnités journalières maladie et AT/MP remboursables,number,8,-,2012,,
99,CT_DEP_AAAA_GN,DEP_IJMALATMP_MNT,Indemnités journalières maladie et AT/MP remboursées,number,8,-,2012,,
100,CT_DEP_AAAA_GN,DEP_IJMATER_BSE,Indemnités journalières maternité et autres prestations remboursables,number,8,-,2012,,
101,CT_DEP_AAAA_GN,DEP_IJMATER_MNT,Indemnités journalières maternité et autres prestations remboursées,number,8,-,2012,,
102,CT_DEP_AAAA_GN,DEP_INVALID_BSE,Prestations d'invalidité remboursables,number,8,-,2012,,
103,CT_DEP_AAAA_GN,DEP_INVALID_MNT,Prestations d'invalidité remboursées,number,8,-,2012,,
104,CT_DEP_AAAA_GN,DEP_OQN_HAD_BSE,Hospitalisations en HAD secteur privé remboursables,number,8,-,2012,,
105,CT_DEP_AAAA_GN,DEP_OQN_HAD_MNT,Hospitalisations en HAD secteur privé remboursées,number,8,-,2012,,
106,CT_DEP_AAAA_GN,DEP_OQN_MCOSEJOUR_BSE,Hospitalisations séjour MCO secteur privé remboursables,number,8,-,2012,,
107,CT_DEP_AAAA_GN,DEP_OQN_MCOSEJOUR_MNT,Hospitalisations séjour MCO secteur privé remboursées,number,8,-,2012,,
108,CT_DEP_AAAA_GN,DEP_OQN_MCOSUS_BSE,Hospitalisations liste en sus MCO secteur privé remboursables,number,8,-,2012,,
109,CT_DEP_AAAA_GN,DEP_OQN_MCOSUS_MNT,Hospitalisations liste en sus MCO secteur privé remboursées,number,8,-,2012,,
110,CT_DEP_AAAA_GN,DEP_OQN_PSY_BSE,Hospitalisations en psychiatrie secteur privé remboursables,number,8,-,2012,,
111,CT_DEP_AAAA_GN,DEP_OQN_PSY_MNT,Hospitalisations en psychiatrie secteur privé remboursées,number,8,-,2012,,
112,CT_DEP_AAAA_GN,DEP_OQN_SSR_BSE,Hospitalisations en SSR secteur privé remboursables,number,8,-,2012,,
113,CT_DEP_AAAA_GN,DEP_OQN_SSR_MNT,Hospitalisations en SSR secteur privé remboursées,number,8,-,2012,,
114,CT_DEP_AAAA_GN,DEP_SDV_AUTRES_BSE,Autres dépenses de soins de ville remboursables,number,8,-,2012,,
115,CT_DEP_AAAA_GN,DEP_SDV_AUTRES_MNT,Autres dépenses de soins de ville remboursés,number,8,-,2012,,
116,CT_DEP_AAAA_GN,DEP_SDV_AUTRESAUXIL_BSE,Soins d'autres paramédicaux remboursables,number,8,-,2012,,
117,CT_DEP_AAAA_GN,DEP_SDV_AUTRESAUXIL_MNT,Soins d'autres paramédicaux remboursés,number,8,-,2012,,
118,CT_DEP_AAAA_GN,DEP_SDV_BIO_BSE,Biologie remboursable,number,8,-,2012,,
119,CT_DEP_AAAA_GN,DEP_SDV_BIO_MNT,Biologie remboursée,number,8,-,2012,,
120,CT_DEP_AAAA_GN,DEP_SDV_HONODENT_BSE,Soins dentaires remboursables,number,8,-,2012,,
121,CT_DEP_AAAA_GN,DEP_SDV_HONODENT_MNT,Soins dentaires remboursés,number,8,-,2012,,
122,CT_DEP_AAAA_GN,DEP_SDV_HONOGEN_BSE,Soins de généralistes remboursables,number,8,-,2012,,
123,CT_DEP_AAAA_GN,DEP_SDV_HONOGEN_MNT,Soins de généralistes remboursés,number,8,-,2012,,
124,CT_DEP_AAAA_GN,DEP_SDV_HONOSPE_BSE,Soins autres spécialistes remboursables,number,8,-,2012,,
125,CT_DEP_AAAA_GN,DEP_SDV_HONOSPE_MNT,Soins autres spécialistes remboursés,number,8,-,2012,,
126,CT_DEP_AAAA_GN,DEP_SDV_INFIRMIER_BSE,Soins infirmiers remboursables,number,8,-,2012,,
127,CT_DEP_AAAA_GN,DEP_SDV_INFIRMIER_MNT,Soins infirmiers remboursés,number,8,-,2012,,
128,CT_DEP_AAAA_GN,DEP_SDV_KINE_BSE,Soins de kinésithérapie remboursables,number,8,-,2012,,
129,CT_DEP_AAAA_GN,DEP_SDV_KINE_MNT,Soins de kinésithérapie remboursés,number,8,-,2012,,
130,CT_DEP_AAAA_GN,DEP_SDV_LPP_BSE,Autres produits de santé remboursables,number,8,-,2012,,
131,CT_DEP_AAAA_GN,DEP_SDV_LPP_MNT,Autres produits de santé remboursés,number,8,-,2012,,
132,CT_DEP_AAAA_GN,DEP_SDV_PHARMACIE_BSE,Médicaments remboursables,number,8,-,2012,,
133,CT_DEP_AAAA_GN,DEP_SDV_PHARMACIE_MNT,Médicaments remboursés,number,8,-,2012,,
134,CT_DEP_AAAA_GN,DEP_SDV_SAGEFEMME_BSE,Soins de sages-femmes remboursables,number,8,-,2012,,
135,CT_DEP_AAAA_GN,DEP_SDV_SAGEFEMME_MNT,Soins de sages-femmes remboursés,number,8,-,2012,,
136,CT_DEP_AAAA_GN,DEP_SDV_TRANSPORT_BSE,Transports remboursables,number,8,-,2012,,
137,CT_DEP_AAAA_GN,DEP_SDV_TRANSPORT_MNT,Transports remboursés,number,8,-,2012,,
138,CT_DEP_AAAA_GN,DPT,Département de résidence du bénéficiaire,string,3,-,2012,,
139,CT_DEP_AAAA_GN,ID_CARTO,Identifiant bénéficiaire cartographie,string,18,-,2012,,
140,CT_DEP_AAAA_GN,NEW_COD_REG,Région de résidence du bénéficiaire (nouveau codage),string,2,-,2012,,
141,CT_DEP_AAAA_GN,OLD_COD_REG,Région de résidence du bénéficiaire (ancien codage),string,2,-,2012,,
142,CT_DEP_AAAA_GN,PETIT_REGIME,Petit régime MSA au 31 décembre de l'année N,string,6,-,2015,,
143,CT_DEP_AAAA_GN,PETIT_RGM_AUT_RGM,Au moins une consommation au titre dans un autre petit régime (MSA) dans l'année,number,3,-,2015,,
144,CT_DEP_AAAA_GN,PETIT_RGM_EXP_AGR,Au moins une consommation en tant qu'exploitant agricole (MSA) dans l'année,number,3,-,2015,,
145,CT_DEP_AAAA_GN,PETIT_RGM_SAL_AGR,Au moins une consommation en tant que salarié agricole (MSA) dans l'année,number,3,-,2015,,
146,CT_DEP_AAAA_GN,QUINT_DEFA,Quintile de défavorisation de 2015,number,3,-,2012,,
147,CT_DEP_AAAA_GN,REGIME,Régime du bénéficiaire au 31 décembre de l'année N,string,6,-,2012,,
148,CT_DEP_AAAA_GN,RGM_BDF,Au moins une consommation au régime de la Banque de France dans l'année,number,3,-,2015,,
149,CT_DEP_AAAA_GN,RGM_BORDEAUX,Au moins une consommation au régime du Port autonome de Bordeaux dans l'année,number,3,-,2015,,
150,CT_DEP_AAAA_GN,RGM_CCI,Au moins une consommation au régime des Chambres de commerce et d'industrie dans l'année,number,3,-,2015,,
151,CT_DEP_AAAA_GN,RGM_CULTES,Au moins une consommation au régime des cultes dans l'année,number,3,-,2015,,
152,CT_DEP_AAAA_GN,RGM_INCONNU,Au moins une consommation dans un régime inconnu dans l'année,number,3,-,2015,,
153,CT_DEP_AAAA_GN,RGM_MARINS,Au moins une consommation au régime des marins dans l'année,number,3,-,2015,,
154,CT_DEP_AAAA_GN,RGM_MILITAIRES,Au moins une consommation au régime des militaires dans l'année,number,3,-,2015,,
155,CT_DEP_AAAA_GN,RGM_MINES,Au moins une consommation au régime des mines dans l'année,number,3,-,2015,,
156,CT_DEP_AAAA_GN,RGM_MSA,Au moins une consommation à la MSA dans l'année,number,3,-,2015,,
157,CT_DEP_AAAA_GN,RGM_NOTAIRES,Au moins une consommation au régime des notaires dans l'année,number,3,-,2015,,
158,CT_DEP_AAAA_GN,RGM_RATP,Au moins une consommation au régime de la RATP dans l'année,number,3,-,2015,,
159,CT_DEP_AAAA_GN,RGM_RG,Au moins une consommation au RG dans l'année,number,3,-,2015,,
160,CT_DEP_AAAA_GN,RGM_RG_SLM,Au moins une consommation PMSI RG ou SLM (indéterminé) dans l'année,number,3,-,2015,,
161,CT_DEP_AAAA_GN,RGM_RG_SLM_2,Au moins une consommation RG ou SLM dans l'année,number,3,-,2015,,
162,CT_DEP_AAAA_GN,RGM_RSA,Au moins une consommation au RSI dans l'année,number,3,-,2015,,
163,CT_DEP_AAAA_GN,RGM_SLM,Au moins une consommation dans une SLM dans l'année,number,3,-,2015,,
164,CT_DEP_AAAA_GN,RGM_SNCF,Au moins une consommation au régime de la SNCF dans l'année,number,3,-,2015,,
165,CT_DEP_AAAA_GN,SOURCE,Source de provenance du bénéficiaire,string,3,-,2012,2015,
166,CT_DEP_AAAA_GN,TOP_IND,Travailleur indépendant,number,3,-,2019,,
167,CT_DEP_AAAA_GN,TOP_MT,Médecin traitant au 31 décembre de l'année N,number,3,-,2015,,
168,CT_DEP_AAAA_GN,TOT_DEP_BSE,Total des dépenses remboursables,number,8,-,2012,,
169,CT_DEP_AAAA_GN,TOT_DEP_HOP_BSE,Total hospitalisations (tous secteurs) remboursables,number,8,-,2012,,
170,CT_DEP_AAAA_GN,TOT_DEP_HOP_MNT,Total hospitalisations (tous secteurs) remboursées,number,8,-,2012,,
171,CT_DEP_AAAA_GN,TOT_DEP_MNT,Total des dépenses remboursées,number,8,-,2012,,
172,CT_DEP_AAAA_GN,TOT_DEP_PRESESPECE_BSE,Total prestations en espèces remboursables,number,8,-,2012,,
173,CT_DEP_AAAA_GN,TOT_DEP_PRESESPECE_MNT,Total prestations en espèces remboursées,number,8,-,2012,,
174,CT_DEP_AAAA_GN,TOT_DEP_SDV_BSE,Total soins de ville remboursables,number,8,-,2012,,
175,CT_DEP_AAAA_GN,TOT_DEP_SDV_MNT,Total soins de ville remboursés,number,8,-,2012,,
176,CT_DEP_AAAA_GN,VERSION,Version,string,2,-,2015,,
177,CT_IDE_AAAA_GN,BEN_NIR_PSA,Identifiant anonyme du patient dans le SNIIRAM,string,17,-,2012,,
178,CT_IDE_AAAA_GN,BEN_RNG_GEM,rang de naissance du bénéficiaire,number,8,-,2012,,
179,CT_IDE_AAAA_GN,ID_CARTO,Identifiant bénéficiaire cartographie,string,18,-,2012,,
180,CT_IDE_AAAA_GN,VERSION,Version,string,2,-,2015,,
181,CT_IND_AAAA_GN,AGE,Age du bénéficiaire,number,8,-,2012,,
182,CT_IND_AAAA_GN,ASS_AAH_TOP,Bénéficiaire de l'allocation adulte handicapé,number,3,-,2012,,
183,CT_IND_AAAA_GN,BEN_ACS_TOP,Bénéficiaire de l'aide à la complémentaire santé,number,3,-,2012,,
184,CT_IND_AAAA_GN,BEN_ALD_TOP,Bénéficiaire d'une exonération du ticket modérateur au titre d'une affection de longue durée,number,3,-,2012,,
185,CT_IND_AAAA_GN,BEN_DCD_AME,Année et mois de décès du bénéficiaire,string,6,-,2012,2015,
186,CT_IND_AAAA_GN,BEN_DCD_DTE,Date de décès du bénéficiaire,number,8,-,2012,,
187,CT_IND_AAAA_GN,BEN_NAI_ANN,Année de naissance du bénéficiaire,string,4,-,2012,,
188,CT_IND_AAAA_GN,BEN_SEX_COD,Sexe du bénéficiaire,number,3,-,2012,,
189,CT_IND_AAAA_GN,C2S,Bénéficiaire de la complémentaire santé solidaire,number,3,-,2015,,
190,CT_IND_AAAA_GN,CLA_AGE_5,Classes d'âge du bénéficiaire (quinquennales),string,5,-,2012,,
191,CT_IND_AAAA_GN,CLA_AGE_CT,Classes d'âge du bénéficiaire (cartographie),string,5,-,2012,,
192,CT_IND_AAAA_GN,CMU,Bénéficiaire de la Couverture Maladie Universelle complémentaire,number,3,-,2012,,
193,CT_IND_AAAA_GN,DCD_3112,Bénéficiaire décédé au 31 décembre de l'année N,number,8,-,2012,,
194,CT_IND_AAAA_GN,DPT,Département de résidence du bénéficiaire,string,3,-,2012,,
195,CT_IND_AAAA_GN,ID_CARTO,Identifiant bénéficiaire cartographie,string,18,-,2012,,
196,CT_IND_AAAA_GN,NEW_COD_REG,Région de résidence du bénéficiaire (nouveau codage),string,2,-,2012,,
197,CT_IND_AAAA_GN,OLD_COD_REG,Région de résidence du bénéficiaire (ancien codage),string,2,-,2012,,
198,CT_IND_AAAA_GN,PETIT_REGIME,Petit régime MSA au 31 décembre de l'année N,string,6,-,2015,,
199,CT_IND_AAAA_GN,PETIT_RGM_AUT_AGR,Au moins une consommation au titre dans un autre petit régime (MSA) dans l'année,number,3,-,2015,,
200,CT_IND_AAAA_GN,PETIT_RGM_EXP_AGR,Au moins une consommation en tant qu'exploitant agricole (MSA) dans l'année,number,3,-,2015,,
201,CT_IND_AAAA_GN,PETIT_RGM_SAL_AGR,Au moins une consommation en tant que salarié agricole (MSA) dans l'année,number,3,-,2015,,
202,CT_IND_AAAA_GN,QUINT_DEFA,Quintile de défavorisation de 2015,number,3,-,2012,,
203,CT_IND_AAAA_GN,REGIME,Régime du bénéficiaire au 31 décembre de l'année N,string,6,-,2012,,
204,CT_IND_AAAA_GN,RGM_BDF,Au moins une consommation au régime de la Banque de France dans l'année,number,3,-,2015,,
205,CT_IND_AAAA_GN,RGM_BORDEAUX,Au moins une consommation au régime du Port autonome de Bordeaux dans l'année,number,3,-,2015,,
206,CT_IND_AAAA_GN,RGM_CCI,Au moins une consommation au régime des Chambres de commerce et d'industrie dans l'année,number,3,-,2015,,
207,CT_IND_AAAA_GN,RGM_CULTES,Au moins une consommation au régime des cultes dans l'année,number,3,-,2015,,
208,CT_IND_AAAA_GN,RGM_INCONNU,Au moins une consommation dans un régime inconnu dans l'année,number,3,-,2015,,
209,CT_IND_AAAA_GN,RGM_MARINS,Au moins une consommation au régime des marins dans l'année,number,3,-,2015,,
210,CT_IND_AAAA_GN,RGM_MILITAIRES,Au moins une consommation au régime des militaires dans l'année,number,3,-,2015,,
211,CT_IND_AAAA_GN,RGM_MINES,Au moins une consommation au régime des mines dans l'année,number,3,-,2015,,
212,CT_IND_AAAA_GN,RGM_MSA,Au moins une consommation à la MSA dans l'année,number,3,-,2015,,
213,CT_IND_AAAA_GN,RGM_NOTAIRES,Au moins une consommation au régime des notaires dans l'année,number,3,-,2015,,
214,CT_IND_AAAA_GN,RGM_RATP,Au moins une consommation au régime de la RATP dans l'année,number,3,-,2015,,
215,CT_IND_AAAA_GN,RGM_RG,Au moins une consommation au RG dans l'année,number,3,-,2015,,
216,CT_IND_AAAA_GN,RGM_RG_SLM,Au moins une consommation PMSI RG ou SLM (indéterminé) dans l'année,number,3,-,2015,,
217,CT_IND_AAAA_GN,RGM_RG_SLM_2,Au moins une consommation RG ou SLM dans l'année,number,3,-,2015,,
218,CT_IND_AAAA_GN,RGM_RSI,Au moins une consommation au RSI dans l'année,number,3,-,2015,,
219,CT_IND_AAAA_GN,RGM_SLM,Au moins une consommation dans une SLM dans l'année,number,3,-,2015,,
220,CT_IND_AAAA_GN,RGM_SNCF,Au moins une consommation au régime de la SNCF dans l'année,number,3,-,2015,,
221,CT_IND_AAAA_GN,SOURCE,Source de provenance du bénéficiaire,string,3,-,2012,2015,
222,CT_IND_AAAA_GN,SUP_ABPCOIR_IND_NNEXCLU,Maladies respiratoires chroniques (avec ou sans mucoviscidose),number,3,-,2012,,
223,CT_IND_AAAA_GN,SUP_ACORTI_MED,"Traitement corticoide (hors pathologies, traitements, maternité ou hospitalisations)",number,3,-,2012,,
224,CT_IND_AAAA_GN,SUP_ACORTI_MED_NNEXCLU,"Traitement corticoide (avec ou sans pathologies, traitements, maternité ou hospitalisations)",number,3,-,2012,,
225,CT_IND_AAAA_GN,SUP_AINS_MED,"Traitement AINS (hors pathologies, traitements, maternité ou hospitalisations)",number,3,-,2012,,
226,CT_IND_AAAA_GN,SUP_AINS_MED_NNEXCLU,"Traitement AINS (avec ou sans pathologies, traitements, maternité ou hospitalisations)",number,3,-,2012,,
227,CT_IND_AAAA_GN,SUP_ALDAUTR_0_IND,Autres affections de longue durée non retrouvées ou non ventilées,number,3,-,2012,,
228,CT_IND_AAAA_GN,SUP_ALDAUTR_10_IND,"Autres affections de longue durée pour hémoglobinopathies, hémolyses chroniques constitutionnelles et acquises sévères",number,3,-,2012,,
229,CT_IND_AAAA_GN,SUP_ALDAUTR_19_IND,Autres affections de longue durée pour néphropathie chronique grave et syndrome néphrotique primitif (hors IRCT),number,3,-,2012,,
230,CT_IND_AAAA_GN,SUP_ALDAUTR_2_IND,Autres affections de longue durée pour insuffisances médullaires et autres cytopénies chroniques,number,3,-,2012,,
231,CT_IND_AAAA_GN,SUP_ALDAUTR_23_IND,Autres affections de longue durée pour affections psychiatriques (anomalies chromosomiques),number,3,-,2012,,
232,CT_IND_AAAA_GN,SUP_ALDAUTR_26_IND,Autres affections de longue durée pour scoliose structurale évolutive,number,3,-,2012,,
233,CT_IND_AAAA_GN,SUP_ALDAUTR_29_IND,"Autres affections de longue durée pour tuberculose active, lèpre",number,3,-,2012,,
234,CT_IND_AAAA_GN,SUP_ALDAUTR_30_IND,Autres affections de longue durée pour tumeurs à évolution imprévisible ou inconnue,number,3,-,2012,,
235,CT_IND_AAAA_GN,SUP_ALDAUTR_31_IND,Autres affections de longue durée hors liste (31),number,3,-,2012,,
236,CT_IND_AAAA_GN,SUP_ALDAUTR_32_IND,Autres affections de longue durée pour polypathologie (32),number,3,-,2012,,
237,CT_IND_AAAA_GN,SUP_ALDAUTR_4_IND,Autres affections de longue durée pour bilharziose compliquée,number,3,-,2012,,
238,CT_IND_AAAA_GN,SUP_ANTALG_MED,"Traitement antalgique (hors pathologies, traitements, maternité ou hospitalisations)",number,3,-,2012,,
239,CT_IND_AAAA_GN,SUP_ANTALG_MED_NNEXCLU,"Traitement antalgique (avec ou sans pathologies, traitements, maternité ou hospitalisations)",number,3,-,2012,,
240,CT_IND_AAAA_GN,SUP_ARTHROS_MED,"Traitement antalgique ou anti-inflammatoire (hors pathologies, traitements, maternité ou hospitalisations)",number,3,-,2012,,
241,CT_IND_AAAA_GN,SUP_ARTHROS_MED_NNEXCLU,"Traitement antalgique ou anti-inflammatoire (avec ou sans pathologies, traitements, maternité ou hospitalisations)",number,3,-,2012,,
242,CT_IND_AAAA_GN,SUP_CAN_CAT,Cancers,number,3,-,2012,,
243,CT_IND_AAAA_GN,SUP_CANACT_CAT,Cancers actifs,number,3,-,2012,,
